0.0385384-0.0526721j -0.160151+0.087944j -0.0454362-0.0108716j 0.0524925-0.0128684j -0.0250469-0.0386743j -0.042593-0.0579621j -0.0217114-0.0357475j -0.145729+0.0316946j 0.0894706-0.113126j 0.00590931+0.1164j 0.0498778-0.0350844j 0.00485026+0.182506j -0.060101-0.0778006j 0.0312045+0.156657j -0.015436-0.042992j -0.160229+0.311868j -0.0472775+0.145455j -0.237024+0.277462j 
-0.120581+0.11125j -0.0584865+0.132687j -0.0125626+0.0758865j 0.0203979-0.00539997j -0.099731+0.0190044j -0.0410106+0.0499698j 0.0547735+0.00702196j -0.0868698+0.0738984j -0.0838964+0.0791865j 0.0318369-0.027376j 0.0129269+0.0481016j 0.242262-0.0922259j -0.158839+0.273111j 0.043843+0.0269845j -0.0370814+0.00998038j 0.33168-0.0332709j -0.10736+0.274961j -0.0978664+0.0142747j 
0.050388-0.00944739j 0.0924909+0.142338j -0.0643138-0.0885943j -0.00694165+0.177587j -0.0976932+0.107461j 0.233762+0.0804452j -0.0413577-0.0154394j 0.0930951-0.129708j 0.102336+0.0776579j -0.106576+0.0235465j -0.138747+0.152501j -0.0565256+0.0916056j 0.0337283-0.122662j -0.0573579+0.0614006j 0.0129725-0.0219298j 0.00551812+0.0703785j 0.049088+0.0441831j -0.0631024-0.0691179j 
0.1723+0.00532945j -0.0166062-0.0439004j 0.122586-0.0781418j 0.0963008-0.104721j 0.0286204-0.158167j -0.0226595-0.0811109j 0.0668305+0.00378746j -0.0735879+0.0741958j 0.0827305+0.0467393j -0.130318+0.0890087j 0.141709-0.137255j 0.0908922+0.191461j 0.0870413-0.132807j -0.167504-0.0046878j -0.0255102-0.0576266j 0.145642-0.0153872j 0.0431697+0.0511034j -0.108941-0.161998j 
0.0522095+0.0276598j -0.042057-0.0685997j -0.0185014+0.0349015j 0.113204+0.0974632j -0.00485764-0.0514603j 0.108253+0.0349253j -0.180525-0.0560662j -0.224263-0.0599328j 0.0173028-0.0632022j -0.0689924+0.0735034j 0.0190118+0.141554j 0.0216104+0.0514465j 0.0917816+0.0108768j 0.0828812-0.0906974j 0.0170338-0.14849j 0.037026+0.0370226j 0.0637807+0.0278707j -0.255908+0.0187998j 
-0.0333915-0.0125355j -0.0265495-0.0386266j -0.0502785-0.149688j 0.149411-0.0852038j 0.115549+0.145878j 0.126683+0.00396539j -0.0928555+0.270224j 0.253923-0.0825697j 0.0708839-0.1031j -0.111054+0.0664614j 0.0769633-0.431928j -0.211431+0.0482403j -0.175441+0.127043j 0.129404+0.0325993j 0.0121854-0.00429036j 0.0670925+0.00882247j -0.0389616-0.00960828j -0.00754382+0.0358786j 
0.0635011-0.0538958j -0.0708553+0.00872571j -0.051853-0.0505653j -0.0154914+0.0880169j -0.047381+0.00292336j -0.119644+0.180872j 0.148445-0.246499j -0.0193119+0.0708365j -0.0952591+0.127993j 0.156374+0.050033j -0.0517402-0.309015j -0.0444353+0.176076j 0.0839204+0.036003j -0.0268828-0.00327885j -0.11734-0.00639906j -0.200695+0.0630079j 0.153149-0.0574357j 0.081511+0.180914j 
-0.0592843-0.0516979j 0.00407031+0.00548213j -0.233658+0.102833j -0.185355-0.100087j 0.0263594+0.266037j 0.0528754-0.0533761j 0.364256-0.167596j -0.165184-0.0259518j -0.0458618+0.0848188j -0.0157405+0.014911j -0.0829312+0.232586j 0.0897876+0.0867878j -0.00935044+0.0334749j -0.0422279-0.00695167j 0.00610483-0.00372977j 0.072425-0.0539949j 0.000227224+0.00052606j -0.0119116-0.130513j 
-0.0668954+0.0220142j -0.0982876-0.0294948j 0.0147817+0.0748661j -0.13907-0.0321161j 0.0953722+0.0408875j -0.00716239-0.023986j 0.0161534+0.0762795j 0.240465-0.0359452j -0.0981793+0.222243j 0.0781062-0.173906j -0.0629759+0.0297164j -0.0873184-0.0585729j -0.000122379-0.27766j 0.135201-0.0602643j -0.186691-0.114734j 0.0600434+0.0424949j 0.228762+0.0774298j -0.105698+0.175657j 
-0.135077-0.0381794j 0.256188+0.0405626j 0.100746-0.203736j -0.0921132-0.0105921j 0.134388-0.0743042j 0.163952+0.0335638j -0.0775269-0.0378231j 0.122897+0.0344693j 0.100837+0.149505j -0.163852+0.0772808j -0.0575605-0.142336j -0.044713+0.299693j 0.0569759+0.108374j -0.139379-0.0113285j -0.015349-0.00537585j 0.0604772+0.0363757j 0.120907+0.234198j 0.0324384+0.039335j 
-0.0911585-0.0615597j 0.164239-0.0893166j 0.0799048-0.111393j -0.213044-0.264559j -0.0665894-0.0354579j 0.0180092-0.0848529j 0.019728+0.261277j -0.154968+0.0464696j -0.0867839+0.0514039j -0.0912404-0.0725173j 0.0592824+0.416097j -0.178081-0.0175025j -0.0362022-0.0807437j -0.0920922-0.134501j -0.0301743-0.00158262j -0.131606-0.0149769j 0.098467+0.0478718j 0.102157+0.18303j 
