-0.272026-0.0418066j -0.930867+0.00681822j -0.118565-0.0143272j -0.0169109+0.0465757j 0.0564097+0.0279435j -0.0639014+0.0158625j -0.0162789-0.0300752j 0.0458037+0.024792j -0.0273871-0.00377581j 0.0152549-0.0111707j 0.0794889-0.00275649j -0.00571945+0.0182094j 0.0123179+0.00047273j 0.047567-0.00898566j -0.00157951+0.00822199j 0.0241603+0.0029518j -0.0349918-0.00453569j -0.0133403-0.0455265j 0.0158133-0.00324586j -0.0267626-0.0101398j 0.0231852-0.0185738j 0.0116249-0.0100142j -0.00978162-0.00995778j 0.0102315-0.00874064j 0.00614074+0.00834219j -0.0158304+0.00530085j -0.0353721+0.00318142j 0.00357843-0.0118804j 0.016172-0.0248023j 0.0246-0.0038934j 0.0258636+0.00766104j -0.00725678+0.015926j 0.0190162+0.00794775j 0.0103572-0.0147785j 0.0221222-0.000376132j -0.0196497-0.0100778j 0.00657527-0.0189926j -0.0124703-0.0267128j -0.0220703+0.00529435j 0.00700619+0.00828148j 
0.357524+0.259917j -0.369664-0.0393561j 0.251047+0.0527599j 0.0944242-0.0640648j 0.00630063-0.0334625j -0.0540947+0.00281688j 0.0624001-0.0362494j -0.0228608-0.0392937j 0.073142-0.0524554j -0.0364672+0.0326043j -0.0964287-0.000818335j -0.0229926-0.00961365j -0.0574564+0.0284854j -0.0922056+0.0382087j -0.037009-0.00380075j 0.00908296-0.0228476j -0.0489486+0.0174747j 0.0424648+0.0552914j 0.0247149+0.0251941j -0.0122814+0.0267039j -0.0503058+0.0242398j 0.0302307+0.00256892j -0.0336024+0.0199429j -0.0079757+0.0133371j 0.0139928-0.018001j 0.0121324-0.0124604j -0.00432556+0.00300012j -0.0420441+0.0204963j 0.0151508+0.02979j -0.00875788-0.00985038j -0.0223365+0.00180746j 0.00651814-0.00585587j -0.0274399+0.0063064j -0.017273+0.0218407j 0.0189446-0.0051744j -0.00264605+0.0208595j -0.0196882+0.00319218j 0.00256238+0.0435531j 0.0236738-0.0606974j 0.00930957+0.0138216j 
-0.249244+0.551148j 0.0968685-0.0750506j -0.110009+0.289102j 0.0150473+0.0480378j -0.00725523+0.0514844j -0.0307267+0.0135504j 0.0487385+0.0978731j 0.0328113-0.0643171j 0.00217828+0.0605063j 0.0300389+0.00551759j 0.0817472-0.111629j 0.000939647-0.00759766j -0.00504112+0.00989257j 0.0576072-0.0161592j -0.0162995-0.0349211j 0.00399167-0.00212624j 0.0153516-0.0257445j -0.0144224+0.00629767j -0.0237263-0.00458344j -0.00883622+0.0152576j -0.0236019-0.032516j 0.0112063+0.0189628j 0.000500161-0.0170703j 0.00960001-0.000465521j -0.00552636-0.0231965j 0.0161396-0.0246008j -0.0198626+0.0250693j 0.0104001-0.0156139j -0.0119091-0.000836679j -0.000473841-0.00441797j 0.0237737-0.000442416j -0.00152616+0.0244118j 0.0258303-0.0440476j 0.00703419-0.0063902j -0.00489998+0.00863302j -0.0100777-0.0149714j 0.0191627-0.03588j -0.0297636+0.00268527j -0.00735722+0.00533819j 0.012582-0.0318614j 
-0.300713-0.0837038j 0.0512476+0.00641601j -0.0978824-0.199181j 0.168058-0.0375212j 0.0139779-0.211701j -0.126892-0.0966239j 0.168461+0.0675595j 0.00401293-0.131542j 0.0336205-0.181745j -0.0329875+0.0399953j -0.0773137-0.020194j -0.0790953-0.104757j -0.109189-0.0205015j -0.102941-0.00713158j -0.0671484-0.0114435j 0.0441627-0.047306j -0.0329816-0.00395295j 0.0434914+0.100475j -0.0317379+0.0136973j -0.00304741+0.0768926j -0.0692684+0.0368398j 0.0241708-0.00879782j -0.0572497-0.0260856j -0.0310783-0.0210323j 0.0149028+0.00451439j 0.0257132-0.00524588j -0.0117587+0.0152658j -0.05334+0.00582922j -0.00372689+0.0730217j -0.0131888+0.01127j -0.0361988-0.00048859j 0.0335902+0.00243811j 0.012686-0.0177614j 0.00526349+0.00669032j 0.0187361+0.00310398j -0.000941816+0.0015327j -0.00604442+0.00388878j -0.0762931+0.0581866j 0.0050883-0.0821373j 0.0377645+0.00105205j 
0.00399766+0.0592217j 0.0742443-0.00347016j 0.124239-0.109931j 0.0412236+0.240167j -0.185368+0.0409503j 0.351114+0.0379322j 0.117558-0.23958j 0.245018-0.0372999j -0.00398657-0.170281j 0.0342615-0.0310386j 0.165109-0.0610268j -0.0217556+0.0145633j -0.0105016-0.0254138j 0.0135039-0.0107891j -0.081724+0.0144563j -0.033413-0.028723j 0.0135432-0.0392529j -0.00884757+0.033657j -0.0167988-0.0189467j -0.0238935+0.0673368j -0.0295716-0.0143712j 0.0388799-0.0204086j -0.0424833-0.0212261j -0.0181226+0.0186411j -0.0161627+0.0243435j -0.00427135-0.000638575j 0.00452998+0.0215018j -0.00720742+0.0133447j -0.0319056-0.0150499j 0.0730708-0.00794808j 0.0459855-0.0187338j -0.0346911+0.0252124j 0.0459816+0.0023067j 0.0125528-0.0462508j -0.0570634-0.00217324j 0.00868787-0.0268927j -0.0105134-0.0236696j -0.0205414+0.0362906j 0.0225178-0.00649941j 0.0144343-0.0235866j 
0.146777+0.00371075j -0.0608013+0.00839295j 0.213333-0.0503844j 0.0331537+0.0633389j 0.0477399-0.0748833j -0.197135-0.122145j -0.000124399+0.224382j -0.00737232-0.234417j 0.149551-0.0748096j 0.0567335-0.0123522j 0.152664-0.160427j 0.0649654-0.0925112j 0.0370703-0.0916474j 0.11427-0.0721797j -0.0306621-0.0457792j -0.0421987+0.00160112j 0.0402754-0.0619199j -0.069708-0.0388115j -0.0587431+0.0306043j -0.0759825+0.0545883j -0.00411442-0.0277636j 0.00706189-0.0100399j 0.00946844-0.0833199j -0.00014071-0.00841142j -0.0168325-0.00220266j -0.0263402+0.0343169j 0.00555105-0.0287747j 0.0272344-0.0301015j -0.0153379-0.00461675j -0.0408579+0.00648031j 0.0248089+0.0113532j -0.00820156+0.0278092j 0.0298879-0.0747701j 0.0300245-0.0247784j 0.0184637+0.0111924j -0.0114367-0.0144314j 0.041279-0.036746j -0.0303975-0.049456j -0.021317+0.0526742j -0.0274425-0.0889684j 
0.034396+0.0543788j 0.0178247-0.0300558j -0.0041105-0.0218545j -0.0963725-0.141958j -0.128281-0.162066j -0.20209+0.0900812j 0.191749-0.125169j -0.0973146-0.121163j -0.179527-0.0478427j 0.224797-0.0617354j 0.195676+0.0626413j -0.0322602-0.0382152j 0.0783171-0.0145082j 0.139826+0.0557938j -0.144008+0.0286342j -0.0581087-0.045657j 0.0405056+0.0108946j 0.0493942-0.0580512j 0.00670497+0.0346726j 0.0795944+0.0112285j 0.047696+0.0109328j 0.0327271-0.0337263j -0.028996+0.0282514j 0.0107255+0.0170681j -0.00219375+0.0172585j -0.04411-0.00948031j 0.0276854-0.0144409j 0.0655975-0.00498828j 0.0137951-0.0639523j -0.03174+0.0319464j 0.0318851+0.0423658j 0.00516848-0.0145536j -0.00950234-0.00457415j 0.00749449+0.00757249j 0.0157808-0.00537674j -0.00331066-0.00819082j 0.00604113+0.0181053j 0.0135503+0.00437208j -0.0461236+0.0280155j -0.0160985-0.0107934j 
-0.0593808-0.00118547j 0.0251533+0.0287727j -0.00345257-0.00963682j 0.0423505-0.0799683j 0.0063306+0.0921208j -0.0747373-0.121058j -0.275066-0.0539866j -0.0922033-0.0503122j -0.0991236+0.149891j -0.0231266-0.0738818j 0.058282-0.146806j -0.0318305+0.0201089j -0.0828912-0.00608144j -0.0663042-0.0211465j -0.109015+0.153221j -0.021985+0.0370095j -0.0130139+0.00794904j 0.0246624+0.0770705j -0.0240577+0.0249389j 0.0353741-0.0514427j -0.00994996+0.0533578j -0.0351889-0.01136j -0.0626694+0.0578455j -0.00765856+0.0123418j -0.0109645-0.0255152j 0.00818147+0.0275347j -0.0319583-0.00913945j -0.0332556-0.00248925j -0.0390201+0.0134304j 0.00949614-0.00170629j -0.000482782-0.00260992j 0.00879704+0.0233267j 0.0222531-0.0375695j 0.00883753-0.00159321j 0.00275108+0.00463527j 0.00881929+0.0128199j 0.0190859-0.0209881j -0.0335387+0.0469191j 0.00314803-0.0670585j 0.0507484+0.0167737j 
0.0984708+0.0939737j -0.0237967-8.54799e-05j -0.116867-0.107836j 0.122936-0.133498j -0.172961+0.11487j -0.0350632-0.0210908j -0.00450898-0.152975j -0.108797-0.111986j -0.185613-0.125361j -0.0155972+0.0633216j -0.0857096-0.0579474j -0.0623457+0.038151j -0.00339969+0.00579671j -0.00247662-0.0221385j 0.0294019-0.0265005j -0.0136262-0.00841465j -0.0055688+0.00558809j 0.0551111-0.0843832j 0.034033+0.0240253j 0.0911125+0.0408398j -0.018001+0.0521109j 0.0241107-0.0198635j 0.0548253+0.00898609j -0.0179245-0.000974176j 0.0196256-0.0113412j 0.0241222-0.0189827j 0.0171359+0.0132651j 0.0113201+0.0084329j 0.0451613+0.00657143j 0.0119449-0.0237018j -0.04479-0.0288102j 0.00029208-0.00824684j -0.0476098+0.0124283j -0.0202913+0.0284092j 0.00617464+0.00348682j 0.0125047+0.0189475j -0.00794814+0.000392254j 0.0430795-0.00549617j -0.0176904+0.0123435j -0.0627047-0.00805876j 
-0.0233245-0.0336798j 0.0152791-0.0553745j 0.0524453+0.0505492j -0.16377+0.00184003j -0.0451468-0.129829j -0.0608725+0.346956j 0.193152+0.116379j -0.0763087+0.224058j 0.137377-0.0137776j -0.0311538+0.0148648j -0.0537336+0.0528619j -0.0637823-0.0120386j -0.0395352+0.0255186j -0.0342922+0.00897371j -0.02432-0.0126218j 0.0128117+0.00451018j 0.0374061+0.0071287j -0.011882+0.0205734j 0.0303997+0.0146087j -0.0466208-0.00476572j 0.0297485-0.0454018j 0.0209911-0.0126807j -0.0317023-0.00552786j 0.0212956+0.0156448j 0.0027015+0.032482j -0.00477569-0.042384j -0.00449221-0.00508652j -0.0152327+0.0149658j -0.00682909+0.0037774j -0.0258924+0.0460826j 0.0251385+0.00544916j 0.0158116-0.0240703j 0.0168946+0.0113171j -0.00148153+0.0103969j 0.00203942-0.0148338j -0.0132647-0.0274655j -0.0184895+0.0210495j -0.0224115+0.00680678j -0.000194609-0.00450182j 0.0112089+0.00761968j 
-0.0402906+0.0296962j -0.0222649-0.0227571j -0.0217092-0.0366445j 0.0735546-0.012978j -0.301976-0.0714996j -0.0793917+0.169502j -0.0599569-0.106826j -0.149221+0.0731044j 0.116569-0.0245039j -0.271705-0.11137j -0.118211-0.095835j -0.112422-0.053046j -0.133667-0.0644147j -0.119921-0.119522j 0.161893+0.0717399j 0.00339824+0.0307119j -0.0536177-0.0603881j -0.0660188-0.00376989j 0.0183815+0.0264444j -0.0140782+0.0237004j -0.0353525+0.00138844j 0.0167503-0.0471718j 0.0403737+0.000177334j -0.00908691+0.0168462j 0.0153988-0.00825014j 0.0407566-0.0146069j 0.0172926+0.00781663j -0.0346377-0.0239459j -0.025617+0.0213628j 0.00615996+0.00850772j 0.0208137-0.0499872j -0.00475555-0.0187213j 0.0110004+0.0132645j -0.0200383+0.0227951j -0.00436572-0.00636651j 0.00348451-0.0037443j 0.00513256+0.00366466j 0.0357435-0.0250793j 0.0321896+0.0170669j -0.0289315-0.0312921j 
