-0.109523-0.126583j -0.323649+0.00511713j 0.0419635+0.383901j -0.251666+0.083664j -0.00257307-0.169969j -0.0959312-0.115866j -0.0199113-0.0570237j -0.0018897+0.0409499j -0.0306819-0.0226189j -0.0293772+0.00354609j -0.00420626+0.0191488j 0.0182602+0.0481484j 0.00884389+0.073995j -0.00497557-0.0269728j 0.00970248-0.024165j -0.0132566-0.0802303j 0.0437123+0.0752116j -0.0268161-0.0567438j 0.0883854+0.0703591j 0.0334246+0.00667146j -0.00490614-0.0286079j 0.0341996+0.0121527j 0.0122192-0.0141473j -0.0046651-0.00851571j 0.0149379-0.0277004j -0.00564914+0.0241223j -0.00452062+0.0129356j -0.0245587+0.00126824j -0.0132078+0.0111868j 0.0467118+0.05608j 0.0123025+0.0304977j 0.0274222+0.0286994j 0.018589-0.00526534j -0.00986014+0.0028532j -0.0548028-0.0402468j 0.00864775+0.0304251j 
0.0641317-0.0888901j 0.151252-0.0820397j 0.00731606-0.307065j 0.212807+0.102723j -0.123806-0.21636j -0.0818306-0.145607j -0.0510224-0.0846438j 0.0858374+0.10793j 0.032599+0.0362981j -0.015951-0.00445661j 0.0267564-0.0344351j 0.0326951+0.0897461j 0.0485833+0.0428951j 0.0699437-0.0832142j 0.0332031+0.00520904j 0.0332308+0.0289717j 0.0334683+0.0937932j -0.0395234-0.0261859j 0.140528+0.149481j 0.00468639-0.0287877j -0.0216463-0.0581989j -0.00835811+0.000320371j -0.00174899+0.00499893j 0.00653254-0.0356196j 0.0312195-0.0587705j 0.00986297-0.00934083j -0.015667+0.00646837j -0.0218012+0.0203767j -0.0528123+0.0322895j 0.0666441+0.0751023j -0.0203598+0.0156577j 0.0060272+0.0187617j -0.00179066+0.00754086j -0.0378401-0.0228553j -0.0919165-0.0629436j -0.0146761+0.0668592j 
0.201625+0.021829j -0.0416994-0.255631j -0.180329+0.0320658j -0.0600821-0.0804398j 0.177543+0.00932206j 0.0631989-0.17652j 0.0364362-0.139373j 0.000105937+0.102502j -0.0489878-0.103602j -0.0556848-0.02445j -0.0280905-0.115407j -0.0523972+0.0155158j -0.0433898+0.00601154j -0.00940914-0.0264051j -0.0106258-0.0186581j 0.0126946+0.0222255j -0.0489923+0.0105013j -0.0116071-0.109529j 0.000435807+0.178833j -0.0063637+0.046055j 0.0411861+0.0807996j 0.0146944-0.00495255j 0.0212446-0.0012415j 0.00219044+0.000983689j 0.073851+0.0500862j -0.00275373-0.00537844j -0.0224986-0.0307925j -0.0219938-0.033055j -0.00740072-0.00496669j -0.0424286+0.0100929j 0.0322867+0.0280476j -0.0273435-0.014314j 0.03563+0.0352138j -0.0251583-0.0951963j 0.0174166-0.00924934j 0.0434581+0.0385789j 
-0.040082+0.0807518j -0.00145039+0.240048j 0.373861-0.0105342j 0.0166599+0.258766j -0.00866721-0.0802941j -0.0394489-0.00245737j 0.0126728-0.00832092j 0.0347794+0.0543394j -0.0023361-0.0195797j 0.0267027-0.0168261j 0.0360094+0.0140089j 0.0256464+0.0112497j 0.0088594+0.0180588j 0.0112599+0.00280533j -0.00483922+0.000844099j -0.030649-0.0163422j 0.0109408+0.0197924j -0.00477004+0.00104998j 0.022058+0.0254307j -0.00355132+0.0149435j 0.00364114+0.00208737j 0.0104195+0.000456005j -0.00117834-0.00903213j -0.0117759-0.00783449j 0.00428068+0.00712531j -0.0356422-0.011106j -0.0284557+0.0298974j 0.00759788-0.0164592j -0.00342821+0.00685971j 0.0123145-0.00656989j 0.00413371-0.0208369j 0.0207779+0.023479j -0.00406867-0.00585243j 0.00114898-0.00824751j -0.00869403-0.00077503j 0.00327716-0.00382696j 
0.0238089-0.13224j -0.105008+0.055893j -0.217342+0.00466417j 0.06346-0.303051j -0.0770102+0.0312116j -0.0927117+0.285697j -0.0281747+0.165098j 0.0611479-0.265597j -0.00916622+0.0133458j -0.0396419+0.0119814j -0.0261951+0.0140667j 0.0100129-0.0193259j 0.0216397+0.043995j -0.00607361-0.00630779j 0.0603094-0.00865951j 0.0300004+0.00154782j 0.0146901+0.0261288j -0.0323101-0.0136922j 0.0547582-0.0495195j 0.00462166+0.0234671j -0.00750947-0.0497768j 0.0293085-0.0148549j -0.0164891-0.0392253j -0.0296878-0.00231226j 0.000732057-0.030149j 0.00220179-0.00962238j -0.0193891+0.0394827j -0.0132542+0.0104038j -0.0161089+0.00996527j 0.0291541+0.00564928j 0.0220762+0.00451963j -0.00251738-0.00244922j 0.0043621-0.0470091j -0.0104875-0.00622629j -0.0327292+0.00491334j -0.00145495-0.0257574j 
-0.314392-0.140006j 0.151891-0.300128j -0.191086+0.00335565j -0.0786307+0.132423j -0.209844-0.119014j 0.0235146-0.335622j -0.0231696-0.185779j -0.122769+0.116723j 0.104515+0.100557j -0.00447941-0.0299132j 0.0666974+0.0497917j 0.0479245+0.0535151j 0.00352808-0.0598876j 0.0327948+7.54506e-05j -0.00273243+0.0158059j 0.029088-0.006523j 0.0470867-0.0399414j -0.0171844+0.0299224j 0.00359339-0.10719j -0.0141346-0.0560231j -0.0673705-0.0590679j 0.00090018+0.0207535j -0.041137+0.0097555j -0.0129359-0.0158765j -0.0914143-0.0435672j 0.00189341-0.0242752j 0.0216374+0.0257548j 0.0305904+0.0315861j -0.0177395+0.0341816j 0.0552271+0.0269553j -0.00422643+0.0491024j 0.0193363-0.00300302j -0.0500764-0.0641428j 0.0504417+0.0762522j -0.039118-0.0109753j -0.0592214+0.033739j 
-0.127165-0.198518j -0.0133176+0.0845765j -0.0200965-0.063542j 0.0363888-0.0316079j -0.232221-0.192949j -0.158243-0.134157j -0.094441-0.120889j 0.119892+0.0714643j -0.0600084-0.103995j 0.00465003+0.0159484j -0.0180093+0.00304163j 0.0293717-0.037556j 0.0224834+0.00951797j -0.0204582+0.0509177j 0.0702242+0.0220582j -0.013571+0.00338253j -0.0364357-0.00940487j 0.00322427-0.00859491j 0.0168632-0.0293224j -0.015504+0.0196815j 0.00972061+0.0386217j 0.0154993+0.0170733j 0.00323694+0.0588421j 0.00629615+0.00013663j 0.00961246+0.0668826j 0.0143086+0.0129929j -0.0249421-0.0199846j -0.00232365-0.019076j 0.0544683-0.0263782j 0.0305467+0.010425j 0.0125021+0.0219294j 0.0134756+0.00714541j -0.015237-0.0181499j 0.0523344+0.0227068j 0.0655344+0.034433j 0.0478665-0.0750817j 
0.149208-0.0251843j -0.120069+0.00762528j 0.0240971-0.0326259j 0.14658-0.0132651j 0.218936+0.021374j -0.0168044-0.0808594j -0.0260505-0.0660986j -0.0245085+0.0431883j 0.0137571-0.046346j 0.00695503+0.00203244j -0.00036866+0.0531594j -0.00702859-0.0821041j -0.0761755-0.099067j -0.0354601+0.0885231j -0.06482+0.0637922j -0.00144363-0.0302465j -0.0524394-0.0563727j 0.0339745+0.0646957j -0.153968-0.227583j 0.012453-0.0308704j 0.0175045+0.0406423j -0.0128057+0.0181163j 0.0228405+0.0461127j -0.00838332-0.000448323j -0.024993+0.0769148j -0.0133915+0.0238033j 0.0128966-0.0341968j 0.0312006-0.0487985j 0.0740533-0.0313331j -0.0491778-0.0599096j 0.0325312-0.0167845j -0.0152831-0.0115304j -0.0129621-0.0354991j 0.0549856+0.0543548j 0.144534+0.0757997j 0.03739-0.107586j 
-0.236874+0.134118j 0.239797-0.0975952j 0.00124254+0.0288442j -0.176026+0.117652j -0.187166+0.162789j 0.170537-0.0317003j 0.117618+0.0214186j -0.125883+0.0181811j 0.0571748+0.0165167j -0.00152256-0.0236466j 0.00648682+0.0226252j -0.00724007-0.00134443j 0.103839-0.0108311j 0.0202798+0.00328205j 0.0621828-0.0954394j -0.00360456+0.00304839j 0.0214263+0.0271825j -0.0241292+0.0232635j 0.0257549+0.0676177j 0.0366092+0.00868015j -0.0767206+0.0154926j 0.00473455+0.00615965j -0.0213997-0.0126562j 0.0133222-0.0159542j -0.0209246-0.0109935j -0.00274646-0.000959726j 2.05985e-05-0.00261204j 0.0105287+0.000863061j -0.0296659+0.0128774j 0.0128613+0.00562289j -0.0265213+0.00383013j 0.0191367-0.0048682j -0.0231453+0.0165418j 0.00936827-0.00322489j -0.0127664+0.000228242j -0.0337855+0.0155009j 
0.0911116-0.00656765j -0.0486542-0.0251656j 0.0156134-0.0526293j 0.0957133-0.02634j 0.0561119+0.0702272j 0.0141675+0.0271214j 0.118127+0.131347j 0.0135922+0.0792244j -0.0570716+0.0249569j -0.0512268+0.0398414j 0.0527173+0.11965j 0.0491574+0.0291866j -0.0266854+0.0100941j 0.0325145-0.0272621j 0.0372782-0.0585715j -0.0478989-0.177473j 0.135889+0.206451j 0.0648271+0.287917j 0.00524572+0.0526869j 0.171373+0.00186826j -0.0158573-0.0131804j -0.00883322+0.0163398j -0.0342063+0.0187074j -0.0100562-0.0264297j -0.025602-0.0217389j 0.0295595+0.034867j -0.0298477-0.00263352j -0.0191521-0.00958114j 0.0160884+0.0403109j 0.0789155+0.115443j -0.0218252-0.00925603j 0.0248329+0.0338128j -0.0336988-0.00222414j -0.0147004+0.0413179j 0.00264032-0.0178364j -0.0209148-0.0134556j 
0.24506-0.00158578j -0.190168-0.0227167j 0.0540604+0.0204283j 0.0951793+0.0852997j 0.177526+0.0638145j 0.00373981+0.0952014j 0.126981+0.0275815j -0.0831405-0.192203j 0.295994+0.137087j -0.148387-0.0454618j 0.146431-0.00939356j 0.0783872+0.0904536j 0.022457+0.0121184j 0.141633-0.0360224j 0.102244-0.0787819j 0.0826671+0.0491925j 0.0865751+0.0437263j -0.112278-0.12707j 0.215268+0.102217j -0.012805-0.000258143j -0.156168-0.0880205j 0.0127399-0.0394037j -0.0243745-0.0630663j -0.0169391-0.00280438j -0.0310124-0.13084j -0.0083702-0.0366927j 0.00530584+0.0696083j -0.0158109+0.0773155j -0.0357462+0.0192916j 0.0764316+0.00915961j -0.00437078+0.029626j 0.00734133-0.00713392j -0.0218275-0.0493407j 0.00491826+0.043871j -0.076191-0.0155952j -0.0307073+0.0272335j 
