0.0967559-0.0124211j -0.0269185-0.00171062j 0.330034+0.000934812j -0.142785+0.00224332j -0.0868653-0.0132569j 0.0923954+0.00260854j 0.00407854+0.00223658j -0.140732-0.00419695j -0.0285806-0.0104218j 0.0190347+0.0062569j 0.486593+0.00805771j 0.281379+0.00382994j -0.405504+0.0103996j -0.0563559-0.00360723j 0.0402903-0.0018669j -0.0903123-0.00973097j 0.0728757+0.01205j 0.0707616+0.00596019j -0.0869314-0.0138376j 0.0889869-0.0270409j 0.00742064-0.00958421j -0.0209785+0.0400268j -0.095562+0.0317195j -0.0286868+0.0268599j 0.0604182+0.0132399j 0.208203-0.0233857j 
0.118659+0.00122519j 0.0198218-0.0236506j 0.0825568+0.0072462j -0.18092+0.00581716j 0.0944688-0.00980023j 0.118854-0.00435005j 0.198671+0.00117835j -0.111578-0.00839062j -0.0748758+0.0026384j -0.430072-0.00473024j 0.277114+0.00520805j -0.296716-0.00844148j 0.101759+0.00694897j -0.00433341+0.0312256j -0.09068-0.00921215j 0.161683+0.00188775j -0.00883898+0.0100769j -0.179593-0.0097079j -0.211872+0.0127989j -0.0306259+0.0276844j -0.101726+0.0454223j 0.0724285+0.00875172j -0.125601-0.01484j -0.0625448-0.0151154j -0.23715+0.0325064j 0.0483045+0.0329173j 
0.0698422+0.00563955j 0.0372358+0.0153405j 0.359361-0.00978761j -0.126274-0.0135321j -0.0770665+0.0196064j 0.305096+0.00830049j 0.0127397-0.02261j -0.232418+0.00516564j 0.112218+0.0529453j 0.0181+0.0118841j -0.202387+0.00888843j 0.0394195-0.0349217j -0.0230736-0.0329336j -0.0383311+0.00441643j 0.0713148-0.00955133j -0.0441424-0.0167153j 0.0546867+0.0113359j -0.0686537+0.00220946j -0.00668689-0.00184054j -0.0982076-0.0184849j 0.132292+0.00771815j -0.104447+0.0375833j -0.0489097-0.000905381j -0.0256615+0.00911113j 0.0358013-0.0223154j -0.0377205+0.00533756j 
0.0615292-0.00459125j -0.0029563+0.0104535j 0.201101-0.00169845j -0.0645187-0.0138812j -0.014605+0.0159904j 0.0707105-0.00287863j 0.00971451-0.00474112j -0.00834648+0.00285386j 0.000843624-0.00539295j 0.0339243-0.0101264j 0.159492-0.00491031j 0.0972697+0.0339761j -0.1162+0.0167037j -0.0168305-0.00904582j -0.0237842+0.0120844j -0.0435323+0.013106j -0.00279919-0.0215582j 0.00716348-0.00188827j -0.0321701+0.00682947j 0.0184865+0.0298149j 0.0134201-0.0185755j -0.00492032-0.0906089j -0.0342494-0.0368823j -0.0331603-0.0456153j 0.021957-0.0179707j 0.0800299+0.0112493j 
-0.0130296-0.0024336j 0.000999411-0.00118377j 0.0110264+0.0125186j -0.012145+0.0085325j 0.0896009-0.0130756j -0.0334973-0.00358161j -0.00757725+0.0191463j -0.0172362+0.0187901j -0.0848143-0.034351j 0.121367+0.0101521j 0.115179-0.0276359j 0.0504197-0.0377211j -0.0774206-0.0730162j 0.0222387-0.017387j -0.0369499+0.0282953j -0.0283038+0.0746432j -0.00353635-0.0356412j -0.0635909-0.0219123j -0.0608861+0.0259953j 0.00208521+0.0193612j -0.0100649+0.0245267j -0.00930603-0.00534477j 0.000935274-0.0197994j -0.0383942+0.00835626j 0.0120834+0.0002j 0.0357699+0.0104456j 
-0.110623+0.0171182j -0.0398122-0.00473392j -0.203567+0.00730668j 0.154362+0.0158316j -0.0656286+0.00274197j -0.217209-0.0011613j -0.070138-0.00655262j 0.11386-0.00894076j -0.018407+0.0187935j 0.17536-0.00593896j 0.201318+0.00756472j 0.250732-0.00775842j -0.217002+0.00195341j -0.0294338+0.0224593j -0.00860828-0.0133883j -0.0585169-0.0173005j 0.0201147+0.0151746j 0.119554-0.00308382j 0.0425278+0.0097528j 0.0820987+0.0111392j -0.0236829+0.0327676j 0.0257076+0.0122581j 0.0440155-0.0152433j -0.0108345-0.0142661j 0.133148+0.0212401j 0.0982713+0.0264004j 
-0.0237122+0.0467326j 0.063462-0.0153879j 0.17824+0.00689241j -0.0309636+0.0279251j 0.0247246+0.00484868j 0.212847-0.00687707j 0.0613796+0.0316939j -0.145086-0.0020665j 0.0545663-0.0341512j 0.184636-0.0152355j -0.170194-0.0236628j 0.056351+0.0226184j -0.0124769-0.00223625j -0.0330747-0.0172845j -0.0118289+0.00784589j -0.0793644+0.0127489j 0.0646354-0.00717495j -0.168758-0.00547792j 0.0576495+0.00664939j -0.146214+0.0271858j 0.148458+0.0172287j -0.130992-0.0141429j -0.0267348-0.0114995j -0.0456996+0.0131224j 0.0747831-0.00328014j -0.0949868+0.0161198j 
0.0102356+0.0429711j -0.0518408+0.0514014j -0.0878491+0.0137944j -0.0228863+0.0479872j -0.0389988+0.0298971j -0.115426-0.00403548j 0.00571526-0.00343865j -0.0210758+0.00683093j -0.0102286-0.00731685j -0.163018-0.014143j 0.132419-0.012195j -0.0468347+0.00484858j -0.0110891-0.023036j -0.0260341-0.0364926j -0.0849574+0.0108184j 0.0938088+0.00468255j -0.0245453-0.013738j -0.0562117+0.00598371j -0.155896-0.00306244j 0.0674196-0.0258097j -0.0792221-0.0239993j 0.0634212-0.00378166j -0.0138809-0.0124442j -0.017232+0.00548149j -0.101148-0.0153063j 0.0617062-0.013282j 
-0.0586067-0.00591297j 0.0459613+0.00175399j -0.171347-0.00720324j -0.0182126-0.0144067j 0.370041+0.00554593j -0.19454+0.00142463j -0.0846894-0.00547007j -0.393345-0.0010431j -0.314869+0.00798761j 0.380584+0.000497711j 0.0329274+0.00625359j -0.119429+0.0102989j -0.123491+0.0145508j -0.00877194-0.00323821j -0.181755-0.00166416j 0.100207-0.00873106j 0.238359+0.00402038j -0.27527+0.00421812j -0.196769-0.0075398j -0.0861928-0.00491899j -0.06102-0.0097819j -0.120954-0.00252721j -0.00810837+0.00497355j -0.128124+0.00188264j -0.0400074-0.00867305j -0.0236664-0.0058698j 
-0.00404674-0.0117331j -0.031147+0.00759525j -0.0774433+0.0120803j -0.0426506+0.0164346j -0.288904-0.0120347j -0.1166-0.00198324j -0.297874-0.00628028j -0.5673-0.00336875j 0.152458-0.0069519j -0.123926-0.00192752j -0.294675+0.00564855j -0.0235941-0.00292409j -0.0605753+0.0023507j -0.089119+0.0113596j 0.104998-0.000489622j 0.144234+0.00159732j 0.149398+0.000325757j 0.148582-0.00139981j -0.062046+0.00575772j 0.133445-0.00331908j 0.00576895+0.00202364j -0.0565467-0.00699123j -0.0250763-0.00538878j 0.0243425-0.0190308j 0.0289236+0.0261905j 0.0209307+8.87183e-05j 
-0.053023+0.0140641j -0.00163672-0.0240632j -0.0643484+0.00328255j 0.000277053+0.0201982j 0.0436062-0.033572j 0.058643+0.00409103j 0.0429769+0.018943j -0.0960944-0.00221127j -0.0318942-0.00632861j -0.00998703+0.00430563j 0.060655-0.0102248j -0.0121045-0.0372219j -0.0373978-0.0329929j -0.0173971+0.0205808j 0.0252567-0.0192738j -0.00551096-0.0343854j 0.0487778-0.0032627j 0.000377968+0.00407454j 0.0503255+0.00636761j -0.0170557+0.00364345j 0.0154166-0.0334511j -0.0225757-0.0187526j -0.0170603+0.0117439j -0.00650941-0.0179842j -0.00369489-0.0173465j 0.00244939-0.0073128j 
