0.445519+0.338045j -0.0827713+0.0612729j 0.180564+0.0334762j -0.00113191+0.0327252j 0.00975722-0.00733153j -0.0307126+0.0444586j -0.00782245+5.65189e-05j -0.0315031-0.0222074j 0.0788134+0.0059327j 0.00556298-0.00352915j 0.00336046-0.00735071j 0.00415491+0.0118224j 0.00191902+0.00702029j 0.00556585+0.00285254j 0.018508-7.90534e-05j 0.0184994-0.0221401j -0.00790805+0.0124269j 0.0164523+0.00114452j 0.0209097+0.0220404j 0.00388868-0.00600091j 0.00875074-0.0444915j 0.00221222-0.00889321j -0.00305681+0.0293074j -0.0275929+0.00526688j 
0.141984-0.332299j -0.0420378-0.032401j 0.00215916+0.0181397j -0.0116573+0.00864302j 0.0341698-0.00157754j -0.013612-0.0229346j 0.00528947+0.0279544j 0.0238436-0.0148353j 0.0253585-0.00151571j 0.000182532+0.00389292j 0.0106871-0.00724003j -0.00771324+0.00885812j -0.000330518+0.00157318j -0.00659133+0.000654574j 0.0364454-0.000636499j -0.0102607-0.0103108j -0.0136906-0.00101218j -0.0207958-0.0165495j -0.00347898-0.0160099j 0.00525765+0.00436498j 0.0281136+0.012408j -0.000333495+0.0109869j -0.0169371-0.00752772j -0.00921387-0.00548435j 
0.269431-0.00809943j 0.0497117+0.0906432j -0.0539031+0.0842342j 0.0155414-0.0205829j -0.0418059+0.00201415j -0.012941-0.0402064j -0.0195482+0.0526104j -0.0366286-0.00197812j -0.0276931-0.00790388j -0.00821375+0.000297984j 0.0063356+0.00932531j -0.00124962+0.00584373j -0.00368307+0.00412069j 0.00138712-0.0115025j 0.0144191-0.000117309j 0.00440166-0.00278813j -0.00631138-0.000291452j -0.00167464-0.00616865j 0.0117694+0.00493955j 0.000305519+0.000690153j 0.00644338-0.0123424j -0.00482982-0.0040304j -0.00734829+0.0080958j 0.000971487+0.00125409j 
0.145711+0.316185j -0.000574372+0.0374155j 0.0546032-0.00483288j -0.00885634-0.00691798j 0.0143045+0.0291342j 0.0278908-0.00585701j -0.0306232+0.0178223j 0.0148277+0.0224861j 0.0249257+0.0181342j -0.00359296+0.00407078j 0.0254442-0.00480732j 0.00256274-0.00693739j 0.00287228+0.00293031j -0.0264421-0.00176053j -0.00825177+0.0235212j 0.0234207-0.00854043j -0.0106598-0.0029532j 0.0261144-0.00815374j 0.0260789+0.00972124j 0.00162288+0.00185264j -0.00219081+0.00479286j -0.00848656-0.00409357j -0.00133533-0.00386667j -0.0058731-0.00335463j 
-0.423008+0.407909j 0.0400997+0.0483752j -0.00809348-0.0240067j -0.00921239-0.00483544j 0.000816207-0.0138866j -0.0173988-0.028145j 0.0226504+0.0124635j 0.00342581-0.0159677j -0.0136692-0.0113365j 0.00751231+0.00725797j -0.0141692-0.0368365j 0.00111895-0.0168827j 0.0029263-0.00793749j -0.00409269+0.0460777j -0.028555+0.0124822j 0.00725306+0.00303057j 0.0039639+0.0141883j 0.0135371+0.00450737j -0.00743399-0.00371882j 0.000589467-0.00549193j 0.00632049-0.000278436j 0.00743363+0.00125029j -0.00300491+0.00114661j 0.00456235+0.00319456j 
0.168929+0.147641j 0.23225-0.020944j -0.348365-0.124491j 0.0403243-0.0890542j -0.0022888-0.0292641j 0.0982769-0.0722384j 0.0806652-0.085038j 0.141693+0.0384056j -0.24648-0.0276801j -0.0220551+0.000997898j -0.0135876+0.0254239j -0.0246717-0.025753j -0.00996395-0.00514927j -0.012296+0.00782004j -0.0186924+0.00550377j -8.65859e-05+0.0365965j 0.00140154+0.00609979j -0.0188154-0.00510007j 0.0204428-0.0340889j -0.00423452+0.000481154j -0.0158158-0.0275443j -0.0261407-0.0162157j -0.0504754+0.00861619j 0.0638636+0.000156341j 
-0.0892837+0.056592j -0.0771635-0.0801463j -0.0140249-0.163741j -0.0627362+0.0230616j -0.0100522+0.0150208j -0.0647756-0.0340257j -0.0565088-0.0318769j 0.00134445-0.0081104j -0.00555813+0.0425943j 0.00749549+0.0233508j 0.0219391-0.0156217j -0.00665112+0.0229171j 0.000372093+0.00696748j 0.0150985-0.00893171j 0.0115509+0.0089448j 0.0125934+0.0218874j -0.000632428+0.00267525j 0.0272393-0.00612622j -0.0288853-0.00123227j 0.000212295+0.00276335j -0.0121187+0.00767591j -0.00181416+0.011561j -0.00105199+0.0196633j -0.0214524-0.0203408j 
-0.0325128-0.0446269j -0.192178+0.594168j -0.206501+0.207495j 0.110365-0.0648901j 0.0603352-0.0301016j -0.0403153+0.0407423j -0.0398625+0.0342845j 0.03996-0.0501754j -0.0540835+0.0702218j -0.0214503-0.0140358j -0.0199558+0.00909192j 0.00697543-0.00999819j -0.00982984-0.00884208j -0.0151144+0.000718418j 0.000253298+0.00342201j 0.0143644+0.0338286j 0.00406696-0.00161871j -0.00955774-0.0125992j -0.00208643-0.00844151j -0.0114381-0.00340785j 0.02314-0.00560786j -0.0356204+0.0317505j 0.0192236+0.0187388j 0.0301826+0.00654012j 
-0.0351606-0.00950115j 0.280756-0.142619j -0.23559-0.116017j 0.00159393+0.0209628j -0.0142814+0.0139205j -0.00682992-0.0168156j -0.0167024-0.0138534j 0.0468163-0.00435016j -0.0466205+0.0109302j 0.00694435-0.0142652j -0.0236199-0.000401085j -0.00711488+0.0113038j 0.00469602-0.00650784j -0.0270014+0.00289898j -0.00513084-0.00986188j 0.02554-0.00538219j 0.00252705+0.00146777j -0.0225458-0.017901j 0.000696535+0.0088088j 9.2468e-05-0.00398498j 0.00316113+0.0121852j 0.0168874-0.0156897j 0.0078663+0.00827118j 0.0202135+0.0121262j 
0.0198307-0.0159808j -0.238873-0.102491j -0.248026-0.608297j -0.0140947-0.0752087j 0.00626788-0.0448394j -0.00306412+0.0185685j 0.00235254+0.0112028j -0.0165082-0.00373233j 0.0188811+0.0277579j -0.0195713+0.0348513j 0.023676+0.00882475j 0.0359464+0.0277908j -0.0160047+0.00130664j 0.0319214+0.0272942j -0.00130217-0.0137931j -0.00289601+0.025569j -0.00128097+0.000542286j 0.00972085-0.0394319j -0.00223903+0.0102398j -0.013605-0.000145707j 0.00725269-0.00966292j -0.006278-0.00163328j 0.0105289-0.0144701j -0.00275675-0.00272577j 
-0.045337+0.0110006j 0.0323573-0.120172j 0.0133345-0.102552j -0.0480125+0.0512857j -0.0117598+0.0312963j -0.0427466-0.0100283j -0.0404522-0.0131379j -0.0202063-0.0150396j 0.0320568+0.0395874j 0.00407899-0.00937211j 0.0145818+0.000535423j 0.0256284+0.0020771j -0.00474443+0.00158674j 0.017419+0.0070751j -0.000345495+0.00753926j -0.0113389-0.0297106j -0.000972641-0.000187188j -0.00307377+0.023178j 0.00595822+0.00793863j 0.000579899+0.00115425j 0.00986215-0.00474579j -0.0184276-0.00586072j 0.00643191-0.00929001j -0.0102561-0.0148568j 
