0.110573+0.491833j -0.136586-0.0325819j 0.0245137-0.0175851j 0.00428016-0.0239588j 0.0356667+0.0188444j 0.00963709-0.0143683j -0.000387875+0.00591623j 0.0171855-0.00931151j 0.00332208-0.0125739j 0.0266739+0.0130187j -0.0243945+0.0139122j -0.00555246+0.0139827j -0.00527032-0.0465459j -0.0130716+0.0147238j 0.0161235-0.0180793j 0.00378207-0.00160667j -0.00656956-0.00225901j 0.00677644+0.00662101j -0.000101264+8.4383e-05j -0.00395225+0.00315418j -0.0109744-0.00482977j 0.00718912+0.00177837j 0.00884543-0.00890974j -0.00867151-0.000367593j -0.0223259-0.00181179j -0.000893223-0.00573014j 0.00335089+0.0192689j -0.0129806-0.00545173j -0.00792554+0.00389782j 0.0097849-0.000470337j -0.0148892-0.00622215j -0.0142309-0.00700152j 0.0117124-0.00422025j 0.00374099-0.00362437j -0.00789507-0.000859131j 0.00138097-0.00420746j -0.00382652-0.0062123j 0.0028883-0.00716117j -0.00342194+0.00155596j 0.00368586-0.00174681j 
0.708292-0.0468161j 0.0181127+0.00197397j 0.0179784+0.0241323j 0.0357839+0.0206622j -0.01557+0.0379474j 0.0317102-0.0163434j -0.00579506+0.00674924j 0.0294895-0.00306702j -0.0102059+0.00374339j -0.0275973-0.000196498j -0.016122-0.00571578j 0.0147783+0.00303056j 0.0278816+0.00998924j -0.0123907-0.00326031j 0.014647+0.00630511j 0.00513329-0.000751448j -0.00304846-0.00484707j 0.0115801+0.0072348j 0.000467048-0.00105518j -0.00410127-0.00450747j -0.000490965+0.0017924j 0.00578214-0.00980962j -0.00706346-0.0237471j -0.000410164-0.0135373j -0.00276648-0.0314674j -0.00637763+0.000969195j 0.0290968-0.00191601j 0.00162425-0.00209833j 0.00330318+0.00755686j 0.00499291-0.0148127j 0.00552378-0.0242394j 0.00529783-0.0217353j -0.000530078-0.022283j -0.0131368+0.011442j 0.00539299-0.00156381j -0.000148639-0.00102729j 0.00449583-0.00177342j -0.00703347+0.00521681j 0.00417424-0.00199423j 0.000404249-0.000336003j 
0.04112-0.522351j -0.0871712-0.0261803j -0.0198198+0.0138417j -0.00582835+0.0293458j -0.0251315-0.00673099j 0.020633+0.0140279j -0.00968246-0.00548782j 0.0142531+0.0355067j 0.00220332-0.0234282j 0.025804-0.0179854j -0.0152725-0.0130127j -0.0128361+0.0335454j -0.0117516-0.00450516j -0.011546-0.00701251j 0.00728569+0.00342627j 0.00160734+0.00613955j 0.00447441-0.00176157j -0.00402271-0.000474799j 0.000787893+0.00445979j 0.0040597-0.00339541j 0.0140611+0.00486357j -0.00329276-0.00685658j -0.00854651+0.00818703j 0.0076969-0.000559158j 0.0217235-0.00429431j 0.000130511+0.0041869j 0.0026843-0.0214033j 0.0166508+0.00274258j 0.0100453-0.00562963j -0.012131-0.00844104j 0.0174304+0.00130667j 0.0144594+0.000866149j -0.010614-0.000872647j -0.00461034+0.0094625j 0.0100152+0.00165753j -0.000135316+0.00416536j 0.00597864+0.000268236j -0.00294379+0.00407865j 0.00375143+4.74782e-05j 0.000233024+3.80317e-06j 
0.0087379+0.0846275j 0.413647+0.323182j -0.109269+0.0542496j 0.106525-0.0201338j -0.0999545-0.0587093j -0.173319-0.0366064j -0.00435553-0.0214004j -0.0248859+0.0155644j -0.012994+0.0194602j 0.014005+0.0163897j 0.00208352+0.0251063j 0.029016+0.0122771j 0.00386488-7.04697e-06j -0.043946+0.00574004j -0.0192362+0.00815902j 0.00382573-0.00321077j -0.00339941+0.0168643j -0.00432314+0.00522046j -0.00296173+0.000334617j -0.00298057-0.00714777j -0.0167867+0.0113445j -0.0107901+0.0200199j 0.00394808-0.00740719j -0.00216066-0.00542696j 0.00361479-0.00613955j -0.00371265+0.00686336j -0.00615404+0.00261334j 0.00281293+0.00966147j -0.00256783+0.00183419j 0.00511343+0.0239244j -0.0167418+0.00264366j 0.00699587+0.00290082j -0.0135109-0.00523626j -0.00898537+0.00242521j 0.0126179-0.00629288j -0.0129245+0.00288212j 0.000736316+0.0300383j -0.0111344+0.034896j 0.00581438-0.0106481j -0.01758+0.00611991j 
0.0912897+0.0266814j 0.154221-0.320234j -0.052438-0.0337028j 0.0212495+0.0251958j 0.0105816+0.0131196j 0.00629483-0.0264915j 0.013509-0.0127477j -0.0221808-0.0088968j -0.00066372-0.0250614j -0.0238635+0.00599075j -0.0272321+0.0130398j 0.00934621+0.00123251j -0.0100549-0.00396288j -0.0121495-0.0255006j -0.0235294+0.00591708j 0.00353392-0.00398869j -0.0170985+0.0132758j -0.000170376+0.00152994j 0.00266582-0.000583256j 0.0036226-0.00325873j -0.0195373+0.00192643j 0.0160234-0.000244139j 0.00429514-0.00282841j -0.0180208-0.00252945j 0.0144826-0.000875093j -0.00681142-0.000483628j -0.00459657+0.00135858j 0.00559995-0.00120348j 0.00287753+0.00580504j -0.0282848-0.0124096j -0.0017328+0.00624687j -0.00972841-0.0110891j 0.00776284+0.0198217j 0.00331186+0.0079329j 0.0156583+0.00173892j -0.00858459-0.00408668j -0.0126555-0.00617115j -0.00983508-0.0122196j 0.0152247+0.00252983j -0.0107385-0.00560831j 
-0.000197959-0.00980573j -0.27389+0.00866376j -0.061309-0.0914146j 0.0351785+0.024177j -0.0157449+0.123577j -0.0669025+0.0754637j 0.0159815-0.029822j -0.0122865+0.00753619j 0.0365575+0.032373j -0.0218037+0.0132936j -0.0282156-0.0152995j 0.0147082+0.0256011j -0.0134177+0.0197353j -0.0229182+0.0370446j -0.0264668-0.0150798j -0.0113311+0.00154122j 0.00389881+0.000639124j -0.0017869-0.0143147j -0.00121061-0.00737279j -0.00323697+0.00220842j 0.0102462-0.00107053j -0.00178372-0.00223162j -0.00362789-0.00308888j 0.00521376-0.000130138j -0.00577199-0.00347741j 0.00335784+0.000699474j 0.00688495-6.87508e-05j 0.000169483-0.00666294j -0.00756168+0.00525286j 0.0014549-0.00254017j 0.00935307+0.000891966j -0.00374697+0.00436662j 0.00506039-0.00116025j 0.00175371-0.00616342j -0.00608578-0.00363993j 0.00424894+0.00248584j 0.000910497-0.013279j 0.000418451-0.00820229j -0.0112172+0.000212015j 0.00252107-0.00252337j 
-0.0445397+0.0792902j -0.152497-0.299035j 0.0115493-0.037549j -0.018818+0.0323162j 0.0470375+0.0215753j 0.0523296-0.00697206j -0.00593585-0.0116424j -0.00021306+0.00991961j -0.0318473+0.00293135j 0.00308717+0.0208966j 0.0135259+0.0158116j -0.00976038-0.00360186j -0.00969154+0.0116844j -0.0184924+0.011115j 0.0175228+0.0175071j -0.00868273+0.00657714j 0.0168485+0.00453445j -0.013873+0.00831981j -0.0170547+0.00147942j -0.00451254+0.00213983j -0.000970258+0.0121609j 0.0179633-0.014234j -0.00384422-0.00111843j -0.0106886+0.0128405j -0.0052857-0.0061988j 0.00671262+0.00190922j 0.00115054+0.000947579j 0.000315346-0.00422914j 0.028502+0.00324877j -0.00907875+0.0083984j 0.0155015+0.00243219j -0.0138835+0.00123542j 0.0226662-0.00108232j 0.00508665-0.00312978j -0.00825051-0.0107283j 0.00616705+0.00592082j -0.00436572-0.0024222j -0.00647303-0.00541742j -0.00394808-0.00830593j 0.00469831+0.00484579j 
0.0452044+0.0189342j -0.40621+0.404795j 0.049963+0.0533074j -0.0108827-0.0485574j 0.0026468-0.021264j -0.0101707+0.0362252j 0.0136871+0.0102529j 0.00569688+0.00381225j -0.0167141-0.0333714j -0.00953725+0.0025104j -0.00105521+0.00582299j -0.0153307-0.00709208j -0.00974003-0.00872328j -0.00773072-0.0130829j 0.00434758+0.0130054j -0.0138719-0.0104846j 0.00976702+0.00742261j -0.00607807-0.0323147j -0.00146156-0.031949j -0.00339337-0.00382657j 0.0106539-0.0131143j -0.0156511+0.00719467j -0.0015636-0.00051288j 0.0166741-0.00639628j -0.00806513-0.00729218j 0.000680064+0.0087758j 0.0087793-0.00645182j -0.011915-0.00183306j -0.0123548+0.0319636j 0.000716129+0.00846787j 0.00292028+0.000467917j 0.00360478+0.00491766j -0.000802677-0.00743469j -0.00133021-0.00925039j -0.00224532-0.00666356j 0.000193659+0.00742652j -0.00563936-0.00437744j -0.00587207-0.00449762j -0.000960693-0.00238768j 0.00207683+0.00256082j 
-0.00526487+0.011152j 0.154062+0.191262j 0.200348+0.0122832j -0.221721-0.0365072j 0.0235316+0.0875396j 0.398534+0.173522j 0.00282594+0.0303293j 0.0358384+0.0157898j 0.0276954-0.0357832j -0.0417749+0.0242412j -0.0088062-0.0205638j -0.0475312-0.0162803j -0.0485393+0.0270322j 0.0544911+0.0477961j 0.0644753-0.0198344j -0.00893655+0.012825j -0.00436269-0.0187734j 0.00196868-0.00492376j 0.000957121+0.00205063j 0.0072776+0.00122937j 0.00168231-0.000646408j 0.0041109-0.0144445j -0.000833474+0.00617115j -0.0034992-0.00956882j -0.000590714-0.000229047j -0.00404547-0.000603406j -0.00385873+0.0065257j -0.00376105+0.0288706j -0.00358945+0.00197257j 0.0162429+0.00504474j -0.00408844-0.00642126j 0.00659542+0.00965847j -0.00560548-0.00250139j 0.0152645-0.00169121j 0.00561289-0.0139546j 0.00690533+0.0107692j -0.00621041+0.0064189j 0.019654-0.0118517j 0.0327469-0.0251078j 0.0115042+0.0186196j 
0.0128286+0.0169139j -0.0631804-0.0416099j -0.262732-0.0084702j 0.039708+0.139507j -0.407177-0.145038j 0.259493+0.096923j -0.0162709-0.0286161j -0.0210154+0.0196982j -0.0209486+0.0289513j 0.0402967+0.00038459j 0.0526335+0.0100053j 0.0200407-0.00391081j 0.0134919+0.00550283j 0.00350436+0.0206315j 0.0300419-0.00821956j -0.00255675-0.00285849j 0.00554574+0.0163187j 0.00095467-0.0014675j 0.00181294+0.00641271j -0.00625151-0.00182705j -0.00506097+0.0187069j -0.00434552+0.0125591j 0.00407745-0.00841064j -0.00290685-0.0189713j -3.73911e-05+0.00643715j -0.00839019-0.0105062j -0.00537895+0.00523887j -0.000429428-0.00602743j 0.00103593+0.00107852j -0.000328924-0.0107342j 0.012385-0.0284136j -0.00742819+0.0393387j -0.00665351+0.0121353j 0.0051047-0.00178025j 0.0247046-0.0122418j -0.000110192+0.00304636j -0.0229497-0.00757325j 0.00757339-0.00114461j -0.00062728-0.00526452j 0.00333205+0.000876811j 
-0.0147202+0.00288516j -0.130289+0.0545559j -0.0349073-0.050289j 0.0652033+0.014695j 0.0406578+0.0917815j -0.00398578+0.146859j 0.0324302-0.0312308j 0.00708922-0.02237j -0.0442098-0.00749621j 0.0252507+0.0132706j -0.021394-0.0189051j -0.0123043+0.0174743j 0.0257691+0.0263013j 0.0357177-0.00563462j -0.0113443-0.0546257j 0.00742432-0.00569812j -0.0128369+0.0124274j -0.00240775-0.000900952j 0.00261583-0.0102741j -0.00251296-0.001699j 0.000697851-0.0138834j -0.00828009-0.0154522j 0.00712647-0.00441172j -0.00502069+0.0114875j 0.00151892-0.00783738j 0.00149798+0.00111538j -0.00156621+0.0112593j 0.0159033+0.00402774j 0.000776371-0.00218885j -0.00194006-0.00705903j -0.000741317-0.00550257j 0.00266755+0.0101193j -0.0196402+0.0188644j -0.0239896+0.00870389j -0.0274914+0.0149963j 0.00700762-0.00747291j -0.0069903+0.00458259j -0.0207901+0.00158383j -0.020844-0.0145481j -0.00669373-0.00437121j 
