0.0120266+0.000294565j -0.0520695-0.0758463j 0.00702636-0.0672341j 0.00421934-0.0401416j 0.0296685-0.048136j 0.00274854-0.0479382j -0.0407897+0.0217858j 0.0379238-0.0150203j -0.0126725+0.00537877j 0.0173961-0.044825j -0.0403161-0.00407253j 0.0384136-0.0141583j 0.00538349-0.0108819j 0.0186182+0.0068193j -0.00783785-0.00226409j -0.00446428+0.0203029j 0.00191537-0.000300782j -0.0128839+0.0100532j 0.010984-0.0084816j 0.0202461-0.000830081j -0.0166905-0.00488509j 0.00684742+0.0169688j -0.00467772+0.00757398j -0.0343747+0.00212987j -0.0260043-0.0190046j -0.00252626-0.0168096j 0.00671111-0.0141394j 0.00809186+0.0106447j -0.00779577+0.0118873j 0.00165684+0.0034188j 0.0188155+0.00473295j 0.0085289-0.0197954j 0.00472798-0.0170592j 0.00734516-0.00695915j -0.00335379+0.00415068j 0.00215504+0.00214564j 0.00699908-0.0147555j -0.0222609-0.00776415j -0.0286902-0.0102684j 0.00231962-0.0196259j 0.0174563-0.0127384j 0.0205837+0.00129957j -0.016323-0.00449651j -0.0168932+0.00414493j 0.00220511-0.00809532j 0.00105272-0.00735945j -0.00304559-0.00362337j 0.00685313+0.000643994j 0.0211705-0.00268173j 0.0305005+0.0386809j 0.00213105+0.00420549j -0.0297975-0.00160053j 0.000812262+0.00910472j 0.0315713+0.00658663j 0.00940101+0.0155936j 0.0101829-0.00562143j 0.0149053+0.0192362j 0.029007-0.00705529j -0.00200835-0.0394669j -0.0360836-0.0423488j 0.0295764+0.00494235j -0.0133192-0.0803388j 0.0455146-0.0956686j -0.0925991+0.00428832j -0.0608706-0.0332894j 0.0243276+0.0719677j 0.0780563-0.0139559j 0.0183707-0.00231782j 0.0259435-0.0573847j 0.0900782+0.0354312j -0.0330429-0.0042827j -0.141822-0.128713j 
0.0570161+0.074715j 0.0103599-0.00460034j -0.00457008+0.0406798j 0.00911955-0.0818253j -0.0015436+0.00143386j -0.0269769+0.0161172j -0.034576+0.0564824j -0.0452897+0.00328383j -0.00127917-0.0259165j -0.0209715-0.00284681j 0.00393348+0.0127749j 0.021315-0.00854889j -0.033746+0.0284333j 0.0216772+0.000764832j -0.0035811-0.0200029j 0.017456+0.00692068j 0.00271103+0.00742893j 0.00693086+0.012756j 0.0280807+0.0174871j 0.0174307-0.00602868j 0.0235039-0.00501753j 0.00618829-0.000377257j -0.0101507-0.00707282j 0.00823781+0.00798265j -0.0131007+0.00333954j -0.00134802-0.0104929j 0.00815333-0.00454225j 0.00872065-0.00177459j 0.000726424-0.00201238j 0.0127869-0.0100835j -0.0175957-0.00330898j 0.00713481+0.0103688j -0.00206834+0.00565347j 0.00556094+0.00895865j -0.00952959+0.00280087j -0.0232064+0.0108028j -0.00460628-0.0165153j 0.00123119-0.00346014j -0.00192809+0.000295717j -0.0219931+0.0152616j -0.00161901-0.00538903j -0.0242813+0.0140205j 0.0270762+0.0013083j 0.00292453+0.0118957j 0.0076986-0.00641838j -0.00917402-0.0120313j -0.0124974-0.00273796j 0.0284524+0.0112915j 0.0199364+0.0189949j 0.0372836-0.013545j -0.0205281-0.0132872j 0.0105431+0.0218179j 0.0248302+0.00273992j -0.00474895-0.0217147j 0.00361777+0.00490442j -0.0253216-0.00335773j 0.0095749+0.00287572j -0.0207942-0.0567932j -0.0435498-0.0383531j -0.00908294+0.0372205j 0.00850405-0.0284338j -0.0379701+0.0196709j -0.0876835-0.00584728j -0.0386807+0.107832j -0.0106635+0.043136j 0.105408-0.0233802j -0.0284895-0.0380784j -0.0334813-0.0467346j -0.0757707+0.00512587j 0.0640919-0.0834892j -0.139037-0.114653j 0.0168001+0.0104936j 
0.071317+0.0229032j 0.0462868+0.00771182j 0.0102716+0.0156784j -0.0393029-0.0268704j -0.0150483-0.0515645j -0.0330712+0.0591613j 0.0106148+0.0389027j 0.0214923-0.0647511j -0.0126585+0.030673j -0.0119969-0.0323289j -0.0108257+0.04061j 0.0560783+0.00663228j -0.0356321+0.0195762j -0.02722+0.0259696j -0.00774312+0.0146938j -0.0130605+0.0205362j -0.00499169+0.00458243j 0.00916998+0.0139906j -0.0384033+0.0115392j -0.00516573-0.00164892j -0.018432-0.00507778j 0.0114148+0.0199745j -0.0179364+0.000923833j -0.0412731+0.0230604j -0.0122316-0.0152996j 0.000645528-0.00102299j -0.033595+0.00380642j 0.0352958+0.0105967j -0.00265873-0.00447776j -0.00101302-0.0110001j 0.0185064-0.0101731j -0.0142511+0.0225802j 0.0149419-0.0130873j -0.000774402+0.0228612j 0.00603621-0.0215108j -0.00901933-0.00246251j 0.00569185-0.0151872j -0.024921+0.00870934j -0.0095637-0.000240639j -0.017717-0.0230777j -0.00232462-0.00638084j -0.0119994-0.0247062j 0.0184558-0.00496436j -0.00895214+0.0203186j 0.00399112+0.00382367j -0.00905206-0.0147411j 0.00202714-0.0347492j -0.0342862-0.0115645j -0.0171949-0.021982j 0.0250184+0.0150645j 0.0321119+0.00564865j -0.031733-0.0339391j -0.0300731+0.0455247j 0.00109722-0.0169528j -0.00694913+0.0393566j 0.00270188+0.0384712j -0.0239306+0.00426792j 0.0348014-0.00751874j -0.00764812+0.0331501j -0.00484103-0.0402631j -0.0635003+0.0422854j 0.0618553+0.000827537j -0.0344342+0.0162731j 0.0532222+0.0224607j 0.0212112+0.0562994j -0.0128041-0.0521316j -0.0271566-0.023192j 0.0770276+0.0809379j -0.0573356+0.0455196j 0.0629616+0.163513j -0.180207+0.200915j -0.0874232-0.133082j 
-0.0266342-0.00559031j 0.0908909+0.00451876j 0.0347508-0.00448902j -0.0460167+0.00158633j -0.0328419-0.0757807j 0.00782468+0.0528515j 0.011845-0.0108169j 0.00776679-0.014997j 0.00743059+0.0288282j 0.0213838+0.00276851j 0.0108209+0.0187478j 0.0103537+0.00510317j 0.000292745+0.00272783j 0.00415263+0.00263338j -0.00493942+0.00404774j 0.00129109-0.00585074j 0.018317-0.0157003j 0.0140358-0.0135207j 0.0181343-0.00140723j -0.00338272-0.00780412j 0.00835655+0.0196474j 0.00921405-0.0147395j 0.00506739+0.0208119j 0.0201894+0.00426515j -0.00262088+0.0202605j 0.012145+0.0152854j -0.0109149-0.0111827j 0.00952483-0.0023621j 0.000278687-0.0109473j -0.00374044+0.00947721j 0.00658859+0.0163125j -0.0147577+0.00615599j -0.0152428+0.00391227j -0.00400889+0.000965126j -0.00583093-0.0050191j 0.00947372+0.0133729j -0.0187237-0.014831j -0.00683261+0.00926586j 0.00329537-0.0149401j -0.00203795+0.0179966j -0.0180951+0.012976j 0.0120012+0.00965263j -0.0261381+0.00838256j 0.00622289+0.00335091j -0.00910453+0.018575j -0.0291332-0.0124321j -0.0180691-0.00660453j 0.0176064-0.00412933j 0.003247+0.0115012j 0.00283397-0.045502j -0.0239395-0.0097909j 0.0369753+0.0105696j 0.00395205+0.0111906j -0.0237634+0.00900332j 0.0709635-0.0212084j 0.0401665-0.0271234j 0.00220205+0.00859182j -0.0288471+0.00873589j 0.0336812+0.0137681j -0.0461364+0.00191743j 0.0861936+0.0894526j 0.0229068-0.0962984j 0.0142169+0.0702243j 0.0545133+0.0241832j -0.000391222-0.0300331j -0.00880312+0.0405924j -0.0229353+0.0825735j 0.0745689-0.0808115j 0.0164561-0.0225757j 0.126381-0.0564289j -0.097264-0.101707j 0.157498-0.235407j 
-0.00270921-0.0208886j 0.0162406+0.0452537j -0.0242764+0.0389166j 0.0472579+0.0596106j 0.0171715+0.0657058j -0.003184+0.00436473j 0.0217783-0.0218821j -0.0261332-0.0025479j -0.0462546-0.0201247j -0.0008715+0.00108988j 0.0138201+0.0149355j -0.00553395+0.0309171j -0.00819383+0.00312848j -0.00172458-0.0212333j -0.0184968-0.0266347j -0.0243519+0.00710597j -0.0165268+0.00695553j -0.0334188+0.0139964j -0.0197364+0.0214442j 0.00692205+0.00414307j -0.0100777+0.00460625j 0.00331709-0.0300965j -0.0140856-0.026183j -0.00896133-0.00732006j 0.0105807-0.00167812j -0.00365179-0.0169782j 0.0054871+0.0156571j -0.0178726-0.000985294j -0.00701631-0.00946055j 0.0230184-0.0146379j 0.00582431+0.00967065j -0.0253811+7.61914e-05j -0.0261935+0.00103173j -0.0219699+0.0084974j -0.00324301+0.0193411j 0.00376992+0.0326777j 0.0230647+0.007132j -0.0057399-0.0134226j 0.00221153-0.0237488j -0.0155194+0.00852307j 0.0126213-0.00997703j 0.0125463-0.0215516j -0.00429405+0.020361j -0.00559895-0.00804717j 0.0260293+0.0143602j -0.00140995-0.00548519j -9.45932e-05+0.00816381j -0.00545288+0.0404309j -0.0305167-0.0128864j -0.00402917-0.0399598j 0.0460319+0.0109558j 0.0300597+0.0150374j -0.00832984-0.00195667j -0.0496149-0.0379958j -0.0373049-0.0045927j 0.0082102+0.0674813j -0.00476308-0.038776j -0.0673017+0.00316717j 0.022693+0.0600338j -0.0380301-0.0274526j -0.0726813-0.0289034j 0.00973881-0.0147059j -0.0365673+0.056337j 0.0131112+0.00266757j 0.0334114+0.0224496j -0.053234-0.0448148j -0.0563626+0.0277414j -0.00364818+0.0217117j 0.125884-0.0592432j -0.0874805-0.117306j 0.0232556+0.0809815j 0.0329741+0.0859272j 
-0.0207863-0.0369139j -0.0378692-0.00334888j -0.0258602-0.0374205j 0.00590087+0.0330683j 0.0121904-0.0172101j -0.00283115-0.0205724j 0.0143609+0.00467389j 0.0217483-0.0190532j -0.00510906+0.0192729j 0.0463021-0.00923736j -0.0135285+0.0448947j -0.0015698+0.0027712j -0.0111751-0.0290542j -0.0189337-0.0147755j 0.00358662+0.0204124j -0.00605329-0.0227268j -0.00209769+0.00606843j -0.0137389-0.00102585j -0.00178858+0.0024263j 0.00584069-0.0129703j -0.00502217+0.0222548j 0.00548912+0.00257073j 0.0179468-0.00505146j -0.0106718+0.0066518j 0.0085516+0.00402355j -0.0149232+0.00386983j -0.00890298+0.00778727j 0.00979126+0.00273628j 0.00170581-0.0127067j -0.00986501-0.00176659j 0.0386345+0.00975123j -0.0192129+0.0088065j 0.017004+0.00220689j -0.00210346+0.0286362j 0.0122415-0.0179626j 0.0511861-0.0168121j -0.0232563-0.00839528j -0.0027753+0.0341859j -0.00740105+0.0241442j 0.0185137-0.00339483j -0.0224246-0.00730872j -0.00315956-0.0281087j 0.0265194+0.0108143j 0.0142598+0.0123389j 0.02535-0.0447913j -0.0119161+0.0226323j 0.0536555+0.00247554j 0.0176043+0.000816739j -0.023824+0.0150633j -0.0122134-0.00545622j 0.0258545-0.0372565j -0.0381963-0.00653241j 0.0122111+0.00340222j -0.00807255+0.022642j -0.0263579-0.0149723j 0.0530115+0.0330573j -0.0247573-0.00105142j -0.00562401+0.0521065j 0.0101373-0.0167739j -0.0343271-0.0744386j -0.00225045+0.0354848j 0.0266889+0.0108557j 0.0671884+0.0227459j -0.00433457-0.0153933j -0.00106953-0.0195487j -0.0657202+0.0360124j 0.0488621+0.0251248j 0.0184638+0.0711318j 0.0316393+0.0241741j -0.0227973+0.0495115j 0.0307564+0.114526j -0.0512959-0.0191844j 
0.0494307-0.0284946j -0.0180809+0.0135755j -0.0216799+0.0264661j 0.0412837+0.00512548j 0.0606026+0.036292j -0.000903253-0.00273049j 0.0271023+0.043718j 0.00313609+0.0105236j -0.0388522+0.00235861j -0.00466661-0.0122954j -0.0290564+0.0110857j -0.00788388-0.00292155j -0.00215288-0.0148294j -0.0116314-0.00463548j -0.00925557-0.00102428j -0.0081086+0.00633921j -0.00892367+0.00238813j -0.00169776-0.00252939j -0.00543617-0.0533903j -0.0133276-0.0015887j 0.00456155-0.018353j -0.0056624+0.0193851j -0.00278787-0.00553701j -0.00777718+0.01828j 0.0170117-0.021997j -0.0188562+0.000840953j -0.0231341+0.0199435j 0.00513323-0.0151097j -0.00432424+0.0146283j -0.00642536+0.000181874j -0.00222904-0.0185747j 0.00329339+0.0011014j 0.0160852-0.0129837j -0.000539633+0.00865042j 0.0157993-0.0183251j 0.0205983-0.0160838j -0.0128363+0.00766055j -0.00648495-0.00361372j 0.0258443+0.0139347j -0.0177226-0.0052223j 0.00473859+0.00557343j 0.0295488-0.0145581j 0.0259078-0.0242755j 0.0143466-0.00401813j -0.025194-0.0159854j 0.0373408-0.0173628j 0.00884338+0.000341088j -0.0246942-0.0178999j 0.0193995+0.0108243j 0.0472358-0.0257955j -0.024051+0.00372796j 0.0369269+0.0283542j -0.00318219-0.0209632j -0.0109525-0.0691375j -0.0640269+0.0020407j 0.0282731+0.0427075j -0.020021-0.0338827j -0.0194326+0.0226466j -0.0157188-0.0159292j -0.0389366-0.0118112j -0.0256151+0.0690299j 0.0337111-0.0661382j -0.0239002-0.00369611j -0.0782582+0.0418876j -0.013224-0.0314525j -0.00248262+0.0216389j 0.0213541+0.00620848j 0.0325007-0.0169367j 0.226903-0.0829544j -0.0444247-0.132598j -0.0121408+0.115831j -0.0161155-0.0312184j 
0.00922605+0.0251516j 0.0439745+0.0249596j 0.0265204+0.0406683j -0.0155529-0.0188731j 0.00313574+0.0351133j -0.0368413-0.0314732j 0.00194915+0.00460218j -0.0138449+0.0582867j -0.0196732-0.0171004j -0.0301566-0.00131243j 0.00141287+0.00872441j -0.0296572-0.0155539j -0.0282863-0.0150799j 0.0455911-0.0353329j -0.0269852-0.0164727j -0.016423-0.0181997j -0.007209-0.0172911j -0.0136721+0.000299409j 0.0256276+0.00373661j 0.0111027-0.0555304j 0.00999739+0.0177696j -0.0047212-0.0614421j -0.00565194-0.00150976j -0.0183896-0.0197553j -0.0118317+0.00096962j -0.00532681-0.0168853j -0.006295-0.0295522j -0.00245833-0.0131771j -0.00934598+0.0245519j 0.0192081+0.0212022j 0.00653622-0.021361j -0.00708985-0.00425252j -0.0213427+0.00241696j -0.0126318-0.0271507j 0.0318967+0.0401246j 0.00995646-0.0141438j -0.0298715+0.00455521j -0.00319929-0.022388j -0.0224923+0.00732097j -0.00680557+0.00876936j -0.0328463+0.0229427j 0.0324707-0.0112358j 0.0166713+0.0256434j -0.0162376+0.0213887j 0.0132807+0.0152066j 0.0503218+0.0343395j -0.0189916+0.0421514j 0.0433932-0.0179686j -0.0651847-0.0282626j 0.0233915+0.0146452j 0.0205818+0.0283358j -0.01226+0.0258534j -0.0270347+0.0311484j -0.0297211-0.0797158j 0.019063-0.0923642j -0.0662814-0.0637017j 0.0507835-0.0102528j 0.00984249-0.0632302j 0.0107829+0.0221844j -0.0153304-0.0234143j 0.0128461-0.0516794j 0.0248571-0.00787443j 0.00338147+0.0123147j 0.0542162-0.0721433j 0.0100218+0.00860338j -0.0618867-0.00710266j -0.00895273+0.0613719j 0.089864-0.0315924j -0.0221957-0.0375909j -0.0816352-0.129561j -0.00952113-0.0703661j 0.139187+0.072903j 
-0.0744167-0.00131184j 0.0641935+0.00269712j 0.0404644+0.00462502j -0.0113563+0.0221772j 0.00845388-0.00514117j 0.0105887+0.0133563j 0.0449278+0.00462359j 0.00618404+0.0228257j -0.0492972-0.0017398j 0.0197734-0.00346945j 0.00565578+0.0236842j -0.0156782-0.043816j -0.0276881+0.0257955j -0.0160306-0.00501241j -0.0198943-0.0175261j -0.00983488+0.00852818j 0.00363148+0.0039443j -0.00017246-0.0122174j -0.00643182-0.022244j -0.00916933+0.00181504j -0.0199689+0.0191245j -0.0202741-0.00444944j -0.0205474+0.00223834j -0.0228837+0.0273392j -0.00594654+0.0173569j -0.0211973+0.0217067j -0.00274206+0.0068491j 0.0344419-0.0142912j 0.0135096+0.00355061j -0.00427143+0.0156096j -0.00370097-0.00543838j 0.0113317-0.02797j 0.0229161+0.00152294j 0.00157886-0.0190096j 0.0237828-0.00514438j 0.0291389-0.0213445j 0.00689278-0.013317j -0.00685241+0.000841117j 0.0179239-0.00341564j 0.00329932+0.0321844j -0.011368-0.0177901j -0.00800978-0.000526499j -0.0192867-0.010196j 0.0419814-0.0131993j 0.00924323-0.0142123j 0.0287292-0.02935j 0.0489006+0.0183445j -0.0517808-0.0458505j -0.00524005+0.0039961j 0.0055758+0.00375822j 0.0280961-0.0153835j 0.00719702+0.00308487j 0.0668358+0.0345997j -0.102861+0.0363269j -0.0178287-0.0351034j 0.0144927+0.0876953j -0.0101766-0.0440789j -0.0474935-0.0462774j 0.0400185-0.00364867j 0.00352784+0.0202189j 0.0389064+0.00244842j -0.081593+0.0154221j 0.0776981-0.00547758j -0.0325227-0.030879j -0.0137237-0.0193659j -0.0484256+0.039522j 0.139356-0.0222768j -0.0840676-0.000995849j -0.0163692+0.204967j 0.0260893+0.00148969j 0.142838-0.0250259j 0.0506523+0.0274667j 
0.0151266-0.025821j 0.0257564-0.018676j -0.0408397+0.0440568j 0.0401108-0.0193872j 0.0250372-0.0262243j 0.0202222+0.00467515j 0.00212714+0.0184028j -0.0181438+0.0475719j -0.0332366-0.00859516j 0.0416185-0.0057674j 0.018335+0.00461756j 0.00753797+0.0180675j 0.00634589-0.023823j 0.00589103-0.0354381j -0.0221817-0.0347092j 0.0155634+0.022343j -0.017284-0.0295122j -0.00485316-0.00648603j 0.0256948-0.0123661j -0.00671275-0.00226388j 0.00760288+0.023549j 0.00029059-0.0249324j -0.0105991+0.0253404j 0.01638+0.0202729j -8.54221e-05+0.00992677j 0.000222704+0.0259053j 0.0353557+0.00386865j -0.00848956+0.00298335j 0.0142348+0.00893077j 0.0141652-0.022583j -0.0367327+0.0246812j -0.00665345-0.0299687j 4.48931e-05-0.0115167j -0.0153026+0.000254274j 0.0110041-0.00472705j 0.00208629+0.0154725j 0.0426357-0.00975599j 0.00366047-0.0219029j 0.0308167-0.0367786j -0.0112349+0.0330712j -0.0101962-0.0113331j 0.0535904+0.0171915j -0.0070846-0.00503022j 0.0322405-0.00912381j -0.0234672+0.0716634j -0.0350205+0.0331256j -0.0124063+0.0305811j 0.0100082-0.0173888j 0.00461877+0.0511192j -0.0155604-0.0686778j -0.0217468+0.0064888j 0.0203919-0.0490915j 0.00600656-0.037583j -0.0365269+0.0419537j 0.0329753+0.036394j 0.0590029-0.110487j -0.0205133-0.00396768j 0.0162953-0.0578166j -0.0262818+0.0347216j -0.0863911+0.112871j -0.0189463+0.0752161j -0.0878319-0.0819754j -0.0140947+0.0128738j 0.0128522+0.0440871j -0.00606421-0.0653609j -0.0281144-0.0168063j -0.00160011+0.0244675j -0.135307+0.00229138j 0.097271+0.0060138j 0.0963909-0.268561j -0.0220468-0.112849j 0.0831948-0.0776612j 
-0.0325614+0.00545384j -0.0359948+0.0172085j -0.00622356-0.00863955j 0.0147598+0.0154653j 0.0103443+0.0464874j -0.00702-0.0109735j -0.00621564-0.0125585j -0.0326679+0.0294788j 0.0275401-0.0254661j 0.0234374+0.0249244j 0.0136403-0.0061281j -0.0354764-0.00790944j -0.0265186+0.0235681j 0.00229059+0.0308356j 0.0238737-0.0128778j -0.00762355-0.022181j 0.0282924+0.04409j 0.000643829+0.0086184j 0.0566867+0.0334682j 0.027466-0.0165057j 0.0117323+0.0126592j -0.0168296+0.0089867j -0.0309672+0.00941481j -0.00877934-0.00830932j 0.0324866-0.00444514j 0.00440816+0.0102328j 0.0454666-0.0385483j -0.00860625+0.00732091j 0.00143548-0.00333111j -0.00874697+0.00541113j -0.0236167+0.027212j -0.00433646-0.0220053j 0.0263409-0.00752458j -0.00291295-0.0177487j 0.0200689+0.0283299j 0.000553763+0.00987322j 0.000403288+0.0011402j -0.00279782-0.027268j -0.0320516-0.0204343j 0.0508177-0.00871588j -0.0144847+0.0354815j 0.00810282+0.0365133j -0.00429307+0.0120951j -0.00501185-0.061979j -0.0037577-0.0209479j 0.0283939+0.0246j -0.0104654+0.0277347j -0.0152306-0.042533j 0.0533908+0.0192674j -0.0209193-0.0468158j -0.0194252+0.0383407j 0.0140934-0.029773j 0.0703677-0.0243227j 0.0105937+0.0356779j -0.011854+0.0181127j -0.033474+0.00705245j 0.0390019-0.0378249j -0.0650165-0.0288804j -0.00442203+0.0495662j -0.065483+0.0866588j -0.0232459-0.0788271j -0.010734-0.0487465j 0.0656217-0.0881598j 0.00709806-0.0105684j -0.00701308-0.0280229j 0.0593867+0.0196414j -0.0197872+0.019251j 0.0304737-0.0673206j 0.01602-0.0243481j -0.0235006-0.00646758j 0.0654755-0.0572229j 0.0255989+0.0521762j 
