0.0147432+0.0196446j 0.00655742+0.0489536j -0.00252902+0.0441852j -0.00663054+0.0257007j -0.0126091+0.0338561j -0.00377451-0.00956809j 0.0276654-0.0102883j -0.021617-0.000826617j -0.0343538+0.00328145j 0.0342743+0.00436733j -0.0363031-0.0132863j -0.000480469+0.00410146j -0.0147434-0.0102147j -0.00349541-0.00320998j -0.0100868-0.0181182j -0.0104871+0.0128929j -0.00712618-0.00692874j 0.00559893+0.00252565j 0.00829634-0.00647382j 0.0113889+0.00298939j 0.0105132-0.0111453j 0.0213728+0.0183624j -0.00444813+0.00719815j 0.00069139-0.00460951j 0.0193831-0.0200352j 0.0196408+0.00600973j 0.00020888+0.00484609j -0.00628627-0.00562243j -0.00970886+0.0198407j -0.00604105+0.0132037j 0.0134853+0.0036664j 0.00171189-0.000988675j 0.00808886-0.00742937j -0.000364614-0.00205487j 
0.0374796-0.0194891j -0.031242+0.0126503j 0.0855369-0.00223838j 0.00246875-0.000488863j -0.0701799-0.0166102j -0.00237633-0.00518576j 0.00946564-0.00370206j 0.000919077-0.00258348j 0.0033893-0.000559293j 0.00753508+0.000721676j -0.000702499-0.00244691j 0.00334376-0.00534642j 0.00784551+0.000619471j -0.00311133-0.00273655j 0.00530597-0.00147332j -0.000490942+0.00984747j 0.023512-0.000194232j 0.00392395-0.0036544j -0.00181351-0.0241571j 0.00752614+0.0107783j -0.00486854+0.0109096j -0.0150989-0.00880185j 0.00445344-0.00829665j -0.00960005-0.0254236j 0.0142966-0.0125067j -0.00156242+0.00572959j 0.0236718-0.00798875j 0.00443561-0.00768887j 0.010724+0.00334131j 0.00883097+0.0016801j -0.0127669+0.0254617j 0.0059595-0.00436415j -0.0232298-0.00867337j 0.000693571+0.00608865j 
-0.0757542+0.0302164j -0.047216+0.00566791j 0.0873323+0.0132706j -0.0242264+0.00160179j 0.00842813+0.003114j 0.00677361-0.000165294j -0.00537855+0.00630693j 0.00381712+0.000253822j -0.00691605+0.00069773j -0.00110684-0.00240889j 0.00218061+0.000929754j -0.0074089+0.00657473j -0.00831594+0.000331529j 0.0051424+0.0034747j -0.0266544+0.00512688j -0.00157748-0.0263905j -0.00132503-0.00446409j -0.0174908-0.00877574j 0.00511018+0.00901845j 0.0087018+0.0114531j 0.00557643-0.00267316j -0.0122201-0.0133376j 0.0119737-0.0242884j -0.00129605-0.00562993j 0.0154901-0.014413j -0.000903968+0.0122297j 0.00449729-0.00388169j -0.0021143+0.0242207j 0.0166179+0.00168287j -0.0209585-0.0030887j 0.00176865-0.00728926j -0.00256915+0.00314968j 0.0105166-6.16499e-05j -0.00174229-0.00343131j 
0.037685-0.0422256j -0.0408499+0.0715862j 0.00968618-0.0215461j -0.0291854+0.0571573j 0.0841875-0.0728295j 0.0301952-0.0512233j -0.0152507+0.0144189j 0.00394718-0.00574642j -0.0246291+0.0172192j -0.0401081+0.0181857j 0.00705196-0.00942677j 0.0195762-0.032626j -0.0672507+0.0159994j 0.00292547+0.000439355j 0.00463515+0.0119969j -0.00355968+0.00492346j -0.00430381-0.0179289j -0.000107198-0.00209057j -0.0116492+0.00527838j 0.00253333+0.00165881j -0.00235017+0.00273378j 0.000765754-0.0109962j 0.00520068-0.00136949j -0.0105718+0.0164003j 0.0160732+0.00417179j -0.00105216+0.00510082j -0.0168443-0.0109439j -0.00300267-0.00181624j 0.00644499-0.00313266j 0.0137602+0.00222128j -0.0226651+0.00539367j 0.0228563+0.00224481j 0.0125847-0.0371591j -0.00707194+0.00982823j 
-0.0199432-0.00167884j 0.0607845+0.0249167j -0.0219376-0.00787286j 0.0590945+0.0291785j -0.0895345-0.067632j -0.0174251-0.00197179j -0.00667372-0.01337j -0.00908856-0.00706834j -0.018275-0.0266314j -0.0240852-0.0457784j -0.0136921-0.0100614j 0.00373941+0.0116655j 0.0154493-0.0356721j -0.00492951-0.00073683j -0.00619211+0.00267735j -0.00054781-0.000694178j 0.0185709-0.0020503j 0.00104167+0.000866448j -0.00749681-0.0120475j 0.000761181+0.00314071j 0.00181186-0.000158043j 0.0157018+0.00231307j -0.00137731+0.00215219j -0.0228328-0.0114538j -0.000251556+0.0168273j -0.00197103+0.00205318j 0.0111547-0.0221338j 0.00157538-0.00455086j -0.00886632+0.00453598j 0.000951905+0.00908357j -0.0121239-0.0263358j -0.00116359+0.0178532j 0.0233704+0.00622693j -0.0151893-0.00932587j 
0.0586926-0.0644037j -0.0580872+0.0634016j -0.0365654+0.0360624j -0.0261531+0.00353791j -0.0176686+0.0465349j 0.0260164-0.0389051j 0.00608228-0.0133844j 0.0336249-0.0283391j -0.0119207-0.000458795j 0.0368639-0.0272878j 0.033988-0.0253472j -0.00516379-0.0181476j -0.00128808+0.00264823j 3.97196e-05+0.0047193j 0.00789941-0.00542076j -0.00529924+0.00381422j -0.00986736-0.00819026j -0.00945358-0.0269551j -0.0124794+0.011648j 0.0100904-0.00571414j 0.0118653+0.00261666j -0.00333523+0.0151047j 0.023062-0.00425075j 0.0146123-0.0254879j -0.0086408+0.00334657j 0.00927586-0.0179057j 0.0254955+0.0145256j 0.0218362-0.00721868j -0.000819287-0.0346228j 0.0119072+0.0119257j 0.00728691+0.00376656j 0.0051342-0.00295503j 0.00458182-0.00181647j -0.00661579+0.00880247j 
-0.0238055-0.0435157j 0.0845713+0.0641835j 0.0299995+0.0248389j 0.02899+0.0232929j 0.0165026+0.0156824j 0.00690511-0.00315672j -0.0159663-0.0311289j 0.0060099+0.0139918j -0.0121538-0.0335027j 0.0206034+0.0308766j 0.00276292+0.0131287j 0.00807852-0.00367088j 0.00573051+0.00773941j -0.00523869+0.000981237j -0.00593969+0.000776294j 0.00189193-0.0019623j 0.0144528-0.00704655j 0.029661-0.00856176j -0.0169009-0.0141563j 0.00120656+0.00803122j 0.00589454+0.0234743j -0.0110727-0.00359945j -0.00132596+0.0255335j 0.026374+0.0151513j 0.00169449-0.00651295j 0.0182799+0.0108109j -0.0159302+0.0205521j 0.00934768+0.0183264j 0.0215897-0.00960937j -0.00832873+0.0121319j -0.00277902+0.00342837j 0.00440762+0.00653743j -0.000593494-0.00201959j -0.00865432-0.00276411j 
0.151706-0.0571701j -0.00103173-0.0472871j 0.0329827-0.0129834j 0.0020879-0.0257239j -0.000966079+0.00810165j 0.0108332-0.0486477j 0.0412514-0.0517387j 0.00277151+0.00805163j 0.0404183-0.0378063j 0.0103937-0.0149095j 0.00201192-0.000711792j -0.0243751-0.00830351j -0.00700811-0.00524645j -0.00172559+0.0118419j -0.0107422-0.0299805j 0.000664383-0.0146845j -0.00327147+0.0105511j 0.00492415+0.0227525j -0.00435814-0.00655985j -0.0057642-0.0188579j -0.0165193+0.0141722j 0.00133918-0.0154719j -0.0231554-0.00184357j -0.00436783+0.00366501j 0.0179007+0.00111592j -0.00474424-0.00256798j -0.00223333-0.00442748j 0.00650739-0.0135925j -0.000742141-0.00581386j 0.00885604+0.00669877j 0.00255335-0.00196516j 0.000803312-0.00437567j 0.000859506+0.00550684j -0.000449906+0.00723255j 
0.0773886+0.145516j -0.00500983+0.0102072j -0.00563966+0.0278896j 0.00961047+0.0147707j -0.00752332-0.0101683j -0.0463312-0.0140376j -0.023682+0.0198669j 0.0134268+0.011436j -0.0363241-0.0285578j -0.0103895-0.0169372j 0.00211834+0.0065981j -0.00996807+0.0193002j -0.00103522-3.37987e-05j 0.0107128+0.000724811j -0.0217447+0.0226167j -0.0198211-0.013476j 0.00406424-0.00236289j 0.019318-0.00598429j -0.00663081+0.0108883j -0.0145044+0.00863948j 0.0147798+0.0041798j -0.0160528-0.00199218j 0.00592845+0.024409j 0.0029515-0.00369551j -0.000979675-0.0179821j -0.000574308+0.00191891j 0.00313888+0.00350985j -0.0130894-0.0131504j -0.00734406+0.00759621j 0.0112641-0.00851094j -0.00318704-0.00445214j -0.00449086-0.00347811j 0.00314067+0.00179789j 0.00734716-0.0016279j 
0.0302382-0.0196262j -0.0563642+0.0209245j 0.0236823-0.00817597j -0.0626968+0.015094j 0.34766-0.25201j 0.0521728-0.0552332j -0.0131589+0.0517146j 0.00562221+0.0440591j 0.00134089+0.0167689j 0.00330579+0.031373j 0.0161951+0.046128j 0.0102885-0.0305477j -0.020249-0.139857j 0.0079298-0.00523647j -0.00118712+0.0588292j 0.00690398-0.0106532j -0.00414589-0.005305j 0.00175021+0.0155903j 0.00537119-0.00725729j 0.00140093+0.0197638j 0.00425555-0.0218115j -0.00639968-0.00856513j -0.000253347+0.00763991j 0.00258947-0.00661903j -0.0103715+0.0107857j 0.00146077+0.0109833j 0.00461363+0.0114592j -0.0118476-0.00760161j 0.0009347+0.0285695j -0.0160556+0.025954j 0.00781082-0.0276987j 0.0161801+0.0354913j -0.00398686+0.0175477j 0.0318763-0.0506733j 
0.00736894+0.00144459j -0.0448445-0.0279806j 0.0046627+0.0124169j -0.111545-0.00458874j 0.335608+0.557483j 0.0448825+0.0501561j -0.0222624-0.00929958j -0.00561391+0.0115738j 0.00269771-0.000939496j -0.00581496-0.0289009j 0.00418193+0.0243556j 0.0102918+0.00492649j -0.0178356-0.0292815j 0.00747013-0.000124946j -0.00274217+0.00373497j 0.00431831-0.00874633j -0.00990898+0.00270822j 0.000178886-0.00379726j 0.00626575-0.00104809j -0.000921996-0.0041196j 0.000117754-0.00898962j -0.0169293+0.00194974j -0.00430975+0.00478579j 0.0024797-0.000919951j 0.000647838+0.00904602j -0.00337319-0.0156466j 0.000829223-0.00825564j -0.0223854+0.0234671j -0.000511679+0.00408741j 0.0229206+0.0202063j 0.00991548+0.0354612j 0.0430902-0.0154417j 0.0188729+0.00710665j -0.00811165-0.0364273j 
