-0.0320972-0.0478419j -0.0270102-0.0359054j 0.00783582-0.0644527j 0.00604155-0.0335489j 0.00757031-0.0258509j 0.00497294-0.0305245j 0.00194998-0.0308259j 0.0514576-0.0442731j 0.000635706-0.00734912j 0.00941792-0.00391797j -0.0104772+0.026474j 0.00255165+0.00314139j 0.0284579-0.00841632j 0.0311483-0.00697568j 0.012569-0.000514424j -0.00102125-0.0027558j -0.0199192+0.00915738j 0.0159007+0.00921725j -0.0107294+0.00519561j 0.0145352-0.00850776j 0.000602117+0.00349869j 0.00730853-0.0105362j 0.0271991+0.0109659j -0.00699954+0.000375436j 0.00961228-0.00146879j 0.0299998+0.00931717j -0.00634066+0.000174882j 0.01174-0.013317j -0.0312029-0.0116462j -0.0133539-0.00171724j 0.0259741+0.0124292j -0.0201736-0.0065271j 0.0160556+0.0132652j -0.00839584-0.0274614j 0.0108337-0.0107942j 0.0033542-0.00638717j 0.0329013+0.0272169j -0.0290244-0.0120424j 0.0216979+0.0189074j -0.00782698+0.00725097j 0.0272369+0.0030218j -0.0297207-0.00925917j -0.0143266+0.0212828j 0.00465314+0.0147777j -0.0330296+0.0210711j -0.0268462-0.112865j 0.0728896-0.036405j -0.074128-0.0190943j -0.0186316-0.0481492j 0.00976811+0.0475752j 0.0536951-0.0135989j 0.0169465+0.022286j 0.0319842-0.0646413j 0.0530403+0.0112597j -0.0394354+0.00745296j -0.117607-0.0951787j 
-0.0289253-0.0343334j 0.0335846+0.0504984j 0.00156713+0.0281072j 0.00783361-0.0622272j -0.0160119+0.0219582j 0.00122427+0.0253434j 0.0360934-0.0488694j 0.00501574+0.012348j -0.0198945-0.00336045j -0.0161915+0.019408j -0.0202416+0.0108716j -0.0521461+0.0173747j 0.0218886-0.00542349j -0.00925031+0.00432427j 0.00478865-0.00468789j 0.00860439-0.0110695j -0.0109867+0.00179646j -0.0228033+0.00372292j 0.0223473-0.0132137j 0.0271204-0.012896j -0.0155885-0.0138939j -0.019582-0.000225981j -0.039632-0.000178921j -0.0140747+0.00120833j 0.00393427+0.00563187j 0.011143-0.00200988j 0.0196294-0.00121473j -0.0207197-0.00180324j 0.00739439-0.00297338j -0.0119804-0.00519146j 0.0199221+0.00192373j 0.00395004-0.00322559j -0.000109123+0.0129451j 0.0339626+0.0182645j -0.00998018-0.0163428j 0.00620839-0.00400857j -0.0107577+0.00757598j 0.0231537+0.00811j -0.00978059+0.0251072j -0.0168653-0.023807j 0.0221148+0.0278597j 0.00528026-0.0273994j -0.0428416-0.0186165j -0.0093856-0.00951462j -0.0295082-0.0638673j 0.0759841-0.0260008j 0.0385206+0.0611866j 0.0392347-0.0860001j 0.0318752-0.01021j -0.0724712+0.0260064j 0.00105168+0.0170755j 0.0089842+0.0169965j 0.0574135-0.00919181j -0.0508484+0.0641569j 0.120742+0.091722j -0.0345045+0.00874928j 
-0.0612952-0.0169356j 0.0294815+0.00689081j 0.0185778+0.00729096j -0.0157784-0.0136531j 0.00929027+0.00294718j 0.0221106-0.0314778j -0.00172245-0.0340402j 0.00684746+0.0533312j 0.0252446+0.00636587j -0.0181951+0.00982913j -0.0489726+0.0411723j 0.0154636-0.0316379j -0.0269975+0.0334818j -0.0373118-0.00419247j 0.0103952+0.010974j 0.0116258-0.0276651j -0.00976066-0.0407546j -0.0172658+0.0268259j 0.0207609+0.0122605j 0.0348199-0.00775582j 0.0243526-0.0151077j 0.043383+0.0139212j -0.00908834-0.0292417j 0.00313537-0.00142629j -0.0278082+0.00775793j 0.00357743-0.00971263j -0.0190782+0.0190077j 0.00187897-0.0125728j 0.0392062-0.0315578j -0.00935163-0.00854562j 0.0274441-0.00116958j 0.00658481-0.0250257j -0.00261871-0.0022721j 0.0144759+0.0169014j 0.0114663+0.0439017j 0.000420454+0.0328695j -0.0285247-0.00915186j -0.00672949+0.0173252j -0.0357966-0.00733268j 0.0514891-0.0243389j -0.00677567-0.010146j -0.00469901-0.0155206j 0.0272457+0.0520387j 0.0317129-0.0151208j -0.0271301+0.00225744j -0.0333031+0.00975261j 0.070191-0.0444322j -0.00704879-0.0128335j 0.0134456+0.00865324j 0.0242518+0.0354595j 0.0272425+0.0327459j -0.0766885-0.0728128j 0.0434686-0.0179096j -0.0400363-0.129926j 0.134709-0.14846j 0.0561934+0.114092j 
0.0434692-0.000752368j 0.0610119+0.0129099j 0.0048314+0.0115547j 0.0318708+0.00100599j -0.0233949-0.0428513j 0.00433537+0.0710945j 0.00884134+0.0129135j -0.000226164-0.0222432j -0.0100615-0.0361212j 0.0149227-0.012736j 0.0115279-0.0230034j 0.0050941+0.0102346j 0.0105387-0.0108675j 0.00730145-0.00666128j -0.00386889+0.00612265j 0.00420657-0.00112604j -0.000272664+0.00387201j 0.00651704-0.00974077j 0.0177113-0.0111615j 0.0225516+0.00825598j 0.0380564-0.0135914j -0.0180265+0.0181693j 0.00811329+0.000862958j 0.00974259-0.023387j -0.0186327-0.003004j -0.0140013-0.0139319j 0.00747787+0.0147074j -0.028618-0.0189555j 0.0204273+0.00646851j 0.00151335-0.0184773j 0.00522737+0.0223259j -0.00555651-0.00562371j 0.0177565-0.0110138j -0.0264122-0.0126499j -0.0117717+0.0239182j -0.0243754-0.0159974j -1.18481e-05-0.0588812j -0.0383722+0.00519908j -0.0205662-0.0121253j 0.0617119+0.0109843j -0.023875+0.0177482j 0.0127097-0.0198409j -0.0663962+0.0178137j 0.00851862+0.0218773j -0.0246402-0.0188456j -0.00632351-0.0486163j 0.0506787+0.0895026j 0.0416228+0.0379076j -0.0257565+0.0333743j 0.0063193+0.0148909j -0.0014947+0.0654904j 0.0880005-0.06688j -0.0094061-0.0447383j 0.0687614-0.020324j -0.0761494-0.109949j 0.129555-0.182602j 
0.0175615+0.00231308j -0.0308368+0.0347851j -0.00185203+0.0337549j -0.0403746-0.0104918j 0.0538706+0.0697206j -0.0244349-0.035087j 0.025103+0.00750507j -0.00581473+0.02683j 0.034758+0.0108102j -0.0156716+0.00839j 0.0172382+0.0178664j -0.029159-0.00808555j 0.00902609+0.00660429j -0.00842402+0.010864j 0.0048321-0.0106561j -0.0159584+0.0368536j -0.0273113-0.0122063j 0.0156231-0.00784268j 0.00121407-0.00900858j -0.00255167-0.0264031j -0.0197318-0.000189526j 0.00854496-0.0105206j -0.0139439-0.0236457j -0.0075373+0.0191081j 0.015516+0.0136999j -0.00957385+0.0118492j 0.0354723+0.00100503j -0.0160906+0.00171908j -0.0123916-0.00814814j -0.00549638+0.0128686j 0.0124622-0.0105102j 0.0230817+0.0121898j -0.00549537+0.0178488j -0.0130658+0.0121751j -0.021778+0.0166835j 0.00219772+0.0074041j 0.0229594-0.0367302j 0.0187353+0.0197785j -0.0146097-0.0146654j -0.000542329+0.0204856j -0.0148862+0.00481862j 0.0953261+0.0265486j -0.00302364-0.104557j -0.051003-0.0195076j -0.01903+0.0118324j -0.0174251-0.0512637j -0.0359867+0.03913j -0.0343918+0.0201595j 0.0312016-0.00555627j -0.00486257-0.00624875j -0.0313225+0.0578138j -0.0129412-0.0259377j 0.22269-0.0663665j -0.0603093-0.146234j 0.0167886+0.135189j -0.027448-0.00315857j 
-0.0353586-0.044387j 0.00514773-0.000165227j -0.00882215-0.0204047j -0.0230447-0.0585497j 0.0149684+0.00109836j 0.0162843+0.0322984j 0.0303536-0.00948384j 0.0232923-0.0386731j 0.00415725+0.00937593j 0.0294237-0.0178832j -0.00257377-0.0205366j -0.0436195+0.0195157j 0.0206791-0.0243829j 0.0356857+0.0157761j -0.0186952-0.0441555j -0.00366129+0.00843644j -0.00451371+0.0122566j -0.0221111+0.013809j -0.0189531+0.0332031j 0.0232186+0.0261428j 0.00267042+0.000999198j -0.0198177+0.00360401j -0.0309625+0.024546j -0.0207335+0.0438301j 0.00672116+0.0480372j 0.0191918+0.00981807j 0.0115259-0.00789349j 0.0202472-0.021141j 0.0215648+0.0304648j -0.00560241+0.00114972j -0.0211105+0.00513867j 0.0254277-0.0195882j -0.0354158+0.026479j 0.015505-0.0117246j 0.0135094+0.0184853j 0.0629832-0.00494848j -0.0190518-0.0205301j -0.0453204-0.0777924j -0.0120823+0.017092j 0.0189381+0.00955663j 0.0706658+0.0385319j 0.0196137-0.0721992j -0.024855-0.0222801j -0.0736063+0.0126003j 0.0248921+0.0238783j -0.0152951-5.0092e-05j 0.0384628-0.00622786j -0.0307203+0.0282563j 0.0229508-0.0527338j 0.0156845+0.0242056j 0.0481107-0.0488375j -0.0829133+0.0463688j 0.0109033+0.0723215j 0.102261+0.092477j 0.00846641+0.0621274j -0.138873-0.08435j 
0.00940666-0.00286827j 0.0753806+0.0240151j 0.0215751+0.0456964j 0.0237503-0.00991412j -0.0146446+0.00789673j -0.0255948+0.0123228j 0.0226389-0.00636241j -0.0165565+0.0293148j -0.00344665-0.0219337j -0.0311203-0.0206573j 0.0453701-0.00284821j -0.00815894-0.00456581j 0.00172989-0.0177521j 0.00918693-0.0210795j 0.00752947+0.0358871j -0.00558051+0.00687141j 0.00140866-0.022004j 0.00109715-0.0221972j -0.00398071+0.0117913j -0.0171537-0.00760623j -0.0176295+0.00266291j -0.0388476-0.00240919j 0.0101046-0.0103707j -0.00722943+0.00150796j 0.00216046+0.00709725j 0.0265236-0.0129088j 0.00804564+0.0131548j 0.0255586-0.00242984j -0.0070861+0.0174618j -0.00567712-0.0056848j 0.0346603-0.0100585j 0.0422625-0.00173678j -0.0555669+0.0265575j 0.0446065+0.0245808j -0.0110549-0.0127076j 0.00485695+0.0381673j 0.037781+0.0191893j 0.058211-0.0202647j -0.0305496-0.0230588j 0.0241247+0.00839384j -0.0192999+0.0785106j 0.0741708+0.0526392j -0.00594547+0.0326547j 0.0295364-0.0816072j -0.00453577-0.00523945j 0.000743389+0.0146683j 0.0566626+0.000952077j 0.00908361-0.0271391j 0.0115561+0.0160363j -0.07065+0.0582513j 0.0973235-0.015028j -0.0393878+0.0264258j -0.0156154+0.150085j 0.00277033+0.0194126j 0.147608-0.00232284j 0.0427201+0.0647296j 
0.0609601-0.0211944j -0.000524116+0.00334181j -0.0277773+0.0212156j -0.0460737+0.0264693j 0.0570129-0.0132902j 0.00603869-0.00386407j 0.020172+0.0237278j 0.00713319+0.00930336j 0.0292581-0.0495751j 0.0098394-0.00420075j 0.0175057+0.0448012j -0.00278354-0.020927j 0.00242369+0.0055479j -0.0336255-0.0115875j -0.00259096-0.0182068j 0.00374916+0.0267558j -0.018639-0.00689645j 0.0220758-0.00772435j 0.0132831-0.0415842j 0.00679596-0.0178611j 0.0132219-0.0100059j 0.0016184+0.0427756j 0.00608065-0.0123731j 0.00187851-0.0195129j -0.0311376-0.0127674j -0.0220875-0.00919837j -0.0123553+0.00726962j -0.0153836-0.0134333j -0.0164745+0.00832295j -0.00654133-0.0044866j -0.0180148+0.0377545j 0.0211823+0.0117726j -0.0145536-0.00430017j 0.003026+0.0255633j -0.0481314+0.0587339j 0.0148379+0.00291606j -0.01855-0.0205493j -0.0155048-0.0146657j 0.0102052+0.0089309j 0.0166041-0.00161803j -0.0304248-0.0577564j 0.0134381-0.0344672j -0.0900435+0.0710681j 0.00907031+0.0205307j 0.0407019-0.00290352j -0.0925836+0.0346949j -0.00141748+0.0522531j 0.00729724+0.0121312j -0.00164664-0.024827j -0.045065-0.0354848j 0.0207589+0.0441847j -0.142981+0.00939214j 0.0544937+0.063454j 0.0817563-0.223881j -0.0215912-0.0941204j 0.0828243-0.0511649j 
-0.000916069+0.0452248j 0.0460108-0.0216683j 0.0156531+0.0321841j 0.0332075+0.033312j -0.0284409-0.0228311j 0.000372575+0.0101538j 0.0160233+0.00687958j -0.0225043+0.0162165j -0.00676643+0.0536831j -0.0286145-0.0341787j -0.00778656+0.0124016j -0.0378429-0.00110324j -0.0327314-0.0255662j -0.0509262-0.0274394j -0.0106254-0.0398736j 0.00248727-0.0246649j 0.0331094-0.0376193j -0.045736+0.0254949j -0.00114985+0.015776j -0.0158135-0.00795948j -0.0351977+0.0130545j -0.00892966+0.0528502j -0.0335897-0.0124204j -0.0150608+0.0612713j -0.0395649+0.0119144j -0.0158364-0.00162089j -0.0344692+0.0106827j 0.0170528+0.0252694j 0.0413161-0.0132851j -0.0365632+0.0195933j 0.00539465-0.0368998j 0.0470435-0.0374586j -0.00484504+0.0504685j 0.017377+0.0373493j -0.0173788+0.0020777j 0.0282578+0.0184615j -0.0570298-0.03829j -0.0322325+0.0172019j -0.0235812-0.0391252j -0.00369429-0.0367145j 0.0241848+0.0103843j 0.0427719-0.00619458j 0.0781691+0.0212038j -0.0644966+0.0125587j 0.0159589-0.0118513j -0.00785147+0.130087j -0.0349561-0.00778332j 0.0134416-0.0308417j 0.0707295+0.0549043j 0.0261627-0.0854619j -0.134682-0.0314469j -0.0496337-0.102364j -0.059542+0.090326j -0.0660772+0.0148497j 0.0419464+0.00457943j 0.017261+0.156212j 
-0.00739095+0.00532475j -0.0220322-0.0516368j 0.0220522-0.0332j 0.000771604+0.0526267j 0.0302344-0.0456161j -0.016248-0.0296332j -0.0224582+0.038617j 0.0328271+0.0154052j 0.0355052-0.053195j 0.0161672-0.0593555j 0.033885+0.0124597j 0.0458249-0.0183367j -0.00503178+0.0146631j 0.0221604-0.0158198j 0.0111725+0.0215398j -0.0148238+0.0317727j 0.00483302-0.00521131j 0.00652799+0.0192298j -0.0289355+0.0204969j 0.0248867-0.0378365j 0.0217916+0.0103454j 0.0129974+0.0199215j 0.0225284-0.0236949j -0.0197849-0.0112735j 0.00241905-0.00843504j -0.032199-0.0099344j 0.00610289-0.0208961j 0.0405568+0.0252839j 0.048928-0.035197j 0.0427077-0.0231711j 0.0113093+0.0130574j 0.0590407+0.00536835j -0.0431839-0.0353079j -0.0342517-0.0466613j -0.0154008+0.0396885j -0.0241427+0.0741028j -0.0131947-0.037632j -0.0244416-0.0320563j -0.0325479-0.0195676j 0.0387223+0.0616783j -0.0112035-0.0582232j 0.0467267+0.0377116j 0.0968272+0.0400366j -0.00270185-0.010704j 0.00862757+0.0960895j -0.0445013-0.0165955j -0.0393702-0.0700763j -0.0825496+0.0581363j -0.00517943-0.0475917j 0.179241-0.0101918j 0.0161625-0.0390037j -0.0289928-0.176666j 0.000841044-0.064034j 0.0372381-0.133454j -0.0229752-0.15182j -0.00999055+0.0419399j 
-0.059442-0.0337347j 0.0569256+0.0138477j 0.0373944-0.0128524j 0.0162879-0.0670888j 0.00124754+0.00762164j -0.013941-0.00305873j 0.0511509-0.0416584j 0.0152338+0.00999218j 0.0347371-0.022729j -0.0426725+0.0184428j -0.00337041+0.00988062j -0.0184448-0.0438837j 0.0101022+0.00951066j 0.00630528+0.000941467j 0.0391801+0.00454975j 0.0240459+0.00093482j -0.0388131-0.0351565j 0.0351406-0.0187848j 0.0280591-0.0142712j 0.0263582+0.0011786j -0.00771051-0.0305408j 0.0222521-0.0275846j 0.0179337-0.0671918j -0.0127319+0.00560549j -0.0307811-0.00398169j 0.0433363+0.0115361j -0.0137343+0.0223978j -0.0482195-0.0124714j -0.0144292-0.0390951j 0.00265289-0.0207155j 0.040523+0.0562908j 0.00633709+0.00923742j 0.0392326-0.0666521j -0.00556244+0.0216691j 0.0101177-0.038107j -0.0245476+0.0415887j 0.0522961-0.0524853j -0.0571171-0.000280091j -0.00784246+0.0115595j -0.0120324-0.0607902j 0.122307-0.0124134j -0.043199-0.0800478j -0.0146065-0.00500716j -0.0265818-0.00797035j 0.0141076-0.0300058j 0.0346268-0.0781676j 0.110431-0.0418646j -0.00960745-0.0112694j 0.0128314-0.020737j 0.00021314+0.00526356j 0.0691016+0.0847909j 0.00471253-0.0611519j 0.102561-0.0842329j -0.0451209-0.0246538j 0.0817882-0.0245018j -0.0103356-0.0748664j 
