-0.0173035+0.0322803j 0.0157272-0.0512696j -0.00197968+0.0075397j -0.0385265+0.0506935j 0.00815378-0.0240171j -0.0127335+0.0197798j 5.13718e-05+0.0190764j 0.00152221+0.00633667j -0.0129693-0.0105568j -0.00564018+0.0253989j 0.0136757-0.00332985j 0.0219516-0.0147135j -0.0328417+0.00458103j -0.0180599+0.0142609j 0.0358009-0.0159177j -0.00181198-0.0622743j -0.0995941-0.0232999j 0.0288257-0.011492j -0.0107234+0.0226631j 0.00952284-0.0318465j 0.0122859+0.00824902j 0.010977-0.00174364j 0.00759744+0.014712j -0.0222546-0.0144856j 0.00690004+0.00144228j -0.00150395+0.00299004j -0.0173609-0.00210429j -0.00312271+0.000830812j 0.00980526-0.0128284j -0.00750912-0.000936501j -0.000682448+0.0205828j 0.00368392-0.016055j 0.0335282+0.0285618j 0.00489376-0.0486126j 0.0191307-0.0368955j 0.0483722+0.0106338j 0.00518951+0.016325j 0.0221318-0.0113701j -0.0117234-0.0330265j -0.00434627+0.00555747j -0.0154737+0.00260655j -0.00592158-0.0134141j -0.022543+0.0166191j 0.000692864+0.0066161j 0.000277707-0.00882002j -0.00796618+0.00542232j 0.00459587-0.0243557j 0.00619599+0.00163873j 0.000216573+0.0111594j -0.00640616+0.0143047j 0.00169791-0.00550577j 0.00482507-0.00145872j 0.00862246+0.0134586j -0.0121347+0.00959691j 0.00978564+0.00561194j 0.00681253-0.0105463j 0.0063628+0.0115954j -0.0221975-0.0151947j 0.00963021-0.0080045j 0.0121554-0.00351487j -0.0148584+0.00227216j 0.000911044+0.00646672j 0.000106541-0.000908411j -0.00228958-0.0006622j -0.00296537+0.0133396j -2.99459e-05+0.00448699j 0.00107369+0.00554543j -0.00498641+0.00506321j 0.00343103-0.00122029j 0.000872403+0.000152015j 0.00283007+0.000356537j 2.49114e-06-0.00338851j -0.00123329+0.00482167j -0.00185558-0.00137778j -0.0042163+0.00314981j -0.00365205+0.0031558j 0.00359798+0.000416414j 0.00682555+0.00490252j -0.000467686-0.00111876j -0.000120202+0.0014399j 0.00175566-0.00315849j 0.00311619-0.00131727j -0.00708937+0.00246672j -0.00590938+0.00426678j 0.0025139-0.00045028j 0.0039382-0.0140485j -0.0119535+0.000842135j 0.0104884+0.00312141j -0.00479071+0.00874668j 0.00118263-0.00147611j 0.00346514-0.00254982j -0.00401701-0.00133691j -0.0117778+0.00836726j 0.00151521+0.0486167j 0.00963363-0.00755891j 
0.0160041+0.0299865j -0.0139682-0.0211902j 0.017233+0.00836404j 0.0220861+0.021481j 0.00615825-0.0116368j -0.0275254-0.0181381j -0.00894565-0.0385188j -0.0060887-0.00899928j -0.0386921-0.000144212j 0.0200979+0.0104953j 0.0131759-0.0285398j 0.00616925+0.000256764j 0.00441084+0.0687709j 0.00562019-0.00630884j -0.0273793+0.0439052j -0.0386741+0.0293608j -0.0349446+0.0191829j -0.015307-0.0262804j 0.018661-0.0115558j -0.0173426-0.0107099j 0.0136739-0.00678788j 0.00325135-0.0156824j -0.00454609-0.010758j 0.00067811+0.00221881j -0.0129675-0.0141267j -0.0016282-0.0144919j -0.0019086+0.00994934j 0.00371944+0.00226839j -0.0108722-0.0127401j -0.00118504+0.00752124j -0.00161402+0.0108874j -0.0145245-0.00304115j 0.0229448-0.00474461j -0.0243672-0.0261092j -0.00533703-0.0123857j 0.0110192-0.0351972j 0.0107813-0.0020653j 0.0129463-0.0160252j -0.0153348-0.00747548j 0.00753742+0.0211981j -0.0102832+0.0147851j -0.00156122-0.000283422j 0.0181813-5.15721e-06j -0.013366+0.00537694j 0.00390611-0.00428446j -2.56969e-05+0.000669423j 0.00559079-0.00299068j 0.00813196+0.00267125j 0.00452076+0.0165729j 0.00349484-0.000638902j -0.00262412-0.0106669j -0.00479715+0.000154011j -0.00731871+0.0079513j 0.0140895-0.000918735j -0.00522025-0.0179196j -0.0015572-0.0160554j 0.0220615-0.00287775j -0.00424887+0.0121335j -0.00824072+0.00792429j -0.00198792+0.00151586j -0.00635254-0.000762807j -0.0055727+0.0129253j -0.00122587-0.00627511j -0.00294415+0.00235052j 0.00632957-0.00941348j 0.00305342+0.00108086j 0.000580981+0.00110193j 0.0018717-0.000240932j -0.00195786+0.000771684j 0.000292829+0.00140385j -0.00116432+0.00498301j -0.00328909+0.004079j -0.00288476-0.000861519j 0.00409155-0.00601065j 0.00295216+0.00212956j 0.00529644+0.00285458j -0.00158631-0.00427135j -0.00319642+0.00398139j 0.00286688+0.00316076j -0.000283424+0.00229906j 0.00231343+0.000862854j 0.00229963+0.00132474j -0.00248189-0.000269561j -0.00133576-0.00608535j 6.67468e-05-0.000518444j 0.000695217-0.00119191j -0.000484387-0.00166421j 0.0109131-0.00135754j -0.00609062+0.0103864j 0.00109954-0.00206989j -0.000151787-0.00329366j 0.0053539+0.00122067j 0.0010775+0.008162j 0.00586893+0.00884829j 0.00287993-0.0274915j 
-0.0154613+0.0171353j -0.0459072-0.0185447j 0.02671+0.0279396j 0.00352859-0.0134098j -0.0194796-0.0396329j 0.000963261+0.0173696j 0.00914248+0.0112184j 0.0196851+0.00993361j -0.0294426-0.00693597j 0.0178723+0.027105j -0.020221-0.0146223j -0.0213815-0.0313888j 0.0211586+0.018874j 0.00548962+0.0232039j 0.00483006+0.000396313j -0.0407533-0.0394593j -0.0946706+0.0255207j -0.00208522-0.0494795j 0.0636402+0.0345649j -0.0402173-0.0675768j 0.0338401-0.00868192j 0.0124196-0.0157805j 0.0345644+0.00255409j -0.0113581+0.0211687j -0.0140776-0.0147136j 0.0158439+0.00336185j 0.00128708+0.0181595j -0.00894001-0.00958625j -0.0218948-0.0306639j -0.000761182+0.0172108j 0.00884808+0.046946j -0.0302677-0.0140952j 0.0555582-0.00466753j -0.0632591-0.103464j -0.00424116-0.0953018j 0.0749885-0.0590984j 0.0259105-0.00118444j -0.00556612-0.024302j -0.0528548-0.0396548j 0.0143569+0.0155464j -0.0332115+0.0252046j -0.000937607-0.0176643j 0.00875257+0.0304401j 0.00367441+0.0146302j -0.00654583-0.00499229j -0.013534+0.0206749j -0.0175601-0.00254069j -0.0116988-0.00564825j -0.00508478+0.0204825j 0.0157957+0.00502341j -0.00357889-0.00976444j -0.0162584+0.00169199j -0.00322649+0.00469074j -0.0134166-0.0087912j 0.0164582-0.00939431j -0.0122939-0.0306653j 0.00593593+0.000495619j 0.000444025-0.00261966j -0.0168614-0.0332403j -0.00298359-0.0174634j -0.0173873-0.00851627j -0.00945776+0.0240935j 0.000531266-0.00557242j -0.00805324-0.00438105j 0.0120221-0.0132503j 0.00369313+0.00803518j -0.0050968+0.0068933j 0.00116903+0.00414597j -0.00419799-0.0031923j -0.00453324+0.0134192j -0.00849393+0.00920662j 0.00272371+0.00487067j 0.00156401+0.00498795j 0.0020186+0.00245655j 0.00155542+0.00885618j 0.0044219+0.0102317j -0.00044077-0.00980927j -0.00615996+0.0125234j 0.00358028+0.00827693j -0.00124873+0.00583568j 0.0105068-0.00789305j 0.0026647-0.00207473j 0.000744268+0.00679781j -0.000671971-0.00223234j 0.000268431-0.0123707j 0.0041568-0.00489341j -0.00267794-0.00518696j 0.030519+0.00968859j -0.00702941+0.0249892j 0.00015813-0.00565068j -0.00421094-0.0139374j 0.00928437+0.00780039j 0.000466912+0.0256056j 0.0131488+0.0773369j 0.00667685-0.0707019j 
0.0539967+0.0395584j -0.0485775-0.00165432j 0.0393602-0.00323419j 0.0480844+0.0239756j -0.0233817-0.0158572j 0.0189329-0.00831696j 0.0259647+0.0214235j 0.0139803+0.000907748j 0.0206776+0.0227566j 0.00412547-0.019358j -0.0175089+0.0188329j 0.0173199+0.00872613j 0.0467962-0.0398582j -0.00788691-0.0081674j -0.0281586-0.00143523j -0.0386445+0.0226271j 0.0389231+0.118105j -0.0501201-0.0388823j 0.0291944-0.0317796j -0.0695602+0.0209307j -0.0188248-0.0340412j -0.0195243-0.0181183j -0.00338799-0.0152205j 0.0249557+0.0222818j -0.0119706-0.00464191j 0.011683-0.0161423j 0.0281846-0.00405784j -0.00725082+0.00683453j -0.0363517+0.00611768j 0.0123716+0.00572749j 0.0188642+0.01539j -0.0301442+0.0256767j -0.00958297-0.0796928j -0.0618775+0.0371928j -0.0613947-0.00660144j -0.0485562-0.108397j -0.0086166-0.0188848j -0.0205221-0.0157473j -0.00958378+0.0544882j 0.00661016-0.0159858j 0.0201816+0.0549341j 0.000340658+0.0147378j 0.0156824-0.00352459j 0.00264791-0.00215782j 0.000474962+0.0100338j 0.0138903+0.0111127j -0.0129897+0.0281185j 0.00175662+0.0101404j 0.019567-0.0103353j 0.00280094-0.0243782j -0.0213515-0.00163506j -0.00292787-0.00641973j 0.0174074+0.00455881j -0.00294616+0.0119324j -0.00564963+0.00631018j -0.0147791+0.00926639j -0.00939808-0.0242271j -0.00119139+0.0220469j -0.0298149+0.00456981j -0.00130016-0.00367529j 0.0024467+0.0191252j 0.000778189+0.0189937j 0.0036145+0.00505115j -0.00328941+0.00426914j 0.00487305-0.0200908j 0.00844218-0.00572519j 0.00350579-0.00125363j 0.0144699+0.00176825j -0.00984315+0.00439062j 4.4957e-05-0.000882676j -0.00658074+0.00246943j 0.000191631+0.0112333j 0.00477007-0.00332687j 0.00419103-0.00439794j 0.0101048-0.0140651j 0.00298815+0.00258477j -0.00223461-0.00648295j -0.0107487-0.00131188j 0.00521382+0.0166969j -0.00351978-0.00157627j 0.0030016-0.00871404j -0.00450453+0.0128243j 0.00275508+0.00856591j 0.00234893-0.0123637j -0.00316299+0.00902533j -0.00109815+0.0150133j 0.0114802+0.00348276j 0.00106865-0.0183736j -0.00931817+0.00904904j -0.000995336-0.00278359j -0.00903386-0.00773612j 0.0124463+0.00906412j 0.015252+0.0191371j 0.0076168-0.0726911j -0.00481902-0.0712174j 
-0.0215757+0.00278672j -0.0140785-0.0223769j 0.0206276-0.00170642j -0.0093283+0.0221715j 0.0148176+0.00938989j -0.0140819+0.0153899j 0.0101821-0.000243425j 0.029383-0.00920604j -0.0134992+0.00850032j -0.0631998+0.0102729j -0.0147649+0.000707463j 0.0218483+0.0169725j 0.0245403+0.0253825j -0.0803284+0.0179272j -0.0492144-0.0242381j 0.00618557-0.00740561j -0.00216526-0.00650009j -0.0493018+0.0335573j 0.0507633+0.00426562j 0.0308602-0.0147428j -0.0138703-0.0006723j 0.0104439-0.00514523j 0.00781506+0.00498864j -0.0093796-0.000505678j -0.0178517+0.01446j 0.0203458+0.0113409j -0.0101015+0.0158339j 0.000181335+0.00925861j -0.0103651-0.00460969j -0.0157872+0.000501891j -0.0326491-0.0175438j 0.00611631-0.0243873j -0.0140162+0.00938157j 0.00565601+0.00237989j 0.00545708+0.00353061j -0.0131582+0.00701515j -0.000348254+0.0082004j 0.00146493-0.00377454j 0.00445077+0.00265328j 0.014733-0.0085501j -0.00214787-0.00276448j 0.000474438-0.000649432j 0.00549495+0.0100437j -0.00351798-0.016901j -0.000179813-0.00106153j 0.0125959-0.0100107j 0.0122571-0.00473919j -0.00522368-0.00385956j -0.00742242-0.00315455j -0.000423191-0.0190308j -0.0166963-0.0116145j -0.0120481+0.00274402j 0.00981087+0.0149079j 0.0051441-0.00570451j 0.0178691+0.0130588j 0.0123702-0.00775053j -0.00144798+0.00296299j -0.0036041+0.0121356j 0.00915986+0.00211764j -0.0065662+0.00362753j -0.0084668-0.00543219j 0.0070051-0.0176495j 0.000941668+0.00529512j 0.00233719-0.00982871j -0.00505733+0.00416632j -0.00189507+0.00209088j -0.00805494+0.00080435j 0.0041519+0.00341082j 0.000421064+0.00179132j 0.00551753-0.00820414j 0.000420361+0.00199743j -0.00250859-0.00191009j 0.000814628+0.00139461j -0.00296834+0.000605287j -0.00371101+0.00187952j 0.00385912+0.00260329j 1.69626e-05-0.0074704j 0.00810296-0.0037288j 0.00639105-0.00532743j 0.00283094+0.0036005j 0.00414626+0.00618999j 0.00922736-0.000614558j -0.00268165+0.0102255j -0.0082408-0.0141073j -0.0100494-0.00217453j 0.0106905-0.00126288j -0.00100308-0.00835863j -0.00635556+0.00244165j 0.00787842-0.00904912j -0.00137266-0.0013422j 0.000844859-0.0037967j -0.000476437+0.00195305j -0.00347895+0.00521062j -0.00583264+0.0083082j -0.00278994+0.00819965j 
-0.012532+0.0057436j 0.0336242+0.0101024j -0.0162017+0.00774769j -0.0390438-0.00141271j -0.0035238-0.00653768j -0.00115641-0.0128968j 0.0244057-0.0110249j 0.0396821+0.000497294j -0.000946563+0.00569474j -0.00449491-0.00966955j -0.0197602+0.00460855j 0.0199666-0.000208949j 0.0500575+0.00309696j -0.00175998+0.00616224j -0.0264871-0.000500695j 0.00864744+0.0147387j -0.00422093+0.0195421j 0.0013152-0.00747576j 0.00515369-0.016425j -0.0307557+0.0235602j -0.00769543-0.00156742j -0.00884607+0.0015416j 0.00470244-0.00033601j -0.00148894+0.00893251j -0.0135935-0.00962135j 0.00846792-0.0136624j 0.00170106-0.00878686j 0.00129819-0.00346884j -0.00051378+0.00602832j 0.0129091+0.00422297j 0.0199464+0.00529001j -0.0125045+0.00735569j 0.0115216-0.00209813j 0.0106629+0.0124964j -0.00485978-8.26521e-05j 0.0129997+0.0042349j 0.000984416-0.0111541j -0.00674202+0.000292105j 0.00784312+0.00203824j 0.0187982-0.0101644j 0.00288015+0.00178335j -0.00203227+0.00370439j 0.00777001+0.00409609j -0.00939565-0.0229852j 0.00363535+0.00700683j -0.00334468+0.000666503j 0.0103291-0.00191587j -0.000272619-0.00290131j -0.00256019-0.00720152j 0.00170017+0.00125009j 0.00026027+0.00142285j 0.000968049-0.000674998j 0.000639083+0.00855493j 0.00528325-0.0120532j 0.00715001+0.00379146j 0.0118823+0.0107558j -0.000386412+0.00428737j 0.000812305+0.00331548j 0.00155518-0.00630371j 0.00923185+0.000303994j -0.00557984+0.00425097j -0.00863048+0.0144281j -0.00746901-0.00219075j -0.00122281-0.00564833j 0.0022841+0.00437506j -0.0103252+0.00124806j -0.00623424-0.00282052j -0.00142005-0.00474642j 0.00495089+0.00148076j -0.00355977+0.00890436j 0.00789673-0.00462904j -0.00698299-0.0107354j 0.00174873-0.00205211j -0.0081206+0.00225997j 0.00042618+0.00165387j -0.011485-0.0131394j -0.00577148+0.0175862j 0.00448068-0.00966752j -0.00755717-0.00107051j 0.00399127-0.00703104j -0.0146292-0.00765837j -0.00609915-0.00366488j 0.0104169-0.00122582j 0.0125997-0.00790513j -0.0039555-0.00490774j -0.012353+0.00242072j 0.00159061+0.0094018j 0.01022-0.00249763j -0.00949703+0.0045514j 0.000662354+0.000894462j 0.000701252+0.00409518j -0.00118781-0.00372569j 0.00530058-0.00546483j 0.00691104-0.0182231j 0.00016423+0.00308905j 
-0.00567615+0.00184013j -0.00171873-0.00721435j 0.00337608+0.00180376j -0.0104519+0.0034711j 0.00520021-0.00425418j -0.00615689+0.0026209j 0.00907312-0.00526852j 0.0342975-0.0246724j -0.00432971-0.00639356j -0.00994738-0.00588156j -0.00687478-0.0493965j 0.0193063-0.00529915j 0.0177179-0.00711522j 0.0106165-0.0470252j -0.0133167-0.0251299j 0.00761229-0.0117673j -0.00120806+0.00442046j -0.0110332+0.00343215j 0.0160992+0.00363265j 0.0035685-0.00981266j 0.00460098-0.00250981j 0.00413884-0.00176027j 0.00216299-0.0026975j 0.0092597-0.0010111j 0.0185415+0.00283849j -0.0110619+0.00121212j -0.00246479+0.000383948j 0.00206633-0.00784224j 0.00698656-0.00201869j 0.0289577+0.00790413j -0.00729468-0.00172461j -0.0101742-0.00427779j -0.0124187-0.00251609j -0.00425291-0.00544718j -0.009634-0.00628002j 0.00480993-0.011252j 0.00258935-0.00121079j -0.00506538-0.00425675j 0.00214022+0.000599037j 0.0187049+0.000680727j 0.0143058+0.00492989j 0.0130458+0.00201503j 0.00146783+0.00112938j -0.00789743-0.0103254j -0.0144436+0.0012555j 0.00785279+0.00833822j -0.0053002-0.00265505j -0.00719022+0.0109497j 0.0297616-0.00591393j -0.0260174+0.000500996j 0.035266+0.00115164j -0.0167512-0.000341598j 0.00460392+0.00330065j 0.00231967-0.00559643j 0.0089291+0.00144641j -0.00796675-0.00485946j 0.00111255-0.000152926j -0.00266161+0.00490158j -0.00466303-0.00159754j -0.00508439-5.11424e-05j -0.00354176-0.00598835j -0.000240116-0.00100276j 0.000928077-0.000942664j -0.000399924+0.0160963j 0.00484736+0.00180804j -0.00482391+0.000819711j 0.0182796+0.00144919j -0.00323333+0.00973723j -0.00643952-0.00158393j -0.00165855+0.00747531j 0.00373204-0.0138511j 0.0225065+0.00656506j -0.00556096-0.00964905j 0.00619158-0.00320537j 0.000625692-0.00962823j 0.00949157+0.00279423j 0.0141853+0.0014441j 0.00197367+0.00428646j 0.000467718-0.00982746j -0.0154695-0.000997063j 0.0029142-0.00189811j -0.0165586-0.00183845j 0.00371696-0.00784677j 0.000923602+0.0115001j 0.00114477-0.00708885j 0.00571461+0.0048706j -0.000148613+0.0109551j -0.0038411-2.33628e-05j 0.00335493-0.00466869j -0.000913423-0.000698947j -0.00134483-0.00396826j 0.00140535+0.00505334j -6.42334e-05+0.00802413j -0.00124167+0.00478059j -0.000820629-0.0107259j 
-0.0211766-0.00669351j -0.0174781-0.000138404j 0.035606-0.0049617j -0.00761318-0.00587321j 0.0240951-0.00183665j -0.00584203+0.00946684j -0.00505453+0.00860258j 0.0696508-0.015047j 0.0121508-0.00943113j 0.00790952-0.0226023j 0.00785549+0.0298581j 0.0399321-0.0105265j 0.0090807+0.0340853j 0.0498267+0.000173306j 0.00176096-0.000393498j 0.00794568-0.00454852j 0.00803984-0.0035324j 0.00124127+0.0111311j 0.00704266-0.00272915j 0.0102982-0.0066837j -0.00408154+0.000525286j 0.00589589-0.00179319j 0.00191797+0.00232749j -0.00113667-0.00292708j 0.00664847+0.00380986j -0.00614539+0.00460687j 0.000193373+0.00575405j 0.000766889+0.00470063j 0.0109627+0.000424273j 0.0103151-0.000227884j -0.00937135-0.00110662j -0.00669825+0.00083142j -0.0114243+0.00840644j 0.00290639+0.0019963j -0.00264706+0.00232628j -0.000231625+0.00421184j -0.000463609+0.000269172j -0.0042058-0.00202406j 0.00472956-0.00170309j 0.0129741-0.00326039j 0.0112149-0.0033479j -0.00783879+0.00272122j -0.00279064-0.00489799j -0.0085572-0.0161142j 0.0224299-0.000261732j -0.0291523+0.00821737j -0.00178774-0.00152461j 0.0171762+0.0126129j -0.0210337+0.0072678j 0.0227993+0.0132923j -0.0297361+0.00785542j 0.0209103-0.00402703j -0.0156585-0.00304772j -0.00378747-0.00773273j 0.00401498+0.00455026j 0.0116494+0.00221798j 0.000148522-0.00368436j -0.00116091-0.00118725j 0.0010738-0.00174817j -0.0030592+0.00146767j -0.000223272-0.00228554j 0.00220753-0.00593696j 0.00158072+0.00416441j -0.00557041+0.00307119j 0.00574785-0.000801026j -0.00493974-0.00517033j 0.00965643-0.00308757j -0.00525037+0.00981437j -0.00950492+0.012819j 0.00474852-0.013485j -0.00646537+0.0173921j -0.0128465+0.0023928j -0.00542981+0.0120301j -0.00340837+0.000988059j -0.00446811+0.00349583j 0.00739841+0.00863109j -0.0120077-0.0131008j 0.00489672+0.00375073j 0.0107072+0.01176j 0.00112892+0.00367789j 0.00742984+0.0136215j 0.000524206-0.00186395j -0.00531665-0.00498879j -0.00481501-0.00250463j 2.89365e-05-0.000112251j 0.00442964-0.00149996j 0.000148632+0.00342256j -0.00260651-6.9246e-05j 0.00266595-0.00238109j 0.000936878+0.000655665j 4.29823e-05+0.000652441j -0.000831828+0.000731257j -0.00220829+0.00116875j -0.00242441+0.00379858j 0.000337664+0.00466994j 
-0.0189744-0.00365235j -0.011021+0.00513266j 0.0293181-0.00177149j -0.0065097-0.00582807j 0.017282+0.00865399j -0.00217411+0.00142467j -0.00406151-0.018152j 0.0436401+0.0193729j 0.00906354+0.00553101j 0.0103566+0.0288261j 0.00698581-0.0273408j 0.0231217+0.0280438j 0.00777006-0.0157622j 0.0325009+0.0288004j 0.000424284+0.00168479j 0.00675307+0.00279804j 0.00625686+0.00533019j 0.00410353+0.0132915j -0.000342144-0.00699241j 0.00425422-0.00118988j -0.017387+0.0101493j -0.00333442+0.00444817j 0.00486476+0.000698159j -0.0110552-0.00108469j -0.0246264+0.00757321j 0.0124042-0.00138338j 0.00948283+0.00440177j 0.00656678-0.00495665j 0.0029851+0.00136618j -0.0215961+0.00284536j 0.000493754-5.95238e-05j 0.00888718+0.00218022j 0.00588929+0.00512353j 0.00657537+0.00218228j 0.00361734+0.00309631j 0.000108344+0.00731844j -7.14238e-05-0.00190261j -0.000198969-0.00142248j 0.00303725-0.00269794j -0.0026499-0.00430324j 0.00664976-0.00673483j 0.00241249+0.00238274j -0.00244514-0.00660039j -0.00528768-0.0132723j -0.00311494+0.00118572j -0.00690023+0.00552647j -0.000347998+0.00257024j -0.0106443+0.00213841j 0.0264493+0.0105565j -0.0178461+0.0198685j 0.0339736+0.00142185j -0.00610721-0.00577352j -0.00204346-0.00189767j -0.00136596-0.00374354j 0.0035406+0.00455458j -0.00865163+0.00160701j 0.00183955-0.00377896j -0.00333526-0.000943533j -0.00128336+0.00423506j -0.00234571+0.00453576j 0.00391373+0.00748581j 5.31273e-05+0.000901669j -0.00243263+0.000438556j -0.00522615-0.0195939j 0.00819878+0.00179457j 0.0118107+0.00531716j -0.0102744+0.00272731j 0.0182594+0.00997886j -0.00725006-0.00689513j 0.00205243-0.00203555j -0.00196428+0.0010531j 0.0201287+0.0136614j -0.00869861-0.00342744j 0.00860696+0.00590758j 0.00230426-0.00839269j -0.00397381+0.00502549j 0.0186491-0.0138596j 0.0010449-0.0022582j 0.00982186-0.010236j 0.00897026+0.00556869j 0.0117098-0.00853192j 0.0134487+0.000774648j -0.00434984+0.0043479j -0.00455105-0.00509012j -0.00204149+0.000207022j 0.00174781-0.0036458j 0.00276373-0.00722691j 0.00104172+0.00156592j 0.00077743+0.000671434j 0.000781704+0.00120883j 0.000130835+0.00262664j -0.000464089-0.00176009j -0.000715308-0.00323566j -0.000781629+0.00161629j 0.000623107+0.00729967j 
0.04129+0.0055994j 0.0072154-0.013467j -0.0470297+0.00266558j 0.0107768-0.000862664j -0.00753003-0.0122789j -0.00896193+0.00799305j 0.0255529+0.016426j 0.0382212-6.1e-05j -0.0103119+0.0117857j 0.0192347+0.0119959j 0.00238723-0.00387761j 0.0152867-0.00393499j 0.00729456+0.0164202j 0.0341187+0.016952j 0.0104011-0.0101913j 0.00329112+0.00406379j -0.0186184+0.00492916j -0.00755497+0.00952649j 0.0156996-0.00503066j 0.00173484-0.0212488j -0.0190869-0.000566305j -0.00523573-0.0115449j 0.0121918-0.00858347j -0.000456697+0.00498453j -0.00553109-0.000183689j 0.00248378+0.00112624j 0.0166603+0.0016967j 0.0044243-0.00780838j -0.00254715+0.00140635j 0.000202784+0.00727146j 0.00683473+0.00869981j -0.00257283+0.00931324j -0.00723883-0.00762208j -0.0270405-0.0196857j -0.0148476-0.0202679j 0.000459467-0.037373j 0.00619729-0.0026667j -0.0124735-0.016199j -0.0201974-0.00365974j 0.000336126+0.0063652j 0.00872554+0.0138102j 0.00913223-0.0112019j -0.00205558-0.000675454j -0.00218938+0.00136259j -0.00754477-0.00221436j -0.002934+0.00917884j -0.00956415+0.0169671j 0.00871284+0.011423j 0.0160103+0.00563414j -0.00101529+0.00659988j -0.0105838-0.00572216j -0.00392471-0.00581103j -0.00667266-0.0042937j -0.00265739-0.00207691j -0.000694089+0.00209623j -0.00330451-0.00981958j 0.000966349+0.00153842j -0.000321546+0.00656409j 0.000448206+0.00107089j -0.00656458-0.00581532j -0.00718402+0.00451648j 0.00475962+0.00448971j 0.00925887+0.00107676j -0.00356243-0.00639973j -0.0132101-0.000526591j -0.0108332+0.00241173j -0.0105795-0.00176319j -0.00399129-0.00521447j 0.00543072-0.00358429j -0.0028349+0.0146182j 0.0082131-0.0128809j -0.00782923-0.0170366j 0.00942375-0.00813178j -0.00226097-0.000603487j 0.00200494+0.00147397j 0.00472994-0.00817459j -0.00412313+0.0331186j -0.00821137-0.00355921j -0.0209076-0.000198086j -0.000161201-0.00467587j -0.0216823-0.00313355j 0.00851463-0.00152296j 0.00608024+0.0101973j 0.0140848+0.00378983j -0.0110497-0.00422216j 0.00864831-0.00081791j 0.00172292-0.008046j 0.00179588-0.00892107j 0.00187499+0.00785891j -0.000656145-0.00220428j -0.00574916-0.00586843j 0.00825911+0.00488346j 0.0033642+0.0106854j 0.000176838+0.0140475j -0.00299411-0.0358933j 
-0.00705429-0.0456869j 0.00320491+0.0225782j -0.0113696-0.00531573j 0.0258256-0.0153721j 0.0305558+0.00524806j -0.0476225-0.0152057j 0.0339767+0.0117694j 0.0314806+0.00623691j -0.00250311-0.00997987j -0.03631-0.00248387j 0.00540911+0.00120727j 0.0267242-0.00308649j -0.0168919-0.018339j -0.0318198+0.00192021j 0.00892569+0.00483784j 0.0166666+0.00716963j -0.00481834-0.0485688j 0.00671892+0.00150545j 0.00693328-0.0276069j 0.0405036+0.0394703j -0.0236105+0.0131414j 0.00786069+0.0171005j 0.00248048+0.0077035j -0.0157546-0.0241676j 0.00938604+0.020149j -0.00552812+0.0114392j -0.00343738+0.00129062j 0.012067+0.00765356j 0.00897712+0.0108803j -0.0078429-0.0075447j -0.0141387-0.0201989j -0.00757064-0.0182609j -0.0304431+0.0480492j 0.057787+0.0690494j 0.058189+0.0604524j 0.00773659+0.103269j 0.013136+0.0170491j 0.00179752+0.00421001j 0.0436659-0.00478812j -0.011382-0.00048488j -0.00535543-0.0564808j 0.0224003+0.00266801j -0.0253551-0.0130901j -0.00751857-3.89133e-05j -0.000903228-0.0162096j -0.00468076-0.0276153j -0.00099003+0.00616047j 0.00341497+0.0186463j -0.00867493-0.000739428j -0.00595665-0.000847608j 0.000123303+0.00378336j -0.000412533+0.00553215j 0.000827548+0.00870505j 0.00810244-0.0070582j 0.0153611+0.006722j 0.00867413+0.0202408j -0.00346067+0.0154596j 0.00157721-0.00464377j 0.0086793+0.019433j 0.00563374+0.00509029j 0.0112476-0.00361672j -0.00203529-0.0233327j -0.0141445-0.00380504j 0.00405665-0.00242932j -0.0108543+0.0171206j -0.00537207-0.00457949j -0.00133776-0.00628432j 0.00107823-0.00466859j -0.000977905+0.00316641j -0.00228476-0.00497989j 0.000347715-0.00159383j -0.00168749+0.00605416j -0.00767309+0.00397174j -0.0015963+0.000822967j -0.00847631-0.00101j -0.00240371-0.00424827j 0.00968508-0.00836007j 0.00962301-0.0066036j 0.0065046-0.00272739j 0.00382597-0.000214156j 0.000400776+0.00256002j -0.00647501-0.0018494j -0.0166541+0.00109179j -0.00797682+0.000997052j 0.0110429+0.0069229j -0.00556506+0.0011636j -0.00314466+0.00853562j 0.00089798+0.0198386j -0.00605123-0.020923j 0.00479117+0.00640395j 0.0152199+0.0161881j -0.018216-0.010525j -0.0143094-0.0273121j -0.00425558-0.0147779j 0.00795863+0.107293j 
