-0.00620249-0.00855634j 0.0167935-0.00985178j -0.0159348+0.0108868j 0.00704685+0.0149398j 0.016285-0.011377j 0.0145031-0.000444343j -0.00735168-0.00384991j 0.0145711+0.00735552j -0.0060737-0.0069641j 0.00880866-0.00287906j -0.00863072+0.0162048j -0.00891274+0.0130402j -0.00365665-0.00291005j -0.006169-0.00098036j -0.0145448+0.00495024j 0.00782272+0.00643151j 0.00522318-0.0101526j -0.0113086+0.00303304j 0.0139245+0.016314j -0.0205876+0.016334j -0.0179766+0.0136093j 0.00943078+0.0205807j 
-0.0173962+0.00481939j 0.00716369-0.0154626j 0.000588464+0.00622128j 0.00468961+0.00107401j -0.00932623+0.00381907j -0.0119689-0.00402676j -0.0144108+0.00210851j 0.001234-0.0120074j 0.00257083+0.0172233j -0.0104782+0.0073901j -0.00603409-0.00789832j -0.00988261+0.00657786j -0.000636552-0.00868937j 0.022245-0.00247022j 0.0145623-0.0150616j -0.000543489-0.00384231j 0.00330649-0.0192629j 0.0209638-0.0142392j -0.000629326-0.00475578j 0.010068-0.00789992j 0.00566476+0.0225817j 0.0241742-0.00381793j 
-0.000916204-0.00456894j 0.00052773+0.00146735j 0.00287039+0.00153719j 0.00916841+0.00305601j -0.0144594-0.000405599j -0.00733627+0.000492332j -0.00772247+0.000448915j -0.0139182+0.00795466j -0.0116474-0.00251425j -0.0233657+0.00188756j -0.0199434+0.00637526j 0.0151112+0.00271231j 0.000682874+0.00254574j -0.0172468-0.0064427j 0.0200068+0.00888772j -0.00899512-0.000292117j -0.0101628-0.00493864j -0.0174939-0.00452544j -0.0187074-0.00342979j -0.0211349-0.00411612j -0.0058353-0.00170935j -0.0165485+0.00213295j 
0.0158648-0.00289431j 0.00289032+0.00324714j -0.0114139+0.00206553j 0.0186592-0.0079894j 0.00745772-0.00331719j -0.00778888+7.78392e-06j -0.00424811+0.000248046j -0.0227564+0.00191243j 0.00245549+0.00493375j 0.0153079+0.00501077j -0.000411949-0.013587j 0.00448463+0.00736627j 0.0281027+0.00124152j 0.00544323+0.00439847j 0.00183839-0.00317499j -0.00383115-0.00201476j -0.0131116+0.00359301j -0.0142139-0.00572042j 0.00823192-0.00411211j 0.0255865+0.0056903j -0.000439466-0.00404889j 0.0106917+0.00152697j 
0.00861728-0.0071777j -0.0182165-0.00698677j 0.00595389+0.00819975j 0.0111715+0.00442465j -0.00334757-0.00112491j 0.0158576-0.00388856j 0.00535762-0.00402327j 0.00208791+0.00106967j 0.00309474-0.00142347j 0.000549517+0.00850761j 0.0217215+0.000716652j 0.0148259+0.00783005j -0.0125204-0.00257749j 0.0182535+0.00047295j 0.00400647-0.0113493j 0.0198693+0.00752721j 0.0214731-0.00256004j 0.00283172-0.0141892j 0.00137807+0.0049315j 0.00936105-0.0050934j -0.0341626+0.00707306j -0.00669226-0.0013235j 
-0.000612063-0.00964948j 0.00574594+0.0154527j 0.0041981-0.000716483j -0.010149-0.00711466j -0.00719959-0.0164382j 0.00308196-0.00132355j 0.00400846-0.0153738j 0.004401+0.00110292j -0.012381+0.00529297j -0.00335345+0.0295605j 0.000735753-0.0109547j -0.0106309+0.0265592j -0.0178131-0.00872378j 0.0066575+0.0107295j -0.018659-0.0209612j -0.00399148+0.0210433j 0.0101605-0.00799586j -0.00257464-0.0020123j 0.0195875-0.0260312j 0.00380103+0.00303442j 0.00531898-0.00922157j -0.0111212+0.00988721j 
0.000493146+0.0085597j -0.00206214-0.00917054j -0.00133121-0.00316519j 0.00343265-0.00737897j -0.00598781-0.00235765j 0.000623147+0.0144113j -0.00906075-0.0393908j -0.0151373-0.010918j -0.0036786-0.00803995j -0.0023441-0.00822741j -0.00822033+0.0104066j 0.0016843-0.0220688j 0.00206612+0.0219813j 0.00271342+0.000962107j 0.0018083+0.0113573j -0.0075417+0.0321928j 0.00730573-0.00731423j -0.0140032+0.0255413j -0.00256813+0.00485217j 0.00263604+0.000239777j -0.00192389+0.00255883j 0.00646089-0.00448559j 
0.00323537+0.00577828j 0.00279467-0.00884546j -0.00686177+0.00239445j -1.07008e-05-0.00819185j 0.00942434+0.000654439j 0.00704808-0.0081861j -0.00323285-0.00238622j -0.000908385-0.0130319j 0.00243417+0.0206664j 0.0045666+0.00929841j -0.0115554-0.0148801j 0.00297021-0.00483081j 0.00153195-0.00865208j -0.024918+0.0134143j -0.000192616-0.0209259j -0.00279195-0.00648587j 0.0036191-0.021548j -0.0190795-0.0187126j -0.000401467-0.0103j -0.00846511-0.0305678j -0.00578342-0.00481194j 0.00239399-0.017789j 
-0.00302757-0.00499525j 0.00483667+0.00052841j -0.00119396+0.0100605j 2.93e-05-0.0207861j 0.00211962+0.0182071j 0.00412472+0.0140815j -0.00314831+0.0055633j -0.00289917-0.0314118j -0.00993547-0.0185795j -0.00433416-0.0240674j -0.00376631+0.0166199j -0.00563307-0.0228059j -0.0104287+0.0341576j 0.0118591-0.0229187j -0.0147465+0.000584451j 0.00541575-0.0118879j 0.00632364+0.0205653j -0.00214575+0.00235641j 0.00986256-0.0104959j 0.00233279-0.0066381j -0.00412881-0.0115415j 0.000342706+0.0030763j 
0.000858504+0.00738881j 0.0048753+0.0062219j -0.00477367-0.0067084j 0.000693769-0.002942j 0.00618209+0.00258571j 0.00546381+0.00458276j 0.00155827+0.00457185j 0.00580214+0.0116779j -0.00583841-0.00993936j 0.00116778-0.001666j -0.00254142-0.00840935j 0.00181146+0.00749789j 0.000160651-0.00108321j -0.00395112-0.0391826j -0.0070614+0.00516921j 0.00792453-0.00706967j 0.0150209+0.00175107j 0.00372161-0.0223283j 0.00516471-0.000114431j 0.0099456-0.0200694j 0.0044963-0.00911459j 0.00866114-0.0088029j 
-0.0049367+0.0148196j 0.00579635+0.00501058j -0.00446751-0.0156177j 0.00577037-0.00159512j -0.000108978-0.00321071j 0.007144-0.01588j -0.000630667+0.00159481j 0.00407284+0.0195078j -0.00455873+0.0185476j -0.0130882+0.00428368j -0.00953736-0.00205472j -0.00288388-0.0178886j -0.00986784-0.00420381j 0.0084271+0.0304848j -0.0116186+0.00812088j 0.0088636-0.000864148j 0.0126656+0.0151827j -0.00122342+0.00743749j 0.00289627+0.00510591j -0.00127642+0.00324707j -0.0052929-0.0252854j 0.00257389+0.00645515j 
