-0.0111729+0.00809243j -0.00623748-0.00930551j -0.0197863+0.0293271j 0.0067567-0.00915894j 0.00077147-0.0108038j 0.00734801+0.0371713j 0.00247804+0.00813768j -0.032879-0.0289846j 0.0172997+0.0299256j 0.0124026-0.0350525j -0.0212692-0.00676336j 0.00888119-0.00329022j 0.0150425+0.017135j -0.00522957+0.00566236j -0.016223-0.0307937j -0.00974049-0.0195887j 0.00186599+0.0465144j 0.0462737+0.0160812j 
0.00235245+0.0142563j 0.0131444-0.00260626j -0.022551+0.00840103j 0.0254612-0.0137621j 0.0148422+0.00534021j 0.0173005-0.0107372j 0.0301369+0.0061727j -0.0172207+0.0210934j -0.0309136-0.0383815j -0.00463998+0.0101883j 0.00233037-0.00951316j 0.00287249+0.0181703j -0.0049017-0.00912849j -0.000995661-0.00519621j 0.000887831-0.0165582j 0.00124532+0.0337024j -0.00504261+0.000932827j -0.0117289+0.00063568j 
0.0128733+0.00644189j -0.00098238+0.0131293j 0.0368466+0.02632j 0.00150218-0.0129991j -0.00130748+0.00432123j 0.0298367+0.0128012j 0.0114404+0.0157091j -0.0567755+0.0106881j 0.0616112-0.0120099j -0.0182508-0.0287526j -0.00293278+0.00353225j -0.017112-0.0142439j 0.00846341-0.0165924j -0.00765667+0.013141j -0.00170845+0.0305195j 0.00614504+0.000709455j 0.0471229+0.0209477j 0.0236479-0.0182323j 
0.00236781-0.0108065j -0.00528713-0.0172931j -0.00664182-0.0033446j 0.00034199-0.0163446j -0.00808327-0.0331502j -0.0117327+0.00811864j -0.00587259-0.0142421j -0.00182552+0.00812047j 0.00900064-0.0450841j 0.0290452-0.011823j -0.000677945+0.00372349j 0.00443899-0.0036282j -0.00730322+0.00349987j -0.00329605+0.00243053j -0.00609167+0.0183653j 0.00401494+0.020948j -0.00990887-0.0180648j -0.0023972-0.0237384j 
-0.0195014+0.00429819j -0.0275488+0.00265386j -0.0303287+0.0187092j -0.00930957-0.0131585j 0.00825158+0.00636962j -0.049013+0.0184459j -0.00124249+0.0218711j 0.00233555-0.0202994j -0.0267928+0.0305501j 0.0212323-0.00952051j 0.00702184-0.012677j -0.00639718-0.00932719j -0.0292173+0.0111552j 0.00515332+0.00979681j 0.00924261+0.00273476j 0.033759+0.00834672j -0.00996859+0.0168428j -0.0101104-0.0282235j 
0.000435725-0.000344143j 0.0149353+0.00289203j 0.00836933-0.00414391j -0.0159818+0.00286696j 0.00819142-0.0247039j -0.00431844+0.0481287j 0.00625118-0.00395096j 0.0134547+0.0151552j -0.0155219+0.00315887j -0.051314+0.00816322j 0.0176059-0.00243569j -0.010333-0.000814452j -0.000832904+0.00389688j 0.0341986-0.00515827j 0.0140399-0.00435353j 0.016346-0.00940704j 0.0156997+0.0130121j -0.025008+0.0135364j 
-0.00463493-0.000507734j 0.00588045-0.000913637j -0.00116445+0.00386029j -0.00652573+0.0036804j -0.0184159-0.000991429j -0.00377073-0.0415009j 0.00822095-0.0100787j -0.0207495-0.00642516j 0.0279843-0.0376652j 0.0116436+0.0149398j 0.0096678+0.0149519j 0.0191524-0.0106458j -0.00284826-0.00195877j 0.0193387+0.00617809j 0.00830637+0.00034386j 0.0229314+0.0255173j 0.0196904-0.0220536j -0.0158755+0.0147463j 
-0.00571661-0.00619806j 0.00594216+0.00177j -0.0170469-0.0285733j -0.00813453+0.00778246j -0.0188917+0.0204148j 0.0101245+0.00884877j 0.000911501-0.0189212j -0.0201958+0.0308193j 0.0186196+0.0109809j 0.0250635+0.00541404j 0.0135032-0.00296575j 0.00927791+0.0197972j 0.00466407-0.00470699j 0.0170871+0.0184998j -0.00335729-0.000162275j 0.0165544+0.0157106j 0.00176714-0.00913834j 0.0177357-0.0202449j 
0.00381785-0.0138353j -0.0114502-0.0190207j 0.0143892-0.0280579j 0.00332913-0.0147036j -0.0150719-0.0016883j 0.00787119-0.01732j 0.00401718+0.0145357j -0.0415946-0.00434055j 0.0274352-0.0058597j -0.00726001+0.0478494j -0.0148051-0.0180062j 0.00760003+0.000618935j 0.023516+8.10727e-05j 0.01378-0.0176281j -0.0368617-0.00432729j -0.0257556-0.00751523j 0.0168834-0.0193461j 0.00222401+0.00451953j 
0.00304001-0.0171153j 0.0117861-0.0163332j 0.0187759-0.00354002j -0.038749+0.00962514j -0.00245621-0.00323451j 0.000747012-0.0105079j 0.0357402-0.00454541j -0.00545952+0.00911222j -0.00705125-0.0138821j -0.0211175-0.00629634j -0.00205588-0.0107978j -0.0158249+0.0111707j -0.00650012-0.00676565j 0.00823854-0.00516583j 0.0171108-0.012338j -0.00444923-0.0075698j 0.000280513-0.00715619j -0.0197834-0.0205986j 
-0.00178362+0.00610105j 0.00831941-0.0202183j 0.0074684+0.00607017j 0.0173395+0.0382981j -0.00452925-0.00114886j 0.0227724-0.0126342j 0.0158689-0.0290542j 0.0114198-0.0297125j 0.0282521+0.0133885j 0.0176875+0.0212182j -0.0151307-0.0165619j 0.0173646+0.0158618j -0.0100362+0.00576747j -0.00799835+0.0103967j 0.0212566-0.00917517j -0.000146391+0.00812285j 0.00787498+0.00681258j -0.00412023+0.00665526j 
