0.0157405+0.00169744j -0.0113226+0.0420121j -0.00223699-0.0200768j 0.0406609-0.102294j -0.0105481-0.0455293j 0.0086587+0.0157471j -0.00926123-0.00183772j 0.00197334-0.0168556j 0.0127456-0.0075549j 0.0176844-0.00644804j -0.0201243+0.0028853j 0.0045753-0.00151644j 0.0335824+0.0111771j 0.02022-0.0146247j -0.00191672-0.00177111j 0.00417106-0.00144884j -0.00519309+0.0138494j 0.00166466+0.0030305j 0.0215244+0.0319534j -0.00290809+0.0232786j 0.00387358-0.0195498j 0.0139766-0.0077611j 
0.0290378+0.0446975j -0.00735454+0.0180592j -0.0275235+0.00443081j 0.00733159-0.0251382j -0.065393-0.00505756j 0.0212203-0.0119213j 8.36399e-06-0.00978579j 0.0268459-0.0552642j 0.0213042-0.0275118j 0.00424955-0.00871514j 0.0276525-0.0286587j -0.00527684+0.00418708j 0.0123573-0.00930967j -0.00460299+0.00676847j 0.000624219+0.00429386j -0.00323504-0.0080157j 0.00699556+0.000115408j 0.0103933-0.00963011j -0.00430741+0.00311045j 0.0215229-0.0106281j 0.0208921-0.00152923j 0.000457905-0.0089624j 
0.0131091-0.0687168j -0.00394906-0.0313395j -0.00608382+0.00607143j 0.0201924-0.0884017j 0.00757739+0.0608539j 0.00203977-0.000703378j 0.00640322-0.000318306j 0.00762134+0.00382163j 0.0044736-0.0182119j -0.0292231-0.0109235j -6.26115e-05-0.00296214j 0.0132507-0.00037093j 0.00992763+0.00402654j 0.0186641-0.00882928j 0.0112959-0.0038981j -0.0183594-0.0203682j 0.0242881-7.87496e-05j -0.0291631-0.00369494j 0.00337927-0.0232483j -0.0029957+0.0252419j 0.00934936-0.0032446j -0.00952373+0.0116354j 
0.00685948+0.0419032j -0.0711203+0.0175893j 0.00311437-0.00789324j 0.193865+0.0316201j 0.047809-0.0696365j -0.0397971-0.0228872j 0.0163508-0.0401452j 0.0294003-0.0157302j -0.00321511+0.00283717j 0.00640645+0.0155995j -0.016288+0.020901j -0.00509613+0.0078132j 0.0224259+0.00648343j -0.00944522+0.0222403j -0.0103328-0.0123334j 0.0087828-0.00214904j 0.0211153-0.0208676j -0.000793427-0.00161461j -0.00380692+0.00870152j -0.0150176-0.00366838j 0.0129599+0.000130304j 0.00180161-0.00428776j 
0.0400062-0.0354153j 0.0139112-0.0130489j -0.00497141-0.0415554j 0.0111587-0.0948552j -0.0228779+0.0295666j -0.0195188-0.0208574j -0.0252745-0.021164j -0.0107222+0.00174963j -0.00329902-0.0144441j 0.00677141-0.00539045j -0.0174737+0.0159688j 0.00734989-0.00163509j -0.00722282-0.00936115j -0.000120062-0.00167997j 0.00138395-0.0106094j -0.00168751+0.00110238j -0.0252861+0.0193308j 0.00827327-0.0130755j -0.00878155+0.013165j -0.00992204+0.0165983j -0.0120601-0.00847927j -0.0180914+0.0127686j 
-0.0957253-0.0533246j -0.0296125+0.0429145j 0.0181579-0.0123903j -0.0698485-0.0628886j 0.0975482-0.0124801j 0.0254285+0.0189102j 0.0064059+0.0302122j -0.0189531+0.00480414j -0.00240242-0.00181854j -0.0083623+0.000254587j 0.000873648+0.00529554j -0.00186317+0.0102274j 0.0109692+0.00451372j -0.00784952-0.00542779j -0.0147277-0.0205457j -0.00487683+0.032077j -0.00305425+0.0183042j -0.0057594-0.00812317j -0.00366777+0.0114504j 0.0106944+0.00635255j 0.0164661-0.00437362j -0.00473873+0.00296008j 
-0.0308338-0.00599502j -0.0396464+0.0187139j -0.0936302+0.0384505j -0.146058+0.0189428j 0.0343618+0.0165074j 0.056908-0.0317265j 0.0179971+0.0224295j 0.00269637+0.0069481j -0.000614098-0.00835202j -0.00937725-0.00502165j -0.0114365+0.0289166j -0.00915613+0.0157946j 0.020371-0.0346094j -0.00398095+0.0239659j -0.0181408-0.0114251j 0.00154341+0.00404784j 0.0139997-0.00931615j -0.0108791-0.00678948j 0.0117754-0.0017617j 0.0116618-0.0143185j 0.000451608-0.00864391j 0.0256174+0.0360894j 
-0.0450882-0.0208845j 0.00866436+0.0265595j 0.12673+0.0386918j 0.0887906+0.0339382j 0.0207278-0.04186j 0.00326254-0.00889078j 0.0100441-0.0158541j -0.0136905-0.00231089j 0.00908535+0.00761437j -0.000659653-0.0013857j 0.00323808+0.0120561j 0.0122116+0.0038717j 0.00496418-0.00260661j 0.010559-0.0163998j 0.0101951+0.00625368j -0.0130323+0.0150343j -0.0118203+0.000655829j 0.0111733-0.00816874j 0.00146496-0.0276437j -0.00102961-0.00233599j 0.00474777+0.00616377j 0.00470515-0.00669888j 
0.114835+0.0464886j -0.0681478-0.0543368j -0.124002-0.149864j 0.133587-0.103786j -0.00689821+0.0263246j -0.0109146+0.0313944j -0.00272755+0.0197208j 0.0339188-0.00231406j 0.00857801-0.0171632j 0.0212953-0.00197871j -0.0519589-0.00836406j 0.00922511+0.00170098j 0.0082672+0.00293606j 0.00322882-0.00521337j -0.00871022-0.0435702j -0.0040823+0.011337j -0.0188236-0.0272521j 0.00516733-0.0145742j 0.00604064-0.0145138j -0.0216826-0.0136179j -0.00783669+0.00257711j -0.00386206+0.0133861j 
0.0131457+0.0412991j -0.157694-0.0514948j -0.295644-0.043456j -0.121915+0.0721192j 0.0960499-0.0259391j 0.00639515+0.00943298j -0.0264731+0.00735325j 0.045141-0.0209144j -0.00748381-0.00640933j 0.0190792+0.0220179j -0.00189146+0.0120166j -0.0340292-0.013181j -0.0168441+0.0128013j -0.0263694+0.00997011j -0.00274368+0.026555j -0.0183449-0.0239843j 0.00485701+0.00815813j -0.0101377-0.0144095j -0.00908726+0.00971828j 0.0174516+0.0113719j 0.0148762+0.0165173j -0.00139866-0.0137867j 
-0.134112+0.148204j 0.105745-0.109839j 0.189336-0.294477j -0.0570667+0.0606619j 0.000938785+0.0186137j -0.0187605-0.017069j -0.0289423+0.00383209j -0.0209165+0.0533369j 0.00796366-0.00831651j -0.0151008+0.0438318j 0.00259664-0.0278871j 0.0228301+0.000718441j -0.00726104-0.0318603j -0.0162665+0.00151128j 0.00737778+0.0157735j 0.016016-0.0101782j 0.018548-0.0211241j 0.00828661-0.0119128j -0.00257093+0.000228147j 0.0166434-0.0145204j -0.01767-0.00687736j 0.0061368-0.00404126j 
0.00126118-0.00948196j -0.000147002+0.0930593j -0.102813+0.255438j -0.147189+0.198755j 0.00155922-0.0369883j -0.0159912-0.0693579j -0.0111505+0.0120051j -0.00733464-0.0090594j -0.0365769-0.0100932j 0.00327111-0.0171911j 0.00986252-0.0129273j 0.0213141+0.0404652j -0.0158439+0.0155403j 0.00346453+0.009339j -0.0202051-0.00214354j -0.0271231+0.00674843j -0.0209181-0.00333809j 0.00249797+0.00587723j 0.00889962-0.023536j 0.024777-0.0134359j -0.0309813-0.0170945j 0.00394522-0.0153986j 
-0.0373225+0.0440648j 0.0245024-0.0750591j 0.00610155-0.0772878j -0.0765724+0.144107j -0.00661697+0.0011647j 0.00372308+0.000150234j 0.0256649+0.011236j 0.0106874+0.0204052j -0.00693421+0.00792143j -0.0138823+0.0187765j 0.037451+0.0130615j -0.0168299-0.0417754j 0.00185801-0.00216449j -0.00631629-0.0104999j -0.0207359-0.0243877j 0.00415675+0.0162579j 0.0082327-0.00683574j 0.00982785+0.0256474j 0.000819739-0.00183188j 0.021688-0.0220698j -0.00380436+0.0277521j 0.00234657-0.0166747j 
-0.0250534-0.00947349j -0.0171761-0.018712j -0.0424849-0.0622592j -0.0592561-0.116545j 0.00681314+0.0142501j -0.00789204+0.0333321j 0.0331502-0.0264274j 0.00797013-0.00760926j -0.034543+0.0102582j 0.00177013+0.000405394j 0.0376885-0.0113146j -0.00287229-0.00443082j -0.0189335+0.00349565j -0.00456391+0.00532733j -0.0350836+0.0177816j 0.000583367+0.00700354j -0.0138499+0.0310878j 0.00749631-0.0285316j -0.0224493+0.0207215j 0.0108421+0.00529949j -0.00658287+0.0118381j 0.007047+0.0195206j 
-0.0317724-0.0427501j 0.0386983-0.153709j 0.0340368-0.118265j -0.0488033+0.0591586j -0.0153179+0.168846j 0.00250875-0.028301j -0.00483455-0.0189887j 0.0243284+0.0307176j 0.0175952-0.00170603j -0.0343457-0.0206946j 0.0282865-0.01291j -0.00156007-0.00607448j 0.0142794+0.011405j 0.00425399+0.0117499j -0.0246157-0.0298764j -0.0023863-0.0165178j 0.0152141+0.00542761j 0.00919879-0.027219j 0.00815427-0.0136562j 0.00632014-0.000801168j -0.00375261+0.0323314j -0.000914528-0.0104034j 
0.0628203-0.0144708j -0.0168429-0.0463624j -0.0240857+0.0301899j 0.0102844+0.10953j -0.00452888+0.110839j 0.0208901-0.0237231j 0.0104405+0.0175529j -0.0347284-0.00661075j -0.00889952-0.00457643j 0.0390973-0.00158871j -0.0189256-0.0118849j -0.00123432+0.0197299j -0.0202676-0.0174424j -0.0198146+0.0161825j 0.0149724+0.0182799j 0.00609781-0.00679696j -0.0131834-0.0135874j 0.00449875-0.023815j 0.0173002-0.00667917j -0.0203626-0.0133063j 0.00296423+0.015631j -0.0116844-0.0152715j 
0.0158064-0.0234579j -0.0268382-0.0710289j -0.166097-0.26017j -0.212149-0.339281j 0.00475868+0.0527281j 0.0283423+0.052404j 0.00883307-0.0388098j -0.013131-0.00878193j -0.0312676-0.0180673j 0.0169742-0.00157735j 0.0214525+0.0135149j 0.000894075-0.0241559j -0.0198674-0.0137599j 0.00648844-0.0126303j -0.00783301-0.0344223j -0.0177795-0.0129834j -0.000739873-0.0269287j -0.0142978-0.00631556j 0.0314694+0.00438401j 0.0261016+0.029578j -0.0128108-0.00476577j 0.0228667+0.00213037j 
-0.0475181-0.110337j 0.0925638+0.0219748j 0.23709+0.0867658j 0.100817-0.173352j -0.0745993+0.0541076j -0.0301253+0.0133915j 0.0173743+0.0122511j -0.00217293-0.0446768j -0.00201848-0.0326683j -0.0148484+0.00429045j 0.0229059+0.0239502j 0.0152646+0.0180619j 0.0219011-0.0103228j -0.0138119-0.0144059j 0.00574371-0.000905552j -0.00637703-0.0052121j 0.0250767+0.0169509j 0.0207024-0.0156712j -0.00808988+0.00951942j 0.00779177+0.0358684j -0.0153123+0.00131273j -0.000215714+0.00978093j 
-0.0164808-0.0572305j -0.0547346+0.00637273j -0.164394+0.126708j -0.212572+0.0221621j 0.0299365+0.073804j 0.0482339+0.00274114j -0.036643-0.0151956j 0.00365335-0.018572j 0.0106626+0.0126058j -0.00283342+0.013562j 0.00514577-0.0423023j -0.0150469+0.0111406j 0.00498362-0.0111025j -0.00501195-0.0355642j -0.038013+0.0255536j 0.00498558+0.0278158j 0.00352095+0.00331558j -0.0161833-8.69528e-05j 0.017387-0.017162j 0.00369381-0.0126383j 0.00951706+0.0160359j 0.0153869-0.0104884j 
-0.00657834+0.0519867j -0.0533414+0.145291j -0.0708173+0.0313932j -0.0495857-0.0554361j -0.0360856-0.154856j 0.0271068+0.00440434j -0.0302978-0.0201262j -0.00313724+0.0144408j 0.00104236+0.0292287j 0.00338901-0.0131017j 0.000894788+0.0252624j -0.0462957+0.0507224j 0.0265569+0.0113246j -0.0308959+0.0217083j 0.00459216-0.0243919j -0.0103495+0.0023028j 0.0119259-0.0133589j 0.011285-0.000537321j -0.00822271+0.00703704j 0.00574352-0.00694366j -0.00209525-0.0302021j 0.0224838-0.0124664j 
0.104735+0.163702j -0.130801-0.0576384j -0.170705-0.18576j 0.220343+0.0776245j 0.037096-0.0251059j -0.0111724-0.0376885j 0.0190598+0.0218351j 0.0270771+0.0660992j 0.00106636-0.0247039j 0.0235172+0.0648578j -0.00413392-0.0315234j -0.0263534+0.0315671j -0.00420283-0.0254253j 0.00618429-0.0206049j 0.0227103+0.010424j -0.0350872-0.00291822j -0.0372156+0.0105875j 0.000313737-0.00579384j -0.018308+0.0167587j -0.0244684-0.0110226j 0.0100948-0.0124409j -0.01902-0.00490027j 
-0.122454+0.0640758j -0.0850104-0.186341j 0.110227-0.130695j -0.0456085+0.143122j 0.10391+0.146704j 0.0219055-0.0278649j -0.0255944-0.00183847j -0.053474+0.00250249j -0.0163476-0.0250662j -0.0220824+0.007477j -0.009256-0.0503621j -0.0340032-0.0355546j 0.0480442+0.0143512j -0.0191343-0.00508018j -0.000640657+0.00652249j -0.00648953-0.0204073j 0.0113707-0.0167657j -0.0112805-0.0174014j -0.0281958-0.0175557j 0.0156813-0.0248008j 0.0373773+0.0191805j 0.00476611-0.00757282j 
0.0498048-0.104546j -0.203001+0.0282263j -0.109276+0.0491124j 0.142484-0.0314636j 0.197376+0.0697608j -0.04775-0.0307489j 0.00345212+0.00363438j 0.0348594+0.00834987j -0.0263992-0.00905697j 0.0176278-0.0387981j -0.0512216+0.00635422j -0.025584-0.0112454j 0.00121688-0.025232j -0.0222764+0.00334694j 0.00592879-0.00600553j -0.00384005+0.000676287j 0.00748742+0.0201616j -0.0150288+0.0178589j -0.0131012+0.00335635j -0.00603803+0.0181739j 0.0380383-0.018349j -0.0195521+0.0148538j 
-0.174242+0.175895j -0.0439023+0.135864j 0.1422-0.0221448j -0.0739485-0.0637195j 0.221497-0.157499j -0.0223458-0.00783701j 0.00693052+0.00859976j -0.0260455-0.00761622j -0.0117577-0.0131359j -0.0494507+0.00510145j 0.00847925-0.0311596j -0.0300673+0.0596393j -0.01988-0.0250312j 0.000389872+0.0227936j 0.00611879-0.0247895j -0.00270639+0.00555859j 0.00681711-0.0110849j -0.00817739+0.0127181j -0.00682803+0.0371115j 0.0115603-0.0244106j 0.00821909-0.0431726j 0.00470508-0.0109897j 
-0.20149-0.166503j -0.100936-0.0126789j 0.0189505+0.119903j 0.0615157-0.0666152j 0.154392+0.173435j 0.01274-0.0191816j -0.000815031+0.00295558j -0.0109559-0.0301261j 0.0191218-0.0103381j -0.0196783-0.0356021j 0.0382266+0.00932627j -0.059721-0.0174189j 0.000873811-0.00797934j -0.0158614-0.00957144j 0.030639+0.00226992j -0.00405731+0.00718708j 0.00690498+0.00500133j -0.0139789-0.00930804j -0.0318444+0.000653657j 0.0249104+0.0133668j 0.0319431-0.00249449j 0.00295998+0.00035016j 
