0.000541814-0.00213789j -0.00284786-0.00123979j -0.00082484+0.0039494j 0.00988168+0.0127029j -0.00170972-0.00129744j 0.00648387+0.0135006j 0.00314803+0.0109071j 0.00570489+0.013494j 0.00275322+0.00577502j 0.000375885-0.00230415j 0.00264555+0.0113065j -0.00256316-0.0139359j 0.00135479+0.0121865j 0.00264703-0.0125294j -0.00306237-0.00475005j 0.00191864-0.00366653j 0.000893516-0.00222983j 0.00645618-0.000327929j -0.00272296-0.000455237j -0.0133393-0.000561998j -0.00653539-0.000574705j 0.00520055+0.00145667j -0.0130288-0.00178331j -0.00750441-0.000554733j 0.00655256+0.00211513j 0.00128735+0.00186132j 0.00303151+0.000861302j -0.00056184+0.000552237j -0.0143142-0.00406196j 0.00676121+0.00267489j 0.00698992+0.00175524j 0.00275072-0.00024692j 0.00791246+0.00437597j -0.0111314-0.00660175j -0.00643915-0.00819465j -0.00255694-0.00954075j -0.00821801-0.00139931j 0.00481239+0.00291196j -0.00268126+0.00424309j -0.00364409-0.00220484j 0.00165864-0.00133092j 0.00268244-0.0015628j 0.00257888+0.00338485j 0.00202139+0.00503756j 5.61596e-05+0.00527396j 0.0035087-0.00188898j 0.00420485+0.00093826j 0.00059101-0.000754692j 0.000162052-0.00703034j 0.00569505+0.00188959j 0.00223021-0.00512806j -0.00174896-0.00200393j -0.00660666-0.00218177j -0.00121175+0.000743679j -0.00419913+0.00430686j -0.0039388-0.00078306j 0.00535766+0.00141312j 0.00581451-0.00103163j 0.00293531+0.00128046j 0.000587954-0.000813576j 0.00166041-0.00143033j 0.00201808-0.0012253j 0.0021123+0.0033511j -0.00039062-0.00357608j 0.00179528+0.00135072j 0.00532406+0.00632234j 0.00134466+0.00106365j -0.00227265+0.00080685j -0.00396038+0.00216148j 0.00649096-0.00216717j 0.00277586-0.00350648j -0.00441546+0.000618012j 0.000160311-0.0040487j 0.00102403-0.00319278j -0.000541756-0.000953195j 0.0031368+0.00129125j 0.00452416+0.00490539j -0.00481199-0.000571068j 0.00367265+0.00359827j 1.91366e-05-0.0005424j -0.00332812+0.00364661j -0.00488521-0.00370809j -0.0031664+0.00234642j -0.00224824+0.00376278j 0.00205711+0.00452507j 0.0046263-0.00737532j -6.63118e-05+0.00163465j -0.00289364-0.00497189j 0.00145246-0.00333994j -0.00220762+0.00384357j 0.00312239-0.00231074j -0.00052217-0.000498485j -0.00300896-0.00056091j 0.00155732-0.00586214j 0.00247397-0.00179957j 0.000154771+0.00298524j 0.00167306-0.00225062j 
0.00207446-0.00160899j 0.0035188-0.00150972j -0.00387578+0.00100574j -0.0139119+0.00915327j 0.00195187-0.00168112j -0.0134084+0.00672361j -0.0107537+0.00396661j -0.0134346+0.00622556j -0.00572847+0.00283411j 0.00198298+0.000304694j -0.010681+0.00286013j 0.0133471-0.00341658j -0.0120907+0.0011191j 0.0129512+0.00289788j 0.00474939-0.00438365j 0.001894-0.000877666j 0.00115905-0.00300459j -0.000353663-0.00565132j 0.000358583+0.00141186j 8.42678e-05+0.0118927j -0.000462009+0.00545652j 0.00052978-0.00454498j -0.0013005+0.0126765j -0.000484587+0.00789987j 0.00182547-0.00595299j 0.00118379-0.000863833j 0.000439048-0.00349001j 6.68187e-05+0.000403129j -0.00317673+0.0146568j 0.0021905-0.00691555j 0.00163324-0.00816912j 9.88747e-05-0.00302408j 0.0040649-0.00855265j -0.00564901+0.0118459j -0.00696033+0.00726226j -0.00715523+0.00419823j -0.000957949+0.00743021j 0.0017251-0.00485449j 0.0040072+0.00178864j -0.00158317+0.00384783j -0.00106608-0.00119359j -0.00236524-0.00315639j 0.00375841-0.00340502j 0.00552909-0.00216186j 0.0057737-0.000149163j -0.00232235-0.00403062j 0.00138962-0.00462755j -0.00102452-0.00102354j -0.00739887-0.000930809j 0.00215936-0.00601691j -0.0052274-0.00228297j -0.00200905+0.00180183j -0.00250854+0.00737722j 0.000809288+0.00125141j 0.00422461+0.00468174j -0.00162415+0.00464246j 0.0015952-0.00538029j -0.000620791-0.00616207j 0.00174686-0.00291231j -0.000915276-0.000518823j -0.00168726-0.00202074j -0.00135806-0.00246221j 0.00337943-0.00162177j -0.00395479-2.33941e-05j 0.00144855-0.00182869j 0.00717541-0.0053712j 0.00137527-0.00161448j 0.000675718+0.00210866j 0.00183903+0.00392466j -0.00111325-0.00641948j -0.00312816-0.00303492j 7.94856e-05+0.00408525j -0.00420937-0.000917031j -0.00279317-0.00143994j -0.000896632+0.000391221j 0.00160438-0.00291691j 0.00490666-0.00383915j -0.00120728+0.00428549j 0.00457026-0.00316349j -0.000485688-2.6115e-05j 0.0034399+0.00280183j -0.00415152+0.00409162j 0.00228079+0.00299035j 0.00359778+0.00205041j 0.00468505-0.00159831j -0.0069337-0.00472656j 0.00177796-0.000336093j -0.00555165+0.00197428j -0.00335947-0.0015985j 0.00368041+0.00219116j -0.00156777-0.00266694j -0.000417336-0.000211018j -0.00132068+0.00246686j -0.00605754-0.00237552j -0.000752422-0.00216806j 0.00331822+0.00161634j -0.00026309-0.00145551j 
0.00101996-0.00195134j -0.00279434+0.000455331j -0.000810938+0.00403302j 0.00481373-0.00721804j -0.00170025+0.0071437j 0.00445585-0.00262159j -0.00743425+0.00353759j 0.00502659-0.00583j 0.00431284-0.00417808j 0.0082-0.00702796j -0.00148903+0.00173215j 0.000509855+0.00127664j 0.0043194-0.000116476j 0.017463+0.00377383j -0.000225987-0.0072652j 0.0120626-0.00207077j -0.00624625-0.0128661j 0.00515979-0.00138046j 0.00472016+0.0125927j 0.0008995+0.00713708j -0.00475249-0.000396826j 0.00232446+0.0101012j 0.00347774+0.00149029j 0.00392355+0.00619909j 0.0016836+0.00658936j -0.000848708+0.0126793j -0.00219305+0.0041717j -0.00135287+0.00472134j 0.00385699+0.000770768j -0.00110984+0.00595567j -0.00275774-0.00643024j -0.000345543-0.0105707j -0.00356833+0.00232116j 0.00285083+0.00213085j -0.000462851-0.00271377j 0.0103898-0.0141236j -0.0060209-0.00287517j -0.00275524+0.00734094j -0.00800937+0.00272213j -0.001632-0.00184021j 0.00212836-0.00477586j -0.00487388+0.0044255j -0.00823637-0.00359719j -0.00160904-0.00222839j -0.00236468-0.00402511j -0.00128384+0.00104654j 0.000638971-0.00226004j -0.00478463+0.00356998j -0.0049284-0.000824235j -4.83702e-05-0.00218976j 0.00393789+0.000938189j -0.000827766+0.00086699j 0.00277087+0.000255741j -0.000919252-0.00504913j 0.00441579+0.00041755j 0.00404071+0.00198078j 0.00168966+0.00373833j -0.00112809-0.00302885j 0.000816034-0.00341759j 0.00178953+0.00174634j -0.000950385+0.000232871j -0.000685458+0.00260649j 0.00263451+0.000258287j 0.000327002-0.00132432j -0.00286143+0.0026319j -0.00152227-0.000324834j -0.00108733-0.00241784j 0.0014307-0.00172635j 0.00168424-0.00148023j -0.00275556-0.0057685j -0.0013909-0.00424755j -0.000103716+0.000934291j -0.00233425+0.00189545j 0.000597562-0.0013663j -0.00150896-0.00231843j -0.00230847+0.00179304j 0.000275784+0.00272113j -0.00126171+0.00202166j -0.000649977-0.00323186j 0.00291288-0.0018524j -0.00228913-0.000889469j 0.00105812-0.000224977j 0.000755778-0.00215632j 0.00124835+0.00272423j -0.00308017+0.00153993j 0.00124685-0.00147547j 0.000651246-0.0024362j -0.000294074-0.00212627j 0.00087415+0.00198817j 0.0022354+0.00142129j 0.00143828-0.00285443j 0.00184136-0.00442665j -0.00227861-0.000908311j -0.00158952-0.000329081j -0.000594203-0.00392868j 0.0123543-0.0018152j -0.000485847-0.0137716j 
-0.00121581+0.00181841j 0.005697+0.00161958j 0.00626475+0.00275816j -0.00992453-0.00785492j 0.0105167+0.00551976j -0.00153649-0.00295113j 0.00639715+0.0125538j -0.0079382-0.00716815j -0.00411669-0.00554458j -0.00984305-0.0139676j 0.00241558+0.00429583j 0.00150978+0.00107605j 0.00037639-0.00491006j -0.000775892-0.0248915j -0.00865734+0.00641491j -0.00523348-0.00530179j -0.00527823+0.00932465j -0.00109229-0.000642393j 0.00430196-0.000794624j 0.00252289+0.00153996j 0.00112419+0.000787299j 0.000736651-0.000731004j -0.000425085+0.00111655j 0.000111466+0.000175492j -0.000264611-0.000512412j 0.00121515+0.00110569j -0.000143692+0.000692766j 0.000909737+0.000603159j -0.00156842+0.000778497j -3.81809e-05-0.000256728j 0.000129674-0.000509551j 0.000268323-0.00100663j -0.00114636+0.00025037j -0.000651812+0.00153462j -0.000731422+0.00146217j 0.000277248-0.00655484j -0.00713223+0.00395484j 0.000766517-0.00530675j 0.000995879+0.00083527j -0.00563914-0.00235662j 0.00651437-0.00439825j 0.00201343-0.00122847j -0.000268697-0.0026218j -0.00200773-0.00243724j 0.00164394-0.00269876j 0.00695132+0.00112982j -0.000787018+0.00412646j -0.00337096-0.00188465j 0.004837-0.000769086j 0.0034745+0.000237249j 0.000292295+0.00590851j -0.00392394-0.00189897j -0.000712953+0.000178205j 0.00627778-0.00153107j -0.00307171+0.00368455j 0.00208954+0.00203298j -0.0059048+0.00192764j 0.00344602+0.00144526j 0.00500877+0.00218199j -0.000767109+0.00429039j 0.000774365-0.000779322j -0.00229523-0.000815704j 0.0031304+0.00463899j 0.00543432+0.00657857j -0.00244433-0.00411964j -0.00127816-0.00393958j 0.00149502-0.000261862j 0.00192391+0.00123702j 0.00228687+0.000400003j 0.00512055-0.00243895j 0.00598582+0.00116702j 0.00165834+0.00108961j -0.00359821-0.0010384j -0.00100366+0.00210103j 0.0035946-0.00144216j -0.00416289-0.00491913j -0.00119586+0.00176951j -0.00104948-0.00217599j 0.00241949-0.00125712j 0.00177578+0.00729887j 0.00156156-0.00323244j -0.000203168+0.00403427j 0.00280771-0.000374189j -0.00457367+0.00618186j -0.00085661-0.00325649j 0.00110218+0.0020136j 0.00308901+0.00388803j 0.0049709+0.00162544j -0.00109207+0.00429799j -0.00190665+0.00341296j 0.00429366-0.00332678j 0.00365272+0.00906389j 0.00690623-0.00151413j 0.000387942+0.00227082j 0.00283951-0.00338849j 0.00315135-0.00525946j -0.000616557-0.0055691j 
-0.00318103-0.00216087j 0.0024843-0.00706577j 0.00413504-0.00323074j -0.00574914+0.00908241j 0.00579197-0.00733532j 0.000593645+0.00157767j 0.0101217-0.00561804j -0.00443873+0.00654711j -0.00278971+0.00259144j -0.0103823+0.00758022j 0.00399498-0.00142058j 0.00190007-0.00161924j -0.00383754-0.000425662j -0.0171843+0.00669148j 0.00906132+0.00549258j -0.000205791+0.0042943j 0.00063403-0.00426032j -0.000948907-0.00164199j 0.00395974+0.00907676j 0.00388236+0.00646146j -0.00135334-0.00213067j 0.0017138+0.0102799j 0.00367336+0.00310121j 0.00343384+0.00756431j 0.00190045+0.00971461j 0.0011218+0.0135145j -0.000354528+0.0053229j -0.000797158+0.00354754j 0.00357742+0.00335703j -0.000224274+0.00780238j 5.50699e-05-0.00696911j 0.000426286-0.0121902j -0.00188807+0.00595928j 0.000304422+0.00155047j -0.000288539-0.0056676j 0.00447018-0.0151597j -0.00504375+0.000374303j 0.00422681-0.000149436j 0.00177102+0.00706907j 0.00203479-0.0030361j 0.000280285+0.00374884j 2.84081e-05-0.000327024j 0.00284567-0.000669429j 0.00217368-0.00167287j 0.00215243+0.00135565j -0.000966576+0.00317239j -0.00210449-0.000241619j 0.00272994-0.00210386j 0.000672893+0.00268954j -0.000150714+0.00214078j -0.00461281-0.00012282j 0.00226079-0.00213247j -0.00164833+0.000369999j 0.00036038+0.00397218j -0.00297864-0.00245888j -0.00239359+0.00168371j -0.00189754-0.0038569j -0.00146527+0.00147262j -0.0015173+0.00408589j -0.00287703-0.000754904j 0.000934557+0.000509544j 0.00115881-0.00206837j -0.00347344+0.00269411j -0.00511455+0.00321355j 0.00266203-0.00134404j 0.00326442-0.000736018j 0.000390889+0.00107046j -0.00103118+0.000835357j -0.000854928+0.0017564j 0.00158554+0.0040047j 0.000377385+0.00497919j -0.000289916+0.00151748j 0.0011566-0.00249765j -0.00112385-0.000443492j 0.00145245+0.00294709j 0.00345146-0.00365939j -0.00201277-0.000938796j 0.00200694-0.00218479j 0.00117705+0.00203224j -0.00529227+0.00113108j 0.00242352-0.000176042j -0.00249765+0.00133203j 0.000800018+0.00333103j -0.00459745-0.00301023j 0.00227516-0.00194851j -0.0010434+0.00104719j -0.00266086+0.00294084j -0.000271477+0.00293743j -0.00250593+0.00146701j -0.0027608-0.00236631j 0.00352618+0.00234801j -0.00369599+0.00370198j 0.000910241+0.00228326j -0.00109424+0.0021831j 0.00408412+0.00239294j 0.000546274-0.00121238j 0.00476089+0.00213438j 
-0.00181109+0.00438402j 0.00591395+0.000411713j 0.00751201-0.00189339j -0.00424566-0.000134384j 0.0108462-0.00474798j 0.00609449-0.00448752j 0.00624995-0.00165135j -0.00285475+0.00180755j 0.000561791-0.0028262j -0.00928888-0.000121489j 0.00611793+0.000849497j 0.0019351-0.00194022j 0.00448533+0.00584248j 0.00426404+0.00773041j 0.0085888-0.0126159j 0.00383304-0.0160745j -0.0131976-0.0076861j 0.00336306-0.00440798j 0.00366739-0.00357801j -0.00141908-0.00197494j -0.00301401+0.0067477j 0.00203477-0.00517153j -0.000589546-0.00433982j 0.00126498-0.0058025j 0.00157058-0.00877926j -0.00191057-0.00613595j -0.00192867-0.00362261j -0.000891818+0.000240583j -0.000557528-0.00439833j 0.0017256-0.00533857j -0.00240098+0.00505151j -0.00306747+0.00828336j -0.000119346-0.00643177j 0.000606345+0.000634957j -0.00729083+0.00569295j 0.00469512+0.00631202j -0.00459084-0.00813905j 0.0067987+0.0099634j -0.00806771-0.00268827j -0.00331289-0.0029118j 0.002899-0.000265316j 0.000717792+0.0088269j -0.0032161+0.000423773j 0.00244627-0.000826136j -0.000944343-0.000422308j 0.000644643+0.00839458j -0.00304223-0.00520103j -0.00191286+0.00458807j -0.00293974+0.00216544j -0.000556997+0.00140927j -0.000720518-0.00240061j 0.001737-0.00256334j -0.00026151-0.00284353j 0.000518845-0.00172845j 0.000353526-0.00342532j 0.0016737+0.0028351j -0.000880069-0.0039464j -0.00183801-0.00171304j -0.00163198+0.00238245j -0.0015407+0.00113427j 0.000742987+0.00130321j 0.0014592+0.00155526j -0.00223832+0.00454354j -0.00555536+0.00273015j -0.00060355+0.00148265j 0.00210513+0.000466199j -0.000578864-0.00129612j 0.000782492-0.00116535j 0.000517723-0.00109644j -0.000139667-0.00180414j -0.000267565+0.00358535j -0.00178994+0.00451066j -0.00135949-0.00190757j -0.0010427-0.00171673j -0.00013595+0.00186004j 0.00189186-0.00266818j -0.00312711+0.0018583j 0.00139337+0.00171683j -0.00023186+0.000940792j -0.00188259-0.00139382j 0.00208924-0.00103722j -0.00370729-3.14828e-05j 0.00100538+0.00318115j -0.00526737-0.000915165j 0.000215009+0.00132613j 0.00163439-0.000481836j -0.00237192+0.00136403j 0.00015223+0.00180982j -0.00358594+0.00359445j 0.000167613-0.000856367j 0.00532171+0.00283235j -0.00297074+0.00106629j 0.000489472+0.00212405j 0.000519137-0.000770566j 0.0018116+0.00398199j 0.0183085-0.00487851j -0.000142133-0.014267j 
0.00831507+0.00277998j 0.00160493-0.00647717j -0.000708076-0.00808556j -0.0010203+0.00304572j -0.00294837-0.013228j -0.00388883-0.0082528j -0.0010393-0.00562299j 0.00138687+0.003096j -0.00378228-0.00249552j -0.00238868+0.0095709j 0.00256812-0.00700637j -0.00232326-0.00291864j 0.00824824-0.00477524j 0.0107284-0.00818969j -0.0175184-0.0109127j -0.0162211-0.00813132j -0.00926947+0.0126969j -0.00506901-0.0077663j 0.00269733-0.00507644j 0.00295784+0.00460739j 0.00512573+0.00381524j -0.00211344-0.00107907j -0.00276724+0.00202732j -0.00172413-9.72018e-06j -0.00399704+0.000669248j 0.00250222+0.00403972j -0.00195177+0.00413261j 0.00290183+0.00121279j -0.00357697+0.00039013j -0.00207942+0.000586441j -0.00123639+0.00149645j 0.00114565-0.000691361j -0.00345103+0.00257833j 0.00175339-0.000274489j 0.000616336+0.00350733j -0.00549897-0.0143394j -0.0101688+0.00557242j 0.00520068-0.00039121j 0.00174672+0.010382j -0.00537283+0.00139374j -0.00471856-0.00866522j 0.00578503+0.00124243j -0.000776267+0.0103875j -0.00295997+0.00348525j -0.00319388+0.00180455j 0.00104161-0.000837467j 0.000295973+0.00220324j 0.000145697+0.00366502j 0.00212263+0.0024571j -0.00385795-0.00102919j 0.0029694-0.00165149j -0.000402175+0.00352044j 0.000961417-0.00421372j 5.64319e-05-0.00183936j 0.00257952-2.87303e-05j -0.000136094-0.0029189j 0.00320673-0.00361268j 0.00177731+0.000568246j -0.0028135-0.00284894j 0.00115761+0.000975651j -0.00129823+0.00245156j 0.000217042+0.00182958j -0.00086205-0.00343573j 0.00150279-0.00166228j 0.000324826-0.00246665j -0.000682333-0.000171244j -9.21571e-05+0.00074373j 0.000268944-0.000391382j 0.000787648-0.00350778j -0.00119639+4.78734e-05j -0.0043506+0.00276825j -0.00165739-0.000803393j 0.00125576+0.000796852j -0.000248418+0.000808873j -0.00222725-0.00114857j 0.00193315+0.000846211j -0.000119082-0.002495j 0.000742381+0.00329178j -0.00119347+0.000486446j 0.00210183+0.000740044j 0.00407702+0.00166383j -0.00246667-0.00266095j -0.00411627-5.85811e-05j 0.000653419-0.000540131j 0.00318533+0.00310336j 0.000237033+0.00110828j 0.000658497-0.00255135j -0.000212389+0.000739492j -0.00432998-0.00213523j 0.00295821+0.00100908j -0.00147003+0.000474599j -0.00197272+0.00535689j 0.00645383-0.000696712j -0.00202116+0.000919393j -0.00476992+0.00308248j 0.00344228-0.0125211j -0.0150054+0.00314572j 
-0.00840346+0.00176762j 0.00531836+0.001715j 0.00594992+0.00307184j -0.00217171-0.00449241j 0.0108276+0.00440981j 0.00583647+0.0015205j -0.00234116-0.00973367j -0.003105-0.00271957j 0.00243656-0.00423985j -0.00537398-0.00503058j 0.00489429-0.00296713j -0.00167828+7.33418e-05j 0.000999394+0.0166727j 0.00868356+0.000901993j -5.97944e-05-0.0166921j 0.00348795-0.00316554j -0.00426448-0.00393586j -0.00255114-0.000376326j 0.00535378+0.000553739j 0.00449701+0.00436617j 0.00147449-0.00564686j -0.00820406+0.00221473j -0.00434616+0.00420637j -0.00241863+0.00255456j -0.00185444+0.00475596j 0.00527924-0.00314362j -0.0062951-0.000121284j 0.00231501-0.00405166j -0.00635914+0.00173566j -0.00549378+0.000974082j -0.00597875+0.00125064j 0.00483433-0.00123211j 0.00105692-0.000743709j -0.00926276-0.00399764j 0.00220436-0.0102317j -0.00439857-0.00146141j 0.00872492-0.00275262j -0.00180744-0.00155083j 0.00415105+0.00311833j 0.003159-0.00441217j 0.00469246+0.00203167j 0.00101664-0.00302887j 0.00281289+0.00464904j -0.00129038+0.00377679j -0.00201975+0.000344796j -0.000599751-0.000417268j -0.00322774+0.00258057j -0.000660635-0.00752057j 0.000859507-0.00106721j -0.0012868-0.000862978j 0.000396347+0.00546656j -0.00308571-0.00268966j 0.00192619+0.0017654j 0.00146157-0.00146673j -0.00258708+0.000911339j 0.00084679-0.00198454j -0.001972-0.00207878j 0.00130932+0.00515342j 0.000614834-0.00345044j 0.000479354-4.13522e-06j -0.00279621-0.00384474j 0.000343491+0.00164114j -0.000475628-0.00162238j 0.00424403+0.00281034j 0.00330961-0.00123693j 0.0027228-0.000710397j -0.0003047+0.000131277j -0.000744559+0.00172407j 0.00290134-0.00104994j -0.000986262+0.00399769j -0.00181604-0.00339324j 0.000701038-0.00238658j 1.65111e-05-0.0015066j -0.000231977+0.00650084j 0.002359-0.00231843j -0.000998872+0.00121629j 0.0032655-0.00127659j -4.59341e-05+0.00378004j 0.00269122+0.000939874j 0.000688061+0.00366051j -0.000393673+0.00380279j 0.00251935-0.00213278j -0.000797304-0.00534644j 0.00171657+0.00293799j 0.000584519-0.000712425j -0.00327526+0.00354585j -5.6679e-06-0.00293752j -0.003081+0.00398222j -0.00110373-0.00213738j -0.00265163+0.00500221j -0.00432243+0.00235564j -0.00639945-0.00326423j -0.00120082+0.00782619j 0.000351787+0.00609159j -0.00517556-0.000837942j -0.00736612+0.00090181j -0.000945939+0.0023638j 
-0.00269714+0.00147596j 0.00206114-0.000267999j 0.00249181-0.00067282j 0.00642475-0.00329673j 0.00746215-0.002577j 0.000539508-0.00024247j 0.00734404-0.00337613j -0.00491251+0.00163338j 0.0110447-0.00392363j -0.00517794+0.000757784j 0.00738062+0.00221447j 0.0105184-0.000849151j -0.00292788-0.00361935j 0.0100926+0.000664612j -0.00731169-0.0091919j -0.00170177+0.0021374j 0.000779339-0.000397513j 0.0018683-0.00117833j -0.0032851+0.00826713j -0.00533376+0.00308406j 0.00388607+0.000326304j 0.00624927-0.0104313j -0.000166307-0.00310477j -0.00153978+0.0003053j -0.0040702+0.00325025j 0.00293457+0.00294002j 0.00909069-0.00694774j 0.00513812-0.00132834j 0.000446558-0.001471j 0.00504325-0.00326275j 0.00368412-0.00598517j -0.00425042+0.00273462j 0.00696282+0.000568758j 0.00816992-0.00590061j 0.0125915-0.000262691j 0.00348765-0.00272804j 0.00197068+8.57852e-05j -0.00455869-0.00523834j 0.00316805-0.00187505j 0.00136181-0.00197694j 0.00273563-0.000831712j -0.00146151-0.000973581j 0.00180471-0.00826977j 0.00115475-0.00772682j 0.00284078+0.0013972j 0.00139935+0.00207991j -0.00128291+0.00368073j -0.00271075+0.00451526j -0.00166266+0.00753822j 0.00125169+0.00341065j -0.000508366-0.00475915j -0.00215328+0.00545212j 0.00190518+0.000470062j -0.00289384+0.00322026j -0.000208787+0.000373407j -0.000960253-0.00307891j -0.000623214+0.00618736j 0.00175228-0.00271152j -0.00169298+0.000104394j 0.000408493-0.00593998j -0.00411956+0.00319286j 0.000317654-0.0051523j 0.0013111+0.00162007j 0.00302989-0.00666177j 0.0022931+0.000283262j -0.000932346-0.00629635j -0.000952851+0.000226707j -0.000666313-0.000529944j -0.00208459+0.000307541j 0.0027009+0.00236315j -0.00270019+0.00011123j -0.000356151+0.00118457j -0.00077995+0.00292977j 0.00395323-0.00591642j -0.00055501-0.000801075j 0.000294969+0.00504806j 0.00214204-0.00263024j 0.00386819-0.00599977j 0.00171604-0.00523775j 0.00145143-0.00463581j -0.000138391+0.000352478j -0.000909312+0.00150229j -0.00443467+0.0022652j 0.00395072-0.00381793j -9.07275e-05-0.00112834j 0.00182354-0.00376921j -0.00474699+0.00330614j 0.00133025+0.00171296j 0.00613756-0.00278064j 0.00244062-0.00489271j 0.00462232-0.00470352j -0.00622861+0.00415605j 0.00433343+0.0048743j -0.000335382-0.00445826j 0.00683162-0.00422754j -0.00229891+0.00277971j 0.00355965+0.000764337j 
0.00210547-0.00142956j -0.000526586+0.00277453j -0.00252023+0.00117507j -0.00426094-0.0114617j -0.00924403-0.00417514j -0.00116604+0.00391782j 0.00196353-0.0110404j 0.00479491+0.00487035j -0.00410314-0.012956j 0.00515396+0.00292259j 0.00399665-0.00765105j -0.00365545-0.0148081j -0.0150813+0.00700098j -0.00145838-0.0078031j 0.00149466+0.0118142j 0.00320895+0.000880209j 0.000374032-0.00224886j -0.00293648-0.00324553j 0.00421973+0.00316613j 0.00418426+0.00535765j -0.0018461+0.0015128j -0.0056493-0.00890831j -0.00055767-0.00271938j 0.00136473-0.00166781j 0.00357837-0.00111567j -7.29811e-05+0.000177477j -0.00513491-0.00967157j -0.00281909-0.000961848j 0.000963527-0.00425668j -0.000819147-0.0068025j -0.00148005-0.00498315j 0.000541308+0.0051761j 0.00106436-0.00279886j -0.00276039-0.00837713j 0.000195267-0.00622045j 0.00253277-0.00521907j -0.00682758+0.000961929j 0.00133359+0.0015665j -0.00143476-0.000827081j -0.00118079-0.000345918j -0.00133558+0.00180183j -0.00149506+0.000289602j 0.00213638-0.000833637j 0.00239529+0.000840419j -0.00145459-0.00111832j -0.000106433+0.00453595j 0.000813296+8.0232e-05j -0.00344869-0.000524125j -0.00288986+0.000108596j -0.000586411+0.00472227j 0.00253213+0.000119954j 0.00100475+0.000102457j -0.00209925+0.000360697j -0.00349223-0.00543934j 0.00327368-0.00235692j 0.000972728-0.00142691j -0.00376588-0.000547625j 0.0015757+0.000202287j -0.00323818-0.00433246j 0.00341947-0.00179059j -0.000927603-0.00144769j 0.00236696+0.00104084j -0.000689256+0.00324528j 0.000568939-0.0020798j -0.00324704-0.00020737j 0.00221926-0.00287009j 9.70734e-07-0.000802183j 0.000711047+0.000175757j -0.000978776-0.00407595j -0.00218509+0.00151961j 0.000563981-0.00125422j -0.00120182+0.0031296j -0.00293279-0.00265932j 0.00220078-0.000333454j -0.00114078-0.00358706j -0.00264272+0.000824303j 0.000733119+0.000152466j 0.00421439+0.00370078j 0.0035058-0.00265989j 0.00522082-0.00121424j -0.00112583-0.0029682j -0.00265487-0.000832285j -0.000318692+0.00178676j 0.000253155+0.00285393j 0.00124479-0.00517663j 0.00138132+0.00103517j -0.00438389+0.000541852j -0.0011775+0.00381951j -0.000196562+0.00152931j 0.00225368-4.54187e-05j 0.00321148+0.00170582j 0.0014234+0.000909658j -0.00205247-0.00253216j -0.00157206+0.00269255j 0.00244911+9.26679e-06j 0.00177113-0.000585386j 0.00190765+0.000614314j 
-0.0029317+0.00310842j 0.00351436+0.00134101j 0.00290339-0.000201019j -0.00583866+0.00107934j 0.00261027-0.0008241j 0.00324254-7.08332e-05j -0.00858292-0.00257964j -0.000559464+0.000400794j -0.00460627-0.000588085j -0.00285793+9.63335e-05j -0.00302446-0.00337269j -0.00355124+0.00135916j 0.0103832+0.00662121j -0.00094692-0.00209835j -0.00388236-0.00413577j -8.81251e-05-0.00359279j -0.00105552+0.00223753j 0.00307776-0.00179927j -0.000432569+0.00101853j -0.00257493+0.00152033j -0.00185069+0.00087302j 0.00762894-0.00413092j 0.00305185-0.00066984j 0.00133421+0.000531729j 0.00190408+6.95518e-05j -0.00281981+0.000788061j 0.0074328-0.00297761j -2.44576e-05-0.000237425j 0.00438863+0.00114842j 0.00614278-0.000465008j 0.00690264-0.00128002j -0.00523266-0.000581126j 0.0012432+0.00127701j 0.00617023+0.00212971j 0.00111964-0.000386546j 0.00913548-0.0014401j -0.00483408-0.00821672j 0.000464562-0.00234234j -0.00249683+0.00307949j -0.00776042+0.00330457j -0.00691162+0.000589444j 0.00030639-0.00232118j 5.46327e-05-0.000210809j 9.6531e-06-0.000757318j 0.000676497-0.000612284j 0.00497485-0.0025632j 0.00914606+0.00290389j -0.00332872-0.00231456j 0.00138437+0.000484939j 0.00630371+0.000658729j 0.00072926+0.00248427j 0.00561329-0.00312807j -0.00398677+0.00384369j -0.00993974+0.00491604j 0.00574717-0.000193608j -0.00214886-0.00338411j 0.00102913+0.000912854j -0.000582669+0.0039919j -0.0100401+0.00160397j 0.00151907-0.000467015j 0.00348223-0.00292284j -0.000285414-0.00177941j 0.00682635-0.00131651j -0.00869566+0.0042647j -0.0077843-0.00315887j -0.00699874-0.00233298j -0.000376223+0.00370784j -0.000170923+0.00446188j -0.0107039+0.00131278j -0.0034382+0.00403292j 0.000520648-0.000707256j 0.00522242-0.00113j -0.00450005-0.00210318j -0.0069366-0.000737818j -0.0106296-0.00148882j 0.000213474-0.00192065j 0.00060192-0.00452236j 0.00559659+0.00187101j -0.00639092-0.00253704j -0.00110758+0.00145568j -0.00874531+0.00214688j -0.00210314-0.00167072j 0.00604833-0.000784021j 0.00508005+0.00174603j -0.00553565-0.00557159j -0.00162212+0.00392943j 0.00361608+0.00617654j 0.00124987+0.00500815j 0.00233851-0.00309077j -0.00182164+0.00140193j -0.00199839+0.00217053j 0.00912584+0.00342842j -0.00652164-0.00384644j 0.00179167-0.00123881j 0.00062369+0.00154782j -0.00619149+0.00669442j 0.00260297+0.00502012j 
