-0.00774753+0.00594094j -0.00979207-4.9644e-05j 0.00737114-0.0025076j -0.00612511+0.000402227j 4.25824e-05-0.000860115j -0.00765899+0.00397203j -0.00975904+6.30173e-05j 0.00685037-0.00197632j 0.00155153-0.00396138j -0.000682351+0.00134499j 0.00851417-0.001424j -0.00861403+0.00207884j 0.00383041-0.00260695j -0.00779755+0.00405665j -0.00670874+0.00176488j 0.000287108+0.0013247j -0.00558451+0.00351913j 0.00411812-0.000134802j -0.0023329-0.000864861j 0.00969217-0.00379894j 0.00609889+0.00208894j -0.00168144+0.00261197j 0.000436392-0.000846051j 0.00964059-0.00117709j -0.00581184+5.83497e-06j -0.000913176+0.0019689j -0.00952191-0.000692065j -0.00317829+0.00114647j 0.00351432-0.000519667j 0.0114518-0.000109782j 0.0011969+0.00248564j -0.0104551-1.72129e-06j -0.00195611-0.000939303j 0.00718669+0.00129683j -0.002702+0.00255376j 0.00102404-0.00327148j -0.00495514-0.00289868j 0.000379887-0.000248774j -0.00549816+0.00130661j -0.00433446-0.00205889j 0.010183+0.0037579j -0.00117891+7.56135e-05j 0.00436843+0.00342865j -0.00233901+0.000403925j 0.00935414+0.0015244j 0.000535842-0.000748723j -0.00123644+0.00084991j -0.0062195-0.00549816j 0.00437204-0.00203301j -0.00337923+0.00118038j -0.00818435-0.00364091j 0.00393309+0.00181376j 0.0069451+0.00368878j 0.00158884+0.00126186j -0.0114311-0.00143337j 0.00474645+0.00685971j 
-0.000210022+0.00194984j -0.0051667+0.00153991j -0.00512373-1.12341e-05j -0.00597878+0.00409664j 0.00647981-0.000688577j -0.00699677+0.00185362j 0.00574494-0.00279203j -0.00180217+0.00433887j 0.0117555-0.0033369j -0.000348791-0.000458405j -0.00336363+0.000244878j -0.00568497-0.000178424j -0.0118227+0.00341287j 0.00208236+0.000350301j -0.00611324+0.00297486j -0.00951739+0.00213754j 0.00358387-0.000777755j 0.004809+0.000601741j -0.00679435-0.000468814j -0.00416266-0.000520936j -0.00441146+0.00188309j 0.00918234+0.000124224j 0.0130626-0.0010648j -0.00895041+0.000465922j -0.0100522+0.000495176j 0.00381235+0.00168885j -0.0045998+0.000888285j -0.00175822-0.00233438j 0.00107176+0.000502882j 0.00189505-0.00107659j 0.00280556+0.00021106j 0.00571736+0.000619858j -0.0129124-0.00154331j -0.00953468+1.78569e-05j 0.00716546+0.00141578j 0.00363532-0.000719874j -0.0097117-0.00251145j -0.00182813-0.000421538j 0.00344447+0.000221649j -0.0031811-0.00223257j -0.00528554-0.00201335j -0.00489331-0.000215079j 0.00426718+0.0015599j 0.0100084+0.00469033j 0.00219678+0.00201378j 0.00651273+0.00076744j 0.000262072-0.000943091j 0.00809564+0.000482121j 0.00420065+0.00428472j -0.00906006-0.00264681j 0.00143419-0.00110503j -0.00450482+1.35077e-05j -0.000615865-0.00270331j 0.00767925+0.00152949j -0.00223615+0.00134901j 0.00422769+0.00232182j 
0.00560843+0.0141172j -0.00758215-0.00157325j 0.00116798-0.00395723j -0.00178886-0.00663778j -0.000337668+0.00097314j 0.00263236+0.00750968j -0.00503493-0.00650972j 0.00059155-0.00728935j -0.00182199-0.00435246j 0.00210874+0.00585693j -0.000190861-0.00306565j -0.000309587-0.00393058j -0.00461955+0.00513747j 0.00568016+0.00724949j 0.00180484+0.000672776j 0.00512701+0.00294304j 0.00381751+0.00697848j -0.00152566-0.00486077j 0.00106742+0.000608707j -0.00397345-0.00344774j -0.00143073+0.00314554j 0.00549563+0.0117134j -0.00141491+0.00115367j -0.00130416+0.00348199j 0.00276007+0.00185996j -0.00128133+0.00125929j 0.00245448-0.00184609j 0.00196668+0.000690734j 0.00117453-0.00375005j -0.00304981+0.00027485j 0.000253327+0.00326018j 0.00481862-0.000155902j 0.00157022+0.00575474j -0.00343958-0.00340532j -0.00211571+0.0108205j -0.00080141-0.0089513j 0.00398733-0.0044715j -0.000917785-0.00257547j 0.000806916-0.00335308j 0.00161464-0.00175211j -0.00517463+0.0036885j -0.00166591+0.00290974j -0.00288578+0.00494896j -0.00426055-2.06272e-05j -0.00532385-0.00256722j -0.00166223+0.00230601j -0.000393608+0.00035024j 0.00626281-0.00215948j 0.0019008+0.000144495j 0.000973407+0.00724134j 0.00534163-0.00463613j 0.00179654+0.00198892j -0.00768276+0.00173486j -0.00329894-0.00239037j -0.0099965-0.00556038j -0.0122919+0.0171781j 
0.00497585+0.00394941j 0.000941922+0.005902j -0.00563809-0.00279382j 0.0029572+0.0121968j 0.00405942+0.00570725j -0.000564548+0.00783626j -0.00211854-0.00382123j 0.00169028+0.00782345j -0.000173604+0.00485876j 0.000163328+0.0013201j -0.000177368-0.00573281j 0.00198675+0.00189407j 0.000806512-0.00460975j 0.00168124-0.00519872j 0.00593098+0.00653661j 0.00313996+0.00803785j -0.00482778-0.00496444j 1.42446e-05+0.00275054j -0.00167785-0.00334862j 0.00100567+0.00385333j 0.00186606+0.0133141j -0.001139+0.00362809j -0.00193776+0.00638494j 0.000485468+0.00843882j 0.0032512+0.00155217j 0.00224099+0.00950433j 0.00265008+0.00976044j 0.00145735-0.00444623j 0.00141567+0.0099361j -0.000523103-0.000363803j 0.00250543-0.00310545j -0.00129219-0.00818589j 0.00180664-0.00848828j 0.00187535+0.00744624j -0.00228315+0.00803323j -0.000361218+0.00498625j 0.00208432+0.0011657j -0.000373596-0.00274265j 0.00243345-0.00244852j 0.0049632-0.0136853j 0.00157727-0.00471287j -0.000790525+0.00284343j 0.000886512-0.00262626j -0.00121136-0.00355693j -0.00219833+0.00161956j -0.00503715-0.00303018j 0.00188878+0.000668796j -0.00337095+0.00159362j -0.00640102+0.00891154j -0.00159648-0.0060575j 0.00450376-0.00316439j 0.00229263+0.00203525j 0.0065616-0.0113973j 0.00257199+0.00317288j -0.00777573+0.00794384j 0.00352116+0.00648186j 
-0.00186622-0.00211392j -0.000446118-0.00251065j 0.00118982-0.00292294j -0.00343455-0.00624016j 0.00157364+0.00358801j -5.37924e-06+0.00230285j -0.000362492+0.00491642j -0.00386614-0.00582123j 0.004506+0.0133351j -0.00346391-0.00194803j -0.0014417+0.00407406j 0.00172971+0.00535648j 0.000385898-0.000587065j -0.00298563-0.0131446j 0.0002861+0.000976908j 0.00241217+0.00877707j 0.00264545+0.014267j 0.000360361+0.00144169j -0.000142532+0.000105536j 0.00191421+0.0117555j -0.000149858-0.00054001j 0.0015085+0.00721229j 0.00175052-0.00966536j -0.000560197-0.00739617j -0.00160606+0.011995j -0.00112248+0.002891j -0.000526233+0.00815646j 0.0012524+0.00380696j 0.000788995-0.00449957j 0.000419668+0.0132814j -0.000810317+0.00938125j -0.00023068-0.00653861j -0.00105503+0.000435005j -0.00158432+0.00151849j 0.000575746+0.00383873j 0.00277394-0.00826734j -0.00197618+0.0109736j 0.000607151-0.00302277j -0.00172808+0.00410492j -0.000563702-0.00681314j -0.00330231+0.00494686j -0.00238736+0.00767402j 0.00372975-0.0134303j -0.000470506+0.00528354j -0.00304311+0.00310056j -0.000268069-0.00239811j -0.00323246+0.000269345j -0.00391761+0.012645j -0.000534323-0.00287538j -0.00048439-0.000653999j -0.00149593-0.00446243j 0.0028638-0.00607872j 0.000324079+0.00441752j -0.00228323+0.00340106j 0.00215371-0.00294826j -0.00101674-0.00202318j 
0.000692668-0.00230349j -0.00484553+0.00757207j 0.00499534-0.0030793j -0.00326051+0.00133179j -0.00220977+0.00202865j -0.00277061-0.0044125j -0.00309976+0.00218869j 0.00418665+0.0029644j 0.000881584+0.00373956j -0.00182727-0.00205455j 0.00190968+0.00162549j -0.0036334+0.000520904j -0.00381782+0.00179257j -0.000676671-0.00351623j -0.00142976+0.00270128j 0.00170902-0.00548671j 0.00076266-0.00770808j 0.00127639+0.0047855j -0.000627513-0.00353006j 0.000661028+0.00673448j 0.00203253+0.000735626j 0.00318357-0.00888502j -0.000967042+0.00173749j 0.00219354-0.00165099j 3.37818e-06-0.00276651j -0.00247725+0.00496167j -0.00123458+0.00307777j 0.000689139-0.000229735j 0.00252946+0.00275529j 0.000750793-0.00192349j -0.00105899-0.00139886j 0.00147882-0.00161428j -0.000204375-0.00481826j -0.00118693+0.00465502j -0.000109516-0.00664713j -0.00330031+0.00899116j 0.000671827+0.00509562j 0.000138289+0.000195732j -0.000719361+0.0010903j -0.00260201+0.000638563j 0.00150524-0.00608169j -0.00194832-0.00225087j 0.00198671-0.00450742j -0.0017337+0.0005917j 0.000370122-0.00287176j 0.00194171-0.00602823j -0.00319944+0.00491043j -0.000198426+0.00789411j -0.00144498+0.00151755j 0.00244831-0.00482366j -0.00311403+0.00815591j 2.61107e-06+0.00296001j -0.00556304-0.00317556j 0.00211938-0.0075672j -0.00201811-0.0131481j -0.0096032-0.00804551j 
0.00547105-0.00853024j 0.00215648+0.00668912j -0.00460641+0.000916271j -0.0028615+0.000896719j 0.00478887-0.00108757j -0.00142734+0.00123323j -0.00324208+0.00799687j -0.00398174-0.00370333j 0.00179665+0.00243436j 0.000970049-0.000501443j 0.00169655-0.000595549j -0.00199389+0.000282425j 0.00108043+0.00394943j 0.00328391-0.0020151j 0.00269716-0.00279672j -0.000726682-0.00712959j -0.00458973+0.00148384j -0.000867981-0.000222266j -0.000594185+0.0027555j 0.00163856+0.00377186j -0.00282568-0.00744915j -0.00162696-0.00798343j 0.000542626-0.00211331j -0.00239812-0.00366051j 0.000752371-0.00108464j 0.00365943-0.00568088j 0.0020443-0.00220748j 0.00247537-0.000711519j 0.004522-0.00473599j -8.88728e-05+1.67708e-05j 0.00373161-0.000562635j -0.000562406+0.00440302j -0.00172773+0.000438713j 0.000973074-0.00104307j -0.00210284-0.00687035j 0.00266151-0.000906935j -0.00180539+0.00332901j -0.003025+0.00261567j 0.00235934+0.00426433j 0.00048807+0.0063649j -0.000900515-0.000344323j 0.00059732-0.000907399j 0.000185696-0.00253477j -0.000554005+0.00125571j -0.00043068+0.00344209j -0.00547269-0.00191679j -0.000579191+0.00579976j 0.00151943-0.00143151j 0.000442894-0.0078732j 0.000262298-0.00592653j 0.00505102+0.0004419j 0.00410416+0.0021946j 0.00152326+0.00807058j -0.000130165+0.00221848j -0.0135627-0.00157604j 0.00319675+0.00974094j 
0.0022791-0.00389614j 0.00381391+0.00718922j 0.000770086-0.000272833j 0.00302058-0.00246493j -0.00167099-0.00232733j 0.00335584-0.000375517j 0.00108023+0.00454781j 0.00577531-0.00415292j 0.000217999-0.00186078j 0.00775185-0.00467217j -0.0046015-0.0010458j -0.000696279+0.003011j 0.00224108+0.00314144j -0.00650812-0.00376895j -0.00428417-0.00172804j -0.00195693-0.00325837j 0.00030784+0.000688476j 0.00532904-0.00124368j -0.00388362-0.000537234j -0.00136488+0.00352594j -0.00279529+0.00288457j -0.00330231-0.00194656j -0.0102931+0.00255318j 0.00346391-0.00216288j -0.000767551-0.00238529j 0.00019823+0.00256799j -0.00665504-0.00139738j -0.00820369+0.000973975j -0.0068609-0.0041728j -0.00346369+0.00298086j 0.00440199+0.00104194j 0.00337284-0.0042682j -0.000340373+0.00116811j 0.00219212+0.0022111j -0.00336268+0.00241773j -0.00238786+7.43003e-05j 0.00276882-0.00294027j 0.00975134+0.000521934j -0.00400957-0.00137624j 0.00508819+0.00116641j -0.00269546+0.00127743j -0.000664164+0.00192306j -0.00486258-0.00363139j 0.00388976+0.00572389j 0.00292526+0.0010761j 0.00269272+0.00448695j 0.0073087-0.00181807j 0.00399012+0.00295027j 0.00442585+0.00483014j -0.00369985+0.00234585j 0.000260854+0.00109962j -0.00263303-0.00329066j -0.00748934-0.00221743j 0.00279573-0.005682j -0.00744711+0.00927494j 0.0042957+0.00348255j 
-0.000628266-0.00332443j -0.00400873-0.00480805j 0.0011839+0.0103805j 0.00438665-0.000988936j 0.00229134-0.00527752j 0.00238343+0.00504432j -0.00319426-0.00120533j 0.00256101+0.0038115j 0.00108727+0.000323779j 0.00413844+0.00156518j -0.000765378-0.00100924j -0.000947961-0.00578292j -0.00248044-0.00453533j 8.46475e-05-0.000275288j -0.00180856-0.00491173j 0.00399553+0.00173757j 0.000511619+0.00806605j 0.000213299+6.98313e-05j 0.00113226+0.000978781j -0.00431481+0.0018018j -0.00462137+0.000489905j 0.00115519+0.00591761j -0.00624827-0.000671653j 0.00115925+0.00468676j 0.00141396-0.000570298j -0.00368415-0.00857657j -0.00291936-0.00333768j -0.00344913-0.00301757j 0.000122038-0.00192694j -0.00111816+0.000284037j 0.00451061-0.00458973j 0.00203501+0.00676077j 0.000749107-0.000172882j -4.49961e-05-0.00469288j -0.00218095-0.000957186j -0.0035087-0.00766587j -0.00298317+0.00489104j 0.00357667+0.0041934j 0.000985571-0.00317102j 0.00301866-0.00247817j 0.00248862-0.00364524j 0.00102537-0.0038901j 0.00171471-0.00430718j 0.000732233-0.00336284j 0.0043034+0.00135868j -0.000380976+0.00304283j -0.00370498+0.00529671j -0.00424035+0.00446742j -0.00202037+0.00332669j -0.00258107-0.00182816j -0.00065196-0.00377829j -0.00149661+0.00236323j 0.000498046-0.0105791j 0.0122433-0.00319029j 0.00253141-0.00759695j 0.00166783-0.0051379j 
-0.00206316-0.00236825j 0.00382746+0.00474689j 0.00283941-4.50706e-06j -0.00196593+0.00226549j -0.00225599-0.00395462j 0.00179626+0.00278754j 0.00253471+0.00440516j -0.00187023+0.00384319j 0.00180365-0.000500451j -0.00266479+0.00567724j 0.00209416-0.00402949j -0.00329978+0.000528098j 0.000501094+0.00446732j 0.00208426-0.00604993j 0.000259917-0.00455217j -0.00444648-0.00464752j 0.00355438+0.00395166j -0.000899551+0.00629567j 0.00154441-0.000959945j 0.00519685-0.00217197j 0.00136559+0.00193453j -0.00215514-0.00115464j 0.00609627-0.00475087j 0.000248251+0.00538175j -0.00139182-0.00330062j -0.00257923-7.27277e-05j 0.00249064-0.00728036j 0.00188269-0.00931815j 0.000113127-0.0107256j 0.00150556-0.00311682j -0.00574859-0.00348759j 0.0019911-0.00103641j -0.00116366+0.00106668j -0.00191451+0.00282551j -0.00123402+0.00711736j 0.000259187-0.00114564j 0.00373456-0.000306099j -0.00547737+0.00894729j 0.00381654-0.00746287j -0.00273568-0.000750841j -0.000379511+0.000796472j -0.00208663+0.00344612j 0.00249512+8.76159e-05j -0.00510604+0.00457481j -0.00189295-0.00159908j -0.00437814+0.00490467j 0.00282487+0.00512896j -0.0019313+0.00269416j -0.00764404+0.00194606j -0.00224927+0.00353553j -0.00286517-0.00340905j 0.00543645-0.00476916j 0.00258526-0.00126228j -0.00205514-0.00472043j -0.00136995+0.00819461j 0.00275064-0.00307162j 
0.00187667+0.0014453j -0.00176062-0.00142158j -0.00323715+0.000160845j 0.00178413+0.0024983j 5.35729e-05+0.00395597j -0.00164496-0.00023685j 0.0045008-0.00658793j 2.60453e-05+0.00521891j -0.00109625+0.00198439j 0.00707067-0.00158663j -0.00178104-0.00439534j -0.0010305+0.00108939j -0.0091714+0.00913152j 0.00289339-0.00559671j -0.00241411+0.00129198j -0.000756189+0.00389979j -0.000914772-0.00104325j 0.0033831+0.00121983j 0.00175695-0.00240091j -0.00144158-0.00430199j 0.00119493-0.00398056j -0.00130796+0.00138656j -0.0019957-0.0097165j 0.00502951-0.0016833j 0.0042785+3.32007e-05j 0.00876493-0.00481795j -0.00621411+0.000264975j 0.000805886-0.00422883j -0.00299291+0.00185065j 0.00182353-0.00295168j -0.00652217+0.00994754j -0.000198544-0.00146468j -0.00256988+0.00333371j 0.00717319+0.000789071j 0.00218524-0.0032096j 0.00230843-0.00261806j -0.00200055+0.000187189j 0.000905233+0.00518019j -0.00137151-0.0012877j 0.000363595+0.00248492j 0.00466613-0.00193944j 0.002656+0.000246184j -0.00570906-0.000802318j -0.0116942+0.00416481j 0.0028772+0.00133493j 0.00169473+0.00449157j 0.00588442-0.000651218j 0.00176631+0.000810749j -0.00396914+0.00273673j 0.00834952-0.00420902j 0.000100285+0.00421251j -0.00522142-0.00184633j 0.00186485-0.00239798j 0.00116689+0.00442272j -0.000240722-0.00297223j -0.0010051+0.00210938j 
