0.134802+0.130487j 0.186997+0.0573794j 0.0125357+0.00275757j 0.158791+0.196901j -0.0406287-0.0129504j 0.0668365+0.0598442j -0.00409069+0.0263854j -0.0231358-0.027422j -0.0196737+0.00774618j 0.0326043+0.067736j -0.00693703+0.00185117j -0.00165764-0.00962994j -0.0021821+0.0116992j 0.00740933-0.011687j -0.000441363+0.00915559j 0.000966041-0.00363336j 0.00908522+0.0116064j -0.0182523-0.0420144j 0.00447611+0.0104703j -0.0060867+0.000235902j 0.00963998+0.00612625j -0.00337281+0.00879663j -0.00274166+0.0052777j -0.0110639-0.0335972j -0.000789638+0.00403804j 0.0140766+0.000642219j 0.0173829+3.53177e-05j -0.00185249-0.00796841j 0.00852849-0.00307578j 0.00277928-0.00366582j -0.0017425+0.00727048j 0.0160226-0.00945629j 0.00166249+0.00392163j 0.00384457-0.00498677j -0.00606828-0.0115086j 0.00580669-0.00356981j -0.0253596-0.0195146j 0.0270695+0.00387469j -0.00103397-0.0173225j -0.0174604-0.0371401j 
0.130241-0.166963j 0.0639681-0.220363j 0.00394953-0.0121079j 0.192617-0.187459j -0.012369+0.0415476j 0.0528052-0.079596j 0.0246824-0.0106273j -0.0176342+0.0234955j 0.00266717+0.0234538j 0.0576309-0.0308526j -3.91108e-05-0.0149971j -0.00613166+0.00596256j -0.00736754-0.00374486j 0.00120714+0.0100816j 0.00570614+0.00058432j -0.0114876+0.00469191j 0.00148098+0.00253913j -0.022899+0.0121204j 0.00463492-0.00384969j -0.0117421+0.0114547j -0.00680329-0.0105675j -0.00595125+0.000479257j -0.0099564+0.0164826j -0.0352282+0.0119374j 0.00792759-0.00824179j -0.000146794+0.0110654j -0.000529824+0.00308199j -0.000661054-0.00460544j 0.00523208+0.00947324j -0.00106488+0.0156653j -0.00692045-0.00815367j 0.0231307-0.012743j -0.00367833+0.00132497j 0.00244951+0.0131756j 0.0124227-0.0126758j 0.00490409+0.00533863j -0.0159543-0.00233969j 0.0368292-0.0100987j 0.00963578+0.00166287j -0.0210646+0.00581571j 
-0.056396-0.0302684j -0.186211-0.235878j -0.0206523+0.0112972j 0.0705278+0.112293j -0.0208164+0.0131083j 0.00315129+0.0173467j -0.0197349-0.0307891j -0.0546874-0.0110606j -0.00298767+0.0324408j -0.00155523+0.0141061j -0.00143424+0.00832141j -0.0111083-0.0124373j 0.00535309-0.00333296j 0.0154153-0.013812j 0.00217783-0.00750143j 0.0184173-0.0133595j 0.00906308-0.00208452j -0.00404009-0.0139666j -0.0179901-0.00262639j -0.00220606+0.0147778j -0.00970101+0.0145666j 0.0067592-0.00878524j 0.00281649+0.00857776j 0.00914927-0.0119396j -0.0130582-0.00173386j 0.000169312-0.00214101j -0.0204387-0.00284837j -0.000607197-0.00444395j -0.00123785-0.00475578j -0.000639959-0.00604103j 0.00971414-0.00311156j 0.00684539-0.00630288j -0.00265132-0.00176978j 0.000849502-0.000360505j 0.0062493+0.00188897j -0.0127045+0.00889161j -0.0114127-0.00927757j -0.00196215+0.00344348j 0.00640727-0.00521204j 0.00108992-0.0152964j 
0.0750542+0.019487j 0.341135+0.0415374j -0.00583772-0.0108036j -0.116293+0.0539101j 0.0160369-0.0216722j -0.0483232+0.0348461j 0.00640549-0.0144263j -0.0205968-0.0219232j -0.0130662-0.0027897j 0.01103-0.00634606j 0.00398154-0.00320997j -0.0323449-0.00451567j -0.0177885-0.00785949j -0.00762228-0.00439453j -0.00116452-0.00259192j -0.0109297-0.00621688j 0.00311863-0.0125755j 0.0170676+0.00855206j 0.000758135-0.00552963j -0.0162082+0.00469098j -0.00412669-0.0136237j -0.011732-0.00187541j -0.00386702-0.002277j -0.0197975+0.00862658j -0.00831062+0.00382191j -0.00604525-0.00571814j -0.00989339+0.00811599j -0.00724002+0.00450823j -0.00324007+0.00264914j 0.0243332-0.00509952j 0.00231082-0.00618579j -0.00999175+0.00162342j 0.00379738+0.00402128j 0.00832022+0.00470047j 0.0140458+0.00257998j 0.0170967+0.00616531j -0.00973212+0.0050932j -0.00718442+0.0139288j -0.00938792+0.01213j -0.000610381+0.00397532j 
0.042469+0.0969316j -0.177791+0.275344j -0.00553438-0.00605221j 0.221069-0.0531713j -0.0361517+0.0277821j 0.0621123+0.00753721j 0.0238715-0.0270055j -0.00868514+0.0361271j -0.0129302+0.0134714j 0.0293338+0.015204j 0.00197303-0.00678725j -0.0182891-0.0123793j 0.00379287-0.00803073j -0.00557524-0.00209172j 0.026183+0.00527393j -0.00911664-0.0244523j -0.00396205-0.00913221j -0.0145378-0.0175823j -0.00371251-0.00553501j 0.00350987-0.000444116j -0.0138759-0.013341j 0.00854172+0.00160459j 0.00650338+0.0177972j -0.00578537-0.00405849j -0.00278701+0.00525169j 0.000964843-0.0211892j -0.00591101-0.00767987j 0.00285651+0.007126j -0.000169755+0.00133721j -0.00171397-0.0199456j -0.000284146+0.0144044j 0.0159414+0.0130631j 0.00642281+0.0129745j 0.000119144+0.00781708j -0.00355818+0.00842036j -0.00722418-0.00678688j -0.0201515-0.0107993j 0.0175686+0.0151502j 0.0037531+0.00186214j -0.0131832-0.0228801j 
0.0292853+0.0158837j 0.0887075+0.0164165j -0.00960528+0.000746395j 0.00612485+0.00715627j 0.00667293+0.0191138j 0.00963712-0.0257816j 0.0076101+0.00125047j -0.0274587-0.0181492j 0.0308041+0.0218195j 0.00580344+0.0185415j 0.0231505+0.000833799j -0.0124739+0.0328962j 0.00931973+0.0152454j -0.00487221-0.00154245j 0.00595908+0.00570354j 0.0038296+0.0104716j -0.00649208+0.00761348j -0.00576257-0.0249121j -0.00382912+0.00227203j 0.0105566-0.00390501j -0.0081198+0.00445936j 0.00204522+0.00533711j 0.00664317-0.0120736j 0.0029587-0.0211162j -0.00775657-0.00472086j 0.00379976+0.0172317j 0.0190314-0.000645408j -0.00251198-0.0100063j 0.00291644-0.00383168j 0.000980789+0.000308894j -0.00480801-0.00305553j -0.00956627-0.012391j -0.00349112-0.00756349j -0.00240567-0.00102943j -0.00395721-0.00590286j -0.00375792-0.00150856j -0.000352322-0.00766556j 0.00440614-0.00359039j 0.00833645-0.00328648j -0.000941842-0.0111785j 
-0.112286+0.0103334j -0.292032-0.1648j 0.0118677-0.00449683j -0.00180281+0.142459j -0.0146373-0.0349557j -0.0592755+0.0353486j 0.00518593+0.0200443j -0.0117293-0.00301178j -0.0195009-0.011049j -0.0106312+0.0312036j 0.0039405-0.0109099j 0.00405205+0.00771564j -0.0184082-0.00258987j -0.000969373+0.00118892j 0.0157619-0.000315451j -0.0315584-0.00960042j -0.0164769+0.00823216j 0.0194119-0.0218771j 0.00675409+0.00888255j -0.00279365-0.0141587j -0.0037061-0.00156139j -0.00574635-0.00256495j 0.00513188-0.00869501j 0.0100883-0.0246044j 0.00428112+0.0213163j -0.0135822-0.00146395j -0.00523361-0.0154953j 0.00573734-0.00266793j -0.00325417+0.00479224j 0.00309342-0.0029755j -0.000106341-0.00277045j -0.00554237+0.00837841j 0.0157168+0.00232929j 0.00930426+0.00484119j -0.0052887+0.000468263j 0.0119738+0.00912497j 0.00317993-0.00372062j -0.00328602+0.0202774j -0.00812327-0.00386015j 0.00599116-0.0225764j 
-0.0557902+0.0441405j -0.2652+0.36048j -0.000820224-0.00689536j 0.07883-0.184593j 0.00574223+0.00974491j -0.0156279-0.0377899j -0.00525259+0.000717367j -0.0380224-0.00518988j 0.0165604+0.00629459j 0.0145675-0.00530354j -0.00798286-0.0111203j -0.00576289-0.000371592j -0.0164521+0.0125062j 0.0126358-0.00762096j -0.014862-0.00504157j -0.000828474+0.0270835j 0.00700176-0.00301911j 0.00191783+0.00412351j 0.00416188-0.00680835j 0.0156459-0.0169822j 0.000815509-0.012525j -0.011808+0.00208212j 0.0206079-0.0120487j -0.00049002+0.00673756j 0.00377073-0.0175025j -0.0101045+0.0126222j 0.022044-0.019898j -0.00189891+0.00166688j 0.00908888+0.00836726j 0.00142415+0.00479325j -0.0114504+0.00403245j -0.0126346+0.00729475j 1.55698e-05-0.00487181j -0.00098336+0.00318203j -0.00444284+0.0100498j -0.00551611+0.00314038j 0.00983667-0.000527095j -0.0011842+0.0048083j 0.00708801+0.00944775j -0.00221974+0.0120358j 
0.0312833-0.0726106j 0.0385872-0.265015j -0.00467317-0.0182777j 0.0794545+0.0205221j -0.017539-0.0380615j 0.0577293-0.0436397j 0.026397-0.00105795j -0.0257202+0.0271216j 0.0105715-0.0189553j -0.00631374-0.0054793j -0.00438576-0.00357722j -0.0264848+0.01022j -0.014439+0.0103092j 0.00261521-0.0182224j 0.00644154-0.000548616j -0.00654983-0.00353267j 0.00955034-0.00722325j 0.00636473-0.00748489j 0.000263331-0.00321764j -0.000192543-0.00659499j 0.00281675-0.0016326j -0.0114669-0.0026681j 0.00275792+0.00411324j -0.00312579-0.00112246j 0.00239767+0.000253414j -0.000706207+0.0137018j -0.000245492-0.0115043j -0.00547106-0.0011534j 0.00552965+0.00511213j 0.0106567+0.00838131j -0.00608299-0.00530047j 0.0113666-0.0175004j 0.00648401-0.000718149j 0.00857149+7.0949e-05j 0.00318058-0.0134709j 0.00226181+0.00465749j -0.0148691+0.0080836j 0.00576535-0.00151849j -0.00166018-0.000441542j -0.00479712-0.00144149j 
-0.0443766-0.117417j -0.215445-0.199078j 0.0211182-0.000899305j -0.00442389-0.071984j 0.0113822+0.0113489j -0.0339185-0.0282204j -0.00214158+0.0308972j 0.0543297-0.0092262j -0.00830193+0.0117666j 0.039916-0.0241957j 0.00242613+0.0228831j 0.00582205+0.00820103j 0.0102473+0.0150842j -0.0234686-0.00970442j -0.00475423+0.0174719j -0.00656656-0.00150993j -0.00434749-0.0135511j -0.00460868+0.02555j 0.0109391+0.00582929j 0.00993282+0.0116082j 0.00448348-0.0107834j 0.0019418+0.0106957j 0.00839452-0.00595968j -0.00264002+0.0111428j 0.00446146-0.0014379j 0.000762959+0.00800033j 0.00429384+0.00452882j 0.0108222-0.00536818j 0.00174663-0.00295849j -0.0148755+0.00909439j -0.00208188-0.00536709j 0.00251486-0.0020738j -0.00733515+0.000772568j -0.0058051+0.00442497j -0.00881841-0.00749294j 0.00898708-0.000988241j 0.0148602+0.00140311j 0.0133233-0.0127374j 0.000723993-0.00327308j -0.00643938+0.0124896j 
-0.113494+0.0215531j -0.0888385+0.0102011j 0.00837672-0.0193854j -0.138423+0.0880629j 0.0150237+0.0116273j -0.0378507+0.0351902j 0.0673455+0.00171203j 0.0248156-0.0374384j 0.00347701+0.0191274j -0.0506584+0.0213681j -0.00844214-0.0287494j -0.00833729+0.011435j -0.00925571-0.00326814j 0.0218181-0.0232702j 0.00578298+0.0139366j 0.0161292-0.00768949j -0.000395766+0.00357297j -0.000158708+0.00610776j 0.00116061-0.0187109j 0.00577273+0.0229168j -0.0147501+0.0157255j 0.00309186-0.0171064j 0.010137-0.024902j 0.0199195-0.0119663j -0.0161445+0.00510568j -0.0022283+0.00732555j 0.000279898+0.00801569j 0.00870474-0.0153133j -0.0108885-0.00541793j 0.0103849-0.0193111j 0.00410299-0.0119948j -0.0181294+0.00972073j -0.0188899-0.0114462j 0.00167051+0.0133384j -0.0168244+0.0134436j 0.0124559-0.00755001j 0.00895559-0.00992644j -0.016143+0.0106612j 0.0023385+0.0144365j 0.0151539-0.00898133j 
