0.00204354-0j -0.000120919-0j 0.00693042-0j -0.00118475-0j -0.00129783-0j 0.000314185-0j 3.40824e-05-0j 0.00462028-0j 7.15463e-06-0j 0.00252036-0j 0.000257233-0j 7.58863e-06-0j 0.000408379-0j 0.0155094-0j 7.67915e-05-0j 0.0554433-0j 8.58555e-05-0j -0.0107471-0j 1.73952e-06-0j 3.16193e-07-0j 5.25755e-05-0j 0.000728508-0j 
9.93584e-05-0j 0.00169493-0j 0.00103256-0j -8.58555e-05-0j 0.00904892-0j -4.71352e-08-0j 3.2729e-07-0j -7.15463e-06-0j 0.0047692-0j -6.32386e-07-0j 1.24843e-05-0j 0.0101696-0j 0.000183798-0j -7.8375e-06-0j -0.000532027-0j -8.58555e-05-0j 0.0572304-0j -0.000778808-0j -9.27888e-11-0j 0.000849656-0j -0.000364254-0j -0.00504725-0j 
-0.00207213-0j -0.0116189-0j -0.0143062-0j 0.000588546-0j -0.0620311-0j 1.6429e-06-0j -1.36988e-05-0j 9.91279e-05-0j 0.000691152-0j 1.76151e-05-0j -0.000347752-0j 0.00147377-0j -0.00254653-0j 0.000163452-0j -7.71013e-05-0j 0.00118953-0j 0.00829383-0j 0.00533879-0j 5.18272e-09-0j 0.000123132-0j -5.27877e-05-0j -0.000731447-0j 
-0.00791451-0j -1.52287e-05-0j 0.0017769-0j -0.00014921-0j -0.000163452-0j -0.00376978-0j -0.000546972-0j 0.0011846-0j 5.98624e-07-0j -0.0200191-0j -0.00204319-0j 6.34937e-07-0j 0.000104705-0j -0.0600669-0j 6.42511e-06-0j 0.0142152-0j 7.18349e-06-0j -0.00135351-0j -4.19939e-05-0j 2.64557e-08-0j 4.39897e-06-0j 6.09539e-05-0j 
-0.000123381-0j -0.00104692-0j 8.79794e-06-0j -0.0102577-0j 7.71013e-05-0j -5.63155e-06-0j 2.78868e-09-0j -0.00171548-0j -0.0118852-0j 5.18424e-07-0j 5.29114e-08-0j 4.31009e-05-0j 5.18424e-07-0j 6.42511e-06-0j -0.0635647-0j 7.03836e-05-0j 0.000487632-0j 0.00063846-0j 7.60674e-11-0j 1.79587e-06-0j 0.000298612-0j 0.00413769-0j 
-0.0141576-0j 0.00168415-0j -0.0480139-0j -8.53096e-05-0j 0.00899139-0j 2.26232e-05-0j -0.000236123-0j 0.000332688-0j -4.95672e-05-0j 0.000181481-0j -0.00358274-0j -0.000105694-0j -0.00854655-0j 0.00111677-0j 5.52946e-06-0j 0.00399226-0j -0.000594806-0j -0.000773856-0j 1.25256e-07-0j -8.83063e-06-0j 3.78576e-06-0j 5.2457e-05-0j 
0.0143043-0j -0.00170161-0j 0.0485115-0j 8.61936e-05-0j -0.00908456-0j -2.28577e-05-0j 0.00023857-0j -0.000336136-0j 5.00809e-05-0j -0.000183362-0j 0.00361987-0j 0.00010679-0j 0.00863512-0j -0.00112834-0j -5.58676e-06-0j -0.00403363-0j 0.00060097-0j 0.000781875-0j -1.26554e-07-0j 8.92214e-06-0j -3.82499e-06-0j -5.30006e-05-0j 
-0.00180081-0j -0.00502267-0j 8.53096e-05-0j -0.0492119-0j 0.000369898-0j -0.000137373-0j 8.16872e-08-0j -0.0166342-0j 0.00120543-0j 1.01064e-05-0j 1.03148e-06-0j -4.37142e-06-0j 5.02692e-06-0j 9.37778e-05-0j 0.00644691-0j 0.000682477-0j -4.9457e-05-0j 0.00306305-0j 2.97351e-09-0j -1.82142e-07-0j -3.02861e-05-0j -0.000419656-0j 
0.00181947-0j 0.00507472-0j -8.61936e-05-0j 0.0497219-0j -0.000373731-0j 0.000138797-0j -8.25337e-08-0j 0.0168066-0j -0.00121792-0j -1.02111e-05-0j -1.04217e-06-0j 4.41672e-06-0j -5.07901e-06-0j -9.47496e-05-0j -0.00651372-0j -0.000689549-0j 4.99695e-05-0j -0.00309479-0j -3.00432e-09-0j 1.8403e-07-0j 3.05999e-05-0j 0.000424005-0j 
0.0548316-0j 0.000212105-0j -0.0123103-0j -1.07441e-05-0j 0.00113239-0j -0.000271447-0j 0.00378942-0j 8.52983e-05-0j -4.14727e-06-0j -0.0014415-0j 0.0284576-0j -8.8434e-06-0j -0.00219126-0j -0.00432518-0j 4.62647e-07-0j 0.00102358-0j -4.97672e-05-0j -9.74609e-05-0j -3.02381e-06-0j -7.38855e-07-0j 3.16753e-07-0j 4.38906e-06-0j 
1.01704e-05-0j -0.0082598-0j 0.000105694-0j -4.37142e-06-0j 0.000926259-0j -2.39994e-09-0j 3.35018e-08-0j -3.64285e-07-0j 0.000488181-0j -3.21985e-08-0j -6.08392e-05-0j -0.0495588-0j -0.00180702-0j -3.99054e-07-0j -2.70887e-05-0j -4.37142e-06-0j 0.00585817-0j -3.96538e-05-0j -4.72443e-12-0j -0.0125626-0j -1.85464e-05-0j -0.000256986-0j 
