1.31497e-16+0.24459j -4.76838e-16-0.387982j 1.73817e-16+0.0827392j -2.23393e-16-0.227489j -3.19543e-15+0.275724j 8.38844e-17-0.139029j -3.91733e-16-0.249311j 8.43441e-18+0.0253102j 2.47583e-16+0.120023j 1.27186e-19-0.0346182j -6.39617e-17+0.0262649j 2.04315e-16-0.00661206j -1.07022e-16+0.00579352j -4.7533e-17-0.0925493j 1.28319e-17-0.0149528j 1.34071e-17+0.0140148j -5.42312e-17-0.0394386j -1.80422e-16-0.037196j -5.27169e-17-0.0175459j 5.29291e-17+0.0355012j 4.06452e-16+0.013871j 1.55789e-16-0.033575j 6.62127e-16-0.0134878j -1.70309e-16-0.000149531j 1.29157e-16-0.022755j 3.4748e-17+0.0001156j 6.48619e-16+0.0132513j 2.02855e-15+0.0264405j -2.66666e-15-0.0333713j 6.94811e-16-0.0127183j -1.06089e-15-0.00349426j -3.83559e-16+0.0168556j 1.6408e-18+0.032477j -1.46092e-16-0.0208113j -7.25391e-16-0.0105773j -2.51734e-17-0.003306j 3.42185e-16-0.00486283j -6.00797e-16+0.0296118j -1.70588e-16-0.014729j -3.3106e-15-0.00774234j -2.8703e-15-0.00577668j -5.38055e-15+0.0034297j -1.60034e-15-0.0575417j 4.28459e-16-0.0269952j 9.03655e-17+0.0303225j 2.11446e-16+0.0252521j -1.88017e-16-0.00708299j -3.36099e-16-0.0309328j -1.77827e-16-0.0030075j 6.37909e-17+0.0273459j 1.45426e-17-0.0114685j 7.67794e-18-0.0111933j -1.18191e-15-0.0121496j -8.71681e-17-0.0284166j 3.95191e-17+0.00637258j 1.02222e-16+0.00747399j 8.74864e-16+0.0538054j 1.69001e-17-0.0648411j 1.45699e-16-0.0240213j 1.84457e-16+0.0453934j 4.64773e-16+0.0543656j 1.29669e-16-0.0362986j 7.0775e-18+0.0147714j -1.86511e-17-0.00336323j 2.02275e-17+0.0682948j -8.40108e-17-0.0856968j 1.18319e-16+0.037731j 3.64032e-16+0.0862069j 6.28971e-17+0.04032j -5.88951e-17+0.0825791j 7.16426e-17-0.0764268j -2.31944e-16-0.108234j 
-3.22393e-15-0.380441j -2.22284e-15-0.236187j 6.31341e-17+0.277904j -1.14255e-16+0.0212203j -1.67225e-15+0.143273j 2.56759e-16+0.364434j -3.78839e-16-0.0394083j -4.89956e-17-0.0196426j 1.98776e-16+0.014451j 6.93308e-16-0.111322j 3.81938e-16-0.0399964j 2.47484e-16+0.018981j -3.52785e-16+0.0829169j 8.36566e-17+0.0181828j -8.43145e-17-0.0148703j -1.45572e-17-0.0655919j -6.61942e-17-0.0365278j -7.81474e-18-0.00916154j -1.58832e-16-0.0357753j -7.45424e-17-0.0323192j 4.83842e-17+0.0270389j -1.47002e-17+0.0183767j 7.24635e-17-0.00866228j 3.14857e-17+0.014004j 1.9976e-16+0.0301252j -9.0756e-17-0.00558453j 8.89713e-16+0.0192298j 2.99903e-15+0.0635201j -3.43808e-15-0.00410149j 1.2695e-15+0.0321711j -2.44145e-15-0.00806443j -3.86237e-16+0.00482382j -2.38475e-16+0.0159283j -2.02633e-16+0.00816912j -1.14874e-15-0.0202383j -4.32319e-16-0.005818j 1.99413e-16+0.0301243j -3.41837e-16+0.0119482j -5.20785e-16-0.0383962j -4.83703e-15-0.00748615j -4.24125e-15-0.0125801j -1.29971e-15+0.00090058j -6.99312e-16-0.015555j 1.56186e-16+0.005232j 8.75149e-17+0.00722902j -2.44737e-16-0.0257648j 2.19049e-16+0.00437932j -2.1885e-17+0.00281129j 1.44221e-17-0.0256975j 1.82545e-16+0.0182585j 1.14505e-16+0.0294748j 2.30388e-16+0.0393869j 2.82084e-15+0.0268798j -2.11423e-17+0.0134938j 5.95912e-18-0.0117334j -1.29631e-16-0.0154773j 2.72323e-16+0.0148717j -2.60268e-17+0.029372j -2.92404e-17-0.0140539j 9.31712e-17+0.0206692j 7.14507e-16+0.0720889j 1.83018e-16+0.0225881j 3.18254e-17-0.0240417j -7.90405e-19+0.0189691j 2.06151e-17-0.039732j -6.76164e-17-0.00831804j 5.45537e-17+0.0907902j -1.80732e-16-0.0657978j 5.19464e-17+0.0904687j 7.54059e-17-0.0442072j 1.31404e-16+0.112909j -3.29714e-16-0.0780069j 
-3.58872e-16-0.0406244j -1.96873e-16-0.0268976j 2.80486e-17-0.303939j -5.34398e-17-0.449174j 8.22693e-16-0.0617556j 2.56751e-17-0.169047j -1.02106e-16-0.218937j 4.94579e-17-0.118465j -1.69039e-16+0.0648382j -5.66442e-16+0.0775268j 5.99766e-16-0.137917j -3.44674e-16+0.0911154j -1.37875e-16+0.0760148j -1.96098e-16+0.179227j -1.54406e-16-0.0730685j 1.03222e-17-0.00838392j -1.3841e-16+0.124042j -4.06601e-17-0.0585875j 2.51676e-16+0.00641991j -1.40331e-16-0.00597873j 1.5189e-16-0.114811j 4.99505e-16+0.0117714j -6.37474e-16+0.017098j 2.12095e-16+0.019838j 4.65295e-16-0.0449993j -1.8322e-18-0.0196946j 7.52954e-16+0.0288563j 6.36844e-16+0.025268j -9.75186e-16+0.0206134j 1.14762e-15+0.0400429j 1.94156e-14+0.055682j 1.50838e-15-0.0272279j -2.40637e-16-0.0797083j 2.31541e-16+0.0640784j 9.46541e-16+0.0110983j 4.71415e-17-0.0172914j 3.86004e-17-0.0523231j -5.09637e-16+0.0334125j 1.02515e-15+0.0332608j 6.08524e-15+0.0441186j 4.49719e-15-0.0257999j -1.91285e-14+0.0123885j 2.79804e-15+0.0629272j -1.09856e-15-0.0433321j -2.0891e-16-0.0302062j -5.58286e-17-0.0612229j -9.10524e-16-0.0530707j -5.59351e-16-0.112823j 1.79919e-16+0.0737077j 1.7226e-16-0.00246307j 1.8561e-16+0.044418j 3.38642e-16+0.0467146j 1.79672e-15+0.0156357j 7.30657e-18-0.0181386j 3.29053e-17-0.0159716j -2.84875e-16-0.0246149j -1.12958e-16-0.0141879j 9.23791e-17+0.0720619j -4.49304e-16-0.012217j -5.00167e-16-0.0485659j -5.42784e-16-0.0583018j -2.16221e-16-0.0217227j 5.16693e-17+0.0150217j 3.48863e-17-0.11601j 1.47293e-17-0.0839258j 4.87284e-18+0.0397126j 5.80319e-18+0.0716495j 6.50325e-17+0.00312069j 4.37072e-17-0.0115572j 2.93166e-17-0.0382008j 1.45342e-16+0.0898648j -2.2867e-16-0.0991653j 
2.84405e-16+0.0514226j 1.64501e-16-0.0107522j 1.02568e-16-0.327793j -4.4534e-17+0.182277j -3.99391e-15+0.307783j -3.0837e-16-0.219172j 3.61932e-16+0.328804j 7.37719e-18+0.0841117j 9.50736e-17-0.11261j 1.31036e-16-0.0258814j -2.8332e-16+0.0808906j 2.76044e-16+0.123358j -1.05892e-16+0.0234423j 1.2257e-16-0.158616j 4.88381e-18-0.0431883j -4.77195e-17-0.158467j -1.02269e-16-0.0649703j -3.65545e-17+0.0208561j 4.46137e-17-0.0135229j 3.25307e-17+0.0429233j -7.32582e-17-0.0174829j -6.74305e-16+0.0799314j -3.92245e-15+0.0863419j 4.42963e-16+0.00137175j 4.87718e-18-0.0169672j 2.63938e-16+0.0207891j 1.84316e-15+0.0521798j 2.20777e-15+0.0326195j -3.59515e-15-0.0230072j 1.68257e-15+0.0355033j 1.09553e-15+0.00114088j 2.29141e-16+0.00233088j 1.47652e-16-0.017913j 4.54149e-16-0.0405255j 5.13852e-16+0.0186018j -1.66506e-16-0.0438621j 6.50717e-16+0.0234389j -1.17072e-15+0.0347295j -6.34292e-16-0.0469261j 7.28478e-15+0.061574j 5.06083e-15-0.0413667j -1.77878e-14+0.0113555j -1.76213e-15-0.0424583j 5.56466e-16+0.0394217j -2.49814e-16+0.0198036j -2.66732e-17-0.0280228j 4.48569e-16+0.0157745j -2.47368e-16-0.0153476j -2.41429e-16-0.0406401j 7.8932e-17-0.00537111j -9.63217e-17-0.0207587j -8.62766e-17+0.0126615j -1.51405e-15-0.0161632j 1.93681e-17-0.0190338j 1.17385e-16-0.0678064j 1.18522e-16+0.0291959j 6.48467e-16+0.0308687j 5.0091e-17+0.028499j -2.20881e-16-0.0280309j -4.13238e-16-0.027724j -1.7118e-16+0.000390758j 8.91458e-18-0.0706457j -1.10042e-17+0.0305263j 1.15899e-17-0.0549466j 9.99491e-19-0.0797883j -3.59668e-18-0.0635452j -2.05263e-17-0.0317944j 2.44172e-16+0.0718275j 2.94485e-17-0.0275181j 5.40174e-17-0.0709172j 7.13814e-17-0.0804115j -7.565e-17-0.116149j 
-7.3841e-17+0.0882544j -1.4099e-17-0.17537j -6.10164e-17+0.0864721j 2.58523e-18-0.137075j -1.87997e-15+0.143621j 8.04419e-17+0.135424j -1.28844e-16-0.0891833j -1.40997e-16-0.0210535j -3.47428e-17-0.0471666j -8.29603e-16+0.129118j 3.63769e-16-0.119272j 1.87417e-16+0.0412206j -1.17439e-15+0.117184j 3.33198e-16-0.126634j -6.62579e-17+0.0573592j -7.98584e-17+0.00408191j 2.1225e-16+0.00256973j 2.04747e-16+0.189521j -5.27115e-16+0.0452143j 1.46011e-16-0.0383595j -3.07688e-16+0.152429j -1.41624e-15-0.019424j -6.57154e-17+0.0241088j -8.08572e-16+0.0778146j -1.50121e-17+0.0172316j -7.07529e-16+0.0707307j -1.2019e-15-0.0815688j 5.49426e-16-0.011032j -3.16141e-15-0.0370577j 2.022e-15+0.0258403j -8.63815e-15-0.0235572j 3.30919e-16-0.0557963j -2.99593e-17+0.0236978j 8.08372e-17-0.0119149j -1.24068e-15-0.0126671j 2.04513e-16-0.0404349j 2.55985e-16+0.0132676j -2.15914e-16+0.0144358j 7.78439e-16+0.0457153j -1.97233e-14-0.0911783j -1.6065e-14+0.0218208j 1.36357e-14-0.00860856j 2.61025e-15+0.0746971j -6.65164e-16+0.00442091j -2.26725e-17-0.0455491j 2.61666e-16+0.00476936j -1.27201e-15-0.076832j -3.27033e-16-0.0135423j -1.51407e-16+0.0106895j -1.6102e-16+0.0396974j -8.52767e-17-0.03186j -2.46245e-16+0.0225514j -4.32467e-15-0.0473433j 9.75099e-18+0.0634434j -3.24183e-17+0.00799004j -4.26087e-17-0.00989379j 4.53612e-17+0.00823717j -2.14806e-17-0.00791388j 9.20755e-17-0.0618887j -9.87186e-18+0.0523657j -5.47249e-17-0.0211165j -6.70896e-17+0.03659j -5.47488e-17+0.00599521j -3.33173e-17+0.0323728j -2.82245e-17+0.0702993j 3.59068e-17-0.000283799j 3.96135e-18+0.0459826j 9.34503e-17+0.023012j -4.5011e-17+0.0248866j -9.43296e-17+0.074997j 3.49484e-17-0.00836211j -3.92783e-17-0.0417669j 
1.32963e-15+0.159655j 7.19129e-16+0.0820305j 2.45383e-17-0.133257j -7.30774e-17-0.068479j 2.59755e-16-0.0250639j -1.31729e-17-0.137758j -6.7565e-17-0.11689j 1.36581e-16-0.0815567j 6.58287e-17-0.00663398j 1.0751e-15-0.125512j 7.64194e-16-0.196052j -3.19045e-16+0.0511192j 7.36887e-16-0.122522j -4.36444e-16-0.0125373j 4.77474e-16+0.012976j 2.97969e-17-0.00902849j 5.30931e-17-0.0646486j 2.93628e-16+0.0300172j -3.72873e-16-0.0665838j -8.17922e-16-0.170566j 1.31077e-17-0.0972276j 4.64466e-16+0.0120546j 2.44391e-16-0.00166553j 3.67924e-16+0.0834165j 9.47282e-18-0.00124309j 9.30963e-16-0.0483502j 4.19415e-15+0.111856j 1.03012e-15+0.0271601j 1.11108e-15-0.0125384j -2.00737e-15-0.0837016j 9.66975e-16+0.00577242j -1.04961e-16+0.000489686j -1.12764e-16+0.0382644j 1.73115e-16-0.0341305j -2.48765e-15-0.0367372j -3.98112e-16-0.0189568j 7.09938e-17-0.0418003j 6.4234e-16-0.0223922j -1.89361e-16+0.00404496j -5.0148e-15-0.0195252j -4.46755e-15-0.000284549j 8.63647e-14-0.0569592j 1.58429e-15+0.0240915j -5.24228e-16-0.0712126j 2.40576e-16-0.00446156j -4.98005e-17+0.0128352j -2.74693e-16-0.008615j -1.02081e-17+0.0128948j -1.61697e-16-0.00891087j -1.19735e-16+0.0409742j -2.20563e-16-0.0499162j -7.80491e-17-0.0411475j 1.34695e-15+0.016273j -1.30651e-16+0.0286338j -5.16566e-17-0.00795777j -5.00179e-17-0.0149044j 5.72331e-16+0.0234516j 1.25709e-16+0.0138069j -7.815e-16-0.0201177j -9.14442e-16-0.0980678j -1.97338e-16-0.0300244j -8.8576e-17+0.0391558j 1.17132e-16-0.0165469j 1.11672e-16-0.016129j -1.24821e-17+0.00683942j -9.11154e-18+0.0367039j 1.23157e-17+0.00178962j 4.01081e-17+0.0151638j -2.22571e-17-0.0440586j -3.16724e-17+0.0321674j -4.13144e-17-0.0313845j 6.0259e-17+0.0323409j 
-1.06304e-16-0.0223338j -2.94928e-17+0.0136141j 1.2109e-18-0.0342521j -2.27884e-17+0.0616015j 1.85008e-15-0.148851j -2.12188e-16-0.212996j 9.61363e-17-0.026601j 5.56406e-17+0.314373j 1.64939e-16-0.132141j 8.50816e-16-0.0917436j -1.05156e-16+0.0132897j 3.48753e-16-0.207635j -3.69598e-16+0.00852233j 3.26326e-16-0.00853542j -3.69394e-16-0.0140906j 3.8152e-16+0.177397j -1.46697e-16+0.0317211j -3.74626e-16-0.147824j 2.09242e-16-0.00981123j 3.20322e-16+0.0728157j -4.27776e-16-0.0168231j -7.69523e-16+0.148514j -3.40336e-15+0.0706239j 4.32429e-16+0.0593382j 1.14525e-16-0.0421665j 5.10929e-16+0.08612j 2.27761e-15+0.0465274j -1.69424e-15-0.0502455j 6.01981e-16-0.0110432j 1.39061e-15+0.0313509j 1.56768e-14+0.0399272j 2.5556e-16+0.0564456j 4.56506e-16-0.103015j 1.00916e-15-0.0526886j 4.65304e-15+0.0865387j 3.02677e-16-0.021032j -8.14276e-17-0.0151776j -8.06899e-16+0.00237839j 5.01637e-17-0.00871544j 3.29757e-14+0.0818308j 2.76863e-14+0.0497424j 4.74475e-14-0.0315129j 2.11981e-15+0.0652218j -8.13743e-16-0.00351079j 2.26223e-16-0.00676391j 1.73041e-17-0.0451914j -1.00958e-15-0.0772942j -1.38483e-16-0.00822339j 1.55257e-16+0.0056737j 5.92958e-17-0.0231644j -8.08553e-17-0.00699323j -2.32999e-16+0.0323478j -3.18153e-15-0.0340529j -1.09245e-17-0.0769683j 2.39812e-16-0.0405831j 8.02895e-16+0.118187j 1.6459e-15+0.0775193j 2.05385e-16+0.0506767j -1.49478e-16-0.0213106j -4.13362e-16-0.0102548j -3.65962e-16-0.0190934j -7.28563e-17-0.0867909j -5.32606e-17-0.00159686j -3.57638e-17-0.0723291j -2.57552e-17-0.0358624j -1.79825e-17-0.0495951j -9.61136e-17-0.196461j 1.21043e-16+0.0446969j 1.39177e-17-0.0376769j 1.03896e-16-0.139369j -8.21666e-17-0.0666275j 1.39611e-16+0.022914j 
-1.78157e-16+0.0204908j 2.72202e-16-0.0548384j 2.44771e-17-0.0211985j 1.71397e-16-0.0134519j 1.20649e-15-0.0591884j -1.28599e-15+0.245024j -6.16205e-16+0.1498j -1.71547e-15+0.347094j 7.31936e-16-0.0859851j 8.93175e-16-0.109502j -2.58098e-15+0.323329j 7.73333e-16+0.0502935j -6.28537e-16+0.0683578j 1.91165e-15-0.250456j -1.06607e-15+0.178489j -6.3109e-16+0.14535j 5.24481e-16-0.126391j -8.94687e-16+0.110802j -1.11389e-15+0.26137j 4.66212e-16-0.0236778j -1.19887e-15+0.0823476j 3.70702e-16-0.0497089j 1.34192e-15-0.0239013j -7.61405e-16+0.0296745j -1.47718e-15+0.146792j 8.02423e-16-0.0728869j -1.2626e-15+0.0025003j -1.46556e-15-0.0670679j 2.27895e-15+0.0102388j 1.23178e-16+0.0369355j -1.63197e-15-0.0131494j -3.76016e-15+0.140847j -6.48091e-16+0.101612j -7.16611e-16+0.0580169j 5.64063e-15+0.0809234j 5.98792e-16+0.0740957j -7.14044e-16-0.0707791j -1.78784e-16+0.00372095j 3.52464e-16+0.03587j 2.48883e-14+0.0337046j 2.31022e-14+0.0766688j -1.17302e-13+0.0775231j 1.04899e-15+0.0800273j -8.94839e-16+0.105795j 2.3468e-16-0.00468368j -3.31693e-16-0.0366879j 1.18932e-17-0.0197409j 4.78402e-16+0.145149j 3.88499e-16+0.0135718j -1.57837e-16-0.0196448j 4.62291e-17+0.087726j -4.12317e-16-0.0453154j -7.25192e-15-0.0768677j -1.1518e-15+0.233152j -1.097e-16-0.00752047j 1.68331e-18+0.0285859j -4.91379e-16-0.0302311j -3.80326e-16+0.0524919j -1.93588e-16-0.00670487j -5.69729e-17-0.0374706j 5.27677e-16+0.0930575j -5.0167e-17+0.0696607j -4.53928e-16+0.0912061j -5.09302e-16+0.0935291j -6.16789e-17+0.00487749j -3.645e-16+0.086202j 6.00134e-17+0.0224389j 1.62925e-16-0.114591j -4.91158e-16+0.0900077j 4.10488e-16-0.0606767j -1.87616e-16+0.0561987j 2.22278e-16-0.0883532j 
-1.74009e-15-0.0601996j -1.25002e-15-0.0526215j 2.14318e-15+0.115259j -1.33469e-15-0.0716711j -3.14199e-16-0.0318629j -2.05653e-15-0.0998611j 3.59154e-15+0.184776j -2.87812e-15-0.151783j -3.17888e-15-0.16087j -6.66393e-16-0.0402982j 1.51238e-15+0.0898381j 3.47564e-15+0.177793j 2.99935e-15+0.20533j 5.20838e-16+0.00652318j 8.91282e-16+0.0520562j -1.8976e-15-0.0900635j 9.26559e-17+0.0218402j -1.32863e-15-0.0406469j 4.54979e-15+0.197302j 4.52289e-15+0.198131j -9.63086e-16-0.0214202j 3.98761e-16+0.0775132j -2.55585e-15+0.134673j 1.15761e-15+0.0542272j 5.37602e-18+0.0173189j 3.04579e-16+0.00839651j 1.4984e-15+0.0253337j -2.20188e-15-0.00525399j 6.4549e-15+0.0414739j -3.86022e-15-0.0723179j 1.88779e-14+0.0454993j 1.59441e-15+0.180954j -6.78758e-16-0.0452146j -8.84463e-16-0.0952503j 6.83362e-15+0.0872477j 1.40832e-15+0.0527957j -6.00774e-16+0.013261j -4.93132e-16-0.0483823j 3.54397e-17-0.00286668j 2.93951e-14+0.00405736j 2.93147e-14+0.128422j 1.70992e-14-0.0110996j 9.20685e-16+0.0343121j 8.2945e-16+0.0589302j 1.20404e-15+0.0191254j -5.13025e-16-0.00965877j 3.79485e-16+0.00128524j 3.44177e-15+0.117943j 1.62991e-15+0.0447583j 1.46632e-16+0.0131941j 4.79642e-16+0.0210668j -1.03314e-16-0.000681583j -7.97622e-16-0.00732952j 1.42778e-17+0.000914403j 5.02973e-17-0.00210306j 2.00437e-15+0.0799948j -1.57858e-15-0.0454174j 5.12117e-17-0.0024536j 8.79829e-16+0.0304609j 7.99412e-18-0.0168965j 1.25336e-16+0.00907324j -7.13262e-16-0.0302736j -1.44379e-15-0.0766531j -6.15981e-16-0.0335224j 3.8046e-16+0.0160538j -2.49478e-16-0.0126965j -3.17089e-15-0.161809j -2.00537e-15-0.087883j 4.79622e-17+0.00241454j 4.3606e-16+0.0258698j 2.0188e-15+0.110389j 2.67151e-15+0.133653j 
-3.81749e-16-0.044939j -2.41919e-16-0.0375831j -1.26937e-16-0.0516938j -2.96349e-16+0.109615j -4.20737e-15+0.305777j -2.30125e-16+0.0216499j -5.50991e-17+0.33923j -4.71501e-17+0.0590431j -4.06399e-16+0.0853231j -1.67797e-15+0.104375j -1.49885e-16+0.0765383j -7.72866e-16+0.523691j 5.3102e-16+0.105412j -2.49099e-16-0.0241667j -4.16156e-16+0.0456611j 6.72965e-17-0.0722516j -4.98419e-16-0.127659j 1.23518e-17-0.293555j -5.73758e-17-0.0332669j 3.90893e-17-0.0259863j 1.12181e-16+0.0927824j -1.48012e-15+0.0480874j -4.08716e-15+0.112325j 9.13565e-17+0.0734224j 2.58993e-16-0.0652934j -9.0815e-16+0.137316j 1.31258e-16-0.0509696j 9.95114e-17+0.0314172j -1.6367e-15+0.0278984j 6.53897e-16+0.0794903j -1.72391e-14-0.0503132j 5.04154e-16-0.0520423j 3.80324e-16-0.106316j 5.3368e-16-0.0650271j -2.94033e-15-0.0436446j 5.49638e-17-0.00128615j 1.073e-15+0.00289655j 1.12861e-16-0.000427423j 6.16074e-16+0.0287769j -3.09905e-14-0.0855011j -2.5453e-14-0.0370074j -7.51526e-14+0.0497034j -4.30343e-16-0.0350866j 3.05076e-16-0.0423261j -6.61079e-16+0.0192074j -2.05764e-16-0.0140059j 1.09852e-16+0.00966505j 2.20767e-16-0.0219007j 1.7237e-16+0.0329208j -7.89647e-17+0.0174398j 1.67122e-16-0.0414796j -6.67113e-17-0.0234337j -7.01802e-19-0.00111148j 9.50753e-17+0.0684411j -4.18573e-17-0.0504569j -5.0463e-16-0.0626854j -2.03414e-15-0.115807j 4.82261e-18-0.0658616j -2.377e-16-0.0724857j -2.38302e-16-0.029019j -6.62711e-16-0.109685j -2.91686e-16+0.0643218j 1.19453e-16-0.0160276j 1.68064e-17+0.0117009j -2.88925e-17-0.0913671j 8.03349e-17-0.0459017j -1.53299e-17+0.0907559j -7.59481e-17-0.0340038j 2.20418e-17-0.0696197j -1.55023e-16+0.0873391j 2.10193e-17+0.0479597j -2.09981e-16-0.0244861j 
-2.16526e-16-0.0347088j -1.2745e-16-0.0347326j -1.85289e-16+0.181319j -2.22864e-16+0.216632j -1.00671e-15+0.0473041j -1.71662e-16+0.158025j -2.26134e-16+0.0183078j -5.57411e-17+0.165132j -2.02917e-16-0.0120404j -8.98185e-16+0.0635529j -7.59807e-16+0.155638j -3.23767e-16+0.0147842j 1.35441e-15-0.136944j -1.86952e-16-0.094669j -2.91945e-16-0.235433j 5.78812e-16+0.0985772j 3.75288e-18-0.000889394j -5.96135e-16-0.159662j 1.91299e-16+0.0796946j 5.56372e-16+0.0718864j 8.15472e-16+0.189015j -8.63538e-17-0.147964j 2.31248e-15-0.0325852j -7.04309e-18-0.0924771j 2.06644e-16-0.0305241j -1.11002e-15+0.0210892j -2.38004e-15-0.0757216j 1.1535e-15+0.0939479j -4.27192e-16+0.0689906j -7.12008e-16+0.0591825j -1.20534e-14-0.0340409j -1.19004e-16-0.0195104j -3.78559e-16-0.00799178j -8.61709e-16+0.070754j -4.11135e-15-0.0831721j -1.22413e-15+0.0151252j -4.69474e-16+0.0203522j 1.1967e-15-0.0588113j -1.86581e-15-0.067067j 5.20296e-16+0.0467169j -1.58047e-15-0.0573016j 2.17264e-13-0.143499j 2.10434e-15+0.0617849j -6.25482e-16-0.0135863j 3.34447e-16+0.0251267j 3.55109e-16+0.00298658j -3.03446e-16-0.0270412j -5.10807e-16-0.0320873j -3.60079e-16-0.0104965j -4.31187e-17+0.0359108j -3.13617e-16-0.0621918j -1.84816e-16-0.0167444j -2.98198e-15-0.0302538j -1.11949e-16-0.00735069j 4.97663e-17+0.0389131j 2.82034e-16+0.0184941j 1.71401e-15+0.0922715j 2.5634e-16-0.0456458j -3.34768e-16+0.00339446j -5.18182e-16-0.0695734j 7.50563e-16+0.0577351j 1.26265e-16+0.0537488j 1.34315e-16-0.0173324j 3.44656e-17+0.0266152j 8.07549e-17+0.0232238j 6.86833e-17+0.00388636j -1.8829e-18+0.00481971j -4.38642e-17-0.00174293j 1.19331e-16+0.0192186j -4.54636e-18-0.0297383j -1.29899e-17-0.0379964j -3.07015e-18+0.0219784j 
