5.00278e-15-0.194956j -1.02016e-14-0.35676j 7.08271e-16+0.0600836j 8.14778e-16-0.216648j 1.48409e-15-0.256195j 1.84131e-15-0.0688183j -1.12608e-15+0.213005j -6.59299e-18-0.0236913j 1.89523e-16-0.0455212j 3.78181e-16-0.0546167j 6.1822e-16-0.0650287j 8.58768e-16-0.0686975j 7.3182e-17+0.00869142j 1.79468e-16-0.0522581j 8.381e-16-0.0401442j -4.48185e-15-0.0168956j 2.25696e-16-0.00903454j 1.51231e-16-0.00671278j 4.78515e-17-0.0104321j -2.14164e-16-0.0156187j -1.1952e-16-0.0177983j 3.59135e-17+0.044348j 4.89503e-16-0.00415282j -2.68311e-16+0.00186973j 1.39772e-16+0.00160622j 2.09195e-16-0.0224271j 4.37234e-16-0.0440904j -3.75361e-16-0.0166119j -5.58915e-15+0.00212821j 1.37442e-15-0.0536838j 2.93036e-16-0.00520872j 9.27486e-17-0.00982316j 1.94536e-16-0.00217275j 4.11493e-16-0.0355236j 9.35434e-16-0.0323833j 5.63696e-16-0.0304479j 1.20317e-16-0.00357736j -2.30969e-15-0.0219807j 7.81055e-16+0.0363667j -3.93371e-16-0.0122852j -2.0861e-16-0.00566402j 2.38119e-16-0.0286416j 3.79705e-16-0.0274288j -1.5563e-16+0.000244006j 2.76064e-16-0.0593126j -3.96043e-16+0.0530342j 2.08478e-16-0.000132048j -1.96612e-16+0.0304606j 3.24427e-16-0.0180362j -4.81838e-16+0.0582341j 3.501e-16-0.0699562j 4.14941e-16-0.0215167j 2.39683e-17-0.0729385j 2.54995e-16-0.0234317j -1.06577e-14-0.0241594j -1.5712e-15-0.0968485j 
-6.75244e-16-0.355029j 1.08653e-14+0.19231j 1.72913e-16-0.230733j 1.00309e-15-0.0353742j 8.39835e-16+0.0677894j 8.05414e-16-0.32807j -1.00417e-15-0.0169285j -2.69347e-17+0.0379744j 1.26846e-16+0.00393319j -1.15629e-16+0.0689692j 6.63766e-16-0.0862276j -3.12652e-16+0.0121097j -1.3447e-17+0.0285661j -1.69153e-17+0.052307j -3.57803e-16-0.0373483j 5.26735e-15+0.0122185j -2.3499e-16+0.0286673j -2.97588e-16-0.0263203j -9.06197e-17+0.0364346j 6.50407e-17+0.0279711j 1.27921e-16-0.00628453j -1.49533e-16-0.0261058j 1.45103e-15-0.0129227j -4.81663e-16+0.00959621j 2.0972e-17-0.019482j 1.11158e-16-0.027976j 1.24094e-16-0.0178817j 4.42704e-16+0.0266174j 2.4743e-14-0.0078314j 7.75771e-16-0.00846871j 3.14215e-16-0.0345526j 2.74e-16+0.00668146j -4.52192e-16+0.0121754j -1.30923e-16+0.0349218j 5.78921e-16-0.0349492j -3.12725e-17+0.0223995j 1.42566e-16-0.00372504j -5.32181e-16-0.0157576j 1.8836e-16-0.0197158j 4.97855e-16+0.034237j -3.57416e-16-0.0151482j 5.89403e-17+0.0168112j 2.32975e-16-0.0432118j -5.79494e-17+0.0448534j 2.10126e-17-0.0231932j -3.18282e-16-0.0284113j 1.09447e-16-0.0212835j -8.58573e-17-0.0102878j 2.47135e-16-0.0554785j -3.03856e-16+0.0307793j 1.43166e-16+0.0400274j 2.53552e-16-0.0702037j 1.94772e-16+0.0235487j 2.11313e-16-0.0726074j 2.14099e-14+0.0977271j 4.99549e-15-0.0240985j 
-2.15437e-16-0.0269221j 1.04674e-15+0.0220737j -2.0587e-16+0.244934j 8.0572e-16+0.383983j -2.14258e-17-0.0795783j -3.32648e-17+0.0860001j 7.64077e-18-0.212026j 1.06564e-16-0.200724j 4.81214e-17+0.175417j 3.416e-16-0.0103599j 2.97145e-16-0.139554j -1.84819e-16-0.0499714j 2.57489e-16+0.0997654j -9.5718e-17-0.00691347j 3.98057e-15-0.0686668j -4.77302e-14-0.145215j 1.1008e-15-0.0363773j -3.36666e-17+0.000949268j 1.59189e-16-0.0435246j -5.4738e-16-0.149129j -1.28241e-17+0.079974j -3.14613e-16-0.0131368j 6.98557e-15-0.0681787j 1.36278e-15-0.0156061j 4.65774e-16+0.0290184j -1.52655e-16-0.0203256j 3.13591e-16+0.00893885j -1.8572e-15+0.0324437j -8.10448e-14+0.0234562j 2.78505e-17-0.0114419j 3.1683e-16-0.0359324j 2.32359e-16-0.0178475j -9.09739e-16+0.0375083j 4.60698e-16-0.0147833j 7.78239e-16-0.0244902j 6.17928e-16-0.0933224j 3.38551e-16+0.0490997j -3.75195e-15-0.0594522j 1.50185e-15-0.0260036j 1.2114e-16+0.0024232j 7.81266e-16+0.0242797j 1.02464e-16-0.0695851j -6.09854e-17+0.0371606j -2.51291e-16+0.0156961j -1.87926e-16-0.0342984j -2.56517e-16-0.0195753j 9.57303e-17-0.00770692j 1.13705e-17+0.0879163j -1.158e-16-0.0282239j -7.82515e-17+0.0581172j -2.94687e-17+0.054562j 7.29624e-18-0.00705416j -9.14212e-17-0.0167331j -1.38739e-17-0.00382991j 2.18611e-14+0.0945457j 4.69684e-15-0.00343401j 
6.28369e-17-0.0286652j -2.93611e-16-0.014246j -3.85095e-16-0.33667j 7.65124e-16+0.175657j 9.87829e-17-0.2273j -1.9319e-16-0.131457j -3.20059e-16-0.304147j 8.4158e-17+0.0352923j 6.92838e-17+0.0269155j -4.40045e-16+0.099083j -1.02937e-15+0.0208225j 2.4305e-15-0.197452j 2.26791e-16-0.0101225j -2.09744e-16-0.174286j 3.76297e-16+0.0826726j -4.92778e-15-0.00763204j -3.76668e-16+0.0330916j 2.43472e-16-0.00453881j 2.17893e-16-0.0319921j 3.98059e-16+0.0148499j 7.092e-16+0.0685096j -3.51403e-16+0.00511822j 7.27996e-15-0.0715271j 2.10058e-15-0.0336477j 4.83613e-17+0.00149722j -4.72359e-17+0.0213368j 4.14306e-17-0.0365925j -8.68856e-16-0.014012j -4.61543e-14+0.0139144j -1.90318e-16+0.00511937j -4.27316e-16+0.0402985j -2.24616e-16+0.0118572j 1.31763e-15-0.0429169j 1.42843e-16+0.00239917j -2.9768e-16-0.00148872j -3.32352e-16+0.0509107j -3.2359e-17+0.00345405j -2.57352e-15-0.0151959j 7.49988e-16+0.0498419j 1.19731e-16+0.0281761j 2.19555e-16+0.00850256j 1.09248e-16+0.000729488j 1.81165e-16-0.0112788j 2.92551e-17-0.033106j -1.66233e-16-0.0260937j -2.02981e-18+0.00703729j 8.10041e-17-0.0506967j -2.77051e-17-0.0707122j -2.35844e-17+0.0676665j -5.65539e-17+0.0347508j -1.34446e-17-0.0186532j -6.65173e-19-0.0564926j 1.7124e-16+0.0241938j 5.13583e-17+0.0331548j -8.56497e-15-0.0151181j -1.84365e-15-0.10124j 
-6.62839e-16-0.064755j -1.67335e-15-0.0425589j 5.47955e-16+0.0372407j -1.20956e-15-0.0740535j -2.95704e-15-0.222875j 3.5063e-15+0.254898j 1.26244e-17-0.00688701j 3.60331e-15+0.287363j -1.12103e-15-0.099584j 1.0713e-15+0.12064j -9.54446e-16-0.0233182j 5.62415e-17-0.0836613j -1.80771e-15-0.111405j 9.72016e-16+0.068772j 2.09813e-15+0.0374852j -1.55628e-14-0.0419787j -1.52785e-15-0.207401j -6.25838e-16-0.0964144j 3.10735e-16-0.100041j -3.4155e-15-0.177326j -2.25241e-15-0.0635741j 8.1059e-16+0.0653827j -4.16185e-15+0.0475818j -1.42159e-15+0.0451493j 1.44095e-15+0.0711034j 1.21309e-15+0.0802629j 6.05438e-16+0.054171j 3.13758e-15+0.0721867j 1.20735e-13-0.0373451j 6.77799e-16+0.00384734j -3.35262e-16-0.0598393j -1.22014e-18-0.00761087j -5.79877e-16+0.0325367j -2.30332e-16-0.00498746j 2.67933e-16-0.0596398j 1.6543e-16-0.0435402j -3.70193e-16-0.047466j 4.08191e-15+0.0407032j -1.35998e-15-0.0299558j -2.25804e-15-0.092056j -1.99666e-15-0.0323217j -7.13866e-16-0.0738006j 3.7752e-16+0.0408381j -6.87059e-17+0.0147395j 7.19004e-16+0.029728j 3.75497e-16+0.0174019j 3.6999e-16+0.0232852j 9.58142e-16+0.0838993j -5.66358e-16-0.042988j -4.70918e-16-0.0444186j -1.36436e-15-0.108877j 8.80374e-16+0.0685776j -1.44421e-15-0.0768188j -1.34023e-15-0.0850634j -1.03563e-14-0.0424367j -2.1258e-15+0.00149785j 
9.83835e-16+0.0217322j -4.46605e-15-0.115513j 1.22539e-16+0.0542191j -2.39272e-16-0.0537943j -1.71987e-16+0.0803146j -1.24329e-16+0.157603j -2.10799e-17-0.202489j 5.53825e-16-0.155882j -2.48612e-16+0.16564j 2.61034e-16-0.0428218j -1.22165e-15-0.0203911j 3.34601e-15-0.324591j 8.93561e-17+0.129411j 8.73333e-17+0.167917j 9.2818e-15+0.00807259j -1.04613e-13-0.305467j 1.52188e-15-0.100512j 2.59609e-16+0.165381j -1.49629e-15+0.0717629j 1.12084e-15+0.0824459j 1.00988e-15+0.0532276j 3.78562e-16-0.114687j -3.54797e-15+0.0394012j 1.99709e-15-0.0358597j -5.51126e-16-0.0425734j -2.02561e-16-0.0156227j 4.56231e-16+0.0862089j -6.85438e-15+0.184786j -3.81028e-13+0.109448j -1.82953e-15+0.0670637j 1.23862e-16+0.0274534j 8.90652e-16-0.0890964j -6.64138e-16+0.00353688j -3.11531e-16+0.0450119j 6.36254e-17+0.0411805j -2.10168e-16-0.0273729j 3.8158e-18-0.0129236j 1.88032e-15+0.0247736j -1.10007e-15-0.0262347j -2.84478e-16+0.00518798j 3.46543e-15+0.110476j 1.66616e-16-0.00397185j -2.73621e-16+0.127214j -3.11479e-16-0.00208736j 4.72565e-17+0.0052447j -6.4033e-17+0.0310523j 1.02062e-16-0.0159864j 1.39447e-17+0.0285304j -6.53555e-17+0.00579519j 1.56227e-19-0.025624j -8.16183e-17+0.0849837j -7.82358e-17+0.100227j 1.88343e-17-0.0354535j -2.62518e-17+0.0816417j -1.61454e-14-0.0769057j -3.403e-15+0.0334306j 
1.13942e-16+0.107972j -9.08627e-16-0.0017627j -2.27417e-17+0.107328j -1.35057e-16+0.00237948j 1.75173e-16-0.0290409j 4.29198e-17-0.0692291j -2.89945e-16-0.172467j -2.53375e-16+0.322753j 3.94261e-16-0.053636j -7.50606e-16+0.101914j -1.74009e-15+0.22453j 3.0869e-15-0.15948j 3.09913e-16-0.175432j 2.61932e-16-0.128096j 1.20371e-15-0.0528464j -2.2175e-14-0.0658484j -1.84043e-15+0.273861j -1.4922e-15+0.0489725j -1.81592e-15+0.137469j 4.02481e-16-0.0253086j 6.29969e-16+0.0408938j 4.83511e-17-0.0453663j 4.61684e-15-0.0443609j 5.30805e-15-0.0824053j 8.33339e-17+0.0553324j -4.08672e-16-0.0439766j 5.2084e-17+0.0327016j 2.88172e-17+0.0307224j 1.15964e-14-0.00401464j 7.17669e-17+0.0136419j 3.42256e-16-0.058425j 4.37476e-17+0.0291578j 2.54837e-16-0.0112775j 4.88655e-16-0.00305017j -2.05473e-17-0.00893394j 4.69284e-17-0.0207771j -9.59272e-17+0.0648788j -4.93347e-15-0.0657522j 2.00225e-15+0.0273474j 5.69718e-16+0.0359401j -2.137e-15-0.0714611j -4.066e-16+0.0406299j 9.88211e-17-0.0211849j 5.90298e-17+0.0108674j -4.25891e-16-0.0200189j 4.08516e-17-0.0538022j -3.40131e-16+0.0997132j 1.98438e-16-0.032844j -3.74565e-18-0.0164762j -1.1057e-16+0.0420269j -1.02814e-16+0.083998j 5.34958e-17-0.0228941j 4.30716e-17+0.0359067j 1.68938e-17-0.0239782j 1.34755e-14+0.0320641j 2.79184e-15+0.122531j 
6.3532e-16+0.0287758j -2.68394e-15-0.0657644j 4.92122e-17-0.0124578j 9.50307e-17+0.00463858j 1.55486e-16-0.181783j -9.34533e-17+0.0441938j 1.52697e-17-0.208046j -8.84565e-17-0.079933j 3.00908e-16-0.257575j -1.53262e-15+0.213371j -2.24873e-15+0.177924j 3.4972e-15-0.250898j 9.98091e-16+0.242357j -3.97394e-16-0.26303j -6.57331e-16-0.0204194j 2.47974e-15+0.00616328j -4.07138e-17+0.0636044j -1.14865e-15-0.0120278j -1.20547e-15+0.105314j -4.16022e-16-0.0445779j -3.56994e-16-0.0872367j 4.93798e-16-0.0192829j -8.97861e-15+0.0881184j 3.50446e-15-0.0579482j -2.54547e-16+0.0728793j 5.50623e-17+0.0378742j 2.0442e-16+0.0521915j 2.23969e-15+0.0625155j 1.26309e-13-0.0387105j 8.29752e-16+0.0082152j -1.09148e-16-0.0264137j 5.03106e-16-0.0427377j 6.64399e-16-0.0339026j -2.73691e-16+0.0698455j 1.27439e-15-0.088336j 8.35808e-17+0.0353884j 3.07433e-16-0.0507227j 6.97674e-16+0.0218797j -1.71343e-16+0.0245454j -5.73474e-16-0.0421821j -3.21806e-15-0.0857407j -1.09017e-16-0.0495725j -3.11319e-16+0.0895676j -4.41596e-16+0.0464113j 4.86241e-16+0.0758703j 3.24851e-16-0.0306385j -1.03925e-16-0.0027012j -9.79551e-17-0.0218504j -1.56725e-16+0.0625368j -2.63749e-17+0.00176004j -1.85671e-17-0.0810883j 5.69025e-18+0.0540556j -6.89422e-17+0.0253743j 5.21359e-17-0.0826311j -1.63107e-14-0.073885j -3.52362e-15+0.0177341j 
-2.04108e-15+0.0408202j 1.21151e-14+0.333836j -2.42147e-16-0.248012j 9.81296e-16+0.0977474j -3.08875e-16+0.173131j 3.2558e-16-0.0237235j -7.5205e-16-0.284081j 2.62422e-17+0.221495j -1.85737e-16-0.0303338j 7.47205e-16-0.210578j -4.74092e-16+0.0448775j 1.13575e-15-0.0864395j -2.63097e-16-0.0217655j 3.31237e-16+0.141575j -1.08484e-15+0.231243j 1.84495e-14+0.0749558j -9.99941e-16+0.00439914j 7.6367e-16+0.00898086j 2.10181e-16-0.0441128j 3.94974e-16+0.0286914j -1.47549e-16+0.0321825j -1.96071e-16+0.0696212j -7.38461e-15+0.0672101j -1.29063e-14+0.215652j 7.56154e-16-0.0486128j 1.92411e-16+0.0159825j -1.46041e-16+0.0557733j -2.76975e-15+0.0575646j -1.93077e-13+0.0562194j -1.72813e-15+0.0562364j 4.22979e-17-0.00888262j 2.97852e-16-0.0522093j 9.95123e-16-0.0382535j -4.0642e-16-0.00984923j -1.11937e-16+0.0453732j 3.30843e-16-0.0279319j -4.79645e-17-0.0391552j 4.94432e-15+0.0419731j -1.3303e-15-0.0651444j -8.90261e-16-0.0600026j 1.90202e-15+0.0514846j 2.19394e-16+0.0381172j -8.61076e-17-0.000123349j -1.2834e-16-0.0119184j -1.33888e-16-0.0478266j -2.05244e-16+0.0922798j -1.78565e-16+0.0489701j -4.48686e-17-0.0247715j 2.35627e-16-0.107479j -1.00338e-16-0.0585932j 1.29889e-16+0.0124708j -1.1047e-16-0.00551158j -1.37566e-16-0.0019411j -4.99178e-17-0.105968j 3.1602e-15+0.00509114j 7.44278e-16+0.0388148j 
4.74098e-15+0.516977j -4.37481e-15-0.0222887j 1.18756e-15+0.285704j 3.19127e-15+0.312584j -1.36387e-16-0.0217542j 3.78316e-15+0.512263j -1.09857e-15-0.107674j -1.46913e-16-0.10483j 3.31499e-17-0.00432066j 2.07214e-16-0.000933018j -7.03142e-16-0.1131j -7.0722e-16-0.0507934j -1.01736e-15-0.028312j 8.61748e-16+0.10044j 2.19768e-17+0.115291j 1.08573e-14+0.0419681j -2.21472e-16+0.0338999j 1.70179e-15+0.149616j -8.19447e-16-0.117233j -1.1777e-15-0.0869172j -1.04867e-15-0.0462551j 1.26042e-15+0.157784j 5.09854e-15-0.0478308j -3.04952e-15+0.0512163j -1.51701e-16-0.0458069j 5.40155e-16+0.024236j -4.33833e-16-0.0562402j 2.99896e-15-0.0583586j 1.27952e-13-0.0372439j -1.07749e-15+0.0945284j -4.58508e-16-0.0367111j -3.73606e-16+0.0624089j 1.27104e-15-0.0842432j 3.31312e-16+0.0115382j -4.17349e-16+0.00933788j -1.63907e-16+0.039335j -8.8728e-17-0.0324809j 1.84601e-16+0.0173432j 2.70847e-16+0.0459258j -7.84576e-16-0.0327298j 1.33131e-15+0.0286353j 2.17903e-17-0.0151294j 3.91924e-16+0.0229117j -3.36615e-16-0.0627475j -3.35837e-17-0.00337502j -2.18644e-17-0.0143447j -5.07835e-16-0.0948077j -2.68633e-16-0.019465j 4.68e-16+0.066855j -5.86883e-16-0.064252j -1.2738e-16-0.0271716j 7.13257e-17+0.0045381j 6.90504e-16+0.055898j 5.19487e-16+0.0563291j 1.58101e-15+0.00302043j 4.75864e-16+0.0170598j 
-3.71431e-15-0.0361143j 2.04205e-14+0.492962j -6.62115e-16-0.197802j 2.73775e-15+0.358621j 9.7961e-16+0.277498j -2.4598e-17-0.0364401j -1.50093e-15-0.351606j -4.03096e-16-0.0917483j 6.99072e-16+0.133823j -7.64224e-17+0.280868j -1.28724e-15+0.0599827j 1.60009e-15-0.152674j 4.74878e-16-0.00378653j -2.53987e-16-0.0546513j 3.83949e-15-0.185522j -5.90351e-14-0.186166j 6.58433e-16+0.0635964j -1.30731e-15-0.0536657j -5.41824e-17+0.126706j -9.14237e-16-0.0879443j 3.45575e-16+0.00285344j -9.53263e-16-0.226647j -1.2634e-15+0.00598715j 1.94432e-15-0.00791924j 1.68723e-16+0.0659313j 1.22976e-15+0.143045j 2.73994e-16+0.0840895j 4.00177e-15+0.0357124j 2.18037e-13-0.0656964j 7.86839e-16+0.0157413j -2.65958e-16+0.0574934j 2.00998e-16-0.0718819j 3.95806e-16-0.032357j 7.47078e-17+0.066035j 1.04141e-15-0.0903107j 9.08133e-17+0.0330121j 6.05395e-16+0.0163122j 1.58023e-15+0.0203277j -4.99168e-16-0.0209437j -3.45963e-16-0.0112373j 2.00214e-16+0.0150693j -5.0874e-17-0.0390416j 1.81806e-17+0.0743342j -5.95626e-17+0.0770675j 1.2687e-15+0.128489j 1.86167e-16-0.0308882j -2.51562e-16-0.0790728j -6.11368e-17+0.0282242j 1.28946e-16+0.0285762j -3.98917e-17-0.0337368j -1.46906e-16-0.0154244j -3.89067e-17+0.0068227j 5.15462e-16+0.0332176j 7.09359e-17+0.00918318j 1.20026e-14+0.0571472j 2.33293e-15-0.0332104j 
