0.000529194-0j 0.000669383-0j 0.000399143-0j -0.00698229-0j -0.00509915-0j -0.00832687-0j -0.00744778-0j -0.00314026-0j 0.0498881-0j 0.0470349-0j 0.0576058-0j 0.0420693-0j 0.0485775-0j 0.035476-0j 0.0115864-0j 7.39048e-05-0j 6.96781e-05-0j 8.53379e-05-0j 6.2322e-05-0j 7.19632e-05-0j 5.25545e-05-0j 1.71642e-05-0j 
6.27148e-05-0j 4.48928e-06-0j -8.65742e-05-0j -0.00103782-0j -0.000757919-0j -7.00413e-05-0j 0.000981718-0j 0.00129461-0j 0.009966-0j 0.00939604-0j 0.000651235-0j 0.000475594-0j -0.00860585-0j -0.0129707-0j -0.00860341-0j 8.75845e-06-0j 8.25755e-06-0j 5.72327e-07-0j 4.17968e-07-0j -7.5631e-06-0j -1.13991e-05-0j -7.56096e-06-0j 
-4.64521e-06-0j 5.28062e-06-0j -3.50363e-06-0j 9.24508e-05-0j -0.000188872-0j 0.000110254-0j -8.86256e-05-0j 4.15794e-05-0j -0.00111476-0j 0.000944546-0j -0.00128721-0j 0.0026297-0j -0.00108547-0j 0.000712421-0j -0.0002589-0j -6.48728e-07-0j 5.49675e-07-0j -7.49086e-07-0j 1.53034e-06-0j -6.31685e-07-0j 4.14591e-07-0j -1.50666e-07-0j 
4.79755e-06-0j -5.38163e-06-0j 2.45941e-06-0j -9.54827e-05-0j -6.97307e-05-0j 0.000100982-0j 0.000101196-0j -0.000177482-0j 0.00115131-0j 0.00108547-0j -0.00117896-0j -0.000860988-0j -0.00111389-0j 0.000556454-0j 0.00250446-0j 6.70003e-07-0j 6.31685e-07-0j -6.86089e-07-0j -5.01049e-07-0j -6.48223e-07-0j 3.23826e-07-0j 1.45746e-06-0j 
-0.00502038-0j -0.00635033-0j -0.0037866-0j 0.0325621-0j 0.02378-0j 0.0388326-0j 0.034733-0j 0.0146447-0j -0.071744-0j -0.0676409-0j -0.0828429-0j -0.0604999-0j -0.0698592-0j -0.051018-0j -0.0166624-0j 0.0205985-0j 0.0194205-0j 0.0237851-0j 0.0173702-0j 0.0200574-0j 0.0146478-0j 0.00478397-0j 
-0.000768096-0j -5.49823e-05-0j 0.00106031-0j 0.00755814-0j 0.00551969-0j 0.000510089-0j -0.00714954-0j -0.00942827-0j -0.0353826-0j -0.033359-0j -0.0023121-0j -0.00168852-0j 0.0305536-0j 0.0460503-0j 0.030545-0j 0.00315149-0j 0.00297125-0j 0.000205936-0j 0.000150394-0j -0.00272137-0j -0.00410164-0j -0.0027206-0j 
6.96781e-05-0j -7.92093e-05-0j 5.25545e-05-0j -0.000919347-0j 0.00187818-0j -0.00109638-0j 0.000881308-0j -0.000413473-0j 0.00656868-0j -0.00556572-0j 0.00758486-0j -0.0154955-0j 0.00639611-0j -0.00419793-0j 0.00152556-0j -0.000285888-0j 0.000242237-0j -0.000330115-0j 0.000674408-0j -0.000278378-0j 0.000182706-0j -6.63969e-05-0j 
-7.19632e-05-0j 8.07244e-05-0j -3.68911e-05-0j 0.000949497-0j 0.000693415-0j -0.00100418-0j -0.00100631-0j 0.00176492-0j -0.0067841-0j -0.00639611-0j 0.00694698-0j 0.00507336-0j 0.00656356-0j -0.00327889-0j -0.0147575-0j 0.000295264-0j 0.000278378-0j -0.000302353-0j -0.000220807-0j -0.000285666-0j 0.000142707-0j 0.00064229-0j 
0.0137489-0j 0.0173911-0j 0.01037-0j 0.00305508-0j 0.00223112-0j 0.0036434-0j 0.00325876-0j 0.00137401-0j 0.000495768-0j 0.000467415-0j 0.000572464-0j 0.000418068-0j 0.000482744-0j 0.000352546-0j 0.000115141-0j -0.114743-0j -0.108181-0j -0.132494-0j -0.0967597-0j -0.111728-0j -0.0815949-0j -0.0266488-0j 
0.0036434-0j 0.000260804-0j -0.00502951-0j -0.0114107-0j -0.00833323-0j -0.000770096-0j 0.0107939-0j 0.0142341-0j -0.00383477-0j -0.00361546-0j -0.000250585-0j -0.000183002-0j 0.0033114-0j 0.00499093-0j 0.00331046-0j -0.0304065-0j -0.0286675-0j -0.00198693-0j -0.00145105-0j 0.0262566-0j 0.0395738-0j 0.0262492-0j 
-0.000467415-0j 0.000531352-0j -0.000352546-0j 0.00303165-0j -0.0061935-0j 0.00361546-0j -0.00290622-0j 0.00136347-0j -0.00667962-0j 0.00565973-0j -0.00771296-0j 0.0157572-0j -0.00650414-0j 0.00426883-0j -0.00155133-0j 0.00390087-0j -0.00330526-0j 0.00450434-0j -0.00920212-0j 0.00379839-0j -0.00249298-0j 0.000905969-0j 
0.000482744-0j -0.000541516-0j 0.000247473-0j -0.00313108-0j -0.00228661-0j 0.0033114-0j 0.00331842-0j -0.00582001-0j 0.00689868-0j 0.00650414-0j -0.00706432-0j -0.00515905-0j -0.00667442-0j 0.00333428-0j 0.0150068-0j -0.0040288-0j -0.00379839-0j 0.00412553-0j 0.00301286-0j 0.00389783-0j -0.0019472-0j -0.00876388-0j 
0.00104517-0j -0.00118814-0j 0.000788318-0j 0.000232244-0j -0.000474461-0j 0.000276967-0j -0.000222634-0j 0.000104451-0j 3.76877e-05-0j -3.19332e-05-0j 4.3518e-05-0j -8.89049e-05-0j 3.66976e-05-0j -2.40856e-05-0j 8.75288e-06-0j -0.0131569-0j 0.011148-0j -0.0151923-0j 0.031037-0j -0.0128112-0j 0.00840835-0j -0.00305566-0j 
-0.00107945-0j 0.00121087-0j -0.000553367-0j -0.00023986-0j -0.000175169-0j 0.000253674-0j 0.000254212-0j -0.00044585-0j -3.89237e-05-0j -3.66976e-05-0j 3.98582e-05-0j 2.91083e-05-0j 3.76583e-05-0j -1.88126e-05-0j -8.4671e-05-0j 0.0135884-0j 0.0128112-0j -0.0139146-0j -0.0101618-0j -0.0131467-0j 0.00656754-0j 0.0295589-0j 
0.0224518-0j 0.0283995-0j 0.0169342-0j -0.0703167-0j -0.0513521-0j -0.0838576-0j -0.0750045-0j -0.0316247-0j -0.0236311-0j -0.0222796-0j -0.0272868-0j -0.0199275-0j -0.0230103-0j -0.0168043-0j -0.00548827-0j 0.00313551-0j 0.00295619-0j 0.00362058-0j 0.0026441-0j 0.00305314-0j 0.0022297-0j 0.000728217-0j 
0.00420704-0j 0.00030115-0j -0.00580758-0j -0.0272868-0j -0.0199275-0j -0.00184155-0j 0.0258117-0j 0.0340385-0j 0.0601209-0j 0.0566826-0j 0.00392864-0j 0.00286907-0j -0.0519157-0j -0.0782471-0j -0.051901-0j 0.000587535-0j 0.000553933-0j 3.83928e-05-0j 2.80382e-05-0j -0.000507348-0j -0.000764674-0j -0.000507205-0j 
-0.000440683-0j 0.000500963-0j -0.000332384-0j 0.00433636-0j -0.00885896-0j 0.00517142-0j -0.00415694-0j 0.00195026-0j -0.0203002-0j 0.0172006-0j -0.0234407-0j 0.047888-0j -0.0197669-0j 0.0129735-0j -0.00471468-0j -6.15437e-05-0j 5.21468e-05-0j -7.10646e-05-0j 0.000145181-0j -5.99269e-05-0j 3.93315e-05-0j -1.42934e-05-0j 
0.000455135-0j -0.000510546-0j 0.00023332-0j -0.00447858-0j -0.00327069-0j 0.00473651-0j 0.00474655-0j -0.00832473-0j 0.020966-0j 0.0197669-0j -0.0214693-0j -0.015679-0j -0.0202844-0j 0.0101333-0j 0.0456074-0j 6.35621e-05-0j 5.99269e-05-0j -6.50882e-05-0j -4.75337e-05-0j -6.14958e-05-0j 3.07209e-05-0j 0.000138267-0j 
-0.0162938-0j -0.00116635-0j 0.0224926-0j -0.00362058-0j -0.0026441-0j -0.000244348-0j 0.00342485-0j 0.00451643-0j -0.000587535-0j -0.000553933-0j -3.83928e-05-0j -2.80382e-05-0j 0.000507348-0j 0.000764674-0j 0.000507205-0j 0.0668531-0j 0.0630297-0j 0.00436856-0j 0.00319035-0j -0.0577291-0j -0.087009-0j -0.0577127-0j 
0.00295619-0j -0.00336057-0j 0.0022297-0j -0.00925848-0j 0.0189146-0j -0.0110414-0j 0.00887541-0j -0.00416397-0j -0.00311146-0j 0.00263638-0j -0.00359281-0j 0.00733992-0j -0.00302972-0j 0.00198848-0j -0.000722631-0j -0.0121292-0j 0.0102772-0j -0.0140056-0j 0.0286127-0j -0.0118106-0j 0.00775157-0j -0.00281698-0j 
-0.00305314-0j 0.00342485-0j -0.00156516-0j 0.00956212-0j 0.00698318-0j -0.0101128-0j -0.0101343-0j 0.017774-0j 0.00321351-0j 0.00302972-0j -0.00329066-0j -0.00240316-0j -0.00310904-0j 0.00155315-0j 0.00699037-0j 0.012527-0j 0.0118106-0j -0.0128278-0j -0.00936807-0j -0.0121198-0j 0.00605455-0j 0.0272501-0j 
