-0.158114-0j -0.166667-0j -0.0555556-0j 0.188982-0j 0.144338-0j 0.33541-0j 0.294628-0j -0.25-0j -0.125-0j -0.182574-0j 0.204124-0j 0.117851-0j 0.375-0j 0.252591-0j -0.188982-0j -0.144338-0j 0.158114-0j 0.306186-0j -0.117851-0j -0.0680414-0j 0.102062-0j 0.208333-0j -0.0645497-0j 0.0589256-0j -0.0322749-0j 0.0684653-0j -0.0152145-0j 0.00704295-0j -0.00117383-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0.158114-0j 0.166667-0j 0.0555556-0j 0.188982-0j 0.144338-0j 0.111803-0j 0.0589256-0j -0.25-0j -0.125-0j -0.182574-0j -0.204124-0j -0.117851-0j -0.125-0j -0.0360844-0j -0.188982-0j -0.144338-0j -0.158114-0j -0.102062-0j 0.117851-0j 0.0680414-0j 0.102062-0j 0.0416667-0j 0.322749-0j 0.294628-0j 0.355023-0j 0.25104-0j 0.289076-0j 0.204246-0j 0.0645604-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.0816497-0j -0.117851-0j 0.251976-0j 0.340207-0j -0.144338-0j -0.0721688-0j 0.210819-0j -0.0833333-0j 0.240563-0j -0.0416667-0j -0.00931695-0j -0.129099-0j 0.272166-0j 0.362887-0j -0.154303-0j 0.235702-0j -0.0912871-0j 0.096225-0j -0.144338-0j -0.0721688-0j 0.210819-0j -0.117851-0j 0.340207-0j -0.0721688-0j -0.0208333-0j -0.0890871-0j 0.136083-0j -0.0745356-0j 0.096225-0j -0.0481125-0j 0.138889-0j -0.0416667-0j -0.0170103-0j -0.0235702-0j 0.0430331-0j -0.0107583-0j -0.00760726-0j 0.0093906-0j -0.00203313-0j -0.00030308-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.1-0j 0.144338-0j 0.154303-0j 0.0833333-0j -0.176777-0j -0.0883883-0j -0.129099-0j -0.306186-0j -0.176777-0j -0.255155-0j -0.102698-0j 0-0j 0-0j 0-0j 0-0j 0-0j 1.96262e-17-0j 0-0j -0.176777-0j -0.0883883-0j -0.129099-0j 0.144338-0j 0.0833333-0j 0.265165-0j 0.178609-0j -0.218218-0j -0.166667-0j 0.182574-0j 0.353553-0j -0.176777-0j -0.102062-0j 0.153093-0j 0.3125-0j -0.11547-0j 0.105409-0j -0.0658808-0j 0.139754-0j -0.0345033-0j 0.0174304-0j -0.00334077-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.057735-0j -0.0833333-0j -0.0890871-0j -0.0481125-0j -0.102062-0j -0.051031-0j -0.0745356-0j -0.0589256-0j -0.0340207-0j -0.0294628-0j -0.00658808-0j 0.182574-0j 0.19245-0j 0.06415-0j 0.218218-0j 0.166667-0j 0.129099-0j 0.0680414-0j -0.102062-0j -0.051031-0j -0.0745356-0j -0.0833333-0j -0.0481125-0j -0.051031-0j -0.0147314-0j -0.251976-0j -0.19245-0j -0.210819-0j -0.136083-0j -0.0340207-0j -0.0196419-0j -0.0294628-0j -0.0120281-0j 0.233333-0j 0.213003-0j 0.357541-0j 0.25282-0j 0.345288-0j 0.274589-0j 0.102655-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
