0.0070354-0.00214165j 0.000160393+0.00924027j 0.0103394-0.00304053j -0.00349075-0.00600275j -0.00456582-0.0004242j 0.00499368+0.000375154j -0.00337719-0.000572023j -0.00562549+0.000427211j 0.00682328+0.00395894j -0.00355439+0.00345055j -0.00727822+0.00303906j 0.00463153+0.00304303j -0.0037982+0.00105897j -0.00179123-0.00108302j -0.00676311-0.00542039j 0.00112864+0.0061273j -0.00553408+0.00284196j 0.00240105+0.00267883j 0.00253804-0.00441028j 0.000185857+0.00172717j 0.00753735-0.00211536j -0.000408992+0.000325091j -0.00788722-0.00304233j 0.00264361+0.00281927j -0.0102885-0.0033258j 0.000593941+0.00450806j 0.00130604+0.00114855j -0.00645357-0.00155548j 0.000961542+0.00409454j -0.00140193+0.00109135j -0.000279738+0.0013919j 0.00105992+0.00160449j -0.00463366-0.00261942j 0.010896+0.00502978j 0.0078771-0.00347095j 0.0103627+0.00658963j 0.0107827+0.00103415j 0.0160609-0.000653447j -0.00443902+0.0053307j -0.00481225+0.0129953j 0.0119148+0.00251208j -0.00530131-0.00109736j 0.0144254+0.0106682j -0.00243281+0.0058715j -0.00054097-0.00614437j 0.000852561+0.00103825j 0.00140454+0.00679766j 0.00372985-0.00747059j 0.00284128-0.00730235j -0.00177018-0.00321369j 0.00658093-0.00755426j -0.00120723+0.00303907j -0.00350836-0.0043698j -0.00253218+0.00102421j -0.00783834+0.010352j 0.00746496+0.00652048j -0.004174+0.00988854j -0.0171109-0.00865273j 0.000257811+0.00286279j -0.013728+0.00231966j -0.0333908+0.00207367j 0.0140926+0.00249584j -0.00673719-0.00030723j -0.00243957-0.00101896j 0.00793326-0.000845637j 0.00579468+6.74779e-05j 0.0857136-0.00416354j -0.0179007+0.00527923j -0.0521341+0.00227021j 0.00976552+0.0478275j 
-0.00211775+0.0081272j -0.00701411+0.000921843j -2.65794e-05+0.00289732j 0.00703455-0.00436157j 0.00247321+0.00176729j 0.00165829-0.000272851j -0.00371195+0.000911801j -0.000970626+0.00481786j -0.0074213+0.00235391j 0.000471207-0.00285883j 0.000360063-0.00529877j -0.00257871+0.00198229j 0.0021364-0.00464148j -0.00209838+0.000318642j 0.0016006-0.00117077j -0.00569993-0.00379189j -0.000315789-0.00013094j -0.00415514+0.000180056j 0.00212581-0.000808852j -2.23615e-06-0.000531189j 0.00301207+6.25054e-05j 0.00187041+0.00279858j -0.00237212-0.0008275j -0.0033761-0.000678679j -0.00122597-0.00165739j -0.00407267+0.00194146j -0.00367247-0.000284247j 0.000377696-0.00274367j 0.00189244+0.00192018j -0.00337654+0.00198402j -0.000805574+0.0036754j 0.00997225+0.00210747j 0.00422623-0.000790291j -0.00771259+0.00303468j -0.00675982+0.000920916j -0.00472032+0.00868886j 0.00952868+0.00593954j 0.00760026-0.00394279j 0.00912216+0.00405149j -0.00259682-0.00659104j 0.000678204+0.00853911j -0.00756557+0.000773655j 0.00187172-0.00218983j 0.0112581-0.00618499j 0.0270515+7.24696e-05j 0.000891391-0.00306194j -0.000303423-0.00744351j -0.00528692+0.00602058j 7.6872e-05+0.00378223j 0.000745155+0.00170372j 0.00715895+0.00322361j -0.00746268+0.00184669j 0.0060975+0.0045438j 0.00147042+0.0011697j 0.0062017-0.00306906j -0.0102268+0.0084161j -0.0204297-0.00185138j -0.0151255-0.00701548j 0.0106+0.00341672j 0.000555664+0.00865906j 0.00574543+0.00855354j 0.0737301-0.005451j 6.94133e-06-0.00027948j 0.00172249-0.000842621j -0.00107258+0.000267832j 0.0057069+0.000964566j -0.022774+0.00465192j -0.0581408-0.00258376j -0.00985306-0.0500842j -0.052004+0.00374142j 
0.00317513-0.007737j 0.00691402-0.00149296j -0.0104987+0.00679948j 0.0027281+0.00046067j 0.0112882-0.0123601j 0.0164129+0.00512095j 0.0119507-0.00178531j 0.0110443+0.000912019j -0.0172633+0.00518837j 0.0210732-0.0139637j 0.00157617-0.00227943j 0.0244446-0.00626644j 0.0107935-0.0072024j 0.00470419+0.000572554j 0.010031+0.00449102j 0.0117682+0.000536367j -0.000155835-0.00371384j -5.22006e-05+0.00449177j 0.00422079+0.00563949j -0.00424223+0.00186989j -0.00256105+0.000503172j 0.0106371+0.00667812j -0.00294885-0.000442156j -0.00744437+0.000409903j 0.0041628+0.00536702j -0.00273959-0.000380693j -0.00341164+0.00247193j -0.00156551-0.00678343j -0.00188268-0.00724721j -0.0054038+0.0044102j -0.00653949-0.00302633j -0.000290143+0.00849605j -0.00693613+0.00280783j -0.00320025-0.0108071j -0.00475021+0.00476703j -0.0165669+0.0372689j -0.0205497+0.00312791j -0.0141416-0.000296686j 0.037228+0.0132187j 0.0146207-0.00757288j 0.0206212-0.014272j -0.00600557+0.00274865j 0.00360567+0.00183602j 0.0130306-0.0025134j 0.0307795+0.00032267j -0.00347867-0.00243935j -0.006823-0.00831175j -0.00271238+0.00538107j -0.000271096-0.00257349j 0.0198617+0.00259472j 0.000694567+0.0100237j 0.00318417+0.00352718j 0.00939186+0.0039871j 0.0205287-0.00269517j 0.0446159-0.00659594j 0.0205709+0.0041201j -0.0349073+0.00482675j 0.0123823-0.00259032j -0.00305519-0.0144419j 0.00804317+0.00797015j -0.00802197-0.00658264j -0.00297078+0.0110102j -0.00209459+0.00110056j -4.16888e-05+0.0014946j 0.00205337+0.00415737j 0.0111187+0.0019426j -0.00437567+0.011704j 0.00121311-0.0190257j -0.0145438+0.0171853j 0.0185669+0.0138356j 
0.00197633-0.00563401j 0.000939417+0.00576031j -0.00428134+0.000899878j 0.00600921+0.00432127j 0.00971299-0.00268156j 0.00591971+0.00330546j 0.00748005-0.00357585j 0.00555984-0.00430951j -0.00740725-0.00432582j 0.0109271-0.000813023j -5.87426e-06-0.00262897j 0.00366698+5.17881e-05j 0.00128216+0.0144289j -0.000799255+0.0066625j -0.00538787+0.00531732j 0.010143+0.0120298j 0.00368463-0.00773171j -0.00667549+0.000268695j 0.00389777+0.0097664j -0.00309378-0.00289558j -0.00368718-0.00166934j -0.00231805-0.00264745j -0.00595483+0.0068054j 0.00247816+0.000787037j 0.0107703+0.00456361j 0.00193654-0.00599332j 0.00334104+0.00855387j 0.00489934+0.00243827j 0.00929026-0.00201671j 0.00554994-0.00077866j -0.00631656-0.00396533j -0.0152519-0.0196198j -0.00143936+0.00358664j -0.000143889+0.00145099j 0.0213892+0.00558726j -0.00539958-0.0175176j -0.00230231-0.0216129j -0.0381333+0.0236724j 0.00350923-0.00112779j -0.000910427+0.0171775j 0.00706673+0.000444571j -0.00473913-0.00212638j -0.00273316-0.00983783j -0.01495+0.00673067j -0.00931692+0.0168942j -0.000419143+0.00465953j -0.00231273+0.00744412j 0.0048162-0.00371738j 0.00306422-0.0027429j 0.00148644-0.00206232j -0.0100297-0.00318147j 0.00307953-0.00216607j -0.00584411-0.00143215j 0.00740872+0.00189831j -0.00769552-0.00396484j 0.0286124-0.00495388j -0.00250667-0.0159999j -0.00909766+0.000345283j -0.0196519-0.00416928j -0.0513482+0.0114916j 0.0289251-0.0121068j -0.0175731+0.00647184j 0.00113493+0.00242084j 0.00138202+0.00122521j -0.00565886+0.000469519j -0.00433159-0.00275222j -0.0174619-0.029187j -0.0163406-0.0169592j -0.0245564-0.0166494j -0.0147069+0.0162066j 
0.00152631-0.000455241j -0.00163705-0.00101279j 0.00962355+0.00365979j -0.00861542-0.000470963j -0.0013112-0.00853629j -0.0112078+0.0111176j -0.0132284-0.0127152j 0.00685589+0.00722389j 0.0270774+0.0259033j -0.00952633-0.0110528j -0.00386829-0.00723586j -0.0138564-0.0150754j -0.00207213-0.0199994j -0.00758186+0.00281854j -0.0113041-0.0115165j -0.0188474-0.0121373j 0.00541149+0.0133056j 0.00695916+0.0152049j -0.0109323-0.00820029j 0.0073858+0.015065j -0.00407002+0.00591306j 0.0021958-0.0214353j -0.0044188+0.0127025j -0.000904056+0.0128761j 0.00246063+0.00457624j 0.00375968+0.0018633j -0.0102712+0.00590622j 0.00611982+0.000441687j 0.00777442+0.00465657j -0.00466243-0.003302j -0.000387167+0.00496928j 0.0227153+0.00411867j -0.00930316+0.00335055j 0.00334015+0.0146825j -0.0107715+0.00404836j 0.0122717-0.0312207j 0.000791638+0.00629001j -0.0159187+0.0174563j 0.0159228-0.00454603j 0.00435893+0.000215751j 0.000566242+0.0239467j 0.00672695-0.00967421j 0.0195232+0.0144584j 0.00130342+0.0150208j -0.0176247-0.00259593j -0.00870465+0.00356663j -0.0128379+0.0105515j 0.000231403-0.0124206j -0.00104314+0.00386286j 0.0123045-0.00390819j -0.000999765-0.0042723j 0.00782953+0.00137341j 0.0139843-0.00381329j 0.0081835+0.00168916j 0.00650713-0.000487094j 0.015457-0.00198977j 0.000484975-0.00452214j 0.00225908+0.00499536j 0.00817754-0.00453627j 0.00245567-0.0168355j 0.0178254-0.00836805j 0.0127926+0.00968219j 0.000828859-0.00153742j -9.39432e-05-0.00106443j -0.00160348-0.00181761j 0.00510915+0.00037701j -0.0213899+0.00311727j -0.00599315-0.0101561j -0.00169255+0.00293995j -0.000160504+0.0022798j 
0.0037409-0.00477625j -0.00228449-0.00323077j 0.0152021-0.00153473j -0.0160843+0.00699676j -0.0220025+0.0129498j -0.0251941+0.0184501j -0.0215109+0.00619123j -0.0188786+0.0136103j 0.0184664+0.00502301j -0.0252866-0.00698283j -0.00363857-0.00344912j -0.0277715+6.85806e-05j 0.00170392+0.00502392j -0.0116784+0.00979843j -0.010607+0.00765308j -0.0117202-0.0103505j -0.00742836-0.000666182j -0.00450986-0.00536763j 0.00364841+0.00306628j 0.00401471-0.0241686j 0.00462982+0.00183745j -0.000513216+0.00477208j -0.0043613+0.0101737j 0.00419797-0.0127739j 0.0077887+0.011753j 0.00327267-0.0032486j 0.00276987-0.00391032j 0.00117806-0.00537938j 0.0106194-0.0112469j 0.00451321-0.0047919j 0.0199832-0.00766676j -0.00159431-0.0205231j 0.00315252-0.00719733j 0.00381258-0.0141142j -0.00796593+0.00607024j 0.0132826+0.0257757j 0.00598936-0.00727298j 0.015414+0.00107007j -0.0158734+0.0153498j 0.0145808-0.0118887j -0.00628116-0.0158359j -0.00121616+0.00767966j 0.00503393-0.0089936j -0.00182812-0.00914571j -0.00883462-0.00195539j -0.00294767-0.00613408j 0.0019737-0.0149569j -0.00301009+0.0170297j -0.00223061+0.00679039j 0.00298506+0.00567629j -0.00298331+0.00947715j 0.000382917-0.00254028j -0.00683139+0.0122444j -0.00504301+0.000733775j -0.0186311-0.0145554j 0.0140669+0.00337125j 0.0121065-0.00540401j -0.00113587+0.00829325j 0.00259552-0.0174062j -0.0118664+0.0106861j 9.91144e-05-0.00514798j -0.00405311+0.00249591j 8.40998e-05+0.000863051j -0.00013726+0.000678739j -0.000414751+0.00376022j -0.00474058+0.00109243j 0.00434656+0.00860577j -0.00126903-0.0166903j -0.0121627+0.00201505j 0.00813366+0.00940288j 
-0.00320872+0.00202263j 0.000246714-0.00225765j 0.00949033+0.000522674j 0.00508497-0.000389504j -0.0186316-0.00186684j -0.0112585+0.0078023j 0.000530387-0.0182551j -0.0122381+0.0181666j 0.00708872+0.025194j -0.0158756-0.027778j -0.0105422+0.0043925j -0.0158432+0.00634961j -0.00815167+0.000309128j -0.00265839-0.0147549j -0.00751868+0.000519666j 0.00217511+0.00368943j -0.000683872-0.0150376j 2.84651e-05-0.00531477j -0.0067504-0.00181748j 0.00121813-0.00388535j 0.0108521-0.0257069j -0.00638267+0.00361875j -0.0129339-0.0166442j 0.0127458-0.000597035j 0.00271192-0.0392792j -0.00187745+0.0138054j 0.000290725-0.0112073j 0.00409495+0.0154922j -0.00304966+0.0114461j 0.00241286+0.014347j -0.00678725+0.0107043j -0.00519338-0.0190437j 0.00866457-0.000285384j 0.00219651+0.00314926j 0.0205088-0.0253015j 0.0170627-0.0264491j 0.0166339-0.0131607j -0.0153131+0.00230139j 0.000118716+0.00387344j -0.016182+0.0150633j 0.01141-0.021175j -0.00736472+0.00363461j 0.00405524-0.00662275j -0.00222192-0.00295163j 0.000198483+0.0093746j -0.00306291+0.000873451j -0.00764142-0.00195525j 0.000990273+0.00501184j 0.00423872-0.0110367j 0.00268898+0.00196687j 0.00443803+0.00617676j 0.00060172-0.00340787j -0.00114553+0.00515229j 4.93679e-05-0.00337782j -0.00456234+0.00571813j 0.00870878+0.000870564j 0.000925931+0.0125499j 0.00485248-0.0102349j -0.0128545+0.0088671j 0.00450405+0.0107938j 0.00546171+0.0151293j -0.0204859+0.00442897j 0.000283705-0.000696145j 0.000893627-0.00137771j -0.000760106-0.00244371j -0.000753298+0.000978478j -0.00378275+0.000836866j 0.0107186+0.00695012j 0.0073719+0.00256024j 0.00389483-0.00262953j 
0.000179022+0.00345599j 0.00335768-0.00372749j -0.0117322+0.00269211j -0.000978021-0.00654121j 0.0150999+0.0248462j 0.00611461+0.008834j 0.00547165+0.016992j 0.0105773+0.0261441j -0.00868447+0.019005j 0.0171322+0.0206976j 0.0111829+0.0126431j 0.00840216+0.011097j 0.00805361+0.00132681j -0.00222518-0.000702445j 0.00182744-0.0102586j 0.00771213-0.00238795j 0.00301158+0.0113912j -0.0111304+0.000642553j 0.00305169-0.00892801j -0.00426462-0.0227371j 0.00621411+0.00415758j -0.00393959+0.00172172j -0.0108151+0.0110182j 0.00317065-0.00536465j 0.00278643-0.0035786j -0.00490808+0.00904645j 0.00487657-0.0147972j 0.0039373-0.00475599j 0.00767316+0.00761804j 0.00448659-0.0105516j 0.00597002-0.000587112j -0.00186478-0.0255207j -0.00831299-0.00833142j -0.00371429-0.00834619j -0.00812397-0.0122641j 0.00644042-0.020593j -0.0049359+0.000221598j -0.0109484-0.00184383j 0.00825067+0.00102326j 0.0109242-0.00203419j 0.00210805+0.015705j -0.00609394-0.00491892j 0.00149638+0.00838158j 0.00655696+0.00713503j 0.00346527-0.00437933j -0.00269291-0.00110805j 9.04759e-05+0.00489725j -0.00576234-0.00229595j -0.0025712+0.00459513j -0.000775753+0.000662484j -0.00601043-0.00845328j -0.00354945-0.000828485j -0.00767747-0.00259936j 0.00151033+0.00701857j 0.00722943+0.00759229j 0.00452142+0.000978899j -0.00456771-0.00109814j -0.00720262+0.00735131j -0.00197865-0.00597566j 0.00184044-0.0141255j 0.00375771-0.000735201j -0.00117706+0.000100325j 0.000585117-0.00140843j -0.00120993-1.1987e-05j -0.000390308-0.00156201j -0.0013481+0.000153796j -0.0123767+0.00400276j 0.00136768-0.0038836j 0.00253246+0.0102555j 0.00481636+0.000600621j 
0.00118822-0.00573842j 0.00159623-0.000659911j -0.00353184+0.00207634j 0.00330966+0.00333962j -0.000439438-0.0124786j 0.00852934-0.00676628j 0.00286775+0.00357153j 0.00107063-0.0137012j -0.00937175-0.0261926j -0.000213942-0.0109389j -0.00535174-0.014587j 0.00553745-0.0112078j -0.000970595-0.0210826j 0.00338059-0.0100632j 0.00394812+0.00509022j 0.000805451+0.00962059j -0.0018382+0.0175283j 0.00354053+0.00486288j -0.00448431-0.00448644j -0.00115406-0.0256381j -0.0012061+0.0286006j 0.00431404-0.00365325j 0.0114648+0.00619095j -0.00503953+0.00336792j -0.00221038-0.014717j 0.00123236+0.0203541j -0.00329386-0.0380923j 0.00158261-0.0104301j -0.00405695-0.00449576j -0.00258452+0.00593251j -0.000726972-0.00230593j 0.00615339-0.0362999j 0.00554381-0.0227504j -0.000559471-0.0050118j 0.00291558-0.0383337j -0.000850551-0.0259567j -0.00572531+0.0191803j 0.00587657-0.00746347j 0.00560757-0.00960057j 0.00404911+0.000159107j 0.000802325+0.0168643j 0.0010961-0.00680417j -0.00254148-0.0045032j 0.000319904-0.00186426j 0.00753951+0.000827983j 0.000144892-0.00153937j -0.00424426+0.000629194j -0.00109249+0.00228043j 0.000291954+0.0171373j 0.00324792+0.00488747j 0.00268803-0.00221043j 0.00432297-0.00702082j 0.00454916-0.00298483j 0.0016284+0.00327004j 0.00591493+0.00585499j 0.00708777-0.000484488j -0.00624312+0.00417395j 0.0088874-0.00872399j 0.00421937-0.00599116j 0.000903673+0.00735961j -0.00722635+0.00173082j 0.00339559-0.00144618j -0.00141677-0.00185093j 0.000473548-0.00230725j 0.00169089-0.00373644j 0.00207161+0.000123576j 0.00332411+0.00246761j -0.00327615-0.00874815j -0.00846834+0.000327872j 0.00402784+0.00547155j 
-0.00293327+0.00305457j -0.00145845+0.00702416j 0.00534343-0.00869161j 0.00386443+0.00294157j -0.00280359-0.00540719j -0.00716745+0.00511207j 0.00197925-0.0145977j -0.0052914+0.00276704j 0.0115199+0.0122041j -0.00565393-0.000712494j -0.000176445+0.0101658j -0.00761303+0.00643395j -0.00343759-0.0102798j -0.00295222-0.0213148j -0.00375055-0.000525037j 0.00233066+0.0264405j -0.001337+0.0172651j 0.00146752+0.010255j 0.00740411+0.0484716j 0.00164133-3.59382e-06j 0.00152657+0.00668449j 0.000178112+0.0226415j -0.000469113+0.0295144j 0.00215628-0.00869615j 0.00273773+0.0220996j 0.0019295+0.0133415j -0.00746603-0.00678926j 0.000580625-0.0417531j 0.00246964+0.00321881j 0.000206626-0.0306018j -0.00187816-0.0174098j -0.00795463+0.0132317j 0.00296334-0.00564346j 0.00780654-0.0311105j 0.0115414-0.00374177j -0.0101247+0.0285085j -0.000552974+0.00434996j -8.98825e-05+0.00614706j -0.00612439+0.000912086j -0.0103752+0.0031842j -0.000903561-0.00929168j -0.00303378+0.00201047j 0.000755282+0.00459256j -0.0035809+0.000844772j -0.00215451-0.000599531j 0.00103588+0.00243285j -0.000416129+0.00964316j 0.00454002-0.00680914j 0.00275156-0.00235279j -0.00108088-0.00624982j 0.00561516-0.0035552j -0.00545802-0.00338398j -0.00143415-0.00126278j -0.00295329-0.0023483j -0.0108188+0.00649449j 0.00213077-0.0056199j 0.00419552+0.00478626j 0.00473686-0.00760766j -0.00660909+0.0153481j 0.000272152-0.00678071j 0.0102343+0.00367365j -0.00564452+0.00146083j 0.00108311+0.00328919j -0.00031004+0.0015115j -0.000787297+0.000220778j -0.00187768-0.00134457j -0.00654215-0.0121639j 0.00182742+0.0141193j 0.00911641-0.00589476j -0.0101714-0.00720055j 
0.00198601+0.00737629j -0.001674-0.00308226j -0.00341394+0.00323152j -0.00719551-0.0213021j 0.00455098-0.00953399j -0.00369051-0.0231787j -0.00824013-0.0315742j -0.00327672-0.0154911j -0.00176134+0.0188621j 0.00562777-0.0111289j 0.00647807+0.0108469j 0.00355136-0.0179671j 0.0138121+0.025097j -0.00297826+0.000143912j 0.00124081-0.00833306j -0.000638997-0.0261696j 0.00525951-0.00303195j 0.005677-0.00857509j -0.00155718-0.00168344j -0.00296799-0.030163j -0.001474+0.00390303j 0.000188675+0.000983567j -0.00844966+0.00778775j 0.00237633-0.00361136j -0.00513256+0.00571521j 0.00297211-0.00375741j 0.00310394-0.00518709j 0.00351081+1.00941e-06j -0.00190589+0.00416936j -0.00494903-0.022013j -0.00569299-0.00502629j -0.00269224-0.0298175j 0.0102291-0.00859859j 0.00856378-0.00286969j -0.00971715+0.00348396j 0.00503754+0.00799745j 0.00898836-0.00696171j -0.00465905+0.00320209j -0.00595438-0.00262937j -0.00131717-0.00104053j -0.00665907-0.00363108j 0.0104229-0.000980177j -0.00468131+0.000212322j -0.00192255-0.000847268j -0.00810042-0.00530188j 0.00396286-0.0023703j 0.00804569-0.00170415j -0.00700071+9.77421e-05j -0.00544287+0.00237892j -0.00780387+0.00316426j -0.00815827-0.00357781j 0.00629675-0.000230818j -0.00391674+0.000175174j -0.00105308+0.00171283j 0.00731818-0.0102221j -0.0159851-0.00129962j 0.00577135-0.012727j -0.00793268+0.0127201j 0.015061-0.00796214j 0.00163552-0.00284261j -0.0122535-0.0102167j 0.0108934-0.00472312j -0.000696737-0.000609891j -0.000334721+0.000329048j 0.000645083+0.002079j 0.000881535+0.000268647j 0.0121928+0.0035684j -0.000691675+0.00129462j 0.000226263+0.000461557j 5.20994e-05-0.0013224j 
