-0.00252735+0.0480945j -0.0279207-0.0696049j 0.00127749+0.038522j 0.0173619-0.000348518j 0.024883+0.0207956j -0.00903712-0.0484314j 0.0326785-0.0170274j 0.00701139-0.0753223j 0.00851568+0.00383219j -0.0111982+0.031947j 0.00251357-0.0176174j -3.49418e-05+0.0141996j -0.00472301+0.00477367j 0.00606566+0.0137383j -0.00364322+0.0150919j 0.00962574+0.0112857j -0.0255655+0.0104642j 0.00360649-0.0693325j 0.00352516-0.0234471j 0.0804526-0.101485j -0.0314771+0.0365235j 0.0189889+0.0188824j 0.00616564-0.0305129j -0.0359066+0.0519685j 0.0316582-0.00283603j -0.00881591+0.0398517j 0.0175329-0.0604116j 0.00410181-0.0312868j -0.00555867-0.0582171j -0.0231143+0.00192456j 0.0431082-0.0366974j 0.0156438-0.0172391j -0.00221601+0.0277022j -0.0280813+0.0112747j 0.0983423-0.0455927j 0.0297867-0.0295337j 0.0451191-0.0286465j -0.0712696+0.110219j 0.00895485-0.00354441j 0.0138883-0.0775437j 0.0364204-0.034643j -0.0122771+0.0220933j -0.0069317+0.00824839j 0.0232732-0.0365039j 0.032894-0.00958942j 0.0402125-0.0225523j -0.0316467+0.00256839j 0.0321587-0.0357445j 0.0360337-0.0270328j -0.0246859-0.00514828j 0.0330738-0.0417142j 0.0116991+0.00593402j 0.0126284-0.00503133j 0.0506216-0.0559326j 0.0504784-0.0487899j -0.0102406-0.0135035j -0.00838236+0.00700382j -0.0124633-0.00219285j 0.0154264-0.00954118j -0.0258749+0.00277584j -0.00565909+0.0454543j 0.00844704+0.0214455j 0.00766443-0.01984j 0.0228142-0.0231029j -0.00220722+0.00678804j -0.000885783+0.00609324j -2.31585e-05-0.0145276j 0.0100254-0.0169359j -0.00232531-0.00182111j -0.00781766+0.00881476j -0.0162525+0.000796679j 0.00193057+0.00370202j -0.00143973+0.00613933j -0.00852478+0.00707986j 0.0131646-0.0157956j 0.00449336-0.00457904j 0.00797816-0.00699158j -0.0129181+0.00545229j -0.000242015+0.000320191j -0.00332113+0.00880659j 0.0140733-0.0102293j -0.0141428-0.0104433j 0.0114707+0.0194442j -0.00444855-0.0121813j -0.00574234+0.0304717j -0.00293343+0.0135097j 0.00677433+0.00420524j 0.0067082-0.0149053j 0.0115233-0.00886025j -0.0241099+0.0424535j -0.0194553+0.0322104j 0.0310599-0.044154j -0.0461026+0.0408184j 0.112765-0.162321j 0.0748172+0.00367104j 
-0.0317074-0.0813103j 0.00490992-0.0537333j -0.002+0.0134681j 0.0254973-0.0473896j -0.0102059+0.0568865j -0.0258612-0.00558853j -0.00448416+0.0544946j 0.00143854+0.0231979j 0.0142776-0.00653005j -0.00107768+0.0110456j -0.0095156+0.00369417j -0.00241056-0.00931185j 0.0223786-0.022277j 0.00834508-0.019634j -0.00761656-0.0265023j 0.00187415-0.0362026j -0.030196+0.00805694j -0.0426424+0.0511533j -0.0336461-0.0032238j 0.0292862-0.0616127j 0.0285195-0.0308715j -0.0120182+0.0268819j 0.00490245+0.034155j -0.0392882+0.0619886j -0.00889169-0.0158602j -0.00162038-0.0219158j 0.061205-0.0307562j 0.0490152-0.0123944j 0.0287588-0.0126601j -0.0147022-0.00830979j -0.00781599+0.0289771j 0.0180564-0.0140544j -0.0112274+0.0813479j 0.0648242-0.0539236j 0.0168545-0.0185437j -0.0791532+0.00264646j 0.109651-0.140402j 0.105966-0.0135034j 0.0373972-0.0391444j -0.084652+0.121741j 0.00323975+0.00376019j 0.00646558+0.0128382j 0.00294487-0.00125706j 0.00726908-0.054168j 0.0107508+0.00828271j 0.00907457+0.0369599j -0.0226066+0.019542j -0.00936324-0.00837231j 0.000397577+0.0136832j -0.0292014+0.0187427j -0.00575723+0.00527085j 0.0224094+0.0131488j 0.0202378+0.00550204j 0.0346777+0.0383438j 0.0271829-0.0188848j -0.00481651-0.000159706j -3.88269e-05+0.00543917j -0.0189981+0.0162113j -0.0125467-0.00907684j -0.0181417+0.0203561j 0.0206501-0.0297004j 0.0178678-0.0190616j -0.0090295+0.0338762j 0.000644267-0.00987172j -0.000106193+0.00760592j -5.75574e-05+0.0104815j 0.00233072-0.0101039j 0.00592954+0.00253142j 0.00422846+0.00871204j 0.000665007-0.00365375j -0.0020574+0.0061761j 0.00351027+0.0041691j -0.00304403+0.00979127j -0.00134565+0.00153374j -0.0104483-0.0019889j -0.0117325+0.00302518j 0.00700072+0.0050615j -0.00102978+0.013696j 0.00606036-0.0113197j 0.00109348-0.00928252j -0.0122415-0.00738319j -0.0238068-0.00788337j -0.00871529-0.0092141j 0.00246909+0.0147592j -0.0172706+0.00814015j 0.0183219-0.0135756j -0.0291985+0.00844204j -0.0132742+0.0104877j -0.00976345+0.00229428j 0.0238174-0.0288721j 0.0255611-0.0477712j -0.00168575+0.00961222j -0.0519492+0.0699772j -0.0770613-0.00379162j 0.123783-0.157644j 
-0.0519021+0.0486335j 0.0725762-0.0228326j -0.00892721-0.0240777j 0.0537865+0.00694069j -0.0306672-0.0644476j -0.00333892+0.0328066j -0.0109616-0.0240417j 0.0654757-0.038044j 0.00176739+0.00633771j 0.0205573+0.0504722j 0.0442723+0.000763924j -0.00217389-0.0638105j 0.0153018-0.0199061j 0.0104019+0.0403344j 0.00285749+0.0283825j -0.0367927+0.0164368j -0.0292513+0.0451249j 0.0693764-0.103675j 0.0531132-0.0249594j 0.122066+0.0344026j -0.0267246+0.0797343j 0.0392316-0.0542304j 0.080513+0.0383895j -0.0370124-0.0648868j -0.00601691-0.0115576j -0.0142883-0.000134796j 0.0286274-0.0210103j 0.0439378+0.0734818j 0.0806141+0.0396946j 0.0122484+0.023902j 0.0378054+0.0110486j 0.103617+0.00252932j -0.0594824-0.0149691j -0.00241455+0.044501j 0.0837755-0.027319j 0.0527664-0.067265j 0.0516952+0.134038j -0.144155+0.121491j 0.0199252+0.029041j 0.0890518-0.0896049j 0.0305789+0.0193041j -0.0246844-0.00278664j -0.00549704+0.00725742j 0.0218949+0.0214461j 0.00522578+0.00251274j 0.0169709+0.0189098j 0.014156-0.0249079j 0.00826048+0.0216014j -0.00955094+0.0193124j 0.00219493-0.0276467j 0.0253657+0.0171932j -0.00646002+0.0469405j 0.0115854+0.0370011j 0.0752548+0.0756245j 0.0650588+0.0332953j -0.00169995+0.0100267j -0.0134941-0.0064261j -0.000516895-0.0243036j 0.00290024-0.0106501j -0.0327116-0.00233853j -0.0345502+0.0190622j 0.000902587+0.00182056j 0.0383788-0.0192395j 0.0159375+0.0163749j -0.00698534-0.00739762j -0.003201-0.00035827j 0.0252729+0.00974534j 0.0198259+0.00557362j 0.0127446+0.00134023j -0.00569801+0.00620007j -0.0082987+0.0019891j -0.00657847-0.00169325j 0.0192076-0.00247305j -0.0124807-0.00879337j 0.023019-0.0161944j 0.00120595-0.022337j -0.000415812-0.00191234j -0.00292058-0.00201495j -0.0069703+0.00467744j -0.0346743+0.00247051j 0.00114496-0.00190686j 0.00614342+0.00210747j 0.00368663-0.0222504j 0.03663+0.00218327j -0.022361-0.0233361j 0.0120199-0.0213198j -0.0119229-0.0202765j 0.0114403-0.00186842j 0.00408988-0.018436j -0.0328522+0.0151877j -0.01598+0.0424084j 0.0228439+0.0106567j -0.0410122-0.0365926j 0.114258-0.0747749j 0.0208611+0.0542059j 
0.0687328-0.0269324j 0.0591234-0.0575984j 0.0347536+0.0223131j 0.0248362-0.0542661j -0.0312309-0.00729653j 0.0347188-0.017898j -0.0595071-0.0494743j -0.000194027-0.0495065j 0.00579885-0.0124867j -0.0131676+0.0397266j 0.0147729+0.00285261j 0.0149148+0.000791992j -0.00280775-0.0573086j 0.0464644+0.0199082j 0.0249713+0.0378359j 0.0319238+0.0231549j 0.0407683+0.0119038j -0.0780337-0.0156113j 0.0228738-0.0761322j 0.00430801-0.138404j 0.0628515+0.0163269j -0.0330503+0.0139689j -0.0555744-0.000395208j -0.0301942+0.0535634j -0.0730059-0.0122224j -0.0387916+0.00275548j 0.0457147-0.0500599j 0.00722713+0.00878541j 0.074998+0.00201005j 0.0460657+0.00726237j -0.0105085-0.0350807j 0.00674747-0.00582351j -0.0721988-0.0130946j 0.0780988-0.00125048j -0.000285081-0.122829j -0.0368536-0.00323094j 0.182014-0.0803012j 0.0553089+0.0896874j 0.0349824-0.0231905j -0.111126-0.045547j -0.00417935-0.0645957j -0.0135717+0.0293963j 0.00528269-0.00141362j 0.0437717-0.0373928j -0.0248507-0.036649j -0.0302967-0.0495474j -0.00651983+0.031994j 0.00526176-0.0388284j -0.0179901-0.0359159j -0.00348675+0.0258954j -0.00157684-0.0399348j -0.0136334-0.0178809j 1.34957e-05-0.0170467j -0.0347872-0.09982j 0.00839703-0.0772054j 0.0259592+0.00739366j -0.00969829+0.0139326j 0.00654783+0.0257687j -0.00178937-0.00245847j 0.0125421+0.0353499j 0.00749104+0.0300787j -6.24281e-05+0.0135418j -0.0324326-0.0095598j 0.00130452-0.0206931j -0.00611533+0.00470443j -0.0171116+0.000359672j 0.0195494+0.00499987j -0.00531842-0.0173827j -0.00568721-0.00556512j -0.00180636+0.00979646j 0.0133038+0.0211262j -0.00387942-0.00328451j 0.00857472+0.00431295j 0.0173327+0.0111225j 0.00532407-0.0140874j -0.00167027-0.00207688j 0.000262474-0.00586822j -0.00465568+0.0133417j -0.0075495-0.0120317j 0.0175487+0.0254813j -0.0106202+0.0106185j 0.0253818+0.0118595j -0.0388327+0.0166611j 0.00277051+0.0100038j -0.0199699+0.0211846j 0.0263889-0.010125j 0.00522127-0.00846625j -0.000138528-0.00873416j -0.00149883-0.0164037j 0.0327772+0.0538981j 0.0499939+0.0116143j -0.0272385-0.0081443j -0.0265699+0.0412407j -0.0236016-0.045989j 0.0943634-0.081991j 
-0.0188656-0.00299919j -0.0303001-0.0185615j -0.0126652+0.0707845j -0.00808185+0.0851358j 0.0197205-0.0138055j -0.00637355-0.0532333j 0.00839016+0.0521927j -0.0843308+0.0453299j 0.0430048+0.103093j -0.162983-0.0902739j -0.0344489-0.0095659j -0.00721975+0.229185j -0.0962374+0.0568398j -0.00508079-0.145273j -0.0943884-0.000785916j 0.0839825+0.0165605j 0.0210491-0.11429j -0.140506+0.074336j -0.0252743+0.0264184j -0.0171179-0.0928957j -0.00248347+0.0248573j -0.0230198+0.0265335j -0.0169488-0.0137974j -0.00890761-0.00511268j -0.049908-0.0122853j -0.003615+0.0158584j 0.0962353+0.0148862j -0.0213512-0.0143415j 0.0257992-0.015778j 0.00546905-0.034767j -0.00184254-0.00642109j 0.061635+0.0338299j -0.0515535-0.0465571j -0.00738118+0.0335504j -0.000293298-0.0539921j 0.0186625-0.0219938j 0.0703435+0.0303555j -0.0359324+0.0579171j 0.0118643+0.0166816j -0.0021033-0.0556493j 0.0031627-0.0202558j 0.00250851+0.0136931j -0.024353-0.00514298j 0.0109832-0.00661703j 0.00651933+0.00797304j 0.0293198-0.00600091j -0.00369357+0.00149939j 0.00663819-0.00586023j 0.00507666+0.00712934j 0.0010025-0.0225607j -0.00999053-0.0138206j -0.00523657+0.000464869j 0.00658125+0.00538447j 0.00331661-0.0135309j 0.0316754-0.0096534j 0.00839269+0.01168j -0.0156332+0.0149957j -0.018042+0.00388483j 0.0033753-0.00789386j 0.00300796+0.00668565j -0.00209375+0.0131922j 0.00688809+0.0198029j 0.0140839+0.014203j -0.00932817-0.0214623j 0.0103745-0.00799089j -0.013513-0.00101862j 0.0200811+0.00164788j 0.00534748-0.00132455j -0.000170833+0.000611252j 0.00330683+0.00787872j -0.00847369-0.00108603j -0.00154156+0.00100532j 0.00815003-0.00382939j 0.00294726+0.00856448j -0.00302039-0.0120615j 0.0136829+0.00657564j 0.00129948+0.00223107j 0.00946293+0.00445394j 0.00709977+0.00640021j -0.00485696+0.0128517j -0.000908755-0.00407496j 0.00459676-0.000493301j -0.00568043-0.000625996j 0.0271041+0.00436999j -0.00782886+0.010251j 0.00748955-0.00601679j -0.0030859-0.0242046j -0.0102006-0.0133962j -0.00829688+0.000382791j 0.017511+0.0131562j 0.0165638-0.00211603j -0.00687116+0.00700377j -0.0210194-0.00895258j 0.0138559-0.0239162j 0.0190285-0.0149111j 
0.0135396-0.0193798j 0.0280416-0.038161j -0.00995852-0.0523336j -0.00107499+0.132152j -0.0412356-0.00743084j 0.0190541-0.0405572j 0.0741799+0.0468395j 0.0399551-0.0209377j -0.00148248+0.0617417j -0.0726203-0.0543313j -0.044917-0.00117077j -0.0445413+0.0425149j 0.010897+0.119525j -0.0729375-0.123383j -0.0294025+0.00551185j 0.0554787-0.122604j 0.0253688-0.0169307j -0.129644+0.0754285j -0.0469398-0.114363j 0.103095+0.100336j 0.00236611-0.0275192j 0.00129786-0.00220314j 0.00199062+0.0222108j -0.027976+0.00154109j -0.00780754+0.0771712j -0.0436999+0.00124627j 0.00557497+0.0230548j -0.0419365+0.00899343j -0.00499884-0.0842789j -0.0266736+0.0353667j -0.0146934-0.0374697j -0.0657977-0.0677059j -0.00114462+0.0727128j -0.00626126+0.00353801j 0.0903829+0.0862526j 0.0197732-0.0600342j 0.0942473+0.00848505j -0.0789733+0.0561225j 0.0191129+0.0140434j 0.0127773-0.0150062j 0.0238953+0.0447467j -0.0226768-0.00419511j -0.00139292+0.0176283j 0.0311845+0.0193977j -0.0129961+0.0221508j -0.0356747+0.0142735j 0.0126618-0.00418055j 0.031858+0.0110852j -0.0113905+0.0361831j 0.00396425-0.0161938j 0.0341254+0.0246656j -0.0277646+0.0286637j -0.014097+0.0386632j -0.0156349+0.07596j 0.00859757+0.0204952j 0.0203051-0.0444157j -0.00433803+0.0216121j 0.00363592-0.0209465j 0.0261571+0.0200157j -0.00268129-0.0180632j -0.0178959+1.28572e-05j -0.0176531-0.0215323j -0.0155886+0.000716846j 0.017207+0.026713j -0.001168+0.00381471j -0.0071929+0.0140017j -0.0126769-0.0241063j 0.00285065+0.00592256j -0.00486649+0.00673646j -0.00498458-0.0147774j -0.0134521-0.0180019j 0.000346442+0.0119086j 0.00615337-0.00778799j 0.0112644-0.0161945j 0.0139444-0.0205896j 0.00203598-0.0264015j -0.0127105-0.00539324j 0.00477117-0.0296627j -0.00863015+0.0217366j 0.000706389-0.00686449j -0.00130653-0.000969626j 0.00127959-0.0404655j 0.00113438-0.00715716j -0.0369076-0.0158373j 0.00202751-0.0414411j 0.0077579-0.0178539j 0.0228814+0.0111613j 0.0174583-0.00327008j 0.0319151-0.0181322j -0.0183981-0.0223802j 0.00860646-0.000444426j 0.00574155+0.0284024j -0.0114902+0.0014525j 0.0411515-0.0449436j 0.0459266+0.0183806j 
-0.0318896+0.0141612j -0.00540247+0.00978492j -0.0117559-0.00475787j -0.105408-0.0543984j 0.026809+0.0331887j 0.0681637-0.0141107j 0.0283969+0.0104648j 0.0110307+0.00341715j 0.051376-0.0234242j -0.013115-0.0088277j -0.0357306-0.0535197j -0.005241-0.0304653j 0.0461179+0.0456169j -0.0043307-0.0444885j -0.0198001+0.0519215j 0.029381-0.116867j 0.0286857+0.0752807j 0.0122122+0.0768073j 0.0524907-0.0172398j -0.0705622+0.0507597j 0.0352591-0.0156304j 0.0204575-0.00588983j -0.0505403-0.0797573j 0.0366595-0.0386902j -0.0554654-0.0026173j -0.0331569+0.0236848j 0.00591582+0.039531j -0.0122814-0.111253j 0.0979574-0.0655551j 0.0215442+0.0480279j 0.0514395+0.021057j -0.0414545-0.155371j 0.00924001+0.126008j -0.0372561-0.0259143j -0.0113454+0.120862j -0.019527-0.0248965j 0.00105264-0.0223596j -0.068656-0.0377243j -0.0235781-0.0362312j 0.0285844+0.0128433j 0.016658+0.00255782j -0.00543241-0.00428229j 0.00615843+0.0150263j -0.00273782+0.0148665j -0.0165618+0.00615333j 0.000848505+0.00778641j 0.0370594-0.00187089j -0.0174444-0.00889487j -0.00584614+0.00398816j 0.0220483+0.00298159j 0.00477058+0.0157677j 0.00622348-0.00413272j -0.021972-0.0300701j -0.00374868-0.0302027j -0.0140717-0.0218155j 0.00890834+0.0160898j -0.00874571+0.0108549j 0.0305244+0.00296854j 0.00110095+0.00734532j 0.0293881+0.00567109j -0.00851719-0.0293053j -0.0257954-0.0252887j 0.0214002-0.0123364j -0.0168411-0.000922387j -0.000675445+0.0142976j -0.0150358+0.00251462j 0.0118403-0.0189316j -0.0115573-0.0083099j -0.00302901-0.00297496j 0.0100089-0.0197153j 0.0287499+0.0036738j 0.000596201+0.00512997j 0.00915757-0.00983515j 0.0196632-0.00715608j 0.00278075-0.00169898j 0.0309215-0.00192652j -0.0206036+0.000565565j 0.0103379-0.00184294j -0.012797-0.0082104j -0.00939232-0.00623824j 0.00282729-0.0189376j 0.0129444-0.0306775j -0.0102357-0.0280099j -0.0116571-0.0144343j -0.00584949+0.0385995j 0.0205087+0.0217264j 0.0210997+0.0465006j 0.00690924-0.00155151j 0.00515359+0.0095711j 0.0188682-0.0256083j -0.0118987+0.00758712j -0.0142843+0.00539422j 0.0225962+0.00339894j 0.0338289+0.0088889j -0.0236442+0.00417706j 
-0.0128831+0.0372515j 0.0305506+0.0673657j -0.00461818+0.0793055j 0.0756241-0.0105111j 0.017598+0.0062955j -0.0269001+0.0370288j 0.0417229+0.0104631j -0.0307986-0.0372264j 0.031337+0.0585026j 0.00758829-0.0431011j -0.0349807+0.0208398j 0.026376+0.115151j -0.0266634-0.000160614j -0.0110748-0.00461314j -0.0208118-0.108742j 0.0122966+0.134647j -0.0576716-0.0324271j 0.0231023-0.0106851j -0.0749991+0.0682539j 0.0434159-0.112264j 0.0167937+0.0514007j -0.0187729-0.108876j 0.0683019+0.00986751j -0.0256999-0.0548365j 0.0420051-0.066003j 0.0717001+0.0252232j 0.0025862+0.0323277j -0.0185775-0.0254274j -0.0305793+0.00282544j -0.0360699+0.0935528j -0.0539805+0.00686394j -0.0052566+0.0437113j -0.0124999-0.047446j 0.00633691+0.000572074j -0.061974+0.0130862j -0.0355257+0.0019942j -0.0286204+0.088487j 0.0567498-0.0892429j 0.00567916+0.00926695j 0.0506059+0.0330603j -0.000608443+0.0135959j 0.0175214-0.00360212j 0.00309906-0.0100425j -0.00476823+0.0341199j 0.0158978+0.00359799j 0.0125655+0.0250367j 0.0178117-0.00953158j -0.0286689+0.0191706j -0.0206621+0.0094962j -0.00534686-0.0100629j -0.0126296+0.0152507j 0.0332941-0.00100907j 0.0402987+0.000204247j 0.0508744+0.0305256j 0.0280792+0.0476681j -0.0249344+0.00949941j 0.0097079-0.0136814j -0.012356+0.0135746j -4.59143e-05+0.00405077j -0.00992313-0.00544345j 0.015087-0.0126466j -0.00310905-0.022639j 0.0131571+0.0142689j 0.00656148+0.000738111j 0.00647454-0.00577649j 0.00889969-0.0156964j 0.00241755+0.0259976j 0.000604728-0.00337479j 0.00169203-0.0143277j 0.0016758-0.00289616j -0.00950432-0.00316024j -5.28904e-05+0.00118926j -0.00878177-0.00154349j -0.0113099-0.0135559j -0.0129954+0.0116292j -0.00766353+0.00888288j -0.00023663-0.00183753j 0.00123357+0.00982891j -0.0112174-0.00881267j 0.000311465-0.00399741j 0.0166144+0.0168433j -0.0196743+0.0127082j 0.0218968-0.0164557j 0.00940237+0.00463229j -0.0235415-0.0244477j -0.0136103+0.0255032j -0.0202963-0.00329212j -0.00440041-0.0052026j -0.0151446-0.00589054j -0.0193884-0.0023402j -0.00905865+0.000435104j 0.0114936-0.0131625j 0.00669172-0.0190863j -0.0196804+0.0641077j -0.0149528+0.0251213j 
0.00250312-0.0636201j -0.00840784+0.0450213j -0.0730773-0.00211849j 0.0478787+0.164348j 0.025102+0.070109j 0.0181377-0.010517j 0.00943608-0.0627108j 0.0395994+0.0562665j -0.00693479+0.0224377j 0.00960334+0.0048701j -0.0515119-0.0201775j -0.0383065-0.103038j 0.0889323+0.0303665j -0.0771342-0.020638j 0.0291778+0.0394257j -0.0232979-0.00482821j -0.0231574-0.035757j -0.00019961-0.0616293j 0.0249514-0.0614867j 0.0101467+0.0705655j -0.034623-0.0554576j -0.0111094-0.000583134j -0.0278447+0.042164j -0.00373468-0.0249497j 0.076552+0.0338305j 0.0616647+0.0459412j -0.0146505+0.0026304j -0.0331559+0.0589798j -0.039493+0.0775744j -0.0526641+0.0566148j -0.0401672+0.00112727j -0.046574+0.0946885j 0.0514204-0.0284001j -0.00454178-0.023226j 0.097825+0.0551853j -0.0289087+0.0325642j 0.00500912-0.00887379j 0.060247+0.0117753j -0.00155466-0.0058648j -0.0283484+0.0892147j 0.018766+0.00815609j -0.00100646+0.00413881j 0.0192445-0.00442985j 0.0225137-0.0278759j 0.0155247+0.0313075j 0.0114069+0.0336269j -0.00974288-0.00233232j -0.00326545-0.00656678j 0.0232354+0.00916259j 0.00473009-0.00854819j 0.00669551+0.0072305j -0.00173693+0.0274961j -0.0136587+0.032474j -0.0113942+0.0605079j 0.010755+0.0376165j -0.00728457-0.0146401j 0.0165241+0.0073986j 0.00159899+0.00155106j 0.0255596+0.00306515j -0.00260103-0.026188j 0.00851555-0.0147072j -0.00570675+0.00962975j -0.0232843+0.0275107j 0.016202+0.0106766j 0.0107799-0.00194922j 0.00116269-0.00609287j -0.0227958+0.0125066j -0.00359997+0.0111888j -0.0117116+0.0114775j -0.0184216+0.00826332j -0.0126632-0.00401777j 0.00780462-0.0194965j -0.0162525+0.000804562j -0.0174496-0.0115761j -0.00679555-0.00284653j -0.0135284-0.0148254j 0.00474474-0.00222547j -0.0112864+0.010508j 0.00896781-0.00372783j 0.00395213-0.00109818j 0.000522797+0.0126818j -0.00914943-0.00896177j 0.0200934-0.0205382j -0.00756434+0.0254998j 0.0116779-0.0401855j 0.000820945-0.0147963j 0.0173543-0.0145242j -0.00359035+0.00144497j -0.00278282-0.0187523j -0.0200007-0.0144072j -0.000487234-0.0017976j 0.0063496+0.0176337j 0.0180477+0.0034349j -0.0184221+0.0156107j 0.0349185-0.0306616j 
-0.00362447-0.0658303j 0.0475874+0.0218969j -0.0545107-0.0625432j -0.0347327-0.0779201j -0.0153212-0.0174415j -0.00671105-0.040368j 0.0337226+0.000656847j -0.0441301-0.0101085j -0.0877003-0.0450289j 0.0992192+0.0621219j -0.00502102-0.0656016j 0.0117755-0.109469j 0.058829+0.0441876j 0.0520367+0.104398j 0.0841013+0.0311244j -0.00294958-0.152349j -0.0260485+0.0644802j 0.110315+0.0850788j 0.0314665-0.150346j 0.0108598-0.00379499j -0.0038645+0.0423808j -0.0192826-0.0182157j 0.0324359+0.0296357j -0.0458268-0.0308172j 0.0150379-0.00854444j 0.00154598-0.0246084j 0.0276944+0.0773069j -0.0938523-0.105147j 0.00583004-0.0503478j 0.0194238-0.00802017j 0.0219033+0.0560683j -0.0349496-0.0384334j -0.0314288-0.019699j 0.00395579+0.0193785j 0.0526492-0.0157313j 0.0137062-0.0559035j 0.0493905-0.00109934j -0.000340615+0.0316504j 0.00406081+0.0051546j 0.0123544-0.00294948j 0.00817679+0.0101002j -0.00990438+0.0167588j 0.0129017+0.0024225j 0.0284707+0.0115513j -0.0149114-0.00818861j -0.0376469-0.00713889j 0.0257815+0.0106982j 0.00822889-0.00755693j -0.00302482+0.000193239j -0.0129118-0.00728566j 0.0293533+0.0127783j -0.004191+0.0113039j 0.00550946+0.027065j 0.0362618+0.0341582j 0.012754+0.00209702j 0.00240554+0.00422336j 0.0188023+0.00618365j 0.00779999-0.00343138j 0.013413-0.00846557j -0.000170837+0.0132518j -0.013-0.00487576j -0.000430523-0.0229941j 0.00189084+0.0109791j 0.00908649-0.0046488j -0.00823308-0.00916383j -0.0100097-0.00309419j 0.00225814-0.00551338j -0.0109661-0.00190287j -0.00666253+0.00391629j -0.00103356-0.00220168j 0.006586+0.00879473j -0.0103714-0.000845875j -0.00599314-0.0194752j 0.0157412+0.00594042j 0.00450122+0.000153315j 0.00118609+0.00265183j -0.00339663-9.51445e-05j 0.00541635+0.00287733j 0.00587433+0.0027308j -0.00824873+0.00459573j 0.0187773-0.00042618j -0.022797-0.0407282j -0.00410517-0.00458573j -0.00362721-0.0126414j -0.00751109-0.0189206j 0.0151377-0.0173427j 6.94535e-05-0.0113804j -0.000202504-0.000660723j 0.00820915-0.00134395j -0.00449194+0.0125236j -0.00217308-0.0219821j -0.00901625+0.034738j -0.00598777-0.00862359j 0.00366614+0.0137251j 0.0162321-0.0311127j 
-0.00434652-0.000598177j -0.00666088+0.0157573j 0.094188-0.125409j 0.0376119+0.1138j 0.0305265+0.0340865j -0.0154682-0.0609991j 0.0707376+0.028542j 0.0673922-0.119603j 0.165579-0.0308114j -0.00207178+0.0228065j -0.0673691+0.0898702j -0.0650106+0.0983124j 0.130132-0.0959386j 0.0141542+0.0169644j -0.013193+0.0187501j -0.144203+0.0229796j 0.0653734-0.0704936j -0.00529592+0.0384234j -0.146639+0.000967789j -0.00676481+0.0212897j -0.028601-0.00496337j -0.0113801-0.0164617j -0.0644013+0.0261442j -0.0171655-0.0645419j -0.0449163+0.0158158j -0.00769825-0.0831007j -0.00713257-0.0617478j 0.0222796+0.0502221j -0.0537874-0.0112148j 0.032553-0.0392501j 0.0158736-0.00844828j -0.0788656+0.0686008j 0.0528187-0.0987464j 0.0109677+0.0414333j 0.00912021-0.144484j -0.0520575+0.0312858j -0.0207222+0.0199474j 0.0419377+0.0584209j -0.00975204+0.0260771j -0.0270563-0.00093535j 0.00783629-0.0273392j 0.00971998+0.0157727j 0.0111586-0.0115559j -0.0263498-0.0273522j 0.00447941+0.00776747j -0.011139+0.0015001j -0.00652671-0.0280962j 0.013749+0.0601592j 0.0442588+0.0405262j -0.0028829-0.0304056j 0.0076543+0.00904051j 0.013744+0.017482j 0.0100989+0.0420676j 0.00222199+0.0623831j -0.0309992+0.00069094j -0.0127876-0.011476j 0.0195176-0.0117344j 0.0043303-0.0372616j -0.00066101-0.0264016j 0.00970588-0.00372925j -0.000171832+0.0090856j -0.0177645+0.0250825j -0.0108113+0.00770548j -0.01203-0.00822254j 0.00210278-0.0165842j 0.000266212-0.00356051j -0.0249499+0.0352522j -0.0156014+0.0217931j 0.0164471+0.00193805j 0.0028792+0.0179097j 0.00287139+0.0226184j 0.0147807+0.00252134j -0.0121793+0.00928472j 0.00600306+0.0177613j -0.0240607-0.00667776j -0.0134909-0.0239523j 0.0126547+0.0121651j -0.0135221-0.00406238j 0.0132571+0.0283244j 0.00301189+0.00774489j -0.0249618-0.000353019j -0.0222239+2.19041e-05j -0.022894+0.0223085j -0.0173508-0.00816644j -0.00512343-0.00461144j 0.00284468-0.0176569j 0.00297192-0.0441057j 0.00289852-0.00636519j -0.0055381-0.00975858j 0.0123286+0.0351466j -0.0272156+0.00503503j -0.000129354+0.0271015j 0.00587069-0.0280054j -0.0358262+0.0237902j -0.00752592+0.0154093j 
