0.0356175-0.302203j 0.0199444+0.0784018j 0.0176281+0.0120262j 0.00320543-0.00193914j 0.0113077+0.0323797j 0.0262396-0.0270201j -0.0101044-0.00453112j 0.000268002-0.00456536j 0.00430464+0.02402j -0.00521524+0.00035727j -0.00132314-0.00694435j 
0.0191891-0.0144758j -0.0166293+0.264893j -0.0149344-0.108216j -0.00731463-0.0133629j 0.0112195+0.0240982j 0.0253633-0.021531j -0.0130429-0.0379096j 0.00109293-0.00336131j -0.00306705+0.0341633j -0.0133674-0.0313303j 0.00526277-0.00451081j 
0.00593105-0.000857281j -0.00761689+0.0230469j 0.00484853-0.198511j 0.00531375+0.0681329j -0.00427313-0.0814834j 0.0469709-0.0473324j 0.00177037+0.0527176j 0.016606+0.0275354j 0.00181963+0.025756j -0.00561693-0.023389j 0.00741739+0.00611887j 
0.00535775-0.00429095j -0.00534292+0.0248065j -0.00757852+0.0152443j -0.0114703+0.0367452j -0.00482566+0.102635j 0.120699-0.0970142j -0.00482566-0.102635j -0.0114703-0.0367452j -0.00757852-0.0152443j -0.00534292-0.0248065j 0.00535775+0.00429095j 
0.00741739-0.00611887j -0.00561693+0.023389j 0.00181963-0.025756j 0.016606-0.0275354j 0.00177037-0.0527176j 0.0563254-0.0356943j -0.00427313+0.0814834j 0.00531375-0.0681329j 0.00484853+0.198511j -0.00761689-0.0230469j 0.00593105+0.000857281j 
-0.00526277-0.00451081j 0.0133674-0.0313303j 0.00306705+0.0341633j -0.00109293-0.00336131j 0.0130429-0.0379096j -0.0264812+0.0201401j -0.0112195+0.0240982j 0.00731463-0.0133629j 0.0149344-0.108216j 0.0166293+0.264893j -0.0191891-0.0144758j 
0.00132314-0.00694435j 0.00521524+0.00035727j -0.00430464+0.02402j -0.000268002-0.00456536j 0.0101044-0.00453112j -0.0320303+0.0198157j -0.0113077+0.0323797j -0.00320543-0.00193914j -0.0176281+0.0120262j -0.0199444+0.0784018j -0.0356175-0.302203j 
