-0.00571304-0.00119008j -0.0123739+0.00579336j -0.0102457+0.00650356j -0.00231753-0.00210341j -0.00209219-0.00713213j 0.00434653-0.00421952j -0.00625049+0.00628322j -0.00259668+0.0108025j -0.00645687-0.00500245j -0.00574578+0.0103213j 0.00107548+0.0166683j 0.0173438-0.00286784j -0.00359258-0.00476062j 0.0046056+0.00500635j 0.0165443-0.00465998j -0.00380815+0.00181077j -0.00860238+0.00443795j 0.014464-8.68049e-05j -0.015286-0.00839046j -0.0388653+0.0086986j 0.00534493+0.020797j 0.026418-0.0106309j 0.0242065-0.00334106j -0.00595431+0.00140241j -0.00294655+0.0401474j -0.00684609+0.000546506j -0.00912127+0.0113801j 0.00505521-0.00880895j -0.0123619-0.001197j -0.00790137+0.00677358j 0.0137081+0.00188729j -0.000571492-0.00206736j 0.00884722+0.00985804j 0.00668601-0.00728012j -0.0119852-0.0104662j -0.000612397-0.00864963j 0.0136475+0.00668482j 0.000836681+0.0023923j -0.0132397+0.00323829j 0.00260882-0.00696425j 0.00218438-0.00797679j -0.000122239-0.000254828j 0.00220521-0.00812377j -0.00585528-0.0105995j -0.00182742-0.00345829j 0.00264516+0.00399273j 0.00197129-0.00112867j 0.0130306-0.0232472j 0.006628+0.00387196j 0.004977-0.0154516j 0.00670437-0.00865232j -0.00433922+0.0113997j -0.00269702-0.00150961j -0.0129648-0.000101818j -0.00143252+0.00744313j 0.000968103-0.00440784j -0.00866156-0.00732977j -0.0186075+0.0117755j -0.00718581+0.0228313j -0.00512617+0.0103451j -0.0212964+0.013067j -0.0285592-0.0188969j 0.0760504+0.0207495j 0.0260013-0.0154909j 0.0317765-0.022159j 0.0146594-0.00830772j -0.0314246+0.0126293j 0.0100995+0.000862046j 0.0145038-0.00507939j -0.0353882+0.0269732j 0.00365531-0.00679693j -0.0051624-0.00510786j -0.00103665+0.000763943j -0.00163686-0.00426576j 0.0059815-0.00186537j 0.0112883+0.00853145j 0.000966519-0.00423434j 0.0177841+0.00617874j 0.0176382+0.00166857j -0.00485548+0.000587255j -0.00202558+0.0106848j -0.00927186+0.0101279j -0.00103418-0.00768881j -0.00399556+0.0070389j -0.00689347-0.00136963j 0.00890644-0.0183443j 0.000103283-0.00630001j -0.0209052+0.00675498j -0.00125851+0.053509j 0.00800802-0.0104054j -0.00851453+0.0407678j -0.05699+0.0045903j 
-0.0108665+0.00342164j 0.00368207+0.00352412j 0.00427593+0.00615955j -0.00575459+0.00855303j 0.00164707+0.00294036j 0.00575969-0.00135448j -0.0004063+0.00624551j 0.012164+0.00275616j -0.0132638+0.000757085j 7.22571e-05+0.00492795j 0.00265821-0.00639185j 0.00182813-0.0098324j 0.00256648-0.00491555j 0.0109482-0.0080593j 0.00332499-0.00770466j -0.00471846+0.00236964j -0.00126569+0.00908143j 0.000662665-0.00254265j -0.00213657+0.00447629j 0.0016831+0.00638521j 0.0122237-0.00218873j -0.0115227-0.0265607j 0.0140015-0.00817451j 0.00944048+0.0246138j 0.0329909-0.00621159j -0.00825096+0.00120597j 0.00903103+0.0126572j -0.00554525+0.0022816j 0.00421244+0.00521041j 0.00413153+0.00491681j 0.00122871-0.0128554j -0.00440661+0.0066477j 0.010323+0.0118859j -0.00334581-0.00287475j -0.0102788+0.0118547j -0.00803754+0.000633082j 0.00593256+0.00120439j -0.000948203-0.00279474j 0.00288819+0.0163092j -0.00589329-0.00385716j -0.0113936+0.0033275j 0.00498446+0.00378425j -0.00459696+0.00236485j -0.00169284-0.000257958j -0.0022516+0.00314181j 0.000798281-0.00431238j -0.00331249-0.00188773j -0.0104187-0.0040867j -0.00209821+0.00111459j -0.00589212-0.00758559j -0.00364149-0.00839585j -0.000891706+0.00112689j -0.000576709-0.00587817j 0.00268906+0.0198863j -0.00781599+0.00947421j -0.00662956-0.0178292j -0.00132817+0.0198444j 0.00496432-0.0128015j 0.0299834-0.0028008j 0.038788-0.00714945j 0.0136461+0.0123784j 0.0184813+0.0172187j 0.0675382-0.0462404j -0.00957328-0.00556367j -0.0429309-0.00682462j -0.0189219-0.00775772j 0.0101456+0.0116083j 0.00135735-0.00311231j -0.016435-0.00184419j 0.0618139+0.00649071j -0.0139174-0.0103294j -0.0186201+0.0111123j -0.00170759+0.0165684j -0.00345698-0.00158469j -0.00555228+0.011204j 0.0118622-0.00748025j -0.00637346-0.0082812j 0.0167992-0.0085899j 0.00629416-0.0106818j -0.0165279-0.00579558j 0.000262625-0.00029673j -0.0129495+0.0137709j 0.0027626-0.00417289j 0.00207271-0.0116834j 0.00766449+0.00656255j 0.0183976-0.000237044j -0.000715647-0.00410697j 0.00122459-0.040385j -0.0119491+0.0138811j -0.00932647+0.0441164j 0.0587949-0.00593872j -0.00707392+0.0411177j 
0.00538819+0.00431498j 0.00262882+0.00011775j -0.01611-0.010453j -0.00318087+0.0071119j -0.0442345-0.00209174j 0.0337141-0.00954489j -0.000328704+0.00616019j -0.00343091-7.19707e-05j 0.0177869+9.39928e-05j 0.00953378+0.0034316j -0.0122447-0.00117157j 0.020481-0.00118728j 0.00720235+0.00619903j -0.0300233+0.00203952j 0.00595754-0.00669638j 0.0170585+0.00530941j 0.0121862+0.00693863j 0.00493438-0.00161395j -0.00151115+0.000327906j -0.00765664-0.0026097j -0.0139947-0.00858024j -0.0102508+0.0153694j 0.0130599-0.00912401j 0.0098431-0.00655925j 0.0287451+0.0315197j -0.00959755+0.0131767j -0.00732827+0.0163278j 0.00987632-0.00896009j -0.0188087-0.0178314j 0.0073919-0.00461012j -0.000746607-0.000190859j 0.00686443+0.0186173j 0.00058079-0.0123428j -0.00399303-0.00830037j 0.00625187-0.0182265j -0.0010612-0.0095174j -0.00191643+0.00279673j -0.00212592+0.00180572j -0.00303865+0.00797312j -0.0058121+0.00757551j -0.00943493-0.0009332j 0.000849713+0.0031624j -0.000197546-0.00580622j -0.00563002-0.00346583j -0.00476312-0.00218251j -0.00239262+0.0174976j -0.000217464+0.00817433j -0.00186372-0.00609552j -0.00222199-0.00742059j 0.00366153+0.00326376j 0.00612609-0.00434761j 0.00317864-0.0155375j -0.00146959-0.0252358j 0.00982589-0.0161506j 0.00934438+0.0395025j 0.0129763-0.00888003j -0.00559509+0.00815337j 0.0132535+0.00561321j -0.00144674+0.00488522j -0.000482858+0.00188386j 0.0127006-0.00722898j 0.015587-0.0133018j -0.0182942-0.00534844j -0.00276233-0.0200493j -0.0139147-0.00345118j -0.00957935-0.00902705j 0.0180841-0.00475851j -0.0103556+0.0053793j -0.00603388+0.00918257j 0.0218739-0.0147502j -0.00534912+0.0141404j 0.00250591+0.00285077j 0.00132612-0.00750574j -0.00169105+0.00449717j 0.00198409-0.00815902j -0.00511802-0.00868948j -0.000344728-0.00274079j -0.00847287-0.00137709j -0.00871939-0.0032134j 0.000118263+0.00399409j -0.00144357+0.000449181j 0.00766069-0.00769326j 0.00276548+0.00152714j -0.0131139+0.00801229j 0.00475867-0.00344444j -0.00418887-0.00609291j -0.00374334+0.0129537j 0.00396887-0.00233225j -0.00295919-0.0116804j -0.00875818+0.000322006j 0.00647065-0.0171859j 0.0260684-0.00408316j 
0.0027388+0.00880811j -0.00356124-0.00342581j 0.0182674-0.0216196j -0.0193738+0.00435153j 0.0431306-0.00795181j -0.0024141-0.0166501j 0.00852106+0.00994219j 0.0225939+0.0170029j 0.00969677-0.0228702j -0.0121627+0.0118132j -0.0138411-0.00234104j 0.0328036+0.0140561j 0.00738795-0.015981j -0.0303344+0.0135024j 0.0122225-0.00453944j 0.0183465+0.00604815j 0.0311195+0.0194958j 0.0177194+0.000543114j -0.00383378-0.00802069j -0.0139488-0.00964753j -0.00453769+0.0026739j -0.0124349-0.0173629j 0.012862-0.0007672j 0.0192622-0.00250389j 0.0262466-0.00316672j -0.0119642-0.02065j -0.00879121+0.0046601j 0.00641562-0.00884886j -0.0186557-0.00432234j 0.00230154-0.0106036j 0.00282788-0.00596322j 0.00392985-0.0168504j 0.0186417+0.0186499j -0.00127727+0.00399255j 0.00637947+0.00545699j 0.00206252-0.00289479j 0.00250681+0.00997386j 0.000197586+0.0015601j 0.00206783+0.00451946j -0.003566-0.00785773j -0.00763001+0.00238554j -0.00344292-0.00102668j -0.00162848+0.00659507j -0.00711681+0.00142783j -0.00179126+0.000502583j -0.00164574-0.0195288j -0.00334759-0.00202276j -0.00484844+0.000346985j -0.0078109+0.000210667j 0.00419251-0.00149459j 0.0113048+0.00537295j -0.000599116+9.70809e-05j -0.00559316+0.00915358j -0.00423779+0.00483129j 0.0154139-0.0221064j -0.000607513-0.0035996j -0.00447316+0.0117521j 0.00289103-0.000614437j -0.0087308+0.000793602j -0.00463485-0.0129708j 0.000510129-0.00114523j -0.000507427+0.0100138j -0.0281293+0.00415716j 0.0014993+0.0120006j 0.00406213+0.00563597j 0.00120404+0.00270333j 0.00821116-0.00176217j 0.00127465-0.00681603j 0.00157167+0.00260949j -0.00836884-0.0012556j 0.00438587-0.00476731j 0.00442258+0.000309285j 0.00387481-2.50291e-05j 0.00300066-0.00383207j 0.00220657-0.0010726j -0.00405582+0.00827228j -0.000460884+0.011725j -0.0108106+0.00212818j -0.0070731+0.000805575j 0.00688539+0.000128083j -0.00609434+0.00174287j 0.0104379-0.00315744j 1.52617e-05+0.00648259j -0.00328688-0.00596425j 0.00381991-0.00226216j -0.00193817-0.000154368j 0.000395358+0.00340257j 0.00219783+0.00506105j 0.0031796-0.0024934j -0.000924036-0.0105827j -0.0156665-0.00335558j 0.0151547-0.012881j 
0.0012118-0.00445441j 0.004891-0.00164518j 0.00510878-0.00335971j -0.00553672-0.0060038j 0.022373-0.0135149j -0.0107177-0.000396587j -0.00337318+0.0111047j 0.00215778-0.00910202j 0.00724334+0.0195292j -0.000270938+0.00707734j -0.000177642+0.0272239j -0.000557654+0.0219738j -0.00173425-0.0180342j 0.00622111+0.006637j -0.00181812-0.00477158j -0.000589887+0.00732502j -0.011793+0.000470032j -0.00125687-0.0228111j 0.0108267-0.0300087j 0.000778946+0.0325102j -0.0082458-0.025503j 0.00461242+0.00998275j -0.013323-0.00343077j -0.0152039-0.0280647j -0.033799+0.0514761j -0.0118299+0.0222194j -0.0120161-0.024817j 0.0116811+0.00398395j -0.00490718-0.0035117j -0.0012936-0.00701894j -0.00541158-0.00472896j 0.000388012-0.0266353j -0.0217899+0.0065927j 0.0023855+0.00332827j 0.0094879+0.0107429j 0.000440062+0.00620626j -0.00412537+0.0011048j 0.000928934-0.000439806j -0.00758633-0.00537369j -0.0021124-0.00983442j -0.00730349+0.00291247j -0.00808927-0.0027518j 0.00393483+0.00106704j -0.00116952-0.00130484j -0.000554872-0.0141028j 0.00198909+0.0078248j 0.00656756+0.00695283j 0.0117807-0.0119455j 0.000822682-0.0142805j 0.0124477-0.000497049j -0.0155483+0.0140224j 0.00927256-0.0120256j -0.00294062-0.00173495j 0.00912075-0.000320358j -0.00900553+0.0224898j 0.0260655+0.00397285j -0.0113973+0.0139009j 0.0141174-0.0207264j -0.00330423+0.0254466j 0.00149953-0.0141826j 0.0057724-0.0112996j 0.0165974+0.0112271j 0.0169357-0.0326536j -0.00924117+0.00738494j -0.0171629+0.0161811j -0.0110803-0.00256685j 0.0142404-0.0023659j -0.0090731-0.00504286j -0.013093+0.00278729j 0.0279088-0.0049636j -0.00382384+0.00493572j -0.00175909-0.00333492j -0.00486833-0.00910728j -0.00203352+0.00197477j -0.00197365-0.00248579j -0.0092634-0.00178745j -0.00180265+0.000688298j 0.00739261-0.0119063j -0.00530909-0.000954555j -0.0069666+0.00884816j -0.00147191-0.0115933j -0.0042476-0.00965471j 0.000699809+0.00134257j -0.0122817+0.0201229j -0.00651566-0.0111325j -0.00249229-0.0245848j -0.0149134+0.0204096j 0.00418479+0.00549696j -0.0280932+0.0159039j -0.0144358+0.0042653j 0.0140392-0.00843104j 0.000503601+0.0128476j 
0.0041737-0.0102168j 0.00222494+0.00278071j 0.0069179+0.00341087j 0.00562614-0.00201806j -0.0077511-0.0184304j -0.0147592-0.00518331j 0.000963316-0.0014449j -0.00541453-0.00885893j 0.00589912-0.00558644j 0.0025837+0.0200784j -0.00138808+0.010369j 0.00171744-0.00746363j -0.00908919-0.0136328j 0.0055677-0.00275379j -0.00606491+0.00893478j -0.0100723-0.00508221j -0.00299601+0.0033525j -0.00164267+0.0375578j -0.0101371-0.00305815j 0.0136971-0.0286519j 0.0355402+0.017023j 0.000716249+0.00169704j -0.00304717+0.00711484j -0.0203775+0.0256855j 0.00876868+0.00545028j 0.0186577+0.0107128j 0.00795113+0.00848127j 0.00483376+0.00387419j -0.0134193-0.000276541j 0.00543686+0.000769973j 0.0122037-0.00222798j -0.0122825-0.00681816j 0.00955741+0.0098101j -0.00800243-0.00682678j 0.000598649+0.00135038j -0.004193-0.00782948j -0.00341606+0.0174746j 0.00783555-0.000367016j -0.00133314+0.00464178j -0.00192422-0.0108912j 0.00497938+0.00598768j -0.00417644+0.00862317j -0.00469483-0.000913045j -0.00842751-0.0111073j 0.00209717+0.00314807j -0.00585492+4.9521e-05j -0.00678456+0.00243375j -0.0116244-0.0102199j 0.00394615+0.00838869j -0.00437815-0.0154687j 0.0157452-0.0182504j 0.0220913+0.00133576j -0.008886-0.0198763j -0.0137161-0.00200841j 0.00992882+0.0161022j 0.0237701-0.028877j -0.0333331+0.027151j 0.0159478-0.0125303j -0.0101677+0.00776283j -0.019688-0.0130905j 0.0302826-0.00400072j -0.0149943-0.0162006j -0.0159293-0.00194921j 0.00900374+0.00229468j 0.0103702+0.0073926j 0.0150898-4.79159e-05j 0.0111869-0.00360743j -0.0116183+0.00513672j -0.0015306+0.0191987j -0.00838655-0.0250599j 0.00682084-0.00137515j 0.00581946+0.011265j -0.00451258+0.00762027j 0.000271427-0.00486191j -0.00161332+0.00267244j -0.00859078+0.00756649j 0.00252261+0.0194752j -0.0206146+0.00741734j -0.0136197+0.000509162j 0.0104963+0.00788567j -0.00329889-0.00149663j 0.0142928-0.0185648j -0.00636463+0.00895903j -0.011544-0.0110673j 0.0130872-0.00598808j -0.00423561-0.00990283j -0.0109824-0.0188833j 0.0113143-0.0068134j -0.000988081+0.0266177j -0.0297035+0.00410726j -0.00671303-0.00895219j 0.00403705-2.16419e-05j 
-0.00307199+0.00423866j 0.00158145+0.00417419j -0.00171515-0.0115629j 0.0018085+0.0127335j 0.00121107-0.0328768j -0.00561979+0.017214j -0.00849796-0.00631842j 0.00608222-0.00720954j -0.00952566-0.000546961j -0.00146265+0.00646788j -0.00122318-0.0162178j -0.0137276-0.00478178j 0.00858499+0.000904647j -0.0148513-0.0113728j 0.00512583+0.00298051j 0.0101303+0.00176559j -0.00517505+0.00305484j -0.0101443+0.0121337j 0.00872772+0.0116834j -0.0149513-0.00563631j 0.022188-0.00160548j -0.00273388-0.00509147j 0.00840131+0.0219933j -0.00523057+0.00468865j -0.0065527+0.0100835j 0.00570653-0.0237681j 0.0104727+0.00554366j 0.0100968-0.000817034j -0.000815873-0.00427306j 0.00278156+0.00271363j 0.00340132-0.00699591j 0.0103494+0.00677503j 0.0081361+0.0152887j 0.00037577-0.00937274j 0.0155434+0.00316555j 0.00698806-0.00897605j -0.00052755+0.00898859j -0.000698881+0.000755518j 0.0101936+0.00979538j -0.010802-0.00257358j -0.0206873+0.00185655j -0.0191354+0.0108673j -0.0112756+0.010704j -0.0339723+0.0125912j -0.000136512-0.00630123j -0.0173074-0.0114578j 0.0121777+0.00300003j 0.00108368+0.0300338j 0.0237999-0.00174498j 0.0128212+0.00649037j -0.0166579+0.0181492j 0.0119894-0.000517169j -0.0245659-0.0035517j 0.013413+0.0229787j -0.0177625-0.00800442j 0.0125482+0.0128535j -0.00752303-0.00236083j -0.00868923+0.00702574j 0.0134981-0.00371199j -0.00512733+0.00722599j 0.0227574+0.00840611j -0.0142019-0.00914869j 0.0270808+0.0127077j -0.00169895-0.00737665j -0.0032122-0.00332966j -0.00736525-0.00591648j 0.00246754-0.00509948j 0.00113113-0.00937635j -0.00134285+0.0109512j 0.00430763+0.000964697j -0.00353017+0.005912j -0.00713151-0.000815513j -0.00128125-0.00591636j 0.00131694+0.00211189j 0.00472857-0.00517293j -0.00383725-0.00384665j -0.00499182-0.0131843j 0.0137459-3.03057e-05j 0.0107738+0.00397325j -0.00857208+0.0186445j -0.00216761+0.00605715j -0.00626792-0.00795348j 0.00489505-0.00416638j 0.00838572+0.00252026j -0.00133303+0.0229548j -0.00288491+0.00474925j -0.00291976-0.00639845j -0.00326176-0.011531j 0.0048708-0.0149264j 0.00413378+0.00948284j 0.0233599-0.00565029j -0.00349192+0.00764937j 
-0.00518777+0.000641294j -0.00031724-0.00503148j -0.000874354-0.0167644j 0.00558793+0.000688131j -0.00656959-0.0407389j 0.00571316+0.0147646j -0.00125816+0.00427644j 0.00219518-0.00665966j -0.0103135+0.00395794j 0.00512477+0.0153972j -0.00657251-0.00178122j 0.00356776-0.00576122j -0.00540941+0.00415687j -0.0104578-0.0089123j 0.00280856+0.0102396j -0.000711062+0.00545444j 0.0271158+0.00387396j 0.022514-0.00640568j -0.0183015+0.00196358j 0.028781-0.00310643j 0.0190513-0.0170918j 0.0237535+0.00265137j -0.0135303-0.0027926j 0.017103-0.00508869j -0.0123321-0.00766251j 0.00508475-0.0107089j 0.00205745+0.00109159j -0.00984259-0.0029045j 7.24006e-05-0.00707299j 0.00232925+0.0102349j -0.0061685+0.000382523j 0.000789251+0.0199604j -0.00368905-0.00933077j -0.00306497-0.014713j 0.00271909-0.0132363j 0.00116214-0.0122283j 0.00136437-0.00494693j -0.00433648+0.00142708j 0.00314185+0.0072527j 0.00827117+0.00168936j 0.00111626-0.00918722j -0.000853145-0.00749853j -0.011207-0.00334216j 0.00180732-0.00163513j 0.00607351-0.00261827j -0.00382375+0.0126954j -0.00429288-0.00502046j -0.00309077-0.00018565j 0.000944922+0.00608875j 0.00348317-0.0129577j -0.00270846-0.0198727j -0.0184493+0.0124949j 0.000208813-0.00537225j -0.0141762+0.0123739j -0.0196437-0.00450459j -0.021314+0.00248651j 0.0125625+0.00346624j -0.00661803-0.0125225j -0.00201891-0.0153991j 0.000177759+0.00674839j -0.0181416+0.0112211j -0.00670073+0.020225j -0.00553299-0.0191477j 0.00276863+0.00589571j 0.00839676+0.0017566j 0.00204177-0.00631923j -0.0117587+0.00340244j 0.0104659-0.00891261j 0.00820473+0.00254666j -0.0125059+0.0195549j -0.00268443+0.00265946j -0.00427591-7.48885e-05j 0.00696927-0.00363432j -0.00115113+0.000826344j 0.000767233+0.00111288j 0.0114356-0.00842962j -0.00136634-0.00233715j 0.0126195-0.00174764j 0.00182441+0.00400841j -0.00260375+0.000339865j -0.00137447+0.00424334j -0.00371099+0.00704482j 0.00696392-0.00520467j 0.0077825+0.00735659j -0.0120251+0.0107951j 0.0111825+0.000744034j -0.00250358-0.00217627j 0.00207604+0.0072883j -0.00624136+0.00260043j 0.0203164-0.00650859j -0.0194065+0.0192729j -0.015845+0.00364472j 
0.00114414-0.00369086j 0.000717903+0.00874264j -0.0106626+0.00571735j -0.00063688+0.0114775j -0.000465369+0.0153191j 0.00646026-0.00451205j -0.0156349+0.00650205j -7.45615e-05+0.0108765j 0.00518808-0.00935823j -0.00333469-0.0181337j -0.00977225+0.013158j 0.00302268-0.00900685j 0.0167286-0.0168716j -0.0213652-0.0102682j 0.00533822-0.00910862j 0.00724392+0.0047269j 0.0121432+0.0147224j 0.0174327+0.0121244j 0.00953677-0.00952952j -0.00279171-0.000767127j 0.0197524+0.00699422j 0.0171523+0.00858325j -0.00267727-0.00452886j -0.012131+0.000980569j -0.0232317+0.00665057j -0.0105455-0.00932471j -0.00820951+0.0220403j 0.00486854-0.00500214j -0.00753908-0.00675142j 0.00235341-0.000805102j -0.0020103-0.00132712j 0.00477517+0.0161906j 0.000483637-0.0141905j -0.00320245-0.00865795j 0.0082389-0.00329979j 0.00554478-0.00101112j -0.00199271-0.0091067j 0.00334107-0.00139336j -0.00277606+0.00330284j 0.0106654+0.0100634j 0.018372+0.00280615j 0.00474728+0.00240015j -0.00923963-0.00144262j 0.00352234+0.00177278j 0.0100984+0.00169291j -0.000789476+0.00498884j -0.00870398+0.000267694j 0.00578115+0.0279481j -0.000215656+0.0041491j -0.00441374+0.0126447j -0.0121383-0.00277301j 0.00203006-0.0129144j 0.00253558-0.0012527j -0.000522286+0.00528379j -0.00888648-0.0097939j -0.00556264+0.0044467j -0.00643937-0.0109789j 4.27301e-05+0.00616012j -0.000261461-0.00786739j -0.00192731+0.00350046j -0.00252955+0.00209061j -0.000403009+0.0100893j 0.015469-0.00021404j 0.00315387+0.00780608j 0.00074895+0.0164986j 0.0038592+0.0132193j -0.00167247-0.00803851j 0.00372602-0.000824782j -0.00241146+0.00349203j -0.0027657-0.023203j -0.000667882+0.00252821j 0.00189444+0.000507632j -0.000508825-0.00508529j -0.00128364+0.000998917j -0.00530446-0.00739933j -0.00347665+0.00996398j 0.00332419+0.0242539j 0.00909411-0.00834984j -0.00263911-0.00125861j 0.001179+0.0043999j 0.000808719-0.0175698j -0.00405392-0.0165691j -0.00598326+0.017999j 0.0154297-0.0132841j -0.0050855+0.0103359j -0.00530935+0.00997854j -0.00131857-0.0142674j 0.00119279+0.00379661j -0.000953638+0.00241243j -0.00727626+0.00624635j 0.00951952-0.00251681j -0.0195609+0.0134549j 
-0.00442119+0.00618894j -0.00275514+0.000104592j -0.00102537-0.00127165j -0.00539377+0.000596454j 0.00222331+0.00179753j -0.00311237+0.000110129j -0.00241399-0.00149375j 0.00259568-0.000985568j 0.00335531+0.0014473j 0.0162799+0.0116731j -0.0145206-0.00716869j 0.0116641+0.025446j 0.00700434-0.0109683j 0.00692585+0.0163928j 0.0117014+0.00447735j 0.0190955-0.00516178j -0.00328929-0.0183634j -0.000300153-0.0208434j -0.00535822-0.0188592j 0.0187042+0.00648005j 0.0191229-0.0146839j 0.0118372-0.000977826j 0.00274196-0.00380065j -0.0032823-0.00518596j -0.0015619-0.014115j 0.0119584-0.0125249j -0.0170692-0.0242528j -0.00240432+0.0131025j -0.00946128-0.00318506j -0.00634601+0.00293991j 0.000752906-0.00521222j 0.00763321-0.0149772j 0.00490356-0.00334297j -0.000404367+0.0129529j 0.000752433+7.63744e-06j -0.00328264-0.00332334j -0.00699218+0.0160942j -0.0104565+0.000755918j 0.00749831+0.002348j -0.0114192+0.00348394j 0.00584662-0.00767035j -0.0102426-0.0195316j 0.038806+0.000941585j -0.00313666-0.000380054j -0.0102556-0.00667004j 0.0102268+0.0112944j 0.0274351+0.000905189j -0.0187819+0.00295275j 0.010504+0.00292614j -0.00322858-0.0078372j -0.00614118-0.0216577j -0.00296224+0.0224808j -0.00337498+0.0119303j -0.00258403-0.0169558j -0.01381+0.00492952j 0.0109101+0.019366j -0.000249573-0.00598034j -0.00447598-0.0135741j 0.00622632+0.0125622j 0.00747111+0.0147586j 0.00973168+0.0126726j -0.00808949-0.00245643j 0.020476+0.00965712j 0.00563645+0.002272j 0.00408701-0.00656091j 0.00222359-0.00536225j -0.00921405-0.00143189j 0.00183585+0.00325229j 0.000884399+0.0142247j -0.00331961-0.00352057j -0.00152471+0.00743969j -0.00628879+0.000158614j -0.00668066-0.00660078j -0.0019702+0.00358108j -0.00122898-1.24314e-06j 0.00407274-0.00182449j -0.00393585+0.00249166j 0.0083264-0.000287893j 0.00871267-0.00142238j -0.00413956+0.0090734j 0.0165393-0.0161998j -0.0118759-0.0228358j 0.00111799+0.00567834j -0.003531+0.0057103j -0.00219408+0.00918806j 0.00292465+0.00406387j 0.00550552-0.017826j -0.00572699+0.00947746j 0.00783351-0.0048277j 0.00757252+0.002575j 0.0148838+0.00169885j -0.0103724+0.00564968j 
-0.00328239+0.00871335j -0.00181708-0.00107292j -0.00141229-0.0057638j -0.00635726-0.00203255j -0.0011658-0.00643147j -0.00310973+0.00164991j -0.00074393-0.00408751j 0.00610735-0.0035539j 0.00823958+0.0119631j 0.00645304+0.0115692j -0.000184209-0.00690967j 0.0143315+0.0306339j 0.00863507-0.00381735j -0.000435603+0.0171221j 0.00123555+0.000800254j -0.030173-0.0111783j 0.00855718-0.0141174j -0.0175998-0.0248884j 0.00719159-0.0156427j -0.00849075+0.0137429j 0.00676348-0.0158745j 0.00835515-0.00184506j 0.00177765+0.00283927j -0.01022-0.00589403j 0.00116646-0.00774135j 0.00684676-0.00178276j -0.0123324-0.0170106j 0.00321371+0.0131924j -0.00805077-0.00348947j 0.00408769-0.0116755j -0.00687213-0.00161282j -0.00491827-0.00503391j 0.00335933-0.0136727j 0.00099589+0.00462205j 0.00565733-0.0115532j 0.0104484+0.00145801j 0.00238404+0.00549426j 0.0132048-0.00711419j 0.0075448-0.0156024j 0.018529-0.0134838j 0.0130413-0.00227226j 0.00884108+0.0140133j -0.0338381-0.000643987j 0.00787445-0.00996964j 0.0083788-0.00491565j -0.0189563+0.00609886j -0.0221349+0.00104305j 0.0162047-0.00881932j -0.0071136+0.0110419j -0.0199412-0.0137623j -0.0212491-0.003694j 0.0143011+0.00552303j -0.0127813-0.0150268j -0.00215418+0.0170001j -0.00728553-0.00791871j -0.0108319-0.00743378j -0.0241698-0.0182159j 0.00716463+0.0126055j 0.0120285+0.012154j 0.000166785+0.00239383j 0.00929638-0.00117528j 0.00549828-0.00273233j 0.0271206+0.00774273j -0.00249951-0.0058412j -0.00784638+0.000803134j 0.00489179-0.000386929j 0.00157991+0.00111377j -0.00482759+0.00173791j -0.00590687-0.00681006j 0.00724064-0.00626324j -0.00185935-0.00200256j 0.00111036-0.00312757j 0.00409049-0.00153759j -0.00406033-0.00242023j -0.000950225-0.00821145j 0.00887879+0.00191471j -0.00412+0.0101097j 0.0135167-0.00297959j 0.00770504-0.00359046j -0.00353763-0.015256j 0.0020969-0.00737994j -0.00484113-0.00764622j -0.000424122+0.0137649j 0.00378055-0.00307677j 0.00553375-0.00161737j 0.00543499-0.00942048j 0.00303407-0.00266387j -0.00592724+0.00544226j -0.00299576-0.00146304j 0.00393957+0.00358019j 0.02262-0.00491656j -0.000252183+0.00389922j 
