1.26778-1.27802j -1.88711-0.819584j 0.158836+0.088393j 0.723137-1.05791j -1.52434-0.839199j -0.612843+0.395252j -0.377264-0.545249j 0.577974+1.00919j -0.243386-0.676073j -0.445131+0.265526j 0.852252+1.73763j -0.603696-0.501577j 0.843004+0.204911j 0.823258-0.471826j -0.242166+0.0146076j -0.957812+0.0771137j 0.415543-0.684047j 0.155319-0.585374j -0.0285867+2.1362j -0.450739-0.603584j -0.224712+0.523456j 0.20602+1.15783j -0.352171+0.199709j 0.724481+0.44482j 1.23776-1.72273j -1.11347-0.773685j 0.223075-0.436867j 1.31747-2.06397j -3.41903-0.355641j -1.94073-0.617171j -0.700895-3.38547j -0.440102-0.891214j -0.766803-2.10994j -1.21136+2.24855j -1.42606+0.479795j 0.13206-0.473751j 0.0378971-0.23296j 1.607-1.37043j 1.13559-0.804107j -0.820878-0.9425j 1.72275-1.84686j 0.287122+1.16549j 0.837222-0.101057j 0.454358+0.196739j 1.34593+1.00458j -0.139319-0.536932j -0.831699+0.025976j -0.319412-0.808224j -2.76209+0.420732j 1.5086-0.240228j -0.0630553+0.755579j 0.572243-0.00164791j 0.084473+0.791673j 1.10407-1.32761j -0.408823+0.359981j -0.464249-0.0195694j -0.0426576-1.24908j 2.02072+1.19819j -0.572913+0.874304j 1.23283+0.217734j -2.03537-0.884866j 0.0366967+0.265192j -0.0378559+0.0823243j 1.05459-0.0399222j -1.65155-1.66764j 0.064917-1.95281j -0.203927+0.431723j 0.287335+2.99799j 2.36812-1.05724j 
1.21031-0.471961j -0.472655+0.316311j -2.73215+1.70099j 1.22828+1.75597j -2.4029-2.02132j -1.02883-1.20736j 0.656543-0.834638j -1.40467+0.581169j 0.958776+0.875929j -0.397953-0.844031j 0.273351+1.72155j -0.643241-1.29197j -1.05004+0.40948j 1.31275+0.0322117j 0.0488402+0.0277224j 1.17934-1.07625j -0.191598+0.676595j 0.786453-1.60977j 0.19768+0.692843j -0.475692-1.43413j 0.566934-0.838332j -0.628069-0.176303j -1.94818-0.311843j 0.399875-0.763978j -0.381194-1.13384j -0.944415-0.231163j -0.175058-1.4354j -0.997428-2.97397j -0.405537-0.270266j -2.71972+1.68593j -0.669504-0.366317j 2.12431+1.54985j 1.40457-2.7559j -0.6417+0.568528j -0.390639-1.24957j -0.674358+0.398137j 0.174446+0.0328062j 1.15488+0.29663j -0.186921+0.778678j 0.442618-0.337025j 1.41695-1.16568j -0.606322-0.728423j 0.590989+1.12762j -0.380133-0.00965375j 0.28956+0.292949j 0.248038+0.160009j -0.282789-0.0769238j 1.04659+0.130911j -0.433209-0.295321j 1.62921-0.404487j -0.473935+0.604571j -0.566757+0.0118926j -0.474808+1.20748j -0.0123335+0.727827j 0.455737-0.317458j -0.341225+0.257082j 0.231787+0.0271812j 1.09871+0.269216j -0.485746-0.900905j 1.31951-0.0816771j 0.265225-0.0810749j -0.0215617-0.357323j 1.06011-0.41601j -0.412303-0.53576j -0.916754-0.546096j -0.279858-0.184494j 0.660417+0.445251j 1.94774+0.748551j 0.15529-2.19977j 
-2.57837-1.4117j -0.892245+2.96817j -0.547356-0.915666j -0.696792+0.519522j -0.716034+0.753178j 1.42432+0.132183j 1.05534-1.0341j -0.779028+0.301609j -0.528933+1.1385j -0.818287-1.41267j 0.229681-0.586782j 1.04119+1.2362j 0.358209+0.790129j 1.44188+0.843383j 0.526184+0.055208j 1.47631-0.533151j 1.43672-0.103173j -0.110597+1.11412j 0.24885-1.73761j 0.701369-1.64344j -0.360257-0.148992j -1.6847-0.196652j -0.552195-1.16156j -1.13246+0.914951j -2.14164+2.51509j -0.193646-1.96623j 3.06203+0.846789j -1.07355-0.413972j 0.996846+2.72536j 1.11723+0.646254j -1.91646+1.24002j -0.656567+1.24059j -0.112514-0.0846975j 0.747851-0.642547j -0.414656+0.403875j -1.50912+0.0770097j 0.0819891-0.480224j 0.501185+0.0081724j -1.16672+0.143102j 0.424655-1.30415j -0.733928+0.303123j -0.226302+0.02247j -0.4516-0.0266026j 0.372874+0.302476j 0.55804+0.765261j 0.739261+0.8199j -0.665075+0.118995j 1.07854+0.671374j 0.283018-0.276763j -1.27459-0.05825j -0.896135+0.423972j -0.244135+0.0287081j -0.549074+0.65696j -0.277809+0.323124j -0.13594-0.0561611j 0.129632-1.14502j 0.545406-0.450148j -1.29689-0.630538j -0.236153-0.258582j 0.567806+0.697793j 1.09232-0.560078j -0.057527+0.0277465j 0.990767+0.345168j 0.0174484+0.832087j 0.647115+0.360209j 1.63874+2.10364j -1.23056+1.87182j 0.581404-0.367301j -0.314696+0.211376j 
-0.218539+0.448655j 0.18427-0.838432j 1.82423-1.11394j -0.964228-0.701098j 0.0261077+0.938369j 0.207532-1.11871j 0.0930773-0.20407j -1.03238-0.697293j 1.09937-1.82396j -0.275006+0.385594j -0.504855+1.02763j 1.65566+1.93091j 0.475518+1.64697j -1.72968+0.557044j 0.428467-0.442665j -0.553788-0.651423j 0.587002+0.273102j -0.799071+1.38392j -0.997871-0.011299j 0.301195+0.590291j -1.6323-1.05308j 0.178773-0.227836j 0.403119-0.229173j -1.06396+0.957417j 0.625024-0.161025j 0.161259-0.383891j 1.02312+0.395552j 2.24946-0.639527j -0.270277+0.109967j -1.05901-2.49688j 0.373421-0.548765j -1.32029+0.458585j 0.330129+0.848678j 0.399719+0.0510885j 0.494998-0.398682j -0.321109+1.35731j -0.140858-0.0999845j 0.724068-0.12412j 0.909671-1.16152j -0.409837-0.0348112j 0.428865+0.75508j 0.826576+1.31513j -1.83836-0.491521j 0.622551+0.267785j 0.694448+0.663063j 0.168649-0.434494j -0.235209-0.420061j -0.730542-0.115572j -1.29974-0.426951j -0.634136+0.676261j -0.375262-0.379643j 1.32494+0.501061j -0.741348-0.659596j 0.142788-0.573949j -1.28185+0.100996j -0.604861-0.451493j 0.635341+0.0447807j -0.0826051+0.562401j -0.67939+0.997383j -0.135677+0.863399j 0.36435+0.209675j -0.284251+0.5224j 0.22899+0.300782j 0.603126+0.153138j -0.173547-0.404216j -0.222864-0.0722836j 0.103568+0.752016j 1.05099+1.30537j 1.25865-1.57369j 
0.200488-0.240971j -0.682084+0.200152j -1.27993-0.849754j 0.192401+1.19682j 0.677894-0.0306291j -1.2512+0.580447j 0.013676-0.145641j -0.343062+1.46705j -2.21713-0.505598j 0.421275-0.0138258j 1.27213-0.0966639j 0.999901-2.10448j 1.3499-0.929712j 1.40967+1.46322j -0.747816-0.178348j -0.575731+0.84345j 0.0976133-0.700451j 1.49849+0.389328j 0.447068+0.840417j 0.491965-0.682413j -0.426425+2.09618j -0.109154+0.111875j -0.161728-0.438969j 1.47442+0.877818j -0.400309-0.329064j -0.698074+0.0750261j 0.5302-1.29354j -1.43999-2.12937j 0.380153+0.380294j -2.08081+1.60468j 0.678768-0.570027j -1.5345+0.601885j 0.431484+1.00861j 0.307801-0.203833j -0.0311281-0.52094j -0.0184992+1.59389j -0.0734923-0.126059j 1.5278-0.450948j 1.14043-1.64382j 0.0855698-0.252296j 0.999993+1.06361j 0.618996+1.51319j -2.7075-0.486867j 0.318555+0.18691j 0.314975+1.10914j 0.334951-0.470518j 0.187313-0.494697j -0.323927+0.122509j -0.560696-0.632482j 0.0395876+0.972803j -0.060741-0.289439j 1.44364+0.64485j -0.643777-0.523288j -0.594172-0.347067j -1.27712+0.202674j -0.0241347-0.481817j -0.366324+0.365153j -0.107085+0.982855j -0.29422+0.885885j 0.306184+1.04595j 0.122925+0.60928j -0.428832+0.677299j 0.373007-0.0122168j 0.73221-0.202766j -0.0165107-0.597036j -0.187162-0.214928j 0.600984+0.887603j 1.47776+1.29892j 1.39401-2.12523j 
1.60344+0.585879j -0.218856-0.0431802j -2.46899+0.297533j -0.99457+0.0254396j -0.484376-1.56991j -0.782014-1.36361j -1.33556+0.902375j 0.517131-0.768643j 1.04251+0.0887503j 0.111836+0.739957j 0.172018+1.02682j -0.441145-0.978971j 0.282998-0.301433j -0.92412-0.207278j 0.538189-0.683793j -0.404224-0.865519j 0.311024-0.0463363j -0.31253-1.01914j 0.212057+0.888462j -0.27105+1.04229j -0.868017-0.674844j -1.05498+0.209106j -0.691603+1.36826j -1.35724-0.00861696j -0.767045-1.32289j 0.189288-1.09792j -1.85907+1.44994j 0.115492-0.789928j -1.27063-0.504408j -1.05052+1.83092j -0.667164-0.11148j 1.78879+0.291823j 0.506277-0.948393j 1.09773+1.28527j 0.495208-1.69848j 0.492186+0.368545j 0.269028+0.497128j 0.821857+0.4379j 1.71525-0.20866j 1.09822+1.0692j 0.171667-1.16775j -0.856004+0.195926j -1.14334-0.336216j -0.638722-0.122174j -1.13735+0.418639j 0.405355-1.03805j 0.889944-0.890452j -0.054381-0.255836j 0.712697+0.342593j 0.714217-0.88508j 0.729063-0.1748j 0.187785+0.636664j -0.40632-1.11837j 0.3121-0.103544j -0.0051435+0.0415782j 0.245653-0.0289258j -0.672862-0.0357483j 0.308804-1.01841j -0.11121+1.17609j -0.769665+0.343755j -0.563601-0.383696j -0.118751+0.617434j -0.554225-0.0089964j 1.02073+1.42346j -1.26526+0.959373j 0.554826+1.03422j -2.00587+0.211869j 1.09034+0.355791j -0.77411-0.257249j 
-0.288913-1.51673j 0.377897+0.250102j 1.46894+2.28653j 0.511114+0.982722j -1.28305+1.457j -1.32787+1.22419j 1.48656+0.833806j -1.21521-0.026621j -0.170032-1.56593j 0.670125-0.473j 0.970247-0.509229j -0.58512+0.868342j -0.236241+0.191393j 0.0731361+1.29537j -0.954811-0.411288j -1.08112+0.522326j 0.0682934-0.139694j -0.821522+0.794068j 0.649788-0.569045j 1.33259+0.0156094j -0.810176+1.04445j 0.400797+1.23486j 1.55761+0.0278097j 0.36102+1.78275j -1.05649+1.13156j -1.36772-0.0409186j 2.1996+1.35875j -0.61535-0.385315j -1.05859-0.51614j 1.97703+0.401776j -0.602866+0.0776138j 1.99428-0.130065j 0.579494-1.2665j 1.09089+1.29058j 0.881856-1.73703j 0.251638-0.35427j 0.25293+0.513959j -0.340341+0.5211j 0.990787+0.0982218j 0.0834029+1.09057j -0.218307-1.38545j 0.575644-0.20923j 0.468237-0.230661j 0.320263-0.426112j -0.489203+0.262411j 0.277249-1.04578j -0.189021-0.882309j -0.686616-0.00395671j -0.813567+0.768959j -0.481938-0.893548j 0.0294512+0.193862j 0.499894+0.57865j -0.563818-0.946524j 1.29986+0.0251296j -0.732116+0.267551j 0.166602+0.133999j 0.504044-0.263199j 0.17029-1.30087j -1.1132+1.14494j -1.06079+0.217268j 0.217815-0.561802j -0.553447+0.511099j -0.346272-0.373034j 0.412626+1.5695j -0.94728+1.309j 0.296442+1.22621j -2.17741+0.205882j 0.73364+0.0141141j -1.06533+0.351084j 
0.79627+2.11694j 1.953-1.0276j -0.0410074+0.607416j 0.399149+0.0626649j 0.535044-0.0486738j -0.793112+0.437433j 0.456881-0.463997j 0.443299-0.0141443j -0.719151-1.23379j -0.185722-1.3603j -0.468556+0.511404j -1.11449+0.00422783j -0.0365694+0.450171j 0.53863+0.503704j -0.56904+0.67723j -0.848065+1.3769j 1.28493+1.09026j -0.967435-1.91113j -1.12814+0.20575j 2.06734-0.485616j -0.36793+0.43448j 0.750904+1.0165j -0.965061-0.391057j 0.767299-0.209827j -0.397001-0.385135j 0.696081+1.01337j -1.67262+0.97329j 1.01154+0.101289j -1.39649-2.51033j -0.509731-0.325687j 1.85998-1.47016j 0.127187-1.41601j 0.238128-0.00567036j -0.510797+0.0535147j -1.22056+0.434137j 0.597262-0.35878j -0.259149-0.765081j 0.13242+0.588141j -0.25641-1.09242j -0.406058-1.08689j -0.0387022-0.247775j -0.466987-0.0144376j 0.160514-0.384724j 0.839792+0.0871571j -0.39064+0.615774j -0.453558+0.7345j -1.26741+0.933394j 0.00388713+0.653701j -0.380612+0.530064j -0.124507-0.515378j -0.499834+0.103668j -0.228624-0.470232j 0.219641+0.924972j -0.0396907-0.96391j -0.0458968+0.250726j 2.66626-0.994829j -0.581031-1.26202j 0.596468-0.709823j 0.448264-0.00262707j 1.58539+1.25268j -1.58341-0.0402333j 0.241936-0.0184249j -0.386171-1.48097j -0.270461-1.16183j 0.563125-0.0559947j -0.682167+0.647455j -1.09623-0.973822j 0.20628+0.512281j 0.129515-0.0107876j 
1.91437-2.20713j -2.42263-1.58451j 0.889216-0.476943j -0.10798-0.638506j -0.310168-0.580336j 0.869625+0.852103j -0.66628-0.286414j -0.00818041-0.459926j -1.2545+1.22445j -1.29543+0.728124j 0.657934+0.358216j 0.269903+1.31994j 0.505976-0.209299j 0.281791-0.796535j 0.902464+0.450198j 1.8261+0.65591j 0.621463-1.78492j -1.98073+1.73253j 0.470128+1.16177j -1.19827-2.04295j 0.687177+0.3243j 1.15084-1.27031j 0.131005+1.17396j -0.418761-0.859433j -0.197211+0.529796j 1.16928-0.889632j 1.49536+1.6149j 0.157907-1.39198j -1.37575-1.46129j -0.227819+0.600651j 1.18128-1.064j 0.248463-1.05464j 0.360396-0.152179j -0.110978+0.225371j -0.407069+0.173866j 0.370039-0.119155j -0.588632-0.61639j -0.292673+0.717664j -0.294456-0.8332j -0.998313-0.531474j -0.113982-0.464762j 0.00316725-0.257308j 0.00733007-0.400081j 1.30773+0.0355851j -0.191685+0.298396j -0.205022+0.467175j -1.45986+0.867147j -0.262459+0.388969j -0.988431+0.584217j -0.507938-0.516121j -0.60689-0.0709316j 0.122664-0.336572j 0.242254+0.621053j 0.265857-1.09566j -0.524713+0.148972j 2.18159-0.956888j 0.311521-0.952427j 0.711743-0.752593j -0.203235+0.193618j 1.07724+1.09929j -1.1264-0.23633j -0.00688137+0.0205529j -0.337161-1.18902j -0.311401-0.911491j 0.516982+0.144893j -0.793827+0.55825j -1.13986-0.810814j 0.219506+0.385714j -0.0497503+0.0710398j 
-0.191806-0.143791j 0.279922+0.348603j -0.230919+0.807926j 0.733593-0.289904j 0.547856-0.0600309j 0.178351+1.40147j -0.330219+0.430188j 1.03577+0.137555j -0.611249+1.37584j 0.262996-0.321642j 0.681139-0.0675024j -0.225388-1.12177j -0.673334-0.794709j 0.172182+0.281471j -0.112442+0.0041333j -0.0343297-0.768088j 0.286213+0.548734j -0.999543+0.37955j -0.921104-0.0097155j -0.23524+0.947297j 0.450026+1.24701j -1.48453-0.869873j 0.388839+1.09471j -0.435958-0.2847j 0.0591392+0.654662j 1.01804-0.385569j -0.524854+0.842994j 0.774201+1.69105j -0.253321-0.206809j 1.85703-1.09068j -0.142597+0.387699j -0.287353-1.00455j 0.306531+0.375099j -0.377086-0.28378j 1.48996+0.82208j -0.487159-1.87827j -0.435994+0.134659j -2.69929+0.722572j -1.30975+1.6539j -1.81541+0.022298j -0.981522-0.987665j 0.939911-0.812068j 1.2989+0.305466j 1.31111-0.0448766j 1.91786+0.247391j -0.0486421-0.198602j -1.6254-0.351538j -1.22622-0.946192j -3.42139-0.607677j -2.39837-0.0255083j -1.3098-0.772939j 0.0672244-1.23639j -0.221582-1.29616j 3.0753-0.855102j -0.534361+0.491738j -1.60203-1.19648j 3.75212-0.562736j -0.295006+0.0991542j -1.62122+0.269113j -1.54299-0.0508276j 0.982059-1.27697j 0.416916-0.0647691j -0.777484+1.05697j -0.539962+1.26277j 0.164767-0.477755j 0.0952972-0.0466858j -1.2133+0.556287j -1.07408+2.28249j 2.94783+0.798127j 
0.0909892+0.198436j 0.156454-0.245901j 0.867673+0.0489116j -0.811046-1.12155j 0.0702999-0.653442j 1.71908-0.551613j 0.313071+0.543858j 0.00809497-1.31432j 2.05214+0.581656j -0.548347-0.406684j 0.0992644-1.09268j -1.58061+0.229295j -0.533191+1.40864j 0.195596-0.0605636j 0.317193+0.00718752j -1.33889-0.00137754j 1.24603-0.509398j 0.5932+1.18254j 0.26874+1.32993j 1.52223+0.371536j 1.51782-0.930488j -1.34364+2.56056j 1.45952-0.532706j -0.63329+0.65774j 0.704304-0.143314j -0.971576-1.73078j 1.53723+1.19111j 2.66704-1.34989j -0.664034+0.199856j -1.06428-2.54284j -0.586336+0.476638j 0.744424-0.351413j -0.0493533-0.131836j -0.00920811-0.0279461j -0.067305+0.121634j 0.336448-1.10856j 0.122994+0.11542j -0.406614+0.22037j -0.102203+0.759288j 0.351272-0.101441j -0.546509-0.543484j -0.555542-0.33739j 0.222428+0.230271j -0.213582-0.226198j -0.388208+0.424913j 0.297154-0.372634j 0.0540271-0.305883j 0.212501-0.14384j 0.533512+0.00424167j -0.545755-0.067637j 0.343697+0.00741021j -0.596697-0.321967j 0.318427-0.298006j 0.613813+0.242842j 0.518837+0.442389j 0.587606-0.0119057j -0.512405-0.196958j -0.547038-0.467611j 0.128015-0.0212149j -0.177234-0.0622086j -0.627574+0.0539774j 0.163328+0.077325j 0.249876-0.30986j 0.343935+0.130788j 0.3346+0.702544j 0.361526-0.489034j 0.105938+0.919014j 0.000332709+0.0370646j 0.686133+0.769645j 
