0.168562-0.0816108j 0.308562+0.0569917j -0.41704+0.0677984j 0.75081-0.18147j -0.00286306-0.910457j 0.483335+0.0403717j 1.14313-0.23007j -0.271827+0.509319j 0.720018+0.348979j -0.126323-0.323334j 0.175742+0.0395891j 0.315534-0.619571j 0.40899-0.743213j -0.165428-0.9343j 0.427457-1.02399j -0.90613-0.060638j -0.043208+0.121316j -0.558941-0.0108567j -0.317176+0.341573j 1.47174+0.0460466j 1.4163+0.0654638j -0.0139451+0.657867j -0.349281+0.434333j 0.737149-0.572919j -0.27154+0.174303j -0.647672-0.970226j -0.842592-1.42929j 0.122649-0.772869j 0.055327-0.982086j -0.189202-0.383927j 0.210173-0.391041j 0.019468-0.879493j -1.13025-0.169967j -0.509694-0.901674j 0.123733-1.32924j 0.723684+0.989929j -0.0214289-0.992122j -0.210163+0.120607j -0.374375+0.220749j -0.38068-0.429058j 0.230302-0.699671j -0.948201-0.190832j -0.658551+0.139647j 0.931756-0.394685j -0.257518+0.548387j 0.917262+0.377916j 0.507968+0.849506j 0.624683+0.490157j -0.00997271+0.635327j -0.647101+0.0874588j 0.461632-0.218782j -0.823659-0.605596j 0.45076+0.310463j 0.316883-0.536761j 0.615719-0.245372j -0.688579+0.132481j 0.394118-0.00487369j -0.656889+0.934181j 0.526151+0.508181j 0.433796-0.382271j 0.83125-0.35919j 0.0350789-0.0337405j -0.228364-0.505272j 0.743655-0.214098j 0.00714747-0.13317j -0.217614+0.187203j 0.0556758-0.355417j 0.518984+0.640889j 1.3189-1.14225j 1.4369+1.13916j 
-0.220304+0.483227j 0.619068+0.813577j -0.512561-1.13956j 0.0264542-0.00589775j -0.314129-0.661805j 1.5428+0.374937j 1.48532+0.463117j -0.511111+0.409139j -0.350807+0.134261j 0.279093-1.47965j -0.163105+0.64462j 0.000230948-0.237741j -0.0983355+0.142013j -0.655248+1.68075j 0.718644-0.00404738j 0.187102+0.435472j -1.61568+0.266687j 0.298984+0.556299j 0.337951-0.17591j -1.2502-0.0800957j 0.160534-0.038118j 0.48833+0.969416j 0.484051-0.532507j 0.46651-0.908509j 0.6188+0.529654j 0.0775718+0.167792j 0.346722-0.573273j -0.55654-0.319848j -0.178202-0.555986j -0.63876+0.426046j -0.240841+0.0538704j 0.441914+0.101849j 0.975663+0.615263j -0.98701-0.190291j -0.0512353-0.192517j -0.195172-0.281728j -0.368595+0.91223j -0.541579-0.0449165j 0.182736-0.144757j 0.555192-0.718035j -0.571619+0.0216173j 0.163813+0.559731j 0.552131+0.157938j -0.0189085-0.204288j 0.503367+0.850998j 0.157116+0.387337j 0.237702-0.332907j -0.356023-0.633013j -0.403727-0.894439j 0.0872293+0.405381j 0.385795+0.19687j 0.614186-0.178612j 0.500684-0.431244j -0.20219-0.356558j -0.0190514-0.68412j 0.313753+0.685529j 0.421011-0.47762j 0.752547-0.843605j -0.130465+0.126237j -0.487754+0.125364j 0.265374-0.13112j 1.12782-0.382905j 0.198985+1.41038j -0.0639905+0.224743j 0.246328+0.0886219j -1.08569-0.192156j 1.04971-0.379873j -0.054223-1.81276j -0.104887+0.41891j 0.974288+0.858564j 
0.268333-0.308177j 0.226067+0.00108932j -0.28617+0.371514j -1.41592+0.298689j 1.62099-1.3336j -1.5908-2.00823j 1.27519-0.0900592j 0.0952855-0.983586j -0.862959-1.41726j -0.309422-0.282582j 0.0904388-0.0430153j -1.03401+1.03886j 0.175053-0.129153j -1.00743-0.202838j 0.268215-0.0287475j -1.03491-0.0127394j -0.158988-0.381538j 0.313446+0.673934j -0.0467724-0.278864j -0.0630891+0.700223j 0.413655-0.0585513j 0.248429-0.0274054j -0.0379071-0.352753j -0.29407+0.798905j 0.185095+0.711856j -0.663364-0.453779j 0.449472+0.731965j -0.271547-0.363614j 0.149805-0.200715j 0.267652+0.306661j 0.152989+0.212795j 0.55678+0.594788j 0.216439-0.099653j -0.742212-0.526387j 0.410489-0.130984j 0.179655-0.371592j 0.268413-0.231642j 0.173092-0.257179j -0.408728+0.628605j -0.245837+0.201844j -0.352481+0.33826j 0.175865+0.185467j -0.0815622+0.45145j -0.132531+0.808988j -0.68784+0.962037j 0.144036-0.369009j 0.27388+0.79507j -0.100844+0.000925931j -0.371651-0.439289j 0.357881+0.100954j -0.0476673+0.555039j 0.0436536+0.138871j -0.395275+0.447652j -0.313182-0.483352j 0.788027-0.10592j 0.109536+0.176446j -0.538014+0.576438j 0.0305798-0.248443j 0.73571+1.07224j 0.0875355+0.101822j -0.259726+0.160744j -0.452819+0.922566j 0.24362+1.27554j 0.911444+0.271337j 1.74652-1.91584j 1.27206+0.980029j 1.42817+0.224415j 0.0301062+0.246292j -0.168383+0.0157687j -0.0101262-0.198953j 
1.26095-0.789435j -0.213589-0.619371j -0.504337+2.08127j 1.66528+0.719938j 1.04369+0.132098j 0.362471+0.431447j -0.181405+0.684985j -0.0484682+1.61582j -1.3649-0.270574j -0.0164435-0.240433j 0.341355+0.0515474j -0.0502811-0.484745j 0.500174+0.677308j -0.506216-0.372182j -0.795775+0.809694j 0.227258+0.677622j -0.116808+0.615335j 0.238407+0.331572j -0.558549-0.146367j 0.378049-0.454864j -0.162033+0.470025j -0.322816+0.830423j 0.11787-0.539607j 0.339663-0.0472417j -0.143472+0.367905j -0.175148+1.15566j 0.139103+0.415048j -0.715711+0.123276j -0.246673+0.464552j -0.694625+0.0799839j 0.639529+0.643138j 0.126599-0.0975605j -0.541811+0.103834j -0.0769472-0.596261j -0.139968-0.340761j -0.216749+0.169226j -1.28834+0.474171j 0.861417-0.780705j 0.471259-0.230627j -0.106248-0.218096j -0.561887-0.479401j 8.20344e-05-0.455096j 0.394788-0.20041j 0.379307+0.682522j -0.0160766+0.242909j -0.423699+0.421364j 0.444682+0.67976j -0.575988-0.655345j 0.295484-0.757219j -0.309241+0.149665j -1.08968-0.0265391j -0.185204-0.20143j 0.354275-0.367759j -1.61886+0.0181891j -0.349338-0.382498j -0.886951-0.0428486j 0.680346+1.47972j 0.0820497-0.0149284j -0.357818+0.112399j 0.222438+0.5288j -0.417741-1.20185j 0.45185-0.238969j 0.451256+0.222837j -1.55548+0.290327j 1.15474+0.129839j 0.000992771-0.806577j -0.303639-0.100063j -0.591685+1.06507j 0.61258-0.706582j -0.149338-0.366638j 
-2.30005+0.945455j -1.13172-2.08775j -1.05184+0.305048j 0.0201753-0.480208j -0.0216666-0.179204j -0.00217347+0.108729j 0.610275+0.582511j -0.184926+0.44848j 0.179064-0.254415j 0.71622+0.322078j 0.511145+0.134264j -0.307882+0.510395j 0.522023+0.728471j 0.260887+0.107636j -0.932958-0.00660387j -0.534223-0.360257j -0.546375-0.407646j -0.592527+0.53236j -0.745331+0.712762j -0.371493-0.259473j -0.568066-0.0988373j -0.0128215+0.63293j 0.468155-0.598432j -0.44778+0.827664j 0.670877-0.445915j -0.212637-0.62769j -0.721983-0.34929j -0.76695-0.277946j -0.897391+0.127359j -0.355027-0.70594j 0.30294-0.560258j 0.362241+0.236718j 0.307637+0.0685328j 0.0164999-0.880131j 0.251726+1.27843j -1.13406+0.101354j 0.190826-0.982584j 1.17364-0.321477j -0.112857-0.989264j -0.23607-0.380882j 0.100116-0.401695j 0.153297+1.0166j 0.214103+0.857065j 0.594873-1.40392j -0.50648+1.06997j -0.301247-0.0772962j -0.824547-0.6108j -0.471259-0.459964j 0.136147+0.568731j 1.36311-0.305372j -1.53511+0.290789j -0.407921-0.234199j 0.57711-0.186035j 0.0142147+0.114362j 0.993076-0.309438j 0.464878+0.996355j 0.0993532+0.877208j -0.438917-0.794116j -0.260244-0.661136j 0.203929+0.0124255j -0.271892+0.169244j 0.732391-0.435802j -0.27638-0.507746j 1.09475+0.286699j -0.42802+0.0127727j -0.048237+0.863662j -0.74059-0.236336j 0.378874+0.0509958j -0.265444+0.0331694j -0.143648-0.116136j 
0.0306395-0.198144j 0.333275-0.191674j -0.537267+0.104948j 0.514155-0.293836j -0.107994-0.606788j 0.256964-0.174692j 0.545587-0.390223j -0.0878154+0.372828j 0.639486+0.391961j -0.245893+0.930166j 0.220555-0.454133j -0.238695-0.112359j 0.329152-0.68181j 1.34597-1.08386j 0.817503-0.375498j -1.65756+0.0103636j -0.308299+0.122461j -0.482637-0.449476j -0.437+0.0862106j 1.18059+1.02428j 1.31637+1.27175j -0.263141+0.640378j -0.318622+0.481266j 1.45281-0.563714j 0.254728-0.107516j -0.294535-1.00859j 0.82589-0.0867457j -0.175393-1.018j 0.120076-0.986939j -0.0161292+0.194319j 0.366983-0.369124j 0.263935-1.47443j -0.594398-0.273325j 1.38299-0.960457j -0.175254+0.128337j -0.70416-0.608935j -0.352669+0.839151j -0.162658-0.35844j 0.40241-0.113888j -0.650956-0.384929j -0.285282-0.315983j 0.384315+1.13072j -0.141201+1.23791j -1.78611-0.291166j 0.519377+0.212891j -1.43937+1.43819j 0.868808+0.0810209j -0.465015+1.2997j -0.45691-0.582413j 0.381872+1.14058j -1.01174-0.893994j -0.117035-1.06873j 0.510527+0.822215j 1.3773+0.0154437j -0.0533984-1.91025j -1.22275-0.774622j 0.333055-0.507075j 1.2866-0.584005j -0.734148-0.245518j 0.473733+1.61992j -0.137189-0.87485j 0.471251+0.810844j -0.445403+0.7669j 0.037247-1.22711j -0.389598+0.532498j 0.343767+0.228681j 0.0517657-0.463561j 1.74356-0.473515j -0.603567-2.95249j 2.71784-1.10346j 
0.047679+0.462539j 0.379443+0.785861j -0.737059-0.702694j 0.855462+0.622814j 0.780301-0.549049j 0.933741+0.562596j 0.828165+1.20386j -0.623526-0.187603j -0.215654-0.233251j 1.00217-0.299554j -0.331907-0.00119109j -0.255211+0.414873j 0.458278-0.233777j 0.423642+0.0657032j 2.16639+0.0255812j -0.707589+0.503895j -2.02384-0.260921j 0.59598-1.26166j -0.646436-0.33536j 0.505121+0.199943j 1.58429+0.873259j -0.276826-0.373912j 0.35738-0.771598j 0.889727-1.26465j -0.310123-1.25783j 0.0636129+0.568437j -0.929782-1.24196j 0.419875+0.634429j 0.00876274+0.399453j 0.246298-0.0436291j 0.275902+0.1999j 0.230397+0.52041j 0.149826+0.0869149j -0.509181-1.43047j 0.568019-1.30443j 1.62736+0.0703427j 0.37938-0.228279j -0.665187+0.497225j 0.0230657-0.293675j 1.80799+0.221334j -0.187459+0.368368j 0.488184+0.28341j 1.45605-0.433562j 0.413161-1.4424j -0.272019+0.648661j 0.889842+0.727848j -0.161039+0.625345j 1.69171+0.325783j 0.415068+0.476447j 0.0916902+0.848073j 0.774597+0.310188j 0.451804-0.211277j -0.397799-0.270203j 0.34631-0.878125j -0.362625-0.178328j 1.08294+1.61258j 0.619378-0.572241j -0.802497+1.04724j 0.199601+0.619522j 0.429557-1.19571j -0.0631352-1.03774j 1.21068-0.945029j -0.928148-0.345321j -0.328762+0.634722j -0.378068-0.736851j -1.01504+0.708061j 0.443636-1.73496j -2.7321-0.980271j 0.0114616+0.578201j 1.8229-0.886072j 
-0.571998+0.0195216j -0.275845+0.738604j 0.570131-0.838384j 1.43576-0.146472j -1.91186-0.472594j 0.785593+1.90018j -0.231676+0.0713078j -0.0397972+0.160401j 0.268561-1.41403j 0.185969+0.307112j -0.232208-0.345427j -0.815571-1.0762j -0.184868-0.975262j -1.58247+2.17331j 0.720137+0.139638j -0.856498-0.230551j -1.53974-0.455323j -1.40197-0.311461j 0.825332+0.152495j -0.0643706-0.307416j -0.945888+0.314359j -0.10578+0.555084j 0.146426+0.813023j 0.208808-0.626535j 0.374279-0.182659j -0.394157+1.76475j 1.04047-0.0290574j -0.00225307+0.282806j 0.103245-0.082567j -1.14122-1.15908j -1.39856-0.943496j 1.49629-0.822962j 0.238498+1.13113j -0.222105+0.209324j 0.485948-0.590976j -0.622528-0.406401j -1.39053+0.944642j 1.06248+0.233498j -0.589397-0.072132j 0.334392-0.405339j 1.28814-0.64067j 0.14273-0.599889j -0.701082+0.514986j 0.204869-0.276179j -0.959964+1.82482j 0.722509-0.0310555j -0.672215-0.999747j 0.639608-1.25346j -1.90397+0.263501j 0.369398-0.522798j 0.296058-0.705759j 1.07886-1.36908j -0.461067+0.522614j -0.228797-0.587848j -1.70233+1.10789j 0.349993-0.794083j 0.132472-1.08023j 0.404837-1.15782j -0.799622+0.503547j -0.575671+0.263168j 0.625847+1.44539j -0.0886265-2.91286j 1.47727+1.18333j 0.576284-0.320018j 0.955252+1.63889j -2.33124+0.262621j -1.77766+1.25746j -0.323995-0.366766j -0.0936383+0.316901j 1.00341+0.346944j 
-0.794394+0.208406j -0.46517+1.2095j 1.13377-0.940244j 0.0346469-0.486214j 1.27188-0.270836j -0.481751+0.586587j 0.666494+2.43712j -0.267028-1.46174j 0.223528-0.046938j 0.971762-0.569241j -0.720477+0.470844j 1.48013+0.0777655j -0.693224+1.13581j -0.465561+0.0450817j -0.645798-0.777969j 0.592534-0.395543j -0.0586064+1.79568j -1.31495-0.444351j 0.144534-0.113122j -1.35001-0.623978j 1.61372-0.444897j 1.43775-1.95532j -0.372671-0.121179j 0.75883-0.375139j 1.59934-0.502577j 0.104602-0.223123j -0.744391+0.355541j -1.01947-0.377132j -0.693742-1.22785j -0.672887+1.28152j -0.314748-0.838557j 1.13015-1.08272j 0.304417+0.566196j 0.427024-0.231656j -0.980998-0.561311j 0.0788406+0.237307j 0.07518-0.0241203j -0.584242-1.226j -1.26063+0.843444j 0.460285-1.69049j 0.630512-0.480055j -1.0107+1.2112j -1.3581+0.749856j 0.147638-0.165532j 0.126487+1.92923j 1.71255-0.537389j -0.227961+0.209372j -0.607993-0.968949j -1.38855+0.141729j 1.00031-0.0789673j 1.32739-0.484583j -0.182004-0.355223j 1.16902+0.96644j 0.773571+0.809773j -0.0022546+0.243714j -0.469196+0.307865j -1.08897-0.839877j 0.648101+1.13873j -1.16176+0.726946j -0.35916-0.574005j 0.27758+1.22275j 0.446584+0.599016j -0.74223+1.35361j 0.951914-2.05253j -0.398039+1.3564j 1.32762+0.49131j 0.0991465-0.875421j -0.937803-0.82029j 0.393241+1.39948j 0.564687+0.418078j 
1.06183+0.15561j -0.121287-0.0220355j -0.305287+0.148979j -1.13388-1.6341j 2.62205+0.681481j 1.43995-0.286883j -0.666183+0.156712j -1.24955+0.689268j 0.831537-2.82064j -0.910956-0.184949j 0.736869+0.313923j -0.352822+0.0805964j 0.0802009+1.11139j -0.897417-0.969192j -0.617872-0.0383555j -1.52997-0.0447817j -0.780799+0.00246783j -1.21016+0.381101j -0.907833-0.54654j -0.170774+0.632703j -0.394929+0.313622j -1.36815+0.916438j -0.768908+0.314325j -0.789217+1.30548j -0.682145+0.87279j 0.834247-0.108493j 0.439202+0.438766j -0.0323015-0.285293j -0.794832-0.76052j 0.802119-0.985917j 0.278257-0.932879j 0.0293515+1.47113j 1.16066-1.27509j -1.16781-0.146596j -0.832077+0.339538j -0.600842+0.306338j -0.203346-0.814531j 0.288257+0.580748j 1.45937-1.06693j -1.0758+1.05871j -0.699064+2.33398j -0.0573016+0.1144j -0.195385+0.125444j 0.677555+0.920893j 0.88547-0.166803j -0.256213+0.603855j 0.194805-0.196461j -0.190345+1.53956j -0.475776-2.34336j 0.845727+0.457345j 0.618889-0.0888878j -0.60059+0.825646j -0.790317-0.718688j -2.03077+1.89924j -1.02404-1.07311j -1.33629+0.720429j 1.23024+1.85856j -0.0213847+1.18311j -1.2716+0.056487j -0.0747687-0.260761j -0.10305-0.0194411j -0.291283-1.42849j 0.338698+0.151151j 0.308888-0.405236j 1.34798-2.04486j 1.70541-0.262868j 1.21306+0.304778j 0.096963+0.484396j -0.0330976-0.558902j -0.250341-0.0280982j 
1.52172+1.43243j 0.52202-0.366728j -2.9816-0.128845j -0.249403+2.49967j 0.323921+1.05372j -0.779996+0.682951j -0.493214+0.26202j 1.20086-0.818237j -0.885021-0.311011j 0.311994-1.44984j -0.924115-1.12152j 0.534103-0.270503j -0.605805-1.73873j -0.48437-0.857461j -0.64604+1.11089j -0.225969+1.26463j 0.739029+0.325404j -0.437614+0.873312j -0.129364+0.752922j 0.508587-0.0759463j -0.135156+1.27699j 0.382062+0.3069j -1.7747+1.42741j 0.290293-0.271402j -0.832218+1.52045j 0.334668-1.14883j -0.0246819+1.51878j -1.13635-0.674265j -0.0641345+0.520141j -0.50205-1.04745j 1.50961-1.16782j 0.00873552+1.10971j -0.638446-1.28152j 0.366486+1.0433j -0.529161-0.17412j 1.18781+1.49435j -0.0763631+0.772492j -0.129952+0.700739j -0.0308115-1.36534j 0.476797+0.220807j 0.365384+0.398824j 0.102116+0.195588j -0.468335+0.0915816j -1.65367+1.38374j 0.169819-1.28915j 0.0118673-0.700521j 1.34802+0.771699j -0.472678-0.0496273j 0.0150043-0.360707j -2.08484+1.10381j 0.723958-0.244167j 0.52419+0.19151j 0.954143+0.439208j -1.85329+0.974097j -0.303232-1.3885j -2.14439+0.0567852j -0.928126-0.453757j 0.562082+0.462633j -0.0555014-1.30771j 0.156823+0.135049j -0.788271-0.749028j 0.164247+0.543873j 0.676516-0.541725j -0.83692+1.09839j 0.752829-0.473627j -0.96804-0.572022j 0.736304-0.688287j -0.887692+0.400939j 0.626234-0.559412j 0.0917059-0.339554j 
