-0.040967-0.0122127j -0.104027+0.0654976j -0.0705196-0.0308869j 0.00598398-0.0098359j 0.0854603+0.0507691j 0.00317426+0.122903j 0.0823042-0.0323929j -0.105387+0.0655697j 0.0735701-0.121437j 0.0035225+0.0265831j 0.000936018-0.0491756j 0.0632641-0.0120465j 0.00738193+0.0868941j -0.0573918+0.00908291j -0.0455115-0.0543993j -0.0144616+0.00377057j -0.0577645+0.00492149j 0.0117676-0.0307315j -0.0638111+0.0400288j -0.0569756-0.0140624j -0.0115066+0.0431022j 0.0638685-0.0274002j -0.119529-0.0669053j -0.0335569-0.091773j 0.101813+0.0278711j -0.0410475-0.130726j 0.0541352-0.0320204j 0.0519663+0.123699j 0.0192914+0.0794675j -0.0390979-0.0635528j 0.00184717-0.0774517j 0.0402786-0.0294925j 0.00511166+0.0567966j -0.0161471+0.0482904j 0.056441-0.00472634j -0.0433816-0.0223354j -0.0233914-0.00851544j -0.0188643-0.0070823j 0.0508419+0.0185619j -0.00998046+0.0266239j -0.021676+0.0459972j 0.0111128-0.0110481j 0.0552946+0.0762001j -0.0215905+0.0102649j -0.0222172-0.0244034j -0.0154891-0.0356947j 0.0365901+0.0455332j -0.0316593+0.051674j -0.0703838+0.0270433j -0.0841459-0.0617403j -0.018999-0.00424295j -0.0244857+0.019176j 0.0420421+0.131676j 0.0754615-0.0118982j 0.0027346-0.0232127j -0.0838684+0.0677901j 0.0394052+0.053974j -0.0697385+0.0619467j 0.0180406+0.024897j 0.0461646-0.0395853j -0.0650041-0.0705378j -0.111174+0.103749j 0.0511437+0.0113846j -0.0620055+0.035622j 0.0752122-0.00110585j -0.069013+0.0364237j 0.00881299+0.0139019j -0.0537612+0.062152j 0.0379861-0.0582172j 0.0341748-0.0277492j -0.0631484-0.0322462j -0.00454995+0.0283321j 0.0692704-0.034919j -0.0118262-0.00137267j -0.0687655-0.0306222j 0.100635+0.0338277j -0.0442387-0.0193904j 0.0373-0.0641251j -0.0516643-0.0861374j -0.0206954+0.0817542j -0.144561+0.00251776j 0.0990747-0.0605051j 0.0238902+0.0588956j -0.0379506-0.00825934j 0.0737114-0.0267056j -0.0211298+0.00233482j 0.0375166+0.0943894j -0.101045-0.143361j 0.0625279-0.0704497j 0.103068-0.0836883j -0.0300699-0.0487246j 0.0214531-0.00706903j 
-0.0369267-0.0661952j -0.044637+0.0769236j -0.136742-0.0950825j -0.0434763+0.044607j -0.0143429-0.00307758j 0.0478691+0.031201j -0.00115316-0.0375028j 0.0336931+0.0632456j -0.0482393-0.0650528j 0.00883471+0.0412558j 0.083652-0.128799j 0.0148643-0.0194599j -0.0723015+0.072057j -0.0349842+0.0356144j 0.0830838-0.111365j -0.00563478-0.088656j -0.0257551-0.0447832j 0.0677699-0.0363538j -0.0746019+0.129992j -0.130382+0.0379982j 0.0488313+0.00441659j 0.0733311-0.0197156j 0.0486873+0.00935946j 0.0563989+0.00226503j 0.119074-0.0482568j 0.0232724+0.0712366j 0.0263694+0.0465758j -0.0420566+0.0192413j -0.059243-0.0433197j -0.0114609-0.0294654j 0.0558863+0.135417j -0.0503011+0.0501517j -0.00743646-0.043781j -0.0596573+0.11242j 0.0246521+0.0179058j 0.0311681+0.0151061j 0.0141061+0.0138061j -0.0155792+0.0963724j 0.107577-0.0362858j 0.0128038+0.032398j -0.0693545-0.030609j 0.0525562-0.0317677j 0.0413722-0.00737093j -0.10061+0.00576008j 0.0369792+0.0971265j -0.0408868+0.028928j 0.0106993-0.0423022j -0.021738+0.0483088j -0.110513-0.0929805j 0.0558122-0.0757143j -0.0265844+0.12975j 0.00133654-0.0200868j 0.104085+0.0249568j -0.0244382-0.0457287j 0.105003-0.0114341j -0.0536398-0.0463006j 0.150956+0.0219859j -0.0457942+0.0311136j 0.0248278+0.000389292j 0.0587138+0.0140294j -0.0368679-0.00620866j 0.083609-0.0757245j -0.0159734-0.0355259j 0.0265745-0.00301143j 0.0104852+0.132137j 0.0484789-0.0433228j 0.0537712+0.0549351j 0.0458227-0.00622153j -0.055999-0.027719j -0.0188368+0.0156066j 0.0333044-0.0735051j -0.0220337+0.102593j -0.0575317-0.0135005j 0.00340955-0.0213179j 0.0531224+0.000339907j -0.0789271-0.0832791j 0.0731682+0.0127287j -0.00760184-0.0370685j -0.00800071-0.0108325j -0.108597+0.0184673j 0.0581259-0.0619486j -0.0238998-0.0635715j -0.0120207+0.000297644j -0.0373277+0.00855307j -0.0217408+0.0271288j 0.0413557+0.0106773j -0.0189514-0.0556594j 0.0496527+0.0910396j -0.0482329+0.0614434j -0.0624899+0.00623205j -0.0223603+0.0253787j 0.000180323-0.0191876j 
-0.0319217+0.0901894j -0.0724891-0.118856j -0.0217364-0.0411731j -0.135937+0.137871j 0.00895022+0.0121179j -0.0731156+0.0148934j -0.13061-0.105597j 0.0910141+0.0186671j 0.0299937-0.0495655j -0.120418-0.0306767j -0.0402193-0.0912761j 0.081995+0.00722103j -0.0556839-0.112914j -0.0144887+0.0230575j -0.0178303-0.050995j -0.118331-0.175887j 0.00346744-0.066982j -0.0488119+0.00185575j 0.041217+0.011275j 0.0217186+0.0253672j -0.0371733+0.0107942j -0.0741711+0.0416614j -0.0443375+0.113636j 0.0137066-0.0532545j 0.0606691-0.0783326j -0.0392847-0.0188245j 0.0396042-0.0634175j -0.0896819+0.000136486j -0.0279703-0.0223339j 0.0475894+0.0956077j -0.0443301-0.080937j 0.0534742-0.0148287j 0.0422055+0.00958991j -0.0672864+0.0468494j -0.0106513-0.00997383j 0.0498168+0.0320297j 0.0454923-0.0410778j 0.0300102+0.0124305j 0.0236755-0.00925827j 0.0627831+0.0325198j -0.0284771-0.0146266j 0.0990829-0.0634496j -0.041316-0.0346273j -0.0414225-0.0494489j 0.114597-0.0054945j -0.0405387-0.139932j -0.005972+0.00331236j -0.0568212-0.0584844j -0.0395905+0.0550316j 0.00858707+0.0379543j -0.0354218-0.0311151j 0.0301787-0.0645726j 0.174715-0.018256j -0.12739+0.0625466j -0.0355814-0.0278654j 0.101446+0.0118791j -0.0418194+0.00650237j 0.00493514-0.117906j -0.0612463+0.0104623j -0.0891827+0.00565026j 0.0390519+0.04563j 0.0292449+0.0516099j 0.0479545+0.0328164j -0.0677119-0.0553724j 0.0243041+0.0678436j -0.0294182+0.00932742j 0.0149287+0.0701413j -0.00593361-5.66824e-05j 0.03544+0.0701432j 0.00532192-0.0149312j -0.00332701+0.0758065j -0.0585183+0.0889281j 0.0118111+0.064324j -0.0405325-0.0272268j -0.000866829+0.0542283j -0.0103946-0.0442815j -0.0391617+0.0406697j 0.0315084-0.0454598j 0.0610531-0.0585689j 0.0828332+0.00521315j -0.0514828+0.0407215j 0.0292312+0.0887447j -0.00464635-0.00426644j 0.0400037-0.0277362j -0.00852609-0.0154402j -0.038399-0.000491419j 0.0135254+0.0298107j -0.0159228-0.0443646j 0.0268105-0.0352827j 0.0348822+0.0166352j 0.0292196-0.0147725j -0.00349167+0.0203942j 
0.0731664+0.0127988j 0.0515049-0.0688461j -0.0519782-0.0164582j 0.00538594-0.0134604j -0.0103407+0.163319j -0.0883458-0.00234155j -0.110481+0.111923j -0.0586865-0.0588308j 0.0138854-0.0298405j -0.016004-0.0134279j 0.0453633-0.0184671j 0.0180253-0.0487166j -0.0211671-0.0443637j -0.00969049+0.0260393j 0.00659128+0.00203792j 0.0515118+0.0403591j -0.00600005-0.0252893j 0.0426867-0.0211483j 0.0472107+0.0503144j 0.0299655+0.0211615j -0.137937-0.0778448j -0.0671778-0.0166312j -0.109918+0.0910444j -0.0182389+0.0101989j -0.0014614-0.00290306j -0.00237061+0.0292347j 0.0253796-0.00603084j 0.0291286-0.0582761j 0.0752838+0.0387045j 0.103932+0.0709684j -0.00730295+0.0437197j 0.0296294+0.00971431j -0.0434765-0.0197085j 0.00249714+0.039381j -0.00874029-0.0270533j 0.0599562-0.0354577j -0.0478557+0.00453136j 0.0161906+0.00831977j -0.0490593-0.000711371j -0.0023499-0.00365431j -0.0434762+0.0168357j -0.0292344+0.0281659j 0.0160928+0.0118569j -0.000973545-0.0179363j 0.0487643-0.0668867j 0.0254486+0.027903j 0.00684529+0.0360711j 0.0738415-0.0375034j -0.048412+0.0267721j 0.0568346-0.0486367j -0.0330822+0.0614463j 0.0175675+0.00269454j -0.0255989+0.0282134j 0.0553959-0.0395595j 0.0730001+0.000385154j 0.0520436+0.090293j 0.150575+0.0564542j 0.0838968+0.0802468j 0.0596873+0.0514479j 0.0606519-0.150964j -0.0532876+0.0337991j 0.0201578+0.0364266j -0.0354616+0.0698257j -0.0400944+0.10819j -0.0116912+0.0438839j 0.000870357-0.0290689j 0.0196244-0.0102445j 0.000696087-0.00940257j 0.0151306-0.0354319j 0.00224826-0.0065339j 0.00850477-0.0392468j 0.0236241+0.0011251j 0.000381801-0.0313625j 0.0136538+0.0135159j -0.0140876-0.0217225j 0.0821353-0.00334332j 0.122049+0.071671j -0.0025082-0.0175855j -0.0520516-0.00305409j -0.0269678-0.0892336j -0.00306669+0.0118257j 0.0117945-0.0766877j 0.0409753-0.0234344j 0.0566623-0.0413652j -0.0449389-0.0670197j -0.0563167-0.0333815j 0.00112511+0.00140344j -0.0196244+0.0213337j -0.0702238-0.0699725j 0.0664927+0.158299j 0.244723-0.035696j -0.038707+0.198381j 
-0.091506-0.011521j -0.0209596-0.0339742j 0.0358767+0.0114087j 0.0141385+0.0139534j -0.0451332+0.0121245j 0.0825569-0.0489338j -0.0809525+0.107126j -0.139879-0.0363112j -0.00134773-0.118493j -0.0268294-0.0907439j 0.00755884-0.104923j 0.0292354+0.0710702j -0.00967727-0.0105412j -0.0161197-0.0995905j -0.0138858+0.0692152j 0.0429985+0.0514147j -0.0171603-0.0632212j 0.00873858-0.0694235j 0.0987994+0.000267592j -0.00447854+0.0287082j -0.0298297+0.0104365j -0.0268491-0.0405355j 0.146499-0.0307749j 0.0326448+0.131883j 0.0922573-0.0132924j -0.0329918-0.0571067j 0.0160933-0.0463808j 0.00916766+0.111298j 0.0880321-0.0192918j -0.082706+0.113312j -0.0568866+0.0272566j 0.0313333-0.0859767j -0.0312023+0.00498819j 0.0112897+0.055006j -0.0118998+0.042945j 0.0984547+0.0087619j -0.0185052+0.0278986j 0.0238747+0.040366j 0.078597+0.0260801j -0.0020063+0.0404585j -0.108147-0.0147988j -0.122457+0.0567993j -0.0572743+0.0579287j 0.00087043+0.00560408j 0.00682358-0.00442434j 0.0461234+0.0559437j 0.0203472-0.0235263j -0.0448203-0.0638687j 0.0947996-0.0424306j -0.022555+0.0543442j 0.0257379+0.0420982j 0.168999+0.0976997j -0.00262438-0.10446j 0.00159453-0.0284975j -0.0110677-0.0901271j -0.0856364+0.044767j 0.0567609+0.0688851j -0.0236004-0.0791436j -0.105119-0.00618472j 0.00566197-0.0187655j 0.0357757-0.0131763j -0.0178371-0.00529039j 0.0129825-0.0329825j 0.00283917-0.00396896j 0.013077+0.0137665j 0.0208189+0.0432617j 0.00609653-0.016513j -0.092033+0.0204466j 0.0288889+0.0224452j -0.0486604-0.145539j 0.0530292-0.0575958j -0.00324154-0.0250474j -0.12255-0.00472822j -0.00928408+0.17028j -0.170042+0.0278727j -0.056584-0.0613435j -0.0484226+0.0191186j -0.0423515-0.01109j 0.000473451+0.0279675j -0.0202772+0.0530851j -0.00976757+0.0158659j 0.0181418+0.0550728j -0.046946+0.0349128j 0.0227392-0.0348656j -0.012318+0.00466884j -0.00624118-0.00731573j 0.0310185-0.0071692j 0.0058068-6.08024e-05j 0.0141855+0.0024273j -0.0059441-0.0121515j -0.0249706+0.00651867j 0.000120172-0.0237679j 
0.0103037+0.0144295j 0.00035963+0.0020777j -0.000985155-0.0113898j 0.00302553-0.00292585j 0.0144986+0.0132769j -0.00560645+0.000987714j -0.00961535+0.0198889j 0.0071923+0.0100397j -0.00779364+0.00169395j 0.00906692+0.00163948j 0.00884372+0.00231268j -0.00645581-0.013712j 0.000769812-0.00524295j 0.00451789+0.0143561j 0.00431441+0.00482191j 0.00174603-0.000567349j 0.00873649+0.00619892j 0.0059769+0.000505261j -0.00505506+0.0016564j 0.00473468-0.00680372j -0.0145163+0.0101333j -0.00549014-0.010026j 0.00897972+0.00510549j -0.00465287+0.0161842j 0.0130001+0.00582876j -0.016109+0.0248473j -0.00440403+0.0101044j 0.0207383-0.00654577j 4.8348e-05-0.011317j 0.00969051+0.00704983j 0.00532629-0.0102547j -0.022791+0.00690486j 0.00392828-0.00716598j -0.000749199+0.00497159j -0.00208746-0.0038337j 0.00873334+0.0171588j 0.00132727-0.00573509j 0.00237107+0.00285522j -0.0153403-0.0125577j 0.00905802-0.000889623j 0.0110006-0.00819479j 0.0173062-0.00388966j 0.0180563-0.0109954j -0.00178876-0.00112818j 0.0117752+0.00622539j -0.00433926+0.00396763j -0.00305521-0.0163072j 0.0133541-0.00133339j 0.00276841-0.00890855j 0.0103039-0.00301154j 0.00214115-0.00379433j -0.0039937+0.00774972j -0.0137265-0.0163786j -0.0172035-0.0081661j 0.00690251-0.00297532j -0.00786013-0.018256j -0.00599362+0.00917472j -0.0101986+0.0160079j -0.000199987-0.0165594j -0.00327558-0.0144309j -0.00377523-0.00541864j 0.0098672+0.0199459j -0.0293033+0.00639815j -0.00242299-0.00549481j -0.0191176-0.0154636j 0.00287334+0.00897524j 0.0071617+0.0141256j 0.0217611-0.00572828j -0.00514351+0.000153059j -0.00983822+0.0245175j 0.00642614-0.00989395j 0.00489888+0.0130333j -0.0184529-0.00104219j -0.00409026-0.00425932j 0.0043892-0.0168996j 0.000487306+0.0253716j -0.00832167+0.00187802j -0.0027541-0.00589966j -0.0284815+0.0141756j -0.00118117+0.0103422j 0.00347181-0.00772208j -0.00251239+0.0156354j -0.0122569+0.00875637j 0.0119753-0.0113829j 0.00984747-0.0206555j -0.0100115+0.00763848j -0.00800566-0.0135777j -0.00421289-0.0258158j 0.029007-0.00529365j 0.0381602+0.0145255j 0.019449-0.0189469j -0.00104525+0.0147187j 
0.00858503+0.000417617j 0.000392839-0.0038406j -0.00929048-0.00983997j 0.00269178-0.00646092j -0.000572173-0.00457167j 0.00598258+0.00424421j -0.00308449-0.00081747j 0.00364719-0.00439419j 0.00885594+0.00623535j -0.00664399-0.011844j -0.00126914-0.0118258j -0.000261219+0.00481055j 0.011378-0.00250079j -0.00203439-0.00332572j 0.00727197+0.00677853j 0.0131023+0.00337028j 0.0112426-0.00557712j 0.00601583-0.00202975j 0.000669426+0.0026379j -0.00518858+0.00398419j -0.0114449-0.00571854j -0.00710523-0.0115028j -0.0174953+0.00772089j -0.00399226-0.0167964j -0.0143678+0.0125744j 0.00387306+0.00819651j -0.00647526-0.00734454j -0.00612108-0.0256404j 0.00474475+0.011055j 0.00186695+0.0104678j 0.00259511+0.0146027j 0.0111865-0.0035413j -0.00946029+0.00892712j 0.00795954+0.0035145j -0.00358535-0.00550571j 0.0250061-0.0132002j -0.00382902-0.00231829j 0.0058855-0.00233939j 0.0100041-0.00493312j 0.000427401-0.0015387j -0.0157999+0.00450596j -0.01004+0.00069207j -0.0149508-0.00229674j -0.000431934+0.00518637j 0.00961099-0.0124938j 0.00365269+0.00765585j 0.00631477+0.0150656j 0.00928732-0.00534017j -0.00297319-0.00071445j 0.00450157+0.000131436j -0.00198345+0.0017707j 0.00689106-0.00388878j 0.00391131+0.00177774j 0.000316636-0.0159173j 0.00640962+0.0111572j 0.0143528-0.00964063j -0.00129938+0.00440675j -0.00153481+0.0013477j 0.00812142+0.00930434j 0.000765401-0.00790503j -0.00376865+0.00758294j -0.0079868-0.0015795j -0.00379513-0.00476361j 0.00584109+0.0120053j 0.00709528+0.00158717j 0.0126185-0.00959195j 0.00798945-0.0029857j -0.0049002-0.00199501j -0.00387307+0.0144473j 0.00233479-0.0160577j 0.00313289+0.00720307j 0.00423925+0.00449043j 0.00774359-0.00255051j 0.0128233+0.0114375j 0.0180014+0.00774659j 0.00162441+0.0135751j 0.0103452+0.00208314j 0.0174585-0.0104987j -0.01345-0.013514j 0.00438249-0.00503406j 0.0028255+0.00418661j 0.00206644-0.0120479j 0.00888024-0.000558334j -0.00879266-0.000712214j -0.000204829+0.00246113j -0.00373791+0.00420193j 0.00149679-0.00197336j -0.00264819-0.00305709j -0.00146166-0.00350403j 0.008962+0.00408393j 0.00837033-0.0085417j 0.00265824+0.00973766j 
-0.00695075-0.00656574j -0.00404341-0.0106281j 0.00125358+0.000271364j -0.00206491+0.00439177j -0.013154+0.00960659j -0.00630416+0.00317309j 0.0105485-0.0049567j 0.00970312+0.0131543j -0.000171776+0.0144801j -0.00146533+0.00511811j -0.0123246+0.000118259j -0.00015202-0.00724953j 0.00875083+0.000183601j -0.00849763+0.0169874j -0.000466638+0.00521408j 0.00953627-0.00481303j -0.00534674+0.0125738j 0.00672247+0.000743599j 0.00371305-0.00089194j -0.00371832+0.00244524j -0.0021062-0.0113605j 0.00577811-0.00140882j 0.022338-0.00837952j 0.00990231+0.0063749j 0.00556578-0.01707j -0.00564168-0.00844337j 0.0028778+0.00416067j -0.00170585+0.0141539j -0.00802611-0.0117538j 0.00368269-0.00607613j 0.00102102-0.01032j -0.00101267+0.00270984j 0.0112115-0.00670094j 0.00545244-0.0118563j -0.0104171+0.00921511j -0.00484524-0.0164106j -0.00178044+0.0108609j -0.00790849-0.00331108j -0.00289548+0.0104535j 0.00777115-0.00167159j 0.0227515+0.00061416j 0.022651+0.00427535j 0.00852165+0.0069741j 0.00447208+0.00657444j -0.00201142+0.00309409j -0.0131676+0.00992443j -0.000654177-0.0196761j 0.0167653+0.0123243j 0.00411231-0.00123993j -0.010608+0.0047883j -0.0104294-0.00689154j -0.0222356+0.0149942j 0.00211642+0.00362662j 0.00505638+0.000326059j -0.0128458-0.0263789j 0.00400362-0.00619503j 0.0140452+0.0191874j -0.00058937-0.0236291j -0.0150097+0.00699907j 0.0151717+0.00490168j 0.0179473+0.00515279j 0.00187566-0.0181705j 0.0154949-0.00511015j 0.00732826-0.00775647j 0.00788702+0.00399583j 0.00264421+0.0113244j -0.00490049-0.00223766j 0.00505387+0.000558419j 0.00783769-0.0173195j -0.00771237+0.0197511j -0.00169009-0.00378738j 0.00350981-0.00452141j -0.00891977+0.00744095j -0.0186684-0.0144812j -0.0248582-0.0148319j 0.000836984-0.0105352j -0.00669003-0.00194716j -0.00871735-0.00871943j 0.0083053+0.00773192j -0.0155963-0.00167767j -0.00772479+0.0152765j 0.00147577+0.00842533j -0.0115248-0.000529412j 0.0102522-0.00434348j -0.0103473+0.00605728j 0.00303253-0.0109367j -0.000734961+0.00650707j 0.00390314+0.0158604j -0.0102764+0.000880013j -0.0208176-0.00288047j -0.0070598+0.0127773j -0.00365567-0.00738024j 
0.00864031+0.00500797j -0.00822771+0.00683253j 0.00179662-0.00214872j -0.00468836+0.00935713j 0.00892008-0.00777704j -0.00535837+0.00742352j -0.00461596-0.00016537j 0.0129049-0.00934991j 0.000818928+0.00341116j 0.00442287-0.0110207j -0.00835492-0.0050641j 0.00341288+0.00652591j 0.0107799+0.00601946j -0.00412387+0.00257665j -0.00863044+0.010758j 0.00149307-0.00231069j -0.00828938+0.00634298j 0.00670567-0.0146233j 0.00576191+0.0056194j -0.00422631+0.00369589j -0.00401989+0.0040392j 0.00575021+0.0128657j -0.0101394+0.00845039j -0.00524582-0.0290418j -0.00361953+0.0179509j 0.0146604+0.0184352j -0.00761394-0.00375321j -0.00190579-0.0136433j 0.00686088+0.0160803j -0.0140237+0.00885645j 0.00640715+0.00462384j 0.0119798-0.00464867j -0.000846526+0.00578476j -0.00895298-0.0102016j -0.00184905-0.00537654j 0.0112965+0.00845392j -0.00191827+0.00412678j 0.00677862-0.00606165j 0.0104038-0.000700688j 0.00274962+0.00260343j -0.0241761-0.000227496j -6.96205e-05-0.000468888j -0.00260075+0.00517522j -0.00307371+0.00463589j -0.0089093-0.00509098j 0.00176926-0.00685474j 0.00871818+0.00549774j 0.0084532+0.00900406j -0.000140254+0.00204848j 0.0143466+0.00293726j -0.00690044+0.00116079j 0.00811486-0.00547713j -0.0101742-0.0064999j -0.00371852-0.00118223j 0.00474525-0.0048422j 0.00205722+0.00105104j -0.00990414-0.0042816j -0.00110132+0.00636801j -0.000593634+0.00215187j -0.0172637+0.00678265j -0.0109272-0.00292445j 0.0011717+0.0140858j -0.00650744+0.0100729j -0.00495531-0.00146705j -0.007467-0.00371379j -0.0140456-0.0129294j -0.00208788+0.00378684j -0.00184078+0.00311601j -0.00548999+0.00980301j 0.00395077-0.0130739j -0.0036002+0.00282631j -0.00750251+0.001365j 0.00725734-0.00368091j 0.0132122+0.00511107j 0.0140393+0.00738694j -0.000639558-0.00307204j 0.00279081+0.00377299j -0.00356108+0.0141442j 0.00494398+0.000714128j 0.0149198-0.00422504j 0.00734637-0.0110777j -0.00372862-0.00176343j 0.010376-0.000551353j -0.00473861+0.00365115j 0.00427063-0.00358051j -0.00114183+0.0059045j 0.000748086-0.00329113j -0.00113654-0.00695706j 0.00283065-0.000314121j 0.00895143+0.00167242j 0.00415295-0.00559695j 0.00180714+0.00422013j 
-0.0185795-0.00299833j -0.0133741+0.0148619j 0.00809478-0.0010009j 0.00486418-0.00107592j 0.00863455-0.0204909j 0.00263985+0.00545434j 0.0188233-0.00664122j 0.00471519+0.00555143j -0.00149907+0.00694666j 0.00571832+0.00115942j -0.00767493-0.00333249j -0.00565604+0.0113054j 0.00218296+0.0151405j -0.000835596-0.00865648j 0.00322427-0.00439655j -0.0078805-0.00750123j 0.00288048+0.00155188j -0.00308668+0.00314985j -0.019181-0.00876318j 0.0034296-0.00253947j 0.00327209+0.0190693j 0.0146688+0.0184168j 0.0251135+0.00530001j -0.00555183+0.00250978j 0.00283597+0.0114686j 0.00158877-0.0102424j -0.00171037+0.00451236j -0.00562553+0.00010656j -0.00343067-0.0203691j -0.0135919-0.0172321j 0.00679935-0.0187036j -0.00801194-0.00596886j -0.000565029+0.0129748j 0.00410191-0.0053925j 0.00099476+0.00236697j 0.00123958+0.00777504j 0.00637277-0.00699359j -0.00206748-0.00186034j 0.0106499-0.0047419j 0.000747653-0.00091198j 0.00183119-0.000199433j 0.000691578-0.00418767j -0.00403458-0.0055006j 0.000476873+0.00515336j -0.00561682+0.0162588j -0.00511681+0.00649333j 0.00363677-0.00727414j -0.0128781+0.0124515j 0.000188721+0.00697891j -0.0124714+0.00646465j 0.0111863-0.00424941j -0.000432544+0.00241718j 0.00294276+0.0047644j -0.00799967-0.00842232j -0.00864043-0.00537066j -0.0197054-0.013513j -0.00853998-0.015848j 0.00179141-0.00290616j -0.0162186+0.0137527j -0.0196853+0.00913363j -0.0143944-0.0104917j -0.00450301-0.00431924j -0.00143009-0.00605869j 0.0149229-0.00514831j 0.00114488-0.00787083j -0.0030241+0.00542291j 0.00471261+0.00157123j -0.004547-0.00046508j -0.00168836+0.00397512j 0.000326433+0.00051526j 0.00541268-0.000926468j 0.00147442+0.00406973j 0.00306197+0.00126956j -0.000614484+0.0097009j -0.000251664+0.00776812j 0.000977541+0.00519406j -0.00453986-0.00663366j 0.00512946-0.0117578j -0.00238638-0.00640185j -0.00578913+0.00340684j -0.00509814-0.0205182j 0.0134814-0.0190275j 0.0227673+0.00260564j -0.012124+0.00763974j 0.0223806-0.00492557j 0.00978002+0.00169695j 0.00658576-0.00148185j 0.00139544-0.0081767j -0.00356492-0.00601235j -0.00828251+0.00568852j 0.0149045+0.0245901j -0.0199511+0.0090338j 
-0.00456684-0.00614813j 0.00436918-0.00351255j 0.00708084+0.00549706j 0.00773818+9.77506e-05j 0.000266639-0.00123123j 0.00564609+0.00399642j -0.00198246-0.00546937j 0.00296692-0.00472236j -0.00264749+0.000815992j -0.000139059-0.000455628j -0.00029297+0.00784069j 0.00389481+0.00209657j 0.00283269+0.00487526j -0.00162478+0.00126768j 0.0052571+0.00130992j -0.00079584+0.00525892j -0.000172666-0.000361099j 0.00374835+0.00439566j -0.00668397+0.00112235j 0.00220618+0.000552992j 0.0076092+0.00259333j 0.00988407-0.00581567j -0.000705681+0.00158188j 0.00750045-0.00210665j -0.000630112-0.00285604j 0.0119004+0.00566943j -0.00545441-0.00459921j -0.00260956-0.00871118j -0.00224921-0.0039446j 0.00100234-0.000316956j -0.00227065+0.0101157j -0.00387005+0.00237193j -0.00752915+0.00468283j -0.00337515-0.00103465j -0.0100799+0.00260159j -0.0051233-0.00390094j -0.00160476+0.00144506j 0.00612664-0.00282227j -0.00747796-0.000668532j -0.00403326+0.00630749j 0.00184754+0.00103467j -0.00705436+0.00208871j -0.00569612+0.00581285j -0.00168545+0.0048359j 0.00630023+0.0141961j 0.0033096+0.00735083j 0.00327945-0.00327715j 0.00640202+0.00695269j 0.00831932+0.00488299j 0.00571229+0.0115668j 0.00152375+0.00334939j -0.00152769-0.0102217j 0.0099164+0.00328254j -0.00362158+1.36187e-05j 0.00191905+0.0110313j -0.00178074-0.00106038j 0.0103499-0.0110208j 0.0114106+0.00511065j 2.65112e-06-0.00633797j 0.0107491+0.00782407j -0.00490119-0.0018954j 0.00316877-0.0210316j 0.00605856-0.00854133j 0.0129282-0.00365479j 0.0124897+0.00449158j 0.00308273-0.00333579j -0.0057769-0.00291305j 0.0100038-0.00367568j 0.00132933-0.00592177j -0.00631179-0.00496137j -0.00697967+0.00667685j -0.00278204-0.00402963j 0.0130137+0.00603815j 0.0029984-0.00422023j 0.00473226-0.00445221j 0.00256797-0.0148889j -0.00369315+0.00753088j -0.00650049-0.00400109j 0.0184909+0.00788484j 0.00424579-0.000202914j 0.0130158+0.000237924j 0.00999005+0.00537372j 0.00673854+0.00681218j -0.00354974-0.00347421j -0.00539902+0.0151028j 0.00163163-0.0104473j 0.0142203+0.0119044j 0.00730026-0.00311559j -0.00387448-0.011609j 0.00166108+0.00134161j 0.00277609-0.00176108j 0.00161067+0.00664976j 
