-1.34816+0.886838j -2.04991-2.00589j -1.69675+2.03392j -0.685084+2.35655j -0.631834-0.568873j -2.26447-1.4511j 1.10427-0.287272j 2.36817-0.520373j 1.01402-0.660416j 0.934208-2.47343j -0.0453617-0.363595j -1.86668-1.94075j 2.39106+0.668343j 0.890113-2.73452j -1.55047-0.290228j -1.20471-0.956908j -1.03679+2.363j -2.28085-0.592755j -1.82441+0.30891j -0.296492+0.944463j 0.11558-2.07069j -0.0788167-0.0980987j 0.948086+0.758548j -0.974776-1.22922j 1.00453+0.320893j 1.90376-0.521061j -0.183721+0.137789j -0.370319+0.629514j 0.129538-0.549128j -0.310835+1.71382j -1.02305-1.59747j -0.170126-0.220027j 0.468803+0.294448j -1.41142+0.497011j -1.21523+1.22527j 1.30649+1.16649j -0.478069+0.847375j 0.173558-0.303594j -2.24018-0.275981j 0.465911+0.458501j 1.19295+3.51404j 0.365237-0.269287j 1.68441-0.861911j 0.247941-0.768267j 0.371014-1.08671j -1.06374+1.95527j 1.32749-2.36171j 0.259447-0.978864j -0.670498+0.0823814j -0.285495-0.519038j 0.552011+1.17312j 0.894125+0.161435j -1.31467-0.464589j -0.431662-0.197019j 0.36575-0.066818j 2.13451-1.01184j -0.605154+0.0870331j -0.31029-0.152098j 0.459263-0.552859j -0.504962+0.598798j 2.56171-0.881076j 1.1387-0.737465j -0.360582+0.833196j -0.411906-0.333458j 0.0169315-0.312585j -0.0859029+0.824214j -0.127386-0.940399j -0.0660687+0.28264j 0.315718+0.46119j -0.357689+0.71998j -0.775877-0.58584j -2.8412-0.774429j -0.0222922-0.391507j 0.163604-0.0719102j -0.640765-0.0574706j 0.274066+0.440817j 2.02603+0.748946j 0.286984+0.0892173j -0.341089+0.0500436j -1.44557+0.539327j 0.00669636+0.147041j 0.560701+0.559177j -0.947261+0.918177j -1.40489-1.77751j 0.528344+0.326531j 0.393388-0.378166j -1.17351-1.93126j 0.883286+1.02215j 1.00043-0.0988778j -1.06847-1.08552j 0.284753+1.90831j 0.836307-2.41601j -0.982644+1.29442j -1.54945-0.0597523j 0.561616-0.267855j 
2.10645-0.551518j 1.00601+2.50336j 1.01627+0.296032j 0.48825-1.99903j -1.14242-0.520707j -0.534457+0.0644513j 0.414739-0.621612j -2.07933+1.47779j 0.655734-0.2848j 0.467539-0.690958j -0.557272-1.32822j 2.13516+0.0920426j 0.329783+1.17256j 2.05366+1.74528j 1.23113-1.82124j 1.49074+0.128091j -0.16736-1.78074j 0.714693+0.257616j 0.456955-1.3533j 0.938873+0.380482j -0.0768657+0.128246j -0.218367+0.274947j 0.15464-0.804542j 1.48642-1.2274j 0.171679-0.150721j 0.0437302-0.249225j 0.208604+0.38907j 0.382562+0.139483j 1.86092+0.591158j -0.825028+0.428566j -0.337088-0.302438j -0.323345+0.00225243j 0.669719-0.82588j -1.22991-1.01207j -0.682185+0.810911j 0.604803+1.87385j -1.40259+0.658572j 2.41268+0.351158j 1.73414+1.96228j 0.917264+2.24582j 1.32516-2.90212j 0.0447173+0.528377j 0.481813-0.570726j 1.04077-0.381933j -0.802241-1.39036j 1.38028+1.21259j -1.22067+2.46296j 0.351952+0.682249j 0.646267-0.40759j -1.01282-0.344169j 0.309468+1.00062j 0.0830544+0.832588j -1.70056+0.556812j -0.531882+0.702158j -0.1953+0.540064j -0.452582-0.978602j -0.543414+0.755113j -1.26703-0.170623j -0.0117508+0.476995j -0.231435-0.319236j -2.38381+2.00657j 0.433648-0.648339j -0.579338+1.04706j 0.151755+0.430462j 0.130493-0.143859j 0.745558+1.12736j 0.720118-0.26773j 0.296037+0.339635j -0.0919243+0.64533j 0.344629+1.27031j -0.114949-0.610135j 0.790191+0.885347j -1.04962-0.657737j 0.266778+0.0020169j -0.244598-0.329252j 1.52238-0.163131j -2.62923+0.881j 0.502207+0.729579j -0.946753+0.514381j -0.337611-0.621447j 0.360883+0.169496j 1.02214-0.299651j -1.12529+0.509847j 0.616976+1.47902j 0.656405-0.528695j -0.744908-0.629406j 0.932189-0.46115j -2.48423-0.692761j 0.619033-0.608987j 0.137722-1.45538j -0.0322275-0.8171j 0.577918+1.40808j -2.19783-1.43765j 2.36376-0.644009j 0.218817+2.73676j 
-1.20087-1.69791j 1.88429-1.76102j -0.0556868-0.983119j -1.9708+0.266954j -0.086121+1.23902j 0.208622+0.535213j -0.722755-0.181779j 2.09549+1.35321j -0.507719-0.519754j -0.870656-0.198091j -1.03845+0.974133j -0.714852-1.98002j 0.992006-0.756433j 0.868212-2.53665j -2.11341-0.517073j 1.89861-0.697054j -1.22392-2.13548j 1.0876-0.0305555j 0.153804-1.86189j 1.35633+0.0347221j 0.0246491+0.227687j -0.236261+0.493043j 0.00884899-1.24125j 1.80606-1.7632j 0.293843-0.246343j -0.0180097-0.146496j 0.329031+0.615107j 0.630512+0.184615j 2.40387+1.02914j -1.10614+0.53576j -0.280367-0.311362j -0.485956-0.118046j 1.06675-0.877096j -1.39122-1.63109j -1.135+0.711081j 0.190369+2.6601j -2.08548+0.478662j 0.875812+2.70114j -1.0077-1.23487j -2.53351+1.99201j -0.69506+1.33904j -0.82582+0.287145j -0.0773989+0.468073j 0.810556+1.8197j 2.34064-1.67693j -0.616969-0.424556j -0.359954-0.85376j 0.615297+0.828069j -0.329905+0.850091j 0.374954-0.0660721j -0.343618-0.358756j -2.09277-0.148336j 0.49957-0.536772j -0.48255+0.392605j -0.989874-0.524887j 2.81857-0.153906j -0.258502-0.292846j 0.830375-0.404272j -0.952431+0.198059j 0.949797-0.886714j -0.210869-0.702256j 0.17243+0.177371j -0.298014-1.20566j 0.0074543+0.99302j -0.0170993+0.259382j -0.140143+0.244216j -0.501724+1.41318j -0.0650995+0.212538j -0.747912-1.04743j -0.333691+0.353986j 0.888784+0.629973j -2.5115-1.07565j 0.156618-0.428349j -0.722724+0.552059j 0.718988+0.366266j 0.578962+0.66949j -0.42068-0.837972j -0.47693+0.0472425j -0.258863-0.150033j 1.53763+0.350045j -0.804656-0.202088j 0.727929-0.00201286j -0.0471734-1.0856j -1.27559-1.95466j 0.660331+0.337372j 0.336354-1.05883j -1.08381+0.720005j -0.115541-1.37512j 0.191653-0.221107j 0.932982-0.28003j 0.774124+1.45943j -1.05938-1.97322j -0.758769-0.92919j -1.17944+2.47842j -1.70187+0.725666j 
-1.04204+0.684422j -0.481201-0.296166j 1.08691-1.40209j 0.801571+1.45418j 1.34558+1.18303j 0.750137+0.977599j -0.35724+0.217833j 0.677946-1.14628j -0.911748-0.722067j 0.279144+0.711968j -0.0944937+0.176494j -0.542283+0.738225j -0.943858+0.807258j -0.683695+1.54546j 1.70121+0.951833j -1.21355+0.623015j 0.523241+0.321897j 1.36881-1.31406j 0.850373+1.87223j -1.93959-1.59058j 0.467218+0.958104j 0.328889-0.24338j -0.531515+0.506147j -0.923009+1.74307j -1.16458-0.732091j 0.44222+0.750209j 0.571953-0.0540072j -0.507177+0.224753j -0.463745+0.174747j 0.915885-1.43074j 0.358916-1.25498j -0.265785+0.182841j 0.278309+0.244169j 1.20374-0.656367j -1.61692-0.376893j -2.17996+1.17769j -1.06967-2.3073j -1.36471+0.392139j -0.326644-0.246442j -0.485822+0.0789056j 0.0487092+0.113708j 1.91483-1.23151j -1.00513+0.11787j -0.356253-1.37767j 1.56371+1.46919j 0.0788191-0.813301j -0.0655089-0.911381j -1.25417-0.914665j -0.183672-0.383998j 0.301994+0.313281j -0.145967-0.559444j 0.874497-0.345344j 0.512422-0.0423491j 0.5128-0.352594j 0.66513+0.437022j 0.269378+0.962573j 0.0991905-0.00223946j 0.399453+0.764642j -0.414983-0.6746j -0.783631+0.171971j -0.00964006-1.06163j 0.0560841+0.800404j 0.889947+0.109369j -0.0288036+0.0140559j -0.171015+0.0573406j -0.729455-0.0787948j 0.172613-0.577021j -0.2909-0.0542004j 0.00902108+0.274428j 0.467859-0.705506j -0.0717264+0.734347j -0.0754363-0.372078j -0.119442+0.451817j -0.200159-0.474751j 0.316826-0.0836649j -0.721027+1.14573j -0.0726204-0.458667j 0.298174-0.530173j -0.373469-0.719965j -0.0516899-0.010403j 0.319133+0.00413537j -0.163227-0.0952817j 0.590839-0.39274j -0.381812-0.264927j -0.330134-0.397863j 1.26316-0.24127j -0.0929912+0.0507397j -0.0926309-0.744846j 0.177487+0.0170272j 0.630305+0.264017j 0.305762+1.07243j -0.162257-0.102306j -0.565727-1.60063j -0.0683007+1.25755j -2.11027+0.80304j 
1.38179-0.222781j -0.00222955+1.67334j 1.30799+0.524571j -0.227566-0.128288j 0.402099+0.964862j -0.442733+0.837184j -1.31456+0.761121j 0.720719+0.94014j -0.512824-0.595228j -0.879693+1.02733j -1.48662+1.20832j 0.884689-0.973515j -1.35984-1.59609j 0.205147+0.489745j -0.426216-0.532834j 1.92969+0.439799j 0.452322-2.31956j 1.38908+0.601747j 0.360366-0.626882j -0.43392-0.538333j -0.620927+0.836869j 0.378123-0.679677j -1.00626+1.25517j 0.109922-0.743261j -0.533386-0.649312j -0.361785+0.3447j -0.280305-0.888587j -1.5374-0.866222j 0.945964-1.76715j -0.366445-0.00633544j 1.37833-0.464722j 0.348534+0.570648j -2.35786-0.624008j -2.06255-0.114805j -0.098853-2.01383j 0.0465116+1.17138j -0.665621+1.07622j 2.1289+1.17888j 0.2875+0.0561682j -0.499846+2.44914j 0.280361-0.610974j 0.519105+0.669153j -0.292525-0.697297j 0.542793-0.520744j 0.81166-0.644695j 0.495294-0.413775j 0.236912-0.320681j -0.034128+0.352244j 1.03019-0.636416j 0.121434-0.0746354j 0.912905-0.268383j 0.330529-0.269925j 0.638972+0.337685j -0.0183809-0.670653j 0.217198+0.786119j 0.491898-0.0756187j -0.272457-0.023686j -0.184067+0.76594j 0.388946+0.843869j 0.00635478+0.327044j 0.0311345+0.337334j -0.679525-0.438343j 0.588821+0.0103264j -0.517814-0.211194j 0.0241183+0.0716562j -0.873427-0.59273j 0.271609-0.575422j -0.153961-0.12963j 0.656559+0.153684j 0.885072-0.238809j 0.143626-0.161369j 0.0162296+0.561986j 0.408094+0.182685j -0.0388405-0.578314j -0.177583+0.140127j -0.0844153-0.877365j -0.184287+0.72851j 0.414681-0.541801j 0.440049-0.921948j -0.689362+0.0513162j 0.402589-0.0791791j -0.932192-0.112504j 0.363401+0.356275j -0.724332+0.460169j -0.474353-0.345771j -0.41148+1.32831j -0.333785-0.238351j -1.3619+1.36559j 0.33455+0.598627j -0.580402+1.09721j -1.4758-0.680655j -1.72126-0.510157j -0.300365-0.383325j 0.484023+0.846664j 0.442669+0.570612j 
1.43508+1.08483j 0.0117125+1.11358j -1.79775-1.54995j 1.98924-1.43172j 1.71661-1.98318j 1.36527-0.939875j 0.228459+0.744822j -1.55816-0.696018j -1.15954+1.29661j 1.00776-0.276743j 0.0558644+0.492069j 1.27457+0.347913j 0.885145+1.2926j 2.68226+0.99791j 1.14949-2.76163j 0.203676+0.213529j 0.124831-0.312923j 0.173566-0.145646j 0.139228+0.122615j -0.498448-0.164104j -0.137306+0.0798379j 0.117192-0.207738j -0.203318+0.328024j -0.126721-0.0116742j -0.164941-0.23091j 0.182957+0.115468j 0.0511007-0.136525j -0.405362-0.0438406j 0.0241853-0.284344j 0.0715144+0.0614667j 0.191898-0.293879j -0.0455746+0.0371108j -0.453796+0.00974379j -0.340333+0.128466j -0.139406-0.384822j -0.0141099+0.116865j 0.00883134+0.0493869j 0.193137-0.162277j 0.547666+1.47736j -0.116981+0.142332j -0.29902-0.762688j 0.618693+1.11811j 1.36049+2.69239j 0.862735-0.421577j -1.04609+1.04684j -1.91861+0.488273j -1.82323+2.08248j -0.509055+0.283533j 1.22887-0.666959j 0.382692-0.929616j -1.21314+0.281333j 0.485482+0.794481j -0.0369028-1.19159j 0.0470861-0.625057j -0.766112+0.779022j -1.28086+0.108635j 0.230481-0.469779j 0.629303-0.588467j 1.14672-0.503348j -0.201025-0.700233j -1.56559+0.0813962j 0.420856-0.485781j 0.0681615-0.0985352j -0.140507-1.46737j -0.130103-0.166394j -0.39092+0.395819j 0.908847+0.873496j 0.0791462+0.308476j -0.581563-0.351448j -0.292542-0.896689j -1.45913-0.799684j 0.719899-0.036409j 0.580985+0.37482j 1.46724-0.261641j 0.0179934+0.589779j 0.740853+0.391361j -0.345206+0.319892j -0.677442-0.356685j -0.471746+0.0565633j -0.198537-0.532015j -0.611917+1.06573j -0.0832127+0.921448j 0.428806+1.06599j 0.957771+0.0294552j -0.606929+0.318158j 0.0340593-0.251682j 0.292222-1.10183j -0.561527+0.381937j 1.30958-0.175122j -0.491145-0.13315j -1.43304+0.355831j 2.31754-0.573507j -1.50039-1.13107j -0.610333-2.45103j 0.501273+0.778766j 
-0.351248-2.44778j 2.70854-0.201594j 0.556264-1.45975j -0.681212+0.0380831j 0.851104-0.811746j 0.926848+0.389234j 1.2885+1.82992j 1.37301-0.627816j -0.472917+0.878626j 1.39971+1.12315j 1.85567+2.12393j -1.42656-1.6549j -2.19323+1.72125j 0.719546-0.922006j -1.43492+0.613915j 0.171264-0.425861j -0.410043-0.0988358j 0.112453-0.0203327j -0.279102-0.130728j 0.122759-0.00157523j 0.0108621-0.0919574j 0.0638345-0.0636216j 0.0545478+0.149089j -0.0610021-0.178583j 0.184983+0.00739513j 0.173071+0.0338347j 0.056416+0.0224288j -0.0677817-0.0827445j -0.00216492-0.0844736j 0.037246+0.219367j 0.185065-0.106302j -0.0279098-0.102686j 0.112857-0.0112061j -0.0540087+0.0998358j -9.755e-05-0.0628881j 0.00387001-0.187788j 0.146744+0.0482307j -0.141364+0.43975j 1.72786-2.62338j -0.796663-0.35166j -3.01283-1.22783j -0.624817+0.20889j -1.1909+0.429103j 0.235474+0.473404j 0.21043+0.251473j -0.207444-0.572317j 0.706258+0.949249j -0.100207+0.367608j 0.237628+0.891962j -0.797415-0.100272j -0.304216-1.65742j 0.0590702+0.625521j -0.510907-0.304652j 0.25611-0.734463j -1.12705-0.149673j 0.232904+0.16562j -0.33723+0.734738j 1.5834-0.246177j -0.478588+0.687932j -0.48169+0.00294472j 0.563169+0.0283645j -0.833857+0.491082j -0.974262+0.790828j 0.274095-0.727402j -0.00174643+0.117683j -0.628462+0.748177j 0.348196+1.52117j 0.0262386+0.129792j -0.0808975+0.8731j -0.234306-1.12119j 1.13733+0.125021j -1.39553-0.318132j 0.299456-0.631794j 1.39931+0.47804j -0.337157-0.478259j -0.786049-0.393491j 0.685485+0.174948j -0.695269+0.174359j -0.485803-0.494142j 0.289514-1.39354j -0.602413+1.04899j -0.91235+0.31788j -0.859478-0.976244j -2.25944-2.01077j -0.436157+0.733699j -0.133872-0.0172971j 1.69691+0.336256j 0.562233+1.36159j -0.664416+2.49033j 1.17583-1.09607j -0.847676+1.14101j 0.408472-0.148104j -0.528304+0.690451j -0.467759+0.635829j 0.303619-0.25468j 
-0.494714+1.05191j -0.723246+0.37624j 1.20697-1.4516j 1.18485+1.24882j 1.63871+1.21446j 0.782387+1.07716j -0.694072+0.324301j 0.455832-1.04215j -1.12357-0.825854j 0.13397+0.882996j -0.532844+0.256511j -0.058827+0.813332j -1.09599+0.527297j -0.55242+2.07968j 2.03564+0.643299j -0.686721-0.913566j 0.22048+0.691387j 1.01656+1.99799j -2.0219+0.619073j 2.23319-1.97861j -1.26352-0.117298j 0.375806+0.580812j -0.643948-1.07414j -1.20814-1.43207j 1.44315-1.14832j -0.859298+0.376634j 0.106833+0.785893j 0.117534-0.910714j 0.246835-0.0382156j 1.0026+1.47211j 1.36412+1.00166j -0.240752-0.513283j -0.0309779-0.186821j 0.355675+0.937375j 1.35585-1.45972j -0.691444-2.74358j 2.54557-0.425992j 0.516221-0.485668j 0.0229197+0.0352152j 0.265694-0.589172j 0.0799449+0.307896j -1.7751+1.10892j 0.745113-0.446299j 0.388686+1.41568j -1.55222-1.28068j 0.21616+0.521574j 0.324552+0.446147j 1.23021+0.555651j -0.310646+0.630803j -0.366821+0.0390224j -0.017722+0.507561j -0.9579+0.254916j -0.27549+0.218366j -0.307306+0.482492j -0.608575-0.78214j -0.0121698-0.820977j -0.0837638+0.0224137j -0.521601-0.879745j 0.304458+0.390532j 0.859614-0.182488j 0.398499+0.808419j -0.210343-0.491863j -1.04887-0.0865065j 0.00262757+0.115093j 0.169577-0.122565j 0.954688-0.137961j -0.475813+0.395564j 0.327372-0.117812j 0.00396138-0.280589j -0.593334+0.762492j 0.272136-0.686504j 0.104502+0.0193031j 0.0876756-0.499261j -0.0333736+0.647011j -0.378321+0.073922j 0.330237-0.98788j -0.0213914+0.244769j -0.443055+0.670242j 0.545682+0.770155j -0.0247693+0.129649j -0.333663-0.333034j 0.242493+0.0816664j -0.617091+0.0947329j 0.417488+0.271311j 0.428064+0.477257j -1.07017+0.286594j 0.174845+0.241718j 0.385474+0.255666j -0.390435+0.0365722j -0.335404-0.239609j 0.0631115-1.04302j 0.128093+0.352778j 1.06768+1.44014j 0.146124-0.962881j 1.52808-1.09629j 
2.03749-0.493259j 0.460931+2.13569j 0.952142+0.486186j -0.102185-0.800918j 0.441949+0.368092j -0.346573+0.577163j -1.20136+0.96607j 0.333428+1.12888j -0.546386-0.206287j -0.796668+0.920644j -1.49382+1.36384j 1.2888-1.15276j -1.14929-1.6036j 0.880829+0.382402j -0.624046-1.28868j -0.689968+2.36233j 2.50069+0.73769j -1.24697+0.942419j 0.974563+0.357326j 0.188456+0.0482851j -0.358848-1.05609j 0.744404+0.570021j -1.09747-1.18235j 0.940205+0.61928j 0.680078+0.0235227j 0.0647801-0.341668j 1.19529-0.048313j 1.57296-1.31276j 1.48328+1.62316j -0.054832-0.579318j -0.107273+1.53232j -0.661619+0.160499j 1.80755-2.1576j 0.986748-2.33278j 2.00929+1.03006j -1.11799-0.00417717j -1.24169-1.07338j -2.10963-0.584877j -0.280268-0.20723j 0.232457-2.07143j -0.194222+0.428737j -0.238652-0.990964j -0.0899264+0.40759j -0.576009+0.151148j -0.23886+0.696475j -0.220072+0.160056j -0.00543489-0.00520542j -0.247939-0.674492j -1.00263+0.57985j -0.0813046+0.344323j -0.695066+0.217057j -0.153133+0.239905j -0.455223-0.153758j 0.484533+0.703067j 0.0696967-0.7117j -0.178594+0.371789j 0.330973+0.139745j 0.186108-0.444885j -0.467587-0.831236j -0.307648-0.285576j 0.0749592-0.223329j 0.696547+0.738455j -0.362784+0.0607928j 0.646535+0.304178j -0.0938827-0.114615j 0.862396+0.319005j -0.373343+0.211287j 0.101222-0.0474469j -0.75315-0.0225197j -0.584897+0.0536642j -0.110931+0.31864j 0.0610273-0.602232j -0.536574-0.0910709j -0.196646+0.645301j 0.311448-0.255568j -0.180763+0.840789j -0.102495-0.746613j -0.234096+0.35133j -0.415026+0.879889j 0.547129-0.0673395j -0.424477-0.181082j 0.759375-0.0779464j -0.3225-0.476094j 0.700422-0.448126j 0.364378+0.242075j 0.409988-1.26087j 0.186876+0.280604j 1.24123-1.48321j -0.478266-0.595177j 0.831297-0.871034j 1.51468+0.644816j 1.23715+0.565976j 0.217455+0.180785j -0.396717-0.31306j -0.738987-0.298063j 
-0.119207+0.588243j 0.0860694+0.47314j 0.47125-1.35093j 0.68604+0.807727j 0.504722+0.140668j -0.304707-0.396344j 0.580949-0.194726j -0.429395+0.367317j -0.407211-1.21755j 1.52899-0.239751j -0.40903-0.58171j 0.242981+0.283514j 0.626548+0.990092j 1.2404-0.052j 0.413234-1.56949j -0.263028+0.762593j 0.011881-0.567672j 0.781035-1.75843j 0.907036+1.28283j -1.02189-0.325352j -0.309941-0.620025j -0.0888006+0.210637j 0.763201-0.591671j 0.711145-0.355602j -0.943047-1.50717j 2.13466-0.0048348j 1.04681+0.561992j -0.122297+0.801328j 1.07956+0.841381j 0.121539-0.614446j -0.758415-1.04353j -0.992053+0.124968j 0.196731-0.4871j -0.162672-0.647106j -0.0162965+1.57468j 1.72882+1.22345j -1.96692+1.51872j -0.0913417+0.50219j 0.142807+0.211736j 0.398251+0.936172j -0.291208-0.226036j 1.19746-1.92018j 0.123047+1.02367j -0.546-0.669179j 0.734111+0.689603j -0.369365+0.0608021j -0.382262+0.131227j -0.496133-0.0541306j 0.0968989+0.778615j 0.0830319+0.0616142j 0.0994627+0.562004j -0.678379-0.0560645j -0.66166-0.0755989j -0.326162+0.371778j 0.186754+1.34874j 0.113151-0.514348j 0.158189+0.416797j 0.889274+1.01209j -1.32051-0.478487j -0.879469-0.920039j -0.0849158+0.455392j 1.72318-0.168008j 1.32117-0.0563934j 0.119557+0.693321j -0.205371+0.148259j -0.215519+1.0879j 0.287193+0.0800695j 0.0145242+0.502609j -0.229002+0.0425541j 0.582133-0.105933j 0.0715737+0.683318j -0.425703+0.120625j -0.410992+0.32859j 0.117952+0.0357551j 0.774671+0.139892j 1.07065+1.04844j -0.186229+0.747903j 0.923753-0.543551j -1.03143+0.298818j 0.095157-0.170249j 0.0715154+0.0650692j 0.275484-0.133257j 0.0909512-0.43346j -0.164736-0.0461933j -0.221261-0.566828j -0.147435-1.20074j -0.0832889-0.18505j -0.496768+0.314011j -0.411355-0.384422j -0.0164756-0.257571j 1.21833-0.641225j -0.289861-0.433658j -0.884142+2.23235j 0.192568-0.194311j 2.36952+1.21978j 
0.75384-0.623464j -0.186009+0.474162j 0.326571+1.02762j -1.42009+0.055995j 0.472041+0.165257j -0.477704-0.369794j 0.128301+1.14248j 0.214393+0.555961j 1.23802-1.14697j 0.591254+0.879147j 0.223799-0.726157j -0.493302-1.20152j -1.68144+1.14088j 0.448494+0.601476j -0.212345+0.810028j 1.43738-0.442667j 0.0488558-0.827965j -0.29647+0.944417j -1.33884-0.649655j -0.514452+0.545002j -0.870763-0.620307j -0.0952311-0.719844j 0.441977+1.20132j 0.150959-1.41705j 0.717357-1.42608j 0.359959+0.440451j 0.170855+0.533701j -1.25503+0.903748j 0.815364+0.155669j 1.16101+1.34915j 0.33948-1.04575j -1.09049-0.78217j 0.865771+0.293821j -0.533948+1.8745j -2.19941-0.117216j 0.679345+0.477064j 1.17766+0.422152j 2.02276-0.251751j 0.322031-0.698858j 0.291068+0.431451j 0.0253912-0.0160302j -0.994128+1.11456j -0.139174-1.34848j -0.903533+0.419953j -0.632399-0.681532j -0.146225+0.308221j 1.07993-0.577229j 0.534548+1.01882j 1.05744-0.0520087j -0.457556-0.544896j 0.817676-0.508158j -0.374354-0.579387j -0.244804-0.438738j -0.606794-0.537423j -0.340488+0.739353j -0.483597-0.722807j -0.532206+0.42924j -0.40623+0.534941j 0.141445+0.725733j -0.403759-0.241847j 0.924929+0.101448j -0.646341+0.0941349j 0.289297-0.152778j -0.402039+0.4234j -0.167682+0.358175j -0.739608+0.506069j 0.515375+0.22269j -0.0789178+0.63368j -0.238213-0.0476955j 0.913514+0.41654j 0.0560936-0.365153j -0.0961114+0.479498j -0.479183-0.00593257j 0.0945013-0.28595j 0.639746+0.396484j -0.928677-0.317431j 0.713427+0.442528j 0.624525-0.0687944j -0.994901-0.556543j 0.641361-0.13582j -0.40205+0.290611j 0.496567-0.690322j -0.150458+0.690453j -0.0404704+0.576149j 0.45604-1.52358j 1.12341+0.496012j 0.037101+0.144786j 1.2883+0.400829j 0.359855-0.549812j -0.745266-0.60773j 0.0488171+1.98707j -0.116883+1.74667j 0.0856009+0.598929j 1.05978-0.522371j 0.248652-1.3479j 
