0.791492-0.112573j -0.410134-0.640462j 0.00883912+0.2572j 0.573484-0.308624j -0.420793-0.411978j -0.481803+0.170698j -0.211668-0.23752j 0.247038+0.572022j -0.087696-0.348958j -0.183293+0.165995j 0.160569+0.51847j -0.452076-0.366723j 0.354809+0.060926j 0.405902-0.284745j -0.161824+0.0384614j -0.507729+0.107359j 0.110922-0.325611j 0.0459247-0.515881j 0.0458037+0.622278j -0.295646-0.235858j -0.0050447+0.249447j 0.358479+0.560604j -0.293991+0.199568j 0.447876+0.0243682j 0.278716-0.710438j -0.573372+0.0782127j -0.214323-0.398706j 0.0824041-1.12375j -0.94615-1.22085j -0.965596+0.315519j 0.731021-1.3294j 0.492686-0.507379j -0.0819672-1.16579j -0.987244+0.681215j -0.811538-0.136695j 0.604262+0.126731j 0.0378406-0.0634416j 0.79741-0.552829j 0.70867-0.274918j -0.331573-0.487204j 0.956082-0.659463j 0.0658876+0.657413j 0.596932+0.556498j 0.199495+0.15726j 0.464903+0.224503j -0.191655-0.426338j -0.417813-0.0486441j -0.275674-0.538986j -1.33249+0.167388j 0.707211-0.0785668j -0.0463505+0.458821j 0.257313-0.0209412j -0.0356527+0.599215j 0.445319-0.37213j -0.137577+0.178164j -0.270213+0.6135j -0.132235-0.780416j 0.982871+0.420138j -0.18376+0.42365j 0.707405-0.0214288j -0.998914-0.373877j 0.033271+0.100102j 0.312973-0.414119j 0.571087-0.36209j -1.04672-0.386798j -0.20395-1.0935j 0.432824+0.143533j 0.948076+1.04139j 0.568493-1.17722j 
0.455204+0.231487j -0.17238+0.377374j -1.89732+0.315037j 0.360993+1.02527j -0.650882-1.23303j -0.270305-0.631152j 0.286494-0.289267j -0.517582+0.0718683j 0.322027+0.838182j -0.0481078-0.498794j -0.194422+0.616735j -0.39619-0.68504j -0.683221-0.0508855j 0.522638-0.0948789j 0.168815+0.0394599j 1.00562-0.502424j -0.250466+0.508816j 0.213423-0.955797j -0.0746934-0.11262j -0.322142-0.553019j 0.417678-0.635914j -0.482781-0.521459j -1.15111+0.18223j -0.148244-0.715372j -0.441437+0.0133738j 0.0321122+0.0498999j -0.732457-0.45133j -1.29486-0.518078j 0.600542-0.466378j -0.453548+1.82964j -0.30474-0.368461j 0.870802+2.1611j 1.85951-1.24312j -0.715318+0.0930834j 0.163614-0.801931j -0.441703+0.159066j 0.0422996+0.0527549j 0.451482+0.450946j -0.662802+0.622416j 0.356145-0.0414631j 1.29418-0.42149j -0.211046-0.880933j 0.399544+0.971166j -0.29042-0.102095j -0.0904233-0.0373738j 0.280599+0.408345j -0.00261396+0.0466531j 0.888417+0.500341j 0.144045-0.281786j 1.35153-0.0759948j -0.326392+0.457903j -0.662946-0.0815282j -0.216621+0.869934j -0.192768+1.12414j 0.48917-0.311438j 0.124239+0.159382j 0.102555+0.387563j 0.666622+0.160998j -0.409119-1.0618j 0.885181-0.323841j 0.718082-0.135772j -0.0742458-0.387966j 0.55947-0.733159j -0.98211-0.296972j -0.415563-0.265146j -0.166396+0.359713j 0.58006-0.403375j 1.24348-0.619253j -1.25447-1.29988j 
-0.477295-1.43236j -1.12779+0.627127j 0.181244-0.432163j 0.0105269+0.0882278j -0.495349-0.0942243j 0.745681+0.508661j 0.676034-0.659801j -0.3801+0.492733j -0.478874+0.54854j -0.603206-0.669186j -0.0512338+0.126248j 0.518345+0.80733j 0.464997+0.405906j 1.10243+0.181318j 0.244105+0.0415367j 0.704014-0.216799j 0.677292-0.499154j -0.00265158+0.741547j -0.280728-0.551812j -0.0860102-1.18575j -0.0784479+0.106309j -0.659216+0.0555927j -0.406261-0.50279j -0.294221+0.599139j -0.353603+1.5411j -0.557088-1.06491j 2.06662-0.384445j -0.84004-0.366975j -1.08953+1.68957j 0.531985-0.036588j -1.35431-0.574461j -0.892197+0.112207j 0.00237653-0.565901j 0.313802-0.219138j -0.8994+0.357018j -0.940692-0.690859j 0.0740473-0.405173j 0.874266-0.0224062j -0.939293-0.23176j 0.220393-1.23904j -0.341918+0.10921j 0.0400297+0.256482j 0.130576-0.127217j 0.46687+0.0962346j 0.6324+1.01113j 0.486171+0.657045j -0.724475+0.307717j 0.742372+0.614063j -0.136179-0.0605038j -0.946956+0.246334j -0.624905+0.665436j -0.127665-0.0413354j -0.285583+0.835336j 0.00497154-0.0510122j -0.112834+0.099602j 0.155001-1.21175j 0.0438029-0.546354j -1.14149-0.0980145j -0.145482-0.151186j 0.968019+0.323957j 0.388907-0.498748j -0.0225539+0.0301765j 0.533167+0.0310353j 0.102874+0.479939j 0.69716-0.0820467j 1.85976+1.007j -0.389101+2.13258j 0.359342-0.356108j 0.203765+0.174354j 
-0.149783+0.066976j 0.326148-0.347183j 1.10193+0.0209741j -0.509687-0.356427j -0.660195+0.196054j 0.378765-1.01519j 0.294409-0.243492j -0.778299-0.550808j 1.21455-1.04899j -0.420198+0.197221j -0.527554+0.649729j 0.646455+1.45543j 0.135677+1.11097j -0.886741+0.0745575j 0.204039-0.235883j -0.278612-0.357183j 0.221401+0.0888362j -0.532328+0.579511j -0.462538-0.233273j 0.0197385+0.143434j -1.03767-1.00103j 0.540114-0.199417j -0.131469-0.099941j -0.639476+0.537008j -0.0556134-0.162577j -0.00638341+0.376547j 0.34853-0.371526j 0.148912-1.19101j -0.170303+0.322169j -1.70059-0.536039j 0.436901+0.449328j -0.429496-0.733539j -0.443904+0.100351j 0.139509+0.417194j 0.410316-0.243689j -1.22449+0.566205j 0.0355476-0.0864232j 0.793337+0.630828j 1.54554+0.174396j -0.0991943-0.117092j -0.356993+0.677127j -0.519657+0.957903j -0.554486-1.40508j 0.0416559+0.252372j -0.101329+0.522836j 0.210943-0.206485j 0.130685-0.112996j -0.260778-0.294028j -0.137924-0.424973j -0.546714+0.328297j 0.133594-0.125305j 0.312435+1.14543j -0.0515785-0.45235j 0.0399793-0.401279j -0.637793-0.635771j 0.157025-0.177205j -0.243836+0.129257j -0.474717+0.282631j -0.840851+0.460722j -0.328405+0.441407j 0.112508+0.462723j -0.569571+0.209939j 0.0123829-0.292322j 0.284997+0.176134j 0.217876-0.0534918j -0.298452+0.153873j 0.386979+0.229572j 0.882942+0.316179j 0.465432-1.39328j 
0.13842-0.0748171j -0.286605-0.148481j -0.332045-0.541368j 0.137355+0.697159j 0.314444+0.487517j -1.07545+0.375952j -0.131139-0.117943j -0.164127+0.931845j -1.44244-0.583783j 0.351911+0.190602j 0.840225+0.129306j 0.773776-1.09233j 0.720495-0.603548j 0.604303+0.717249j -0.428389-0.00419605j -0.240624+0.440219j -0.0910475-0.156845j 0.689361+0.264068j 0.0191689+0.516776j 0.102221-0.195641j -0.296615+1.37466j -0.260118-0.332383j 0.113757+0.0293037j 0.894609+0.29111j 0.00745533+0.143415j 0.283782+0.0535009j -0.291251-0.387823j -1.17738+0.425872j 0.176189+0.188586j 0.287763+1.38687j 0.728287-0.20412j -0.785179-0.0896543j -0.118411+0.216112j 0.566506+0.0138122j -0.276327-0.634823j -0.094761+1.43634j -0.0278017-0.0820197j 1.22538-0.557056j 0.973842-1.48566j -0.0465439-0.114971j 0.531146+0.6232j 0.561192+0.956833j -1.64996-0.154808j 0.160761+0.10452j 0.445524+0.615281j -0.0763291-0.332006j -0.0423723-0.236303j -0.216012+0.0986032j -0.3438-0.26509j 0.137261+0.494103j -0.00722024-0.182543j 1.34357+0.333267j -0.406091-0.0159056j -0.450102-0.0835563j -0.970141+0.268804j 0.0488327-0.323219j -0.0115794+0.54008j 0.0678087+0.648208j -0.0222764+0.919898j 0.420548+0.479453j 0.586137+0.249821j -0.133441+0.735706j -0.256097-0.183262j 0.228609-0.306246j 0.151513-0.322421j -0.0829649+0.275087j 0.657879-0.256962j 0.66685-0.853751j -1.13875-1.10386j 
0.197449+0.786739j -0.371432+0.278299j -1.28398-0.814006j -0.52247-0.648057j 0.436211-0.572193j -0.159225-0.809831j -1.11317+0.296754j 0.637996-0.194419j 0.456849+0.218306j -0.0393957+0.320152j -0.281177+0.116338j -0.155551-0.556905j 0.647074-0.140767j -0.587664-0.118107j 0.511855-0.524313j -0.19971-0.472731j 0.41532-0.544211j -0.332964-0.522478j -0.0542083-0.0616829j 0.0956939+0.660284j -0.625605-0.213317j -0.650683+0.557099j -0.303239+1.06435j -0.919974+0.525061j -0.654785+0.188537j -0.509907-0.998503j -0.365908+1.50866j 0.383795-0.339311j 0.526697-0.61327j 0.281914+1.14508j -0.347424-0.347125j 0.0643852+1.47106j 0.638731+0.694179j -0.333637+1.12203j 1.38217-0.0954921j 0.354604+0.472568j -0.185644+0.266234j -0.240163+0.14492j 0.648916+0.500485j -0.323284+0.570054j 0.681383-0.189362j 0.374882+0.28028j -0.377877-0.250774j 0.33222-0.220383j -0.701707-0.205779j 0.838651-0.465839j 0.558915-0.357439j -0.183186-0.147497j -0.235365+0.445564j 0.225379+0.209772j 0.284504+0.19729j 0.100911+0.448287j -0.129621-0.941272j 0.526592+0.397101j -0.25076+0.191364j 0.0875908+0.0134384j -0.485653-0.16721j 0.10599-0.430822j -0.410694+0.599686j -0.62915+0.180582j -0.132167-0.571664j -0.266368+0.364536j -0.458858-0.513292j 0.552106+1.09109j -0.777857+0.739157j 0.773367+0.399967j -1.46118+0.24159j 0.727556+0.16907j -0.719632+0.225142j 
0.442131-0.524328j 0.519531+0.250828j 0.0236744+1.56765j -0.244364+0.841791j -0.831947+0.0709318j -0.783074+0.426497j 0.911054+0.720979j -0.603524-0.370371j 0.0377788-0.791945j 0.285174-0.191533j 0.261808+0.271895j -0.302662+0.417553j -0.374621-0.380271j 0.164048+0.678148j -0.775102-0.232097j -0.472978+0.367944j -0.607319-0.00221829j -0.268944+0.497889j -0.159302+0.0497201j 0.668219-0.377293j -0.118187+0.649083j 0.801945+0.421423j 0.963295-0.306747j 0.949372+0.758109j 0.447862+0.506844j -0.706696+0.984875j 1.42853-0.491901j -0.451141-0.374607j -0.18948-0.742303j 0.648684-0.635087j -0.591707+0.290495j 1.44384+0.624419j 0.890904-0.358564j 0.697545+0.891935j 0.683822-1.28243j 0.258573-0.390149j 0.234176+0.26653j -0.206464+0.511794j 0.732332+0.076281j 0.289385+0.571954j -0.0198808-0.726609j 0.435689-0.425071j 0.0178446-0.0435813j -0.0224303-0.542583j -0.567201+0.466826j 0.0378856-0.968852j -0.20838-0.598382j -0.182521+0.173753j 0.230389+0.565037j 0.128421-0.0319292j 0.314915+0.0428723j 0.257634+0.26054j -0.877591-0.34188j 0.807995-0.305801j 0.108579+0.328283j 0.125431-0.0111749j -0.371298+0.185226j -0.419995-0.382911j 0.110317+0.630467j -0.233995+0.692694j -0.594174-0.221215j 0.0258113+0.387411j -0.573436-0.0899355j 1.25212+0.149688j 0.376111+1.04836j 0.736657-0.477611j -0.412009+1.54715j 0.539458-0.371837j 0.209968+0.67395j 
-0.724951+1.08822j 0.854175+0.573031j -0.236819+0.0135359j -0.0921083-0.118074j 0.00121682+0.292018j -0.349874+0.100215j 0.413147-0.424484j 0.461054-0.219342j -0.484679-0.738493j -0.38649-1.05343j -0.00534616+0.255581j -0.550293-0.0378381j -0.0796717+0.117717j 0.269838+0.245179j -0.23546+0.381709j -0.292536+0.790154j 1.00632+0.551538j -0.894891-1.17095j -0.690778+0.211998j 1.50218-0.827356j -0.26675+0.365395j 0.560528+0.811965j -1.04036+0.0251365j 0.616795-0.0997442j -0.310144+0.412411j 0.419186+0.649509j -0.687486+0.936891j 0.770071+0.0796869j 1.34036-0.92843j -0.206656-0.0947334j 0.759414+0.938667j 0.544849+0.106481j 0.027306+0.416726j 0.128458-0.133322j -0.560967-0.02741j -0.181481+0.464083j -0.0607509-0.77223j -0.552507+0.339156j 0.0103846-0.621179j -0.286072-0.976941j -0.190202-0.293975j -0.316418-0.38736j -0.267036-0.210247j 0.706898+0.202058j -0.283415+0.0582207j -0.184105+0.194485j -1.26682+0.521622j 0.0254862+0.20377j -0.358325+0.145834j -0.0193366-0.563429j -0.375386-0.0798702j 0.0088858-0.217789j -0.0976021+0.570818j 0.204163-0.565695j -0.172474+0.0462007j 1.68055-0.44782j 0.188011-0.914025j 0.558333-0.539059j -0.0264983+0.02747j 1.15399+1.27878j -1.10464-0.507106j 0.116446+0.0394599j -0.0646477-1.40068j -0.00381599-0.942419j 0.495906-0.12315j -0.167069+0.264601j -0.653509-0.587341j 0.309399+0.264073j -0.116766+0.0598694j 
1.61449-0.0270324j -0.0495069-1.28124j 0.285226+0.215002j -0.0180115+0.165432j 0.298304-0.170782j 0.271571+0.340952j -0.627834-0.147859j -0.456935-0.291938j -0.513426+0.846351j -0.764221+0.980064j 0.221756-0.165899j 0.212745+0.554141j 0.132599+0.00224929j 0.0795115-0.401659j 0.475392+0.0675613j 0.940492-0.0652641j -0.0276339-1.24668j -0.743745+1.46636j 0.532968+0.528022j -1.59421-1.03035j 0.534129+0.0949973j 0.60977-1.01653j 0.636276+1.0096j -0.385192-0.625496j 0.585868+0.0991723j 0.582002-0.608247j 1.20279+0.203038j -0.115428-0.731599j -0.15302-1.46582j -0.0208826+0.207799j 1.06645-0.116062j 0.479319-0.39047j 0.418986+0.0846824j 0.0436559-0.075126j -0.155954+0.246476j 0.31896+0.348244j -0.736761-0.232742j -0.0332933+0.713188j -0.385595-0.295464j -0.915006-0.0117411j -0.311911-0.0753525j -0.450171-0.046972j -0.353239+0.143132j 0.575037-0.566967j -0.238962+0.253549j 0.0365255+0.0924283j -0.194233+1.27081j 0.06977+0.0411554j -0.0435356+0.400539j -0.40549-0.195597j -0.219617+0.163144j -0.111732-0.0895867j 0.390122+0.218337j -0.382266-0.496169j -0.0971054+0.171363j 0.398027-1.54098j -0.510611-0.548438j -0.175129-0.759536j 0.00265106+0.159063j 1.46612-0.2886j -1.01509+0.657139j 0.0573178-0.0352377j -1.2036-0.558682j -0.695821-0.486043j 0.217201-0.398889j 0.0518009+0.178588j -0.71649+0.330724j 0.344118-0.219092j 0.0247734+0.195464j 
-0.0524216-0.0366444j 0.057601+0.167586j -0.32474+0.292468j 0.539456-0.0493271j 0.457081+0.346594j -0.39651+0.998946j -0.418921+0.236942j 0.547383+0.217955j -0.742959+0.714615j 0.348141-0.217666j 0.361309+0.557144j 0.578538-0.631183j -0.281103-0.432777j -0.19928+0.426685j 0.0160384-0.136782j -0.0296657-0.907627j 0.352544+0.470945j -1.03289+0.164402j -0.776605-0.287172j -0.299396+0.767442j 0.0100271+1.32679j -0.997702-0.654041j 0.148882+0.769031j -0.160012-0.13603j -0.168612+0.327305j 0.183986-0.137256j -0.0539587+0.218794j 0.765256-0.0746966j -0.27355-0.168645j 0.247704-1.37949j -0.39657-0.0595925j 0.253612-0.275668j -0.138506+0.248033j 0.128006-0.649901j -0.09186+0.505907j 0.881539-0.632855j -0.125701+0.0701868j -0.946299-0.481923j -1.14084+0.306953j -0.137308-0.0103576j 0.515737-0.896895j 0.107784-0.753421j -0.555368+0.0882053j 0.146501-0.143238j 0.464057+0.762042j 0.196691-0.369849j -0.0982051-0.482437j 0.14853-0.785267j -0.640025-0.70288j -0.756243-0.20119j 0.128192-0.504642j 0.394624-1.47619j 0.487907-0.608154j 1.52492+0.270034j 0.0228683+0.922748j -0.233787-0.90845j 1.21253+0.137913j -0.249454-0.0381944j -0.199312+0.165087j -0.592022-0.35118j 0.288091-0.726408j 0.742999+0.420445j -0.516937+0.0435593j -0.235678+0.517692j 0.0401998+0.141669j -0.0244886+0.0857505j -0.0143923+0.193994j 0.359803+0.803833j 1.48415-0.531296j 
0.0487944+0.133306j 0.00158407-0.119988j 0.441621+0.0747728j -0.21955-0.848384j 0.482747-0.365192j 1.17506+0.0317563j 0.207574+0.386481j -0.083109-0.57711j 1.15377+0.592989j -0.403507-0.519208j 0.781542-0.729138j -0.980697-0.703256j -0.0933576+0.960551j 0.398835+0.263725j 0.0733377-0.0248899j -1.29248+0.291358j 0.775781-0.655598j 0.557187+1.17709j -0.0726204+1.14778j 1.22167+0.208953j 1.6891-0.602072j -0.527888+1.71574j 0.931919-0.441928j -0.211934+0.144579j 0.495783+0.186775j -0.583145-0.141298j 0.621622+0.0705406j -0.286225-1.29769j -0.164927+0.0258697j -1.57155+0.103521j -0.507199+0.0422874j 0.194198-0.0731416j 0.00226523+0.50436j -0.341848-0.370481j 0.139822+0.445921j 0.634663-0.737441j 0.00341984+0.0609086j -0.647821+0.105143j -0.509262+0.823614j 0.20243-0.255994j -0.0706829-0.930925j -0.406417-0.0173599j -0.445354+0.346552j 0.102291-0.00182911j 0.207737+0.533962j 0.350184-0.283449j -0.131892-0.487493j -0.236522-0.526243j -0.482227-0.222232j -0.68336+0.0670054j -0.0998542-0.344558j -0.799798-0.89609j 0.0997363-0.716624j 1.0364-0.19869j 0.457718+0.45907j -0.122121-0.330752j 0.273672-0.344564j -0.231162-0.111506j -0.232384-0.144327j -0.465755+0.124303j -0.467021-0.0926016j 0.523877-0.239227j 0.0479573-0.0312155j 0.028832+0.334819j 0.419638+0.295434j -0.134131-0.356842j 0.411429+0.533825j 0.748384+0.0397668j 0.795742-0.817763j 
