-0.0158516+0.00478458j 0.00316002-0.0158569j -0.0179646-0.00877712j -0.0239528-0.00208923j 0.00784712-0.00993221j -0.00251148-0.0011959j -0.00369479-0.00351151j -0.000131149+0.00231713j -0.000537655-0.00401103j 0.000153848-0.000787066j -0.000489406-0.000948229j -0.000154003+0.000502075j 0.000314471+0.000358937j -0.000648561+0.000342251j 0.000811045-0.00486228j -0.000869429-0.00319206j -0.000312419-0.00106333j 0.00241222+0.000355882j 0.00379735+0.0044878j -4.80907e-05+0.00404718j 0.00479558+0.00203957j 0.000702053+0.00136949j -0.000422687+0.0018419j -0.00060397-0.000263629j 0.000660329-0.000738807j -0.00101016+0.000233535j -0.000322958+5.05018e-05j -0.000297899+0.00220196j 0.000439939-0.000384105j 0.000207124-0.00126917j 0.000517383-0.00105872j -2.66349e-06-0.000297556j 0.000261707-9.16995e-05j -1.42087e-05-0.000117919j 5.89448e-05+0.000931395j 0.000695592+0.000359614j 0.00028075+0.000191489j -0.000300017-0.0002226j -0.000115043+0.000366635j 0.000616396+4.37018e-05j 0.000208693+0.000191234j 0.000274383-0.000183487j 0.000148505+0.000991668j 0.000176286+0.000152981j 0.000920826+0.000620519j -0.000547535-0.000232786j -0.000804901-0.000548442j -0.000180841+0.000450162j -0.000848263+0.00109926j -0.00101962+3.4656e-05j 0.00068456-6.41491e-05j -9.3204e-06+0.000794021j 0.00161457+0.000702724j 0.000583603+0.000221184j -0.000133207-0.000998211j -0.000233886+0.00158297j 0.00080859-0.000829333j -0.00108949+0.000722781j 0.00100082+0.00212877j -1.75618e-05-3.01999e-05j -0.000571466-0.000208972j 0.000239046-0.000121455j 0.000171972-0.000293012j -2.69555e-05-0.000299353j 0.000853612-0.000128334j 0.000172831+0.000443081j -0.000149086+9.13998e-05j -9.38024e-05+0.000233211j -0.000223602+8.98125e-06j -1.64317e-06+4.63575e-05j -0.000273637+2.18649e-05j 0.000100446+0.000247139j -0.000208664-0.000157273j -0.000284615+0.000195128j 0.00010005+0.000452099j -2.01468e-05+0.000388397j -8.93853e-05+0.00056717j -0.000623684-0.000330079j -0.000908193-0.000761648j 0.000384299+0.000866617j -0.000237549+0.00063663j 0.000105422-0.00129929j 0.000484175+0.000283248j -0.000445591+1.67164e-05j 0.000108396+5.43689e-05j 9.59246e-05+0.000502638j -3.20604e-05-0.000174478j -0.000685015-0.000148591j -0.000221935-0.000301361j -0.000299552-0.001034j -0.000392457-0.000217612j 1.93735e-05-0.000293969j 
0.00815098+0.0022031j -0.00394651-0.0139138j 0.00951346-0.0274863j 0.01308+0.0107087j -0.00229696-0.0133933j -0.00259468+0.00109715j 0.00110088+0.00043824j -0.00160676-0.00103352j 8.15105e-05+0.00230997j 0.00022958+0.00181504j 0.00265834-8.24751e-05j 0.000627308-0.000775147j 0.000298959+0.000661j -0.0011148-0.000446777j 0.00308072+0.00294519j 2.74546e-05+0.00208304j 0.000960391+0.0006256j 0.00210478+0.000732283j 0.00157727-0.00348718j 0.00115281-0.000904498j 0.0042795-0.00252868j -0.000569687+0.00141626j -9.79611e-05+0.000748138j 0.00036156-0.00079329j -5.13123e-05-0.000851296j 0.000822544-0.00152169j 0.000736105-0.000814836j -0.00010515+0.00218933j 0.000510441+8.21575e-05j -0.000364602-0.00188067j 0.000660104-0.00124944j -1.81435e-05-0.00110191j -0.00014252+0.000785921j -0.0027129+0.00103624j 0.000478419+0.000389879j 0.00117332-0.000670475j 0.000998516-5.84874e-05j -0.000300814-0.000771556j 0.000798952+0.00137633j 0.00057246-0.000186836j -0.000495571+0.000486661j 0.00195043-0.000167819j 0.000626523+0.000404439j -0.00155659-0.000367184j 0.00155288-0.000443437j -0.00253024-5.63978e-05j -0.000718412+3.41058e-06j -0.00143962+1.35228e-05j 0.0008229+0.000772754j -0.000232738+0.00127257j 0.000277578-8.55633e-05j 0.000908848+0.000958637j -4.26223e-05+0.00190091j 0.000615927-0.00117528j 3.45877e-07+8.79915e-05j -0.000211985+0.00129928j -0.000768676-0.000384468j 0.000990252+0.000276162j 0.000104681+0.000188208j -0.00021513-0.000252059j -0.000159525+4.25486e-05j -0.000394495-0.000320682j 0.000254594+0.00013626j 0.000191958-0.000326748j 0.000216145-0.000507769j -0.000200952+7.37634e-05j 0.000223076+0.00026095j 1.91149e-05+0.000384774j -0.000110318+0.000285654j 9.47298e-05-7.55598e-05j -0.000354627+8.64482e-05j 0.000201268+0.000275038j 4.75058e-05+0.000127892j -3.92079e-05+0.000264163j -0.000350912+4.17892e-05j 0.000296824-0.000554106j -0.000316665+0.000279477j 8.22325e-05+0.000339753j 0.000424998+0.000292132j -0.000125024+0.000437107j 5.08686e-05-0.000516376j -0.000381426+8.74327e-05j -7.98423e-05+2.64626e-05j 0.000236411-5.40036e-05j -2.46406e-05+0.000226151j 1.15331e-06+4.82495e-05j 4.08884e-05+8.05794e-05j 0.000431454-0.000169174j 0.000163725+0.000147201j 3.17689e-05-3.28575e-05j 0.000169141-0.000123877j -6.08234e-05-3.58662e-05j 
-0.00549904-0.00991313j 0.00336219+0.0161771j -0.0067369-0.0144161j -0.00852142+0.0258099j 0.00112003+0.0139186j 0.00339895+0.000879258j -0.000106004-0.000546857j 0.00125919-0.000327091j -0.000959113-0.000238483j -0.000942379-0.000756021j 0.000233985-0.00132157j 0.0011346+0.00020854j -0.00106598-0.000183047j -8.12314e-05+0.00032485j -0.000686611-0.00185348j -0.00356533-0.000674084j 0.000309921-0.000465088j -0.00311153-0.000723102j -0.00138421+0.00141576j -0.00108686+0.00072888j -0.00532074+0.00238542j 0.000255482-0.00117184j 0.000263613+0.00032661j 0.000140475-0.00188119j 0.000301419-0.00378607j 4.75785e-05-0.000202398j -0.000111291-0.000820761j -0.000383086+0.000817433j -0.000749683+0.00246203j 0.00124127-0.000731905j -0.00095451-0.000599145j 0.000138074+0.000835226j -1.34826e-05+0.00042028j -0.00264158+0.000688066j 0.00042572+5.03448e-05j 0.00122396-0.00111174j 0.000471578-0.000254719j 0.000597116-0.00116491j 0.00118186+0.000941789j 0.000903539-0.000213237j -0.00143537+0.00124636j 0.00067433+0.000116555j 0.000363609+0.000467028j -0.00141515-0.000551121j 0.00154482-0.00164579j -0.00233363-0.00153001j 0.000969529+0.000900308j -0.000599-0.00123062j -0.000159633+0.000922243j 0.00054735-0.000573912j 4.54666e-05+0.000145143j -0.00115177-0.000368275j 0.000751017+0.001119j -0.000474361+0.000338801j -0.000324959+0.000510646j 0.00077566+7.88211e-05j 0.00108668+0.00173436j -0.00118257-0.00117818j -4.89083e-05-0.000179496j 0.000243094+0.000401057j 0.000307735+0.000135046j 0.000100926-0.000535193j 0.000329509+1.45595e-05j -0.00063411+0.000704267j 0.000496328+8.61731e-05j -4.57536e-05-5.48101e-05j 8.30935e-05+0.000216245j -0.000259808+0.000298442j 0.00026253-5.8786e-05j 6.05862e-05-0.000150889j 0.000152543+0.000103413j 0.000108105+0.000370951j 0.000317858-0.000199329j -0.000190351+0.000232854j 0.000168597-7.67295e-06j 1.72768e-05-0.000640873j 0.000289891-0.000151173j 4.71062e-05-0.000721786j -0.000132584-0.000352565j -5.69709e-06-0.000174652j -4.84494e-05-0.000114643j 0.000377629+0.000569369j -4.78638e-05+0.000105895j -0.000141467-0.00013631j -2.5944e-05-2.44767e-05j 1.49612e-06-0.000270867j 2.48042e-05-1.73871e-06j -0.00016599-0.00012603j -6.93377e-05-5.47996e-05j 8.13173e-05+0.000358632j -5.09668e-05+7.82215e-05j 6.00163e-05+0.000142433j 
-0.000358309+0.00133989j 0.00607844-0.00714469j -0.000461298-0.00217963j -0.000772535-0.00265037j -0.00647694-0.00574974j 0.0154347-0.00411233j 0.00165316-0.00227976j 0.0106549-0.00218572j -0.00199019-0.0020539j -0.014108+0.00216499j -0.00467283+6.65664e-05j 0.00509835-0.00077785j 0.000641843-0.0009762j 0.00848665-0.000824694j -0.0102654+0.00061168j -0.00529015-0.000701077j 0.00870191+0.000739822j -0.0131286-0.00185163j -0.0061871-0.00165151j 0.00351237-0.00287645j -0.0174042-0.00135885j -0.00136242-0.00239309j 0.00230046+0.00201647j 0.00161272+4.0013e-05j -0.00117729-0.00350345j -0.000568238-0.00137188j -0.00109608-0.000784286j -0.00203831-0.00434636j 0.000440167-0.00154001j 0.00164824+0.00372496j -0.00152439-0.00316076j -0.000202162+0.000770755j 0.000508193+0.000589061j 0.00063632-0.00098165j -0.000305515-0.00168461j 0.000995007-0.00149869j -0.000598697-0.00156344j -0.00109377+0.000165388j -0.000179371-0.00138378j -0.000164272-0.000463202j -0.000614058-7.93907e-05j -0.000279685-0.000119054j -0.00140407-0.00251387j -0.000624472-0.00165961j -0.00118845-0.00220386j -0.000532195-0.000771205j -0.000115058+0.00171776j -0.000822861-0.00242548j 0.000169713+0.00235677j 0.0026895+0.00272776j -0.00266554-0.00209487j -0.000841837-0.00228131j -0.000751235-0.00306767j -0.00045943+0.00046316j -0.00131052+0.00173972j 0.0012065-0.00379771j -0.00147337+0.00153862j -0.000968598-0.00689995j -0.0023989+0.00157505j -0.00149687+0.000279421j 0.00287657-0.000447469j 0.00100907+7.39823e-05j 0.000843139+0.000311329j -1.25374e-07+0.000817074j -0.000422584+0.000283751j -0.000425637-0.000260348j -9.06581e-06-2.79731e-05j -0.000334827-0.000182498j 0.000809669-0.00051297j -0.000250609+7.32707e-05j 0.0012905-7.49248e-05j -0.00025619-0.000135276j 0.000795253-3.87472e-05j -0.000213887+0.000266479j 0.000211882+5.93288e-05j -0.000338092-0.000290816j 0.000613646+0.00011609j 0.000658278-9.74217e-05j 0.000782221-0.000577852j -0.000772459-0.00205099j 0.00106427+0.000167216j 0.00261093+0.00257637j -0.000638136+0.00064974j -0.000336914-0.00278048j -0.000753847+0.000577655j -0.00097064+0.000404651j 9.18205e-05+4.48578e-05j 2.77892e-05-0.000951953j -0.000264129-0.000337851j 0.00234964+0.000986986j 0.000428748-0.00191338j 0.00116687+0.00119197j 
0.000967124-0.000470954j -0.000302472+0.00083639j 0.000698087+0.000382693j 0.00121265+0.000367014j 8.13911e-05+0.000191574j 0.000950072-8.78748e-05j -0.00686429+0.00253326j -0.00818814-0.00140536j 0.00661311-0.00286803j -0.00544604+0.00205514j -0.0221802+0.00147898j -0.0118572+0.00364494j 0.00520127+7.16096e-05j 0.00189752-0.00191286j 0.0141195+0.00080588j -0.0164263-0.00131087j 0.0168644+0.0038871j 0.00293555-0.00191622j 0.011949+0.00360235j -0.00605881+0.00120242j -0.00132372+3.5506e-05j -3.50467e-05+0.000713747j -0.000181911-0.000537692j 0.00110619-0.000433273j 0.000698416+0.000433343j -9.74973e-05+0.000133698j -0.000637411+4.13926e-05j 0.000266291+0.000661099j 0.000283399+0.000463514j 0.000799724+0.000531774j 0.000602148+0.000558184j -0.000632384-0.000443866j 0.000558277+0.00067611j -1.72704e-05-0.000657822j 0.00159114+0.00245435j 9.68949e-05-0.00113783j 0.000519297+0.000640984j -0.000216792-0.000835335j -0.000364145-0.0020306j -0.000340786-0.00115352j -0.000525804+0.00156223j -0.000675405-0.00330447j 0.000251898-0.000504649j 0.00040753+0.00101919j -9.08672e-05+0.0026351j 0.000399093-0.000924478j 0.000550357+0.000431994j 2.99593e-05-0.00210615j 0.000565229-0.000292366j 0.000134609+0.000247509j 0.000259482+0.00151942j 0.000537177+0.00100589j 0.00025831-0.000142076j -0.000428954-0.000208674j 7.74491e-05-0.000715237j 5.01154e-05+0.00177218j 0.00113362+0.00077112j -0.00069326-6.7305e-05j -0.000137581+0.000675925j -7.80893e-05-0.00010741j -0.000298951+1.838e-05j -9.99603e-05+1.11493e-05j -0.000142899-4.9429e-05j 0.000112349-0.000156266j 3.19341e-05-3.30084e-05j 0.00014202+4.63631e-05j -9.00959e-06+9.57415e-05j -9.26861e-05-0.000345818j -7.32373e-05-1.86279e-05j -0.000297351+0.000152919j -0.000249654-3.38264e-05j -8.50176e-05-3.29294e-06j -0.000270444-0.00021757j 0.000450246+0.000487107j -0.000137101+0.000325078j -0.00019922-0.000192441j -0.00014094+0.0001078j -0.00020573-5.90891e-05j 4.44363e-06-3.56118e-05j 0.000188957+0.000428322j -0.000249307+9.85317e-05j 6.09608e-05-0.000249325j 0.00019228+0.000128486j -0.000107824+8.14867e-05j 6.42546e-05-2.80251e-05j 2.31865e-05+1.06237e-05j 2.5436e-05-6.28272e-05j -0.000120217-6.66267e-06j 1.23969e-05-5.10918e-05j -0.000159038-0.000210273j -8.13676e-05+0.00011017j -8.28437e-05-0.000120663j 
-0.00245027+0.00334251j -0.00154379-0.00315465j 0.00429062-0.00151062j 0.00466147+0.000903359j -0.0107517+0.00390743j -0.0058108-0.00618423j -0.000213087-9.1674e-05j -0.0105319-0.00116602j 0.0119835-0.0113605j -0.000348197-0.00579883j 0.00361363+0.00173848j 0.00675452+0.00179224j 0.00143247+0.00328247j -0.000567273+0.000487973j -0.0164443-0.0145815j -0.00194092+0.000992204j -1.82482e-05+0.0129032j 0.00234947+0.00395911j 0.00568569+0.0129619j -0.00721966+0.00792695j -0.00511932+0.00316609j 0.00523119-4.42132e-05j -0.00114786-0.000843658j -9.11486e-05+0.000128947j 0.00189692+0.00266642j -0.00462708-0.00201473j -0.0027116+0.00082718j -0.0005183+0.00374899j 0.000560145+5.38482e-05j 0.00251564-0.000197776j -0.00182844-0.00381382j -0.000878349+0.000825859j 0.00153156+0.000547717j 0.000527949+0.000669586j 0.000710408+0.000504113j 0.00138332+0.00369568j 0.000119919-0.000898117j 0.000303505+5.31926e-05j -0.000165338-0.00208867j 0.00116439+0.00114986j -0.00104052+0.000476535j -0.00061303-0.00026615j -2.68988e-05+0.00252084j 0.000871316+0.00107095j 0.000978726+0.000905228j 0.000515794-0.000818267j 0.000495288+0.000451217j 0.00293195+0.0020403j -0.00155031+0.00214448j -0.00144165-0.00069275j 0.0018715-0.00119154j -0.00294029+0.00217111j 0.00251703-0.000620098j -0.00110577+0.00120774j 0.000459458-0.00372148j -0.00061271+0.00246634j 0.00370062+0.00306914j -0.00603889-0.00135802j -0.000878651+0.00865605j -0.000105161+0.00150532j -0.000683571-0.00160606j 0.00101024+0.000439913j 0.000110373-0.00109615j -0.000256198-0.000194218j 0.000169752+0.00109211j 0.00117385+0.00242623j -0.000256587+0.000153129j -0.000183953-0.00024381j -0.000112631-0.000570629j -0.000359741+0.000414855j -0.000191461-0.000100496j -0.000190044+0.000426087j -0.00076164-0.000545678j -0.000177036+0.000995302j -0.000664871+0.00163087j 0.000306537+0.00197078j -0.00154211+0.00152259j -0.000509926-0.00242082j -0.00203581-0.00225174j 0.00089254+0.00195299j -0.00191704+0.00277627j 0.00403887-0.00358198j 0.00202698+0.00201395j -0.00287561-0.000826185j 0.000234597-0.000436602j 0.000182912+0.00182535j 0.000260693-0.000476184j -0.00385956-0.000578615j -0.000652674-0.00204767j 0.000265261-0.0042435j -0.00236379-0.000887587j 0.000764655-0.00102737j 
-0.00251053-0.00260461j -0.00546489+0.00397285j 0.0016707-0.00153917j 0.00142771-0.00317774j 0.00136038-0.00428933j -0.00596421+0.00356822j 0.00531883-0.00268547j 0.00451729-0.00265546j -0.0105111+0.020266j -0.00544843-0.00772984j -0.00361971+0.00275518j 0.00169784+0.00180459j 0.00621498+0.00122592j -8.32755e-05+0.000717515j -0.0125737-0.00519188j -0.00443507-0.00488536j 0.0149618-0.00958927j -0.000166208+0.00682631j 0.00372353+0.00566943j 0.00946404+0.00732422j 0.011214-0.00106498j 0.00218444+0.0019393j 0.00295761-0.00352257j -0.00355946-0.000809128j -0.00496938+0.00147706j 0.00261756-0.00224216j 0.000252795-0.00403701j -0.0025704+0.00123747j -0.00121397-0.00174605j -0.00173405+0.00102841j 0.00377703-0.000387302j 0.00137994-0.00188107j -0.00159908+0.000293883j -0.00157555-0.000436704j -0.00127696-0.00054872j -1.39706e-05+0.00227789j 0.000759289-3.10573e-05j 0.000488453-0.00108819j 0.000590561+0.000258819j -0.000564916-2.96363e-05j 0.00248931+0.00130153j -0.000266153-0.00184354j -0.000115073+0.00233044j 0.00108897+0.00166316j 0.00255157-0.000199464j -0.00022114-0.000457657j 6.97155e-05+0.00070386j -6.16187e-05-0.000579238j -0.00149205+0.00331404j -0.0020473-0.00356287j 0.00173085-0.0012495j -0.00119446+0.00139481j 2.53818e-05-0.000204248j 0.000645094+0.00276938j 0.00158921-0.00224105j -0.00205507-0.00101546j -9.87901e-05-0.00276877j -0.000752876+0.003585j 0.00183138+0.000576746j 0.000197191+0.00105151j -0.000193968-0.00135238j -0.00111336+0.000496429j -0.000141444+0.000118567j -0.000263821-0.00108477j 0.000227052-0.00033981j -0.000712598+0.000864779j -0.000155089+6.01401e-05j 0.000300037+0.000419641j 0.000165966+0.000500813j 0.000384652-0.000497035j -0.000969742+0.000214637j 0.000380294+0.000279201j -0.000549787-0.000154363j -0.000118367-0.000294193j 0.00027513-0.000622453j 0.00034511+0.00150775j -0.000317941+5.28911e-05j -0.000353382-0.00037589j -0.00121754-0.00149626j 0.000591988+0.0015964j -0.000556658+0.00048572j -0.000388276-0.00228087j 0.000444282+0.000176404j -0.000784003+0.00126792j 0.000937467-0.00041743j 0.000526289+0.000531244j -6.2151e-05-0.000136545j -0.000705114-0.000717522j 0.000343386-0.000588963j -0.000585139-0.00189659j -0.000790287+0.000346251j -0.000231706-0.000871588j 
0.00150259-0.00322981j 0.00214174+0.00218937j -0.0011942+0.000875941j -0.00125594-0.000366571j 0.00258374-0.00481794j 0.00866023+0.00523782j -0.00812044-0.000666822j -0.00793394-0.00649292j -0.011896+0.00507276j 0.00879463+0.0142375j 0.00417047+0.000601518j 0.00688667+0.00464651j 8.1586e-05-0.00118253j -0.00527863+0.00094475j -0.00337973+0.00278791j 0.0122674+0.0101273j 0.00839013+0.00652157j 0.00254384-0.0065005j 0.0130397+0.0168578j -0.000556422-0.00144081j -0.00470155-0.00725433j -0.00165081+0.000165115j -0.00198653+0.00152339j 0.00115528+0.00200457j -0.00230833-0.00112801j 0.00356613-0.00186939j -0.000601286+0.000115732j 3.21535e-05+0.000938435j -0.000796949-0.000634237j -0.000263469+0.00180835j 0.00231116+0.000933114j -0.000224971+2.18769e-05j 0.000127423-0.00113662j 0.00115025+0.000974038j 0.000466833-0.000457768j -0.000197558+0.000217302j 0.000482601+0.00077681j -2.46138e-05+0.00160129j -0.000787525+0.000825523j -0.000409761+0.00103556j -0.000501025+0.00124307j 0.00051349+0.00146293j 0.000119071+0.000999118j -0.000763706+0.000649415j -0.000976048+0.000967096j -0.00124874+0.00142084j -7.67699e-05-6.21857e-05j 0.000508831-0.00251178j 0.00263022-0.00188073j 0.000425252+0.0033061j -0.00133709+9.88544e-05j -0.000116023+0.0022135j -0.000837663-0.00281389j 5.29952e-05-0.00150423j -0.000493801-0.00231374j -0.00171187+0.00254305j 0.000848844+0.00270264j 0.00127332-0.00389427j -0.00311771+0.00104114j -0.000646112-0.00160011j 0.00157025-0.000195578j -0.000665982-0.00019487j 1.39302e-07+0.000481837j 0.000580712-0.00032629j -1.80279e-05-0.000458318j -0.000399861-0.000598796j -2.51365e-05-2.07443e-05j 0.000257921-0.000130125j -1.9987e-05-0.000530039j -0.000584007+3.48025e-05j -0.000142934-0.000516601j -8.16536e-05-0.000437849j -7.28871e-05+0.000305646j -0.00021446+0.00115421j -0.00168476-4.37976e-05j -0.000542092-0.00145828j -0.000179176+0.000230679j -0.00054022+0.000910781j 0.00172869+0.000603553j -0.000617295+0.00020042j 0.000540852-0.000437434j 0.000409062+0.00253123j -0.000870919+0.000701559j 0.000871926-0.00212117j -0.000533963+0.000634465j -0.000948312-0.000322643j 0.000111966+0.000119569j 0.00152383-0.000922767j 0.000316466+0.000214184j 0.00130226+0.00145865j 0.00122117-0.000973495j 0.000241214+0.00089459j 
0.000410022+0.00647592j 0.00176145-0.00314764j -0.000774128+0.000694148j -0.000151918+0.00246918j -0.00333961+0.00618616j -0.00532218+0.00677148j 0.0124156-0.0189637j 0.000604968-0.00174587j 0.00132776-0.00192097j 0.0195891-0.0136317j -0.00788505+0.00669462j 0.00447804-0.00187519j 0.00329077-0.000739781j -0.000140158-4.08083e-05j 0.00612925+0.00521394j 0.00117248+0.00489926j 0.00786189-0.0033763j -0.0131268-0.000593249j -0.00102594+0.00369393j 0.000466248-0.00410448j -0.00265064-0.00264123j 0.00300257-0.0030213j -0.00522085+0.0014576j -0.00527224+0.00376803j 0.00332821+0.000383644j -0.000291107+0.00323822j -0.000893394+0.000511598j -0.00292099+0.000420173j 4.73147e-05-0.000138364j -0.00167773-0.00126594j -0.00337347-0.00147174j 0.00113605+0.000543187j 0.00133598+0.000438785j -0.00137179-0.000192815j -0.0028242+0.000740317j -7.43348e-05-0.000401787j -0.00121429-7.50774e-05j 2.25332e-05-0.000172281j -0.000860489-0.00016715j 3.62234e-05+0.000348823j 0.00191441+0.00211612j -0.000992967+0.000219818j -0.000485768+0.000788582j 0.000836434+0.000613252j 0.000916416+0.00162108j -0.000873544+0.00122795j 0.00120967+4.06583e-05j -3.60312e-05-0.00141344j 6.32208e-05-0.00168679j -0.000582371+0.000467143j -0.000422522+0.000473313j -0.00168518-0.000716126j 0.00133714+0.000210273j 0.000418857-0.000139854j 0.00106522+0.00127246j 0.000294136-0.000416038j -9.17232e-05+0.00142902j -7.114e-05-0.00102838j 0.000806955-0.000720022j 0.0014977-0.000149436j -0.000424418+0.00139603j 0.00127994-0.000383236j 0.000195826-0.000556622j -0.000122318+0.000494047j -9.50412e-05+0.000592832j 0.000310409+0.000562797j 8.43901e-06-0.000194327j 3.8837e-05+0.000376055j 0.000369704-0.00015636j -5.3613e-05-0.000678508j 0.000789154-0.000357477j 1.81498e-05+6.19262e-05j 0.000132032-0.000642045j -0.000328454-0.000358283j 0.000891168-0.00105428j 0.000225114-0.000558311j -9.09332e-05-3.65147e-05j 0.000327415-0.00068071j -0.000630861+0.000742284j -0.000586129-0.000673643j -0.000110419-4.95074e-05j -0.000242804+0.000507374j -9.19344e-06-0.000386349j 0.000269225+0.000114432j -0.000186852-0.000166743j 0.000388113-0.000365912j -6.20348e-05+1.45628e-05j -0.000379073+0.000884344j -0.000348702+0.00026253j -0.000655496+0.000463094j -0.000267026+0.00044336j -0.000126798-5.25803e-06j 
-0.00235585-0.00380347j 0.00269953+0.000331049j 0.000284951+0.000606535j 0.000189577+0.000817315j -0.00613624+0.000871405j -0.00507556-0.00946521j -0.00166617-0.00410883j 0.000275691-0.00733236j 0.0004952-0.000242671j -0.00036625-0.00389921j -0.000916504+0.00229725j 0.000185866-0.00353668j -0.0020147-0.000320008j -0.00329174-0.00191199j -0.00246993-0.00624275j 0.000175306-0.00596204j 0.00191406-0.00166255j 0.00968966-0.00133063j 0.000510658-0.00444474j -0.00170296-0.00766721j 0.0140715-0.00191678j -0.00241116-0.00312185j -0.00839455+0.00304815j -0.00283168-0.000754323j -0.000194111-0.00421482j -0.000393455-0.00330638j -0.000178829+0.00335027j 0.00150775-0.00471583j 0.00359844-0.000728017j 0.00374538+0.00562352j -0.00478079-0.00306831j -0.00140224+0.00121298j -0.00206791-0.0016426j 0.00077556-0.0016432j -0.00210295-0.00201352j 0.000959317-0.00101772j -0.0009358-0.000169295j -0.00116662+0.00209422j -0.00239461-0.00328947j 0.000224268+0.00144241j -0.00202454-1.14557e-05j -0.000394248-0.000148325j -0.000467651-0.00207473j -0.00282774-0.00329301j -0.00680626-0.00479346j -0.00162295-0.00365336j -0.000327566+0.00126452j -0.00620007-0.00300046j 0.000887848+0.000882436j 0.00592864+0.00576043j -0.00322242-0.00118318j -0.0014611-0.00281157j 0.00148483-0.00126831j -0.00408458+0.0044149j -0.00555788+0.00552796j 0.000116729-0.00179725j -0.00556639+0.00378162j 0.00695638-0.00835103j -0.00585829+0.00160076j -0.00399042-0.000382701j 0.00484886+0.00186325j 0.00204021+0.00230618j 0.00122969+0.00258489j 0.00156867+0.00443336j -0.000614456+0.000757961j -0.00115528-0.00222654j -7.0845e-05-5.38351e-05j -0.000896996-0.000155465j 0.00123504-0.00122279j -0.000360118-0.000135549j 0.00330647+1.67186e-05j -0.000935997-0.000211385j 0.00255734-0.000750548j -0.000446818-0.000276078j 0.000235397-0.0003079j 0.000947223-0.00160941j 0.00226741+0.00104821j 0.000162478-0.000173374j 0.00205219-0.00131556j -0.00212705-0.0055597j 0.00181621+0.000590199j 0.00283091+0.00618474j -0.00178881-0.000187233j 0.00287267-0.00872288j -0.00324498+0.0015071j -0.00379419+0.0013892j 0.000396754+2.42955e-05j 0.00163028-0.00316954j -0.00118889-0.00107393j 0.00691847+0.00294665j 0.00374949-0.00734635j 0.00325882+0.00445759j 
-0.000270794+0.000300424j -0.000626203-0.00277829j 0.000398254+0.000649591j 0.00217177+0.00106621j 0.000559828+0.000178376j -0.00165555+0.00274417j -0.000487263+0.00308945j 0.00156208+0.00483035j -0.00318448-0.00112052j -0.00237135+0.000133761j -0.0010251+0.00494368j -3.16405e-05+0.00469339j 0.000721217+0.0117856j -0.000329112+0.0125471j 0.00415496+0.0113575j 0.000816866-0.00621098j -0.00165941-0.0103075j 0.00595897-0.00997329j -0.00663314+0.00983238j -0.00396786+0.00641238j -0.00191448+0.0030513j -0.00064673+0.000893925j 0.00211351-0.00108046j 0.000319719+0.000605529j -0.000802766+0.000333287j -0.000340145+0.000929722j -5.05225e-05+0.00149872j -0.00119795+0.00196681j -0.00151542+0.00349811j 0.00144735-0.00191345j -0.00312557-0.00218769j -0.000473494+0.00218398j 0.00107827+0.000382338j -0.00139115-2.66354e-05j -0.00174174+0.00354839j -0.00108773+0.00215096j 0.00135581+0.00203476j 0.000222261+0.000334553j -0.00026955-0.00370184j 0.000671221+0.00719153j -0.00211997+0.00229822j 0.000120747+0.000302272j -0.00159493-0.00115966j -0.000905142-0.00315894j -0.00226362+0.000199049j -0.000861665-0.00448701j 0.00649523+0.000324387j -0.00107119-0.000475774j 0.00153605+0.00139017j 0.00345295+0.00564012j -0.00351366+0.00136244j -0.0044674-0.00137522j 0.00185472+0.00220468j -0.00553564+0.00280293j 0.000685477+0.00208345j -0.00491653-0.000287081j 0.00533471+0.00447942j -0.00751345-0.00285219j -0.00140662+0.00809942j 0.000440509-0.00126792j 5.98578e-05+0.00122509j -0.000961833+0.000357171j -0.00118281-0.000192172j -0.000498775+1.94294e-05j 0.000168556+9.0203e-05j 0.000196433+5.05451e-05j -0.000535155+0.000487762j -0.000680096+0.000357698j 0.000408665-0.000996077j 0.00010395+0.000343282j 0.000514209-0.000958636j -0.00101784+0.00064045j 0.000537182-0.00146918j -6.3438e-05-2.61759e-05j 9.48485e-05+0.000741752j 0.000444538-0.00135433j -0.00195695+0.00178445j -0.00160261-0.00186317j 0.00109439-0.00214747j -0.00182767+0.000686001j -0.00144145+0.00075864j 0.00494281-0.000131248j 0.00157888+0.00181497j -0.00118982-0.00330055j -5.76115e-05+0.000637515j -0.000919108+0.00070645j 0.000753685-0.000356341j -0.000882071-0.00180314j -0.000274454-0.0012544j 0.00214738-0.000933286j -0.000326114-0.00220024j 0.00104346+0.000756567j 
