-0.0820112+0.0834589j -0.327635+0.152175j -0.0302522+0.0337741j -0.00187961+0.0108247j 0.0064453-0.00405391j -0.00472597-0.0217602j 0.00378148+0.0126348j -0.0118658+0.00401j -0.00842621+0.00900071j 0.00862807-0.00889409j 0.0160914-0.0176527j -0.000208064-0.00376614j 0.0031393-0.00662727j -0.000534525-0.00491591j 0.0054786-0.00679268j 0.0042907+0.010078j -0.00446386-0.0172866j 0.00317199-0.00509987j -0.00386009-0.00462027j -0.00487623-0.00159948j 8.45967e-05-0.00665125j 0.00403263-0.000818739j -0.00774457+0.00245097j 0.00671847-0.00270277j -0.00161969+0.00842766j 0.00120293+0.00247718j -0.00976764+0.00871673j 0.00160362-0.00672063j 0.00433637-0.00620702j -0.00177967-0.00533016j -0.00412794-0.00664606j 0.00447937+0.00827319j 0.00228235-0.00909483j 0.00621852-0.00637314j -0.0148177+0.00221322j -0.00161613+0.0066794j 0.00735379-0.0149553j -0.0107022+0.00349381j 0.00337223+0.00527987j 0.00692367-0.00669183j 
0.0986674+0.0916842j 0.220095+0.344755j 0.0373492+0.0328911j 0.0147052+0.00509578j -0.00717507-0.0143721j -0.0224617+0.0118976j 0.0127134+0.00199855j -0.0010726+0.0117955j 0.00569236+0.00763705j -0.00467358-0.00298243j -0.0204569-0.0137743j -0.000156852+0.000301105j -0.0019503-0.00357613j -0.00322954-0.00211393j -0.00506224-0.00961948j 0.00338257+0.00261724j -0.00334307-0.000128989j 0.00428887+0.00107575j -0.00248055-0.00571466j 0.00326384-0.00648571j -0.00490125-0.00385907j -0.0003354-0.00137834j -0.000953497-0.00104475j 0.003367-0.00375209j 0.00477534+0.00399651j 0.00220483+0.000818596j 0.00240533+0.00843286j -0.000751008-0.00853054j 0.00935406-0.00734864j -0.00175408+0.00271272j 0.000343228+0.000745469j 0.004353+0.00534836j -0.00199422-0.00455589j -0.00353883+0.00371214j 0.0095549+0.00275399j 0.00273289+0.00266687j -0.0147377-0.00502814j -0.00249891-0.00580175j 0.00186242+0.0111211j -0.00420404+0.0021219j 
-0.0250451+0.0507907j 0.0195234+0.120369j -0.018455+0.0133204j -0.0141017+0.00118823j 0.0223601-0.00178344j -0.0232419+0.00508542j -0.0146944-0.00717437j 0.00167774-0.0159533j -0.00399755-0.00609975j 0.00488575-0.00187788j 0.000219497-0.0100603j 0.00740505+0.00377899j 0.00421446+0.00189762j 0.00732608-0.00171842j 0.0134572+0.00275837j -0.00935418+0.000789885j 0.00722814-0.00511947j 0.00182093+0.0190913j 0.0070982+0.000612609j 0.00750828+0.00340758j 0.000900459+0.00319552j -0.00238137-0.00563669j 0.0108189-0.00540686j 0.000177267+0.000250741j 0.00543796-0.00436071j -0.00425639-0.00386817j -0.00468354+0.00315061j 0.00211031+0.00462231j -0.00218421+0.00389689j -0.00322779+0.00663256j 0.00363595+0.00188238j -0.00438524-0.00422221j 0.0146464-0.000642152j -0.0153191+0.00679247j 0.0234102+0.00264251j 0.00716479+0.00957366j -0.0174053+0.0115927j 0.00689167-0.0008859j -0.00286318-0.00297798j -0.000498135+0.000183963j 
-0.00891032+0.0251866j -0.0464762+0.0318934j -0.00659944+0.0144557j -0.0120482+0.0118553j 0.00736528-0.0187885j 0.00913165+0.0103665j -0.0192063+0.0117381j -0.0149294-0.00982749j -0.00536446+0.00104125j -0.0147637+0.00136727j -0.00265063+0.00262077j 0.00338242-0.00566642j -0.00174073+0.00314216j -0.000367208-0.00392151j 0.00890547-0.0145164j 0.00197599-0.00886432j -0.021602+0.0149625j 0.00424716+0.00771972j 0.00302369-0.00155405j 0.00463685-0.00179475j 0.00687438+0.00411376j -0.00571564+0.00200312j 0.0118508-8.80067e-05j -0.0169347-0.00298426j 0.000183464-0.00290502j 0.000248254-0.00107578j 0.0193499+0.000682272j -0.0094413+0.00214811j 0.00222292+0.00134845j 0.00829649+0.00459707j -0.00124998+0.0081973j -0.00360805-0.00573972j -0.014687+0.00663604j 0.00255183-0.001109j 0.00026764+0.016944j -0.00198454-0.0162767j 0.00836836-0.0110593j 0.0080975-0.000470847j -0.00698618+0.000190625j -0.00468611-0.00239086j 
0.00528273+0.0491587j 0.0225504+0.321018j -0.00107145+0.00961165j -0.00463591-0.00264389j 0.0103519-7.09045e-05j -0.0116834-0.00315669j -0.00789887-0.00512038j 0.000491943-0.00833882j 0.00144711+0.00113161j 0.00061225+0.000372048j 0.00148546-0.0043828j -0.00206472-0.00272079j 0.00298102+0.00323352j 0.00228865+0.0035002j 0.00487137+0.00246419j 0.00748116-0.000895376j -0.0277484+0.00211816j -0.00270044-0.00989313j 0.00353442+0.00480405j -0.00218712+0.00769375j 0.00902278-0.000618542j -0.013182-0.004567j -0.00589069+0.000725426j 0.00342679+0.0148256j -0.00803366+0.000980559j -0.00813549+0.00436189j 0.0112516-0.00272623j 0.00607709+0.00785871j -0.00832438+0.0124791j -0.00887741-0.013694j 0.0033155-0.00851285j 0.000567439+0.00294708j 0.00178892+0.00192533j 0.00710761-0.000840937j -0.0142646-0.00604484j -0.00626562+0.00451014j 0.00594149-0.00786352j 0.00422151+0.00813879j -0.00374623-0.0106902j -0.00029079-0.00577031j 
0.0132667+0.0426527j -0.00940744+0.113033j 0.00856166+0.0148847j 0.005211-0.00751433j -0.00412763+0.00436769j 0.0145457+0.000767092j 0.014985-0.012238j 0.0199967+0.00193542j 0.00153636-0.000758255j 0.0097966-0.0219429j 0.0080863-0.0267136j -0.00479559+0.0114086j 0.00327399-0.00365797j 0.00372753+0.000623485j 0.00334585+0.010355j -0.00389308-0.00443165j -0.00100207+0.00134708j -0.0161037+0.00834622j 0.00484226+0.0043038j 0.00544697+0.010415j 0.000109014+0.00450735j 0.00236607+0.00166087j 0.00443552+0.00740715j -0.00585291-0.00196977j -0.00263247+0.00077688j 0.00376299+0.00587016j -0.000471526+0.00504117j -0.00090742-0.00246144j -0.00145695+0.00687721j 0.0132913-8.55368e-05j -0.00246545+0.00763933j -0.0103669+0.00018972j -0.00768176-0.00708367j 0.00595048+0.00275925j 0.00854672-0.00509147j 0.00219854-0.0178526j 0.0130349-0.00160288j 0.00700787+0.00306528j -0.00487996-0.00544159j -0.00369494-0.00282847j 
-0.00590631+0.00591997j -0.00661509+0.0375985j -0.00102201-0.000577951j 0.00300767-0.00274827j -0.00773194-0.00909539j 0.014131+0.0289435j -0.000298475+0.00827452j 0.00245108+0.00509041j -0.00313986-0.00589809j 0.0192942+0.0163251j 0.0194664+0.0250548j -0.000604641-0.00389742j 0.00531559+0.00915729j 0.00497274+0.00116401j 0.0088266+0.00489265j 0.00174151+0.0024013j -0.0204699-0.0262793j 0.000466903+0.00537025j 0.00212633-0.00272602j 0.000508413-0.00599953j 0.000565483+0.00257408j -0.00430207-0.00532686j 0.00619998+0.00165842j -0.00334699-0.00403925j 0.00168303+0.00146409j -0.00431227-0.00422133j 0.0115016+0.00707228j -0.00567055-0.00496976j 0.00649904-0.00595994j -0.00217527+0.00655476j 0.00203583+0.000956851j 0.00299756-0.00237252j -0.00161821+0.00627563j -0.00265463+0.00113651j -0.000257135+0.0171638j -0.00210449+0.00293058j -0.00459227-0.00703527j -0.00314247-0.00410833j 0.001066+0.00692525j 0.00175481+0.00364443j 
0.0228093+0.0286602j 0.10421-0.0510079j 0.00757662+0.0222963j 0.00797813+0.0126548j -0.00908627-0.0146347j 0.0049146+0.0235911j 0.00506337+0.0097389j 0.00171947+0.00985865j 0.00284347-0.000614842j -0.00143353+0.00110904j 0.00130544+0.00307987j -0.00315951-0.0015913j -0.00326361+0.00556155j -0.00110768+0.00536745j 0.00108599+0.00111453j 0.00318354-0.00855941j -0.00831393+0.0149019j -0.00433823-0.000150966j 0.00206076+0.0104453j 0.00145913+0.0118396j -0.00334193+0.0016136j 0.000552507-0.00760406j 0.00124534-0.00149466j 0.00409802+0.00561546j 0.000903931-0.00692258j -0.00251672-0.0102033j 0.000881105+0.0072381j 0.00448059+0.0118578j -0.0134119+0.0101406j -0.0141062-0.0139229j 0.00240861-0.000185838j 0.00417366+0.000416399j 0.00101025-0.00204456j -0.00899066-0.00575517j -0.0132286-0.015744j -0.00509422+0.0109435j -0.00360879+0.00822007j 0.00715961+0.00840855j 0.000165971-0.0124599j -0.00318102-0.00554832j 
0.0197457-0.0595628j 0.154427-0.216179j 0.00443133-0.0195727j 0.00501226-0.00625252j -0.00407502+0.00453138j 0.00667342+0.00336927j 0.00422959-0.0118456j 0.00733491-0.00456202j 0.000615488-0.00102094j -0.00446402-0.0268674j -0.00726087-0.00608234j 0.00432944+0.0045702j -0.000744319-0.00661951j -0.00279834-0.00408634j 0.00636764+0.00140032j 0.0101749+0.00915591j -0.0260218-0.00436623j 0.00847322-0.00400537j -0.00247752-0.00722388j -0.00103325-0.00915108j -0.000304184-0.00380163j -0.00636515+0.00198949j -0.00376149-0.00795076j 0.00693604+0.00134643j 0.000871015+0.00257769j -0.00298055+0.00200565j 0.00645785-0.00686532j 0.000662015-0.00264377j 0.00864129-0.00534369j -0.0101323+0.00391666j 0.00408745-0.0064045j 0.00808694+0.00370781j 0.00362567+0.00400032j -0.00212964+0.000332305j -0.00543243+0.000759362j -0.00284422+0.0128611j -0.0112465+0.00179417j -0.00627101-0.00824624j 0.00172718+0.0090566j 0.00191128+0.00625837j 
0.0176722-0.0159516j 0.0490672-0.079674j 0.00190275+0.0010833j 0.000758678-0.00149791j 0.0146035-0.0112148j -0.0160365+0.0334924j -0.00580893-0.00603732j -0.00344042-0.00123619j 0.00133065+0.000778131j 0.00651629-0.0155812j -0.0114834-0.00941249j -0.00315602-0.000940056j 0.0042548-0.00968341j -0.00126744-0.0058075j -0.018545+0.00358647j -0.00942178+0.0112378j 0.0235216-0.0171315j 0.00615919-0.0115814j -0.001882-0.00114932j -0.00693483+0.00282761j 0.00933862-0.00366009j -0.0102249+0.00865231j -0.00318094-0.00328683j -0.00686295+0.0096567j -0.00451907+0.0018322j -0.00750481+0.0115207j 0.0110851-0.0169464j -0.00127294+0.00802632j -0.00955558+0.00191141j -0.00157921+0.00707808j -0.00402322-0.0042278j 0.000345137-0.008511j -0.000346771+0.0050042j 0.00937822-0.00463172j -0.000612373+0.0160012j 0.00133409-0.00265531j -0.000925043-0.00431823j 0.00234788+0.0105531j 0.00148914-0.00791944j -0.000684434-0.00773308j 
-0.00473232-0.0185194j 0.149187-0.112099j -0.00588547-0.00593176j 0.010146+0.00973167j 0.00219233+0.00691945j -0.0353538-0.0140216j 0.0142831+0.00781856j -0.00259651+0.0163375j 0.00891137-0.00132758j 0.00377067+0.00563902j -0.0025437+0.00834742j -0.00592738+0.00256623j -0.00189969+0.00559304j -0.00104322+0.00440238j -0.0044343+0.00999239j 0.00719937-0.00543087j -0.0128749+0.00244832j -0.0139107-0.00848129j -1.93456e-06+0.00039828j -0.0016031+0.000881051j 0.00111249-0.00117021j -0.00304297+0.00600763j -0.00385527+0.00387206j -0.0019635+0.000588843j -0.00615683+0.00150062j 0.0022311+0.00695484j 0.00239866-0.00385477j 0.000291607-0.00626191j 0.0087478+0.00134276j 0.00901209+0.00261181j -0.000879742+0.00212375j -0.00559337+0.00218774j -0.0057282-0.00207673j 0.0106092+0.00739096j 0.0029823-0.00540594j -0.000678843-0.0166041j 0.0103441-0.000739917j -0.00154553-0.00853865j -0.00453925+0.00670448j -0.00106406+0.00577142j 
