0.277626+0.219641j 0.0412223+0.00624084j -0.0197393+0.0345108j 0.0124732+0.0153889j -0.0109143+0.00816584j -0.00874945-0.0256725j -0.00433411-0.0021458j -0.00276189-0.0134062j -0.00238705+0.00382663j 0.00687602-0.00924758j 0.00229547+0.0108043j 0.00396909+0.00155629j -0.00319279-0.00519486j 0.00925986+0.00679331j -0.00400524+0.00198744j -0.00400163-0.019106j -0.00369329-0.00388133j 0.0031589+0.01783j -0.00281135-0.00253185j 0.00688368+0.00945685j 0.00232451-0.0159405j 0.00407939+0.00523382j 0.00190483-0.00565517j 0.00333931+0.00952655j 
-0.190481+0.281042j -0.00548109+0.0358038j -0.0251611-0.027928j -0.0133208+0.0157832j -0.00735192-0.011828j 0.0198421-0.00886842j 0.00594785-0.00317826j 0.00911986-0.0061704j -0.00244216+0.00195855j 0.010997+0.00776347j -0.0097201+0.00737151j -0.00179848+0.0001737j 0.00480555+0.000855191j -0.00302652+0.00729288j 0.00101515+0.00374926j 0.00919438-0.00390672j 0.00262555-0.00283999j -0.0126651+0.00810561j 0.00201299-0.00181142j -0.00706595+0.00851228j 0.00942286+0.00134195j -0.0001627-0.0104941j 0.00523911-0.00139125j -0.00891791+0.00851486j 
-0.156329+0.103507j 0.0131229+0.0397333j -0.00807905+0.0307971j -0.0254235-0.00345919j 0.0121461-0.00308494j 0.0253766-0.0064875j -0.0111281-0.002091j 0.0255418+0.00240357j -0.0136827-0.00442548j -0.00228809-0.0174634j -0.0239153-0.00199931j 0.00793122+0.00419625j 0.00277736-0.00746203j -0.0146802+0.00301582j -0.00109615+0.00459674j 0.00885372-0.0137614j 0.00348157+0.00231242j -0.0163285+0.00556091j 0.000271577+0.00137165j -0.000117336-0.00779666j 0.00490754-0.0152745j 0.0159425+0.010603j 0.00794946-0.000883977j -0.0130626-0.00144076j 
-0.0297854+0.0513873j 0.0141459+0.0126253j 0.0337145+0.0121931j -0.0133869+0.00223702j 0.0119646-0.00334264j -0.00839989+0.00297505j 0.00956715+0.00141912j -0.0106248-5.22829e-05j -0.000836719+0.000380225j 0.0218014+0.00808855j 0.00842097+0.00158659j -0.00217815+0.00189779j -0.0136187-0.0017196j 0.0134284+0.00338033j 0.000178783-0.00641898j 0.00364868+0.00920952j -0.00101045-0.00611734j 0.00346906-0.00690371j 0.00523248+0.00159634j -0.0295931-0.0178314j 0.00853255-0.0132578j -0.0255721-0.00122906j -0.00531312-0.00278072j 0.00464587+0.00331013j 
0.144888+0.12499j 0.0409127-0.0259452j 0.0258461+0.00786479j 0.00437963+0.0303562j -0.00996199-0.0222545j -0.00075019-0.0170912j -0.00478875+0.00705337j 0.00328023-0.0160873j -0.000866028+0.00907166j -0.0226652-0.00320236j 0.00848631+0.0171107j 0.000913183-0.00640072j -0.00561143+0.000200489j 0.000194666+0.00182377j 0.00360592-0.00427369j 0.00850962+0.00700785j 0.00366011-0.00116891j 0.00157639+0.00485754j 0.000964681-0.00180175j -0.000330697+0.00367102j -0.0164849+0.00207241j -0.0033753-0.00709827j -0.00422544-0.00398974j 0.00336035+0.00782635j 
0.053431-0.0794442j 0.0220226-0.0207581j 0.00626485-0.0101632j -0.0114335+0.00552683j 0.0219539-0.00412397j -0.00642118+0.00109365j -0.00263127+0.0140994j 0.00386012-0.00881444j -0.00906674+0.00911885j 0.0053019+0.0225912j 0.00289682+0.011067j 0.00585975-0.0066531j -0.00468545+0.00416519j 0.00825791+0.0030181j -0.0152012+0.00155205j -0.00231076+0.0212493j -0.000470065-0.00898658j -0.00155902-0.0156261j -0.00320634-0.000876648j 0.00180666+0.0145686j 0.0255084-0.0187668j 0.0142036+0.00363586j 0.00619534+0.00109303j -0.0083522-0.000617744j 
-0.0752012+0.00972861j -0.0124173+0.0114342j -0.0333759+0.026721j 0.00104014-0.00239608j -0.00100479-0.00711385j 0.000655762-0.00273802j -0.00373416+0.00581439j -0.00601703-0.00661361j 0.0109925-0.00744656j -0.0251349+0.0160353j 0.0150127+0.000208235j -0.0090748+0.000780526j 0.00426096-0.0163292j -0.00691608+0.0154171j 0.00278423-0.0116527j 0.0171431+0.0132382j 0.00157944-0.00453648j -0.00643084-0.00815487j 0.000376215+0.00179174j 0.012342-0.00925601j 0.00678077-0.0131977j -0.0109218+0.00170399j 0.000282301-0.0025905j 6.92784e-05+0.000778037j 
0.217041+0.0937662j 0.0670854+0.0287574j 0.0193182-0.0101984j -0.00917809-0.0150027j -0.00604278+0.0296298j -0.00662103-0.00380539j -0.00208653-0.0091287j -0.011491+0.00338379j 0.00590562-0.0133464j -0.02184+0.00684645j 0.0131268-0.0116063j -0.0058938+0.00524471j -0.000436597+0.00153254j -0.00231828+0.00279485j 0.0006865+0.00504498j 0.00946491-0.0161235j -0.00100016+0.00118951j -0.00222361+0.0083527j -0.00114078-0.000813681j 0.00454082+0.0122501j -0.0166683-0.0131872j 0.00466996+0.00469897j -0.0018925-0.00155584j 0.00243671+0.00172546j 
0.0124753+0.108868j 0.00432511-0.000328497j 0.00596334+0.00545786j 0.00396783+0.00805302j -0.0110529-0.00353326j 0.00374567-0.00770725j -0.00282356+0.00514061j 0.00573584+0.00264432j -0.0107539-0.00486993j -0.00671029+0.0213346j -0.0128599-0.000993561j 0.00473157+0.00666154j -0.00740244-0.00297221j 0.00681985-0.00295298j 0.00106338-0.0125554j -0.0154395-0.0145506j -0.00202788-0.00423971j 0.0088063-6.49311e-05j 0.000137463-0.00186183j 0.0131237-0.00792199j -0.00699945-0.00281309j -0.00818925+0.0324332j -0.00479423+0.00404603j 0.00630006-0.00535533j 
-0.106641+0.108357j -0.0145406+0.01062j 0.0134357-0.00770785j -0.0100861+0.0099713j 0.0159633-0.00194536j -0.00483751-0.00586554j -0.000797297-0.00607154j -0.000742753-0.00297222j -0.00346869+0.0035155j 0.0221772-0.0182486j 0.00126622+0.00101277j 0.00238047+0.00577701j -0.00685933-0.0152454j 0.0123377+0.018425j -0.00890078-0.016844j 0.0156207+0.00538113j -0.0014204+0.00478539j -0.00936098+0.00308184j 0.000910772-0.00279029j 0.00233909+0.00218593j -0.0214823+0.0156509j 0.00185697+0.00436137j -0.00296724+0.00173488j 0.000774767-0.000689085j 
0.0785919+0.111151j 0.0401275+0.014738j -0.0153308-0.00209892j -0.0192678+0.0110936j 0.0271119-0.00750082j -0.000879915+0.00897335j -0.00446093-0.00503951j -0.00212595+0.00922612j 0.00324599-0.00520459j -0.0131581-0.00250131j 0.00567416+0.00605722j -0.00168809+0.000640183j 0.00181645+0.00938245j 0.000975859-0.0217737j 0.00811423-0.00356437j -0.0095285+0.0223887j 0.00224526+0.00538386j 0.0100938-0.00803599j 0.00187136-0.0021874j 0.00181675+0.00314441j -0.0139537+0.0110124j -0.0113866+0.00486892j -0.00589593+0.00199962j 0.00619277-0.0035251j 
0.0939651-0.0289175j 0.0141266-0.00135572j 0.0099854+0.0128197j 0.00310216-0.0158787j -0.0172084+0.0292122j 0.00459002-0.00974192j 0.00626359-0.00264503j 0.00612999-0.00255029j -0.00475055+0.00288814j 0.0233187+0.0148911j 0.00301561+0.00894487j -0.00104176-0.000863188j 0.00813001+0.000980937j -0.0145298-0.00634768j 0.00366657-0.00629785j 0.00143004+0.0239263j -0.00109851+0.00496664j -0.00193199-0.0111846j -0.0016121+0.000561592j 0.0110615-0.015821j -0.0113161+0.00903008j 0.0104964+0.00127019j 0.000141983+0.00259114j -0.000281387-0.0048551j 
-0.0143971-0.00261601j -0.00930411+0.0186069j 0.00617368+0.0369583j -0.00482007-0.00925756j 0.0176438+0.00549154j -0.00917781+0.00181543j -0.00313645+0.0200391j -0.0013672-0.00510404j -0.0062497-0.00151656j -0.00685278+0.0325663j 0.00425446+0.00146391j 0.00202725-0.00258095j -0.0123453+0.0085709j 0.0256392-0.00727113j -0.018187+0.0046895j 0.0119563+0.0048641j 0.00283074+0.000492218j -0.00117453+0.000159487j -0.00244255-0.00422335j 0.0125727+0.019555j 0.00661081+0.014809j 1.1727e-05-0.00434132j -0.000352803+0.000940144j -0.00104176-0.00200742j 
-0.186629+0.30159j -0.0387646+0.072779j 0.0242595+0.00267214j -0.00186915-0.00419721j -0.00461593+0.00367101j -0.00303751-0.0170717j 0.0100446+0.00309329j -0.00137743-0.0221558j 0.0115371+0.0121998j -0.0159144-0.0171658j 0.0031143+0.0235929j -0.00376068-0.00830735j 0.000794888+0.00434448j -0.00550178-0.00882899j -0.000417799+0.00426589j -0.00101686-0.00568516j 0.000980157-0.000151389j -0.00273815+0.00764941j 4.48865e-05-0.000912867j -0.000191081-0.00220082j 0.00310744-0.0104079j 0.00356765+0.00822097j 0.000745881-0.00236424j -0.0031002+0.00309846j 
0.126819-0.0232929j -0.00723158-0.0143342j -0.0251052-0.0350286j 0.00951219-0.00369866j 0.00565541+0.0186337j -0.0066414-0.00110616j -0.0153373+0.00251786j 0.00568713+0.000123119j -0.000789925+0.000943645j -0.0249318+0.00397505j 0.00412214-0.00200429j 0.00472119-0.00247948j -0.0163354+0.0103177j 0.00570496-0.0111137j -0.0162532+0.00281106j 0.0135735-0.000233578j -0.00170316+0.000369816j -0.00795258-0.00770589j 0.000642094+0.00291864j -0.00711501-0.0243233j -0.00907982-0.00420692j 0.0155394+0.0108228j 0.00150688+0.00356251j -0.000352949-0.00554692j 
-0.0128454+0.151559j -0.0192876+0.0306362j 0.0128904-0.0139561j 0.014438+0.00723164j -0.0165873-0.0187075j 0.00524597+0.00728057j 0.0014388-0.00467413j 0.00175932+0.00988285j -0.00743699-0.012488j 0.00508807+0.0254603j -0.00265397-0.00798767j -7.09936e-05+0.00655569j 0.00150968-0.00305206j -0.00581567+0.0152549j -0.000885406-0.00296743j -0.00301526+0.00374887j -0.00323904-0.00241427j -0.00130557-0.0013882j 0.00171241-0.0024456j -0.0154748+0.0166455j -0.0058291-0.00695881j 0.00886055-0.000154457j -0.000235382+0.00107015j -0.00164147+0.00234919j 
