0.0013416+0.00288376j -0.00525806-0.00227436j 0.00656799-0.00564127j 0.0165134-0.000725449j -0.000885641+0.0040458j 0.000555031+0.0200361j -0.00194198-0.00967028j 0.00360753-0.0359116j -0.00687257+0.010643j 0.0076258-0.00773629j 0.000591233+0.00360041j -0.00843423+0.00721691j 0.00252331+0.00251979j 0.00258744-0.0019768j 0.000808156+0.00884393j -0.00890496+0.00729192j 0.00102545-0.00732858j -0.000354077+0.000342782j 0.000921121+0.00605192j -0.00811491-0.0001524j 0.00637341-0.000617557j 0.0027333+0.00404764j -0.00589437+0.00790924j 0.0112079+0.00146826j 0.0116279-0.0030998j 0.000457042-0.0134899j -0.000553267+0.00126308j 0.00431369-0.00124695j -0.00331075-0.00139978j -0.00243315-0.00852271j -0.0180555-0.00197468j 0.00352607-0.0130952j -0.00645113-0.00510073j 0.00417652-0.0149343j 
0.0027063-0.00146684j -0.00882667+0.000476659j 0.0065414-0.0158016j 0.0242801-0.00474143j -0.000943094-0.00651073j -0.0037941-0.0124717j -0.0046694+0.0026512j 0.00371895+0.0182099j -0.00323016-0.0158687j 0.00607525-0.0171466j 0.00546862+0.00656086j -0.0156417+0.00443339j 0.00512391+0.00277126j 0.00167476-0.0110593j -0.00105599+0.00288538j -0.00510969+0.0108719j -0.00121145-0.00454952j -0.000594208+0.00836368j 0.00024117-0.0017265j 0.00193541-0.00127984j -0.00207356-0.00132301j 0.00515785-0.00839454j 0.000845001+0.00207242j 0.00677747-0.0156644j -0.00547068-0.00319764j 0.0138893-0.00345822j 0.000477375+0.00294923j 0.0044664+0.000457337j 0.0014935+0.000381021j 0.000872987+0.0064224j 0.00955885-0.00335912j 0.0074325+0.00324447j -0.017131+0.00905543j 0.00937597-0.00607976j 
-0.0032916-0.0026031j 0.00472841-0.00557754j 0.0122673+0.013051j -0.00140208+0.0356305j -0.00605299-0.00705431j -0.00493749+0.00252954j 0.00986427+0.00336347j 0.0217316+0.00577274j -0.0040293-0.00826993j 0.00807023+0.00804118j -0.00599908+0.0106257j -0.00623383-0.0139489j 0.00466179+6.06237e-05j 0.00682137-0.0014392j -0.00829779+0.021368j -0.00292953+0.00624845j -0.0043178-0.0029337j -0.00449725+0.00479211j 0.00976391+0.00313107j -0.00404+9.65858e-06j 0.000537181-0.00316782j -0.000303613+0.00191829j 0.0105279+0.000331635j 0.000153952+0.000171397j -0.000628746-0.00964625j -0.00794255+0.001765j -4.24342e-05+0.00129969j -0.00357302+0.00192425j -0.000375222-0.000627588j -0.00881183+0.00247326j 0.00325014+0.011418j -0.00362328-0.0028045j -0.00358974-0.00840618j -0.0014148-0.00464746j 
-0.00357814-0.00317516j -0.000583144+0.00379873j 0.00016961+0.00340825j -0.000775063-0.000482551j 0.000383231-0.00707406j 0.0212495-0.00710181j -0.00188124+0.0062866j -0.0302255+0.00337517j 0.00742011-0.00396159j 0.00765278+0.00459243j 0.0025973+0.00550357j -0.00254763-0.00602793j -0.00183688-0.000563033j -0.00237191+0.00045243j 0.00263822+0.0378101j 0.00216304+0.0114701j 0.00175031-0.0043022j 0.002661-6.14411e-05j -0.00385992+0.00213101j -0.00124006-0.00359246j 0.000452841+0.00137822j -0.00555948+0.0032442j -0.00232786-0.00196093j -0.00721151+0.00535905j 0.0035815+0.0101928j 0.00481433-0.00559478j 0.00026809-0.000645886j 0.00053208+0.00148909j 0.00146664-0.00079393j 0.00569778-0.00422635j -0.00316614-0.0165746j 0.00917733-0.00326647j 0.00805972+0.00102958j 0.00768177-0.00114253j 
-0.00690508-0.00104336j -0.0117213-0.0191781j 0.0167194+0.0153487j 0.0156702+0.0234956j -1.89413e-05+0.00308624j 0.00901944-0.00748352j -0.000618267-0.00901283j -0.0148729-0.00260147j 0.00950304-0.0021128j 0.00348052-0.00975323j 0.0030278-0.0025758j -0.00469005+0.00176675j 0.00434112+0.00158116j -0.00123001+0.000225508j 0.00126636-0.0272202j 0.000842365-0.0113857j -0.00401245+0.00331711j 0.00210681-0.000821658j -0.00683239-0.00368189j -0.00451906-0.00209771j -0.00188684+0.00316527j -0.00180772+0.000473289j 0.00701993+0.00129744j -0.0035428+0.00204916j 0.0051369+0.00880727j 0.00106656-0.00278609j 0.000575438+0.000115537j 0.00277054+0.00211977j 0.00264603+0.00139858j -0.000956253-0.00417401j -0.0047563-0.0108322j 0.00388596+0.00270213j 0.00153844-0.00139157j 0.00514072+0.00240238j 
0.00280619+0.00025844j -0.0146501-0.00967372j 0.000229277+0.0155964j 0.00668388-0.0187648j 0.00078259+0.00376265j -0.0131792-0.0113917j -0.00542637-0.0021412j 0.00650905-0.00599217j -0.00997208-0.00603464j -0.00372867-0.0057932j -0.00113093-0.0105318j 0.00209237+0.00943213j 0.00904592-0.00299345j -0.00355322+0.00460168j -0.0037149+0.0175726j 0.00358335+0.0126354j -0.0105135-0.00198252j -0.00169945-0.0158697j -0.00549135-0.011014j -0.00311276+0.00137563j -0.00233026-0.00479372j 0.0028978+0.00470396j 0.0154635+0.017777j -0.000176289+0.00058336j -0.00117801+0.00967677j -0.00475776+0.00344054j 0.00285907-0.00491733j 0.00356929-0.000388648j -0.000198396+0.0102745j -0.00600633-0.0143912j -0.00171794+0.00120527j -0.00626094+0.00604398j 0.0013048+0.00463613j -0.00734304+0.0185816j 
-0.00705801-0.000182631j -0.0127103-0.000428053j 0.0253989-0.00248617j 0.00894683+0.00352238j 0.00140413-0.00340386j -0.010777+0.000191156j 0.00344102-0.000237812j -0.00618374+0.00235887j -0.00909006-0.000427371j -0.0182662-0.000622038j -0.0103076-0.000660654j 0.0266031+0.00397998j -0.0157921+0.00793982j -0.000860215+0.00558992j 0.0108486+0.00863258j -0.00295261-0.00201849j 0.0141907-0.00793349j -0.00710126+0.00218622j -0.00588963-0.0020068j 0.00687901-0.000449341j 0.00309348-0.000978574j 0.00238135+0.00229098j -0.0179977+0.00121656j 0.0108246+0.00672997j -0.00298061-0.00228638j 0.00101973+0.00707743j -0.00233919+0.000829864j -0.00198053+0.00339729j -0.00420786-0.00237621j 0.00795891+0.0037112j 0.00726082+0.00147516j -0.00585333-0.0025164j 0.0112348+6.74283e-05j -0.0045225+0.00288849j 
-0.00261198-0.0017068j 0.0021025-0.00429465j 0.0084096-0.0212599j -0.0183056-0.00449236j 0.00284074-0.00926631j -0.00278785+0.00579796j 0.0122989-0.00753848j -3.39319e-05-0.00126845j 0.00932655-0.00542353j 0.0109068-0.0262574j -0.00487775+0.0060474j 0.00741263-0.00728036j 0.00352168+0.00737733j 0.00132672+0.0077278j -0.00523869-0.00343427j 0.00312827+0.000481634j -0.00171971-0.00478742j -0.0134551+0.0114883j -0.00431593+0.00277161j -0.00131828-0.0024395j -0.000288839-0.00507521j -0.00520702-0.00211966j 0.0170858+0.0040577j -0.00392778-0.00803551j 0.00496773+0.00447014j -0.00608404-0.00589798j -0.00165559-0.000665692j -0.00377054-0.00166297j 0.0023217+0.00444504j -0.00816739-0.00483946j 0.00267994-0.00644635j 0.0013371-0.00104642j 0.0168694-0.00285282j 0.00618591+0.00475273j 
0.00963887-0.00862782j -0.00259344-0.0143398j -0.0236781+0.0172101j -0.0223063+0.01618j 0.00131796-0.0049887j -0.000693016-0.00164502j -0.00631012-0.00121624j -0.00320314-0.00473007j -0.00827741-0.00690898j -0.013634-0.0224811j -0.00456903-0.00088749j 0.00418451+0.0116726j -0.00249628+0.00561919j 0.00325305-0.00357089j 0.00622155+0.00169673j -0.00493819+0.00651821j 0.00474266-0.0075167j -0.0046991+0.00636704j -0.00569825-0.00154887j 0.00239584-0.00481797j -0.000785964-0.00152485j 0.0057802-0.00430363j -0.00720674+0.00745532j 0.0117269-0.00877911j -0.000380629-0.0026554j 0.0107613-0.00367189j -0.00303542+0.00235621j 0.00130706+0.00201223j 7.97131e-05+0.000584841j 0.000966361+0.00145293j 0.00312792-0.0007533j 0.00328196-0.00112614j -0.00649727+0.00339589j 0.00932679-0.00395754j 
0.00127601-0.00459363j 0.00262961+0.00575687j 0.00303219+0.0101776j 0.00419211-0.0044386j 0.00268621-0.00465066j -0.029401+0.0181071j -0.00200488-0.00503346j -0.00750879+0.000124955j 0.0407002-0.0221029j -0.00640264+0.00627504j 0.0112088-0.0117105j -0.00189168-0.0019535j 0.0007054-0.00448887j -0.00418189+0.00670413j 0.00329973+0.00208459j 0.00795635+0.00193864j 0.00413516-6.64162e-05j 0.00312095+0.00198399j -0.0126222+0.0140156j 0.0176119-0.0154168j -0.00984785+0.007086j 0.00827141-0.00613308j -0.00200664+0.000992506j 0.00213556-0.00633431j 0.00480885-0.00307731j 0.000635121-0.00388561j 0.000627649-0.000595462j 0.00148495-0.00263276j 0.0113799-0.000331555j -0.0012569-0.00140306j -0.00662202+0.00356722j -0.00899964+0.00143317j -0.00235695-4.17765e-05j -0.00388876-0.00101774j 
0.002143+0.0131509j -0.00791363-0.0131425j -0.0118502-0.0237421j -0.000144278+0.011332j -0.00643284-0.00215276j -0.0015409+0.0128717j 0.00622909-0.00799943j -0.00106648+0.00583079j 0.0105153-0.0138634j -0.00710212+0.00894538j -0.00215996+0.00120074j 0.00498364+0.00304031j 0.00833704+0.00453803j -0.00507427-0.00195694j 0.00462458+0.00707347j -0.00864658-0.0123809j -0.015074-0.0182481j 0.00485+0.00204012j -0.0108665-0.0109653j -0.000981609-0.00577747j -0.0056868+0.00576678j -0.00162886+0.0036242j 0.00677755+0.0039196j -0.00235491+0.0145886j 0.00201594-0.00415866j -0.00315954+0.0139085j -0.00075794+0.00274368j -0.00285885+0.00884034j 0.00275568-0.00915517j 0.000855373+0.00957746j -0.00231948-0.00429959j -0.00424899-0.000600635j 0.00141914+0.000291978j -0.00197161-0.00218727j 
