-0.10331+0.086397j 0.0860519+0.0995823j 0.0906617+0.198345j 0.206346-0.0729318j 0.127236-0.147228j -0.153897-0.202526j 0.0850937-0.130741j 0.0385912+0.00918102j -0.0790881+0.0623931j -0.0268382-0.00546498j 0.0881512+0.0434177j 0.155294-0.00549924j -0.0574408-0.251284j -0.161953+0.0308811j -0.112761+0.011843j 0.126434-0.000267351j -0.0508725-0.0973509j -0.0562681+0.109863j 0.131408+0.00488745j -0.0580248-0.0342639j 0.0556716-0.014j 0.019126-0.0121724j -0.0505104-0.046068j 0.0313656-0.0290233j -0.0638704+0.0591282j 0.00852243-0.022771j -0.0226327-0.0195014j -0.0197486+0.0455342j -0.0370354+0.0493339j 0.0169656-0.0245158j 0.00588261-0.0194203j -0.0248207+0.0948103j 0.00911437-0.0739482j 0.0129628-0.113381j -0.0410932-0.104879j -0.0690342-0.0209369j -0.0799483-0.0501783j 0.0390745+0.0964511j -0.056653+0.0838757j -0.0806622-0.0336799j 0.0225528-0.0761105j -0.0552639+0.0397417j 0.0628194-0.0269758j -0.0284146-0.0497517j -0.0816423-0.000797921j -0.0330309+0.000394608j 0.0633561-0.0252458j 0.00305764+0.0262478j 0.0189204-0.0212597j 0.0477802-0.0181993j 0.0982261+0.0388246j 0.0498812-0.0357083j 0.111775-0.0786835j 0.0618643+0.00874569j -0.0301457+0.048882j 0.0868028-0.0506168j 0.0791524-0.0495417j -0.0345574-0.0360243j 0.0141562-0.0314967j 0.0426516+0.0266048j 0.0294431+0.0644788j 0.0307174+0.0939994j -0.00644619-0.0747904j -0.00219521-0.100107j -0.0367866-0.0746576j 0.0997478-0.0304746j -0.0866525-0.0878604j 0.112236-0.018716j -0.0887324+0.0594728j 0.0903709+0.0252491j -0.114309-0.0856591j -0.0290804+0.151616j -0.0777127+0.0443203j 0.184589-0.147572j -0.146104-0.177196j -0.049775-0.119638j 0.118819-0.0501368j 
-0.0293631-0.239418j -0.241638+0.0354074j -0.0340899-0.091054j -0.0755505+0.00966215j 0.0583401-0.11766j -0.203155-0.000901939j -0.112029+0.0175373j -0.0273717-0.0774787j -0.0429799+0.0727925j -0.0702529-0.0870026j 0.0542612-0.254483j 0.173474+0.121239j 0.0497176-0.0391911j -0.028828+0.0422612j 0.0469934-0.0463559j -0.0124202+0.0635046j 0.0210931-0.0104819j 0.107935+0.0949718j -0.0339945-0.0340623j 0.0843416-0.0874562j -0.149803+0.0558752j -0.0247904+0.0771191j 0.0612509-0.0856875j -0.00325449-0.0325491j -0.000784269+0.0641565j 0.0288143+0.00471028j 0.0657206-0.0189303j -0.00759911+0.0524471j 0.0536089+0.0459417j 0.0966227+0.111116j -0.0840215-0.0547425j 0.041354-0.0180676j 0.148797-0.0478191j 0.0592861-0.0180033j -0.0322571+0.0594633j 0.0338702+0.0179869j 0.0436133+0.0043872j -0.0607425-0.0159072j -0.0166905-0.0970901j 0.00996574-0.0223929j -0.0036535+0.0520679j 0.0111136+0.0543127j 0.0444411+0.00996854j 0.0871013+0.00967852j -0.081415+0.0582759j -0.0132774-0.0455566j 0.0349356-0.0717742j -0.00987739-0.104452j 0.0179768+0.0500465j 0.0310557-0.0420661j -0.0449543+0.0441319j 0.0221167+0.0367352j 0.0511517+0.0549751j -0.00432668+0.0773079j -0.0482175-0.0527188j -0.00472173+0.0489146j 0.0392168-0.0291879j -0.0181397-0.0443024j -0.160174-0.0356137j -0.0499652+0.0550796j -0.0709349+0.068307j 0.148309+0.0217137j 0.0153351-0.109044j -0.105588-0.140677j -0.046343+0.0756803j 0.111589-0.0191449j 0.0430658-0.014706j 0.06832-0.0441531j 0.0139998+0.193603j 0.0862256-0.057882j -0.098956+0.027588j 0.0815481+0.0906254j -0.0352589+0.0516823j -0.0918025+0.00557576j 0.00443439+0.0878144j 0.240365+0.0421455j -0.0414202+0.240957j 
0.131171+0.0261869j 0.0296198-0.134437j -0.114787+0.201714j 0.181257+0.116306j -0.198248-0.105857j -0.0237041+0.20402j 0.0279524+0.0284349j 0.00401946+0.0363498j -0.0745664+0.00548266j 0.0570689-0.0564212j -0.0276967-0.0179597j 0.142857+0.0823422j -0.0115489-0.047348j 0.0397943-0.173952j 0.160009-0.0367978j -0.0778352-0.0246036j 0.0598716-0.102562j -0.0399876+0.0416003j -0.0254926-0.144765j -0.0873428+0.0446444j -0.0814298+0.0612096j 0.0240399-0.0351089j -0.0404543+0.08329j -0.0752932-0.045419j -0.0794826+0.124142j 0.00039089+0.0392312j 0.0077883+0.0613093j -0.117182+0.00691386j -0.0488769-0.0585304j -0.0999182-0.0387404j 0.00295059-0.000807513j -0.0124233+0.0521421j -0.0133381-0.0302557j -0.0230298+0.0254346j 0.00975171-0.00589451j 0.0428142+0.0677437j -0.116101+0.0531803j -0.122243-0.00164528j 0.0320132+0.0314523j 0.0317847+0.0943615j -0.0113643+0.0662199j -0.0349438-0.0719246j 0.0664371+0.0530054j -0.0533949-0.036351j -0.101143-0.0221574j -0.0326895-0.0470233j -0.0510625+0.0270547j 0.0579535-0.00445462j 0.00917076+0.00545915j 0.0526221+0.0261208j -0.00544686-0.107312j -0.0285456-0.00238447j 0.0183239+0.0465469j 0.0517048-0.0452201j -0.000669953-0.0290678j -0.0670162-0.0520923j -0.101115+0.074341j -0.000675819-0.144253j -0.0265256-0.0282983j 0.0126735-0.0268713j -0.00994863+0.0360595j 0.152521-0.113296j -0.0801933-0.0472754j 0.0198202-0.0605543j 0.171392+0.0849064j 0.0599905-0.00600451j 0.0713709-0.100776j 0.0828322+0.0715961j 0.00816584+0.0946527j 0.0158064+0.00658465j -0.00933339+0.12165j 0.19483+0.0281153j -0.0469399+0.15481j 0.143664+0.149237j 0.14452-0.133141j -0.122093+0.103211j -0.103343-0.12264j 
0.0100939-0.0050292j -0.00626572-0.00753579j 0.0176407-0.0112895j -0.00826959-0.0272451j 0.00761815-0.000239772j -0.0203307+0.0131548j -0.0311523-0.00323174j 0.0272105-0.0159556j 0.00157777-0.0230509j -0.00722759-0.0166739j 0.0064526-0.0554669j -0.0102822+0.0181386j 0.0220696+0.0351459j 0.0237724+0.0146341j 0.00289821-0.00286605j -0.0181899+0.00579542j 0.0175037+0.0174411j 0.0362742+0.0177041j -0.0315679-0.000699576j 0.0242792-0.00231338j -0.0414806+0.00033236j -0.0172755+0.0112106j 0.0306098-0.00365708j 0.00303039+0.00643026j 0.0156331-0.000234851j -0.00340012+0.00354241j 0.0129121-0.0113497j 0.00115466-0.00395955j 0.0170473-0.00753172j 0.0101491+0.0352402j -0.0101084+0.000519594j 0.0096384-0.0192462j 0.0208684+0.00988782j 0.00172523+0.0196826j -0.00024309+0.026979j 0.0174574+0.00701833j 0.0118943+0.00973594j -0.00886958-0.0199683j 0.0108867-0.0346514j 0.00257254+0.00613804j -0.00479148+0.027717j 0.0110364-0.00441758j -0.00226171-0.00422026j 0.00463892+0.0183828j -0.00406159+0.00682888j -0.00158754-0.0111543j 0.0114042-0.00132322j -0.00253381-0.0191708j 0.0136749+0.00360507j -0.00703727-0.00558708j -0.0185929+0.0174007j 0.00444721+0.0078142j -0.0109776+0.0197624j -0.00597139+0.0131422j -0.0110849-0.0124365j -0.0127812+0.00289681j -0.0151856-0.015157j 0.0089057-0.0136498j -0.0150984+0.00922818j -0.0196645+0.00667769j -0.0175712+0.013914j 0.00897829-0.00278818j -0.00601811+0.00203933j -0.0225089+9.07115e-05j -0.00669608+0.00790895j -0.00177759-0.00931163j 0.0118914-0.00160915j 0.00399716+0.000258166j 0.0211147+4.39423e-05j -0.0281409-0.0082259j 0.00376762+0.00972119j -0.0143409-0.00546494j 0.00459031-0.0257904j -0.00151873+0.026624j 0.0263188-0.00139551j 0.0238259-0.0222754j 0.0231351+0.024173j 
0.011845-0.0053831j -0.00689755-0.011416j 0.0162461-0.0120925j -0.0058025-0.0167532j 0.00731645+0.0282597j 0.00208614-0.00845396j -0.0175211+0.00154829j -0.0172171-0.00373405j 0.0332919+0.00708392j 0.0036682+0.000456053j 0.0471299+0.00862293j 0.0182118+0.0300661j 0.0206195-0.0243369j -0.0325955+0.0372541j -0.0130775-0.0204233j 0.0137738+0.0042294j -0.0113495+0.000396009j 0.00502441+0.0164787j 0.0063754+0.0229662j -0.00385247-0.00659222j 0.00136219-0.00726835j -0.00718881+0.00828692j 0.0118346-0.0145486j 0.00980954-0.019875j 0.00738334+0.0227545j 0.00151035-0.00155963j -0.0114337-0.0121341j 0.0051582+0.0156033j 0.00500595+0.0193251j 0.0251556+0.0063613j -0.00716498-0.00563813j -0.0116356+0.0132262j 0.0205863-0.0128223j 0.0300161-0.0133084j 0.00972659-0.00742572j -0.00308285+7.80395e-06j 0.00700012-0.0240222j 0.00316832+0.0136548j -0.0102312-0.00782571j -0.0141043-0.0119177j 0.0021134-0.0050079j 0.00935481+0.00482255j 0.00580511-0.00879158j 0.00398792+0.00450424j -0.00723106+0.00775327j -0.00733507-0.00448256j 0.0124261-0.00423118j -0.00491675-0.00564935j -0.0102576-0.0102459j 0.00011031+0.00281255j 0.0106817+0.0191776j 0.0104888-0.000374726j 0.0301175+0.011908j 0.00653079+0.00569016j -0.0122703-0.00556853j 0.0188081+0.0177478j 0.0103243-0.0245725j 0.0116395+0.0178319j -0.0122885+0.00201201j -0.0158073+0.0297836j -0.000577255+0.00366411j -0.00133455+0.0115724j 0.00950746-0.0155274j -0.0171125-0.0141562j -0.00473733+0.00846368j 0.00624206-0.0127145j 0.00363793+0.0131833j -0.0207386+0.0088096j 0.00366092+0.00435539j 0.00274802-0.0345009j -0.0190205+0.00289013j 0.0075874-0.00472023j 0.0207251+0.00794457j -0.0122737-0.0011081j 0.000683299+0.0125893j -0.0187145-0.0131719j 0.0132583-0.0181964j 
-0.0206969+0.0018382j 0.00286355+0.0203723j 0.000436645-0.0107435j -0.0135306-0.00118069j -0.0216894-0.0291158j -0.0177233+0.0311302j -0.0100354+0.0119186j -0.00929245-0.00413762j -0.000863127-0.0239817j 0.0292032+0.00394666j 0.00565627+0.0129313j 0.0138386+0.0199986j 0.0181554-0.0215541j 0.0231444+0.00153512j -0.0230537-0.0164674j 0.0127546-0.0312208j 0.00500427+0.00801938j -0.0143855+0.025578j -0.00663032+0.0132756j -0.0347408+0.00575807j 5.87025e-05-0.00681515j -0.0208123+0.00245151j 0.0146393-0.00149566j 0.00690397-0.00217959j -0.0113429+0.00220441j 0.0212793+0.0242385j -0.00567626+0.0130592j -0.0168222+0.00527471j -0.00146112+0.00440041j -0.0054149-0.00121255j 0.00964573+0.00251122j -0.00839407-0.0179687j 0.00904079+0.00789471j 0.0022311-0.00189966j -0.00274805-0.00798777j 0.0151206-0.00200301j -0.0167655+0.00356291j -0.000510288+0.0122289j -0.00532776+0.00302109j -0.00893436-0.0118337j 0.00331306-0.00127891j -0.0181286-0.00708893j -0.0174886-0.000344714j -0.017533-0.00295554j -0.00108914-0.0245053j -0.00889759-0.0227427j -0.000295701+0.00369716j 0.00563423-0.0082173j -0.00893349-0.0169829j 0.0141699-0.0124151j -0.0130179-0.00402608j -0.00716677+0.00347368j 0.0045205+0.0164724j 0.00870471-0.0213464j -0.0111426-0.00252111j -0.0127877-0.00158081j 0.00377201+0.00384308j -0.00576203-0.0258317j 0.0175075+0.00457611j -0.0227058+0.0121034j -0.0242105+0.0107471j 0.00296789-0.00883173j -0.00054329+0.0256083j -0.0157355-0.0131775j 0.0252379-0.0160825j -0.0182705+0.0144185j 0.0204426+0.00651013j 0.0178179+0.0280418j -0.0135359+0.0107029j -0.00876856-0.00411673j 0.00171913+0.00896554j 0.00222788-0.0143825j 0.0182158-0.00588224j -0.0119309-0.0325676j -0.0311086+0.0115639j 0.0142204-0.0047597j 0.004585+0.0139439j 
-0.00414136+0.00668037j 0.00699417+0.00411856j 0.0131802+0.00352753j 0.00284003-0.0136924j 0.0281064-8.24552e-05j 0.00623365-0.0278239j 0.0111302+0.0474982j -0.0437957+0.0037076j -0.0133832+0.0103847j 0.0103052-0.0071117j 0.000568686+0.00224807j -0.00596602+0.0341113j 0.0177675+0.0225539j 0.00900775-0.0147822j 0.0254887+0.00586052j -0.00363926-0.0173063j -0.0167159+0.00281961j 0.0201613+0.00522973j 0.00738246-0.0223443j -0.0144979+0.00219409j -0.00524981+0.0160068j -0.00556261+0.00229306j -0.0119818-0.00654774j 0.00978945+0.00184206j -0.00314325+0.0104335j -0.00858144+0.00795703j -0.00310191-0.0170482j -0.00181971+0.00544452j 0.0231683+0.00180215j -0.0281559+0.0144714j 0.0105463+0.00695295j 0.00110995+0.00679177j 0.0139625-0.0103787j -0.00466498-0.00786338j -0.00288195-0.000813128j -0.00599576-0.012415j -0.00424358-0.0066032j -0.0282041+3.36065e-05j 0.0151609+0.0126365j 0.00453928+0.00644509j 0.00143844-0.0149978j -0.00954549-0.0119505j 0.00240296-0.0196167j -0.00733957-0.0046387j -0.0131287-0.00291115j -0.00672478-0.00963652j 0.00817428-0.00833647j 0.00848376+0.00659276j 0.00394447+0.0164542j 0.000394752+0.00407793j -0.00154428-0.0103091j 0.00651817-0.00821361j 0.00794971+0.0109446j 0.0138894-0.0071854j -0.00580094+0.00655933j 0.00703181-0.0192335j 0.000916813-0.0177773j 0.00383416-0.0123573j 0.000570184+0.000171044j 0.00379332+0.00461611j -0.00229809+0.0070442j 0.0109859+0.0121858j -0.00452424+0.000603784j -0.0274743+0.00915376j -0.0397633-0.00316989j -0.0199749-0.00400585j -0.010267+0.0322549j -0.00516662-0.0305107j 0.00256058+0.0138206j 0.01905+0.0266683j 0.0490336-0.00185678j 0.0123457-0.0432859j 0.0156128+0.0140459j 0.00273212+0.00593507j 0.00573742-0.00189723j 0.000789708-0.00219564j 0.00216973+0.000720156j 
0.00196791+0.0168083j 0.0175536-0.00184975j -0.0200663-0.0174019j -0.0182632+0.0187566j 0.030378-0.0115123j -0.00811149-0.0157725j -0.0187694+0.0115753j -0.00323535-0.00711085j 0.0163353-0.0218019j 0.0151002+0.0368883j -0.00487031+0.000469446j -0.00133942+0.00183209j -0.011493+0.000392617j -0.0126883+0.0056304j -0.00406703-0.000632874j -0.00283153+0.0234361j 0.0176924-0.01932j 0.0163801+0.011796j -0.00111742-0.0137199j 0.00460119+0.0120141j 0.0261473+0.00978787j 0.0158763+0.00516447j 0.0191101+0.00681438j -0.0194777-0.0201279j -0.0133135+0.0257015j -0.00834355-0.00479027j -0.00486335+0.0040014j -0.00085218+0.00214433j -0.0157287-0.00790567j -0.0101645+0.000253211j -0.00346363-0.00457456j -0.00537603-0.0142896j 0.00284216+0.000285864j 0.00078208-0.011538j 0.00731074+0.00623215j 0.00763787-0.0031957j -0.0178715+0.0195909j -0.0178761+0.0172467j 0.00684298+0.00667581j -2.24185e-05-0.0024533j 0.00445789+0.00581861j 0.0136647+0.00266921j 0.0284582+0.000806598j -0.00449905+0.000276667j -0.0176591+0.016502j -0.010724+0.0218146j -0.0049182+0.0232009j 0.010962+0.00507279j 0.0063885-0.00506126j 0.0275428+0.014961j 0.007656-0.00559567j -0.0162642+0.00550268j 0.00861287+0.00653904j -0.0101792+0.0197422j -0.0117442-0.00652543j -0.0092782-0.000709268j -0.0177642-0.00655249j -0.00990363-0.00738448j -0.0196456-0.0221026j -0.000942879+0.0151356j 0.00692023-0.0250888j -0.00908322-0.0105169j 0.000362086-0.00873195j 0.00442293-0.0229885j 0.017848+0.00980353j 0.0214425-0.0301007j -0.0363596-0.0144374j -0.0148441-0.00773277j -0.0063203-0.0246645j -0.00831657+0.0169965j 0.0233393-0.0115843j -0.0231623-0.0214566j 0.0114368-0.0213826j -0.0222375-0.0184686j -0.0180567+0.0212632j 0.00436453-0.00780333j 0.00775114+0.00418422j 
0.0126421-0.00519317j -0.00562944-0.0127986j -0.00662355-0.00283473j -0.00169863+0.00811714j -0.0150719+0.0190959j 0.0144885+0.0134161j -0.00156909+0.00414123j -0.0121958+0.00317401j 0.0141937+0.00934978j 0.00194431+0.000517865j 0.00984163+0.0150888j 0.00351+0.00857842j 0.0068529-0.00272781j -0.0114118+0.000258128j 0.0117034-0.00898375j -0.00123669+0.00281125j -0.0077297+0.00236785j -0.00655596-0.00929597j 0.008432+0.00687642j -0.00723623-0.00228116j 0.0067394-0.00326203j 0.00345803+0.00233629j -0.00497931-0.00163348j -0.00595128-0.0111672j 0.00254828+0.0123017j 0.00211028-0.00282283j -0.0109029+0.00200443j 0.00141312+0.00443019j -0.00424221+0.00770056j 0.00534412-0.010113j 0.001555-0.00260601j -0.00529701+0.0122375j -0.00109575-0.00755398j 0.0135787-0.00616046j 0.00645108-0.00635607j -6.89929e-05+0.00266737j 0.00477825-0.0126488j 0.002173+0.00267181j -0.0016523+0.00311877j 0.00351807+0.00258283j -0.00110447-0.0038568j 0.00452269-0.0037312j -0.000728944+0.00111807j 0.00505181-0.000805509j -0.000266401+0.00311869j 0.00058678+0.00201321j -0.00517485-0.00219839j 0.00164999+0.00412656j -0.0147177-0.00794616j -0.00125374+0.00583023j 0.0100946-0.00461611j 0.00286674-0.0026577j 0.0100386+0.00164268j 0.00342412-0.00628628j 0.00374619-0.0024424j 0.00529156+0.00631249j 0.0018635+0.00778654j 0.00466508+0.0117504j -0.0012135-0.000496997j -0.000573619+0.00497144j 0.00607973-0.00580006j 0.000600343-0.00161435j 0.00231318-0.00446393j 0.00471068-0.00156019j 0.0071112+0.00992053j -0.000772022+0.00288577j 0.0071832+0.00553442j -0.0105267+0.00368459j 0.00249898+0.00363586j 0.00884126-0.012162j -0.00427402+0.00515979j 0.0171564-0.00535092j 0.00869542+0.0140831j -0.0130178+0.00882549j 0.00993316+0.0133076j -0.00781739+0.0133443j -0.013198-0.00779609j 
0.00964202+0.0251541j 0.0247713-0.00852131j 0.0132213+0.0235136j 0.024172-0.0148647j 0.0030752+0.00913226j 0.00355316-0.00201538j 0.00287231-0.0134829j 0.0205762+0.004792j 0.0104944-0.0136261j 0.00198122-0.00273112j 0.0139114-4.83552e-05j -0.00617016+0.00549516j 0.00196911+0.0019134j -0.000110859+0.012158j -0.0035996+0.00193344j -0.00368405-0.00123401j -7.66431e-05-0.00268435j 0.00876016+0.0107364j -0.00688143+0.00854141j -0.00335662+0.00254387j -0.00493673-0.00377771j -0.00723091-0.00261482j 0.00973727+0.00445859j 0.00332864-0.00674907j 0.00260352+0.0104927j -0.00450152+0.000767766j -0.00674647-0.0125086j -0.0014217-0.00194883j -0.000927348-0.00827247j 0.00281829+0.004805j 0.00106488+0.00692598j -0.00787214+0.00493956j 0.00202478-0.000872948j 0.00671488+0.00549027j 0.00594626-0.0010594j 0.000240818+0.00564664j -0.00134563-0.00104941j 0.003087+0.00255727j 0.000490397-0.00243515j -0.0108422+0.00844199j -0.000533765+0.00550902j 0.00738826-0.00502003j 0.00427413-0.00588641j -0.0111106+0.0093193j -0.00631236-0.000525006j -0.00561472-0.000314946j 0.00759142+0.00374964j -0.00175744+0.00367885j 0.00954456-0.0115686j -0.00438299+0.00343122j 0.00655616+0.0124614j 0.00758329+0.00139405j 0.00585487+0.00522871j 0.00663043+0.00165667j -0.00283098+0.00267387j 0.00517217-0.00279891j -0.0117339-0.0105706j 0.00634222-0.000319508j 0.00440537+0.00528743j -0.00426977+0.00518737j 0.003128+0.00447054j -0.00542109+0.00188218j -0.00517465-0.0031577j -0.000530729+0.00370276j 0.00435287-0.000332606j -0.000336541-0.00680789j -0.000299895-0.00561847j -0.00414055+0.00847384j 0.00378237-0.0136655j -0.0137284-0.00644222j -0.00185101+0.00376868j -0.00317417-0.00348725j 0.00403566-0.0042163j 0.0192085+0.0100382j 0.00961135-0.0194926j -0.0245136-0.0129982j 0.0132558-0.0246464j 
0.00423006+0.00316434j 0.00344556-0.00311342j -0.00237193+0.0123307j 0.0110262+0.0015808j -0.00437696+0.00587411j 0.00412459+0.00753965j 0.00480105-0.00701083j 0.0100717+0.00276248j 0.00443888+0.000256522j -0.00303974-0.0038557j 0.00128964-0.00107578j -0.00321367+0.00877069j 0.00474742+0.00530156j 0.00304654+0.00196966j 0.0108987+0.000697688j -0.0062656+0.00328672j 0.00286913-0.00174766j 0.00789099-0.00637488j 0.00297117+0.00169392j -0.00209216+0.00281129j -0.0095165+0.00191136j 0.00182823-0.000184046j -0.00210045-0.00114026j -5.99746e-05+0.00105212j 0.0105985+0.00101122j -0.00608147-0.0043618j -0.00384133-0.00539531j -0.00284329-0.00268558j -0.00297096-0.00676192j 0.000876344+0.00121983j 0.00104732+0.00312235j -0.000730991+0.00650125j -0.00173982-0.00274992j 0.00151382-0.00213144j 0.00371007+0.000674377j 0.000220861+0.00238467j 0.00237689-0.000942475j -0.000699224-0.00863102j -0.000717084-0.00380849j 0.00288194+0.0115473j -5.12062e-05+0.00311029j 0.00219566-0.00559583j 0.000347656+0.00119516j 0.00247301+0.00313549j -0.00178902+0.00482103j 0.000798245+0.00160992j -0.000391085-0.00349239j 0.00165304+0.0017739j -0.00208849+0.00113555j -0.00136396+0.00143066j 0.00169501-0.00256866j 0.00640562-0.00285139j -0.000494204-0.00191378j -0.000541429-0.00208486j 0.00292195+0.000145288j 0.00213011-0.00137469j -0.00208597+0.00545216j 0.0013517+0.000652396j 0.00198374+0.00162352j 0.00900637+0.000440952j 0.00599452-0.003361j 0.00244355-0.00148435j -0.000232287-0.00454584j 0.00306878+0.00356055j 0.00459616+0.00313463j 0.00052356+0.00421635j 0.00216323-0.00306208j -0.00241735+0.00085773j -0.00225592+0.000134701j 0.00693619+0.000770672j -0.000717533-0.00121952j 0.010688+0.000124705j 0.00104899+0.0122816j -0.00221647+0.00271676j 0.00259383+0.00363687j 0.00316233+0.00396053j -0.0037403+0.00285692j 
