0.159426-0.0984514j 0.0978078+0.161848j -0.119847+0.238219j 0.264105+0.180464j -0.135606-0.0992443j -0.234437+0.10136j 0.0784492+0.0335037j 0.0898002-0.119133j -0.108934-0.0229276j -0.046455+0.0750084j -0.0349808+0.15105j -0.101163+0.0251057j 0.0473931-0.10328j 0.0676978-0.144583j 0.0560986+0.021602j 0.113623-0.0685596j 0.0193787-0.0915929j 0.116569+0.0584044j -0.0189123-0.0146966j 0.00603053-0.157478j -0.00259992-0.131481j -0.0380152-0.115853j 0.0666382+0.126979j -0.0278863+0.18927j 0.0953063+0.0239894j 0.228591+0.130965j 0.034904+0.0875667j -0.225864-0.0261541j 0.181126-0.170197j -0.0083291-0.145902j -0.0400254+0.168086j -0.175087-0.0718229j -0.0396443+0.162589j -0.161236-0.0567994j -0.0741086-0.041736j 0.0842325-0.0240131j 0.076245-0.0431913j 0.0176326-0.075084j 0.0293224-0.0363658j 0.0107497-0.0196343j -0.00676118-0.0616758j -0.0278983+0.0284463j 0.017421+0.0212255j -0.00835284+0.0243012j -0.019075-0.0381345j -0.00631186-0.0268961j -0.00324135-0.0032502j 0.0214842-0.0134575j 0.00150768+0.00382672j -0.0269889-0.0216418j 0.0159352+0.00434391j -0.0213107+0.00216546j -0.00633077+0.00742736j 0.010238+0.02836j 0.00895947+0.0137679j 0.021475+0.00489148j 0.00635533-0.00122169j 0.00482889-0.00465436j -0.00224762-0.00502563j 0.00438932-0.00161256j -0.0150522+0.0104878j -0.00542805-0.0277212j 0.0193007+0.000309664j -0.0146229-0.00672469j -0.0155254-0.00474549j -0.000481793-0.0131964j 0.022556+0.00821178j -0.0194909+0.01707j 0.0107341+0.0307153j -0.0280526+0.00887954j 0.00232927+0.0405154j -0.0403327+0.00217979j 
0.257156-0.0744639j 0.0726775+0.25876j 0.0238347-0.0647163j -0.0754662-0.0418681j 0.00470637+0.0250716j 0.0381422+0.0164863j -0.0265173+0.0526157j -0.0923541+0.0321523j -0.0151221-0.0384035j -0.00279842-0.00633167j 0.0272837+0.00855382j 0.00219456+0.0313486j 0.0163744+0.0302053j 0.0204617+0.0507228j 0.01331-0.0388388j -0.0471949-0.0194856j -0.0250614+0.00747874j 0.0381449-0.0382742j 0.00732121-0.0115773j -0.0220271+0.011671j -0.00430406-0.0247663j 0.0381155-0.0130945j -0.00581395-0.0833625j 0.0707374-0.0308705j -0.0540022-0.0363909j -0.0265101-0.029772j 0.0282726-0.0922044j 0.122066+0.0144867j -0.0238079+0.130562j 0.0858134+0.0200946j -0.0699768+0.0196581j -0.00785685-0.0431477j 0.125205-0.0189416j -0.0350889+0.097729j -0.115266+0.0623086j -0.00220122-0.125421j 0.0425899+0.093085j 0.150488-0.0823417j -0.0294408-0.197863j -0.034474-0.0538478j 0.0954458-0.00642397j 0.0419536+0.0052417j -0.0467625+0.0052059j 0.071024+0.0424684j -0.0613224-0.19399j -0.0571889-0.0789223j 0.0590779+0.0034326j 0.0176863+0.057722j -0.006298+0.00960602j 0.0749602-0.0139899j -0.0771548+0.0709227j 0.00927475-0.0107979j 0.0131169-0.00126824j 0.107761+0.0495514j 0.0365186+0.0415918j 0.168757+0.0896255j 0.0837489+0.0112379j 0.0804883-0.0373062j 0.0517128-0.055694j -0.0633126-0.00315766j 0.0602838-0.0827724j -0.0204247-0.0113267j 0.108201+0.0699j -0.10638+0.0443158j -0.0949414+0.177398j 0.124734+0.00953643j 0.0481038+0.0534431j 0.0187559+0.0922893j 0.0344278+0.0385019j -0.0476375+0.0195396j -0.133141+0.299279j -0.298429-0.133211j 
0.0260763-0.0371938j 0.0377852+0.0271211j -0.0166292-0.0184497j -0.0183521+0.0143736j -0.00398293+0.0119267j -0.000400088+0.00502639j -0.011285+0.0158067j -0.0156798-2.97945e-05j -0.00363214-0.0124035j 0.00338329+0.00387636j 0.00417721+0.00260904j 0.00382084+0.00376767j -0.00166751+0.0012254j 0.00702499+0.00981892j -0.000164689-0.00586388j -0.00448667+0.000493127j -0.00433525+0.0045676j 0.00638948-0.00718233j -0.00168197+0.000713489j 0.000965508-0.000276136j -0.00179675-0.000605596j 0.00397314-0.00594519j -0.00506267-0.00633368j 0.00376756-0.00581245j -0.0111162+0.00208056j -0.00744516+0.000383295j -0.0071076-0.00891539j 0.00949939-0.0150776j 0.00589832+0.0301482j 0.0227443-0.0111308j 0.00422105+0.0202786j -0.0157845+0.0126219j 0.0549997-0.017523j -0.00168461+0.0481505j -0.0358279+0.0265014j -0.00399456-0.0326827j 0.0330037+0.0237804j 0.0362664-0.0338216j -0.0181811-0.064467j -0.00363982-0.00481385j 0.0456898+0.00303277j 0.00562655+0.0196081j -0.00979352-0.00624542j 0.0439587+0.0112153j -0.0165819-0.0508171j -0.0173385-0.0269773j 0.00744561-0.0059745j 4.6176e-06-0.00418306j -0.00709298+0.00353189j 0.0283126-0.00877605j -0.0432001+0.0389423j 0.0208597+0.000483318j -0.00402651+0.0148668j 0.0428873+0.0143611j 0.00903816+0.0295854j 0.0373776+0.0301696j 0.0166406-0.00800772j 0.0156915-0.00802058j 0.013887-0.0424772j -0.0143773-0.0122423j 0.0196537-0.0231322j -0.025461-0.00168725j 0.039249+0.035992j -0.0182635+0.00975176j -0.0317512+0.0245295j 0.0137831+0.000923231j 0.0190113+0.0088676j -0.0165276+0.0171976j 0.00484515+0.0440514j -0.0474054+0.0022308j -0.0536584+0.0106373j -0.0107243-0.0543936j 
0.0271519-0.0224214j 0.0236332+0.0262332j 0.00689797+0.00352642j 0.00956312-0.0130139j 0.000611379+0.0180843j 0.00423854-0.00369696j -0.0184487-0.0114109j 0.0037789-0.00894978j 0.0156416+0.00115767j -0.00495291-0.00224148j 0.000280198+0.00124219j -0.00277922+0.010068j 0.00478779-0.0058749j -0.0141323+0.00512578j 0.000242306+0.00513084j -0.0147946-0.00736766j 0.000902518-0.0122594j -0.010591+0.0152046j 0.00769703-0.00414186j -0.00527951+0.00170793j -0.0034697-0.0046554j 0.00151504+0.00725193j 0.00999798+0.00230537j 0.00347623-0.0110408j 0.00587228+0.000485711j -0.00317419+0.0112815j 0.00639218+0.000422995j -0.000420434-0.000864608j 0.0313811+0.0161567j 0.00754424-0.0228938j 0.00551122-0.0205307j 0.022567-5.91846e-05j -0.0248885-0.0200945j 0.0237433-0.0226364j -0.000474945-0.00949788j 0.0235339-0.00589924j -0.0251549-0.0242404j -0.0227233+0.0274842j 0.00184992-0.0113739j 0.00115442+0.00663805j 0.00791319+0.00160645j 0.00791784+0.0140661j -0.00807987+0.0157781j 0.00376729+0.0153208j -0.00180106+0.0134247j -0.020706+0.000620457j -0.000117779+0.0110705j -0.00775324+0.00300089j -0.00591001-0.00167747j -0.0125624-0.0143106j -0.0130662-0.00955726j -0.00880085-0.0188359j 0.00404788+0.00166254j 0.011773-0.00530399j 0.00237455-0.0131302j -0.00786326-0.00643404j 0.00287454+0.0133003j 0.0220758-0.00220835j 0.00622404-0.00754359j 0.0117847-0.00340596j -0.00766208-0.00401561j 0.00240555+0.00653047j -0.0122515+0.0174625j -0.0116906+0.00560648j -0.0280345+0.0118901j 0.0297126+0.0322323j -0.00837964+0.0265986j -0.0135067+0.024308j 0.0345518-0.00189885j 0.00303062+0.033997j 0.0218114-0.024036j 0.0235712+0.0221132j 
-0.00865875-0.00163879j 0.000882256-0.00846324j -0.0279746+0.0206603j 0.0149149+0.0284025j 0.00700404+0.00506676j 0.0291372+0.00207406j 0.0226596-0.0182091j 0.0132138+0.0244472j -0.0050931-0.000303775j 0.00779919+0.00199216j 0.0104641-0.00616197j 0.0036361-0.0148678j -0.0053694+0.00549575j 0.00440581-0.00634872j -0.00791981-0.00483684j 0.00538855+0.0131602j -0.000623871+0.0176928j 0.00211689-0.0207492j -0.00835419+0.0050611j -0.00389258+0.00704952j -0.00375959+0.0121684j -0.00835143-0.00343501j -0.0216439-0.0125254j -0.00080164-0.00955774j -0.0190108+0.000814161j -0.00607735-0.0134168j -0.00787756-0.0173026j 0.0173827-0.00776549j 0.00327703+0.0030286j 0.000841397-0.013038j 0.0331773+0.0170035j -0.0130283+0.0266837j -0.0388435+0.00639696j -0.0028498-0.0398024j -0.0139507-0.0124064j 0.0291995-0.0157595j -0.0198646-0.0143026j -0.0115007+0.0241245j 0.00718652-0.0221558j -0.00183975+0.00468378j 0.0120894+0.00365085j 0.00130449+0.0158986j -0.00483369+0.0184192j 0.00809712+0.0249405j -0.00556506+0.0115485j -0.0183532-0.00273456j 0.00360621+0.0108141j 0.00036664+0.000107551j -0.00891457-0.00367165j -0.0116541-0.0114668j -0.0228811-0.0144818j -0.00990873-0.0153715j 0.000431008+0.00231091j 0.0115963+3.14103e-05j -0.0027542-0.00813658j -0.0117269-0.00775705j 0.0065394+0.00715949j 0.0241327-0.0020188j 0.01232-0.00990224j 0.0158212-0.00656046j -0.00431911+0.002414j 0.00212352-0.000199305j -0.0181212+0.0203953j -0.00878217+0.00373373j -0.0253585+0.00496538j 0.0265073+0.0322663j -0.0147786+0.02956j -0.0146457+0.0188857j 0.0403177-0.00311844j 0.00485031+0.0364504j 0.0161431-0.0162226j 0.0161953+0.0157057j 
0.00924821+0.0141784j -0.0136537+0.00870249j -0.0153586-0.0344593j -0.0330803+0.0129176j -0.00646972+0.00313397j -0.00589359+0.0143698j 0.0233848-0.00633233j -0.00877465+0.0136803j 0.024372+0.0218651j -0.00847934-0.0145077j 0.000575159+0.0273125j 0.00806098-0.0129681j -0.00489212+0.00967764j -0.015617-0.00842071j -0.00768537-0.00598617j 0.00686633+0.0155342j 0.0252223+0.000998771j -0.00558623+0.0119583j 0.00619489-0.0133584j -0.0242877+0.00248282j 0.00291376+0.000300241j -0.00788255-0.00646879j -0.0174113+0.0163584j 0.00197304+0.000403618j -0.00568122+0.0195137j 0.0366461-0.00201352j 0.00122626-0.0277952j 0.000812305+0.0128156j 0.0137347-0.035574j -0.0354278-0.0148057j 0.000650927-0.0283652j 0.0170595+0.000266795j 0.0226461+0.0134694j -0.0153934+0.0179027j -0.00383058+0.00659524j -0.00952448-0.00336113j 0.00586486+0.00686762j 0.0107045-0.00870331j -0.0060421+0.00652128j 0.00569137-0.00186011j -0.00547675-0.00591946j 0.00119682-0.00291618j 0.00811868-0.00968461j 0.00273663-0.0135554j 0.005704-0.00730212j 0.00875589+0.00397564j -0.00170066-0.00625461j -0.00118491-0.0025898j 0.00350917+0.00469172j 0.00190283+0.008226j 0.00915849+0.0131642j 0.0042464+0.0112766j -0.000273572+5.23453e-05j -0.00638894-0.00223071j 0.00156229+0.00775992j 0.00349169+0.0066926j -0.00443247-0.00710854j -0.0150201-0.00124053j -0.00850029+0.00116768j -0.00879545-0.000190852j 0.00144521+0.000808792j -0.00166001-0.0012079j 0.0156228-0.00863925j 0.00795858-0.00363222j 0.0146935-0.00385716j -0.0161072-0.0211525j 0.0112838-0.0173312j 0.00621332-0.010563j -0.0221055+0.0069612j -0.00746469-0.0194618j -0.00802118+0.00419604j -0.00414278-0.0078062j 
0.0139812-0.00329573j 0.00275136+0.0160853j -0.000101561-0.00170857j 0.00154084+0.00513279j -0.013506+0.00523462j 0.00413137-0.00650829j -0.00166787-0.0188614j 0.0092178-0.00126774j 0.00427132+0.0112078j -0.000160382-0.0048377j -0.00359244-0.00127067j -0.0101923+0.000499062j 0.00587713+0.000288139j -0.00995774-0.0062228j -0.0030413+0.00249144j 0.00371991-0.00851735j 0.00896194-0.00419946j -0.0140979-0.0011903j 0.00421749+0.00163227j -0.00248619-0.0021244j 0.00206684-0.00355232j -0.00440088+0.00577787j 0.000295584+0.0064056j 0.00295758-0.00330452j 0.00154179+0.00755599j -0.00819102+0.00402681j -0.00167792+0.00724473j -0.000784648-0.0035165j 0.0049941+0.0190171j 0.0179362-0.00934106j 0.0132769+0.00498987j -0.000744415+0.015009j 0.0148052-0.0199324j 0.0214958+0.0126624j 0.00501146-0.00797399j 0.0160269+0.00929962j -0.00316278-0.0213442j -0.0290989+0.00260018j 0.0133219-0.00389284j -0.00660547+0.00264127j -0.00313497+0.0129825j -0.00967467+0.00620202j -0.0104341+0.0018856j -0.00994505+0.0138536j -0.0112236+0.00325828j -0.00830848-0.00488837j -0.0088013+0.0071217j -0.000181698-0.000590076j -0.00103961-0.00949555j 0.000748918-0.00599108j -0.00160088-0.0218785j 0.00922595-0.00876422j -0.00251694+0.0055815j 0.00307735+0.00451703j 0.000700695-0.00648258j 0.00235642-0.0149611j 0.00394966+0.0082333j 0.00593574+0.0144537j 0.00416663+0.0026052j 0.00958128+0.00597816j -0.00606326+0.00294587j -0.00021855+0.00294778j -0.0200506-0.00978467j -0.00279468+0.00225737j -0.00770881-0.0124648j -0.0109094+0.0198401j -0.0197374-0.00498078j -0.00870943+0.00485597j 0.0321165+0.0192854j -0.0141467+0.0280523j -0.00283367+0.00938779j -0.00876455-0.00320599j 
0.0435414+0.0105093j -0.00955096+0.0418134j 0.0266722-0.00127662j -0.00122919-0.0294245j 0.00286191-0.00989213j 0.0047648-0.0014248j 0.00508977-0.00454413j -0.0012025+0.00857785j -0.000520637+0.00400929j -0.00648785-0.00511909j -0.00163618+0.0021621j -0.00481221+0.00504458j 0.00876528+0.00523509j -0.00175418-0.000512818j 0.00325848-0.00321705j -0.00618081-0.00582757j -0.000872091-0.00620645j 0.00239632-0.000134744j 0.00384093-0.00535486j -0.00610951-0.00150573j 0.0012009-0.00957667j 0.00595106+0.00179859j 0.00450307-0.0116061j 0.0139727+0.00144874j -0.00349122-0.00928408j 0.00266596-0.00284274j 0.013156-0.0126803j 0.0172364+0.0142043j -0.00836274-0.00138315j -0.00344434+0.0187736j -0.0269267-0.00890839j 0.0061555-0.0317097j -0.0296201+0.0217103j -0.0164999-0.0192567j 0.00886459-0.0103144j 0.00236204+0.000734423j -0.0274048-0.0135285j -0.00365166+0.0088688j 0.0125531+0.0240624j -0.00884195-0.0102112j -0.0319376-0.0101912j 0.00784008-0.0226006j -0.00334788+0.0124776j -0.0352623+0.000766864j 0.000406767+0.00290169j -0.000605286+0.010809j 0.00689466+0.00671211j 0.000548731+0.0201965j 0.0119881-0.0028282j -0.0127395+0.00107852j 0.032435-0.0275912j -0.0183567-0.00102597j 0.00622842-0.0169044j -0.0138808-0.000330191j -0.00142554-0.0244201j 0.00769745-0.0108613j 0.0039338+0.0202867j -0.00467141-0.00319195j -0.000695435+0.0277824j 0.00173257+0.0146647j -0.00644396+0.00111j 0.0121442-0.00498672j -0.0168757-0.01909j -0.0124824+0.00449446j 0.0138248+0.0165836j 0.0119147-0.00708692j 0.0045543-0.00199373j 0.0264391+0.0033836j 0.00795263-0.0326098j 0.0245061+0.00931262j 0.00642831+0.056827j -0.0569903+0.00678417j 
-0.00261391-0.00506548j 0.00577759-0.000958685j -0.00324937-0.00963596j -0.00650066+0.00606905j -0.0098212+0.00284785j -0.0077442-0.0013986j -0.00392219-0.0036299j -0.00458606-0.00553278j 0.00284646+0.00842235j -0.000825323-0.00552346j -0.0042671+0.00345349j -0.00585729+0.00345777j 0.00237262+0.00293181j -0.00554147+0.0025917j 0.000503229-0.00362411j 0.0057504-0.00531002j 0.0021099-0.00010195j -0.00564887+0.00135398j 1.22197e-05-0.000883893j -0.000612477-0.00320681j 0.0029609-0.00348598j 0.0021331+0.00397275j -0.00212189+0.0013323j 0.000935605+0.00512817j -0.000884446+0.00241449j 0.000859454+0.00176541j 0.00269822+0.00507132j -0.00335332-0.00300117j -0.00490837-0.00764988j -0.00750321-4.9514e-06j 0.00367372+0.000588099j -0.00305701+0.00575684j 0.0091536-0.00888694j 0.0117872+0.00398348j -0.00602945-0.0138377j 0.00409051+0.00337598j 0.00870761+0.016174j 0.0138373-0.00454731j 0.00687555-0.00758116j 0.00193225-0.00258211j -0.00272+0.00728648j -0.00196254+0.00226684j 0.00379414-0.00756008j 0.00479071-0.00239433j -0.0014044-0.00870561j 0.0109748+0.00252542j -0.00227578-0.000473732j 0.00788695+0.00145454j -0.000801277-0.00123424j 0.00220146+0.0055377j -0.00255857-0.00286241j 0.00199652+0.00212661j -0.00313251+0.000475303j -0.00862538+0.00193428j -0.00127706+0.00487581j 0.0054287-0.00191384j 0.00178209-0.0123581j 0.00196758+0.00202173j 0.00124948+0.00333217j -0.00323341+0.00503056j 0.00354615+0.00458092j 0.00908434-0.00760472j -0.00423675-0.011919j 0.00404074-0.00618629j 0.0137324-0.00596537j -0.0114698-0.00914048j -0.00284674+0.000121108j 0.00486283-0.00851519j 0.0140766-0.0233667j 0.0237295+0.0133754j -0.0117182+0.0170447j -0.017163-0.0127043j 
0.0106709-0.0159195j 0.0166854+0.0116059j 0.00677464-0.0035553j -0.00180623-0.00861397j -0.000652505+0.0107884j 0.0121297+0.000243737j 0.00516268-0.00439213j -0.00318337+0.00765798j 0.00664445-0.00264287j 0.00121699-0.00607386j -0.0110166-0.000926258j -0.00276165-0.0113422j -0.000395137+0.00429561j 0.00320316-0.00611348j -0.00262731-0.00537681j 0.00420414+0.000824705j -0.00147362+0.00461838j -0.00160979+0.00103006j -0.00308098-0.00184418j -0.00111577-0.00606691j 0.00854404-0.000273247j -0.0025425-0.00324951j -0.00550132-0.00312934j -0.00202956+0.00558601j -0.00688879+0.0043675j 0.000668954+0.00723513j -0.00221781-0.00102294j -0.00366291-0.011565j 0.00320911+0.0018452j 0.00091394+0.0029132j -0.0125361+0.00514869j -0.00278607-0.0082862j -0.00232622-0.00706738j -0.00506473-0.00345083j -0.0294593+0.0107157j 0.0111457-0.029914j -0.00471767-0.0251466j -0.0150841-0.0133642j -0.0154469-0.0128258j -0.0100951-0.00692595j 3.14475e-05+0.00283878j 0.0100596-0.0107151j -0.0169616+0.00608503j -0.0187286-0.000486127j -0.0179131-0.00720583j -0.00203557-0.00222996j 0.00250283+0.0172992j 0.00578885+0.00585689j 0.00197367-5.06453e-05j 0.00625139-0.0015459j 0.00240881-0.00237255j 0.00133406-0.00578316j 0.00696448+0.00934751j -0.000736548+0.017169j -0.00186025-0.011824j 0.0112014-0.00775411j 0.00880107+0.0154041j -0.00108637+0.00219901j -0.00488785+0.0104335j -0.0026237+0.00981449j -0.00223981+1.94167e-05j -0.00765366-0.0146586j -0.0192117-0.000796995j -0.02121+0.00396924j -0.0134266-0.0103204j -0.00312473-0.00735706j 0.0209534+0.00250909j -0.00334391+0.0148152j -0.0194548-0.014696j 0.0133125-0.0240666j -0.0221717+0.00748812j -0.00776202-0.0218736j 
0.00204816+0.00504298j -0.00511087+0.000744459j -0.00991391+0.0159131j 0.0182301+0.00225558j 0.0042563+0.014969j 0.00563172+0.0196254j 0.00298569+0.0119717j -0.00967114+0.00123021j 0.0050204-0.00447403j 0.00709109+0.00953291j 0.00294831-0.00547577j 0.0213888-0.00587864j -0.0106189-0.00504072j 0.0118036+0.00104943j -0.00449316-0.00147574j -0.00625848+0.00670419j -0.00247737+0.00152717j 0.00344703+0.000823885j 0.000345917+0.000506681j -0.000336561-0.000191875j -0.00441753+0.01293j -0.00720255-0.0153224j 0.00449182+0.00232927j -0.000930138-0.00899334j -0.0020999+0.00749262j 0.00285244+0.000169527j -0.0115581+0.00314332j -0.00376594-0.0034792j 0.0144019+0.0138405j 0.0161688-0.0108857j -0.00287506-0.0144719j 0.0176259-0.00522003j 0.00944901+0.00847535j -0.00729792+0.00803241j 0.00606451+0.00818463j -0.0117552+0.00481365j -0.00484731+0.00588418j -0.0019923+0.0032557j 0.0112811+0.0102443j 0.00758361-0.0108388j -0.00557691+0.00470338j -0.00346297+0.00430515j 0.00147737-0.00379003j -8.98164e-05+0.00933972j -0.00337341-0.00081796j 0.00744044+0.0076978j 0.00134601-0.00320066j -0.00141769+0.000424173j 0.00745164+0.000910245j -0.00199132-0.000883055j -0.00294667-0.00534654j 0.00460695+0.00400122j -0.00410214-0.00278793j -0.00374613+0.000793531j -0.000749668+0.00526498j 0.00427775+0.004559j 0.00484125-0.00116522j -0.0042584+0.00871626j 0.0099677+0.000825709j -0.00115084+0.00426794j 0.00335682-0.0058017j 0.00346084-0.00481164j 0.0104802-0.00354846j -0.00812708-0.00278569j -0.00406976+0.0103804j -0.00967736+0.00412209j -0.00569009-0.0168892j 0.0111508+0.00248262j 0.0029523-0.00640371j 0.00677222+0.00224565j 0.00229328-0.00166667j 0.00181927+0.00267293j 
