0.0734481-0.100212j 0.156624-0.0381823j -3.81386e-06-0.0133672j 0.15572+0.0405087j 0.0701499+0.0999481j 0.0941227+0.0352069j 0.06467+0.129266j 0.00411328-0.0572222j -0.000193014+0.13128j 0.00422315+0.0560665j -0.0655343+0.128452j -0.0934417+0.03311j -0.0084617+0.0527402j 0.0655365-0.0431561j 0.0607065+0.0108641j -0.0395275+0.055202j -0.0634319-0.0631336j 0.0427448-0.0322577j -0.0690666-0.0386272j 0.00702287-0.0240017j -0.0279194+0.054974j -0.0165326+0.0283786j -0.0130216+0.0372623j -0.0121932-0.0390911j 0.0161529+0.0284629j -0.0266791-0.0539746j 0.00598152+0.0247994j 0.0694687-0.0379735j -0.043149-0.0320986j 0.0639016-0.0625113j 0.04074+0.053556j 0.0590053-0.0086982j -0.0645923-0.0433385j 0.0070903+0.0514684j 
0.177148+0.105691j -0.0261048+0.0551786j -0.000407696+0.19105j -0.02364-0.0588769j 0.178124-0.105017j -0.0115771+0.0307334j -0.0160525+0.00243935j -0.0266112+0.00809513j -0.000399245+0.00832669j -0.0263857-0.00822471j 0.0156201+0.00302119j 0.0116909+0.0302218j 0.0760141-0.00324733j -0.0310353-0.0581444j -0.0253189+0.0932442j -0.0489835-0.00356896j 0.0171834-0.0360865j -0.0406423+0.0556412j 0.0155462+0.00753194j -0.0444678-0.01316j -0.0249458+0.0223483j 0.0282314+0.00512576j 0.068335+0.0484554j 0.0672556-0.0482079j -0.028399+0.00486379j -0.0265706-0.0216949j -0.043929+0.0124976j -0.0166402+0.00859942j 0.0384592+0.0552191j -0.0195913-0.0375859j 0.0481075-0.00270294j -0.0241805-0.0922762j 0.0328207-0.058082j -0.0752613-0.00485126j 
-0.0347146-0.0350941j -0.0385242+0.179697j 0.164602-0.102348j -0.0764612-0.11357j 0.199096+0.0627765j -0.0189206-0.0280613j 0.014942+0.0954899j 0.0714641-0.131679j -0.0315865-0.0509607j -0.00615661+0.0158783j 4.10097e-05-0.0578752j 0.116953+0.0641125j 0.0275045-0.0219578j 0.0280883-0.0422362j 0.015623+0.00260639j -0.107367-0.00702408j -0.0345116+0.0427628j 0.0513819+0.0933203j 0.0324023-0.0103187j -0.0135748+0.0381329j 0.0476787+0.014028j 0.0154748-0.0143669j 0.0174949-0.0121913j -0.00800357+0.0192684j -0.0622071+0.0230483j -0.0134957-0.000172458j 0.0313918+0.068883j -0.00726937-0.00823761j -0.00236247+0.0385189j 0.0168762+0.00150383j 0.0131645+0.0368984j 0.064018+0.0228667j 0.0485798+0.0327478j 0.0604908-0.0884417j 
0.0328395+0.154621j 0.0376381-0.0047632j -0.000930761-0.249745j 0.0383388+0.00189469j 0.0309012-0.156429j 0.00900608+0.0864971j -0.105213+0.0251613j 0.113474-0.00629808j 0.00202799-0.0894721j 0.11457+0.00642327j 0.105374+0.0280451j -0.0102471+0.0859657j -0.0482444+0.0468177j 0.055578+0.05375j -0.0326042-0.0277413j 0.0213338-0.0682504j -0.0344316-0.0234442j -0.0348344+0.0223744j 0.0147754+0.00966102j -0.062177-0.0457691j -0.00774136+0.0337828j 0.0123333-0.0450014j -0.000950688+0.0149937j -0.000861109-0.016172j -0.0124437-0.0453556j -0.00660105-0.0331329j -0.0626678+0.0452071j -0.0148655+0.0108306j 0.0345491+0.0234552j 0.0337592-0.0203502j -0.0190577-0.0689408j -0.033855+0.0277632j -0.055973+0.0519909j 0.0469518+0.0474709j 
0.120388+0.00915724j -0.109531+0.176996j 0.0462557-0.211698j -0.0212756-0.208738j 0.114606+0.0448478j 0.108725+0.00758669j -0.0205678-0.0310643j -0.0605965+0.104615j -0.0153059+0.0655829j -0.0105884-0.121684j 0.0304793-0.0203732j -0.102239-0.0393835j 0.0180095+0.065616j -0.00665536-0.00801637j -0.0390712+0.0344536j 0.0619885+0.017483j 0.0722693-0.0159134j 0.00887422-0.0872783j -0.0290199+0.011587j 0.0143429+0.0329877j 0.000320556-0.0300058j -0.0719911-0.000850456j -0.00907858+0.00877203j -0.00489272-0.0126588j 0.0654348+0.0301068j -0.0125418+0.0268738j 0.0265317-0.022966j 0.0215789+0.0205559j 0.0301301-0.0832689j -0.0581756-0.0447953j -0.0647787-0.0115362j -0.0197918-0.0472289j 0.00964022-0.00550717j -0.0434635+0.052012j 
-0.196064+0.0623488j 0.0795499-0.111922j 0.165953+0.100712j 0.0391911+0.181059j 0.0347842-0.0378176j 0.115379-0.0623301j -0.00194491+0.0572829j 0.00706212+0.0145546j -0.0317866+0.048523j -0.0707277-0.133163j 0.0155526-0.0944045j -0.019174+0.0298023j 0.0600207+0.0886384j 0.0505174-0.0315088j -0.0650403+0.0222781j 0.0136832-0.0384282j 0.0147387-0.00223828j -0.0018398-0.0378562j -0.00838043+0.0093725j -0.0312788+0.0695589j 0.0140196+0.00135606j -0.0624425-0.0227915j 0.00750525+0.0185836j -0.0186903-0.0133205j 0.0151299+0.015108j -0.0473534+0.0134679j 0.0130131+0.0400894j 0.0332665+0.00909579j 0.0520774-0.0930089j -0.0322076-0.0416256j -0.107796+0.00527528j -0.0154522+0.00360748j 0.0264576+0.041661j 0.0284466+0.0224328j 
-0.0162701-0.00849616j -0.0621907+0.0645772j -0.0328819-0.0387318j 0.249513+0.0268728j -0.189195-0.12974j -0.0189527+0.00297222j -0.0276133+0.0676548j -0.0316688+0.01351j 0.180701-0.107161j -0.127813-0.111997j -0.00757877+0.172505j -0.071335-0.176027j -0.00696933-0.000494545j 0.0225424-0.0170891j 0.0101328-0.00243215j 0.0108131-0.00136944j -0.0108726-0.00922701j -0.0358595-0.00452073j 0.0687534-0.0136947j 0.0206158+0.0292353j -0.000773575-0.00721948j 0.00428138-0.0193992j -0.048868-0.0575084j 0.0256189-0.00981338j -0.015006-0.037082j -0.0370728+0.000993858j 0.012266+0.00157684j 0.00601326-0.0182393j 0.0215757+0.00258869j -0.0351429+0.00748001j 0.0262325+0.00731804j 0.0464664-0.040713j -0.0138164+0.0193242j -0.0116917+0.0543198j 
-0.0044882-0.0413073j -0.11088+0.085095j -0.18846+0.0208609j 0.148423-0.17836j -0.0777513+0.168298j -0.00383403-0.0376135j -0.0868011+0.0890737j 0.0242949+0.0874421j -0.0695623-0.0344375j 0.100282-0.0501654j 0.0592759+0.0544301j 0.0699484+0.0472145j 0.00666475-0.0161234j 0.0541648-0.0208669j -0.00115435-0.00121563j 0.000162795+0.00771922j -0.0304269-0.0438822j -0.0151276-0.0306219j 0.0217789+0.0277627j 0.0181317+0.0252627j 0.022102-0.0337069j 0.0360547-0.0332232j 0.0613178-0.0442153j 0.0697004+0.01692j 0.0388183+0.0504937j 0.0172231-0.0366886j -0.0120571-0.0119231j 0.0211744+0.017054j 0.00258291+0.03873j -0.0378723-0.0113563j -0.0106998+0.0229124j 0.0467176+0.0556891j -0.0202799+0.0544596j -0.0348126+0.0295352j 
0.00825925+0.063251j 0.20725-0.0549632j 0.105881-0.078877j -0.0621959-0.225317j -0.223957+0.208144j -0.000258482+0.0329283j 0.0735787-0.0873843j 0.00351761-0.07856j 0.0200694+0.0867631j -0.0314664+0.0442873j -0.056436-0.097238j -0.0107661-0.00158425j -0.0191591+0.0088704j -0.034485+0.0169893j -0.000524292+0.0235297j 0.00644404+0.0197988j 0.0242615+0.0375595j -0.0268525-0.0103264j 0.0103842+0.0501142j -0.0599982-0.000687046j 0.0448698-0.0352462j 0.0181445+0.0118716j 0.0430702-0.067301j 0.0717551+0.0201325j 0.0774063-0.0682437j -0.0441637-0.0525401j 0.0645361+0.0514598j 0.0270715-0.0607521j 0.0198716+0.0345348j 0.0415648-0.0138028j -0.0118574+0.0664104j 0.0578805+0.0506487j -0.0157118-0.0267859j -0.0254127+0.0495847j 
-0.115752+0.118572j 0.139879+0.244722j 0.0021323+0.258547j 0.133055-0.255251j -0.121163-0.112048j -0.023536+0.0327523j 0.0174556-0.0613332j 0.0412782-0.0260739j 0.00105629+0.079337j 0.0400762+0.0254906j -0.016229-0.0637607j 0.0235537+0.0324432j -0.0137378+0.00295173j 0.0362165+0.0476858j 0.00581406+0.0210051j -0.0236474+0.0160685j 0.0557144-0.078902j 0.033152-0.00266543j 0.0616067+0.00391242j 0.0100441+0.0884958j -0.0343702-0.0608936j 0.107041-0.0403885j -0.0402584+0.0295645j -0.0409584-0.0294827j -0.104856-0.0410636j -0.0357513+0.0595484j 0.0136482-0.0869829j -0.0619175-0.000197101j -0.0339031-0.00376912j -0.0549968-0.0818629j 0.0225689+0.0132114j 0.00819282-0.0181641j -0.0370061+0.0465634j 0.0127604+0.00448245j 
-0.0795103+0.0988909j 0.0778221-0.129j 0.000879396-0.153989j 0.074048+0.127661j -0.0835676-0.0990697j -0.0850465+0.0712759j -0.0461026-0.0479791j 0.148564+0.0196548j 0.00248859+0.117086j 0.149051-0.0226799j 0.0472493-0.0466943j 0.0849518+0.0717458j -0.0523361+0.021062j -0.025786-0.000809817j 0.0113559+0.0356519j -0.0183141-0.0310529j -0.0207263+0.0340747j -0.0440536+0.0150868j 0.0213542-0.055812j 0.0344177+0.0195491j -0.0316616-0.039549j -0.0159897-0.0169504j -0.0333627+0.0584353j -0.0340906-0.0583609j 0.0170818-0.0182695j -0.0322117+0.0397465j 0.035214-0.018808j -0.0192836-0.0569751j 0.0454953+0.0167999j 0.0206852+0.0345065j 0.0186565-0.0289958j 0.0116588-0.0360535j 0.0253299-0.00200262j 0.0515935+0.0210028j 
