0.0172166-0.00652415j -0.00688599-0.0106353j 0.0128778+0.0324166j 0.0341581-0.0148514j -0.0167983-0.00902117j -0.0614162+0.0183851j 0.0274596-0.0161005j -0.0207124-0.00989874j -0.0290552-0.0487581j -0.0284925+0.0310135j -0.00249248-0.00875729j 0.0286748-0.0324933j -0.0129593+0.0256342j -0.0281977+0.028446j 0.0331738+0.000911149j 0.000423144-0.0521732j -0.013214-0.0737301j 0.0318756+0.144302j -0.0572859+0.00895388j 0.0207199+0.0474267j -0.153232+0.016528j -0.0138219+0.00918673j 0.0143745-0.0391821j -0.016268+0.111689j -0.0415075-0.0397042j -0.0233873-0.0237673j 0.00586114+0.0376912j 0.0026907-0.040198j 0.0168292-0.0264701j -0.011978-0.00545147j 0.00734564-0.00317205j -0.059836-0.023375j 0.0271377-0.0462984j -0.0163496+0.00800963j -0.028014+0.00766324j -0.0242423+0.0055715j 0.0210989+0.0117005j -0.0228633+0.0232821j -0.00850268-0.00756521j 0.00937911+0.0098895j 0.0363706-0.00493627j 0.0127838-0.0246134j -0.00387439-0.0376816j 0.0339076-0.0482224j -0.048828-0.0302161j 0.0141942+0.00650088j -0.0154637-0.025203j 0.0118079+0.0123798j -0.0154098-0.00254681j -0.0266677-0.00375844j 0.0294215-0.0319128j 0.000618004-0.00646922j -0.0149763+0.0479253j 0.032955-0.00789555j -0.0269165+0.0112442j 0.000205783-0.00919532j 0.00244647-0.0206997j -0.00876061+0.00337042j -0.00339109-0.00225191j 0.00629651-0.0195839j 0.0205264+0.00405004j -0.00423465+0.000895985j -0.00438278-0.0193794j -0.00584139-0.0154717j 0.0291699+0.000510377j -5.76755e-05+0.00163616j 0.00576276-0.00768189j -0.0135958+0.00561496j -0.00267896+0.00941377j 0.00665471-0.0102734j 0.00623731+0.00676482j 0.00664946+0.00958576j 0.00813155-0.00148821j 0.00923433+0.00804982j 0.00945557-0.0142654j -0.0107062+0.00262614j -0.000475289+0.00510355j -0.0202311+0.0101864j 0.00638672-0.00419003j 0.00272245-0.00187859j -0.00664396-0.00812804j 0.00104145+0.00686892j 0.00259686+0.0066224j 0.00455969+0.00752542j 0.00198817+0.00705603j 0.00112368-0.0171429j 0.0260022-0.0179704j -0.0234393+0.00432457j -0.00999353+0.024623j -0.0269587+0.0276998j 0.00208583+0.0320247j 0.0223993+0.0272954j -0.016869+0.013514j 0.00455031-0.0721645j 0.0604226-0.00764788j 
0.012663+0.0144067j 0.0162492-0.00164642j -0.0247466+0.0147322j 0.00662156+0.0462226j -0.00451673-0.0229708j -0.0372051-0.05811j 0.0221664+0.0273368j 0.0022775-0.021295j 0.0139419-0.0282053j -0.0395942-0.0344227j -0.000529066-0.00955156j 0.0219691+0.03537j -0.0326403-0.0179895j -0.020993-0.0404703j -0.00515589+0.0450544j 0.0326888-0.00810231j 0.0487289-0.0194948j -0.16226+0.0257503j -0.0032058-0.0663559j -0.0572959+0.0115175j -0.0116473-0.171007j 0.0123764-0.0195915j 0.0415136+0.0146913j -0.0864601-0.0295416j 0.0319609-0.03863j 0.0195873-0.0231851j -0.0240546+0.0106054j 0.0337718-0.00327743j 0.00510179+0.0180682j -0.00224301-0.0180606j 0.0233275+0.0122465j 0.023774-0.071107j 0.0180135+0.0508846j -0.00795429-0.0261617j 0.00485554-0.0269979j -0.00643692-0.0205319j -0.0113051+0.0200142j -0.0122651-0.0197371j 0.0144094-0.00513102j -0.00208899+0.00264385j -0.00410877+0.0190055j 0.00675598-0.00849297j 0.0416789+0.000338197j 0.0318152+0.025573j 0.0499531-0.0608926j -0.0261929+0.00648424j 0.0306675-0.0226442j -0.0176766+0.0223236j 0.0127204-0.0189436j 0.00644886-0.031219j 0.0237479+0.032545j 0.00469007+0.00314796j -0.0388648-0.000745539j 0.0152077+0.0352003j -0.000696449-0.0151564j 0.00341759-0.00936939j 0.0226728+0.0161408j -0.00981284-0.014898j -0.00336581+0.00620168j 0.0212993+0.00427633j 0.000296737+0.0248179j 0.00248758+0.0029738j 0.0168655-0.00368872j 0.0148275-0.0135782j -0.0194875+0.0326314j 0.00060844+0.00111762j 0.0105321+0.0114754j -0.00637423-0.0158341j -0.00794462-0.00597306j 0.00732185-0.000449936j 0.00037432+0.0025756j -0.0122179+0.00328439j -0.00319703-0.00798745j -0.0131471+0.0125117j 0.0152964+0.0119015j 0.00314096-3.06414e-05j 0.00205712-0.00861202j -0.000879384+0.00274316j 7.3054e-05-3.57568e-05j 0.01688+0.0054807j 0.00200633+0.00420028j -0.000108019-0.0188566j 0.00293267+0.011682j 0.000165476-0.000437216j 0.0104875-0.000477609j 0.0105775+0.00335555j -0.0251136+0.00218064j -0.013538+0.0296984j -0.00878524-0.00159584j -0.00389537-0.0325029j -0.0269133+0.0182263j -0.00446327+0.00638225j 0.0114258+0.0376744j 0.0562549-0.00336914j -0.00395703+0.0700337j 
-0.000232197-0.00788259j 0.0102775-0.00749937j -0.0131897-0.00993347j 0.0211438-0.000286667j 0.00445733+0.0226655j 0.0189167-0.0584722j -0.0105466+0.035453j 0.0119646-0.0136483j 0.0123966+0.00183497j 0.013039-0.005719j 0.00241622+0.0142003j -0.00179884-0.0174989j 0.00103503-0.00573273j -0.00272969+0.0174856j 0.00402746-0.0120425j 0.0112104+0.00940721j 0.00133001-0.00571399j 0.00590224-0.00218011j -0.00782061+0.00644326j -0.0502704+0.00352931j 0.011489-0.0443228j -0.00938047+0.00920648j -0.0105975-0.00249878j -0.0050575+0.0047722j 0.00766966-0.00496556j -0.00314631-0.00521273j 0.000456703-0.00305395j 0.00101445-0.00326737j 0.0226731+0.00474217j -0.000568673+0.00389428j 0.0102774-0.00427581j 0.0165884+0.00183547j 0.00872637-0.00652568j -0.00159584+0.00266012j -0.00362372+0.00419677j 0.00262811+0.00207949j 0.0123701-0.0073348j -0.00594253-0.00344895j -0.00751114+0.000694622j -0.00258194+0.00488348j 0.00594549+0.00111961j -0.00870037+0.00517967j -0.00100464-0.00403583j 0.0187526-0.00622499j 0.00580051-0.00479923j -0.0012523-0.000241149j -0.000689335+0.00245729j -0.00400045+0.00341651j -0.00509639-0.0146737j -0.0116748-0.00539251j -0.000410952-0.000924526j -0.000636602+0.00316899j 0.00106491+0.00678439j 0.0165751-0.00368135j -0.00348124-0.00122106j 0.00222822+0.0012112j -0.0026583-0.000649414j -0.00328861-0.00983809j -0.00702039+0.00731065j 0.0100794-0.00878936j -0.0160388-0.00255464j -0.00130797-2.0194e-05j -0.00872616-0.00360623j -0.00232413-0.0061397j 0.00681186+0.00781308j 0.000430564+0.00703653j 0.00423032+0.00290486j 0.00116648-0.0050427j -0.00511789+0.0090377j 0.00514939+0.00350319j -0.00171653+0.00984023j -0.00395691-0.00305909j -0.00125516+0.00610584j -0.00203014-0.00810202j 0.00729828-0.00218665j -0.00654314-0.000291412j -0.000572115-0.000668882j -0.0067691+0.00235597j 0.000510024-0.00535901j 0.0028252-0.000225987j 0.0116756-0.000643135j 0.00239355+0.000961118j -0.00260673+0.00198459j 0.000502512-0.000263288j 0.00246022+0.00194422j -0.00282509-0.00130934j 0.000973561-0.00881777j -0.00186888+0.00955782j 0.00606262-0.00256275j 0.000720599+0.0070076j 0.00216231+0.00839558j 0.00853512+0.00575989j -0.0101437+0.0186201j 0.00964213-0.016174j 0.00695614+0.0116706j 
0.0155331-0.00271384j 0.00379069+0.00467537j -0.0165934+0.00397218j -0.00556754-0.0053983j 0.00278307-0.00365672j -0.000566712+0.0227004j 0.0125422-0.027404j 0.00294973-0.0208687j 0.0211974+0.0136182j -0.00464777+0.0191153j 0.0114639+0.0068152j -0.00335503+0.00969213j 0.0074883+0.00235732j -0.0551677-0.0322724j 0.0686144+0.0181903j 0.0116068+0.00262075j 0.0626226-0.0050182j -0.0269722+0.0396944j 0.011992-0.0378721j -0.00174267+0.00757369j 0.0367655-0.020015j -0.0328869-0.00846711j 0.0049294-0.00453059j -0.0233855-0.0107423j 0.0209673+0.00237778j 0.0122448-0.00782045j 0.0140799-0.00819708j 0.00697828+0.00456339j 0.000502186+0.0389854j 0.00193402-0.0118675j 0.0132654-0.00196723j -0.0221146+0.0102861j 0.0193885+0.0315743j 0.00938507-0.00334713j 0.00026847-0.00827079j -0.0133608+0.00438098j 0.0151896+0.0158947j -0.0009523-3.03866e-06j 0.00693221-0.00679898j -0.0111671-0.00757941j -0.00149068-0.000945045j 0.00736718+0.0128549j 0.00127385-0.00785423j 0.0067168+0.00294713j -0.00854923-0.0151717j -0.00994199-0.00232586j 0.00394618-0.0146467j 0.00164415-0.0129186j 0.00392606+0.00405505j -0.000895566+0.000124493j 6.42237e-05+0.0029798j 0.00279199+0.00337938j 0.00188129-0.0147888j -0.00497299-0.000256356j 0.000831296+0.0033785j 0.000248158-0.00315355j 0.000432838-0.000894354j 0.00592979+0.00466049j 0.00448152+0.00602667j 0.00663119-0.00731168j 0.0051982-0.00453583j -0.00377427-0.0073039j 0.0024926-0.00333202j 0.00462838+2.67565e-06j -0.00168847+0.0192743j -0.00350312-0.00361091j 0.00369506-0.00693818j -0.0110972+0.00544558j -0.00619253+0.000806624j 0.000158692+0.00733266j -0.00712426+0.00349868j -0.0145303-0.00501757j 0.00580212+0.000247069j -0.00716649+0.00880154j -0.00588502-0.000816899j 5.83381e-05-0.00422988j 0.004948+0.00561544j -0.00334108+0.00225423j 0.00782607-0.00516978j 0.00668719-0.00136215j 0.00378911+0.0125185j 0.00444632+0.00287801j -0.000669519-0.00613192j -0.00959566-0.00300035j 0.00231775-0.00343962j 0.00570401-0.00169389j -0.00569773-0.00335787j -0.00239166-0.00451001j 0.00168056-0.00655429j 0.00808504+0.00326301j -0.0056668-0.000870784j -0.00300278+0.0189744j 0.00610172-0.00203859j 0.0128224-0.0189071j 0.0110573+0.00804746j 
-0.017732+0.0125968j -0.00456267-0.0120269j -0.00193176+0.000609298j -0.0110909+0.0167978j 0.00409767+0.00759663j 0.000395465+0.00190427j -0.00353468+0.00402093j 0.0119139-0.0105085j -0.00249336-0.00769759j -0.0134634+0.00204882j -0.00548625+0.00497574j -0.0105318+0.0122798j -0.00440416+0.00192562j -0.025528-0.0201197j 0.0388577-0.00504934j 0.0120441-0.0167292j 0.0124456-0.0141104j 0.0423397-0.0196658j 0.0140944+0.0194208j 0.022649-0.0026597j 0.0317839+0.0251386j -0.0337692-0.00400377j -0.0100471-0.00897879j 0.0218705-0.00751488j -0.00219794+0.00982918j -0.00745368-0.00277072j 0.000882822+0.00934541j 0.0186108-0.0124469j 0.0142685+0.0170845j -0.0228801+0.011152j -0.00467556-0.00261333j -0.0135523+0.0277716j 0.0032578+0.0211495j 0.0108826+0.000463643j -0.00794829+0.00180934j -0.0138346+0.0067023j 0.0134816+0.00371813j -0.00565016-0.000456723j 0.00724758-0.00441712j -0.00841005+0.011557j 0.0034873-0.00242116j 0.00400007+0.00712479j -0.00210697+0.00229932j 0.000880511+0.00498634j 0.0135245-0.0176204j -0.00417791-0.0063533j 0.0148121-0.00798838j -0.00662339-0.00117624j 0.00363795-0.00905793j 0.00256056-0.0079352j -0.00919484+0.00696786j -0.00122833-0.0010018j -0.00358412-0.00557646j -0.00208792-0.000904329j 0.000919693-0.00664532j 0.00255182+0.0111749j -0.0043564+0.00580806j 0.00121673+0.015193j 0.00475565-0.00573873j 0.00865603-0.000751637j -0.000507353+0.00511379j -0.00292112-0.000402734j 0.0101904-0.013571j 0.0109088+0.00173973j -0.000200035+0.0110224j -0.00706394-0.00604802j 0.00107201-0.00626259j 0.0159824+0.00514361j -0.0087552+0.000672271j -0.000168623+0.00626501j -0.00554063+0.00533815j -0.00682309-0.0103079j 0.00345706-0.000250493j -0.0145542-0.000713689j -0.00259095+0.00211912j -0.00209816-0.000168443j 0.00352798+0.00248925j 0.000411674-0.0025765j -0.00585202-8.89744e-05j -0.00181461+0.0036716j -0.00114173+0.00236442j 0.0030585-0.0053879j 0.0074111-0.00589357j -0.00238077-0.00264304j 0.00973909-0.00478307j -0.00247367-0.00232993j 0.00597421+0.00263525j -0.00707172-0.000182439j -0.00441523+0.00261527j -0.0148117-0.0108888j -0.00156071+0.0148463j 0.0147065-0.0030658j 0.0101138+0.00526658j 0.00657484+0.0200927j -0.0154129+0.0255168j 
-0.00981968+0.00280131j 0.00822759-0.00945193j -0.0198436+0.018357j -0.0120357+0.00027174j 0.0320337-0.00658128j 0.0646089-0.0148341j -0.0256155+0.0258545j 0.004595+0.0100161j 0.0509693-0.0153766j 0.0276465-0.00684008j 0.0197844+0.0084622j -0.00680445-0.0377593j 0.0123334+0.00442181j 0.0108377+0.0490571j -0.0218373-0.0399375j 0.0171045+0.0113346j 0.000531109-0.0177619j 0.000668118-0.0115088j 0.010157+0.0328381j 0.0269018+0.00221693j 0.0225248-0.0433219j -0.00450014+0.0160963j -0.018575+0.0175296j -0.0105719+0.0161316j 0.00457198-0.0383612j 0.00696945-0.00477966j -0.0183328+0.0046176j -0.00558653-0.0118796j 0.0319104-0.0356272j 0.00558895+0.0001415j -0.0148755+0.00684848j 0.0431235+0.0178092j 0.0143793-0.0279077j -0.00192255+0.00670887j -0.00401454+0.0155498j 0.021523+0.00825167j 0.00862195-0.0158279j -0.00104412+0.00397865j 0.0107774-0.00230529j -0.000173831+0.0323263j 0.000638721+0.00412026j 0.0199301+0.00488121j 0.0160118-0.00413917j 0.0267125-0.0182493j 0.012812+0.0114732j -0.00986808+0.00487243j -0.000953683+0.00149934j -0.00434931+0.0170284j 0.00576712-0.012538j 0.0112666-0.00120889j 0.0171811-0.0160118j 0.00259485+0.01965j -0.0222524+0.0110967j 0.00410842-0.0191942j -0.00224555+0.0016756j 0.022779-0.00181173j 0.0133193-0.00466228j 0.00468243-0.000963327j -0.0127607+0.00452871j 0.0121321-0.00045558j 0.00459442-0.00449632j -0.000534943+0.000240697j 0.0091336+7.45009e-05j -0.00423541-0.00159856j -0.00159512+0.000339061j 0.00443407-0.000388285j -0.00435953-0.00354077j 0.000375238+0.00242379j -0.000186039+0.00179354j 0.00392958+0.000393965j 0.00241009+0.00197869j 0.00151433+0.00432677j -0.00114363+0.00631301j -0.00342711-0.00648503j 0.0160462-0.00395226j 0.000567706+0.00274417j 0.00437252+0.00411692j -0.00548106-0.000936335j 0.0045654-0.00130108j 0.00910514-6.66915e-05j -0.000735902-0.0183708j 0.00144402+0.010495j -0.01002+0.0012365j 0.00126522+0.00157945j -0.00336778-0.00793997j 0.00613866-0.00623257j -0.00589932-0.0060018j 0.000322587+0.0157665j -0.00433589+0.0121519j 0.00146523+0.0167323j -0.00593345+0.0111287j 0.012472-0.0152458j -0.0243386+0.0215178j 0.0251181-0.0264862j 0.00963423+0.000270728j 
0.000971728-0.00132656j -0.000237054+0.000799322j 0.000274587+0.00361912j -0.00156214-0.0054927j 0.000340566-0.00116071j 0.00274994+0.00206251j -0.00369247+0.00398166j -0.000975881+0.0119963j 0.00142244-0.00227246j 0.00222759-0.00339646j -0.000707+0.0156414j 0.0123602-0.00501138j -0.00273034-0.00615437j 0.0203652-0.0378418j -0.0180617-0.0470379j -0.0171082-0.0002202j -0.0122526-0.0155513j -0.00609142+0.00124244j -0.0127378+0.00379973j -0.00130334-0.00855214j -0.00945015-0.00266074j 0.00395671+0.015484j -0.00691085+0.0155307j -0.00108124+0.00562639j -0.00655742-0.00166235j 0.0150211-0.00243895j 0.0220771-0.0105204j -0.00634065+0.00715575j -0.00800103-0.00317138j -0.0198547+0.00807154j -0.00234476+0.0011191j 0.00605092+0.0145768j -0.00886193-0.00493753j 0.04154+0.00400174j 0.00339837+0.00221337j -0.00772598-0.00155495j -0.00826812-0.00262545j -0.0131006+0.000340437j -0.00813235-0.00032417j -0.0114343-0.00491711j -0.0055861+0.0016342j -0.00189551-0.0030881j 0.00105432-0.00018821j -0.00184264-0.00238435j -6.4336e-05+0.00788621j 0.00377311-0.000154721j -0.00346894+0.00312829j 0.00050784+0.00525979j -0.00047439-0.00121136j -0.00643624+0.00317757j 0.00572211+0.00331356j 0.00491624-0.00039471j -0.000975364-0.000438291j 0.00366632+0.00341301j -0.00485773+0.00253995j -0.00415706-0.00488764j 0.00839705+0.00266675j -0.00731302-0.00105526j 0.000666843+0.000903838j -0.000126308+0.00585513j 0.0042069-0.000945374j -0.00387292+0.00201781j -0.00299901-0.00551524j -0.00432299-0.00231275j 0.00275523-0.00654369j 0.00672065-0.00407471j -0.00503979-0.00926034j 0.00696602+0.00850891j -0.0125881+0.0029834j -0.0235969+0.0100409j 0.0101953+0.0133137j -0.0153526-0.00776258j 0.014206-0.0082872j 0.00966679+0.0112133j -0.00510164-0.00145297j -0.00238149+0.00747108j 0.00484975-0.00417231j -0.00418609-0.00140806j 0.00171634+0.00287345j -0.00356609-0.00139033j -0.000247039-0.00568292j -0.000287715+0.00466105j 0.00170543+0.00137732j -0.00720535-0.00273295j 0.00555634-0.005832j -0.00385948-0.0102542j 0.00249455-0.00943611j 0.0031326-0.00662642j 0.00060232-0.00324548j 0.00137506+0.00186277j 0.00281892-0.00189063j -0.000986057-0.00676666j -0.00308987+0.00205239j -0.00284146-0.00024739j 0.00110277-0.00652733j 
0.0164033+0.00132367j 0.00992842-0.0159089j -0.00854239+0.00347966j 0.00844446-0.00760058j -0.0117442-0.00718936j -0.00895893+0.0628148j -0.000193629-0.0360975j -0.0179503+0.00274856j -0.00992375+0.0142741j -0.0237727+0.0184823j -0.0111341-0.00136502j 0.0459034+0.0540036j -0.00734166+0.00823576j -0.0195124-0.0304474j 0.0239127+0.0298903j -0.0357689+0.00519929j 0.0406006+0.0584756j -0.0622517+0.031776j -0.0432705-0.0458839j -0.0447359-0.012277j 0.00643367+0.0450091j 0.0170593-0.0136366j 0.017861-0.0230868j -0.0263639-0.0381693j 0.0160646+0.0365348j 0.00381937+0.0172522j -0.0193793-0.00637176j 0.0255621-0.0101254j -0.000608938+0.06644j -0.0196949-0.00653029j 0.0140852-0.0288354j -0.0395359-0.0208039j 0.0146952+0.0396116j 0.00271761+0.00120862j -0.004178-0.0125464j -0.0271178-0.016818j 0.00202696+0.0233294j -0.0253241+0.00300039j 0.0113243-0.00615795j 0.0186999-0.0146981j 0.0175434+0.00586163j -0.0171183+0.00852598j 0.000439505+0.00480536j 0.0133292+0.0166j -0.00985514-0.0189185j -0.00499158+0.010532j 0.00332429-0.0181608j 0.0127337-0.00138711j -0.00187824+0.0137004j -0.015401+0.0120264j 0.0119406+0.0112506j 0.00829833-0.00169739j -0.00787119-0.0190542j 0.0102857+0.0312741j -0.00330544+0.00368728j -0.00493707-0.00686316j 0.0216575-0.00615896j -0.00985522-0.014242j 0.00551802-0.0148243j 0.0169414-0.0106012j 0.00780542+0.00440157j -0.00500579-0.00904381j -0.00262368-0.000521543j 0.00337277+0.00221853j 0.0162522+0.00812274j -0.00818822+0.0106725j 0.00461419+0.00127024j 0.00357127+0.00579939j -0.0114902+0.00477609j 0.00445147+0.00714675j -0.0107511+0.00109239j 0.00353502+0.000266754j -0.00160617+0.00410682j -0.0167003-0.00180768j 0.00384114+0.00878339j 0.000122221-0.00507144j 0.00670876+0.00624841j -0.00226609-0.00413064j -0.00634069-0.011144j 0.00693517+0.00645239j -0.00297667+0.0202162j -0.00206059-0.00389052j 0.0119482-0.0184047j -0.00488104-0.00138965j -0.000545421+0.0137684j 0.0052397+0.0191062j -0.0091522-0.0194206j 0.00104843-0.0273193j 0.00956316-0.00478418j -0.0157994+0.00430399j -0.0113406-0.011764j -0.000453557+0.0396246j 0.0286026-0.0204717j -0.000543604+0.00585668j 0.0240773+0.00882035j 
-0.00987692+0.00394396j -0.00537902-0.00348869j 0.0125862+0.0162028j -0.0208418+0.0015371j -0.0143103-0.0112574j 0.0215054+0.0412136j -0.000704675-0.0122885j -0.00599722+0.00468627j -0.016297-0.00324061j 0.00649904+0.0393162j -0.00409531+6.34125e-05j -0.00162567+0.0100447j -0.000392294+0.0177643j 0.0310116+0.0205161j -0.00146326-0.0200344j -0.055252-0.00885272j 0.0134865-0.00879061j 0.061641+0.0683942j -0.0378473-0.0131358j 0.00746479+0.0244548j 0.0457005+0.0166645j -0.00168693+0.00108044j -0.0146572-0.0290886j 0.0408251+0.0241127j 0.00857744-0.0292811j -0.00965493-0.00334679j 0.00775518+0.00760706j -0.0251237-0.00963591j 0.0123699+0.0187394j -0.00128507+0.00352743j -0.000106263+0.00849298j -0.0255848+0.0167517j -0.00701289+0.000443688j 0.00385067+0.0069855j 0.0023046+0.00142601j 0.00191112+0.00713931j 0.0212047+0.00245929j 0.00618368+0.0182303j 0.0022258+0.00374629j -0.0376145+0.00174516j -0.0302164-0.00634913j -0.0120249-0.00185707j -0.00555962-0.00910075j -0.0114987-0.00562512j 0.0286656-0.0120937j 0.00896579+0.00434729j 0.00301336-0.0143991j -0.0117403+0.00524431j 0.0189301-0.00307637j 0.00783762+0.000809947j -0.0114937-0.00286443j -0.0149785-0.00466765j 0.00492249+0.013577j -0.0166399+0.00571727j 0.0092785+0.000319507j 0.00643532+0.00340435j -0.00496935-0.015357j 0.00934433+0.00560185j 0.0162301-0.00502098j 0.0141352-0.0231107j -0.00865395+0.0040474j -0.00345014-0.0156011j -0.00823335-0.00468761j -0.00137895+0.00338785j -0.0205594+0.00604183j -0.00144581+0.00977451j -0.00723283-0.00481308j 0.0029799+0.00630034j 0.00277561+0.00901958j -0.00859547+0.000645372j -0.0117442-0.00624555j 0.000891579-0.000337273j 0.000950643+0.00384606j -0.00304102+0.015506j -0.0143036+0.000165257j -0.0033736+0.0119516j 0.00535911-0.00647755j 0.00634164-0.0174975j 0.0113996-0.0113787j -0.000641459-0.00571184j 0.00203338+0.00753281j 0.000269059+0.00639452j -0.00943556-0.00839915j 0.00351548+0.00238473j 0.00687479-0.00465249j -0.0121603-0.00935078j 0.00283325+0.00621571j 0.00842282+0.00702313j -0.00426376+0.0116975j 0.00988086+0.00355694j 0.0124294+0.0290401j 0.0134767-0.00287095j -0.00664711-0.00178891j 0.00899917-0.0164877j -0.0394133+0.0113388j 
-0.00385218-0.00965824j 0.000683378+0.00199781j -0.0156624+0.00111977j -0.0153763-0.0171232j 0.0101836+0.0183932j -0.00201789+0.0206534j -0.00562073-0.0133673j 0.0125787+0.00918534j -0.0106927-0.00768888j 0.00655119+0.0155847j 0.0331931+0.010149j 0.00102177-0.0200918j -0.00785172+0.00996875j -0.047113+0.0162029j -0.0268367-0.0268709j -0.0359291+0.0128724j 0.00630895+0.0145645j -0.0106183-0.0171551j -0.0223603+0.00591553j -0.0125802-0.014015j 0.0574371+0.0382512j 0.00494997+0.024159j -0.00648888+0.0024959j 0.0138271+0.00406497j 0.00415162+0.00845455j 0.00155585+0.0140119j -0.00327535-0.00307293j -0.00400091+0.0069619j 0.011977-0.00637158j 0.0121369+0.00361814j 0.00327442+0.00183825j 0.0385931+0.0513913j -0.00860091-0.00849533j 0.00532863+0.0126072j 0.00744431+0.01258j 0.0158222+0.00892569j 0.0137229-0.0060363j 0.00138465+0.00792217j 0.010268-0.000128239j 0.0132097+0.0113089j 0.00318693-0.00468895j 0.00214044+0.00263629j 0.000814976+0.00670133j 0.014752-0.00682885j 0.0204091+0.0194486j -0.00485807-0.00844163j 0.0098843+0.00667737j 0.00109209-0.00652295j 0.00199299+0.00702984j 0.0041838+0.00988294j 0.00306531-0.00743318j -0.00301084-0.00388868j -0.0103482+0.00387892j 0.00451718-0.0140185j 0.00290755+0.00883741j -0.00680792-0.00133427j 0.0159488+0.00415879j 0.0189297+0.00816558j -0.00343479+0.00271849j 0.00566671-0.00739455j -0.011867-0.00274869j -0.00382829-0.0104867j 0.00429201+0.00599242j -0.000299087+0.0138379j -0.00349395-0.0144179j -0.00202378+0.00776241j -0.00269959+0.00273609j 0.000989878+0.000468046j -0.00381481-0.018198j 0.0021447+0.00983211j 0.00182932+0.00836343j -0.000319938+0.00368435j 0.00496391-0.00682446j -0.0133513-0.0136654j 0.0272458-0.0194306j 0.000130941-0.00198169j -0.00871472-0.00704769j -0.00792707-0.00843379j 0.00236969-0.00581598j -0.0124759-0.00363971j 0.00958531+0.00161455j -0.000929238-0.00214135j -0.00565957-0.00355311j -0.00283857-0.00417013j -0.00388288-0.00166384j 0.000188245+0.000818059j -0.00334316-0.0144662j 0.0128797+0.00711848j 0.00217756+0.00451553j 0.00638238+0.0226501j 0.00555391-0.0127918j -0.00824222-0.00974927j -0.00740873+0.00331585j 0.0238996-0.000177417j 0.000445781-0.0210066j 
0.00618255+0.0160518j -0.00645676-0.00798676j 0.0201346+0.0113211j 0.01966+0.0248729j -0.0162337-0.0270197j -0.0253266-0.00159844j 0.0354156+0.00897205j -0.0187831-0.0156462j 0.00125059+0.017752j -0.0199927+0.0263857j -0.0111285-5.635e-05j 0.0130596+0.03252j -0.0107186+0.00284056j -0.044379-0.00779776j -0.0118407+0.0169023j -0.0100713-0.00673698j -0.0322357-0.0193599j 0.0489451+0.0854517j -0.0190327-0.0486813j -0.00117705+0.0360616j -0.0757216-0.0666517j -0.0018578-0.0260188j 0.00993062-0.024141j -0.00277248-0.010125j -0.00576507-0.0309461j -0.0267281-0.0201906j 0.0115944+0.00645216j 0.007757-0.0201916j 0.0243561+0.051538j -0.0128876-0.00301001j 0.00887076-0.00323331j -0.0168273-0.037352j 0.0363071+0.0269362j -0.0106946-0.0126213j -0.00517881-0.0204153j -0.0169211-0.0101883j -0.0130156+0.0107296j 0.0050723+0.00644004j -0.0146372-0.0175554j -0.0110113-0.0104321j -0.0117545+0.00991352j -0.00856349+0.0125921j -0.00387535-0.0109888j -0.0240502+0.00930832j -0.0257989-0.0433103j 0.0148196+0.00781358j -0.0279509-0.025955j 0.00320012+0.0100091j 0.00647551-0.00814392j 0.000416088-0.00834719j -0.000205486+0.016573j -0.00496592-0.0017822j 0.0152067-0.00378533j -0.00361287+0.024232j -0.000236666-0.0134511j -0.00316557+0.00219662j -0.0224306-0.00356514j -0.0100413-0.00397064j 0.0121278-0.00976758j -0.00837-0.0032006j 0.0115312+0.0135107j 0.00673638+0.000220064j -0.00376023-0.00701546j 0.000198089-0.00738907j -0.0163791+0.0223839j -0.0133179+0.0103975j -0.0108925+0.00538324j -0.00191661-0.00170174j 0.00905101-0.0163227j -0.0070893+0.00314048j 0.014307+0.0192213j 0.00909537+0.0131341j 0.00445331-0.00483509j -0.00609597+0.0150944j -0.000280826+0.00735487j -0.00334585-0.00894886j 0.00154164-0.0134258j 0.00537854-0.00855397j 0.0110289+0.00795497j -0.0044778-0.000232635j -0.00966548-0.000297209j -0.00366129+0.004295j 0.0133845-0.00273955j 0.00398024+0.00509671j 0.00283639-0.00440378j -0.0037527+0.00106052j 0.00590453+0.0139606j -0.00894885-0.0152027j -0.000297309+0.0097395j -0.0164642-0.0319615j -0.00486873+0.0277249j 0.0239183+0.0246574j 0.0133834-0.0202508j -0.0428497-0.0120232j -0.00651397+0.0344897j 
