0.0119728-0.00609632j 0.00562249+0.00463796j 0.00586124-0.00502784j -0.00831242-0.000423244j 0.004584-0.0014038j 0.00142163+0.00328261j 0.00699943-0.0064204j -0.00544224-0.00250273j -0.00666764-0.00157405j -0.000179657+0.00350824j -0.00274734-0.00233342j 0.00175441-0.00688698j -0.00402024-0.00313614j 0.00102437+0.00541379j -0.00284245+0.00132664j 0.004217-0.00365254j -0.000960059-0.00301318j 0.00306013-0.00321j -0.00208844-0.00353043j -0.0023345-0.00160662j 0.00625156+0.000179909j -0.00219416-0.00544629j 0.000163518+0.00447707j -0.00304191-0.000514546j 0.00311137+0.00196381j -0.00282023-7.99426e-05j 0.00197913+0.00125543j 0.00124995-0.000797336j -0.00130467+0.00181918j -0.000706859+0.00190305j -0.0017123+0.00147319j -0.00403773-0.00256725j 0.00250477+0.000731276j 0.00231272-0.00227357j -0.00060469-0.00090501j 0.00079977-0.000746455j 0.00338952-0.000371705j 0.00176605-0.0024548j 0.00270981-0.00317394j -0.00625942+0.000303339j -0.00146271-0.00235235j -0.00309671-0.000688215j -0.00411055+0.00340693j 0.003926-0.00420036j 0.00192829-0.00215297j 0.00448073-0.00446381j -0.00621582+0.00458084j -0.000415218+0.00668523j 0.00397007-0.00812594j 0.00601851-0.00500508j 0.00194939+0.00192212j 0.0060282-0.00716149j -0.0043779-0.00140222j -0.00145873+0.0102958j 0.00641303+0.00304054j 0.0112931-0.00577694j -0.00379925+0.00772742j 0.0069777-0.0025722j -0.00864527+0.014231j -0.00256428-0.0106288j 0.0192092+0.0118169j 0.00626592-0.0140725j 0.00446233+0.00365535j -0.0015314+0.00945086j 0.00649541-0.0138966j 0.0238587+0.015541j 0.0121274-0.0133769j 0.0277194-0.000657781j -0.0481977+0.0126483j 0.0200517+0.0494939j 
0.00393571+0.00532136j -0.0120988+0.00801394j 0.00515098+0.00160885j 0.00650767-0.0063435j -0.000942243+0.00173502j -0.00684507+0.0068782j 0.00379357+0.00202385j 0.00308245-0.00260353j -0.000743971+0.000383395j 0.00168706+0.00448724j 0.00433582-0.0034423j 0.00711724+0.00155417j 0.000373471-0.00389461j -0.0040999+0.00345031j 0.000488959-0.001966j 0.00401643-4.20701e-05j 0.000645782-0.000629579j 0.00203692-0.00187474j 0.00353769+0.000823325j -0.00101173-0.00101583j -0.00333761+0.00677143j 0.00692059-0.00452786j -0.00596129+0.00406582j 0.00475829+0.00178311j -0.00457105+1.88504e-06j 0.00140152-0.00350005j -0.00325714+0.000941833j 0.000656531+0.00152434j -0.00176597+0.00125987j -0.00181394-0.00049658j 0.00227983+0.0007365j 0.00448016-0.00607107j 0.00281306-0.00314268j -0.000558458+0.0037295j 0.00243294-0.0002791j -0.0050543-0.00113217j -0.00259724+0.00451822j 0.00283855-0.00309717j 0.00178923+0.00324058j -0.00169124-0.00172569j 0.00205432-0.000827202j 0.00326597-0.000821187j -0.00351179-0.00348647j 0.00454311+0.00136889j 0.00455911+0.00307781j 0.00516645-0.00264351j 0.0021089+0.00263468j -0.00770969-0.00128496j 0.0047887+0.00316319j -0.00524784+0.00992475j 0.00443043-0.000719984j 0.00709717-0.00556477j -0.0034516+0.00217046j -0.00638352+0.00142179j -0.00888289+0.00600748j 0.00270806+0.00878354j -0.00746979-0.000631094j 0.00883473-0.00827492j 0.0142655+0.00528474j -0.00669753+0.00305533j 0.00780163-0.0179196j -0.0157053-0.00781091j -0.0026062+0.00127576j 7.11992e-07+0.00949786j -0.0254626-0.0126776j -0.00154038-0.0248989j 0.0233269-0.00532178j -0.00565468+0.0163525j -0.0196549-0.0499411j -0.0453069+0.0118568j 
0.0010913-0.00163582j 0.00912533-0.00356105j 0.00846134-0.00322329j -0.00529283-0.000187163j -0.00869637+0.00358021j 0.00533672-0.0038246j 0.00980304-0.00399454j 0.00383449-0.00535489j -0.0124833+0.00234536j -0.00697637-0.00136143j -0.00184509+0.00261593j -0.0028419+0.000844794j 0.00387046-0.00516592j -0.00707893+0.00613298j -0.00411242+0.00484527j 0.00867788-0.00358323j -0.00937396+0.00231748j 0.00563777+0.000478999j -0.0105261-0.00130981j -0.00460325+0.000120028j -0.00117224-0.00237366j -0.00318141+0.000237092j -0.00115728+0.00165378j -0.00475706+0.00410937j 0.00818716-0.000120666j -0.000169794-0.000334321j 0.0108644-0.00534204j 0.00209643-0.00401208j -0.00568503+0.00343397j 0.00422963+0.000235121j -0.0014786+0.00140718j 0.00666767-0.00134633j 0.00470697-0.000255253j 0.00362228-0.00293302j 0.00628395-0.00405272j 0.00208286-0.00179543j -0.00258802-0.00303918j 0.00626765+0.00247307j -0.00487249-0.00359384j -0.00176287-0.00315203j -8.8442e-05-0.00165221j -0.00150037+0.00191869j -0.0016381-0.00220014j 0.00693681-0.00882321j 0.00247589-0.00642995j 0.0134096-0.0079699j -0.0065893-0.00156559j -0.00515691+0.00783493j 0.00930354-0.00875258j -0.00519919-0.00253646j -0.000824759+0.000845116j 0.00738044-8.60669e-05j 0.0058715-0.0045821j -0.00507257+0.0014861j -0.00504181-0.000392376j -0.0268428-0.00158014j -0.00109964+0.00334725j -0.0112743-0.0018638j 0.0129528-0.00183723j -0.012059+0.00709278j -0.00885991+0.00229604j 0.00333491+0.0110207j 0.0213494+0.0110369j -0.00675227-0.0144345j 0.0107923+0.000942789j 0.00268932-0.0120988j 0.0256667+0.0287427j -0.0171948+0.0101907j -0.00160248+0.00571667j 0.00838925+0.00737628j 
0.00661053-0.00186937j -0.00266734+0.00277477j -0.0055581+0.00408869j 0.00646298-0.00260022j 0.00645975-0.00368537j -0.000449196+0.00268873j -0.000463723+0.000707807j 0.00318912+0.00104692j 0.00166324-0.00231565j 0.00105645+0.00197351j 0.000168073-0.00370392j 0.00278237-0.00252778j 0.00446076-0.000862489j -0.00486281+0.00321506j -0.00665308+0.000386327j 0.00255342-0.00290342j -0.00152856-0.00246165j 0.00517817-0.0030804j -0.0053316+0.00272224j 0.00161036-0.00198886j -0.00329299+0.00304621j 0.00436906-0.00383838j -0.00558607+0.00444574j -0.00600935+0.00465877j -0.00209748+0.000881491j 0.00430582-0.00438701j -0.000117374+0.00386286j 0.00481055-0.00120427j -0.003117+0.00188877j -0.00327391+0.00213153j 0.000671165+0.00202655j 0.00147523-0.00181502j 0.0084006-0.00226666j -0.00715364+0.00288986j 0.00244335+0.003728j -0.00384415-0.01097j -0.0111715+0.00321397j 0.00830764-0.00201052j 0.00176493-0.00115768j -0.00399811+0.000955589j 0.00155747+0.000459746j 0.000770604+0.00152j -0.0030483-0.00300621j 0.00423088+0.00442883j 0.00760096+0.00523426j 0.0125097-0.00136219j 0.0040021+0.00715889j -0.0104177+0.00211204j -0.00283292+0.0034036j -0.00570948-0.00361626j 0.0114903-0.00271286j -0.00605425-0.0066531j -0.0108681-0.0028477j 0.0334829+0.0012018j 0.00923446-0.0099322j -0.00249888+0.00545495j 0.0124095-0.0025061j -0.00343098+0.00523496j -0.0164592-0.00942398j 0.0168726+0.00573599j -0.0229615+0.0019576j -0.0111723-0.0108024j 0.0171175+0.0202073j -0.00100494-0.0118761j 0.00750419+0.00292923j 0.00629088-0.0105529j -0.0169453-0.000656763j -0.0133891-0.0198137j -0.00618149-0.0067424j -0.00414135+0.00400087j 
0.00183653-0.00125727j 0.00119147+5.59263e-05j -0.00864489+0.00402497j 0.00664873-0.00215092j 0.00957144-0.00411443j 0.00202997+0.000793803j 0.00357272-0.00252199j 0.000111519+0.00207468j 0.0036882-0.00115391j -0.00300486+0.00203063j 0.00194604-0.00399722j 0.00767661-0.00424364j 0.0049315-0.00164557j 0.00282134-4.35603e-05j -0.0045786+0.00144664j -0.0105764-0.00123442j 0.00302042-0.00207457j 0.00517152-0.0035037j -0.00254544+0.00330903j 0.00498629-0.00195562j -0.00543379+0.00216187j 0.000220637-0.000808239j 0.00145711+0.00175793j 0.000681266+0.00196679j -0.00402745+0.00143366j 0.00380406-0.00354361j -0.00713627+0.00698131j 0.00520482-0.00260913j 0.00525393-0.00122235j -0.00771344+0.00276744j 0.0050495+0.00168375j -0.0101596+0.0010426j -0.00955904+0.00209655j 0.0037214-0.00416029j -0.000366172+0.00635533j 0.00324117+0.00277783j 0.00613798-0.00397211j 0.000307476-0.0050523j 0.00760891-0.000757269j 0.000899988+0.0031078j 0.00517473+0.00137016j -0.0067701+8.28688e-05j -0.0187916+0.00252014j 0.00545858+0.00698721j 0.00387576+0.00384459j 0.00687532+0.00432309j -0.0291247+0.0011982j 0.0165437+0.00210323j -0.0021461-0.00178817j -0.000622995+0.00148279j -0.0127471+0.00184692j -0.024827+0.00123932j -0.00641138-0.0081731j -0.00408038+0.00576286j -0.0101761+0.000106996j -0.0233353-0.00257659j -0.018642-0.010941j -0.00363812+0.000886876j 0.013259+0.00188531j -0.0175211-0.0114955j -0.0017909+0.000505474j 0.00771019+0.00855109j 0.00200317-0.00587917j 0.00268302+0.00637139j 0.00548822-0.00845396j -0.0194486-0.0115096j -0.0125083-0.00410945j -0.00587725-0.00890158j -0.00207937+0.00150359j 0.00115714+0.00177283j 
-0.0028456+0.00151279j -0.00354494+0.000426631j 0.00081203+0.000609344j 0.00394953-0.00117249j -0.00214475-0.000173224j 0.00755471-0.00308529j -0.00233713+0.00117059j 0.000264723-0.000507564j -0.00167445+0.000909709j 0.00414001-0.00215025j 0.00411314+0.000708785j -0.0101073+0.00522716j -0.00825571+0.00277708j -0.0052339+0.000516892j -0.00392583+0.000580823j -0.00359783+0.00347594j -0.0026007+0.000319095j -0.000905891-0.00150229j -0.00303606+0.000354939j -0.0117821+0.0063068j 0.00376057-0.00439133j -0.0142144+0.00512625j 0.00522263-0.00198306j 3.27112e-05+0.00177809j -0.000489675+0.000322852j 0.0121495-0.00341952j -0.00702306+0.00472677j 0.0106295-0.00408255j -0.00103565-0.00463013j -0.0117438+0.00272411j 0.0111322-0.00463322j -0.0040531-0.000174814j -0.00154881-0.00201139j 0.0055651-0.00518342j 0.0153222-0.00356103j 0.00365359+0.00458978j -0.0048956-0.00122461j 0.00593641-0.00281451j -0.00799166+0.00287039j 0.00712036+0.000497134j -0.00237877-0.00104754j 0.0066285-6.16828e-05j -0.0122566-0.000762471j -0.0128716+0.0011555j 0.00869318-0.00270314j -0.0118083-0.00287977j 9.24985e-05+0.00492653j -0.0206277+0.00307962j -0.00620177+0.002481j 0.00109215-0.00207798j 0.00943428-0.00143318j 0.00542157-0.00489154j 0.00432521+0.00845098j -0.00732103+0.000779595j 0.00970941+0.00770007j -0.0156494-0.00585548j 0.00787432-0.00281495j 0.0236281+0.0135107j -0.0129841-0.00885496j 0.000109082-0.0078519j 0.00472075-0.00721329j 0.0125332+0.00553281j 0.01217+0.00519891j 0.0115001-0.00629114j -0.0160987-0.0134458j 0.00277617+0.00853201j 1.94639e-05+0.00148689j -0.00373745+0.00047436j 0.00421741-0.000289551j -0.00159975-0.00498141j 
-0.00523505+0.00116664j 0.00621646-0.00283428j 0.00201785-0.00281596j -0.0065203+0.00342048j 0.000558772+0.000408376j -0.000966235+0.000730497j 0.00932793-0.00428295j 0.00504452-0.00342727j 0.00209804-0.000449851j -0.00650553-0.00106156j -0.0066227+0.0032134j 0.00521847-0.00196798j 0.00538824-0.00287715j -0.00250374-0.000211137j 0.00537005-8.14804e-05j 0.00154652-0.00137791j -0.000398128+0.00234461j 0.00369706+0.0020574j 0.00120292-0.00262635j 0.00136608-0.00235389j -0.00374044-0.00104051j -0.00048808+0.00224671j 0.000924298-0.00359782j -0.00150039-0.000694556j 0.00350387-0.00104204j 0.00305301+0.00211907j -0.000276307-0.000315461j 0.013291-0.00711274j 0.00265661-0.0009415j 0.0022813-0.00124091j 0.00393098-7.10964e-05j -0.00517566+0.00575875j -0.00590706+0.0031644j -0.000840684-0.000337945j -0.0131101+0.00537417j -0.00196564-0.00740736j -0.00739922-0.00252439j 0.00118808-6.84722e-05j 0.0166327-0.00447279j 0.0253671-0.00101456j 0.0170726-0.0014949j -0.00344201-0.00383102j -0.0081845+0.0055585j -0.00123273+0.00256768j -0.0030468+0.0042635j -0.00512999-0.00514601j 0.0127364-0.00462802j -0.0190051+0.00232306j -0.0176729-0.0105635j -0.0118083+0.00467764j -0.0261488-0.00846334j 0.00771146+0.00168945j -0.0213668-0.00422115j 0.0014807-0.00244548j 0.014944+0.00265757j 0.00322166-0.000529959j -0.0171017-0.00923609j 0.0155939+0.00708591j 0.00105224-0.00206115j 0.00137687+0.00396634j -0.000758075-0.0026751j -0.0150843-0.00501424j -0.00418776+0.00804613j 0.0142272+0.0122465j 0.0147545+0.00163827j -0.0111948-0.00631909j 0.00581614+0.00483686j 0.00292582+0.00353975j 0.00289922+0.00619517j 0.00450122+0.000346101j 
-0.00160141+0.000353693j 0.00321588-0.00121451j 0.00223078-0.00131303j -0.00176811+0.000222523j 0.00348101-0.00111967j 0.00392132-0.00110192j 0.00901479-0.00520569j -0.00221312-0.000301882j 0.000906041+0.000716578j -0.00799183+0.0023809j 0.00673134-0.00321741j 0.00581739-0.000791266j 0.0109572-0.00649205j -0.00596235+0.0023725j -0.00547587+0.00322124j -0.0122359+0.0032533j -3.84576e-05+0.000204497j -0.00134251-0.000756442j -0.00147902-0.000683073j -0.000854051+0.00137202j -0.0077977+0.00134694j -0.000679174+0.0030038j -0.00123826-0.000594001j -0.00303686+0.002274j 0.00252696-0.000452744j 0.00505325-0.0023374j -0.00120655+0.00146857j 0.000243936+0.000228194j 0.00210499-0.00373311j -0.000859708+0.000928845j -0.00631427+0.00727537j 0.00479044+0.00254458j -0.0160683+0.00518533j -0.0118032+0.000153862j 0.0204788+0.00310279j 0.00167158+0.00652225j 0.00447759+0.0013294j -0.0131407+0.000304527j 0.00983822-0.00187298j -0.0108494+0.00854463j 0.0171278+0.00184072j 0.0288737+0.00452759j 0.0119757-0.0019968j -0.0140168+0.00330013j 0.00943229-0.00317128j 0.0039072+0.000934686j 0.000669534-0.00484443j 0.0215082+0.00883874j 0.00304511+0.000279975j -0.00256484+0.00214579j 0.021802+0.00330524j 0.00952774+0.00622194j -0.0152214-0.00597481j -0.0154422-0.00730955j 0.0021889+0.00374052j 0.00741298+0.000263795j 0.00530689+0.00115016j -0.0118803-0.0103103j -0.000906675-0.00097234j -0.0189291-0.00580912j -0.015036-0.00330224j -0.00164634-0.00747668j -0.00103967-0.000594662j 0.00470282+0.00350126j -0.000980519-0.00523985j -0.0107083-0.00453411j 0.00348616+0.00433271j -0.000962214+0.0012272j 0.000230982+0.00199498j 0.00170234+0.00133262j 
0.00105834-5.08472e-05j -0.000738292+0.000483065j 0.00232249-0.00034276j 0.00101149-0.00113758j 0.00100139-0.000138588j 0.000465083+0.000424261j 0.00420386-0.00172512j -0.0021632+0.000298596j -0.00264289+0.0018045j -0.00791592+0.00358233j 0.0028736-0.00048514j -0.00158973+0.001989j 0.0027837-0.00271963j 0.000882331+0.000318172j -0.00454872+0.00149289j -0.0072917+0.00239353j 0.00469831-0.00119324j 0.00587084-0.00363324j 0.00697477-0.0020717j 0.0045942-0.000901033j -0.00866629+0.00283115j -0.00441963+0.00169425j 0.00465881+8.86067e-05j -0.000568154+0.00468063j -0.00527302+0.00152353j 0.0104482-0.00406123j 0.0112853-0.00121958j 0.00339532-0.00108813j -0.00351403-0.00166042j -0.00312379-0.000592471j 0.0145444-0.000568426j 0.000410796+1.96011e-05j 0.0204778-0.00842711j 0.0242763-0.00243524j -0.0127816+0.00345417j -0.00418494-0.00568469j -0.00548702-0.00375334j -0.0326778+0.00395222j -0.0146072-0.00273627j -0.00320206+0.00401152j -0.00467287+0.000819714j 0.0190851-0.00463042j -0.000155577-0.0023152j 0.0174735+0.00226181j 0.00293092+0.00129625j -0.025211+0.00175221j -0.00931056-0.00327156j -0.0136434-0.00325907j -0.00172155-0.000855684j -0.00999344-0.0002876j -0.00523397-0.000905657j 0.0188826+0.0129321j -0.00564247-0.000371247j 0.019721+0.0134673j 0.0130063+0.00661012j 0.00431708-0.00355161j -0.00122341+0.00345782j -0.00399611-0.000905243j 0.00230577+0.0045758j 0.00325418-0.00196362j -0.0136311-0.00807103j 0.0105545+0.00174266j 0.000851061-0.000487143j 5.31016e-05+0.000386251j -0.00322621-0.0033867j -0.00256114-0.00199604j 0.00242545+0.00173173j -0.00119615+0.000496651j -0.00085597-0.00179958j -0.00131378+0.000820242j 
-0.0032591+0.000918737j 0.000919443-0.00101138j -0.00577832+0.00237813j 0.00552581-0.000858597j 0.0061517-0.00294145j -0.000798946+0.000772436j 0.00336275-0.00190036j 0.00144739+0.00212541j -0.000886188+0.00158621j 0.00219381-0.00334992j -0.0104905+0.000811297j 0.00577385-0.0022969j 0.00849192-0.00201601j 0.00929675-0.00515605j 0.00398785+0.00106942j -0.00557821-0.00163449j 0.00161477+0.00145463j -0.0121399+0.00676986j -0.00757445+0.0046678j 0.00934426-0.0019146j 0.00576232-0.00336451j 0.00857859-0.000567557j -0.0103836+0.00471576j -0.00810062+0.00110878j 0.00331244+0.00251344j -0.0102613-0.000299107j 0.00472923+0.0042j 0.0106408-0.00553949j -0.0177105+0.00665354j -0.0054696+0.00337307j -0.0121446+0.00206708j -0.0136945+0.00402446j 0.00570842+0.00063069j 0.0170414+0.00171732j 0.00274321+0.00263647j 0.00454597+0.0166749j -0.0299256-0.00271875j -0.00317322+0.00954406j -0.0324649-0.00207956j 0.000296031-0.00106465j 0.00737771-0.00153681j 0.0202811+0.00267294j -0.0120922-0.00633486j 0.00800059+0.000564069j -0.00958877-0.00110273j -0.0124402-0.00340671j 0.0234008+0.00567725j -0.00442763-0.00191777j 0.00464953+0.0013341j -0.00175285+0.001045j 0.0142353+0.00578083j 0.0141748-0.00148057j 0.0115994+0.0014153j -0.00340648-0.000454464j 0.0031382-0.00161483j -0.00203481+0.00152001j -0.00236776-0.00113743j -0.00809481-0.00776002j -0.0192336-0.00659121j 0.00365403+0.00981075j 0.0154479+0.00199673j 0.00420104+0.00456395j -0.00410251-0.00178528j 0.0053216+0.00277555j 0.00628144+0.00113819j -0.0092161-0.00486311j -0.00482068-0.000263414j -0.00411732-0.00309297j 0.00355375+0.00237415j 0.00141703-0.00281307j 
-0.00254087+0.00158418j -0.00176521+0.000569941j 0.00587376-0.00285219j -0.00593193+0.00246722j -0.00564411+0.00239636j -0.00357595+0.000940307j 7.84094e-05+0.00137458j 0.00355654-0.00407553j -0.0048752+0.00257587j -0.00288009-0.000526439j -0.00483891+0.00461116j -0.0059683+0.00438169j -0.00348496+0.00130615j 0.000471038-0.000311206j 0.00516093+4.92342e-05j -0.00444138+0.00640524j 0.00103231+0.00224031j -0.00847028+0.0033463j -0.00659143+0.00355028j -0.00889108+0.00260512j -0.0148058+0.00198153j -0.00552552+0.00149458j -0.0102289+0.000385733j 0.0130699-0.00253817j -0.00920894+0.00241276j -0.00722818+0.00463496j -0.00984376-0.000383875j 0.0164785-0.0076755j 0.0127673-0.00228403j 0.00842532-0.00172329j -0.00885335+0.00620031j 0.0116722+0.000332596j 0.0080013-0.00380202j -0.0165986+0.00252739j 0.00144263-0.000377807j -0.00622759+0.0162572j 0.00266565-0.00185767j -0.0131205-0.00341966j 0.00974411+0.00170019j -0.00159434+0.00486085j -0.000786955-0.00365341j -0.0119067-0.00535323j -0.013996-0.00154299j 0.0151209-0.00115027j -0.0090491-0.00524895j 0.0102612-0.000207448j -0.0156911-0.000279246j 0.00843425+0.00480444j -0.0121116-0.00194433j 0.0160011+0.00454751j 0.0226149+0.00959981j -0.0026384+0.00232508j -0.0033131+0.00193868j 0.00190839-0.00142523j -0.00542489+0.00418287j -0.00362442-0.000509282j -0.0150937-0.008776j 0.000319008-0.000909325j -0.00480628+0.00333778j 0.0072839+0.00146415j -0.00336096-0.00169652j 0.000259245+0.000775966j 5.21995e-05+0.0018129j 0.00268606+3.69313e-05j -0.00127057+0.000762432j 0.00557222+0.00282658j 0.00724202+0.0021311j 0.00442972+0.00558344j 0.00206067-0.00128184j -0.00187505-0.00159681j 
