-0.0107178+0.00348443j -0.00535405+0.00634702j 0.0142525-0.00688461j -0.00830433+0.00251773j 0.00391765-0.00144224j -0.00149812+0.00266227j 0.0108469-0.00599137j -0.0186674+0.00623104j 0.00725713-0.006718j -0.0132711+0.00590394j 0.0111801-0.00777925j -0.00448547+0.00558917j 0.00427856-0.00385116j 0.00710252-0.00371146j -0.014603+0.000206802j 0.00706364+0.00271684j 0.0279894-0.00662044j -0.0043372+0.00253724j -0.0056544+0.00461522j 0.0249181-0.00262662j -0.00258111-0.00382403j -0.00978955-0.000184827j -0.00479836-0.00406804j -0.00811494+0.00362366j -0.00126617-0.00992019j -0.00635375-0.0161607j -0.0161737-0.011615j -0.02921-0.0124449j 2.63066e-05+0.0196557j 0.00266285-0.00919923j 0.0135392+0.00773251j -0.011174-0.0129311j -0.000985331-0.00858498j 0.0052605+0.0117379j -0.00351759-0.00669518j 0.00377546+0.000398055j 0.00721236+0.0188183j 0.00194819+0.00230618j 0.00262203+0.00738786j -0.00189952-0.00723405j -0.00357234-0.00113263j 0.00426328+0.00443971j 0.00172192+0.00275582j -0.001681+0.00414552j 0.00337969+0.00384502j -0.000473342-0.00570501j 0.00165593+0.00092294j -0.000225938+0.0064339j 0.0028179+0.00893723j 0.0066094+0.0012247j -0.00419356-0.0201728j -0.00213262+0.00362725j -0.0015087-0.0151236j -0.0042016-0.0095405j 0.00370518+0.0213767j -0.00117675-0.0078761j -0.00119936-0.00343403j -0.00293016+0.0159263j -0.00299552-0.00259356j 0.00358287+0.00294898j -0.00148013+0.00477781j 0.00369215-0.0135914j 0.00197067-0.00183185j 0.00355764-0.00367791j -0.0104218-0.00496819j -0.00831336+0.0136078j -0.00449948+0.0150553j -0.00379423+0.0178057j 0.00257353-0.00703827j 
0.000320482-0.00668308j -0.0152096+0.00805359j 0.0133134-0.00752106j 0.00212438-0.00125669j 0.00118438-0.0010778j 0.00516175-0.000796966j -0.00122394-0.00232666j 0.00627061-0.00273856j -0.00962551+0.00541657j 0.00531103-0.00423834j -0.0148667+0.00174741j -0.00261779+0.00144328j 0.00889672-0.00202764j 0.00560352-0.00372789j -0.00989641+0.00660103j 0.00281207-0.00388729j 0.00278144-0.00278581j 0.0308994+0.00270435j -0.023155+0.00630074j -0.00246849+0.00998362j 0.00289114-0.0102908j 0.0327595+0.00433992j -0.0209453-0.00927561j -0.00802751-0.000188465j 0.0286009+0.00822309j 0.0137052+0.00612825j 0.00384303+0.00211197j -0.00525472+0.0162531j 0.029879+0.0151843j -0.0153375-0.0140375j 0.00574555-0.00961249j -0.00687822-0.00231706j -0.0044583-0.00935679j -0.00020554-0.000173076j -0.00211368+0.00144305j -0.00087533-0.00302875j -0.00199964+0.000865994j -0.00361511-0.00573837j -0.00126287-0.00471158j 0.00473068+0.0162785j 0.00205451-0.0016459j 0.00221249+0.0039289j 0.00548835+0.00854861j -0.00195044+0.00498139j 0.00557903+0.00540824j -0.00406223-0.00488856j 0.0021283+0.00530349j -0.00182437-0.00466523j -0.00428745-0.00578097j 0.00463309+0.0267156j 0.000193879-0.00202172j 0.00651735+0.010048j 0.00209455-0.0128358j 0.00227085+0.0145619j 0.00118054-0.0168909j -0.00503848+0.00524843j -0.00273884+0.0150858j -9.26737e-05+0.0170734j -0.00380069+0.0117491j 0.00283558-0.0128709j -0.00334928+0.00995924j 0.000846845+0.00183498j 0.0119303-0.0108274j -0.00431014+0.00488316j 0.0052487-0.0147705j 0.000684961-0.00203127j 0.000663559+0.00138932j 0.00162742+0.000372799j 0.0040161-0.0208856j 
0.00606262-0.00957626j -0.0122868+0.00450761j 0.00718745-0.00584146j -0.008059+0.00369304j -0.0137993+0.00397917j -0.00384414+0.00227469j 0.000103837-0.000698404j -0.00731307+0.000839115j -0.00936324+0.00848011j -0.00387658-0.00313329j -0.00974615+0.00419137j -0.00475091-0.00188746j 0.0149604-0.00538098j -0.000132852+0.000610237j -0.000855803+0.00396753j -0.0344641+0.000404918j -0.014874-0.00722797j -0.0268209+0.00468349j 0.00789284-0.00348887j 0.00705649+0.000603114j 0.00872125+0.000184777j 0.00296955+0.00742176j 0.0133034+0.000556062j 0.00421558+0.00124214j 0.00324483+0.00469815j 0.0164151-0.00480036j -0.02793-0.0180147j 0.00321828+0.00640577j 0.00965418+0.00206201j -0.0146078-0.00729007j -0.00167378-0.0109286j -0.00612824-0.00912245j 0.00328652-0.00137613j -0.00381595-0.00195528j 0.0047566+0.0104202j 0.00223774+0.00475711j 0.000338258+0.0100351j -0.00102593+0.0026728j 4.27043e-05+0.00220997j 0.00187507+0.0089736j 0.00177264+0.00137185j 0.00160869+0.00621468j 0.00418998+0.00497573j -0.000874148-0.0024738j 0.00607456+0.0087602j 0.00141228+0.00212471j 0.00479843+0.0149248j -0.00417562-0.0290837j 0.00343209+0.00650273j -0.00548938-0.0155168j -0.004813+0.0127923j 0.00323513-0.0159708j 0.00294586+0.00335399j 0.00356792-0.0262842j 0.000484969-0.0104677j -0.00524119+0.00735962j 0.0015279-0.0158622j 0.00699504-0.0220334j -0.00150236-0.00547201j 0.00199842-0.00389009j 0.00377431-0.00994162j 0.00529579-0.00467985j -0.00113521+0.00929249j -0.00422159+0.00916353j -0.00417399+0.0038423j -0.000120391-0.0094373j -0.00577287+0.0165259j 0.000453469-0.00289795j 0.0020316-0.0132929j 
-0.00301784+0.00440779j 0.00537211-0.00200443j 0.00062492+0.000645559j -0.0061762+0.00326484j -0.00759867+0.00543738j -0.00667831+0.00206609j -0.0231461+0.00979844j -0.0204283+0.00878562j -0.0261304+0.00295209j -0.0044209-0.00220821j 0.00281012-0.00168716j 0.00404638+0.000216169j -0.0176764+0.00363842j 0.00496876-0.00191732j -0.00263868+0.00656195j -0.0161178-0.00141027j 0.018809+0.00282792j 0.0162175+0.00422612j -0.0109302-0.00140244j -0.00764613-0.000815483j -0.0223437+5.17031e-05j 0.00454787-0.00258626j 0.00528621+0.0113697j 0.0289812+0.00661288j 0.0204696+0.012712j -0.00152589-0.00195803j -0.00253215+0.00180965j -0.000496019-0.00228555j -0.00402215-0.00107152j 0.00659651+0.00323398j 0.000584801+0.00475178j -0.00145871-0.0041122j 0.00382184+0.00099196j -0.00248319+0.00343986j 0.0109031+0.0236775j -0.00479035-0.0024101j 0.00651551+0.00389226j 0.000943668+0.0043228j -0.00471911-0.00497337j -0.0021211-0.00196313j 0.00550723+0.0112154j -0.000991278-0.00179718j -0.000321172-0.00555236j -0.00137575-0.0243941j -0.0046888-0.014246j -0.00323354-0.0117657j -0.000956054-0.0109258j -0.00389049-0.0035852j 7.68397e-05+0.0228037j 5.04267e-05+0.011524j -0.000738993-0.00551376j -0.00102282+0.0172073j 0.00299667-0.0149289j -0.00338184+0.0202058j 0.0027591+0.00653851j -0.00186102-0.00743424j 0.00385892-0.00491222j -0.00287546+0.00730602j -0.00560077+0.0155296j -0.00361133-0.0010095j 0.00126083-0.00276224j -0.0010339-0.000615354j -0.00537859+0.00120777j -0.007884+0.0266438j 0.00247627+0.000723855j -0.000682847+0.00178491j -0.000736805+0.00199721j 7.33861e-05+0.00127062j -0.000816321+0.00537824j 
0.00781217-0.00858248j -0.00769927+0.00133025j 0.00777641-0.00581551j -0.00885857+0.00512965j -0.0107712+0.00337948j -0.0132398+0.00474661j -0.0156257+0.00831844j 0.0243323-0.00764244j 0.0148891+0.00108708j 0.00244154+0.002458j 0.0273717-0.00357741j 0.00175386-0.00618403j -0.00568956-0.0033027j 0.0278307+0.0030423j 0.0174517+0.00369957j 0.0180602-0.00416415j -0.00655663-0.00189494j -0.00549952-0.00482594j 0.0177748+0.000844541j -0.0036718+0.00786885j -0.0125348-0.00134598j -0.0413192-0.00824102j -0.00428063-0.00599286j -0.00540837-0.001448j 0.00820952+0.00542086j 0.00346629-0.00434714j -0.0139044-0.00478078j 0.00406484+0.00359367j 0.00400074+0.000493674j -0.0110712-0.00291083j -0.00402489-0.00943092j -0.00720788-0.0104299j 0.00308725-0.00345782j -0.00195212+0.000588037j 0.00843544+0.0128999j -0.00420687-0.000627229j -0.0078322-0.0129451j -0.000255237-0.0100497j 0.00539595+0.00114852j -0.00795261-0.0164309j -0.00412424-0.0086577j -0.00353079-0.0119253j 0.00316903+0.00171753j 0.0039668+0.0139476j -0.000881624+0.00240277j -0.00155057-0.0108902j 0.00275112-0.00427572j -0.000731426+0.0116976j -0.00294157+0.0117515j -0.000539562+0.00052846j -0.00625933+0.0227423j 0.000283759-0.00926835j -9.55729e-05-0.00426605j 0.000896838+0.00260528j -0.00310137+0.0184837j -0.00466296+0.0035283j -0.00550898+0.0119057j -0.00245046+0.00934224j 0.00343348-0.0169307j 0.000397558+0.00658847j 0.00489119+0.000208257j -0.00344668+0.0183737j 0.00258495+0.00159747j -0.00288768+0.00783064j -0.000847902+0.00247124j -0.00105018-0.00198506j -0.00246517+0.0111098j 0.000228355-0.00425209j 0.00122583-0.00729214j 
-0.0143918+0.0104695j 0.00207626+0.00487813j 0.006075-0.001249j 0.0125444-0.00729117j 0.00545595-0.000412656j 0.00196319-0.0026073j -0.0232866+0.00559694j -0.00286717+0.00283797j 0.00875772-0.00589304j -0.00826427-0.000236844j -0.0222051-0.00732524j -0.0180885-0.000782834j 0.0217509+0.000222444j 0.022966-0.00160439j -0.0182535-0.000746345j 0.00790073+0.0060469j -0.0171008+0.0036018j -0.00191814+0.00747749j 0.0204172+0.00684528j 0.00284385+0.0050782j -0.00938366-0.00239213j 0.00615732-0.00186935j 0.0112227+0.00824538j 0.0119512-5.12041e-05j 0.0067462+0.000926754j -0.00492546+0.00184816j 0.0143462+0.0033487j -0.00725872-0.00295682j 0.00167328+0.0026636j 0.009478-0.00581136j 0.0134161+0.0131087j -0.000729601+0.00750763j -0.00947103-0.0116511j 0.00125262+0.00801801j 0.00126421+0.0104334j -0.00785699-0.0104502j 0.0037418+0.00536405j 0.00245628-0.00545074j -0.00686771-0.0126371j 0.00536745+0.00841395j -0.00529065-0.0299384j -0.00289226-0.00985675j -0.000411332+0.00460467j -0.00196785+0.0177836j 0.00287268+0.00326537j -0.00401116+0.0213322j 0.00188295+0.0136804j 0.00207935-0.0257224j -0.00017785-0.00218475j 0.00695874-0.0220059j 0.00201526+0.0212327j 0.00172843-0.00711993j 0.000633977+0.0121127j -0.000619228+0.00209579j 0.000585553+0.00387372j 0.000527043-0.00274476j 0.00504845-0.00359696j -0.00570123-0.00300914j 0.00166055-0.00616223j -0.00186879+0.00275862j 0.00261448-0.00704336j -0.000516575-0.0082548j -0.00248571-0.000447015j -0.00171075+0.0120217j 0.00231117-0.00920015j -0.00136397+0.00674465j 0.00227152-0.0118616j -0.00105481+0.00838087j -0.000685508+0.00256949j 
0.00333169+0.000280494j 0.0069244-0.00701712j 0.0053308-0.00331951j -0.020304+0.0131581j 0.0281111-0.0105872j 0.0132465-0.00140724j -0.00645022+0.00283972j -0.0184798+0.00251096j -0.00945052-0.0067039j 0.0269661+0.00365469j -0.0295761+0.00373551j -0.0337658+0.00510999j -0.00246241-0.00604707j 0.0130556+0.00603376j 0.000224748-0.00465073j -0.00346921+0.000891677j 0.00221147-0.00414078j -0.0035928+0.000881933j -0.0243161-0.00391162j -0.0165036-0.00565357j 0.0141728+0.00308992j -0.00315016+0.000298264j -0.0153802-0.0032892j 0.000733009+0.00164614j 0.00761468+0.00256569j -0.00464633-0.00227792j -0.00286228+0.000675595j -0.000367336-0.00127812j -0.00314828-0.000792115j 0.00600056+0.0094536j -0.00853147-0.00054569j -0.00765567-0.0143256j 0.0108703+0.00390557j 0.0130513+0.0088835j -0.00287651-0.0081713j -0.00610346-0.0127027j -0.000696533-0.00892358j -0.00457353+0.00220031j -0.00489863-0.0107852j 0.00264749+0.015108j 0.000700986-0.0143503j -0.00106827-0.0146356j -0.000228429-0.00784035j -0.00109798-0.0138204j -0.00111443+0.0314291j 0.00254607+0.00577746j -0.00391154+0.0143213j -0.00573317+0.00187649j -0.00757076+0.00871017j 0.00181017-0.0251761j 0.00141317-0.000608512j 0.000616448-0.0027521j -0.00403366+0.000777468j 0.00141943-0.00242697j 0.000163212-0.00340429j 0.000762967-0.00153504j -0.000833451+0.00173771j 0.00434133-0.00141612j -0.00268174+0.0141105j -0.00167703+0.000905883j -0.00385464+0.0116155j -0.00114916+0.0129968j 0.00151376-0.00523383j -0.000397589-0.0020156j -0.000709096+0.00613186j -0.000464471+0.00136459j -0.00124134+0.00754916j 0.0004972-0.00287352j -0.000304206+0.0033887j 
-0.00265977-0.0143391j 0.00274284+0.00765353j -0.000963916-0.00015844j -0.00479116-0.0174932j -0.00883436-0.0118336j -0.00531635-0.00411164j 0.00147897+0.0162911j 0.00234751-0.00141331j 0.00530216+0.0177394j -0.00195273+0.00159103j -0.00607427+0.00962431j -0.0107335-0.00859311j 0.00770538-0.000687441j 0.00269709+0.0096667j 0.00288652-0.00183393j -0.00537487-0.00806367j 0.00874282+0.00429788j 0.0133907+0.0010037j -0.0135245-0.0187812j 0.00963334-0.00498631j -0.00479049+0.0116115j 0.0010983+0.0173111j -0.0116591+0.021953j -0.00693814-0.0212856j -0.0219529+0.00519669j -0.0151865-0.00370226j -0.00752792+0.00151434j 0.0333948+0.0190165j 0.0386933-0.0508183j 0.00145144+0.0149933j -0.00895713+0.00445447j 0.00310289-0.00292895j 0.00281211+0.00487529j -0.00411296+0.000460429j 0.00260626-0.00287503j 0.000678832+0.00267469j -0.00216+0.0027388j -0.000481308+0.000681101j -0.000527267+0.000641893j 0.00304284-0.00181089j -0.00234232-0.000243627j 0.00171537+0.00032042j 0.000175946+0.00162161j 0.00168166+0.00147677j 0.00119854+0.000922699j -0.000230683-0.00151462j -0.000733276+0.000505511j 0.000119737+9.29023e-05j 0.00158179-0.00033951j 9.68318e-05-0.000366687j -0.00109606-0.000497897j -0.000761281+0.000777793j -0.00200361-0.00061305j 0.00220993-0.000275963j -0.00211714+0.00124586j 0.0010965+0.00124323j -0.000485943+0.000839069j -0.00180141-0.00018829j 0.00451432+0.00443151j 0.00132722-3.38528e-06j 0.00243402+0.00642576j 0.00303426-0.0021072j -0.00691938+0.00207347j -0.00410052-0.00902919j 0.0127742+0.00340572j -0.0111506+0.00431899j -0.00930848+0.000371105j -0.0262851+0.00529817j -0.00454801+0.0201649j 
-0.00308308-0.0114647j -0.00393248-0.0151681j 0.00273838+0.0138613j -0.00538516-0.00283029j -0.00460964+0.00289726j -0.0060076+0.00925917j 0.00589972+0.000543633j 0.00418595+0.00680245j 0.000931334-0.011926j 0.00206233+0.00936918j 0.00488661+0.00255648j -0.00238061+0.00922141j 0.00164676-0.00124067j 0.00348461-0.00426873j -0.000889719-0.00201738j -0.00476155+0.00474268j -0.00920285+0.00337454j -0.00552527-0.00328692j -0.00930863-0.00185871j -0.011342-0.0400965j 0.00308277+0.0219883j 0.0116855-0.00786416j -0.0244594-0.000525669j 0.00985249+0.00226876j 0.014961-0.0345266j 0.0166919-0.0226397j 0.00931288+0.00604862j 0.0364517-0.0494569j -0.0310741-0.0177937j 0.00878355-0.00101973j 0.00283456+0.0167788j -0.00187622-0.00732872j 0.00360927-0.000150067j -0.000305282-0.00120579j 0.00250078-0.00266971j 0.00330113-0.0025347j 0.000829485+0.000154609j -0.000195691-0.00237398j 0.00119237-0.000454969j -0.000546342+0.0012215j -0.00115806+0.00294544j 0.00125258-0.000692895j -0.000162094+0.000141145j 0.0020434+0.00031895j -0.00135655+0.00164142j -0.001461-9.35523e-05j 0.000307814-0.000159417j -0.000780657-0.000111557j -0.000943459-0.000354996j -0.00268231+0.0033072j 0.000120151+0.00166081j -4.19109e-05-0.000307225j -0.00160376-0.00018721j 0.000928196+0.00100499j -0.00143286-0.00335723j 6.11627e-06+0.00104628j 0.00105655+0.00102586j -0.00105989-0.00353439j -0.00197689-0.00306436j 0.000226803+0.00567934j 0.00258691+0.00299039j -0.000798508+0.00572886j -0.00556861-0.00850543j 0.0138698+0.00305229j -0.00357593+0.00817478j -0.00678942+0.000452741j 0.0130664-0.00725866j -0.00521755+0.0199746j 0.0240003-0.00518305j 
0.00167879+0.00800685j 0.00332086+0.0103471j 0.000191658-0.000718912j 0.00490621+0.00913516j 0.00556428+0.0138902j 0.00520919-0.00315642j -0.00525423-0.00821333j -0.0074601-0.010816j 0.00117928+0.0061134j -0.00692107-0.0226036j 0.0010224+0.0133322j 0.00626659+0.0136362j -0.00425747-0.00237187j -0.00515459-0.00236465j -0.00355657+0.00548998j 0.0119579+0.00349043j 0.00307392-0.010053j -0.000413007-0.0138861j 0.000713683-0.0154513j -0.00436511-0.0233181j 0.00243923-0.0012638j -0.00287744+0.043247j -0.00357678+0.0195677j -0.00529336-0.0158568j -0.00409342-0.00331693j 0.0336148-0.010792j 0.0270831-0.052658j -0.00481622+0.00457542j -0.00261989-0.00012253j -0.00417925+0.00137272j -0.00334745-0.00961993j -9.02377e-05+0.00273151j -0.00192906-0.0027157j 9.03174e-05+0.00343615j -0.00120535+0.0016551j -0.00196438+0.000241441j 0.000923535+0.000647167j 6.78803e-05+0.00117835j -0.000202306+0.00146576j -0.000138714-0.00107482j 0.00109111-0.00124232j -0.000507207-0.000231287j -0.000434646+0.000928177j -0.00164915-0.00102868j 0.00155261-0.000191268j 0.000842842+0.00255658j -0.000708104-0.000735555j -0.000262943-0.00171589j 9.34939e-05-0.00081422j -0.000167003+0.00333739j 0.00067358+0.000346035j 0.000731183+0.00257375j 0.00212378+0.000363839j -0.00101068-4.3816e-06j 0.00251779+0.000144853j -0.00110667-0.00233855j -0.00328311-0.000206103j 0.00424703+9.97851e-05j -0.000364144-0.000844115j 0.000231217+0.00146224j -0.00168447+0.00476483j -0.00370867-0.000475541j -0.00290386+0.0030023j -0.000999522-0.0026959j -0.00370847-0.0012107j -0.00854984+0.00596746j 0.00266629+0.00678724j 0.00636174-0.00461511j -0.00322443-0.000861519j 
0.000729015+0.00403679j -0.00295713-0.0092608j -0.00224072-0.00709453j -0.00581795-0.0115149j -0.00206403-0.0190519j 0.00415735+0.00826229j 0.00136133-0.00473787j 0.00272755-0.00051806j -0.00555322-0.0180478j 0.011466+0.0125546j 0.00744043-0.014177j 0.0067689+0.00770306j -0.00308286-0.000633742j 0.00591547-0.0184821j 0.00282602-0.00915315j -0.00859452+0.0187658j -0.00550816+0.00982477j 0.000153683-0.0374813j 0.000635279-0.0271237j 0.00679936+0.015087j 0.00509095-0.0299467j 0.00745789+0.0118702j 0.00653648+0.01392j -0.00611072+0.0112643j 0.0148322-0.0442437j -0.0148715+0.0224939j 0.00881239+0.00497282j 0.0022736-0.00389423j -0.00212461+0.00159342j -0.000345612-0.00719504j 0.00482799+0.00296928j 0.00170494+0.000186893j 0.000816777+0.00318571j 0.00107199-0.00403388j -0.00278291+0.000360197j 0.000253536-0.00135588j 0.000262291+0.000565179j -0.00021985+0.000229417j -0.000381438-0.000535729j -0.000594818+0.00167964j -0.00126466+0.00125035j 8.20995e-05-6.96734e-05j 0.00224784-0.00197992j 0.00176609-6.37486e-05j -0.00156008+0.000641138j -0.000737896-0.00149608j 0.000287083-0.000337177j 0.00137881+0.00100816j 0.000144976+0.000570224j 0.00225793+0.000833974j -0.000914636-0.00113803j -0.000167211-0.000409964j -6.39652e-05-4.29238e-05j -0.000857551+0.000819824j -0.00231875+0.00019213j 0.00303707-0.00114882j 0.000185242-0.000134652j -0.00246706-0.00251837j -0.00231517+0.000197462j -0.000916829-0.0025797j 0.000686338-0.00241194j 0.000581499-0.00146822j 0.0003343+0.00134442j -0.00140157+0.00254253j -0.0050647+0.00496183j 0.00410777-0.00642132j -0.00298832-0.000582789j 0.000679007+0.00228293j 0.00366484-0.0026972j 
