-0.00119437+0.00896666j -0.00930532-0.00946609j -0.00368354-0.0126957j 0.00861054+0.0170713j 0.00650704+0.0182701j 0.00140996-0.00171864j -0.000494783+0.0222845j -0.00541165-0.0127344j 0.000456067+0.00660999j -0.00149238-0.0242775j 0.00187996-0.00860999j 0.00192735+0.00483148j 0.00412773-0.00602935j -0.00615703+0.0292648j -0.0134612+0.00935573j -0.00430343-0.0014007j 0.00182336-0.00194309j -0.00191576+0.00185886j 0.0136334-0.00907966j 0.00974576-0.00758336j 0.00331134-0.00177262j 0.0149705-0.00324024j 0.00483453-0.00502546j 0.0108088-0.00504604j 0.0141234-0.00301728j -0.0193804+0.00233705j -0.00795034-0.000403127j 0.00492773+0.000871694j 0.00464012-0.00455994j -0.0109714-0.00029532j 0.0103631+0.000404247j 0.0176177+0.00110324j -0.00846375-0.00234264j 0.00238862+0.00066433j -0.00795383+0.000781243j -0.0232568-0.00690099j -0.00147102-0.0101543j 0.00519411+0.0071041j 0.00937394-0.00458632j 0.00696826+0.000771832j -0.00549049+0.00620618j 0.00211103+0.00176854j 0.00389747+0.00573621j 0.0044948+0.00242211j 0.000664518-0.00519453j 0.00639995-0.00329653j 0.00232502+0.00457972j 0.00594118+0.00251093j 0.00379658-0.00508031j -0.0042425+0.00247665j -0.00408215-0.00821818j -0.00557339-0.00106324j 0.00110561+0.00328145j 0.00615398-0.00509586j -0.00142006+0.00782026j -0.00421573-0.00274842j -0.00489268+0.00785021j 0.00409701-0.000112864j -0.00889249+0.0012903j 0.00138138+0.00548101j 0.000209019-0.00210079j -0.00410232-0.000162897j -0.00788754-0.00380644j 0.00997959+0.00450536j 0.00489579+0.0030273j -0.00388295-0.00435697j -0.00152559+0.00154961j 0.0025088+0.000743611j -0.00365483-0.000116698j 0.00554289-0.00655146j -0.00900748+0.00536429j -0.00291886+0.000828552j -0.00532267+0.000590327j -0.00066988-0.00260362j -0.0040634+0.00536717j -0.00918196-0.00241496j 2.5098e-06-0.00438627j -0.00527303-0.00255009j -0.00262985+0.00362778j -0.00696006-0.00775487j -0.00255539-0.0046727j -0.00503285-0.00372726j 0.0048601-0.0035026j 0.0010031-0.0103776j 0.00557811+0.00294344j -0.00296803-0.000826475j -0.00754093-0.002275j 0.00614739-0.00293684j 0.00487273+0.00411999j 0.00159199-0.00626369j -0.00183845+0.00788564j 0.0109078+0.00394498j 0.00352295-0.00507437j 0.00471934+0.000584553j 0.00124934-0.00864467j 0.00317963+0.000561988j -0.000258246+0.0083784j 
-0.00971259+0.00835592j 0.00648383-0.0027248j 0.0123078-0.00473759j 0.00910387-0.00205488j -0.027741+0.0104384j 0.00841275-0.00365261j 0.00842035-0.000925539j 0.0129-0.00350571j 0.0162205-0.00370807j 0.0153689-0.00347484j 0.0054619-0.000207759j -0.0165411-0.00765468j -0.0236379-0.00270386j 0.0218876+0.00236935j 0.0254307+0.0215077j 0.00142641+0.00290709j -0.000866163+0.00637507j 0.00144878-0.00292447j 0.00054052+0.000942536j 1.95258e-05+0.00157379j 0.00169449-0.000579809j -0.000363532+0.000185888j -0.000312552+0.000372642j -4.78079e-05+0.000335698j -1.6737e-05+0.000144202j -0.00252167-0.000962207j 0.00115256-0.00214127j 0.00150571-0.000627874j -0.000267586+0.000250615j -0.00171468+0.000505719j 0.000316837+0.000947913j 0.000809336-0.000818621j -0.00339229-0.00162289j 0.0031881-0.00028015j -0.00254228+0.00187852j -0.00289183-0.00490113j 0.00857257+0.0023158j 0.00504412-0.00323926j 0.00576132+9.20784e-06j -0.00379127-0.00679247j -0.00215472-0.0102884j 0.00395374-0.00155363j -0.00242394-0.000319285j 0.000865991-0.000858179j -0.000988043+4.15176e-05j -0.00304945-0.000383565j 0.00510411-0.00875398j 0.00903013-0.0029237j 0.000427482-0.00182897j -0.00157066+0.00074955j -0.00616363+0.00349978j -0.00336249-0.00585864j 0.00581862+0.00349352j 0.0056108+0.00507102j 0.0014908-0.00883794j 0.00416092-0.00026657j -0.00041646-0.00021981j 0.00684478-0.000118852j -0.000381296-0.00760781j 0.000673574-0.00544458j -0.00557555-0.00515508j -0.00251373+0.000344639j 0.00216291+0.00276702j 0.00748859+0.00611027j 0.00687844-0.0103194j -0.00274984+0.00309768j -0.00622996+0.00126828j 0.00711955-0.000201518j -0.00152229-0.00755296j 0.00602538+0.00698018j 0.00100802+0.00188158j 0.0050223+0.00154458j -0.00276961+0.00305117j -0.00112196-0.00704836j 0.0025179-0.00953076j -0.00354196+0.00260494j 0.00712907+0.00184235j 0.00338733-0.00426834j 0.00130487-0.0021628j -0.00668508+0.00277414j 0.00351836+0.0100943j 0.00585104-0.00171267j -0.00105369-0.00636704j -0.00137363+0.0020378j 0.00486022-0.00331036j -0.0069064-0.00301801j -0.00346211+0.0038459j 0.00568321+0.00500558j -0.00749557-0.000869645j -0.00344862-0.00406421j -0.00243727-0.00331799j 0.00243823-0.00970572j -0.00398341+0.0103382j -0.00223341-0.00149468j 0.00275891-1.44732e-05j -0.0122986-0.0085778j -0.00860297+0.00784124j 
0.00138316-0.00217582j -0.00573104+0.00358095j -0.00586443+0.00475402j 0.0246459-0.00768163j -0.00346+0.00215627j -0.0108158+0.00330946j -0.0312207+0.00216642j 0.00703806+0.00108939j 0.0237107-0.00079569j -0.00295693+0.00160576j 0.0147998+0.00631519j -0.017825+0.00350179j 0.0317349+0.00919998j 0.0121301+0.00791822j -0.00603861+0.00025811j 5.07382e-05-0.00338226j 0.000102538-0.00153678j -0.00405701+0.00357058j -0.00504381+2.3082e-05j 0.0019653-0.00112107j 0.00272039-0.000611736j 0.00108238+0.00141548j 0.000393908-0.000658959j 0.000643178-0.000215149j -0.000181229+0.00058308j -3.12296e-05+0.000268064j 0.000597834-0.000378481j -0.00141782+3.81072e-05j -0.000782722-0.000647577j -0.000103415-0.000346245j 5.30097e-05+0.000187414j -0.000966717+0.00103065j -0.00265476-0.000331402j -0.00222199-0.00124904j 0.00297561+6.93343e-07j 0.00329877+0.00109462j -5.83381e-05+0.00130328j -0.00401188+0.00143277j -0.000236603-0.000834143j 0.00143107-0.000831842j 0.00194335+0.00568677j 0.00139119+0.00242069j -0.00847427+0.00570687j -0.0102868+0.00163807j -0.00293119+0.000865922j -0.00307245-0.00636585j -0.00254142-0.00427966j 0.00217452-0.00559126j -0.0107296+0.000313359j 0.00412585+0.00972686j -0.00493109-0.00302764j -0.0075356-6.79893e-05j -0.00108447-0.00177103j -0.00510722+0.00923259j 0.00141449+0.00476315j -0.00290033-0.00588345j -0.00831571-0.00129459j 0.00192768-0.000100478j 0.00498488-0.0086028j 0.00556919+0.00861304j -0.00520014+0.0059012j 0.00702832+0.0013927j 0.00159979+0.00866544j 0.00384712+0.00786562j 7.196e-05+0.00463272j 0.00311973+0.00629522j 0.00397654-0.00158687j -0.000948606-2.36787e-05j 0.00422907-0.00659233j -0.00312018-0.00857088j 0.00462265-0.00658444j -0.00297185+0.00665351j -0.00563438+0.00373621j -0.00650736-0.00394693j 0.00242317-0.00569721j -0.000389356-0.00876237j -0.00351886-0.00256827j 0.0110495-0.000626435j -0.00440376-0.00708935j 0.000662627-0.00932765j 0.000221183-0.00173389j 0.00115689+0.000460039j -0.00638474-0.00261642j -0.00848536+0.00280241j 0.00290737-0.00678594j -0.00463328+0.000962738j 0.00215682+0.00581388j 0.00304867-0.0104073j 0.00665247+0.00517371j -0.00569325-0.00173798j -0.00908693-0.00181439j -0.00146371-0.00136666j 0.000332384-0.00407807j 0.00647538-0.00390556j 0.00678883+0.00492289j 0.00530475-0.000158861j -0.00129039-0.00406589j 
-4.20841e-05+0.0119468j 0.0089753+0.00404765j 0.00730581-0.000132848j 0.00202093-0.0107346j 0.00869875+0.00961078j -0.000784008-0.0068527j -0.0110254-0.0199688j -0.0052828-0.00470217j -0.00841075-0.015837j -0.000745079-0.00245765j 0.00337987+0.0100844j 0.007003-0.0186387j -0.00169177-0.0149279j 0.0175704+0.00394025j -0.0270108+0.0291376j -0.00566636+0.00997438j 0.0193834+0.00328395j 0.00367417-0.00713252j 0.0124763+0.00561789j -0.00665496+0.00251852j -0.00948407+0.00250788j 0.0116873-0.00129927j -0.00632859+0.000982904j 0.000456+0.000191885j -0.00605865+0.000840494j -0.00378879-0.00423392j 0.0142017-0.00655983j 0.0085847-0.00204166j -0.00105996+0.00270797j -0.00284073+0.00390334j -0.000771743+0.00129701j -0.0037774-0.00757443j -0.00753042-0.00692373j 0.018451+0.00755884j -0.0105467+0.00457776j 0.00789018-0.00764823j 0.0120244+0.0198368j -0.0036765-0.0096761j -0.00916614-0.00347473j -0.00854225+0.00712313j -0.000354811-0.000452972j 0.00175866-0.00281653j 0.00512908+0.00445344j -0.00185136-8.85459e-05j -0.00704151-0.00214173j 0.00117795+0.00312461j -0.000806237-0.00430932j -0.00343183-0.00369819j -0.00683953-0.00164803j -0.0047424+0.000178421j 0.0028101+0.000564859j -0.00274735+3.11295e-06j 0.000759286-0.00554774j -0.00144434-0.00406582j -0.00231822+0.000600664j -0.000789252-0.00422248j 0.00177732+0.00112031j -0.00682195-0.0056884j -0.00538267-0.00281212j -0.00157832-0.000222192j -0.0061815+0.00328615j 0.00355386+0.00299252j -0.00251836-0.00262498j 0.00702004-0.00518858j -0.00306079+0.00275228j -0.000810762-0.00328175j -0.00353715+0.00651582j 0.00698495-0.00038006j 3.06792e-05+0.00446694j -0.0037132-0.00326456j 0.00150498-0.0102487j -0.000313626-0.00150814j 0.00321431-0.0048251j 0.00374963-0.00161063j -0.00487399-0.0050481j 0.000500804-0.00314905j -0.00157275+0.00186328j -0.00131864-0.00150918j 0.000403725+0.00672389j 0.0029121-0.000743429j -0.00184502+0.000440466j 0.00166971+0.00371321j -8.41775e-05+0.00265995j -0.00954575-0.00342695j 0.00184573-0.00261298j 0.00203707-0.00364823j 0.00231128-0.00353942j -0.000375301+0.00360068j -0.00200691+0.0042901j 0.0034114-0.00814312j 0.00523191+0.0014739j -0.0045883+0.000172889j -0.00736063-0.00507977j 0.000934453-0.000761969j -0.000744815+0.00168906j -0.0040757-0.0089858j -0.00438949+0.0182686j 
0.00644071+0.00307865j 0.00800867-0.00839423j -0.00381817-0.0145269j -0.00364658+0.000717323j 0.00131118-0.0039168j -0.0108856-0.0195377j -0.00902675+0.0149266j -0.0041471-0.00715119j 0.000595834+0.0162674j 0.00407121+0.00686323j 0.00459229-0.00215577j -0.00142404-0.0180415j -0.000559208-0.0109768j 0.00962967-0.0272157j 0.0208397+0.00249634j 0.0130388+0.00911241j 0.0140221-0.0045356j -0.0081607-0.00326778j -0.00459719+0.00241635j 0.0110748-0.00236072j -0.00973833-0.00389551j 0.00554009-0.00147704j 0.000569399+0.00252302j -0.00323118+0.00155533j 0.00203287-0.00536176j 0.0182077+0.00267363j -1.65126e-05+0.0109275j 0.00213593+0.00149612j -0.00808997+0.000965875j 0.00177273+0.000249433j -0.00180702-0.0025576j 0.0164192-0.00274445j 0.00711445+0.00100237j -0.00380027+0.0131223j -0.0133379-0.0119175j -0.0076912-0.0121372j -0.00184911-0.000104775j -0.00515291-0.00727058j -0.000908342+0.00442764j -0.00421096-0.00122293j -0.003421+0.00407316j -0.0083076-0.00339124j -0.000715942-0.007832j 0.00581538-0.00108801j -0.00166957-0.0114153j 0.00479166+0.00150515j -0.00182866+0.000968199j 0.00505364-0.0045665j 0.00194476+0.00117827j 0.000747408-0.00147422j 0.00223429+0.00257288j 0.00407678+0.000647236j 0.00621617-0.00252741j -0.00191778+0.00408219j -0.000397055+0.000408364j -0.00121934+0.00275555j -0.00820876-0.00531976j 0.00551952-0.000877346j -0.00022535+0.00126292j 0.00596353-0.00202282j 0.000474375-0.00596626j 0.00110596+0.00607548j -0.00921323+0.00338345j 0.00021276+0.000477759j -0.000844095+0.00303472j 0.00222771+0.00600763j -0.00614545-0.00371608j 0.000890401+0.00677626j -0.00151751-0.000556409j 0.00229168-0.000498236j -0.00145076-0.00488866j -0.00338641+0.00166579j 0.00362079-0.000742251j -0.00420627+0.00494776j 0.0112159-0.00141604j -0.00114028+0.00344048j -0.00293351+0.00648049j 0.0010887-0.00118644j -0.00193756-0.00765406j 0.00054198-0.00356403j -0.00449819-0.00418382j -0.00427688+0.001872j 0.000671915-0.0021331j 4.76979e-05-0.00447683j 0.00112547+0.00194161j 0.00116086+0.00019388j 0.0103461+0.00494123j -0.00276618+0.000805541j 0.000577333-0.00463069j 0.00446402+0.00127895j 0.000767174+0.00496269j -0.00292192+0.000663822j 0.00597911-0.00508987j -0.00380167+0.00878378j -0.00183971-0.00855372j 0.0016735+0.00985953j 0.000390103+0.00604249j 
-0.000395767-0.00773285j 0.00761754-0.00605544j 0.00741658-0.00151184j -6.63883e-05+0.00185545j 0.0127391-0.00689855j 0.00608423+0.00949747j -0.0155829+0.00379159j 0.00227612+0.00380436j -0.0257494+8.02769e-05j -0.0103947+0.000289068j 0.00463077-0.00675942j -0.0165209+0.00700595j -0.00129841+0.0156106j -0.00170684-0.000577115j 0.0236711+0.0141553j 0.00466969+0.00313686j 0.00501764+0.00145533j 0.00286645+0.00259125j 0.00664038+0.00540459j -0.00690694-0.00788537j 0.00136704-0.00731173j 0.000156929+0.00507362j -0.00739756-0.00685712j 0.00336591+0.00144041j -0.000768999-0.00866092j -0.0126262-0.0122071j 0.00296559+0.015491j -0.00241025+0.00914605j 0.0025598+0.0017493j -0.00312879-0.00557197j 0.00315221+0.00711812j -0.00111617-0.00579216j -0.0019344-0.00797491j -0.00402042+0.0136544j -0.00136038+0.00242193j 0.00925473+0.00533587j -0.0114429+0.0216151j 0.00336564-0.00174713j 0.00401118-0.00207461j 0.00113317-0.00915704j 0.00325009+0.0051409j -0.00209804+0.00431793j -0.00439875+0.00115714j 0.00212295-0.00438026j -0.00180445-0.000642131j 0.000360654-0.00177171j 0.00438052+0.00350687j -0.000920889-0.00482319j 0.00560282-0.00650355j -0.000714679-0.00756111j -0.0012074-0.000397029j -0.00215732-0.00204057j -0.00132811+0.000977889j 0.00494981-0.00162042j 0.00310219-0.00498183j 0.0048389-0.000224879j -0.000498516+0.00802794j 0.00479838-0.00592946j 0.00353975-0.0052303j 0.00153141-0.00109865j -0.00447286-0.00347866j -0.00424187-0.000508803j 0.00565373+0.00322126j 0.00437598+0.00756612j -0.00023388-0.00398437j 0.00295535-0.00255906j -0.000304036-0.00175009j -0.00247925+0.00330464j -0.00468164+2.29966e-05j -0.000570043-0.00224964j 0.00701083+0.00551419j 0.000258477+0.00169829j 0.000540966+0.000618521j 0.00425967+0.00664166j -0.00102318-0.00759044j 0.00485136-0.00370741j 0.00147301-0.00602604j 0.00323515+0.00187985j -0.00860653+0.00528276j -0.00187243+0.00299822j 0.000733237-0.000889565j -0.00323692-0.00212837j -0.0053865-0.00274692j 0.00177152-0.00291444j 0.0018674+0.00229337j 0.00354119+0.00336651j 0.000437106-0.00260622j -0.00235184+0.00241615j -0.00549997+0.0029854j 0.0039791+0.0007633j 0.00465846+0.00312395j 0.00233555+0.00312348j 0.00862488-0.00476477j 0.00216172-0.000441433j -0.00462627-0.000960329j 0.0114852+0.00464388j -0.00205611-0.00488122j 
-0.00708907+0.00732667j -0.00687689+0.00242754j 0.00856565-0.00338258j 4.99557e-05-0.0043341j -0.00210824-0.000920025j 0.0218701-0.0155935j -0.00701059+0.000382494j 0.00860643-0.00299876j -0.0114684+0.0140736j -0.000230244+0.000513582j -0.00680836+0.005093j 0.0194671+0.00884183j 0.0199906-0.00320069j 0.0188808+0.00407114j 0.00378573-2.46286e-05j -0.0121679-0.00579572j -0.00501645+0.00392989j 0.00280439+0.00337407j 0.00215923+0.00527591j 0.00109391-0.0072085j 0.00339759+0.0110053j -0.00508932-0.00494594j 0.00730941-0.00270012j -0.00254332+0.00698478j 0.00300218+0.00187561j 0.0072646-0.0223721j -0.000373902-0.00202602j 0.00221298-0.00642478j -0.00156361+0.00617657j 0.00497535-0.00398825j -0.0139246+0.00656581j -0.000449154-0.0123829j 0.000713766-0.00751091j 0.0014582-0.00979077j -0.0052632+0.0135225j -0.00859242+0.0137008j -0.00384824-0.00430321j -0.00304662+0.00474919j -0.000168892-0.000524173j 0.00272522+0.0094257j -0.00136481+0.00177865j -0.000721991+0.00264386j -0.00137121+0.000715693j 0.00206488-0.00260745j -0.0101881+0.00177702j 0.000652059+0.000150922j -0.00306219+0.00316668j 0.00016991-0.0035545j 0.00244281+0.00464005j 0.00429867+0.000940099j 0.00259849-0.00637342j 0.000985665-0.00556823j 7.36705e-05-0.00772122j 0.00277088+0.00228991j 0.00248754+0.00171199j 0.00121259+0.00545502j -0.00799839+0.00352694j 0.000786551-0.00147108j 0.00263101+0.00103352j -0.00477438-0.00215195j -0.00318552-0.00269082j 0.00651758-0.00459554j 7.2231e-05+0.0111704j -0.00571591+0.000316722j 0.00512937+0.00194815j 0.00234922-0.000285446j -0.000307414+0.00764259j 0.00660418-0.00394024j -0.00115272-0.000478638j 0.000151741-0.00138083j -0.00708926+0.00471633j -0.00256911+0.00339j -0.00313312-0.00401982j -0.000112041+0.00119077j 0.00357879-0.00813045j 0.00500294+0.00358642j 0.00704385+0.00728848j -0.00341271+0.00112261j -0.00692767-0.00490582j -0.00364249+0.00039376j -0.00364957+0.000603142j 0.00624568+0.000422297j -0.000291282-0.00237727j -0.00167915+0.000953137j -0.00106678+0.00266678j 0.000991777+0.00422857j 0.00427471-0.00676349j -0.00161407-5.82483e-05j -0.00668556-0.00573542j -0.00254841-0.00415376j 0.000443753+9.22891e-05j -0.00339788+0.00259076j -0.0042597+0.00397661j 0.00279514+0.00127307j -0.0073297-0.00324097j -0.00393644-0.00060768j 0.00776165+0.00249281j 
0.0045149+0.00210354j -0.00195095-0.00104611j -0.0102831-0.00332933j 0.0149833+0.00820262j -0.0048434+0.000155403j 0.0132345+0.00535028j 0.00367314-0.000275367j -0.00124177-0.0132831j -0.0145958-0.0141131j 0.0201257+0.0186099j -0.0103937-0.0175824j -0.001463-0.0127113j 0.00560824+0.00467653j 0.00474779+0.000912794j -0.005424-0.0016999j 0.00696455+0.00114183j -0.000374142-0.0040347j -0.00133151-0.0003623j -0.0143308-0.00580602j -0.00646959-0.00338781j 0.0047475+0.00749971j 0.00383137+0.00097654j -0.012499-0.0106245j 0.00955033+0.00609824j 0.000611759+0.00544317j -0.0005506-0.00187484j 0.00270507+0.00100683j -0.0101279-0.0160366j 0.00141087-0.00577005j 0.00110712-0.00399449j 0.0144197+0.0189255j 0.00414279+0.00252762j 0.00487087+0.0150776j 0.00745261+0.00948731j -0.000579897+0.00645221j -0.00303569+0.00117067j 0.000446969-0.0059362j -0.002833-0.00300706j -0.00228489+0.00334725j -0.00217994+0.00292399j -0.00375411-0.00193745j -0.00537774-0.00341357j 0.00100634-0.0106202j 0.000927316-0.00368894j 0.0011728+0.00625063j 0.00797146-3.88078e-05j -0.0015608+0.00174305j 0.00162259+0.00229788j 0.00372821-0.00360657j -0.00241624-0.00513152j -0.00452556-0.000856743j -0.000535428+0.00623822j -0.00505861-0.00417029j -0.00569351+0.00570551j -0.00267113-0.00170452j 0.00846001-0.00298487j -0.00453814+0.00479343j -0.00298706-0.00193014j -0.00675558+0.00233882j 0.00664413+0.00875339j -0.00408101-0.0025422j -0.000928832-0.00472194j 0.00405099+0.00198139j -0.00463793-0.00381274j -0.00106066-0.000162058j 0.00131962+0.00558455j 0.00268865+0.000298014j -0.00235954-0.00453063j 0.00386962-0.00162087j -0.000987568-0.00393739j -0.00503767-2.28192e-05j 0.00473101+0.00920473j -0.003597+0.000797538j -0.00499998+0.00497679j -0.00355567+0.000518306j 0.00149739-0.00103001j 0.00288371-0.000217956j 0.00924624+0.00263119j -0.0037506+0.00572481j 0.0036199-0.00454572j -0.00416591+0.00400438j -0.00277076-0.00420125j 0.00217467+0.00105535j 0.00207765+0.00256769j 0.00578089+0.00189439j 0.00638039-0.0060254j 0.000211675+0.00389215j -0.000903074+0.00382707j -0.000446716+0.00198009j -0.00694587+0.00405448j 0.00285338-0.00119564j -0.000857928-0.00157166j -0.000638421+0.00020889j -0.00452768+0.00432434j -0.000535017-0.000195743j -0.00351935+0.000861797j -6.25761e-05+0.00263141j 
-0.0037835+0.00693503j -0.00170471-0.00340908j 0.00646207-0.0108911j -0.0112295+0.0164815j 0.00107118-0.00172242j -0.00256126+0.00691958j -0.00275381+2.4101e-05j 0.0153221-0.00422513j 0.0110108-0.0151718j -0.0179912+0.0202064j 0.0171125-0.00919068j 0.0188635-0.00615469j -0.00309227+0.00398555j 0.00557536+0.00133204j 0.00174697-0.00144912j -0.00453758-0.000387996j 0.0017784+0.00221286j 0.00103203-0.00328468j -0.0020139+0.00967981j -0.00175521+0.00476715j 0.00628919-0.00125512j 0.000280137-0.00524827j -0.00885512+0.0154972j 0.00772783-0.00826286j 0.00422703+0.00177419j -6.29759e-05-0.00437663j 0.00479763-0.00321721j -0.0132877+0.0103696j -0.00756819+0.00207528j -0.00276676+0.00108664j 0.0135238-0.0128289j 0.00139223-0.00722062j 0.012528-0.00636805j 0.0106855-0.0100838j 0.0022096+0.00404514j -0.00204078+0.00473069j -0.00199572-0.00039712j -0.0051653+0.00184417j 0.00085194+0.0015362j 0.00195284+0.00688718j -0.00278684+0.00508728j -0.00390226+0.00571379j -0.0099205-0.00143042j -0.00278249-0.00333762j 0.00272508-0.000962521j 0.000961588-0.00840718j 0.00133689+0.0022619j 0.00237562-0.0041465j -0.00410419-0.00429279j -0.00625567+0.00421948j -0.000374105+0.00319704j 0.0072541-0.000357694j -0.00354447+0.00236166j 0.00637283+0.00592356j -0.00397483+0.00262274j -0.00372768-0.00785623j 0.00422261+0.00488364j -0.00107265+0.00139666j 0.00119741+0.00681632j 0.00783938-0.00827116j -0.00452511+0.00378224j -0.00265667+0.000114789j 0.00190497-0.00334802j -0.00445407+0.00334711j 0.000854177+0.00231926j 0.0050804-0.000716227j -0.00088746-0.000574985j -0.00269651+0.000934888j -0.0027976-0.00330288j -0.00542208+0.00120347j -0.00162567+0.00512426j 0.0105876-0.00231579j 0.0010191+0.000939827j 0.00621819+0.00521537j 0.000904214+0.000486035j -0.000799475-0.000313216j 0.000570309-0.000395359j 0.00376819-0.0104601j 0.00660191+0.00350669j -0.00562094-0.00340433j 0.00281263+0.00394714j -0.00351484+0.00394864j 0.00108855-0.001945j 0.00260957-0.00219203j 0.00354136-0.00434927j -0.00520774-0.00610041j 0.00576205-0.00206349j 0.00457541+0.0015591j 0.000640961-0.00114182j 0.00355073+0.00553665j 0.000882623-0.00430988j -0.00309237+0.00122113j -0.00185124+0.000477098j 0.00481862+0.00608977j -0.00454305-0.000147641j -0.00162728+0.00150034j 0.00478321+0.00301184j 
0.00313383-0.00554195j -0.0109155-4.94649e-05j -0.0104824+0.0074602j -0.00969915+0.0158029j 0.00237673+0.00749863j -0.00162331-0.00711355j -0.0034077+0.0117418j 0.00661917+0.00553151j 0.00120491-0.0103808j 0.000638587-0.0176802j -0.0034572-0.000696743j 0.00185815-0.0127054j 0.0044907+0.0176538j -0.0139958-0.0362405j 0.0276448+0.0158788j 0.00816433-0.0182073j -0.00797258-0.00503472j -0.00225574+0.0182581j -0.00679105-0.0119054j 0.00276149-0.00509464j -0.0111208+0.00104231j -0.00373637-9.24476e-05j 0.00039824+0.00502763j 0.000166603+0.00618959j -0.00798246-0.00393712j -0.00396393+0.00947142j 0.0111885+0.0172117j 0.00798338+0.00419472j 0.00644405+0.000284701j -0.000757784-0.00954865j -0.000186903-0.00263929j -0.000638953+0.00666515j -0.000145273+0.00891552j 0.00257808-0.00538597j 0.00358272+0.000379752j -0.0160619-0.00366683j 0.0289688-0.0128856j -0.00381669+0.0075538j 0.00767343+0.000633794j -0.00131784-9.27459e-05j 0.00733035+0.00333548j 0.000874063+0.00988546j -0.0102864-0.00138469j -0.00172506-0.00887027j -0.00174625+0.00494308j 0.00325658+0.000171234j 0.000859362+0.00678563j -0.00202428+0.00304306j 0.00375844-0.000995463j -0.000804994-0.00216497j -0.000635976-0.000648275j 0.00432317+0.0016428j 0.00243678+0.000206887j 0.00247291+0.00187223j -0.00703704-0.00125454j 0.00233544-0.00191239j -0.00147211-0.00395142j -0.00108852-0.00286576j -0.00472425-0.000747754j -0.00428958-0.00222204j 0.000690006+0.00263681j 0.00539953+0.00432247j 0.00398082+0.0060796j 0.0011399+0.000108587j -0.00228123+0.000789844j -0.000828528-0.00144808j 0.000266542-0.00394168j 0.0022306+0.0058134j -0.00116914+0.000931848j 0.00103014+0.00408876j 0.000847172+0.00304261j -0.00159998+0.00754921j -0.00315711-0.00174708j 0.00241631-0.000898307j -0.00101291-7.36834e-05j -0.00461926+0.00235526j -0.00510301+0.00358865j 0.0031492-0.00374685j 0.0036063+0.000202979j -3.75646e-05+0.0042752j -0.00757152-0.000446227j -0.00165386-0.00203445j -0.00547329+0.00524606j 0.00250467+0.000352867j 0.00706864+0.00264526j 0.00291892+0.00311131j -0.00303977+0.00355519j -0.00343463-0.00422167j 0.00227396+0.000175424j -0.00357827-0.000957261j -0.00323055-0.00584445j 0.0009716+0.00442629j -0.00485718-0.00282085j -0.00278174+0.0100542j -0.0124758-0.00325428j 0.0134861+0.00521523j 0.00790906-0.0169057j 
-0.0097658-0.000755643j 0.00062331+0.0137136j 0.00551472+0.0139333j 0.017645+0.0122761j 0.00379882-0.00339598j -0.00227715-0.00245518j 0.0173157+0.00467115j 0.00497149-0.011891j -0.00500862+0.0046231j -0.0200683+0.00383062j 0.00158822-0.00199163j -0.0156045-0.00509803j 0.0138428-0.00618229j -0.0322735+0.00964064j -0.00579233-0.0310314j -0.0138518-0.0178174j -0.0073142+0.0238907j 0.00545172+0.00636024j -0.00949041+0.00396441j -0.0027083+0.00635994j 6.39827e-05-0.000338266j 0.00324718+0.00989066j -0.006305-0.0149308j -0.00479004-0.00394142j -0.0040009+0.00470523j 0.0160581-0.00564213j 0.00411594-0.00238192j -0.00325857+0.00379441j 0.00423005+0.000577779j 0.00524289+0.00436301j -0.00364468-0.00394971j -0.00164648+0.00916242j 0.00488922+0.00490543j 0.0130482-0.00264939j -0.00724564+0.000563533j -0.0185799+0.0134209j -0.0119307+0.00268736j 0.0137834+0.00247292j 0.00480127-0.0159934j -0.00690393-0.00267196j -0.00198447-0.00181707j 0.00398048+0.00800829j -0.00706621+0.00464989j 0.00214533-0.00104356j -5.45139e-05-0.0033813j -0.00657933+2.66404e-05j -0.00153026-0.00212865j 0.00293181+0.00598053j -0.00417484-0.00513243j -0.0010507+0.00287838j 0.00403609-0.000608265j 0.00222272+0.00373048j -0.00140471+0.00177128j 0.00271461+0.00365454j 0.000276099-0.00327384j 0.00524851+0.00303107j 0.00126435+0.00443203j 0.00273541-0.000576975j 0.000862453-0.00648536j -0.00181402-0.00244491j -0.00156162-0.00215676j -0.00193278+0.0044999j -0.00311369-0.00326076j -0.00171563-0.00146899j -0.000310963-0.0036848j 0.000370542-0.000142717j -0.00228652+0.00342538j -0.000336389+0.00141015j 0.00271494-0.00679161j -0.000529986-0.00384599j -0.00799283+0.00215808j -0.00466776-0.00332357j 0.0042112-0.00331032j 0.0029538-0.000180021j -0.000608989+0.00359115j -0.00349824-0.000444393j -0.00314356-0.00346437j 0.00691092+0.00140589j 0.000288546+0.003842j -0.00265281-0.00396528j 0.00316153+5.36831e-06j 0.00676573+0.000827588j -0.00178806-0.00396249j 0.00356369+0.00173243j -0.00693739+0.00580557j -0.00511113+0.0014253j -0.000464172-0.00339337j 0.00927795-0.00436432j 0.00598044-0.00426083j 0.00247434+0.00213982j 0.00653411-0.00844734j -0.00561018-0.0053938j -0.00602722-0.0035318j -0.00150348-0.00381043j 0.00466083-0.00517971j 0.0121008-0.0197845j -0.0108788-0.0111037j 
