-0.00425245+0.002009j -0.0143176+0.00158899j -0.028278+0.00232244j -0.00360691+0.00207663j 0.0144916-0.00571876j 0.0174654+0.00672765j -0.0169117+0.00753015j -0.0247767+0.00172163j -0.00707105-0.000648805j -0.00926322+0.000503782j 0.0156789-0.0030425j -0.00212003-0.012448j -0.0348014+0.00181729j -0.000267975+0.0053975j -0.00139819+0.00133756j -0.0101294-0.00346078j -0.00655635+0.00318402j -0.0237977-0.00263546j -0.00602736+0.0115736j 0.0118791-0.00817608j -0.0126345+0.00375608j 0.0304602+0.00467204j -0.0083988-0.000139886j 0.00879057-0.0152587j 0.00440501+0.0055021j 0.0113906-0.000119099j -0.0189033-0.00162956j -0.0337272-0.00139604j 0.00635853-0.00744124j -0.0102804-0.00590412j -0.00255287+0.00893238j -0.00366977+0.0081236j 0.0294374+0.00122432j 0.000269873+0.00620354j -0.0402486+0.00553558j 0.00185157-0.00355223j -0.0105713-0.00600741j 0.0408769-0.0135854j 0.00633012-0.0190955j 0.038386-0.00859936j 0.10876+0.00867527j 0.0723249-0.0252049j -0.0322464-0.0384935j -0.0643821+0.0335591j 0.294227+0.0551729j -0.246897+0.119611j -0.119807+0.0108305j -0.12111-0.0267201j 0.0523261-0.0729157j 0.18696-0.0110582j -0.00358128-0.0123336j 0.0259237-0.0015386j 0.04146+0.007547j -0.00381473+0.0309953j -0.0528072-0.0055691j 0.0694379-0.0207823j 0.0136425+0.00184502j 0.0282808-0.00273618j -0.0142799+0.00339332j -0.0241988+0.0019966j -0.0333462-0.00953174j -0.00814253+0.00381506j 0.00187391+0.00407021j -0.0169696+0.0137606j -0.0388549-0.00110464j 0.0245131-0.00361262j -0.0120554+0.00343917j -0.0197497+0.00630134j 0.00483107-0.0117074j -0.0167188+0.000362672j -0.00722041-0.00237472j 0.00531257-0.0124364j 0.0117668-0.0125627j 0.0153721-0.00623402j -0.00843847+0.00170236j 0.00311447-0.000894607j -0.0324645-0.00342123j -0.0048255-0.00603421j -0.00589915+0.00309293j -0.0169556+0.00599036j -0.0185087+0.00523481j -0.000188484+0.00207539j 0.00249958+0.00194936j 0.0107575+0.00743733j -0.0148795-0.00251361j -0.00633523+0.00216537j -0.000319472+0.0107061j 0.0273541-0.0143184j 0.028654+0.0106154j -0.0220217+0.00986304j -0.00274732+0.000977237j -0.00620828-0.0129021j -0.00453856-0.0193315j 0.00723672+0.00805792j -0.000971397+0.0176859j 0.0310736+0.00989855j -0.0855782+0.0160131j -0.275343-0.0047601j 
0.0139351-0.00158281j -0.00463604+0.00217645j -0.00165723+0.00228048j 0.0292322-0.00236016j 0.00318823-0.00521289j 0.01589-0.00822341j 0.0325806+0.00444355j -0.0127023+0.00240077j 0.00986552-0.00116472j -0.00319477+0.00445621j -0.0144462-0.00855233j -0.0337446+0.00423985j -0.0131048+0.00689753j 0.0128131+0.00131919j 0.00897805-0.000686584j -0.00846605+0.00407061j 0.0131719+0.00517956j -0.00805601+0.00916163j 0.0252952+0.00253675j -0.00711817-0.00316747j 0.0194616+0.00503902j 0.0179526-0.0135998j 0.00479848+0.0025105j -0.0375335-0.00105389j 0.0125836-0.00725975j -0.000110745-0.000500567j -0.000461287+0.0109884j -0.0127466+0.00771783j -0.0167724-0.00579536j -0.0149991+0.00960921j 0.0305909+0.000390307j 0.0144517-0.00224312j 0.0106401-0.00556206j 0.00046869-0.00229317j -0.00497484+0.0175903j -0.0113369-0.00145281j -0.0352971+0.00485104j 0.00106188-0.0192498j -0.0183144+0.00722019j -0.00198942+0.00823756j 0.0560613-0.0224107j -0.106648-0.00818526j -0.0603059+0.0303805j 0.0665382+0.0389035j 0.244594-0.113527j 0.313207+0.0523051j -0.0234976+0.0480625j -0.0819455+0.0509612j -0.218878-0.00120036j 0.0357513-0.0597696j -0.0383082+0.00910965j 0.000200301-0.0103238j 0.0156737-0.0187924j 0.0924709-0.00514151j -0.0316065+0.0176151j -0.0303954-0.0179406j 0.00990989-0.00617589j 0.00282269-0.0101246j 0.00511059+0.00734411j -0.00109435+0.00868673j -0.032418+0.0121419j 0.0170093+0.00172561j 0.00856791-0.00493582j 0.0364562+0.00286843j -0.0104239+0.0157775j -0.0106101-0.00669873j 0.0074051+0.00172238j 0.0123491+0.00692313j -0.0289649+0.00365561j 0.00190612+0.00815356j -0.0139233+0.00290929j -0.0260837+0.00267725j -0.0325229-0.00161139j -0.00833249-0.00394043j -0.00172981+0.00171283j 0.00124944-0.00165504j -0.0180437+0.0124533j -0.02397+0.00324584j 0.010942+0.00217038j 0.0139076+0.00634988j 0.011433+0.00369299j 3.2462e-05+0.00241807j 0.00869095-0.00230411j 0.0193048-0.00274307j -0.00252586+0.0100246j 0.00501458+0.00531391j 0.0241249-0.00375284j -0.0160099-0.010534j 0.0300641-0.0174013j 0.0185759+0.00455976j 0.0109723+0.00227579j -0.00350168+0.00706992j -0.00641314-0.0153388j -0.011445-0.0219507j -0.0246852-0.0096753j -0.00253688+0.0139425j -0.274557-0.00482057j 0.0860249-0.0156672j 
0.00145612+0.00276668j 0.0129666-0.00309659j 0.00788706-0.00252935j -0.0071143-0.00119954j 0.00720498+0.000696186j -0.0132817+0.0125374j -0.0110566-0.00360359j 0.0101722-0.00690021j 0.000943481-0.00924438j -0.000247224-0.00464306j 0.012457+0.00487536j 0.0191444-0.00061512j 0.0178823-0.0102555j -0.0143452+0.000114957j -0.005+0.00149875j 0.00010641-0.00356534j -0.0154524-0.00372673j 0.00826404-0.0131203j -0.0212649+0.00639097j 0.00330716-0.00796539j -0.0200395-0.00747291j -0.00586556+0.00491052j -0.000272816-0.0100045j 0.0212936+0.00879617j 0.0113653+0.00333038j -0.0111877+0.00580936j -0.0185809-0.00411031j 0.0434292-0.0222932j 0.0245107+0.00194377j -0.00140409-0.0018928j -0.0239871-0.00406224j 0.00547906-0.00274712j -0.0359072+0.000331618j 0.012636-0.00312997j 0.0232846+0.00226427j 0.00228813+0.0160989j 0.0422076-0.00545597j -0.0348017-0.026908j 0.00307705-0.041022j -0.131631+0.0301457j -0.16973+0.0466062j -0.0169673+0.129746j -0.184121+0.00715613j -0.0607166+0.0902333j 0.0120711+0.00147092j 0.012931+0.0207325j -0.016119+0.0168731j -0.032949-0.0231066j 0.0219909-0.00671874j -0.0527111+0.0171828j -0.0233806+0.0147981j 0.0257703-0.00275514j 0.0321222+0.00578746j -0.0123884-0.000408039j 0.0274328-0.0119085j -0.0286068+0.00688046j -0.00495135+0.000444639j -0.00959196-0.00115869j -0.0070628+0.00202524j 0.00211883-0.00712282j 0.0117953-0.00609241j -0.0160842+0.00188575j 0.0303908-0.0157882j -0.00981169+0.00150423j -0.00568208+0.00174908j -0.000347919+0.00800683j 0.0172175-0.00845166j 0.00272156-0.00552578j -0.0213059+0.00756024j -0.00922648+0.00236773j 0.0134143+0.000844636j -0.0152046+0.00133238j -0.0092186+0.0106692j -0.0146041+0.00181873j 0.0125163-0.00310092j 0.00827715+0.000385073j 0.0187752-0.00491879j -0.00117865-0.000134227j -0.00781262+0.0125833j 0.00510257-0.00114664j -0.00326083-0.00756733j -0.00857158+0.00640667j -0.0019405-0.0153618j 0.00288608-0.00574173j -0.00777925+0.00130679j -0.00652608-0.00438805j 0.0151032+0.00602886j 0.0147899+0.0022121j 0.0267752-0.0095772j -0.0125541-0.0025101j -0.00359066-0.032435j -0.0261503-0.0143939j -0.00878776-0.00383389j -0.0431752-0.0112879j 0.0105016-0.0142391j -0.126838-0.00357893j 0.0157047-0.00402026j 0.0335277+0.000590115j 
-0.0125272+0.0030819j 0.00351765+0.00218911j -0.0149759-0.00259919j -0.00718002-0.00180948j 0.00826348-0.0099679j 0.00752702+0.00190955j -0.026505+0.0126391j 0.000866919-0.00480752j -0.0111209-0.00737815j 0.00317701+0.00295461j 0.0249795-0.00665263j 0.00217558-0.0107655j 0.00637898-0.00120392j -0.000202357+0.00658875j -0.0118726-0.00400504j -0.00998896-0.00711405j -0.0223248+0.0105112j -0.0153856-0.00160846j -0.00450501+0.0144598j -0.0113896-0.00510967j -0.0225678-0.00139495j 0.014895+0.0075448j -0.00658182-0.00320433j 0.00506669-0.0168075j 0.0112144-0.00138121j 0.00120578+0.00604458j -0.0295668-0.0104253j 0.00741003+0.000357856j 0.0119284-0.00133819j -0.0124076+0.00958407j -0.0129811-0.00265538j 0.00541672+0.0107215j -0.00276219+0.0135085j 0.0117026+0.0128627j 0.000172851-0.0105098j 0.00823674+0.00123878j 0.0477198+0.0450974j 0.0146453-0.0472782j -0.0136283+0.0292119j -0.0287179+0.00410159j 0.0141363+0.117827j 0.19497-0.0613248j -0.0288707+0.0831657j 0.130945+0.00792656j -0.0291038-0.021453j -0.0169322-0.0034789j 0.0372401+0.026601j -0.0401206+0.0195583j 0.0323134-0.0214869j -0.0174365+0.00559039j 0.0181034+0.00733356j 0.00505676-0.0100831j 0.034917-0.007537j -0.0106299+0.00983454j -0.000420437-0.00652551j 0.000438256+0.00293346j -0.00291823+0.00117363j -0.00162696+0.00522535j 0.00364578+0.00797646j -0.00949072+0.00173551j -0.00246638-0.00829872j -0.00426768-0.00476229j -0.0134919-0.00381663j -0.00606495+0.00400993j 0.000530223+0.00151076j 0.0179311+0.0016999j -0.00846859-0.00229059j -0.000474959-0.00225911j 0.0111561+0.00201156j 0.0157295-6.45691e-05j 0.0107249-0.00468776j 0.00643709-0.00222043j 0.0213796-0.000702786j 0.000148348-0.00241463j 0.00313056-0.00375564j 0.000662872-0.00734651j -0.0019926-0.00562966j 0.00485012+0.00874732j 0.0153916+0.00408794j -0.00276796-0.0064087j -0.0122308+0.00247644j 0.0122064+0.00334547j -0.0329062+0.00800342j -7.32105e-05+0.00362714j 0.0205832-0.00426203j 0.00172577-0.00545422j 0.0263646+0.00357759j -0.0334146-0.0102133j 0.00957121-0.00147826j -0.00196897-0.0273353j 0.0261324+0.0152306j 0.0155248-0.00668126j 0.00871744+0.0033862j 0.010213+0.0011003j 0.0931788+0.00151024j 0.0100665-0.00652297j 0.0471653+0.00204356j -0.0288896+0.00355057j 
-0.00190767+0.00215394j 0.00875272+0.000605541j 0.0124559+0.00687948j -0.0203915+0.00499466j -0.00998745+0.0057867j -0.00777068+0.0130205j -0.00362678-0.00581002j 0.00542837+0.00553663j -0.000425813+0.0108041j -0.00277716-0.00012076j -0.00144551+0.00967871j 0.0153822-0.00318452j -0.00653921+0.00274663j -0.00428111-0.00618306j 0.00103648+0.0117391j 0.00548789-0.00642329j 0.00221025-0.0146315j 0.0112195+0.00958363j -0.0111997-0.00867886j 0.00654027+0.00260136j -0.00341256+0.00914532j -0.0138716+0.00311653j -0.00076802+0.00503718j 0.0174743-0.0101322j -0.0175234+0.00922348j 0.00613782-0.0211596j 0.0174801+0.00702236j -0.00482024+0.012832j -0.00548706-0.000407158j 0.0105155-0.0417884j 0.0110177+0.00977646j -0.00764852-0.0168122j -0.0039876-0.00434023j -0.0215579-0.00230474j 0.0148169-0.0223515j -0.00983586+0.0491683j -0.0486538-0.0258858j -0.00762535+0.0125717j 0.080681+0.0092221j 0.0715933-0.0781248j -0.0345479+0.0138419j -0.00917028+0.0128496j 0.0330806+0.0012286j 0.0253181+0.00573793j -0.0599547-0.0109418j 0.0151177+0.0459739j 0.0054292+0.00167569j 0.0574253-0.0197348j 0.0129444-0.00681915j -0.0138018-0.0110288j 0.0137151-0.00845125j -0.00872529+0.00207953j -0.0295157+0.00636597j -0.00914006+0.000487354j 0.00919462+0.00273274j -0.00299288-0.00517261j -0.0134252+0.00538476j -0.0091347-0.00110544j 0.00106934-0.00816044j -0.0051208+0.00148455j 0.00304598+0.00582659j 0.0136173+0.00451126j -0.000907384+0.00376455j 0.00483629+0.00113253j 0.0108837-0.00232616j -0.0161019-0.00099629j 0.000818038+0.00429161j 0.00256632+0.0019799j 0.00754729-0.00734425j -0.00249844+0.00114871j -0.0100912+0.00210664j 0.00626143-0.000162765j -0.00998704+0.000549076j 0.0135428+0.0072132j -0.022947+0.00197181j -0.00304672+0.00327318j -0.00444287+0.00502712j -0.0100624-0.00264093j -0.0151511-0.00468079j 0.00399437-0.00429035j -0.00481317+0.00841745j -0.0225017-0.0160341j -0.046864+0.00463426j 0.00931788-0.00717571j -0.0149386-0.0104584j -0.0163607-0.00382402j 0.0101822+0.00371876j -0.0129136-0.00836621j 0.0101903-0.00244767j -0.0101925+0.00292689j 0.012721+0.00357668j 0.0174338+0.00744118j 0.0183492+0.00473052j 0.00734216-0.00360817j -0.0148697+0.00790496j 0.0112813+0.00574678j 0.0624284-0.000369844j 0.0436753+0.00531208j 
-0.0060652-0.00347603j -0.0114508+0.00241504j -0.0166529+0.00374869j -0.00540041-0.00409858j 0.00523995-0.0059522j 0.00965163+0.00354364j 0.0020459-0.00144442j -0.021183+0.00383161j -0.00042585-0.00236043j -0.00696256-4.23758e-05j 0.00165779-0.00296305j -0.00219975+0.00603824j -0.0232534+0.0087477j -0.00083032+0.00271684j 0.00293361+0.00914359j -0.00601486+0.0127536j 0.00666713+0.000299055j -0.0061986-0.00322348j -0.000862228+0.0169422j 0.0131924-0.00658509j 0.00670743+0.00444368j 0.0107737-0.0119926j -0.00722529-0.0201581j -0.000316785+0.00255502j 0.00417299+0.0117784j 0.00153489-0.00843307j 0.00189822-0.0173788j -0.013568-0.0278553j 0.00592043+0.0101309j -0.00808517-0.0184826j 0.00533482-0.0308732j -0.010109-0.0326676j 0.00737323-0.0188598j -0.0179081-0.0330708j -0.0389076+0.0606551j 0.0055016+0.0156393j -0.00128533-0.0715139j 0.0811274-0.00930983j 0.0246385-0.0492659j -0.0139789-0.00471069j -0.0279284-0.000956687j 0.00330783+0.0173545j 0.0190146+0.0117083j -0.0393145-0.0181959j 0.0302126-0.0391745j -0.0716509-0.0256272j -0.0435161+0.0113501j -0.00734229+0.00729941j 0.0314231+0.0180336j 0.0367848-0.00834751j -0.00725512+0.00754384j 0.00634271+0.000118994j 0.00505195-0.00584781j -0.00679036-0.00651704j -0.00684578+0.00146824j 0.0130951-0.00649464j 0.00163475-0.000312332j 0.0109187-0.00970326j -0.00800274-0.00262158j 0.00122572-0.00179974j 0.00868284-0.00211337j 0.00306063+0.0009027j 0.00719938-0.00101575j -0.017264+0.00666517j -0.0185953+0.00252655j -0.0143747+0.00286046j -0.00686472+0.000639421j -0.0139706+0.003208j -0.00299066-0.0015321j -0.000211361-0.0100259j -0.00737298+0.00285162j -0.000594072-0.00276531j -0.00193852+0.00876662j 0.00184147+0.00479079j -0.00935441+0.00647497j -4.94595e-05+0.00476831j 0.0320386-0.00514077j 0.014935-0.0058132j 0.00920008-0.00168998j 0.0155301+0.00374469j 0.0231283+0.000236668j 0.00751858+0.00110011j -0.0156245-0.00911979j 0.0109265-0.00426397j -0.0215857-0.00977362j -0.0064897+0.0097243j -0.0227358-0.0173265j -0.0215867-0.0032114j 0.00970904+0.000558309j 0.0108066-0.00161808j 0.00887717+0.00385664j -0.0194091-0.00556836j 0.0154247+0.0084066j 0.0105235-0.000382637j -0.00862164-0.0101637j -0.00186294+0.0025714j 0.00436518+0.00597873j -0.0889407-0.0030922j 
-0.0143287+0.00277624j 0.00700443+0.00355146j -0.00590757-0.000231999j -0.0113374-7.85498e-05j 0.00346033-0.00494631j 0.00533889+0.00409231j -0.029351+0.00190406j 0.00111363+0.00273642j -0.0115605+0.00203764j 0.0024144+0.00987708j 0.0191534+0.00156016j 0.0160913-0.00938213j -0.000407198+0.00129023j 0.000827236+0.00636551j -0.0117303+0.000170643j -0.000446853-0.00640615j -0.0180307-0.00539358j -0.00439032+0.00672991j -0.00888296-0.00127941j -0.0051933-0.00119582j -0.0211599+0.00589191j -0.00101815+0.00235124j -0.00862813-0.00176814j 0.0193151-0.00984215j -0.00367704-0.0107263j 0.00285453-0.00518412j -0.00264998+0.00962505j 0.0167635+0.00596652j 0.00647772+0.0062652j 0.0139239-0.0224679j -0.0165287-0.00822521j -0.00412458-0.00876306j -0.00973051+0.0347777j -0.00699307+0.0442721j 0.0386721+0.0263872j 0.00385806-0.0553488j 0.0322967+0.0165116j -0.00428847+0.0688787j 0.0434527-0.0207955j -0.0210955+0.0611136j 0.00223832-0.0236664j -0.0119292-0.00794288j 0.0112158+0.0234372j 0.000185187+0.0211301j -0.0531037-0.0341751j -0.0677836+0.0261194j 0.0141633+0.0162035j 0.0230372+0.0111389j 0.0481167-0.00908916j -0.0175608-0.0113657j 0.0148718-0.00421406j -0.00074084-0.0071166j 0.00456003-0.00232872j -0.0134589+0.00131351j 0.0169961-0.00433192j 0.00119448+0.000631919j 0.0026924-0.000259291j -0.00191075+0.0079409j 0.00522322+0.0010801j -0.00424786+0.00264626j -0.00298838+0.00515996j -0.00780505-0.000308416j 0.00916985-0.00255777j -0.00398139-0.00133518j 0.00425741-0.00115278j -0.00431308-4.03587e-05j 0.00405979-0.00243128j 0.00423141-0.00195632j -0.000750458+0.00125739j -4.76354e-05+0.00329313j 0.00468478-0.00333553j -0.00320689+0.00115323j -0.00446428+0.00620851j 0.00357867-0.00316765j -0.0249935+0.0044407j -0.00968423-0.000296247j -0.0135581+0.00291944j 0.00191825+0.00621876j 0.0203894-0.00690338j -0.0244045-0.00904811j 0.0335295+0.00194652j 0.00811514+0.000438719j 0.0186369-0.00895836j 0.00997387+0.00828695j -0.00918602+0.00768297j 0.00958251+0.00033957j -0.00987415+0.005934j 0.00341823-0.000656863j 0.00700687-0.00813944j 0.0221866+0.00560169j -0.0245255-0.0102371j -0.00143453-0.00224322j 0.017013+0.000139962j -0.027625-0.0130769j 0.00733413-0.00330885j -0.0180414+0.00979317j 0.0839427+0.00438127j -0.0234981+0.00441062j 
0.00326003+0.00567832j 0.015055-0.00289365j 0.00990307-0.0028285j 0.00520919+0.00200515j -0.00351079-0.00196878j -0.00658295+0.0101448j 0.0135516+0.00586375j 0.00835275-0.00981323j 0.00258066-0.00259322j 0.00136836+0.0030929j 0.0013627-0.00712899j 0.00266575+0.00463067j 0.0174925-0.00650933j -0.000646585-0.000595768j -0.00748505+0.0133352j -0.00791707-0.00121863j -0.00502636+0.0115343j 0.00464548-0.000228551j 0.00547984+0.0300643j -0.0244333-0.0115328j -0.0127706-0.00698523j -0.00867185-0.00846871j -0.00287008-0.0181715j -0.0059042-0.00768617j 0.014606+0.0249792j -0.00414765-0.0185017j -0.00374988-0.0149694j 0.0194609-0.0198846j -0.00296062+0.0275613j -0.0207137+0.0072506j 0.0188991-0.0149486j 0.0165315+0.00865357j -0.02683+0.0370081j 0.010249+0.00880674j 0.0015749+0.0401163j 0.00892956+0.0546673j -0.0165572+0.000675188j 0.0345809+0.020699j 0.0192526-0.0679705j -0.0221117-0.0225232j -0.0178457+0.0183115j -0.00163936-0.009978j -0.0199227-0.0246363j 0.0434222-0.00923292j -0.0011707+0.0465188j 0.117118+0.0125189j 0.0134429-0.00168427j -0.00296538-0.0286589j -0.0400969-0.0201997j -0.0384466+0.0193691j -0.000585442-0.00365581j -0.00900216-0.000835391j 0.0170656-0.000593856j 0.0171419+0.00615712j 0.00717986-0.00596325j -0.0240434-0.00195682j -0.0108317+0.00660902j 0.00142577-0.00399165j -0.0117838+0.00259483j -0.00931813-0.000940658j 0.00875312-0.00937255j 0.0247988-0.0035419j 0.0119573-0.00625199j -0.00050184+0.00616229j -0.0101066-0.000471807j -0.00590526+0.00274927j 0.00967751-0.00637043j -0.0115158+4.4097e-05j 0.00256268-0.00231714j 0.00861417-0.00681186j -0.0206179+0.00360032j 0.0195058-0.0147376j 0.00424825+0.00196886j 0.0364841+0.00353199j -0.0168083-0.000471068j 0.00161484-0.00241599j -0.0104582-0.000376609j 0.0173016-0.00197326j 0.0206565-0.00415027j -0.00144181-0.00203422j 0.0145578-0.000835567j 0.0261736-0.000267142j -0.0266363-0.0143871j 0.0259671+0.00234314j 0.0105428-0.00730471j -0.00149481-0.00234631j -0.0258351+0.00315481j -0.0144954-0.0123742j -0.00497055+0.00670845j 0.00813204+0.00232041j 0.00296083-0.00138767j -0.0111324-0.00674538j -0.0213426+0.00155824j 0.0189238+0.00924453j 0.0105033+0.0115663j -0.0130696-0.00642712j -0.0380959-0.00893179j 0.0944004+0.00252546j 
0.0127935-0.000208536j 0.0014761-0.00539886j 0.00319242-0.00620989j 0.0173368+6.42762e-05j 0.00069876+0.00293305j 0.00769505-0.000127186j 0.00933663-0.00433711j -0.00146429-0.00287797j 0.00366556-0.00325118j 0.000945899+0.00216168j -0.0103668-0.00267329j -0.0115472-0.00936197j 0.00107232-0.011598j 0.0033345+0.00447959j 0.00492085-0.00505479j 0.000698265-0.00456635j 0.00039954-0.00116084j -0.00977479-0.0142421j 0.00874864-0.0102036j -0.00646182-2.94943e-05j -0.0066123-0.000139529j 0.0131471+0.0134781j -0.00413398-0.00139233j 0.00150016+0.00609465j 0.0150138-0.0055518j 0.000602823+0.0271881j -0.0116351+0.0269092j 0.0069761+0.0215898j 0.00660782+0.0179266j -0.0071286-0.0422957j -0.0116438+0.0118043j 0.0128499-0.0704581j -0.00372818-0.00251827j 0.0038968+0.0724466j -0.00676012+0.00510528j -0.0145144-0.0504011j 0.0222253-0.0170829j -0.012414+0.0560944j 0.0166277+0.00667673j 0.0011536-0.0240185j 0.0107034+0.00477607j -0.0111361+0.00331374j -0.0470143+0.00511706j 0.0166621-0.0218628j 0.0927101+0.0334079j 0.0470814-0.0362543j -0.0122432-0.0210959j -0.0349627-0.0122229j -0.0494234+0.0135087j 0.0175492+0.0171713j -0.0076687-0.0030257j 0.0114173-0.0016916j 0.0181027+0.00634955j 0.0122143+0.00351709j 0.00108192-0.00869049j 0.000726721+0.00643804j -0.000824743-0.00141218j 0.00305202+0.00821308j 0.00895054-0.00194375j -0.00465951-0.00361639j -0.0036076-0.0012078j -0.010014+0.00311512j 0.00416553+0.00106871j -0.000422051-0.0037226j 0.00730547-0.00311623j 0.00455198+0.00394562j 0.018056-0.00227782j -0.0032726-0.00156159j -6.94175e-05+0.00178512j -0.00371675+0.000988389j 0.0142874-0.00940693j 0.0279022-0.00056291j -0.0165757+0.00445039j -0.0254789-0.00585091j -0.0272654+0.00523377j -0.0187858+0.00760446j -0.00490356-0.00526825j -0.0120798-0.00307583j 0.00170474-0.000132553j -0.00603641-0.00688348j -0.00199018+0.00141823j -0.0204696-0.00288763j -0.033288-0.0010479j 0.00158429-0.00249603j -0.0175673-0.00194195j 0.0209756-8.97982e-05j -0.002127+0.0011423j -0.017315+0.00324135j 0.00362469+0.00885348j -0.0166894-0.00913701j -0.00291689-0.00112316j -0.00990181+0.00104311j 0.00400729+0.00691581j 0.0146688+0.00766426j 0.00408154-0.00151009j -0.00422612-0.0128272j -0.0963078-0.00570429j 0.00514857-0.00655046j 
0.00763203-0.00385889j -0.00625631-0.00344586j -0.0117713-0.00228816j 0.00701554-0.00509459j 0.00788288+0.00306718j 0.0197533+0.0119222j 0.00629357-0.0119025j -0.0134348-0.00351335j 0.00815973-0.000826758j -0.00612757+0.0105455j 0.0102594+0.0110973j -0.00683503+0.00641063j -0.0183975-0.00845194j -0.00134166-0.0127724j 0.00187603+0.0122003j -0.00502891-0.0167494j -0.00230643-0.00509255j -0.0108064+0.00442198j -0.015017-0.00648981j 0.00308944+0.00688633j -0.0154178+0.00684481j 0.00491071-0.00408544j -0.00361185-0.0340353j 0.0274291+0.0114071j 0.00447349+0.000361266j 0.00425434-0.0170137j -0.0018458+0.0106782j 0.00532918+0.00615647j 0.0131618-0.0101958j 0.00652174+0.0247653j -0.00283165+0.0316245j -0.000543661+0.0426448j -0.036672+0.00368866j -0.0170962+0.00436301j 0.0162876-0.0540039j -0.018312+0.0652804j -0.0210572+0.0209153j -0.019378+0.0486678j 0.0254522+0.0472307j -0.00651376-0.00895426j 0.00476985-0.00137752j -0.00327435+0.0123034j -0.0438916+0.0235014j -0.0404179-0.0164429j 0.1129-0.0239854j -0.0605731-0.0490185j -0.0495227-0.00813367j -0.0298035-0.00485026j 0.00760284+0.032503j 0.0438028+0.014405j 0.00832703-0.002669j 0.020279-0.00761555j 0.0125211+0.00234078j 0.00571695-0.0136527j -0.00411922+0.00356858j -0.00252695+0.0122512j -0.0161781+0.00634979j -0.0163772+0.00777408j -0.00232817-0.00699541j -0.0132721-0.00246754j -0.00790936+0.00300508j -0.0076967+0.00493384j 0.0153835-0.00130457j 0.00198731-0.00204288j 0.0109701-0.00206714j -0.0170409+0.00753411j 0.0172622+0.000934022j -0.00124203-0.00833046j -0.0190851+0.00545641j -0.00979245+0.00215412j -0.0118951+0.00502375j 0.00923489+0.00365568j 0.00186371-8.3033e-05j 0.014936+0.00793257j 0.0111719-0.00370639j -0.015047-0.00360462j -0.0262977+0.00418498j 0.00469263+0.00134589j -0.0129176-0.00129633j -0.00644019-0.00503039j -0.0177755-0.001894j 0.00570685-0.00896641j -0.0123687-0.00224184j 0.00317828-0.00463195j 0.00337582+0.000620631j -0.0124457-0.0115311j 0.0279069+0.00955432j -0.00323048+0.0114224j -0.0188618-0.00947391j 0.0189416+0.000255656j -0.00591256-0.00357517j -0.00997964+0.00771433j 0.0343187+0.00997426j 0.00735498-0.00277084j -0.00470014-0.0153537j -0.0209243-0.00646113j -0.0619607+0.00233944j -0.0880887-0.00955516j 
-0.00602717-6.69423e-05j -0.00110912+0.00283923j -0.00153891+0.00587019j -0.0125571-0.000342366j -0.000282137-0.000527433j -0.0049584+0.0026566j 0.000484091+0.000827508j 8.47352e-05+0.00265384j 0.00435212+0.00153581j -0.000837172+0.00198941j -0.000693872+0.000388194j 0.00600421+0.00484169j -0.0041906+0.00575473j -0.00387193-0.00703962j 0.00408297+0.013013j 0.00076177+0.00310963j 0.00204196-0.00446624j 0.00515588+0.0134583j -7.63024e-05+0.00137533j 0.00603312-0.00367498j 0.00473704+0.00526963j -0.00919232-0.014835j 0.00289172-0.0138612j 0.00023863-0.01858j -0.010713+0.0354914j 0.00421914+0.0398232j 0.0134652-0.010599j -0.00973077-0.0155302j -0.011471+0.0467702j -0.00478581+0.0416941j 0.00836327+0.0545454j 0.00402111-0.0688828j -0.00789123-0.0318491j -0.00687388+0.0550364j -0.0153663+0.0187307j -0.0148042+0.0192242j -0.00351151+0.000107753j 0.00368929-0.0158781j 0.00352943-0.00488728j 0.00205656+0.00550623j -0.0100259+0.00141772j 0.00329695-0.000605458j 0.0304997-0.00867824j -0.0105851+0.00891295j -0.05041-0.0164987j -0.0163682+0.0212175j 0.00311002+0.0102695j 0.0253372+0.00257582j 0.0193378-0.00589979j -0.00724193-0.0104061j 0.00617431+0.00120178j -0.00193084-0.00234661j -0.00870707-0.00340958j -0.00807797-0.00040178j -0.000466532+0.00581173j -0.00055871-0.00491479j -0.00851544+0.00326615j -0.000419221-0.00625071j -0.0013741-0.00249728j 0.00259522+0.000785305j 0.00278505+0.00196535j 0.0112334+0.00249263j -0.00543607+0.00243304j 0.00842941+0.00157219j -0.0129523+0.00541057j -0.00847629-0.000622467j 0.00102436+0.00156095j -0.00745249+0.00614107j -0.0433184+0.00656031j -5.54902e-05-0.00144689j 0.0197657-0.00212534j 0.0425414-0.00938819j 0.00918046-0.00333769j -0.0166367+0.0021706j 0.0026709-4.84205e-05j -0.0279279-0.00661905j -0.0246895-0.000379419j 0.0240091-0.00288746j -0.00834485-0.00355208j 0.036195+0.00321824j -0.0213649-0.00674141j -0.00915765+0.0010749j -0.00878037-0.00206463j -0.0296899-0.0134765j 0.0193508+0.00638992j 0.00726557+0.00289045j 0.0103992+0.00227028j 0.00271823-0.00837438j 0.0137601+0.00278553j 0.00854609+0.00536902j 0.00387048+0.000488587j 0.00549828-0.000108215j -0.00179995-0.0026628j -0.00215321-0.00366803j -0.00794885+0.00210278j 0.00418276+0.00700811j 0.0477836+0.00268701j 0.00343732+0.00373349j 
