-0.0242103-0.00589183j -0.0178576-0.00145758j -0.0112009-0.00155489j 0.00401932+0.0120725j -0.0466839-0.00214402j 0.011078-0.000272158j -0.0318556+0.00684744j 0.000476581+0.0180923j 0.0230779+0.00502821j -0.00225334+0.0100358j 0.00660415-0.00793729j -0.00209912+0.000947458j 0.00703506-0.0418115j -0.0189762-0.00981574j 0.025816-0.0114379j 0.0380459+0.0113726j -0.0234627+0.0288135j -0.00455727+0.0170106j -0.00143768-0.00840161j -0.000689236+0.0364265j -0.00956832-0.0135468j -0.0136227+0.0256534j 0.0445994+0.00292344j 0.018861+0.0100028j 0.0358289+0.00980865j -7.67345e-06-0.000678486j 0.0161896+0.0359564j 0.000503868-0.0301409j 0.0653531+0.0682204j -0.105069-0.191465j 0.130344-0.00718504j 0.00645006-0.073039j 0.151507+0.0238529j 0.45676-0.0482435j 
-0.0212397-0.00136819j 0.0218902+0.00623691j -0.00789276+0.00542376j 0.0303919+0.00214858j 0.0037053+0.0194982j 0.00333101-0.00247794j 0.0282721+0.013295j 0.0586499+0.0136209j 0.00884933+0.00212711j -0.00667536-0.0113563j -0.0332988+0.000953054j 0.00520724+0.0235377j 0.00967073-0.00651121j -0.0146763-0.0191371j -0.0177535+0.025876j -0.0213957+0.0114842j -0.0124851-0.0412465j -0.0589115+0.013286j -0.020603+0.00507195j -0.0622283+0.000861477j 0.0168762-0.0197098j -0.0106118+0.00220548j 0.0362065+0.0543626j 0.0116536+0.0251519j 0.0250117+0.0183144j 0.0354543+0.00366167j 0.0278747+0.029097j 0.0132615-0.0169932j 0.0359749+0.0467068j -0.102649+0.0504133j -0.0916454-0.203738j -0.0137296-0.0390673j -0.460512+0.0405346j 0.142097+0.0270965j 
-0.0138033-0.00219555j 0.0552526+0.00932212j 0.0435085+0.0140341j 0.03705+4.50276e-05j 0.0326132+0.0240685j -0.0193365-0.00425101j 0.0692138+0.0169301j -0.00306014+0.0167009j 0.0143623+0.0333883j -0.00384149-0.0341802j -0.0713889-0.0342856j -0.000725758+0.024726j -0.0125107-0.00772765j -0.0108955-0.026713j -0.0499562-0.00432554j -0.0632893+0.0432389j -0.00721943-0.00937388j -0.0254896-0.0322848j -0.0478998+0.0120382j 0.00528183-0.0569882j 0.00303602-0.020849j 0.0120057+0.0249831j 0.0564891+0.0690914j 0.0267004+0.0433165j 0.0246957-0.0552601j 0.0421622+0.0849439j 0.105843+0.111635j -0.102815-0.182093j 0.0901582+0.0929863j -0.121377+0.184822j -0.0309212+0.157856j 0.503539-0.0251108j 0.0762133-0.0314257j -0.000459789-0.00613313j 
-0.0901519-0.0126043j -0.0534543-0.0156448j -0.0450647-0.0267473j 0.032066+0.0177606j -0.0729144+0.010168j 0.0261982-0.00479573j -0.00567037+0.0111936j -0.0762208-0.0242551j 0.00951538-0.0316126j 0.0197057+0.0470665j 0.031092+0.0516148j -3.20658e-05-0.000791187j 0.0471212-0.0630417j -0.0720526-0.0204782j -0.0356126+0.0392169j -0.0251181+0.0256706j 0.0645669+0.0798239j 0.0160839+0.0187305j 0.055224+0.0140541j -0.067133-0.0197513j -0.000701235+0.0297576j 0.0383479+0.00288584j -0.0935981-0.0468141j -0.0603994-0.0778896j 0.06232+0.276267j -0.125453-0.0957609j -0.14509+0.166345j 0.113623-0.089399j 0.37474-0.0517879j 0.0917592+0.100358j 0.016507-0.183334j -0.0389877-0.0104643j -0.0858343+0.0261814j -0.0108713+0.0539968j 
-0.0100751-0.0143199j 0.0549371-0.00474784j 0.0601317+0.0118571j 0.0179118+0.00111805j 0.00227505+0.0327667j -0.017981-0.01109j 0.00903471+0.0411937j -0.00243785-0.0428997j -0.0136774+0.00772159j 0.00907118-0.00640688j -0.0722569-0.0248111j 0.0105702+0.0184156j -0.0438952-0.0116956j -0.0127558-0.0502746j -0.077948-0.0544722j -0.0138789+0.0258118j 0.0785547+0.0492547j 0.00297956-0.0761767j 0.0203458+0.0405117j -0.050315-0.108899j -0.00661621+0.00121121j 0.038807+0.0376815j 0.00947934+0.0880036j 0.0306618-0.0232707j 0.133821+0.082198j 0.0305011-0.194592j 0.00655988-0.0237299j 0.235546-0.119149j 0.153554-0.167875j 0.152523+0.193961j 0.0384427+0.438725j 0.104472+0.0938024j 0.262482-0.148204j -0.31881-0.0305537j 
-0.00222338-0.0013624j -0.0446476-0.00327384j -0.0661631-0.013096j -0.0153937-0.00557936j -0.0156065-0.0204288j 0.0319555-0.0300334j -0.0372434-0.0705375j -0.0122295+0.0257993j -0.0287166+0.0349048j 0.0134709+0.00513401j 0.0725066+0.012367j 0.00499738-0.0203484j 0.0369274-0.0159972j -0.0388791+0.0436001j 0.0177537+0.00484191j -0.0293582-0.00181374j -0.0203288+0.0547308j 0.0400091+0.0500611j -0.00414482+0.00301591j 0.012347-0.0127058j 0.00186565+0.00805448j 0.00870705-0.0636309j -0.0497392-0.111739j -0.192415-0.370189j 0.0113965-0.0694883j 0.0583639+0.22278j -0.353589+0.27432j -0.378754-0.0515342j 0.0466903+0.105499j -0.0274456-0.0629408j -0.0240978+0.209796j 0.117558-0.0518739j 0.141528-0.0287782j 0.0297958-0.0676204j 
-0.0583525+0.0115022j -0.0693239-0.0284039j -0.0624695-0.0739104j 0.00375995+0.0103697j -0.0239408-0.0226983j 0.0206583+0.0291993j -0.0208436-0.0303045j -0.032078+0.0457105j 0.0704929-0.00783003j -0.013816+0.0194593j 0.0420559+0.0699205j -0.0186715-0.0288873j 0.0594637+0.00734151j 0.0139278+0.0523561j 0.0170494+0.0767206j 0.00683877+0.0281993j -0.0467151+0.00638085j 0.00392764-0.034369j -0.0169788-0.060789j 0.0821011-0.0194468j 0.0145714+0.0327754j -0.0524121+0.0147722j -0.0576499-0.126914j -0.020831+0.0735022j -0.142029-0.0122394j -0.119869+0.247578j 0.039533+0.0965604j -0.179891-0.0496675j -0.0131228+0.0205081j -0.00557794+0.483268j -0.177526-0.105982j 0.169675+0.0951129j -0.26589-0.0401215j -0.297246+0.149938j 
-0.0263027-0.00437297j -0.0627592-0.0128782j -0.0499546-0.0243882j 0.00792829+0.0230809j -0.0358859-0.0171059j 0.0172576+0.0480195j 0.0135284+0.0217862j -0.00974687+0.00205882j 0.0476453-0.0251604j -0.0138939+0.0158803j 0.0842448-0.0055111j -0.0175054-0.0179178j 0.0524411-0.0380796j -0.040529-0.00104703j 0.0458659-0.0195303j -0.00944232+0.0248764j -0.0145674+0.0383151j -0.0267898-0.0239848j -0.0101825+0.0192567j -0.0227019+0.017748j 0.0449687+0.0504299j 0.00595955+0.0272575j -0.148971-0.301233j 0.0784684+0.380807j -0.274686+0.127628j -0.327963+0.098125j 0.273053+0.0370035j 0.0381207-0.205905j 0.071897+0.0775386j -0.013073-0.153177j 0.0220368+0.184224j 0.139038-0.0826066j 0.163906-0.0182533j 0.0899132-0.0907997j 
-0.0499938-0.0152811j 0.0343106+0.0163042j -0.142878+0.0386397j -0.0276489-0.0592996j 0.026226+0.0486814j -0.0413519-0.00436125j -0.0982317-0.0478809j -0.0801398-0.0460227j -0.285762-0.0459637j 0.116636+0.0529822j -0.0634229-0.0315858j 0.0624973+0.0489798j 0.0101928-0.00590714j 0.0506319-0.0478904j 0.0185417+0.0772434j -0.155661-0.117312j -0.0022696+0.217652j 0.129434+0.129012j 0.228992+0.0969884j -0.17887-0.101935j -0.105995+0.209982j 0.264907-0.394107j 0.0465034+0.166486j 0.065773+0.182274j -0.0975888-0.145504j 0.0659432+0.0700319j 0.123487-0.0229945j -0.00368939-0.0735815j -0.0992143+0.0942872j -0.0695141+0.0170904j -0.0264771-0.0305198j 0.0768381-0.0372463j -0.0299477+0.0195855j 0.0483902-0.00426097j 
0.0967888+0.038783j -0.0338858+0.0406762j 0.0419602+0.0731158j -0.0136285+0.0120048j 0.0784043-0.0173046j -0.0208341+0.0214942j 0.034163+0.00530081j -0.000203889-0.0152695j 0.0320023-0.00979383j -0.0247475-0.046552j -0.0642367-0.0763853j 0.0311139-0.0521179j -0.0327739+0.0422708j -0.0265124+0.0114199j -0.0651833-0.0306335j -0.124535+0.0451348j 0.117652+0.00125004j -0.135174-0.0208002j 0.120457+0.0964019j 0.032223+0.00603574j -0.0669234+0.130202j 0.0210277+0.123545j 0.00745105+0.172301j -0.019879-0.0941025j 0.134629+0.193259j 0.0352289-0.111822j -0.036123+0.264265j 0.07039-0.263386j 0.274788+0.14314j -0.0506839-0.00407909j -0.0140325-0.121228j 0.200986-0.18133j -0.15265+0.0640594j 0.124902-0.0229443j 
-0.128727-0.0190862j -0.0618499-0.0442577j -0.0533662-0.0483242j 0.0275267+0.055589j -0.0470398+0.0273395j 0.0409989+0.138052j -0.0178728-0.00867982j -0.0610304+0.0372334j 0.131173+0.02663j -0.0302609+0.0243974j -0.0374542+0.0628482j -0.06966-0.0349075j 0.0308084-0.0809529j 0.0830024+0.0549661j 0.0837284+0.053198j -0.0263565+0.0206157j 0.0898615+0.134814j -0.221961-0.0569258j 0.336466-0.00402762j 0.306284+0.201479j -0.207127+0.397611j -0.113596+0.316878j 0.0969383+0.238658j 0.0339197+0.00836126j 0.0467189-0.158143j 0.108458+0.0499676j 0.0349556-0.0815973j -0.00287859+0.0538915j -0.123671+0.0369479j 0.0105034+0.00241267j 0.00636101+0.070028j 0.00877646+0.0192699j 0.0556341-0.0239423j -0.036825-0.0112224j 
