0.0142359+0.0301485j 0.0233521+0.0784643j -0.0312154+0.0476603j -0.00296171-0.0696216j 0.0235022-0.0128081j -0.0199614+0.073866j -0.0204299+0.0533461j 0.0504426-0.00804301j -0.0233996+0.00995386j 0.0193264-0.0151856j 0.00850476-0.00388688j -0.0452127+0.0731687j 0.0349043+0.027952j 0.0230191-0.0143458j 0.00828993+0.000603839j -0.00686391+0.00303243j 0.0292338-0.00555948j 0.0255222-0.0260817j 0.0244564-0.0193744j -0.0157891-0.0205776j -0.0264271+0.0122623j -0.0283254+0.00429939j -0.00952192-0.000900538j -0.034731+0.016183j -0.0185086+0.0215289j -0.00240163-0.00959663j -0.0243155-0.0104877j -0.00492191-0.00783807j 0.00245871-0.00170271j -0.00964487+0.00487035j -0.023428+0.0137992j 0.0201891-0.00647882j -0.0286257-0.0307619j -0.00344071-0.0188418j -0.00191241-0.0136478j 0.0280165-0.00223341j -0.0213753-0.0286567j 0.0244519+0.0551225j 0.00114386-0.0420727j 0.0102776-0.0732341j -0.0552397+0.0276929j 0.0116972-0.0876019j -0.0346405-0.0480514j -0.191315+0.141487j 0.0183236-0.20766j -0.311703+0.188134j 0.0542859+0.0180843j 0.013296-0.135021j -0.170293+0.13913j 0.027009+0.0540307j 0.0208347-0.0246911j 0.00640678+0.00564143j -0.000424196-0.0462808j 0.0710424-0.0662874j -0.0149097+0.0328493j -0.0385559+0.0185271j -0.00400813+0.00964521j 0.00816361+0.00661241j -0.0132167+0.00297445j 0.00551609+0.0113136j 0.0197861-0.0279669j -0.0149996+0.00890441j 0.00230052-0.00259467j -0.031629+0.0218419j 0.00437505+0.013691j -0.0123459-0.00117894j 0.00196727+0.0020725j 0.0189693+4.1386e-05j 0.0167912-0.0177824j -0.0182833+0.00424659j 0.0053698-0.00600023j -0.0168497+0.0215691j -0.0192139+0.0075264j 0.0080507-0.0044074j -0.00174613+0.000128678j -0.00153872+0.00254252j -0.00227745+0.0185109j 0.0149437-0.0111048j 0.0156584-0.0123475j -0.0135857+0.00153742j 0.0132819-0.0115051j 0.00287549-0.00192842j -0.00263113+0.00442457j 0.0126576-0.0095934j -0.00693556-0.00765125j -0.00112941-0.00302026j 0.0215459-0.0286671j 0.0202927-0.0167457j 0.0084757-0.00604729j 0.0183917-0.00315969j -0.0025325+0.00931358j -0.0231722+0.0150474j 0.0119953-0.0369771j 9.65904e-05+0.0057193j -0.0644026+0.125781j -0.0907689-0.0151369j -0.0840515+0.125488j 0.0640148-0.0223207j 
-0.0229518-0.0778974j 0.0145271+0.0308051j 0.00267199+0.0704508j -0.0370187+0.0523574j -0.0111986-0.0575701j -0.000688132+0.0255929j 0.0494979-0.0619572j 0.0150745-0.0454199j 0.0189445+0.0165429j -0.00278907-0.0239106j -0.0271796+0.0431405j 0.0242728+0.00512675j 0.0527959-0.0357491j 0.0024248-0.0072989j 0.00179007+0.00351059j 0.0121821-0.000707272j -0.00698286+0.00825364j 0.00552965-0.0177843j -0.0053396+0.00355504j -0.0320152+0.023757j 0.00820595+0.00354528j -0.0349275+0.0262724j -0.016269+0.00521455j -0.00281829+0.0103547j 0.0190456+0.00635284j -0.0101117-0.00166658j -0.0381419+0.0303397j -0.0302686-0.00512732j -0.0200434+0.007598j -0.0133367+0.00835475j 0.0208709+0.0202411j -0.00942082-0.00171885j -0.0300241+0.0149932j -0.0136335-0.0219524j -0.0472834-0.0144545j -0.0189027-0.0211967j -0.00594691+0.0274889j -0.00879059+0.0187441j 0.0151591+0.0843943j -0.0132549-0.0560066j 0.000372985-0.0792512j 0.0751601-0.0209727j 0.169119-0.141843j -0.0239727-0.0611696j 0.303698-0.180733j 0.0168827-0.214699j -0.0821098+0.11543j 0.134458-0.0821422j -0.030537-0.111506j -0.125913+0.113013j 0.0195513-0.0101116j -0.0218019+0.0305073j 0.0444702-0.0440544j 0.0235309+0.0300367j -0.0473525+0.01432j 0.0358621-0.0415863j -0.0119665+0.00108431j -0.0197658+0.0130569j 0.0130945-0.0171131j -0.0189532+0.0229049j 0.039032-0.00961518j 0.00337171-0.006657j -0.0117155+0.0129373j 0.00216614-0.0218908j -0.0373663+0.0230728j 0.0192813-0.0140851j -0.00617133-0.00203544j -0.00793824+0.0158456j 0.00736341-0.00202036j 0.0170316-0.00912548j 0.00753327+0.000939486j -0.00738726-0.000173144j -0.00561125-0.00925237j -0.00700066+0.00478346j -0.00638494+0.00641695j 0.00239356-0.0133304j -0.0226108+0.0148849j 0.0125986-0.00841833j -0.00084191+0.000973565j 0.00965418-0.00667377j -0.016446+0.0188005j 0.002609-0.00873518j -0.00204469-0.00075141j 0.0185477-0.000738673j 0.00717599-0.0103251j 0.000804276-0.0168824j 0.00994887-0.000759586j -0.0192805+0.0210124j 0.0280527-0.0209854j -0.00302823-0.00635475j -0.01006+0.0125836j -0.00813243+0.0130554j -0.0189472+0.00347721j 0.0132619-0.043359j -0.089459-0.012488j 0.0681983-0.126021j -0.0647711+0.0217657j -0.0826897+0.124126j 
-0.0352525-0.00862771j 0.081358+0.0249522j 0.0345595+0.0092465j -0.0104494-0.00805943j -0.0103674-0.00986796j 0.038738+0.0620079j 0.0148869-0.0363543j -0.0534238+0.0307906j -0.0363845-0.0255232j -0.0232606-0.00744964j -0.0448401+0.0327043j 0.00830856+0.0252864j -0.0925431+0.0169267j -0.00895929-0.0162755j -0.0217431+0.0116885j -0.0120182+0.0183115j -0.0465498+0.0132438j 0.00342398-0.0408566j -0.0199146-0.0102483j 0.0152624-0.0354422j 0.0277494+0.00514497j 0.00207951-0.0296209j -0.00904009+0.016679j 0.0340638-0.0446378j -0.0119273-0.000290882j 0.00663681+0.0073107j -0.0381481-0.0514897j 0.0187511+0.0441314j -0.0409987-0.0207185j -0.035931+0.0173699j 0.0105892+0.0188031j 0.0286934+0.00466212j 0.0227434-0.0655725j -0.0474257-0.0132139j -0.0507426-0.0413207j -0.0262925+0.0167774j -0.0604985+0.0264449j 0.0479531-0.00891364j 0.048344+0.0771772j 0.101702-0.00307741j -0.0391227+0.141134j 0.090661-0.0532759j 0.00529562+0.0396649j -0.0262156+0.0592204j -0.0776997-0.102959j -0.0736154-0.0240813j 0.0479007+0.0192128j -0.00590378-0.0712028j -0.0214944-0.00397793j 0.0773498+0.0615486j 0.00218439+0.0206184j 0.000998744-0.00281573j 0.00227838-0.0264471j 0.00587444-0.00882544j 0.00507432+0.0207062j -0.0364823-0.01609j 0.0123506+0.00323064j 0.0198867+0.00657771j -0.00759186-0.00298655j 0.00589031+0.0174089j -0.00133695-0.0189431j -0.00476851+0.0075721j 0.0107933-0.00484182j -0.00307669+0.00479493j 0.00632007+0.00502413j 0.00545173-0.00700866j -0.00692104+0.000278802j 0.0100724+0.00517777j -0.00820688-0.00136059j -0.00683999+0.00501195j -0.00603139-0.00480489j 0.00738031+0.00385274j 0.00227858-0.00416492j -0.00290931+0.00840778j 0.00838408+0.0114954j -0.00593894+0.000441114j 0.00869453+0.0225436j 0.0021012-0.00381401j 0.00916953+0.0024045j -0.00508208-0.00247536j 0.0058791+0.00799577j -0.00772747-0.0015892j -0.0110477-0.008471j -0.00896179-0.00160315j -0.00645112-0.0220219j -0.00038144-0.00843511j -0.013644-0.00885364j -0.00245932-0.00556847j -0.0119505+0.0110886j -0.0188923+0.0291992j -0.0335144+0.0621714j -0.0116146+0.0415618j 0.0435607-0.00579131j -0.0656786-0.0473547j -0.0410031+0.0264793j 0.00352499+0.0460041j 0.0235352+0.0229223j 0.0794431+0.0519682j 
-0.0847634-0.023808j -0.0393616-0.012228j -0.00174718-0.00347723j 0.0398799-0.00927878j -0.00267509-0.072853j 0.0140377-0.0294949j -0.049303-0.00655225j 0.0345373+0.00343424j -0.000536354+0.0675318j -0.0245233-0.0248402j 0.036756+0.0453226j 0.0127277+0.00558393j -0.0114713+0.0180621j -0.01382-0.00388132j 0.0130508+0.0088321j 0.0129143+0.00645992j -0.00312231+0.0197737j -0.054319+0.00450351j -0.0132425+0.00230376j -0.00760578+0.0187108j -0.0219529+0.00203263j 0.0326455+0.0142128j 0.0265399-0.00259322j 0.00619015-2.52001e-05j 0.000949397-0.00342505j 0.0250242-0.00097588j -0.0177517-0.0121885j 0.0819572+0.00509698j -0.0440172-0.00838235j 0.0198178+0.00619101j 0.0153458+0.00304816j -0.0117458+0.00792131j 0.0824712+0.0261382j 0.0596317-0.0195788j -0.0399892+0.0174682j 0.0455167-0.0719678j -0.0635296+0.0669253j -0.0673648-0.0678099j 0.00131211+4.7931e-06j 0.0316371+0.0264738j 0.115142-0.0488795j 0.0118452-0.177016j 0.0488851-0.031788j -0.0171842+0.0195744j 0.0734695+0.0406061j -0.0835082-0.0972264j -0.0242422+0.0428941j 0.0391342+0.00725604j -0.0432357-0.0787017j -0.000522846+0.0128465j 0.0261219+0.00357065j 0.000932608+0.0234119j 0.0239934-0.0066859j 0.015345+0.038081j 0.00924473+0.00264298j -0.0313322-0.017374j 0.00318629-0.0110409j -0.00165475-0.00815374j 0.00370254-0.00490374j -0.00449966+0.00796204j -0.00707762+0.00652792j 0.00237984+0.00162234j -0.0127969-0.0104852j -0.0128785-0.018465j -0.00142065+0.00256001j -0.00959346-0.0145705j 0.0087197+0.00531224j 0.000667582+0.00446344j 0.0187267+0.0150052j 0.00433536+0.0023892j -0.00130736+0.00588534j -0.0181752-0.0179658j -0.0126005-0.0136312j 0.0115068+0.0110333j 0.00622395-0.00353672j 0.00632412-0.00269965j 0.00186763-0.00119436j 0.00540987-0.00216586j -0.00365498+0.00156062j -0.00640716-0.00315559j 0.00223532+0.00917572j 0.00493341+0.0033392j -0.00342881+0.00329959j 0.00986576+0.0171914j -0.00393337-0.00845499j -0.0062635-0.00884936j -0.00586348+0.00304253j 0.0153716+0.0111987j -0.00404015+0.0144153j 0.0255706-0.036979j -0.0324999+0.025764j 0.0103259-0.0463972j 0.0446454+0.0517395j 0.0720771-0.049851j -0.0154586+0.0341054j 0.0201494-0.00995523j -0.0752677-0.0509628j 0.020622+0.0281313j 
0.0054953-0.00725829j -0.0332003+0.00227066j 0.0267471+0.0325687j 0.0647149+0.0737997j 0.0259417+0.0972215j -0.030312-0.00101619j -0.0129202+0.000488051j -0.0269025-0.0239484j -0.0317409-0.0453446j 0.0205136+0.00106815j 0.0158198-0.0373588j -0.0231947-0.00447587j 0.0252103-0.01544j 0.000359548-0.0289452j 0.0344833+0.0328437j -0.021234+0.0140601j 0.0385621-0.0468561j -0.0162275-0.0213049j 0.0102876-0.0230064j -0.0402167-0.0245103j 0.000464826-0.0243112j -0.01729-0.0150931j -0.0235234+0.0173235j -0.0375733+0.0271292j 0.0210439-0.0535141j 0.0104451+0.0375969j -0.0126824+0.0474888j 0.0301073+0.0168448j -0.0250368+0.0120416j 0.0078907-0.0619581j -0.0276407-0.013049j 0.0105558-0.0121657j 0.0125479+0.00190798j 0.0391177-0.025117j 0.00424482-0.0104806j 0.0651883-0.0816373j -0.0157817+0.0950425j 0.0930557+0.00195836j -0.0990323+0.0885361j -0.086612+0.244375j -0.00205455-0.0357832j 0.0836799-0.00926916j -0.0199342+0.00577827j -0.0481496+0.153099j 0.0108755+0.0267409j -0.0459783+0.039374j -0.0238595-0.0796364j -0.00271849+0.058285j -0.0435755+0.0239033j -0.0253484-0.0260418j -0.00694035+0.0259454j -0.0162258-0.0153105j -0.0143063+0.0248729j 0.0183526-0.00753033j -0.0218335-0.000911483j 0.0145296+0.00113082j 0.00264162-0.0149826j 0.00784599-0.000753687j -0.00702587+0.0159141j -0.000735246-0.000143923j 0.0119608-0.000904738j -0.0121528+0.00615805j 0.0126115-0.0146857j -0.000769208+0.0089705j 0.00507284-0.0172162j 0.00417382+0.0108869j 0.00124135+0.00815828j -0.00174167-0.00594985j -0.00455455+0.0189697j 0.00706296+0.0136956j 0.0108184-0.00728043j 0.00944496-0.0195194j -0.00935087-0.00884285j -0.00791693+0.00620548j -0.00748745+0.00880943j -0.00186062-0.000778792j -0.00700753+0.00856671j 0.0141664+0.000764208j 0.0232946-0.00351139j -0.00966423+0.00276456j 0.00572152+0.00121923j -0.00989696-0.0038027j -0.0102864+0.00346023j 0.00143167-0.0203572j -0.0224647+0.0533055j -0.00538898+0.0254136j -0.00343747-0.00751926j -0.0154415+0.0224688j 0.0100979+0.0233858j 0.035949+0.0170689j -0.00755737-0.0148418j -0.0229219-0.00944011j -0.0335201+0.0372j 0.0151143-0.0656886j -0.029559+0.0258681j 0.0118635+0.0752792j -0.0321072-0.027221j -0.00178246-0.037732j 
0.0366921+0.00546974j -0.0343574+0.00363645j -0.0856814-0.0486452j -0.0213286+0.00429827j -0.0071214+0.0406715j 0.00974463+0.0921412j 0.0157394-0.0574838j -0.00154702+0.0749342j 0.00120376-0.00814286j -0.0361476+0.0422236j -0.0062897+0.0450691j -0.0444949+0.0219103j -0.0071711+0.0328254j 0.0102827-0.00948521j 0.00874279-0.0385619j 0.02964+0.00977957j 0.00731191+0.0169713j -0.0191836+0.00350346j 0.0274197-0.0425132j -0.0280487-0.0287135j -0.0376733-0.034121j -0.0428115+0.0188375j 0.0234977+0.0570719j -0.0731186+0.0556622j 0.0328969-0.00517091j -0.00133458-0.0225997j -0.0109657+0.0697912j 0.0075296-0.00936207j 0.0379391+0.0291966j -0.0025046+0.0447161j 0.0229202-0.0200179j -0.0525505+0.00269293j -0.0716992-0.0214576j 0.0255886+0.0283842j 0.0242515-0.0331555j -0.0409299+0.0670952j 0.0653663-0.196155j 0.0714046-0.0842077j 0.18929-0.145604j -0.154457+0.0267209j 0.102556+0.0448628j 0.0186785+0.0396189j 0.111062-0.138616j -0.0399634-0.0365023j 0.0453441-0.0737253j 0.0556846+0.0548235j 0.0218981-0.0454114j 0.037789-0.110685j 0.0270269+0.0379387j -0.00135671-0.0263281j 0.0130262-0.0136204j -0.00914828+0.00297543j 0.0107178-0.0359518j -0.0066075-0.018489j -0.0172911+0.00564545j 0.009742+0.0302075j -0.0151976+0.00867264j -0.00428574-0.0055978j -0.00211282+0.00504735j 0.00671998-0.00339617j 0.00865629-0.0153919j 0.0244543-0.0197779j 0.00245684+0.0120626j 0.00727652+0.00426755j -0.0101731-0.00181378j 0.0123378-0.011013j -0.0104013-0.0112357j -0.00208484-0.000743357j 0.000469185-0.0180845j 0.00865119-0.0082662j -0.00767169+0.00371417j -0.00610857+0.0257791j 0.00221521+0.0105743j 0.00282127-0.0118598j 0.00653248+0.00231968j 0.00258607+0.00902605j -0.0109161-0.000969699j 0.00487795+0.0138018j -0.000356444-0.00490811j 0.00563555+0.00656823j -0.00921562+0.0148852j -0.00649014+0.0133921j -0.0249319+0.00437319j 0.0214491-0.028184j -0.0119799+0.00357271j -0.0154359-0.00471454j -0.0039332-0.00386358j -0.00761246-0.0309258j 0.0251474+0.00499244j -0.0098904+0.0265331j 0.0237517-0.0206201j 0.0575643-0.0154883j -0.0454895+0.033381j 0.0044574+0.0343339j -0.0208826+0.0596556j 0.0133962-0.0309063j 0.0122319+0.0554474j -0.0523251-0.0166005j 
-0.0786247+0.0290727j -0.0222614-0.00240129j -0.0434243-0.0252918j 0.0343631+0.0285375j -0.00584271+0.0622416j 0.0391441+0.0360768j -0.0305272+0.0280714j 0.0359092+0.0398023j -0.0245192+0.0292656j -0.0402651-0.0318089j 0.0560693-0.00491488j 0.028741+0.0227432j 0.0494939+0.0243282j 0.0299217-0.0400854j 0.0282562-0.000294111j -0.0561503+0.0521073j 0.0419974-0.054773j -0.0411483+0.00944162j 0.00341146-0.0579706j -0.034923+0.0352886j -0.00847797-0.00503558j 0.0485115+0.0128787j -0.00454686+0.0487899j 0.0779675+0.0501206j 0.0350783+0.0390933j -1.81309e-05-0.0276079j 0.0551909-0.0152404j -0.0190662-0.0427876j -0.0162533+0.0207797j 0.0554028-0.0803118j 0.0781043-0.0720423j -0.0925021-0.0157527j 0.0105815+0.0921172j 0.116732+0.0759105j -0.0930972+0.0326138j 0.0885268-0.0165422j -0.162576-0.223571j 0.155256-0.0643741j -0.0929125-0.0462467j -0.122472+0.0484077j 0.0254962-0.067558j 0.0585999+0.0343416j -0.0411631-0.115959j -0.107582+0.0142164j 0.0829544+0.0606222j -0.00715717+0.0364879j -0.00383119-0.0806204j -0.0121815-0.0168105j -0.0239492+0.036833j -0.0464844-0.0664242j -0.0136517-0.0134321j -0.00181675+0.0173978j -0.0178088-0.0128316j 0.00156681-0.00708237j -0.0189538-0.0123644j 0.00414427+0.016134j 0.0109525+0.00366204j 0.00252695-0.00125295j -0.00839729+0.0164726j -0.00961073-0.0121598j 0.00612081-0.00207385j 0.0089705-0.02161j 0.00689258+0.00557776j -0.0220852-0.00423651j 0.0172339-0.000489488j -0.00399919-0.00737418j 0.00461183-0.00200849j 0.00965999-0.00888212j 0.00191155-0.0045869j -0.0162271+0.00205604j 0.00576746+0.00650802j 0.00599441+0.00858822j -0.00815663+0.00611948j -0.004602-0.0168945j -0.00965002-0.00278126j -0.000792956+0.000979997j -0.00454114-0.0204838j 0.00951067+0.0108221j 0.00335086-0.0177098j -0.0140823+0.0105319j -0.00202705-0.00423019j -0.00832891+0.00115981j 0.0162251-0.00354178j 0.00433145+0.0089245j 0.00323572+0.013358j -0.00785085-0.0189689j -0.00315286+0.0265613j 0.0220315-5.98669e-05j 0.0123016-0.0219773j 0.0273658-0.0410468j -0.0530715-0.0305108j 0.000546037+0.0201546j -0.0179677+0.017716j 0.059888+0.0444514j 0.0194636+0.0257606j -0.0645747-0.0112553j -0.0597882+0.0117918j -0.0274073-0.054808j 
-0.00750464+0.00622425j 0.0714708-0.0412029j -0.0332022-0.00158007j 0.0402259+0.0205224j 0.0611651+0.0270915j 0.0739898+0.000570652j 0.0343513-0.0117773j 0.0280211-0.00708066j -0.0327525-0.0441203j 0.00670251-0.0129599j -0.00415619-0.00715251j 0.0796709-0.0516445j 0.0227045-0.0178673j 0.00561227+0.0435029j -0.00501338+0.00188483j -0.0502298-0.0377752j -0.0346129-0.02779j 0.028537+0.0385747j -0.00176734+0.0199369j -0.0174769+0.055813j 0.000937552-0.0227652j 0.0022691-0.000117929j -0.0131669+0.0266348j 0.0948374-0.055423j -0.0896676+0.0268045j 0.0173594+0.0081546j 0.00580686-0.0188192j -0.0319415-0.00725164j -0.0250094+0.0036472j -0.0416894-0.0245227j -0.069529-0.00531519j 0.0555679-0.0217051j 0.084203+0.0477181j -0.0149102+0.0200463j -0.0443302+0.00508856j -0.062393-0.149019j -0.072261-0.0340614j 0.0287239+0.00875295j -0.152197-0.0180896j 0.112212+0.244869j 0.0484166-0.0396707j 0.00693814-0.153825j -0.011873-0.0167177j -0.0427484+0.122583j 0.0193355+0.0244204j -0.102546-0.0571882j -0.0273738-0.045011j -0.0367085+0.0130649j -0.0134136-0.0276074j 0.0204988+0.00362422j 0.000559796+0.0328667j 0.000958648-0.00892168j -0.00985767+0.00310776j -0.00231494+0.0185638j 0.0257736-0.00059731j -0.0168994-0.0159022j 0.00808876-0.00410066j 0.00707568+0.00669156j 0.00510188+0.0217637j -0.0016564-0.00342847j -0.00936079+0.0078391j -0.00388521-0.00228337j -0.0144495-0.0241364j -0.00882415-0.0155781j 0.00526683-0.0029783j -0.0054512-0.00733198j 0.0139976+0.0104119j 0.0130379+0.00815524j 0.0068557+0.0152604j -0.0135914+3.73873e-05j -0.00128428-0.00335979j 0.00439996-0.00764831j -0.00962319-0.005304j 0.000136409-0.00296758j 3.98152e-05+0.00344355j 0.00513052+0.000103123j 0.0192261-0.000544991j 0.00785412+0.0135851j 0.00148842-0.0031341j -0.0117239-0.00714164j -0.00418922+0.0183805j 0.0117952+0.00622866j 0.0099387+0.022954j 0.000742537-0.000562122j -0.0105533+0.00627079j 0.0195366-0.0263636j -0.0125965-0.0201641j 0.0327297-0.00279551j -0.0103314+0.0378015j -0.0341519-0.00740785j -0.00754111-0.00776152j -0.0042473-0.0215853j 0.0231599+0.0253665j 0.0364233-0.0345412j 0.0268415+0.0309793j 0.00981341+0.0436236j -0.0212044-0.0386177j 0.045625-0.0146398j 
0.0333221-0.0226168j -0.0115506-0.00438694j 0.0199306+0.0472876j 0.0443038+0.0104893j 0.019655+0.0169052j 0.0147619+0.0355699j 0.0388635-0.0151295j -0.047729-0.0555976j 0.023319+0.038355j 0.0277313+0.028942j 0.00378636-0.0050095j -0.0110063-0.0275553j -0.00356304-0.0163768j -0.0242353+0.0514691j 0.0268619-0.029529j -8.98275e-05-0.0441559j -0.0196013-0.0498681j 0.0218067+0.0379267j 0.0272197-0.01093j -0.0143925+0.0500356j -0.0170417-0.0331968j -0.0206581+0.0259838j -0.00106019+0.0264789j -0.00133433+0.0273306j -0.0571195-0.000519718j 0.0262362-0.0244795j -0.0338334+0.00804754j 0.0115896-0.0136138j -0.00462478+0.0107501j -0.0309966-0.00651531j -0.0400098-0.0422083j 0.0335664+0.0228497j -0.0651733+0.204786j 0.0355889+0.0534999j 0.0869612+0.0889079j 0.0466814-0.140218j 0.0772568-0.0593421j -0.00789877-0.0540221j 0.0304255+0.0418244j 0.258728-0.142265j -0.0482662+0.0635059j 0.0512517+0.0178245j -0.0722888+0.0666165j -0.0207996+0.0700522j -0.144773+0.0345638j -0.0573557-0.0417713j 0.0345562-0.046028j -0.0224076+0.000291311j 0.0108129-0.0154681j 0.0763662+0.00837223j -0.0027171-0.0201777j -0.0086962+0.00819744j -0.000584591+0.0047845j -0.00784691+0.00915288j 0.0242106+0.00139693j -0.00881597-0.0191633j -0.0127753+0.0119905j 0.00908281+0.0156085j -0.0065847+0.0167972j 0.00681773-0.0130557j -0.0139019+0.000382965j 0.00540953-0.0226666j 0.00853547+0.00363886j 0.00419682-0.0141365j 0.00747441+0.0110999j 0.00210778-0.00450656j 0.00183728+0.00844168j 0.0071346-0.00447908j 8.38639e-05+0.00266671j -0.0174754+0.0211472j -0.0146865-0.000685697j 0.00310001-0.00457367j 0.0171061-0.0119116j 0.00399523+0.00200964j 0.0106754-0.000744379j 0.00196899+0.0134783j 0.00865417+0.0002664j -0.0113994+0.0377193j -0.00135136+0.0119668j 0.00416195-0.0236259j -0.00203225+0.00305348j -0.00659756+0.0165364j -0.00169333+0.00720172j -0.00450316-0.0130978j -0.0098427-0.00672519j 0.0166089-0.0107842j 0.00606224+0.0171369j -0.00384035+0.00289944j 0.0217991-0.0257439j 0.0284202-0.0281192j -0.0321252+0.00895139j -0.00902375+0.0224344j 0.0336674-0.00466946j -0.0337923+0.0424276j -0.0175918-0.0325992j -0.0114327+0.0316938j 0.0327916-0.0206356j 0.0235149+0.0164635j 
-0.00328774-0.00556973j 0.00353656+0.00539917j 0.0350966+0.0161858j -0.027585-0.0106007j 0.0249327+0.0160415j 0.00347321-0.0107588j 0.0274017+0.0771694j 0.0160188+0.0214986j 0.0188899+0.104257j -0.024037-0.115159j 0.0182255+0.0369166j -0.0101038+0.0121868j -0.00383058+0.0337911j -0.028728-0.00810139j 0.00658462+0.0482033j 0.0395111+0.00516399j -0.0238532-0.0558641j -0.00281525+0.0155226j 0.0449214+0.00771309j 0.0475488+0.0502578j 0.0717084-0.111325j 0.0113084+0.0701972j 0.00456751+0.00395415j 0.0408584+0.0312813j -0.0375701+0.0272889j 0.0334659-0.0238073j 0.0464423-0.00773034j -0.0258106+0.00355226j 0.0545508-0.0219908j -0.0354552-0.000537835j 0.0226326-0.0736296j -0.0309841+0.0204448j 0.155632+0.00130469j 0.11211+0.0250159j 0.0353774-0.0096253j 0.124029-0.314361j 0.0353007-0.101961j 0.0254683+0.00987547j 0.104694-0.0177252j 0.0286801-0.155428j -0.106029-0.0263251j -0.0604109+0.0246115j -0.106943+0.00766701j 0.100463-0.110157j -0.113684+0.00765895j 0.100026-0.181456j 0.0072212+0.0251317j -0.0615811+3.50935e-05j 0.0607857-0.0252313j 0.00856789+0.0122937j -0.0342121-0.0274996j 0.00446444+0.0653582j -0.00913888-0.0273997j -0.0292574+0.0186354j 0.0114533+0.00249372j -0.00292714-0.0340686j 0.011112-0.000697508j 0.00146355+0.0205575j -0.0146821+0.00808325j -0.00421956-0.00232427j -0.0239351+0.00298977j 0.0042448-0.024694j 0.0171417+0.0119699j 0.00668009-0.0187947j 0.0154786+0.0100947j -0.00221439-0.00578812j 0.011953+0.0012177j -0.0165467+0.00295434j 0.00309794+0.00551765j 0.00912847-0.00032053j 0.00389107-0.000612321j 0.0102347-0.0121254j 0.00592938-0.0140854j 0.00251985-0.0068638j 0.00777639-0.0104916j 0.00680479-0.0204975j -0.0108831+0.0268781j -0.00761895+0.00127906j 0.0122539-0.00693708j 0.00541486+0.000425907j 0.00540896+0.00481238j -0.020034+0.0321891j 0.0329923-0.0128611j -0.0181575-0.00115825j 0.0253036-0.0133659j -0.0121428-0.0198873j 0.0166287-0.00234931j 0.0376512-0.00854837j -0.0405137+0.021657j -0.0189814-0.0424392j 0.0152479-0.0183903j 0.00342976-0.00457772j -0.0174826+0.0323616j -0.0337319+0.0158771j 0.0403283-0.0429523j -0.0234626-0.0410013j 0.0225139-0.00664318j -0.00786842+0.0338185j 
0.0243288-0.0143415j -0.0105482+0.00587559j -0.0711624-0.00970851j 0.00969055-0.0201855j 0.0444294-0.0138967j 0.0111071-0.0161707j 0.0542924+0.00956279j 0.0312032+0.0224131j 0.0134568-0.0912258j -0.0449119-0.0674824j 0.0178678+0.0725902j 0.0426443+0.0140673j -0.0458902+0.00857011j 0.0196248-0.0182961j -0.0132141+0.0832707j 0.0119093-0.0968003j -0.0410295+0.0199027j -0.039957+0.00703977j 0.0471397+0.0201112j 0.0602834-0.0339478j -0.00511284-0.0336766j 0.0586689+0.0302875j 0.0130597+0.01143j -0.00605793-0.00829377j 0.069991+0.0302741j 0.0201236+0.0502986j -0.0238763+0.0247633j -0.0472776-0.0367298j 0.0381378-0.0690097j -0.0193942+0.0265242j -0.0614194-0.0844146j 0.0104923+0.0398771j 0.266586-0.168076j -0.0385656+0.109431j -0.0710454-0.0451656j -0.169656-0.17747j -0.0979556+0.0668113j 0.0684409+0.00967028j -0.0447603-0.0560788j -0.0828503-0.0973547j 0.0236063+0.059195j -0.0560899-0.0156974j -0.0229033-0.103547j 0.0858951-0.0449625j 0.0138631-0.233053j 0.151169-0.0336512j -0.0491431+0.0668564j -0.0250554-0.0856179j 0.114923+0.0437512j -0.0265233+0.0521399j -0.0260515+0.0102969j 0.0203303+0.0177858j 0.0063196-0.0716145j -0.0317897-0.0230897j 0.0186593+0.0200809j -0.000608095+0.00257155j 0.0177558-0.0137008j -0.00680583+0.0190871j 0.0227332+0.00645534j -0.00225804+0.0179734j -0.00870729-0.0118842j -0.00934951+0.00244957j -0.0167091+0.00875001j 0.00565546+0.00150863j -0.000567218+0.0118855j 0.00703318-0.00710275j 0.0157379-0.00713508j -0.0138032+0.00720353j -0.00127674-0.0126616j 0.0213623-0.00944006j 0.00804908-0.00864037j 0.00343861+0.0305711j -0.00975608+0.0162275j -0.00706438-0.0299493j 0.00623075+0.00065838j -0.00617795-0.0161437j 0.00346949+0.018608j 0.00332632+0.00114224j -0.0171878-0.000396484j 0.0118741+0.0119578j -0.0108593+0.00470928j 0.0253541+0.0182944j 0.0382497-0.0327703j 0.0152575-0.0104655j -0.0133932-0.0364594j -0.0355473+0.0159207j -0.0504378+0.0051242j -0.0182158+0.0245389j -0.0152454+0.0233724j -0.0283662-0.00511799j -0.0114422+0.0148306j 0.00238457+0.0360353j -0.0101956+0.00885041j 0.0320492+0.00125112j 0.0432541+0.0185232j 0.0173321-0.0535685j 0.0181698+0.0424624j -0.0212842+0.0186094j 
