-0.0663108-0.0218719j -0.0640032-0.0112671j 0.0441697+0.0790939j -0.00413416-0.0211753j 0.0103223+0.029494j -0.0118785+0.0312355j -0.0303774+0.030398j 0.00721073-0.0396555j 0.0322063+0.0128351j -0.018103-0.023545j -0.0400702+0.0125448j 0.0044344+0.0291597j -0.0375752+0.00725964j 0.034375+0.00515414j 0.00696263-0.0104972j -0.017855+0.0082599j -0.0126823+0.00664226j -0.0188567-0.0075591j -0.0164799+0.00686767j 0.0499598-0.0497976j 0.00512222-0.0010107j -0.0131313-0.00393077j -0.0240506-0.00471583j 0.0386706+0.00886555j -0.00545271-0.00799769j -0.0230162+0.0148724j -0.0147322+0.00540248j -0.00330581-0.00275798j 0.0161317-0.0632555j -0.0271801+0.0477278j 0.0152204-0.0313438j 0.00735665-0.0041614j -0.010952+0.00520975j 0.0112223-0.0024628j 0.0162601-0.024814j -0.020178+0.00391618j -0.0267316-0.00516656j -0.0113437-0.0278549j 0.00185356-0.0110131j -0.0204617-0.00518777j 0.0106484-0.0319238j -0.0162572+0.00834113j -0.0101761+0.00701204j 0.00505415-0.000488884j -0.0163326+0.0015814j -0.0240861+0.0109255j -0.0277464-0.0191488j -0.0078612+0.00912666j -0.0230063+0.0111369j -0.00417176-0.0605837j 0.0542878+0.00213695j -0.0602403-0.0232475j 0.00983132-0.0329504j -0.0387152+0.0122529j -0.0104534-0.0163668j -0.0500707+0.0604543j 0.0366793-0.00948355j -0.0719628-0.0158874j -0.147811+0.0779822j 0.0655632+0.0081369j 0.00230422-0.173899j -0.0316999+0.105257j 0.0633206+0.00242219j 0.0763227-0.0741285j -0.0736638+0.00338665j 0.0697776-0.0188929j -0.113101+0.0909153j 0.235478+0.163722j 0.092338+0.22065j 
0.069029+0.00178109j -0.0685773-0.0100654j 0.0111444+0.00335152j 0.0338335+0.0729626j -0.000648886-0.00363086j 0.00574281-0.0157471j -0.0195848+0.0764641j -0.0102919+0.0418288j -0.0202734-0.0156793j -0.0253503+0.000790416j -0.0194522+0.0238561j 0.0209571+0.0074452j 0.00348055+0.0493962j 0.000826216-0.00264584j 0.0180193-0.00877659j 0.0113979+0.0269637j 0.00882864+0.0317842j 0.0251101+0.0363284j 0.00446592+0.00302123j -0.0231903-0.0282805j 0.00783479-0.024599j -0.00102508+0.0169812j -0.0214552+0.0263611j -0.00574704-0.0413331j 0.0076681+0.0112764j 0.0318038+0.0290058j 0.00866608+0.0129538j 0.0238158-0.00140055j -0.0501852-0.0159544j 0.00410389+0.0451737j -0.0166366-0.0101397j 0.00746589-0.00610224j 0.00929211+0.0085625j 0.0111576-0.0127501j -0.00916552+0.00860353j 0.0407131-0.00964761j -0.00347197+0.0365593j -0.0109701+0.0231661j -0.00759197+0.0113636j -0.0219212+0.0158077j -0.0080436+0.0194288j 0.00117681+0.00615591j -0.0150198-0.0072018j -0.0286405-0.00037232j 0.0124341+0.0263781j 0.00794709-0.0496869j -0.0348529+0.0334786j -0.0305091-0.0166564j -0.0273014+0.0264408j 0.0247089-0.0462241j -0.0138109-0.0401271j -0.0200293+0.0426221j -0.0685851+0.00688513j 0.02821+0.0140581j 0.0253672+0.0341947j 0.0419677+0.0207304j -0.0294846+0.00729171j -0.0555834+0.126044j 0.0438908+0.0942452j -0.0211979-0.0819912j -0.178064-0.0399328j 0.0665634-0.0185973j 0.0693281-0.0720662j -0.113798-0.0352298j -0.0101094+0.0387912j -0.116134+0.0777797j -0.0391729+0.0229382j 0.0999397+0.217177j -0.250077-0.150445j 
-0.087511+0.0341298j 0.0253236-0.00659664j -0.00876388+0.0287708j 0.00352021-0.0121749j 0.0174011+0.0613858j 0.0622135+0.0452599j 0.000101164-0.0741264j 0.0437089+0.0339397j -0.000673893+0.00671172j 0.0326448-0.0133077j 0.0318501-0.0961451j 0.022086-0.0168055j -0.0200654-0.056623j -0.0344915-0.0327296j 0.0344302+0.0234843j 0.00942889-0.0167243j 0.00647916-0.0154206j 0.0568867-0.0708084j 0.0191192-0.00918371j -0.0299273+0.0325731j 0.057474+0.0228108j 0.0359303-0.0440384j 0.0117812+0.00267963j 0.0374639-0.0131422j 0.0464107+0.0228619j -0.0374995-0.0378703j 0.0140384-0.0604506j 0.00828992+0.01369j -0.00361915-0.0262561j -0.0127265-0.00725742j -0.0584422-0.0540187j -0.0264011+0.0499028j -0.0375295-0.0586422j 0.00128078+0.00855823j -0.0376568-0.00808996j 0.0501195-0.0651769j -0.00977092+0.0209182j -0.0356205-0.0833054j 7.03456e-06+0.032673j 0.00191678+0.00764736j -0.0458983+0.00716303j 0.00721553-0.0535362j 0.0613154+0.0535576j -0.0673991+0.052638j -0.00588689-0.0190099j -0.0860394-7.91929e-05j -0.010495-0.0484447j -0.0188435+0.00199444j -0.0110928-0.038707j -0.00941096+0.0191212j -0.0353646-0.0724412j 0.0267292-0.0451246j -0.0320553+0.0688504j 0.0311413-0.0931213j -0.0539151+0.0544547j -0.00648845-0.032301j -0.0114351+0.0706316j 0.00763307-0.129269j -0.0157437-0.00935521j 0.180833-0.0655963j -0.14095-0.0118086j 0.0598332-0.0416379j 0.0269444+0.100372j -0.135389+0.0396843j -0.137494-0.0330553j 0.028431+0.0928207j 0.0935168-0.0195775j 0.187424+0.0591503j 0.0783736+0.174079j 
0.00186381+0.0232517j -0.0933262+0.019165j 0.0146355+0.0602423j 0.0542663+0.022542j -0.0248353+0.00631849j 0.133748+0.0575791j 0.00655235-0.0582705j 0.0229248+0.00903485j 0.0339972-0.0042224j -0.0447566+0.0319236j -0.0366088-0.0826882j 0.0721256-0.0129573j -0.0466516+0.0569788j -0.0356596+0.0280675j -0.00419996-0.0166568j 0.0321026+0.00958587j 0.0142619+0.00655877j -0.0346986-0.00907326j -0.00590331+0.0231639j 0.0102943+0.045357j 0.0317951+0.00270543j -0.0398689-0.0273854j -0.0553391-0.0143183j -0.033207-0.0649191j 0.0710258-0.0649457j 0.00744877+0.0790415j -0.00771811+0.0189823j 0.0223324+0.0176785j -0.0704365+0.00551504j 0.00154808+0.016373j -0.0700499+0.0194651j 0.0511901+0.0288994j -0.0211874+0.0460193j 0.00141373-0.00530396j 0.00755995-0.0050085j 0.0141954-0.0415698j 0.0274807+0.0207311j 0.0144486-0.00999504j 0.00565377-0.0353362j 0.0185362-0.0107686j 0.0486862+0.0209341j 0.0147491-0.00656443j -0.00984018+0.00520128j 0.0487642-0.00678691j 0.00249988-0.00907477j 0.0223347+0.0499467j -0.036982-0.128276j -0.0154555+0.0456082j -0.085761-0.0215824j 0.123754+0.000422618j -0.0132994+0.0350533j -0.0857887-0.0143245j 0.0324631+0.0147189j -0.0576005+0.0117972j 0.0211037-0.0315312j 0.00108531+0.0396386j 0.0662967+0.00622095j -0.104768+0.0724436j 0.0611296+0.0220664j -0.025827-0.194824j -0.00609982+0.105257j -0.117731-0.0843325j -0.0238168-0.00715755j -0.00274319-0.00721806j 0.0124573+0.0549337j 0.0991331+0.0447846j -0.0839398-0.103832j 0.081111+0.164967j -0.195743-0.0887595j 
-0.0460143-0.0106322j -0.0579028+0.00122027j 0.0677826+0.0484455j 0.0171712+0.00697335j 0.0390556+0.0444128j -0.0316527+0.00138837j 0.00845924+0.120853j -0.0293945-0.0133728j 0.0426735-0.0621862j 0.063926-0.0427697j -0.0272982+0.0598894j 0.0202711+0.0820509j -0.0938447+0.0535235j 0.0236496+0.041073j -0.00286769-0.0523776j -0.0553971-0.025419j -0.0217139-0.00955082j -0.00538482-0.0104575j 0.014611+0.0119697j 0.0830247-0.0854603j 0.0406495+0.0190498j -0.0540998-0.0445421j -0.0870483+0.000291081j 0.217895-0.00179996j 0.00470177-0.0140451j 0.00682178+0.0134684j -0.0340142+0.0258001j 0.0350885+0.00235148j -0.00213103-0.252738j -0.0825142+0.0190183j -0.00708588-0.0357181j 0.0441876+0.040233j -0.02195-0.0697594j 0.00499747+0.0315241j -0.00492741-0.100689j -0.00621258+0.0203568j -0.00608255-0.0996606j 0.0563917-0.117784j 0.101387+0.0165265j 0.0701857-0.0430736j 0.061611-0.108184j -0.00615863-0.0627993j -0.0172718+0.0444313j -0.14843-0.107068j 0.0136394-0.0244693j -0.188216-0.135892j -0.095293+0.000321603j -0.00454722+0.0282493j 0.0181926+0.0573274j -0.0470075+0.00328668j 0.130292+0.107657j 8.78379e-05-0.104111j 0.00801141+0.0797187j -0.019416-0.0282605j -0.00732512+0.0466094j -0.0176048-0.00170613j 0.0157799+0.0536064j -0.00330282+0.00592902j -0.0217393+0.0320436j -0.0139182-0.047196j -0.0356612-0.0989598j -0.0546205+0.0179612j -0.0715391-0.109647j 0.0989514-0.00895137j 0.0775654+0.0596044j 0.0581484+0.0226471j -0.0546389+0.0621707j 0.0847062+0.0664498j 0.0384674+0.0853225j 
0.0497647-0.00870406j -0.00579317-0.00362694j -0.0247036-0.0365959j 0.0425204+0.0640318j -0.0103029-0.00579772j -0.0629473-0.0354813j 0.0120866+0.0834683j -0.0199022+0.0897222j 0.0397795-0.0433456j -0.0174862+0.0463191j 0.00562531-0.0247987j 0.0684217+0.0198443j 0.0474994+0.0048423j -1.25178e-05+0.0139205j 0.0222575+0.0100813j 0.0719987+0.0466763j 0.0224452+0.00170847j 0.0483165+0.0544332j 0.023253+0.0262425j -0.186723+0.0471188j 0.00769745-0.0942752j -0.0160346-0.0308811j -0.0680069+0.0825973j -0.00484898-0.0925439j 0.0207698-0.014554j 0.100204+0.072073j 0.0303834+0.0276058j 0.0791438-0.0732046j -0.212412-0.035168j -0.0176626+0.190046j -0.105016-0.0948362j -0.0178068-0.0511454j 0.0291626+0.0189292j -0.0846411+0.0222313j -0.00538662-0.00545337j 0.0748927-0.00739039j -0.0303631+0.0867973j -0.063186-0.0455682j 0.0282861+0.025891j 0.0298229+0.0294822j 0.00951902+0.0573711j 0.0300506+0.00962107j -0.0769996-0.00889635j -0.0063656-0.0507718j -0.0102107+0.0455093j 0.0990681-0.0796912j -0.100525-0.15657j -0.1377-0.080965j -0.123266-0.130269j 0.0364206+0.0316079j 0.00735896+0.0200702j -0.0194999-0.0324995j -0.118705-0.0630915j 7.9089e-05-0.0107885j 0.0721317+0.0396602j -0.0434271-0.0438279j -0.0453263+0.0682192j 0.0719641+0.0728913j -0.00991109+0.0514958j 0.0163656-0.0112619j -0.0332995-0.00820833j 0.0239264-0.0138137j 0.0268517+0.00398077j 0.0532158+0.0218449j -0.0122917-0.0391278j -0.0672474+0.04111j -0.0207456+0.0259673j 0.0121023+0.0471266j -0.0430692-0.0354516j 
-0.0919164+0.0322261j -0.00233019+0.0229821j 0.0222057-0.0393698j -0.0229108+0.000204398j 0.0515774-0.00203934j -0.165025-0.00475517j 0.0144566+0.0816395j -0.0555355-0.0247064j -0.0284575-0.0596655j 0.0958469-0.113593j 0.0321669-0.0625615j -0.00734397+0.0984096j 0.0522149-0.065691j -0.0176717+0.0220528j -0.0322723+0.0633675j -0.0177697+0.0159962j 0.038042-0.0377896j -0.0326541-0.0121358j 0.00697294-0.124069j -0.043195+0.112243j -0.0594398+0.100571j 0.0158373-0.0606783j -0.0154722+0.0287523j 0.00600954+0.0650836j 0.0272438+0.0222064j 0.0174047+0.0323472j -0.0186155+0.0017256j -0.120567-0.103822j -0.0715745+0.0923375j -0.0361413+0.00418397j 0.092291+0.124992j 0.153477-0.143173j 0.0293804+0.125486j -0.0464119-0.0327461j 0.0634842+0.0149924j -0.028462-0.00992999j 0.0205176+0.0741252j 0.0353868+0.0470941j -0.0237294+0.0110031j -0.0239945+0.0512293j 0.0332493-0.0113479j -0.03355+0.0398331j -0.0427792+0.0350618j -0.0375573-0.0209381j -0.0466697+0.00275601j 0.0391341+0.125719j 0.0302039+0.00539773j 0.000387015-0.0722192j 0.0398626-0.0495631j 0.0022472+0.0281362j -0.035208-0.00246357j 0.0788463-0.0683187j 0.0243484+0.0600192j -0.0746336-0.013372j -0.00478698+0.0411531j 0.0336223+0.099444j -0.101863+0.0500612j -0.053819+0.0565038j 0.0662719-0.0791879j 0.0264955-0.0553548j -0.0507751-0.0433837j -0.0426675-0.0794233j -0.0750314-0.212348j 0.189782-0.0829321j 0.179891+0.0950842j 0.0483502+0.0277449j -0.0387177+0.0354785j 0.0398192+0.0534434j 0.0294656-0.0218896j 
0.0105825-0.0357175j -0.0200723-0.0237771j 0.0197504-0.0386221j 0.0664636-0.014469j 0.114423-0.00318558j -0.00977936-0.0161775j -0.045675+0.00492082j 0.0537287+0.0846149j 0.00812042+0.0493318j -0.0215459+0.0580411j 0.0327665-0.0430662j 0.0666454-0.0821639j -0.0375778-0.0434949j 0.0381531-0.138713j 0.100809-0.0349374j 0.0525392+0.00281061j -0.143903-0.0372361j -0.0112683+0.0563012j -0.12498-0.0139531j -0.0297243-0.0549438j -0.063027+0.0417501j 0.0395873-0.0247459j 0.110971+0.0459468j 0.133919-0.0893264j -0.0379688-0.0155752j -0.163196-0.0383658j -0.0292353-0.0997097j -0.148994-0.0940123j 0.122216+0.0433326j -0.0388336+0.0311319j -0.0135587-0.0163439j 0.0501411-0.00769235j -0.0647844-0.0241642j -0.0757951+0.0316695j -0.0429962+0.0185469j 0.0125885-0.0499698j -0.0369176+0.0638299j 0.0283043+0.0321728j -0.0572888-0.0156987j -0.00100343-0.0195364j -0.0797136+0.0208481j 0.0409678+0.0478454j 0.00290635+0.0099754j -0.060057+0.00952529j -0.00121067+0.111352j -0.0202618-0.012187j 0.0608304+0.0488894j -0.0896416+0.0189576j 0.0310423+0.0286254j 0.0280008+0.00132237j 0.0183241-0.060061j -0.00260616+0.00284539j 0.031598-0.0326601j -0.134402+0.0145285j -0.00675095-0.108432j -0.0838906+0.0207285j 0.0157567+0.120806j 0.0336953-0.0343027j 0.0374739+0.0372384j 0.0177283-0.0518595j 0.0491197+0.00810986j -0.00343796-0.0475925j -0.041974-0.0217844j 0.138035-0.0420334j 0.0438009+0.00935688j 0.0315523+0.0835989j 0.0722472+0.0386769j 0.00762523-0.0106894j -0.0128733-0.0228374j 
0.0287909-0.0134084j -0.0694488+0.0643217j 0.0143595+0.0304693j 0.0546225+0.0187683j -4.63398e-05+0.029539j 0.011093+0.0124923j 0.0167581-0.0380554j -0.0713792-0.0747285j 0.0839595-0.103512j -0.0203141-0.0374913j -0.0625923-0.0441514j 0.013952-0.0458283j -0.0802019-0.0314235j -0.012632+0.0324187j -0.0334869-0.0444161j 0.0515667+0.0604424j -0.0660204-0.0728098j -0.138931+0.0698192j -0.0819612-0.0985454j 0.100216+0.0225171j -0.0434657-0.0487727j -0.10966-0.0650819j -0.0141424+0.12306j 0.0348583-0.0473053j -0.00462697-0.237811j -0.0439911+0.099748j -0.0327974+0.128021j 0.0344678+0.0489657j 0.0944138+0.204721j -0.0202902+0.000982849j 0.0693254+0.103846j 0.116747-0.00568191j 0.0229936+0.105029j -0.0570007-0.0744912j 0.0339266+0.0358598j 0.0444434-0.0173547j 0.0812955+0.0501403j 0.0982871-0.0218149j 0.00207406-0.032582j 0.0786991-0.0311666j 0.0126555+0.0421108j 0.0444905-0.0319911j -0.0470632+0.0429163j -0.0101288+0.0525757j -0.0503151+0.0728635j 0.0291169+0.0753606j -0.0325569-0.0414503j -0.0228868-0.0995365j 0.0339315+0.0188887j 0.0170287+0.05028j 0.00858569+0.029855j -0.00197063-0.0196518j -0.0105919-0.108755j 0.0576392+0.0565308j 0.092233+0.0156075j 0.0456619-0.0153085j -0.0642436-0.00048241j 0.0810642+0.0327965j -0.0405736+0.0286662j 0.0170912+0.0170165j 0.000868286+0.0415478j 0.0741089-0.028305j 0.0542972+0.0716375j 0.0118334+0.167413j -0.0884665-0.03343j -0.0681417-0.0271268j -0.0493899-0.00328928j 0.0275141-0.0366857j -0.0308383-0.0280413j 
0.0126113-0.0159782j 0.00217263+0.0316417j 0.00436432+0.0243162j -0.024713+0.033116j -0.0141805+0.0457934j -0.0428501+0.0146933j -0.0138873-0.0202014j -0.0582022-0.0581272j -0.00325875-0.053105j -0.0339776+0.0059664j -0.0547722-0.0400355j -0.0958697-0.0289199j 0.0416848-0.118253j -0.00421183-0.057606j 0.0401251+0.0591123j 0.031607+0.0413568j -0.0233347-0.0964389j 0.0905897-0.018335j 0.0527602-0.0648717j -0.0858521-0.107192j 0.0585381-0.188804j 0.0753825-0.0483816j 0.0199885+0.146405j 0.139899+0.0245007j -0.113225+0.017241j 0.0253669-0.126735j 0.141831-0.0335878j 0.238424+0.128296j 0.107602+0.0549516j 0.0151639+0.0987252j 0.0423547-0.0898822j -0.266699+0.0802059j 0.0593851-0.156738j 0.109547-0.0234674j -0.0712996+0.0500446j -0.00204381+0.0743859j -0.0579109-0.0907737j -0.089253+0.0410408j 0.0144191-0.0886263j -0.0616144-0.118373j -0.000398264-0.00265707j -0.0214725-0.0175888j 0.0333817-0.00629366j 0.0296034+0.0735991j -0.0556292-0.0105455j 0.035285+0.0245004j 0.0500657+0.130828j -0.0126435+0.000408831j 0.114685+0.0807247j -0.012285+0.0180397j 0.00507371+0.00243482j -0.00428186+0.00361997j 0.0411722-0.00423671j 0.0277051-0.00389768j 0.0450246+0.072621j -0.0559169-0.0368558j -0.0559818+0.0256047j -0.0177627-0.00678068j -0.0562593+0.0138499j -0.0756818-0.0475691j 0.0128608+0.0447361j -0.00872569+0.0421672j 0.0035797+0.0542803j -0.0515472+0.0352435j 0.0353771+0.0216441j -0.0453456-0.00999105j -0.00876673+0.045518j -0.00459995+0.0196634j -0.0268983-0.0167193j 
0.0256499-0.0138234j 0.0349193-0.0254753j -0.0466099-0.0237601j -0.00762864-0.0220836j -0.0180802-0.0380961j -0.0542922+0.0311968j -0.041523+0.048263j -0.0228996-0.0818155j 0.0419894-0.000760157j -0.0228732+0.0334509j -0.00858166+0.159574j -0.0697102+0.0111216j 0.124623+0.0733981j 0.0696572-0.0665526j -0.0375362-0.0931929j 0.010139+0.117561j 0.0387498+0.0364735j 0.0114998+0.200787j -0.164239-0.0819566j 0.166778-0.0134604j 0.0162875-0.0317498j -0.278318+0.0235474j 0.0448259-0.124137j -0.0740095+0.193195j 0.0691729+0.0705556j 0.191799-0.126851j -0.0656353+0.109048j 0.192814+0.0357421j -0.167119-0.0626354j 0.0995797-0.204161j 0.0908506+0.00565478j 0.0391779+0.0266846j -4.86624e-05-0.0336874j 0.0110399+0.0566947j 0.0212184-0.0691517j -0.0408182+0.00876274j 0.0464628-0.0664222j 0.0107624-0.0456558j 0.0510149-0.0562988j 0.0508815-0.0494259j -0.0456334-0.0221951j -0.0208196-0.00702329j -0.0721409+0.0368217j 0.0809524+0.0463519j 0.061026+0.0863097j 0.083615+0.125286j 0.0549676+0.0533474j 0.0062392-0.0155898j 0.0019762-0.000722273j -0.00141029-0.0584591j -0.0814409+0.0227974j 0.0204905+0.00582056j -0.00608774-0.0335264j -0.0118351-0.0248052j 0.00704966-0.0208778j 0.0425513+0.0036773j 0.0192366+0.0158743j -0.0732528-0.0751568j -0.000374295-0.0881081j -0.00332883+0.0368248j -0.101825-0.0484217j 0.0305706-0.00272029j 0.0171268-0.0231022j 0.048791-0.0237432j 0.00804305-0.00294151j 0.0265926+0.0161284j -0.00630257-0.0305392j 0.00695225+0.00330452j -0.00676222+0.03708j 
