0.0251241-0.0614529j -0.0146783-0.106055j -0.0737872+0.0649027j 0.0443121+0.000959824j 0.0483643+0.0368067j -0.120814+0.0672178j -0.0949805-0.177078j -0.197197+0.0695121j -0.0252079+0.0522096j 0.0249287+0.194504j -0.179111+0.0506683j 0.00572593-0.0339566j -0.0705792+0.10108j -0.0808424-0.123619j 0.269505-0.24397j 
-0.0296025-0.126788j -0.0458713+0.0903922j 0.0246834-0.0693931j 0.107514-0.106118j -0.064046-0.0344085j -0.114923-0.121718j 0.184726-0.0516147j 0.0536663-0.0181101j -0.0127029-0.0368545j -0.0255446-0.0091399j -0.139082-0.165994j 0.164457-0.126401j -0.0130339-0.00541745j -0.313633+0.254334j -0.0830776-0.166193j 
0.0691578+0.156836j 0.109177+0.094784j 0.0691739-0.0161774j 0.0534911+0.0436924j 0.0997451-0.154077j -0.0568357+0.0276492j -0.0835371-0.0126387j 0.0989818-0.0931087j -0.0769633+0.279467j 0.108646+0.0237398j -0.116041-0.207334j 0.0783612+0.0159326j 0.0218353+0.0148391j -0.000640821+0.0940925j -0.0830677+0.107749j 
-0.0524564-0.141128j -0.0293878-0.0336231j -0.0208478+0.0624436j 0.0025172+0.0300942j 0.211934-0.263397j 0.0477488+0.0685819j -0.162653-0.40946j -0.120901-0.052628j -0.0384793-0.308043j 0.082014-0.0586997j 0.184798+0.182776j -0.0750741-0.00133385j -0.0157772-0.084019j 0.0118078+0.010402j 0.105123-0.138696j 
0.0318735+0.0658765j -0.0390944-0.0475719j 0.0278565-0.0165562j -0.192368+0.065063j 0.0322921-0.0382271j 0.187602+0.0538508j -0.182897+0.00417803j 0.145556-0.133639j -0.139562-0.0211438j -0.0503933-0.0612711j 0.250265+0.176492j -0.210744+0.0403343j 0.0505166-0.0502992j 0.235808-0.0593429j -0.0753866+0.202852j 
-0.118928+0.0644744j 0.157066+0.0703809j -0.045819+0.0661829j 0.10089+0.0660182j 0.0150483+0.0566448j 0.1192-0.0147967j 0.193331+0.184029j -0.113462+0.13067j 0.391603-0.326024j -0.0203948-0.111303j 0.197662+0.320371j 0.0110547+0.182574j -0.0106979-0.0367879j 0.0764904-0.0207354j -0.031094+0.0865067j 
0.0521616+0.00264054j -0.0181454+0.039606j 0.124207-0.0717687j 0.00370247-0.171142j -0.00533534+0.00997557j 0.0668887-0.0419337j 0.282475+0.120442j 0.37342-0.00305162j 0.0196906-0.0911264j 0.0384103-0.11524j 0.169194-0.0289223j 0.144971-0.11748j 0.13391+0.00818943j -0.0899745+0.191114j -0.245941+0.05803j 
0.291867+0.137048j -0.0774259-0.317323j 0.0728622+0.0682735j -0.143282-0.0687859j 0.110751+0.256169j 0.0395282+0.158422j 0.0438116+0.0752733j 0.268939+0.171582j -0.132089+0.0909126j 0.00160932+0.119883j -0.0698141+0.171695j -0.0519256-0.0766841j 0.0976755+0.1312j 0.0328305-0.228404j 0.0493177+0.0132466j 
0.0733573+0.0879113j 0.138987+0.0108978j 0.04799+0.0812041j 0.179075+0.010427j 0.303384-0.217158j -0.0663244+0.103484j 0.0178664-0.260516j 0.0532668+0.0714807j 0.0701185-0.00320374j 0.187179+0.0338298j -0.0493325-0.0180554j 0.144962+0.00279139j -0.0043328+0.0263395j -0.103104+0.0525741j 0.0348066-0.0786302j 
0.057725+0.281527j 0.301661+0.128818j 0.0354814+0.0513515j 0.155347+0.157598j 0.249749-0.242329j -0.0316594+0.12177j -0.0577213-0.0567801j 0.0920009+0.0335547j 0.0559322+0.182024j 0.165659-0.0851856j 0.0574651-0.0121116j 0.10625+0.111152j -0.00552197-0.0362761j 0.105652-0.0253281j 0.0206308+0.175394j 
0.0903103+0.043672j 0.00309309-0.028769j 0.0440841-0.0119942j -0.0283207-0.0156074j 0.00435883-0.000125147j -0.0116523+0.0257802j 0.0164571+0.0384594j 0.0587651+0.00159872j -0.0767603+0.108832j 0.0467521+0.0218044j -0.0516044-0.00841526j 0.0495655-0.0336817j 0.0489852+0.0380122j -0.0295767+0.000649903j -0.00995408-0.00630481j 
-0.034094-0.0965911j -0.0900827-0.0589113j -0.0182193+0.0193986j -0.0246275-0.0139017j -0.0363558+0.0292254j 0.0253153+0.00934368j -0.000594663-0.0974544j -0.0630297+0.0215492j 0.000747147-0.0878934j -0.068379+0.0247613j 0.0207978+0.0491344j -0.0460974-0.0192201j -0.0281289-0.010768j -0.0184763-0.0235336j 0.0240621-0.06641j 
-0.0971623-0.00338406j 0.0533349+0.100947j -0.0277772-0.0384229j 0.0572693+0.0155497j -0.0787237-0.0145443j -0.00988891-0.0852004j 0.0604667+0.120023j -0.0527925-0.0099203j 0.117619-0.0153044j -0.024481-0.0285822j 0.0130764-0.016376j 0.0347441+0.0472731j -0.0249908-0.0108556j -0.00185672+0.0635769j -0.03368+0.0351056j 
0.0349574+0.0173018j -0.00781061-0.0221743j 0.00814754+0.0103981j -0.03097+0.00455843j 0.0218461-0.00723772j -0.0114357+0.022585j -0.0110601+0.021634j -0.000530864-0.00402892j -0.0442293+0.017274j 0.0186151-0.00518202j -0.0367549+0.0153674j -0.00584718+0.00952788j 0.0172125+0.00579j 0.00609473-0.0228771j 0.00522457+0.00427485j 
-0.055461-0.0764997j -0.0355644-0.00803932j 0.0120459-0.00554957j -0.0147026-0.00112045j -0.025587-0.0427902j 0.0423918-0.00284972j 0.0131982-0.046957j -0.0921926+0.0171464j 0.0236275-0.0160882j -0.0243504+0.0111835j 0.00016569+0.0293012j 0.00565586-0.00179457j -0.0134514-0.00114708j 0.00067801-0.00242442j -0.00260323-0.039195j 
0.0802109+0.0646438j 0.0188152-0.0511552j 0.0161407-0.018259j 0.00798311+0.0418273j -0.0259248+0.0188294j 0.0233931-0.0309943j -0.0321812+0.045691j 0.0245771+0.0489759j 0.0201746+0.0309967j 0.0328618-0.00320449j 0.0351113+0.0283089j 0.00052074+0.00980562j 0.0308148-0.00666027j 0.0199827-0.0213628j -0.0115541+0.0573455j 
-0.128503-0.0468629j 0.088863+0.12543j -0.00656211-0.0606135j 0.0325317+0.00922137j 0.0113576-0.0610429j 0.0381232-0.0879503j 0.00322893+0.0430388j -0.0627361-0.0198826j 0.0805589-0.0419161j -0.0044483-0.0674476j 0.0305081-0.0229334j 0.0199476+0.00278319j -0.0293338-0.0368535j 0.00862148+0.0608209j -0.00970617+0.00802007j 
0.0603052+0.134611j 0.143466+0.0681466j 0.0282514+0.0341903j 0.0434315+0.0600767j 0.0767648+0.0123408j 0.0253701+0.0620795j -0.0272273+0.00487398j 0.0155388-0.00502275j 0.031322+0.0671456j 0.0625234-0.0261503j 0.0144854+0.00352358j 0.0381961+0.0300437j 0.0184906-0.0149192j 0.012842+0.00325685j -0.000338888+0.0568202j 
