0.112184+0.0170158j -0.0393321-0.0134033j 0.136859+0.0179079j -0.0311085+0.0268135j 0.103806+0.00323246j 0.019591-0.0521742j -0.163385+0.00916863j 0.0300347+0.125639j -0.0222699-0.047979j 0.103596-0.0733004j 0.0193278-0.0810412j 0.0286319-0.0321583j -0.0181591+0.0298801j -0.117113+0.00740593j 0.063366-0.0758506j 0.1118+0.012207j 0.0463239+0.00333724j -0.0424447+0.0391586j 0.049154+0.0560228j 0.0856217-0.0250039j -0.0697283-0.00106346j -0.0606749+0.0428985j 0.0668706-0.0850817j -0.116021+0.0031692j 0.0177713+0.0230574j -0.0256685-0.0108509j 0.0113132+0.00848682j -0.0629581+0.00825452j 0.0224466+0.156294j 0.0601945-0.0039127j 0.0866921+0.0327537j 0.0367778-0.00216156j 0.0262697-0.0514265j -0.0708393-0.0626716j -0.0641156-0.102104j 0.022968+0.0399903j 0.084161-0.0760632j 0.00617786-0.0505405j -0.0141136+0.190475j -0.390391-0.103518j 
-0.160689+0.0240915j 0.0678025-0.0169688j -0.00065574+0.0453117j 0.0320348-0.0251139j -0.036344+0.0124342j 0.0326212+0.101584j 0.0711039+0.0409231j -0.0542066+0.00441157j 0.0382135+0.0648022j -0.034144-0.0386543j 0.0480776-0.0915805j 0.0420401-0.0158256j 0.126137+0.0672228j 0.0620524-0.0175677j 0.0142642-0.0169428j -0.0065335-0.0297368j 0.112546-0.0130578j -0.011643+0.0137606j 0.0313679-0.00709514j -2.18791e-05+0.0178571j 0.0483513-0.0433603j 0.0596139+0.0605092j -0.0164098-0.0625706j -0.0185821-0.00726001j -0.0363546-0.00264442j 0.0123074-0.105418j 0.034151+0.117691j 0.0230601+0.0368079j 0.0251312-0.0474639j -0.0373783+0.013874j -0.00535938-0.0858733j 0.134589+0.000188799j 0.0490147-0.100994j -0.106468+0.0669044j -0.0730411+0.00669572j -0.0388685+0.0135729j -0.107279-0.139213j -0.198732+0.100976j -0.327545-0.0384544j -0.035497-0.134781j 
0.0448322-0.0271016j -0.0114638-0.0815272j 0.0974016+0.111255j 0.051507-0.011624j 0.242737-0.0497231j 0.028701+0.333542j -0.159784+0.366639j -0.0564285+0.436838j 0.348044-0.0270723j 0.242387-0.221572j 0.134134-0.016914j 0.0115777+0.000491428j 0.0260269-0.0201057j -0.00325368-0.00326491j -0.119507+0.00610015j 0.000429733-0.051264j 0.077267-0.025617j -0.0734057-0.0927922j 0.0689986+0.0650338j 0.0904548+0.0659001j 0.0286342+0.0134104j 0.0162006-0.00611208j -0.0040547+0.0480038j -0.113361+0.0476811j -0.060505+0.0794715j -0.032768+0.0400433j 0.0407697-0.0193491j -0.0145922+0.00488744j 0.00816362-0.0725516j -0.0242706-0.00843614j -0.0156542-0.0373993j -0.000477479+0.0272556j 0.0914033+0.00957609j -0.00231284-0.0563642j 0.0317873-0.0597245j 0.0444863+0.0390907j -0.137416+0.0379181j 0.0469558+0.0558735j -0.019812-0.0334355j 0.0195645+0.0472917j 
0.196348+0.0687612j -0.0557313+0.0416995j -0.115317+0.115401j 0.103846-0.00474948j -0.0128369-0.225512j -0.162583-0.274361j -0.339136-0.180932j 0.389574-0.0190167j 0.00525017-0.354538j 0.354295+0.112689j -0.0120052+0.126013j 0.0482992+0.0677711j -0.0175933-0.0304909j -0.0318004-0.0447338j -0.0911759-0.156865j -0.124758-0.0541512j 0.00778617+0.0465956j -0.122071-0.000187127j -0.0623257+0.0139509j 0.0032779-0.118358j 0.00539319+0.0297728j 0.0564388-0.0151057j 0.0125437+0.00710112j -0.0398314+0.000964015j 0.0274417-0.0283966j 0.00934914-0.0306078j 0.00222335+0.0100104j 0.0302676+0.0605619j -0.0185135+0.0228889j -0.0315262+0.00865862j -0.0317925+0.0394131j 0.0258769+0.00643174j -0.00597536-0.03636j -0.00157343-0.0387607j -0.0700432-0.0308165j -0.0667821+0.0251264j -0.0887373-0.0305263j 0.0226833+0.0689193j -0.0370949-0.0559407j -0.015126+0.0062615j 
-0.150958+0.0466138j 0.0562404+0.00543556j 0.104719+0.0440722j 0.00996598-0.0265482j -0.00892487-0.0162598j 0.0101561-0.108772j 0.0395586-0.127273j 0.0265342-0.154971j -0.170652+0.00430731j -0.0530348+0.04834j 0.105243-0.11189j -0.0208809-0.00916388j 0.136842+0.0579844j -0.0320468+0.0233382j 0.13531-0.237842j -0.0227121-0.0141156j 0.293981+0.0308829j -0.062979+0.00621576j 0.106378+0.0106889j 0.0170587-0.0203985j 0.0655801-0.0110908j 0.0823191+0.0604777j 0.094253-0.0492907j -0.151998-0.0404089j 0.0280278-0.0891855j -0.019132+0.0571399j 0.0194368-0.050836j 0.0163751+0.0388885j 0.0524059+0.0631911j -0.0762821-0.0211662j 0.0180811-0.0950537j -0.0945846+0.00635724j 0.111675-0.00828599j 0.0775712+0.00266386j 0.00211282-0.0364821j 0.0268775-0.0851726j -0.109821+0.0597524j 0.128675+0.0642706j -0.0676739+0.013608j 0.0213185-0.0151873j 
0.0898245-0.0434013j 0.0172392+0.0453314j -0.08797-0.0649397j -0.0823099+0.0151546j -0.0791635+0.0240528j 0.0357525-0.0402847j 0.0619965-0.0523155j 0.0126512-0.0873159j -0.0618086+0.0260345j -0.0622744+0.0629316j 0.0249309-0.0136948j 0.330368+0.00332219j 0.217314+0.0967341j -0.150647-0.0236811j 0.012734-0.0364395j 0.464877+0.0159116j 0.161328-0.0124522j -0.172339-6.96666e-05j 0.04976+0.0355991j 0.0828101-0.0105939j -0.00960712-0.0261122j 0.0815274-0.0586526j -0.0325049+0.0303462j -0.104956+0.0202767j -0.0034829+0.0158448j -0.0167697-0.0789042j 0.0369738+0.0576656j 0.00220693-0.0372091j -0.0706634-0.204646j -0.0679249+0.0290685j -0.0480072+0.0564592j 0.0717954+0.0937747j -0.0216588+0.103465j -0.166418-0.0317177j -0.040986-0.0347395j 0.0663334+0.107631j -0.162216-0.0645734j -0.162639+0.00955803j -0.0283746+0.0162694j -0.069173+0.0334821j 
0.0133069-0.0169456j -0.0670426-0.00859633j 0.0925593+0.00884277j -0.0503533-0.00286084j 0.0863298+0.0396997j 0.0323098+0.0600012j 0.125336+0.0437726j -0.0543605-0.0751116j -0.12325+0.0878388j -0.0858455+0.0152506j -0.00875789-0.0179098j -0.258664+0.00255978j -0.361063-0.141009j -0.0776753-0.00650306j 0.138575-0.202895j 0.0306768-0.0141864j -0.102171-0.000735687j 0.277858-0.0197153j 0.07154-0.0381731j -0.0319859+0.0329537j -0.109392+0.0587956j -0.0211296-0.0185864j 0.178371-0.00113824j -0.20963-0.0116127j 0.1177-0.0231895j -0.0125476-0.0161921j 0.0400892+0.0165327j 0.00511622-0.0431092j -0.0448025+0.138968j -0.152706+0.0382201j -0.0101524+0.0832225j -0.0465051+0.0541312j 0.0480976-0.0986162j -0.0137369-0.153507j -0.0726484-0.0934539j -0.0325436+0.0654094j -0.131029-0.0457864j -0.0260575+0.074047j 0.0292523-0.000160038j -0.0903265+0.0430698j 
0.179056+0.0106102j -0.0362553-0.00732581j -0.0183285-0.0430736j -0.104961+0.00936249j -0.140219+0.0478478j 0.0156374+0.0226475j 0.0456977-0.0231635j -0.00746694-0.00905176j 0.0896346+0.027215j 0.0414888-0.027303j -0.11545+0.0587896j 0.197622-0.00900783j -0.1171-0.0706435j -0.148124+0.0181972j -0.11483+0.254281j 0.456563-0.00190016j -0.332705+0.00195724j 0.0651985-0.00238674j -0.161471-0.0676098j 0.0636471+0.0226861j 0.0485638+0.0127005j -0.048531+0.0935292j 0.0512096-0.00430999j -0.0928871-0.0263529j 0.0595478-0.0664659j -0.0153896+0.0414802j 0.00141338-0.0235739j 0.0505639+0.133836j 0.0688536+0.059714j 0.00576301-0.00455885j 0.0397909-0.130779j -0.0329316+0.0404389j 0.0661025-0.0285841j 0.139756+0.0654491j -0.06799-0.00224818j -0.0690261-0.0337859j 0.0150755+0.0552521j 0.150969+0.0247705j -0.0443267+0.00864859j 0.00280208-0.0393726j 
-0.0886389-0.00139012j 0.042993+0.0110033j -0.0495557-0.0476961j 0.0114259+0.00762592j -0.116896-0.0196343j -0.0272527-0.00760689j 0.0183187-0.0404608j -0.0314432-0.0408842j 0.047587-0.0017648j -0.104257-0.0106905j -0.101292+0.0915191j -0.0453711-0.00495378j 0.105574+0.024414j 0.149358+0.0313191j -0.0916099+0.175294j -0.241412-0.0219636j -0.0826207+0.0119669j 0.0225698-0.019157j -0.0896461-0.112833j -0.0925509+0.0331261j 0.0476171+0.0443542j 0.0566899+0.0501466j -0.263594+0.0110533j 0.27374-0.0506616j -0.0478805-0.090399j -0.136313-0.0123935j 0.114823-0.0525552j 0.0581701+0.042476j -0.0246687-0.063562j 0.154858-0.0124786j -0.0217318-0.0175747j 0.0172438+0.203436j 0.196884+0.102896j -0.0129087-0.220072j 0.0340915-0.301351j 0.000387352+0.180374j -0.145456+0.0285376j 0.0534168+0.135178j 0.0311431+0.0497692j -0.00926041+0.044397j 
0.114172-0.031047j -0.0694931+0.0418433j 0.0499339-0.0533547j -0.0820596+0.0387576j 0.0680673+0.0512157j 0.0872536-0.0307253j -0.0607211-0.0920377j -0.0258632+0.0259505j -0.129197-0.0163992j 0.0398109+0.00926123j 0.0496296-0.0200878j -0.0810623+0.021818j -0.206906-0.0961908j 0.0025966-0.042308j 0.0301188-0.00813793j -0.205687+0.0425448j -0.0737847-0.0200315j 0.0136388+0.0388881j 0.0687822-0.0130786j 0.0165712-0.0862508j -0.0797355+0.125989j -0.112145-0.0267887j 0.0872628+0.0789179j 0.00828304+0.0522155j -0.0601798-0.0596803j -0.0532401-0.0660386j 0.0545375+0.0598992j -0.0609702+0.0216526j 0.176669-0.103488j -0.0398701-0.0769552j -0.169808-0.250418j 0.10808+0.0524847j 0.202212+0.114917j -0.159338+0.150315j 0.152777+0.151066j 0.0952707+0.134639j 0.00356854+0.0339415j 0.00068359-0.0659121j -0.121473+0.0215882j 0.0416873-0.0412903j 
-0.059509+0.0258197j 0.0541287-0.00118126j -0.146543+0.0421295j 0.067736-0.0128736j -0.0610699-0.0332542j -0.0507812-0.0186256j 0.0366248-0.0163678j 0.132229-0.0102075j 0.0193406+0.039177j 0.0715533-0.0005213j -0.0792969-0.0089751j 0.0616318-0.0249677j -0.0318341-0.0101812j -0.021075-0.0650922j -0.077425+0.0266766j 0.0651208+0.0398083j -0.175437+0.0399105j 0.129366-0.0166925j -0.153731+0.0383751j -0.044386-0.151766j -0.0740907-0.152617j -0.136231-0.103522j 0.115748-0.0184733j -0.00817678+0.14996j -0.0452116+0.0972146j -0.109583-0.0614734j 0.105811+0.00647215j 0.0276005-0.406877j 0.183414+0.177407j 0.00228639-0.108199j 0.083303-0.186909j -0.0252106+0.0219609j 0.180976-0.0764287j 0.0171154-0.094811j 0.128336-0.148538j 0.151138-0.0158357j 0.0257236-0.0134537j -0.00680323+0.0364873j 0.0470591+0.00538279j -0.0896218+0.000204953j 
