-0.0745744-0.0929834j -0.0890681+0.168612j -0.0163962+0.0325321j -0.183669+0.0286652j 0.000527547+0.105707j 0.119146-0.162474j -0.132701-0.00762829j -0.0787246-0.0853451j -0.0454583-0.169954j -0.0119349-0.118248j -0.201359+0.0431434j -0.0104846-0.142039j 0.167343+0.0572239j 0.124495-0.103479j -0.0161367+0.0172427j 0.0989501-0.107195j 0.248349-0.0344963j 0.0882041-0.26268j 
0.00295478+0.245552j 0.135863-0.00276135j 0.00644387-0.00849236j -0.0621835-0.0420547j -0.0115818-0.0997921j -0.0169721-0.139517j 0.105814+0.0228663j 0.00306788+0.0820492j -0.0291897+0.0735057j -0.195678+0.0231587j 0.0289777-0.0310897j 0.10721-0.0698744j 0.0969124-0.0142853j 0.132539+0.204788j -0.179519+0.075274j -0.00497275-0.0159024j 0.0764555-0.295516j -0.275302+0.0524522j 
-0.0401982+0.0257965j -0.00414544+0.00356748j -0.0017398-0.163787j 0.355659-0.0435414j 0.15716-0.103428j -0.0252116+0.472277j 0.137006+0.102326j 0.142296+0.11687j 0.288138+0.0640382j 0.111938+0.0664127j -0.0684508-0.0247709j 0.0596709-0.0690189j -0.0793876+0.11029j 0.076136-0.0413443j -0.0634882-0.00686925j 0.039421-0.0294416j 0.0727952-0.0809307j -0.0325172-0.0383494j 
-0.165478+0.088291j 0.0630621+0.157587j -0.157599-0.0910863j 0.140338-0.229807j 0.149603-0.26112j 0.262019+0.0584385j 0.296121+0.138299j -0.0654876+0.123141j -0.021086-0.0310797j -0.0324672-0.272323j -0.0628318+0.0018854j 0.0245153+0.0133858j 0.0245347-0.00214263j -0.0579226-0.0519793j 0.0837467+0.0208341j -0.0341034+0.0382136j -0.0264495-0.00161038j 0.0131637-0.00238851j 
0.050631-0.109604j -0.157807-0.0600089j 0.0755766-0.0183338j -0.0930388-0.0236648j 0.0880342+0.203014j 0.201121-0.0568411j -0.272334+0.174006j -0.142597-0.321399j -0.079635-0.199455j 0.24157-0.127374j 0.0295115-0.132665j -0.0576761+0.0372172j 0.0836061+0.0659259j -0.00202255+0.147047j -0.0949699+0.0786976j -0.0305401-0.000963003j -0.0209207-0.0799384j -0.127162+0.102666j 
0.0294656+0.0992608j 0.15049+0.0761459j -0.0709109+0.0341874j -0.114125+0.00776805j 0.00659737+0.194352j -0.026244-0.0155748j -0.0825647-0.0151569j 0.0452678-0.0693776j -0.0372308+0.0179342j 0.192808+0.045276j -0.046919-0.00758493j 0.117832-0.000304026j 0.0348101-0.0248409j 0.255892-0.444898j 0.192487+0.0765502j -0.00206588+0.0330628j 0.0787942-0.0750197j 0.0191836-0.0891528j 
-0.0454838+0.09503j 0.121286+0.0942297j -0.0581192-0.0454306j -0.00692333-0.00376675j -0.0253675+0.119991j -0.0300382-0.0434423j -0.0657773+0.00152876j 0.102923+0.0372217j 0.0129993+0.0899466j 0.00690415-0.00251767j -0.242579-0.424039j -0.403723-0.30133j -0.145779+0.0782797j -0.261518+0.1519j 0.341911+0.186508j 0.0323104+0.113828j 0.0173073-0.0498194j 0.0806169-0.0381969j 
-0.000596197-0.0864168j -0.0181892-0.0262145j -0.0610848+0.0650687j -0.047941-0.0622902j -0.0363812-0.0324011j 0.0601498-0.112144j 0.0684322-0.0425541j -0.0566394-0.0087248j -0.125451+0.0138517j 0.0419695-0.0943456j 0.0977413+0.00944388j -0.0445804+0.162406j -0.126065-0.00489866j -0.168757-0.238305j 0.184937+0.0228896j -0.0861084+0.0840778j -0.13749+0.159894j 0.102703+0.133076j 
0.139492+0.0548719j 0.0585079-0.0932541j -0.0195257+0.0806428j -0.151697+0.0550049j 0.0807656-0.0102436j -0.0452135+0.0490912j 0.0545197-0.0359693j 0.00828249+0.0240731j 0.15043+0.107319j 0.0174595-0.174098j -0.205824-0.117846j 0.375711-0.246685j 0.15226+0.0343411j 0.148388-0.180228j 0.0383373-0.198157j 0.194483+0.0927166j 0.114153-0.00994922j 0.087163-0.0863788j 
0.0334777+0.0526833j 0.00835288-0.0119843j 0.00353593-0.00370941j -0.0479233-0.00445988j 0.0322735+0.0333328j 0.0496357-0.0281929j -0.0334099+0.070877j -0.0233447-0.0193993j -0.0327192-0.067957j -0.043854-0.0392062j -0.0713857-0.072798j 0.0671886-0.10308j 0.128572+0.0400051j 0.0302631+0.116161j -0.0684315+0.0281857j 0.0534895-0.0188476j 0.0714561-0.11811j -0.0608873-0.0338312j 
-0.196947-0.112558j -0.012632+0.211681j -0.0343241+0.0301208j 0.044937+0.0304073j -0.106838+0.010321j -0.0120921+0.0203193j 0.00796569-0.111705j 0.0599893+0.0950641j -0.0227738-0.0451362j -0.0669977+0.0737782j -0.0748461+0.20023j -0.146487+0.0953844j -0.114638-0.057713j 0.152949-0.239333j 0.0969902-0.015216j -0.0333185-0.0479701j 0.109967+0.0934986j 0.0475691-0.184627j 
