-0.216755-0j -0.229691-0j 0.164635-0j -0.172976-0j -0.148265-0j 0.176432-0j -0.107023-0j -0.137267-0j -0.132612-0j -0.160144-0j 0.286681-0j 0.134752-0j -0.149801-0j -0.0577991-0j -0.103785-0j 0.117621-0j -0.12358-0j 0.111585-0j 0.31286-0j -0.077357-0j -0.117238-0j 0.0849035-0j -0.0749006-0j -0.028209-0j 0.130183-0j 0.0891301-0j 0.233804-0j -0.0789686-0j -0.0873841-0j -0.0540661-0j 0.244852-0j 0.221226-0j 0.0469855-0j 0.0396134-0j 0.103985-0j -0.0127462-0j -0.0416201-0j 0.26411-0j -0.0446023-0j 0.182502-0j 0.159689-0j 0.151121-0j 0.049527-0j 0.0237362-0j 0.21788-0j -0.0164552-0j -0.00544205-0j 0.107591-0j 0.093152-0j 0.109085-0j 0.0113053-0j 0.0497343-0j -0.00224473-0j 0.0113657-0j 0.000890394-0j -0.000126143-0j 
0.219002-0j -0.222885-0j 0.172976-0j -0.174631-0j 0.149801-0j -0.178032-0j 0.0955452-0j 0.138689-0j 0.133986-0j -0.155399-0j 0.0990842-0j -0.141467-0j -0.145362-0j 0.273771-0j -0.10071-0j 0.12358-0j -0.124763-0j 0.117238-0j -0.103852-0j 0.0781587-0j -0.11836-0j 0.0788207-0j 0.0756768-0j 0.296814-0j -0.131363-0j -0.0899383-0j 0.0483582-0j 0.0704994-0j -0.0847947-0j 0.0482677-0j -0.0845606-0j 0.076461-0j 0.231427-0j 0.0416201-0j -0.109167-0j 0.232603-0j -0.0420185-0j -0.052464-0j 0.211263-0j -0.0605802-0j 0.0487679-0j 0.0223011-0j 0.0459788-0j 0.259712-0j -0.0450292-0j 0.173142-0j 0.151928-0j -0.0118529-0j 0.150934-0j 0.014224-0j 0.214537-0j 0.107126-0j 0.0887282-0j 0.108542-0j 0.0491459-0j 0.0108491-0j 
0.0255288-0j 0.0270523-0j 0.0201636-0j 0.0203726-0j -0.0339521-0j 0.0216084-0j 0.0126049-0j 0.0161669-0j 0.0156187-0j -0.0366725-0j 0.0115502-0j 0.0165037-0j 0.0176432-0j 0.00680741-0j 0.0122235-0j -0.0280091-0j -0.0282993-0j 0.0136663-0j 0.0126049-0j -0.0445398-0j 0.013808-0j 0.0103985-0j -0.017152-0j 0.00332237-0j -0.0310003-0j 0.0109161-0j 0.00563707-0j -0.0180835-0j -0.0503131-0j 0.00636775-0j 0.00986488-0j -0.0173297-0j 0.00575451-0j -0.0380025-0j -0.0247619-0j 0.00150121-0j -0.0383964-0j 0.00636775-0j -0.0102138-0j -0.0359454-0j 0.00643374-0j -0.0050545-0j -0.0296535-0j 0.00290707-0j -0.0102138-0j -0.00947442-0j 0.000640949-0j 0.00143863-0j -0.00729706-0j 0.00187651-0j -0.00269212-0j 0.00119911-0j -0.000514036-0j 0.000457916-0j 0.00010905-0j 1.48567e-05-0j 
-0.0315903-0j -0.000662564-0j 0.0239942-0j 0.0242118-0j -0.0216084-0j 0.000508933-0j 0.0302693-0j -0.0200055-0j -0.0193271-0j -0.00046195-0j 0.0417814-0j -0.0188616-0j -0.000432115-0j 0.0246043-0j -0.000299378-0j 0.0171423-0j 0.0172978-0j 0.0162626-0j 0.000902473-0j -0.0112741-0j 0.0164101-0j -0.0240132-0j -0.0109161-0j 0.016038-0j 0.000375524-0j 0.000257104-0j 0.034075-0j 0.0223347-0j -0.000252067-0j 0.0152915-0j -0.0342725-0j 0.0322418-0j -0.0200011-0j 0.00577332-0j -0.0145551-0j 0.00906763-0j 0.00582567-0j 0.000761849-0j 0.0189866-0j 0.000526443-0j -0.0451648-0j 0.0220246-0j -0.0140077-0j -0.0134951-0j -0.0304972-0j 0.00935552-0j 0.00464892-0j 0.000310356-0j -0.0396536-0j -0.0308524-0j -0.0080426-0j -0.0282762-0j 0.00223826-0j -0.00970928-0j -0.00101502-0j 0.00017984-0j 
0.0184277-0j -0.0378953-0j 0.0145549-0j 0.0129939-0j 0.0126049-0j -0.0302693-0j 0.0347744-0j 0.0116699-0j 0.0112741-0j -0.0264212-0j 0.00833734-0j 0.0105262-0j -0.0247148-0j 0.00601255-0j -0.0171229-0j 0.0103985-0j 0.00928328-0j 0.00986488-0j -0.0176571-0j 0.00657659-0j 0.00880689-0j 0.0286874-0j 0.00636775-0j -0.0301266-0j -0.0223347-0j -0.0152915-0j 0.00406905-0j 0.0256588-0j -0.014417-0j 0.0175674-0j 0.00629195-0j 0.00643374-0j 0.00508259-0j 0.00350208-0j 0.00812287-0j -0.0467975-0j 0.00312649-0j -0.00892004-0j 0.00463975-0j -0.0103-0j 0.0177494-0j 0.00187651-0j 0.0167343-0j -0.0263608-0j 0.00335051-0j -0.0175739-0j -0.0445537-0j -0.00201525-0j 0.0033148-0j 0.00517692-0j -0.0431628-0j -0.0108733-0j -0.0338835-0j -0.0318307-0j -0.023032-0j -0.00693481-0j 
0.0156233-0j 0.0165557-0j 0.0123399-0j 0.0124678-0j 0.0106867-0j 0.0132241-0j 0.00771403-0j -0.0289716-0j 0.00955843-0j 0.0115429-0j 0.00706855-0j 0.0101-0j -0.0316172-0j 0.00416605-0j 0.00748066-0j 0.00881604-0j 0.0089074-0j -0.0244906-0j 0.00771403-0j 0.00557575-0j -0.0247444-0j 0.00636375-0j -0.0370159-0j 0.00203325-0j 0.00975756-0j -0.0458049-0j 0.00344982-0j 0.00569191-0j -0.0184434-0j -0.0267195-0j 0.00603718-0j -0.0159724-0j 0.00352169-0j 0.00296913-0j -0.0228225-0j 0.00091872-0j 0.0029999-0j -0.0114113-0j -0.00941381-0j 0.00449985-0j -0.0115295-0j 0.00159094-0j 0.00371219-0j -0.00520959-0j 0.00321485-0j 0.00118606-0j -0.00114861-0j 0.000880423-0j 0.0022968-0j 0.0011484-0j 0.000847364-0j 0.000733839-0j 0.000161796-0j 0.000280239-0j 6.67375e-05-0j 9.09214e-06-0j 
-0.00225503-0j -0.00238961-0j -0.00178111-0j -0.00179957-0j -0.00154249-0j -0.00190873-0j -0.00111342-0j 0.0041817-0j -0.00137964-0j -0.00166607-0j -0.00102026-0j -0.00145782-0j 0.00456355-0j -0.000601318-0j -0.00107974-0j -0.00127249-0j -0.00128567-0j 0.00353491-0j -0.00111342-0j -0.00080479-0j 0.00357155-0j -0.000918528-0j 0.00534279-0j -0.000293474-0j -0.00140838-0j 0.00661136-0j -0.000497939-0j -0.000821557-0j 0.00266207-0j 0.00385663-0j -0.000871393-0j 0.00230542-0j -0.000508312-0j -0.000428557-0j 0.00329415-0j -0.000132606-0j -0.000432998-0j 0.00164707-0j 0.00135877-0j -0.000649498-0j 0.00166414-0j -0.000229632-0j -0.000535808-0j 0.00075194-0j -0.000464024-0j -0.000171193-0j 0.000165787-0j -0.000127078-0j -0.000331514-0j -0.000165757-0j -0.000122306-0j -0.00010592-0j -2.33533e-05-0j -4.0449e-05-0j -9.63273e-06-0j -1.31234e-06-0j 
-0.0182272-0j -0.000382291-0j -0.0143965-0j 0.0139699-0j 0.0242413-0j -0.00030536-0j 0.017465-0j -0.0115429-0j -0.0111515-0j 0.000518238-0j -0.00824665-0j 0.0113169-0j -0.000249325-0j 0.0141964-0j -0.000172737-0j 0.0199981-0j -0.0194055-0j -0.00975756-0j -0.000178126-0j 0.0318008-0j 0.00946843-0j 0.0144079-0j 0.0122463-0j 0.00925375-0j 0.000438083-0j -0.000154262-0j -0.00402479-0j -0.0250561-0j 0.000711002-0j 0.00882301-0j 0.00676457-0j 0.0123732-0j 0.0120006-0j 0.0271333-0j -0.0169798-0j 0.00523191-0j -0.0263293-0j -8.99862e-05-0j -0.0213001-0j 0.000507964-0j 0.00891444-0j 0.00360884-0j -0.0410871-0j 0.00809703-0j -0.00700381-0j -0.026389-0j 0.00268237-0j -2.033e-05-0j -0.0152175-0j 0.00260005-0j -0.00938242-0j 0.00333985-0j -0.00251099-0j 0.00191638-0j 0.000609014-0j 0.000103766-0j 
-0.0111618-0j -0.011828-0j 0.0257719-0j -0.0089074-0j -0.00763491-0j 0.0276185-0j -0.00551117-0j -0.00706855-0j -0.00682887-0j -0.00824665-0j -0.00429015-0j 0.021094-0j -0.00771403-0j -0.00297637-0j -0.00534444-0j 0.0184123-0j -0.00636375-0j 0.0174675-0j -0.00468191-0j -0.00398351-0j -0.00603718-0j 0.0132907-0j -0.00385702-0j -0.00145262-0j 0.0203787-0j 0.0139523-0j -0.030361-0j -0.0040665-0j -0.00449985-0j -0.00278414-0j -0.00366417-0j -0.00331061-0j 0.00735506-0j 0.00620104-0j 0.0162777-0j -0.000656365-0j -0.00214323-0j -0.0342964-0j -0.0022968-0j -0.00273111-0j -0.00238972-0j -0.0357849-0j 0.00775291-0j 0.00371564-0j -0.0282931-0j -0.000847364-0j -0.000280239-0j -0.0366991-0j -0.00139401-0j -0.0258309-0j 0.00176972-0j -0.00645832-0j -0.000115593-0j -0.000170087-0j 0.000139381-0j -6.49574e-06-0j 
0.00263087-0j 5.5179e-05-0j 0.00207796-0j -0.00201639-0j -0.00349893-0j 4.40749e-05-0j -0.00252086-0j 0.00166607-0j 0.00160958-0j -7.48013e-05-0j 0.0011903-0j -0.00163346-0j 3.5987e-05-0j -0.00204907-0j 2.49325e-05-0j -0.00288647-0j 0.00280094-0j 0.00140838-0j 2.57103e-05-0j -0.00459005-0j -0.00136665-0j -0.0020796-0j -0.0017676-0j -0.00133566-0j -6.32318e-05-0j 2.22658e-05-0j 0.000580928-0j 0.00361654-0j -0.000102624-0j -0.00127349-0j -0.000976382-0j -0.00178591-0j -0.00173214-0j -0.00391635-0j 0.00245082-0j -0.000755162-0j 0.0038003-0j 1.29884e-05-0j 0.0030744-0j -7.33183e-05-0j -0.00128669-0j -0.000520891-0j 0.00593042-0j -0.00116871-0j 0.00101091-0j 0.00380892-0j -0.000387167-0j 2.93439e-06-0j 0.00219646-0j -0.000375284-0j 0.00135424-0j -0.000482066-0j 0.00036243-0j -0.000276605-0j -8.79036e-05-0j -1.49773e-05-0j 
0.00161107-0j 0.00170722-0j -0.00371985-0j 0.00128567-0j 0.001102-0j -0.00398638-0j 0.000795469-0j 0.00102026-0j 0.000985663-0j 0.0011903-0j 0.000619229-0j -0.00304465-0j 0.00111342-0j 0.000429602-0j 0.000771403-0j -0.00265759-0j 0.000918528-0j -0.00252121-0j 0.000675775-0j 0.00057497-0j 0.000871393-0j -0.00191835-0j 0.000556712-0j 0.000209668-0j -0.00294141-0j -0.00201385-0j 0.00438223-0j 0.000586949-0j 0.000649498-0j 0.000401856-0j 0.000528878-0j 0.000477845-0j -0.00106161-0j -0.000895043-0j -0.00234949-0j 9.47381e-05-0j 0.000309349-0j 0.00495026-0j 0.000331514-0j 0.000394202-0j 0.000344927-0j 0.0051651-0j -0.00111904-0j -0.000536307-0j 0.00408375-0j 0.000122306-0j 4.0449e-05-0j 0.00529706-0j 0.000201207-0j 0.00372837-0j -0.000255437-0j 0.000932179-0j 1.66844e-05-0j 2.45499e-05-0j -2.0118e-05-0j 9.37579e-07-0j 
0.0159488-0j -0.0162316-0j -0.0121138-0j -0.0127175-0j 0.0109093-0j 0.0124679-0j 0.00695809-0j 0.0101-0j 0.00975756-0j -0.0113169-0j -0.021094-0j 0.00990725-0j -0.010586-0j 0.0199374-0j -0.00733421-0j -0.00865454-0j -0.00908584-0j -0.00821042-0j 0.0221089-0j 0.00569191-0j -0.00861959-0j -0.00551998-0j 0.00551117-0j 0.0216155-0j 0.00919964-0j 0.00629857-0j -0.0172033-0j 0.00513413-0j -0.00617518-0j 0.0035151-0j 0.018002-0j -0.0162777-0j -0.0162073-0j -0.00291474-0j 0.0076452-0j 0.0169394-0j -0.00306-0j 0.0186639-0j 0.0153853-0j 0.0128969-0j -0.0103821-0j -0.0111194-0j -0.00321999-0j -0.0181882-0j 0.016019-0j 0.0126091-0j 0.0110641-0j 0.00760316-0j -0.0321322-0j -0.00709211-0j -0.0150245-0j -0.0381096-0j 0.00646164-0j -0.0231075-0j -0.00344179-0j 0.000790085-0j 
-0.00230201-0j 0.00234283-0j 0.00174848-0j 0.00183562-0j -0.00157462-0j -0.00179959-0j -0.00100431-0j -0.00145782-0j -0.00140838-0j 0.00163346-0j 0.00304465-0j -0.00142999-0j 0.00152796-0j -0.00287772-0j 0.0010586-0j 0.00124918-0j 0.00131143-0j 0.00118507-0j -0.00319115-0j -0.000821557-0j 0.00124413-0j 0.00079674-0j -0.000795469-0j -0.00311993-0j -0.00132785-0j -0.00090912-0j 0.00248308-0j -0.000741047-0j 0.00089131-0j -0.00050736-0j -0.00259837-0j 0.00234949-0j 0.00233933-0j 0.000420707-0j -0.00110349-0j -0.00244499-0j 0.000441673-0j -0.0026939-0j -0.00222067-0j -0.0018615-0j 0.00149853-0j 0.00160495-0j 0.000464765-0j 0.00262524-0j -0.00231214-0j -0.00181996-0j -0.00159697-0j -0.00109742-0j 0.00463788-0j 0.00102366-0j 0.0021686-0j 0.00550065-0j -0.000932657-0j 0.00333528-0j 0.000496779-0j -0.000114039-0j 
