-0.321702-0j -0.00678126-0j -0.256964-0j 0.249349-0j -0.224296-0j -0.00549345-0j -0.20981-0j 0.314198-0j -0.145361-0j -0.00484476-0j -0.149895-0j -0.00459615-0j 0.205703-0j 0.258041-0j -0.189604-0j -0.129813-0j 0.183986-0j -0.122389-0j 0.125967-0j -0.00328365-0j 0.265601-0j -0.00423917-0j 0.170587-0j -0.00163166-0j -0.0757244-0j 0.242459-0j -0.087439-0j 0.127272-0j 0.119993-0j 0.225786-0j -0.00174857-0j 0.150524-0j 0.0984358-0j -0.017108-0j 0.173221-0j 0.037121-0j 0.157338-0j 0.0931319-0j 0.0521225-0j 0.0703259-0j 0.026617-0j 0.00515768-0j -0.044245-0j -0.000927979-0j -0.0349463-0j 0.0339108-0j -0.0302644-0j -0.000741234-0j 0.0423949-0j -0.0280194-0j -0.0270693-0j -0.000647002-0j -0.020018-0j 0.0274709-0j -0.000605215-0j 0.0344605-0j -0.000419305-0j -0.0249669-0j 0.024227-0j -0.0236857-0j -0.000432387-0j -0.0157904-0j 0.0229838-0j 0.034974-0j -0.015289-0j 0.0224627-0j -0.000546931-0j -0.000374458-0j -0.00976983-0j 0.0312817-0j -0.000353042-0j 0.0214171-0j 0.0164204-0j -0.0154475-0j 0.0291305-0j -0.00840853-0j 0.0211987-0j 0.0127-0j 0.00815937-0j -0.000218434-0j 0.0265924-0j -0.000252226-0j 0.021639-0j -0.00450551-0j 0.0204015-0j 0.0196548-0j 0.008744-0j 0.0131032-0j 0.00651122-0j -4.93494e-05-0j 0.0189985-0j 0.00631139-0j 0.0117136-0j 0.00810721-0j 0.00313488-0j 0.00465184-0j 0.00147833-0j 0.000251882-0j 
0.032813-0j 0.0349463-0j -0.0252045-0j 0.0264814-0j 0.0228778-0j -0.027224-0j 0.0214002-0j 0.016514-0j 0.0148265-0j 0.0249669-0j -0.0446943-0j 0.0236857-0j -0.0210082-0j 0.00901102-0j -0.0185975-0j -0.0127329-0j 0.0195397-0j 0.0124834-0j 0.0133779-0j -0.0494675-0j -0.0134244-0j -0.0210082-0j 0.00446023-0j 0.00840853-0j -0.03773-0j 0.0127435-0j -0.0260717-0j -0.0395128-0j -0.0122548-0j -0.00758224-0j -0.0440183-0j 0.00525643-0j 0.0020569-0j -0.0153702-0j -0.0266148-0j -0.0269915-0j -0.00395603-0j -0.015887-0j 0.000907009-0j -0.00429585-0j -0.000381597-0j 5.97669e-05-0j -0.212242-0j -0.224909-0j 0.161208-0j -0.169374-0j -0.145178-0j 0.172758-0j -0.104795-0j -0.134409-0j -0.129851-0j -0.15681-0j 0.280713-0j 0.131946-0j -0.146682-0j -0.0565957-0j -0.101624-0j 0.115172-0j -0.121007-0j 0.109262-0j 0.306346-0j -0.0757464-0j -0.114797-0j 0.0831357-0j -0.0733412-0j -0.0276216-0j 0.127472-0j 0.0872744-0j 0.228936-0j -0.0773245-0j -0.0855647-0j -0.0529405-0j 0.239754-0j 0.21662-0j 0.0460072-0j 0.0387886-0j 0.10182-0j -0.0124808-0j -0.0407536-0j 0.258611-0j -0.0436736-0j 0.178702-0j 0.156364-0j 0.147974-0j 0.0484959-0j 0.023242-0j 0.213343-0j -0.0161126-0j -0.00532875-0j 0.105351-0j 0.0912125-0j 0.106813-0j 0.0110699-0j 0.0486988-0j -0.002198-0j 0.0111291-0j 0.000871856-0j -0.000123516-0j 
-0.033153-0j 0.0339108-0j -0.0264814-0j 0.0267348-0j -0.0231148-0j 0.0274709-0j -0.0216219-0j -0.0147429-0j -0.0149801-0j 0.024227-0j -0.0154475-0j 0.0229838-0j 0.0220551-0j -0.0426816-0j -0.0195397-0j -0.0133779-0j 0.0197267-0j -0.0126128-0j 0.0135059-0j 0.0164204-0j -0.0124627-0j 0.0211987-0j -0.0469304-0j 0.00815937-0j -0.00780377-0j -0.0113768-0j -0.00901102-0j 0.0136459-0j 0.0128655-0j -0.0373464-0j 0.008744-0j -0.0248976-0j -0.0375362-0j -0.00176306-0j -0.00812798-0j 0.00398005-0j -0.0432854-0j -0.0154046-0j -0.0253213-0j -0.0268171-0j -0.0156851-0j -0.00409832-0j 0.214442-0j -0.218244-0j 0.169374-0j -0.170995-0j 0.146682-0j -0.174325-0j 0.0935559-0j 0.135801-0j 0.131197-0j -0.152163-0j 0.0970212-0j -0.138522-0j -0.142336-0j 0.268071-0j -0.0986131-0j 0.121007-0j -0.122165-0j 0.114797-0j -0.10169-0j 0.0765314-0j -0.115896-0j 0.0771797-0j 0.0741012-0j 0.290634-0j -0.128628-0j -0.0880658-0j 0.0473514-0j 0.0690316-0j -0.0830292-0j 0.0472627-0j -0.0828-0j 0.0748691-0j 0.226609-0j 0.0407536-0j -0.106894-0j 0.22776-0j -0.0411436-0j -0.0513717-0j 0.206865-0j -0.0593189-0j 0.0477525-0j 0.0218368-0j 0.0450215-0j 0.254305-0j -0.0440917-0j 0.169537-0j 0.148764-0j -0.0116061-0j 0.147791-0j 0.0139278-0j 0.21007-0j 0.104895-0j 0.0868808-0j 0.106282-0j 0.0481227-0j 0.0106232-0j 
0.0189327-0j 0.0201636-0j 0.0151227-0j 0.0152794-0j -0.0256654-0j 0.0163344-0j 0.0123476-0j 0.00952839-0j 0.00855469-0j -0.0280091-0j 0.00882158-0j 0.0136663-0j 0.0126049-0j 0.00519925-0j -0.0216957-0j 0.00763971-0j -0.0219206-0j -0.0352118-0j 0.00771888-0j 0.0097637-0j 0.00805464-0j -0.0245079-0j 0.0025735-0j -0.0380025-0j 0.0044565-0j -0.0142963-0j -0.0251566-0j 0.00779887-0j -0.0359454-0j 0.00454934-0j -0.010109-0j -0.0148267-0j 0.00118681-0j 0.00100683-0j -0.0102138-0j 0.00227467-0j -0.00461507-0j 0.00187651-0j -0.00101753-0j 0.000847896-0j 0.000228958-0j 3.44848e-05-0j 0.00260389-0j 0.00275928-0j 0.00205665-0j 0.00207796-0j -0.00346304-0j 0.00220401-0j 0.00128567-0j 0.00164899-0j 0.00159307-0j -0.00374052-0j 0.00117809-0j 0.00168334-0j 0.00179957-0j 0.000694342-0j 0.00124678-0j -0.00285687-0j -0.00288647-0j 0.00139394-0j 0.00128567-0j -0.00454297-0j 0.00140838-0j 0.00106063-0j -0.00174947-0j 0.000338875-0j -0.00316197-0j 0.00111342-0j 0.00057497-0j -0.00184448-0j -0.00513183-0j 0.000649498-0j 0.0010062-0j -0.0017676-0j 0.000586949-0j -0.00387618-0j -0.00252566-0j 0.00015312-0j -0.00391635-0j 0.000649498-0j -0.00104178-0j -0.00366636-0j 0.000656228-0j -0.000515549-0j -0.00302459-0j 0.000296516-0j -0.00104178-0j -0.000966372-0j 6.53755e-05-0j 0.000146737-0j -0.000744286-0j 0.0001914-0j -0.000274591-0j 0.000122306-0j -5.24306e-05-0j 4.67065e-05-0j 1.11229e-05-0j 1.51536e-06-0j 
-0.0027327-0j -0.00291037-0j -0.00218277-0j -0.00220539-0j 0.00370448-0j -0.00235767-0j -0.00178223-0j -0.00137531-0j -0.00123476-0j 0.00404276-0j -0.00127329-0j -0.00197256-0j -0.00181936-0j -0.000750447-0j 0.00313151-0j -0.0011027-0j 0.00316396-0j 0.00508239-0j -0.00111412-0j -0.00140927-0j -0.00116259-0j 0.00353741-0j -0.000371452-0j 0.0054852-0j -0.00064324-0j 0.00206349-0j 0.00363104-0j -0.00112567-0j 0.00518827-0j -0.000656641-0j 0.00145911-0j 0.00214005-0j -0.000171301-0j -0.000145323-0j 0.00147423-0j -0.00032832-0j 0.000666128-0j -0.000270851-0j 0.000146867-0j -0.000122383-0j -3.30473e-05-0j -4.97745e-06-0j 0.0357274-0j 0.0378595-0j 0.0282188-0j 0.0285112-0j -0.0475157-0j 0.0302407-0j 0.0176404-0j 0.0226254-0j 0.0218582-0j -0.0513228-0j 0.0161643-0j 0.0230967-0j 0.0246914-0j 0.00952692-0j 0.0171067-0j -0.0391984-0j -0.0396046-0j 0.0191259-0j 0.0176404-0j -0.0623331-0j 0.0193241-0j 0.0145526-0j -0.024004-0j 0.00464963-0j -0.0433847-0j 0.0152771-0j 0.00788904-0j -0.0253077-0j -0.0704128-0j 0.00891161-0j 0.0138058-0j -0.0242528-0j 0.00805339-0j -0.0531842-0j -0.0346541-0j 0.00210093-0j -0.0537354-0j 0.00891161-0j -0.0142941-0j -0.0503053-0j 0.00900396-0j -0.00707373-0j -0.0414998-0j 0.00406842-0j -0.0142941-0j -0.0132594-0j 0.000897003-0j 0.00201335-0j -0.0102122-0j 0.00262616-0j -0.0037676-0j 0.00167814-0j -0.000719389-0j 0.00064085-0j 0.000152615-0j 2.07919e-05-0j 
-0.023428-0j -0.000493846-0j 0.0179957-0j 0.0181589-0j -0.0163344-0j 0.000384717-0j -0.0152794-0j 0.0228815-0j -0.0105859-0j -0.00035282-0j 0.0319111-0j -0.000334715-0j -0.0144058-0j 0.0187919-0j 0.0132784-0j 0.00909108-0j 0.0133988-0j -0.008913-0j 0.00917353-0j 0.000699053-0j -0.0186006-0j 0.000296878-0j 0.012423-0j -0.000118826-0j 0.0269387-0j 0.0176571-0j 0.0186148-0j -0.0270948-0j -0.00840337-0j -0.0158122-0j 0.000622047-0j 0.0109619-0j 0.00716859-0j 0.0109741-0j -0.0368769-0j -0.0185087-0j -0.0110187-0j -0.0331313-0j 0.00379583-0j -0.0149716-0j -0.00186405-0j 0.000375609-0j -0.00322215-0j -6.75801e-05-0j 0.00244736-0j 0.00246956-0j -0.00220401-0j 5.19102e-05-0j 0.00308741-0j -0.00204052-0j -0.00197133-0j -4.7118e-05-0j 0.00426162-0j -0.00192384-0j -4.40749e-05-0j 0.00250959-0j -3.0536e-05-0j 0.00174848-0j 0.00176434-0j 0.00165875-0j 9.20504e-05-0j -0.00114994-0j 0.0016738-0j -0.0024493-0j -0.00111342-0j 0.00163585-0j 3.83027e-05-0j 2.6224e-05-0j 0.00347558-0j 0.00227809-0j -2.57103e-05-0j 0.0015597-0j -0.00349573-0j 0.0032886-0j -0.00204007-0j 0.000588867-0j -0.00148459-0j 0.00092488-0j 0.000594207-0j 7.7707e-05-0j 0.00193659-0j 5.36961e-05-0j -0.00460672-0j 0.00224646-0j -0.00142876-0j -0.00137647-0j -0.00311065-0j 0.000954244-0j 0.00047418-0j 3.16557e-05-0j -0.00404458-0j -0.00314688-0j -0.000820329-0j -0.00288411-0j 0.000228298-0j -0.000990327-0j -0.00010353-0j 1.83433e-05-0j 
0.00338154-0j 7.12805e-05-0j -0.00259745-0j -0.00262101-0j 0.00235767-0j -5.55292e-05-0j 0.00220539-0j -0.00330265-0j 0.00152794-0j 5.09252e-05-0j -0.00460597-0j 4.83119e-05-0j 0.00207929-0j -0.00271237-0j -0.00191657-0j -0.00131219-0j -0.00193395-0j 0.00128648-0j -0.00132408-0j -0.0001009-0j 0.00268476-0j -4.28506e-05-0j -0.00179311-0j 1.7151e-05-0j -0.00388826-0j -0.00254858-0j -0.00268682-0j 0.0039108-0j 0.00121292-0j 0.0022823-0j -8.97847e-05-0j -0.00158222-0j -0.0010347-0j -0.00158397-0j 0.00532272-0j 0.00267149-0j 0.00159041-0j 0.0047821-0j -0.00054788-0j 0.00216097-0j 0.000269052-0j -5.42144e-05-0j -0.0442104-0j -0.000927252-0j 0.0335797-0j 0.0338842-0j -0.0302407-0j 0.000712248-0j 0.0423617-0j -0.0279975-0j -0.0270481-0j -0.000646496-0j 0.0584728-0j -0.0263966-0j -0.000604741-0j 0.0344335-0j -0.000418977-0j 0.0239905-0j 0.0242081-0j 0.0227594-0j 0.001263-0j -0.0157781-0j 0.0229658-0j -0.0336063-0j -0.0152771-0j 0.0224451-0j 0.000525542-0j 0.000359814-0j 0.0476877-0j 0.0312572-0j -0.000352766-0j 0.0214003-0j -0.0479641-0j 0.0451221-0j -0.0279914-0j 0.00807971-0j -0.0203697-0j 0.0126901-0j 0.00815298-0j 0.0010662-0j 0.0265716-0j 0.000736752-0j -0.0632078-0j 0.0308232-0j -0.0196037-0j -0.0188862-0j -0.0426805-0j 0.013093-0j 0.00650612-0j 0.000434341-0j -0.0554948-0j -0.0431776-0j -0.0112556-0j -0.0395722-0j 0.00313242-0j -0.0135881-0j -0.00142052-0j 0.000251685-0j 
0.0136663-0j -0.0282455-0j 0.0109161-0j 0.00974541-0j 0.00952839-0j -0.0228815-0j 0.008913-0j 0.026287-0j 0.0061751-0j -0.0201796-0j 0.00636775-0j -0.019144-0j 0.00803956-0j 0.00459216-0j 0.00805464-0j 0.00551463-0j 0.0071908-0j 0.00519925-0j 0.0049232-0j -0.0136771-0j 0.0222212-0j -0.0176571-0j -0.023336-0j -0.00679622-0j 0.00321687-0j 0.0202851-0j 0.00371452-0j 0.00497422-0j 0.00468974-0j 0.00401814-0j -0.00728319-0j 0.00267876-0j -0.0369967-0j 0.000726768-0j 0.0144923-0j 0.00145081-0j -0.0215235-0j 0.0016574-0j -0.0363779-0j -0.0264317-0j -0.029344-0j -0.0111288-0j 0.00187959-0j -0.00386524-0j 0.00148457-0j 0.00132535-0j 0.00128567-0j -0.00308741-0j 0.00354692-0j 0.0011903-0j 0.00114994-0j -0.00269491-0j 0.000850392-0j 0.00107366-0j -0.00252086-0j 0.000613268-0j -0.0017465-0j 0.00106063-0j 0.000946876-0j 0.0010062-0j -0.00180099-0j 0.000670798-0j 0.000898285-0j 0.00292606-0j 0.000649498-0j -0.00307285-0j -0.00227809-0j -0.0015597-0j 0.000415035-0j 0.00261714-0j -0.0014705-0j 0.00179184-0j 0.000641766-0j 0.000656228-0j 0.000518414-0j 0.000357206-0j 0.000828516-0j -0.00477325-0j 0.000318896-0j -0.000909826-0j 0.000473245-0j -0.00105058-0j 0.00181041-0j 0.0001914-0j 0.00170687-0j -0.00268875-0j 0.000341745-0j -0.0017925-0j -0.00454438-0j -0.000205552-0j 0.000338103-0j 0.000528035-0j -0.00440251-0j -0.00110905-0j -0.00345605-0j -0.00324667-0j -0.00234922-0j -0.000707336-0j 
-0.00197256-0j 0.00407689-0j -0.00157561-0j -0.00140663-0j -0.00137531-0j 0.00330265-0j -0.00128648-0j -0.0037942-0j -0.0008913-0j 0.00291267-0j -0.000919106-0j 0.0027632-0j -0.00116041-0j -0.000662822-0j -0.00116259-0j -0.000795969-0j -0.0010379-0j -0.000750447-0j -0.000710603-0j 0.00197412-0j -0.00320735-0j 0.00254858-0j 0.00336826-0j 0.000980951-0j -0.000464315-0j -0.0029279-0j -0.000536145-0j -0.000717967-0j -0.000676906-0j -0.000579969-0j 0.00105124-0j -0.000386646-0j 0.00534001-0j -0.0001049-0j -0.00209179-0j -0.000209407-0j 0.00310665-0j -0.000239225-0j 0.0052507-0j 0.00381509-0j 0.00423544-0j 0.00160631-0j 0.0257894-0j -0.0530342-0j 0.0203694-0j 0.0181848-0j 0.0176404-0j -0.0423617-0j 0.0486665-0j 0.0163319-0j 0.0157781-0j -0.0369763-0j 0.011668-0j 0.0147314-0j -0.0345882-0j 0.00841452-0j -0.0239634-0j 0.0145526-0j 0.0129919-0j 0.0138058-0j -0.024711-0j 0.00920387-0j 0.0123252-0j 0.0401478-0j 0.00891161-0j -0.0421619-0j -0.0312572-0j -0.0214003-0j 0.00569461-0j 0.0359093-0j -0.0201764-0j 0.0245854-0j 0.00880553-0j 0.00900396-0j 0.00711305-0j 0.00490114-0j 0.0113679-0j -0.0654927-0j 0.0043755-0j -0.0124835-0j 0.00649329-0j -0.0144147-0j 0.0248402-0j 0.00262616-0j 0.0234195-0j -0.0368917-0j 0.00468901-0j -0.0245945-0j -0.0623525-0j -0.00282033-0j 0.00463903-0j 0.00724505-0j -0.0604059-0j -0.015217-0j -0.0474197-0j -0.0445468-0j -0.0322331-0j -0.0097052-0j 
0.013379-0j 0.0142489-0j 0.0106867-0j 0.0107974-0j 0.00932807-0j 0.0115429-0j -0.0255506-0j 0.00673336-0j 0.00604528-0j 0.0101799-0j 0.00623388-0j -0.0282793-0j 0.0089074-0j 0.00367411-0j 0.0078853-0j -0.0370159-0j 0.00796702-0j -0.0149045-0j -0.0373995-0j 0.00689964-0j 0.00569191-0j -0.0260829-0j 0.00181859-0j 0.00342846-0j -0.00922169-0j -0.015215-0j 0.00363643-0j -0.016138-0j 0.00519598-0j -0.00941381-0j 0.00367411-0j 0.00214323-0j -0.00245582-0j 0.000711489-0j 0.00371219-0j 0.00160742-0j 0.00167735-0j 0.00132606-0j 0.00036982-0j 0.000599177-0j 0.000161796-0j 2.43691e-05-0j 0.00184007-0j 0.00194988-0j 0.00145336-0j 0.00146842-0j 0.00125864-0j 0.00155749-0j 0.000908536-0j -0.0034122-0j 0.00112576-0j 0.00135949-0j 0.000832514-0j 0.00118955-0j -0.00372379-0j 0.000490666-0j 0.00088105-0j 0.00103833-0j 0.00104909-0j -0.00288443-0j 0.000908536-0j 0.000656696-0j -0.00291432-0j 0.000749504-0j -0.00435963-0j 0.00023947-0j 0.00114922-0j -0.00539477-0j 0.00040631-0j 0.000670377-0j -0.00217221-0j -0.00314695-0j 0.000711042-0j -0.00188119-0j 0.000414775-0j 0.000349696-0j -0.00268797-0j 0.000108204-0j 0.00035332-0j -0.00134399-0j -0.00110873-0j 0.00052998-0j -0.00135791-0j 0.000187376-0j 0.000437211-0j -0.00061357-0j 0.000378636-0j 0.000139691-0j -0.00013528-0j 0.000103694-0j 0.00027051-0j 0.000135255-0j 9.98e-05-0j 8.64294e-05-0j 1.90559e-05-0j 3.30058e-05-0j 7.86015e-06-0j 1.07085e-06-0j 
-0.0023651-0j -0.00251887-0j -0.00188915-0j -0.00190873-0j -0.00164899-0j -0.00204052-0j 0.00451675-0j -0.0011903-0j -0.00106867-0j -0.00179957-0j -0.001102-0j 0.00499912-0j -0.00157462-0j -0.000649498-0j -0.00139394-0j 0.00654355-0j -0.00140838-0j 0.00263477-0j 0.00661136-0j -0.0012197-0j -0.0010062-0j 0.00461085-0j -0.000321485-0j -0.000606072-0j 0.00163018-0j 0.00268966-0j -0.000642836-0j 0.00285282-0j -0.000918528-0j 0.00166414-0j -0.000649498-0j -0.000378874-0j 0.000434132-0j -0.000125775-0j -0.000656228-0j -0.000284155-0j -0.000296516-0j -0.000234416-0j -6.53755e-05-0j -0.00010592-0j -2.86018e-05-0j -4.30789e-06-0j 0.015298-0j 0.016211-0j 0.012083-0j 0.0122082-0j 0.0104642-0j 0.0129487-0j 0.00755342-0j -0.0283684-0j 0.00935942-0j 0.0113026-0j 0.00692139-0j 0.00988975-0j -0.030959-0j 0.00407932-0j 0.00732491-0j 0.00863248-0j 0.00872194-0j -0.0239807-0j 0.00755342-0j 0.00545966-0j -0.0242292-0j 0.00623126-0j -0.0362452-0j 0.00199092-0j 0.00955441-0j -0.0448512-0j 0.00337799-0j 0.00557341-0j -0.0180594-0j -0.0261632-0j 0.00591149-0j -0.0156399-0j 0.00344837-0j 0.00290731-0j -0.0223474-0j 0.000899592-0j 0.00293744-0j -0.0111737-0j -0.00921781-0j 0.00440616-0j -0.0112895-0j 0.00155781-0j 0.0036349-0j -0.00510113-0j 0.00314792-0j 0.00116137-0j -0.00112469-0j 0.000862092-0j 0.00224898-0j 0.00112449-0j 0.000829721-0j 0.00071856-0j 0.000158428-0j 0.000274405-0j 6.5348e-05-0j 8.90284e-06-0j 
