0.241939-0.108916j -0.146497-0.421432j 0.290667+0.0134935j -0.0425251-0.0199279j -0.261398+0.281162j 0.256589+0.000259642j -0.266307-0.27857j 0.0405014-0.0205332j -0.292343+0.0141596j -0.148168+0.418664j 0.235424+0.11057j 
-0.0455552-0.0566458j -0.0660343+0.0201733j 0.0210873+0.0280884j 0.00963294+0.00643497j -0.0586081+0.0646966j -0.00477625-0.000955837j -0.0405091-0.0705375j -0.0058998+0.00714297j -0.0169073+0.0159226j -0.0603909-0.0070025j -0.0201737+0.044795j 
0.0157426-0.000262532j 0.0154365-0.0302426j 0.0120001-0.00612816j -0.0157351-0.0104112j 0.00474065-0.0202972j 0.0378131-0.00132552j 0.0220085+0.0189959j 0.0149343-0.0116172j -0.0099806-0.0282466j 0.0202509+0.0456609j 0.0413957-0.0167182j 
-0.046885-0.017849j 0.00213183+0.0224724j -0.00796743+0.0316424j -0.0141809+0.00688506j -0.02199-0.0104149j 0.0175334-0.0171325j 0.0166681-0.0039247j -0.0056025-0.0166472j -0.0101786-0.021199j 0.00947858+0.0244047j 0.024543-0.0107229j 
0.0261769+0.00598344j 0.0197787-0.00246691j -0.0349988+0.0340792j 0.0297329+0.0165496j -0.0119996-0.0172191j -0.0246503+0.00817912j -0.0390781+0.0197655j -0.0278979+0.0201226j 0.0266545+0.057797j 0.0117778-0.0130952j -0.012028+0.00603774j 
-0.0138163-0.00967981j 0.0155555-0.00494983j -0.00239222+0.0637186j 0.00774448+0.0169208j -0.0390545-0.00391483j 0.00308592-0.014363j -0.00712404+0.0161439j -0.0260427+0.0049935j 0.0078196+0.00339607j 0.0231605+0.0291055j 0.0353817-0.0173792j 
-0.00255351-0.00677809j -0.0111692+0.0101212j -0.00739466+0.00619304j -0.00839301+0.00018796j -0.00167646+0.00718438j -0.0147798-0.00779838j 0.00370406+0.001813j -0.00261363-0.0063351j 0.00889639-0.0136008j -0.0105194-0.00775435j 0.00665257+0.00366903j 
-0.0049273+0.00333191j 0.00198895-0.0113984j -0.00259253-0.00901347j -0.00699152-0.0205001j -0.00545231-0.0071515j 0.026022-0.00979917j -0.00715968+0.00612783j 0.0192409-0.010483j 0.0164425+0.0181207j 0.00395487-0.00962622j -0.0154481+0.0248824j 
-0.00325568-0.0084736j 0.00488485+0.0175052j -0.00484381+0.025849j -0.0357971-0.011395j 0.0209966+0.00865209j -0.0329216-0.00388924j 0.00155753+0.0219671j 0.00646701-0.0236719j -0.00880889-0.01695j -0.00426429-0.0188379j -0.0230963-0.00534094j 
0.0201561+0.00227629j 2.2961e-05+0.00208037j 7.59221e-05+0.0128579j -0.0319979-0.0166646j -0.00334417+0.00835829j -0.0520636+0.0100656j -0.00996827+0.0016197j 0.0147681-0.0301096j 0.00135663+0.00498228j -0.00340331-0.00328808j 0.0116064-0.0100909j 
0.00316457-0.0150466j -0.00841649-0.00612644j 0.0254969+0.0112996j 0.00323637+0.00878124j 0.0194032-0.0184239j -0.0360109-0.00511403j 0.0225381+0.0136752j 0.00516279+0.0154214j -0.0263121+0.0149704j -0.0067792+0.00665939j 0.00724155+0.0189444j 
0.01641+0.00706868j -0.014246+0.00672776j -0.0144918-0.0151429j 0.0197878+0.0227432j 0.000685247+0.0152787j -0.00690054-0.00423517j 0.00660489-0.00878697j -0.0277021+0.0183108j 0.0144863-0.034883j -0.013327-0.000994486j 0.0266018-0.0150609j 
-0.00253037+0.00153494j -0.00464957-0.0131899j 0.0196396-0.000897602j 0.00119669-0.0157903j -0.0265498-0.0136965j -0.015245-6.46681e-05j 0.0038485-0.0164973j 0.0258141-0.00575659j -0.00287665+0.029514j 0.00757481+0.0211166j 0.033111+0.00661935j 
-0.0112692-0.00294387j 0.0157979-0.0062067j 0.00420025+0.0104293j -0.0127389-0.00819141j 0.000314367+0.00229395j 0.0314237+0.00800914j -0.0140949+0.00987687j 0.00379564-0.0119994j -0.00247537+0.0110115j 0.0110816-0.00387137j -0.0332471+0.00271059j 
-0.00881337-0.00264963j 0.00087592+0.00493425j -0.00474696+0.00271142j -0.0055869+0.00295175j 0.0103583+0.00228377j 0.00909389-0.00534792j -0.00384702+0.00947387j -0.00563221-0.00243727j 0.00250481+0.00315102j -0.00417319-0.0177557j -0.0279492+0.0146671j 
