0.0137592+0.00403836j 0.00172593+0.00939735j 0.00544625-0.00481656j 0.0187858+0.00208122j -0.00703842-0.00580121j -0.00870281-0.00537595j -0.00235062+0.00597098j -0.00086002+0.00339554j -0.0010351+0.00242655j 0.00833108+0.00923217j 0.00671606+0.0062751j -0.000933588+1.92095e-05j -0.00516859+0.00741697j 0.00496724-0.00793641j 0.0054245-0.0040077j -0.0033443+0.0069758j 0.00565759-0.0044371j -0.00646721+0.00233516j 0.0111729-0.00921855j -0.0068154-0.0152383j 0.000456839+0.0106149j -0.00221248+0.00427623j 0.00761747+0.00407928j 0.000790292-0.00620621j 0.00461851-0.000130604j -0.000927319+0.00566048j -0.00151232+0.00383952j 0.0023505+0.000840531j 0.0060069+0.00487972j 0.00165281+0.000266641j -0.000963795+0.000249594j -0.00305492-0.000324389j 0.00366211-0.00222324j -0.0033214+0.010303j -0.00250738-0.00332208j 0.000616918-0.0150262j -0.000564281-0.00696425j 0.00190623-0.014499j 0.0026889+0.00407771j 0.00184439+0.00671332j 0.00219617+0.0056357j -0.0019469-0.0111983j -0.00210131+0.00402567j -0.0101325+0.00350119j 0.00151144-0.00338264j 0.000498082+0.00319153j 8.18213e-05-0.00572233j -0.000495612+0.00149197j -0.00685911+0.0026548j 0.000944798-0.00189656j -0.00417584+0.00821103j 0.00387467-0.00019804j -0.00178683+0.00303322j -0.000386441+0.00265339j 0.00394473-0.00820064j -0.00350596-0.00432237j 0.00245482-0.00505539j -0.00129759-0.00806729j -2.16466e-05+0.0118609j 0.00831519-0.00523723j 0.00273597-0.00928707j -0.00129965-0.00527966j 0.00463908+0.00556713j 0.00257724-0.00103498j 0.00227859+0.000768684j -0.00353422+0.00053686j 0.00907078+0.00168612j 0.000773641-0.00512075j 0.000495124+0.00316765j -0.00312758+0.000196884j 0.00296079+0.00213937j -0.00291164-4.40968e-05j 0.000349784-0.00307946j -0.00161335-0.000573877j -0.000497399-0.000559663j -0.00212377+0.00102859j -0.00144596-0.000211859j 0.00267151+0.000385165j 0.00194448+0.00274207j 0.00247845+0.00630383j 1.92856e-05-0.00580149j -0.00276226-0.00584163j 0.00165567+0.00325145j -0.00307316-0.0057604j 0.00745196-0.00559791j 0.00390185+0.00762181j 0.000227012+0.0165364j 0.00185217-0.00408479j 0.00247616+0.000475974j -0.0110594+0.0440385j 0.00152564+0.00256773j -0.00443751-0.0212408j 0.00951626+0.0209707j -0.0481131+0.0298368j 0.0452411+0.0280126j 
-0.00204037+0.0102185j -0.0100623-0.0028251j 0.00544694-0.00414865j 0.00203007-0.000755495j -0.00130712-0.00451449j 0.000823352+0.00732637j 0.00075507-0.00367055j -0.00719541-0.000974732j 0.00391245+0.00272061j -8.91987e-05-0.000692855j 0.000372721-0.00477464j -0.000508997-0.00262904j -0.00195905+0.00439454j 0.000505537-0.00813448j 0.0017445-0.00146693j 0.00426405+0.000490362j -0.000667332-0.00746078j -0.0134533-0.0063739j -0.0132043+0.00133694j 0.00546369+0.00262201j 0.00318574-0.00802268j 0.00440409+0.00246598j 0.000824342-0.0100608j -0.00269549-0.0091128j 0.00494859-0.00217782j -6.30751e-05-0.000713476j 0.00102433+0.00318301j 0.00110608-0.00284852j 0.00302637-0.00199752j -0.000684748-0.0030242j -0.00537254+0.00392432j 0.00496278+0.000200421j -0.00295438-0.0111897j 0.00285153-0.000286213j 0.0042189-0.00468638j -0.00223251+0.00617906j -0.0053261-0.0138526j -0.000330513-0.00480044j 0.00358157+0.00414523j 0.00894851-0.0145163j 0.00312021+0.00778526j -0.000190907+0.00833575j -0.000906577+0.00327742j 0.0012924+0.00583394j -0.000103144-0.00254137j 0.00106743-0.00174313j 0.00493683+0.00106981j 0.00146478-0.00238825j 0.00362054+0.00574708j -0.00482889+0.00694897j 0.00437892-0.00169902j -0.000960206+0.00307549j 0.000336145-0.013499j -0.000383811+0.00681022j -0.000488135-0.001663j 0.00960918+0.0075452j -0.00733356+0.0108216j 0.00390265-0.00613393j -0.00518171+0.00137089j 0.000564533-0.000363385j 0.000240413+0.000595475j 0.00381887+0.00205886j -0.0030399-0.000162235j -0.000511155+0.00104711j -0.00175582+0.00287046j -0.00169313+0.00154824j 9.31808e-05+0.00610376j 0.00347747-0.00208192j 0.000419515+0.00072819j -0.00192946-0.0024989j -0.00109378+0.00471112j -0.00184079-0.000619027j 0.0018844+0.000400863j -0.00401552-0.000980703j 0.00143238+0.00138667j -0.000269492+0.00294991j -0.00257164-0.000930303j 0.0012676+0.00150623j -0.000379077+0.003934j -0.00223221+0.00331038j 0.00229312-0.00056703j -0.000292561+0.000227056j -0.00258645+0.00350711j 0.00106644-0.00952496j 0.00536604+0.00569087j -0.00133134-0.0207419j 0.00376255-0.0100971j 0.00072807+0.00447613j 0.00378629+0.00300749j 0.000523845+0.00236962j -0.00233743+0.0545793j -0.00859356+0.00661926j -0.0148786+0.00634734j -0.0479701-0.0285831j -0.0515438+0.0303397j 
0.000182345-0.00880565j 0.00609064-0.00136611j 0.0164647+0.00391547j 0.0287288+0.0100228j 0.00442496+0.00677671j -0.0079603-0.0147419j -0.00511313+0.00469145j -0.00315698-0.00117831j 0.00604035+0.00540455j 0.00425457+0.00430792j 0.00201573+0.00647429j -0.00219263+0.00109451j -0.00116664+0.0131696j -0.00140861-0.00635818j -0.00484475-0.00325082j -0.0130877+0.0179119j -0.00572999+0.00163165j -0.00340292+0.0115031j -0.0125321-0.0248713j 0.00626123-0.0355323j -0.000147819+0.0225565j 0.00583863-0.0126171j 0.000128096+0.00406136j -0.00240636-0.0106879j 0.00318918+0.00148966j -0.00819471+0.00445793j 0.000459772-0.00304977j -0.00142803-0.00794249j -0.000555333-0.0162439j 0.00318641-0.00352055j 0.00265721+0.00151317j 0.000172123+0.00242488j -0.00666674+0.0108566j 0.000276112-0.0053577j 0.00631611-0.0145668j -0.00573461-0.00105811j 0.00556134+0.00266951j -0.00732502-0.00624723j -0.00401703+0.000305555j -0.00395076+0.00364169j 0.0106056-0.000832787j -0.00560973-0.00777104j 0.000192508-0.00106081j -0.00577727-0.00508767j 0.00251996-0.00667459j 0.00589556+0.00943804j -0.0090039-0.0171485j -0.00085428+0.0138431j -0.0111391+0.00446984j -0.00330191-0.00780064j -0.0144563+0.00690548j 0.00503094+0.0251323j -4.7572e-05+0.0135737j -0.00772521+0.00414307j 0.014848-0.00823686j -0.0214904+0.0053802j -0.00996941-0.00374482j 0.00580056-0.0148193j -0.00691463+0.0225552j 0.000645014-0.0201235j 0.00129447-0.010258j 0.000831448-0.000343755j 0.0155451+0.00600619j 0.00363974+0.0106278j -0.000156768-0.000648517j -0.012101+0.00575514j 0.0196017-0.00523781j 0.00967552-0.00742902j 0.00262164+0.00366375j -0.00629915+0.00069078j 0.0015646-0.00137687j -0.00666982+0.00343772j 0.00249032-0.00571931j 7.09411e-05-0.000960701j -0.00410125-0.00266158j -0.00439381-0.00181474j -0.0016452+0.0121638j 0.00144478+0.00777852j -0.00154546+0.00448748j -0.000716963+0.0190279j 0.00841458-0.0231468j 0.00667063+0.0104445j 0.00490665+0.00138768j 0.000481968-0.000657885j 0.0205452+0.00644429j 0.0185163+0.00275325j 0.0241355+0.00415532j 0.00551216+0.00216282j 0.0102055-0.00152883j -0.0189022+0.0039277j 0.00300391+0.000706736j -0.00498883+0.0206877j 0.0193407-0.000886597j 0.00462779-0.015955j -0.0195455-0.00843942j 
-0.0105555+0.011127j -0.0102503-0.0151139j -0.0166559+0.0076413j -0.0304283-0.00251192j 0.00193395+0.0127539j 0.0144418-0.0162145j 0.00611446-0.0040433j 0.00467942+0.00244942j -0.0126363+0.00919361j -0.0050249-0.0106328j 0.000941877-0.00615646j 0.00755215+0.0020148j 0.0076114-0.0199208j 0.00127307+0.0263956j 0.00535124+0.0023136j 0.00564303-0.00792403j 0.00031683+0.0263842j 0.00276063+0.0169783j 0.00203113-0.014436j -0.00263426-0.00668385j 0.0013113+0.0159196j 0.00496453+0.0145759j 0.0015425-0.00358163j -0.00091202+0.0183057j -0.00415085+0.00378849j -0.00460652-0.00622995j -8.30513e-05-0.0159473j 0.00479016+0.0088496j -0.00437728+0.00133994j 0.00601099+0.0069732j -0.0102497-0.00131842j 0.007828+0.0161165j -0.0111722-0.00154988j 0.00195501-0.00145098j -0.00324179+0.00141544j -0.00149718+0.00936571j -0.000143152+0.00891454j 0.00604625-0.00959094j -0.0266594-0.00187107j -0.00698671-0.00187793j -0.0121677-0.00249403j 0.00666584+4.45334e-05j 0.00640563-0.0318566j 0.0174263+0.0134616j -0.00179717+0.0197471j -0.00635201+0.00540704j -0.00877311+0.00315233j 0.00640537-0.00926179j 0.00564173-0.0130901j 0.00755321-0.0114195j -0.00445005+0.00162102j 0.00569728+0.00504708j 0.00435465+0.0243862j -0.000636477-0.00180908j 0.00817825-0.00469864j -0.012826-0.00210279j 0.0121774-0.0115828j -0.00333601-0.00202334j -0.00536355-0.00397462j 0.00202102+0.00155371j 0.00601881-0.00258702j 0.00452884-0.00337902j 0.0156949+0.00669274j -0.0106472+0.00112215j -0.000240235-0.000649248j 0.000385042-0.00518067j 0.0060597-0.00838795j -0.00454638+0.0147955j -0.00206352-0.0107174j 0.00524009+0.000220646j -0.00243167-0.002828j 0.00530302-0.00347174j -0.00330926+0.000608446j 0.00581455-0.00510376j 0.000342461+0.00553621j 0.00325446-0.00310425j 0.00559527+0.00533713j 0.00204058-0.0091274j 0.00308303-0.00966548j -0.00347961-0.00465728j 0.00428665+0.0142398j 0.0104944+0.0201967j 0.00764262-0.0134685j -0.0158221+0.0152332j -0.00555014-0.0102827j -0.017356+0.0103497j -0.0107369-0.00841523j -0.00357166+0.00180922j -0.00240342-0.0052426j 0.00322646+0.0139208j -0.0161527-0.00140955j 0.02765-0.00367216j 0.0170662-0.00586864j -0.00968654-0.00357379j 0.00218897+0.0128024j 
-0.0025861-0.00181828j 0.000990707+0.000511294j 0.00577766-0.0094713j 0.0266153+0.00141968j -0.00984578-0.00800735j -0.001325-0.00409935j 0.000725059+0.00599456j -0.001577+0.00698871j 0.00373706-0.00629324j -0.00115678+0.0102733j -0.00273854+0.00855722j 0.00447952+0.000794538j 0.00870337+0.0195723j 0.0052269-0.0170075j -0.00742531-0.00604408j -0.0104245+0.00598927j 0.0149842-0.00852081j 0.00062062-0.00544739j -0.00307124+0.00333585j -0.00521282-0.00649929j -0.000896172-0.0110777j -0.00803955-0.00291623j -0.00382673-0.00780837j -0.00297821+0.0029543j 0.011222+0.00647468j -0.0062115-0.00330234j -0.00402655-0.00174221j -0.00235281+0.00466057j -0.00608187+0.00994178j -0.000925846+0.00606944j 0.00872822+0.00246652j 0.00583487-0.000618822j -0.00226194+0.00210169j -0.00162129-0.00808067j -0.00199973-0.0155454j -0.00238863+0.00424725j -0.00085594-0.00991763j 0.00918629-0.0193972j 0.0147795+0.00388948j -0.00352882-0.0080301j -0.00228613+0.0113515j 0.00169225-0.00561827j -0.00468227+0.0234226j -0.0161011+0.00258493j 0.00264227-0.00255246j 0.00364077+0.00707428j -0.0026098-0.00980961j -0.00325329+0.0146035j -0.00607435+0.0102458j 0.001197+0.00478337j -0.00700869+0.00872797j -0.00191188+0.00328702j -0.00847226+0.00366688j -0.00200693-0.00283358j -0.00247524-0.00955353j -0.00650427-0.00912424j -0.00252536-0.00923235j -0.00597708+0.0365304j -0.00546949-0.0161568j 0.014901+0.00682366j -0.0106717+0.0064205j -0.0187526-0.00132024j -0.00999386+0.00340241j -0.00363096+0.00442634j 0.00434059+0.0011702j -0.00252376-0.0171906j -0.00117416+0.00797656j 0.00287917+0.00860426j -0.00447233-0.00614668j 0.00140396-0.00459807j -0.00980946-0.017475j 0.00507262+0.00870259j 0.000293374+0.0136239j 0.0142093-0.00251654j 0.00697264+0.000338954j 0.0184746+0.00633734j -0.00141453-0.00596403j -0.00309791+0.0266955j -0.00589536+0.0011515j 0.00152888-0.00278565j 0.0060415+0.0261555j -0.00925743+0.0271501j -0.000232918-0.00754808j 0.0188131+0.00950041j 0.028696+0.000247457j -0.0288017+0.0170502j -0.0127327-0.0167495j -0.0117039+0.00043262j -0.0111463-0.00188193j 0.0174603-0.0101606j -0.0235565-0.0168765j 0.0328677-0.000959112j 1.45641e-05-0.00926201j 0.0305392-0.00666637j -0.00454253+0.00748903j 
0.00595915+0.00865892j -0.00786602-0.00346823j 0.00609239+0.00573442j -0.00421854+0.00227128j -0.00241586+0.0118325j -0.0147613-0.0104682j 0.00269645-0.00364725j 0.00446403-0.00101565j 0.00400713+0.0106683j 0.00397209+0.000728602j -0.00120485+0.00172285j 0.000779848+0.00127956j -0.000184428+0.00715591j -0.000401669+0.00271678j 0.00149031+0.000496086j 0.00805923+0.00941903j 0.00416528+0.0116734j -0.00818881+0.0122848j 0.010716-0.00784774j 0.00754563-0.0224235j 0.00509417+0.0070635j 0.00122615-0.00412954j 0.000607522-0.012627j -0.0103893-0.0113545j -0.0100959-0.00880453j 0.00168517+0.00271159j 0.00155823+0.000557702j -0.00387957-0.00165382j -0.00610126+0.000451601j 0.00368367-0.00440112j -0.00547372+0.0121849j 0.00143585-0.00456446j -0.00189427-0.0127136j -0.000630226+0.00253469j -0.00398039-0.00897395j -0.00372296-0.0043641j -0.00882202-0.000563855j -0.000811583+0.00763224j -0.00725056-0.00243327j -0.00229323+0.00108212j 0.00646024-0.00257912j -0.00456427+0.00379335j 0.00191594-0.0127286j 0.00749652+0.00169495j 0.00326737-0.00696507j 0.00113149-0.00517956j -0.00425571-0.00518841j 0.00729635+0.000707646j -0.00614104-0.000692146j -0.00220708-0.00391789j -0.00568222+0.00076633j 0.0154799+0.0355462j -0.00188269+0.0137037j -0.00472738+0.0134929j 0.0228742-0.022562j -0.0166105+0.00496464j 0.010406+0.00311298j 0.00428741+0.00118003j -0.00628327-0.00654345j -0.00153012+0.00600034j -0.0143494+0.00146488j -0.00280477+0.00186451j 0.00853044+0.00697026j -0.00330719+0.00540414j -0.00917991+0.00136872j 0.00183059+0.00585418j 0.0109708+0.00469606j 0.00485614-0.00308521j 0.00441446-0.00919664j 0.00396663-0.00201127j 0.00111283+0.00292143j 0.000440927+0.00118026j -0.00171286-0.00692581j 0.000563195-0.000565953j -0.00332797+0.00264995j -0.00520684+0.0114436j -0.00367938-0.00984098j 0.00377348+0.0124764j 0.00378302+0.0116653j 0.00188309-0.000440063j -0.000102705+0.0174375j -0.00336347-0.0140598j -0.0065972+0.0135503j 0.00796303-0.0187559j 0.0156837+0.00112645j -0.000752719-0.0257011j -0.0133936-0.0128683j -0.0015599+0.00469363j 0.00485402+0.00779363j 0.023602-0.0359886j 0.0125964+0.0109789j -0.016047-0.00999897j -0.0547631+0.00277553j 0.00832141+0.0104972j -0.0154121+0.00121938j 
-0.00542172+0.0104076j -0.00414255+0.00653555j -0.00258466+0.00263921j -0.00641217+0.000415236j -0.000624639+0.00307232j 0.0178414+0.00431107j 0.00941829-0.00743295j 0.00586312-0.0142747j -0.0149131+0.0150588j 0.00487913-0.00763952j 0.00727369-0.0107786j 0.000455803-0.00202455j 0.00265427+0.00246162j -0.00470021+0.00634035j 0.00236137+0.000458306j 0.00266208+0.000811469j 0.0193286+0.0170413j -0.00390051+0.00339183j -0.0208457-0.00705243j 0.00284832-0.0141301j -0.00745029-0.0159003j -0.00459565+0.00843449j -0.00324736-0.000864891j 0.000298612-0.00101051j -0.00204672-0.0165078j 0.000143846+0.00523776j -0.00361596+0.0103613j 0.000961745-0.00466112j 0.00149739+0.00613887j 0.000422818+0.00097024j -4.19678e-05-0.00201922j -0.000489464+0.0038357j -0.00137517-0.00991138j 0.00569097-0.0261559j 0.00554643-0.0161577j -0.00208353+0.0190299j -0.00229035-0.0461612j 0.000540073+0.0194313j -0.00800501+0.0107122j 0.0011994-0.0171214j -0.00437605+0.00430048j -0.00308917+0.00274593j 0.00118955-0.00711499j 0.00703642+0.00254926j 0.00321165+0.00164986j -0.00493982-0.00292607j 0.00242679+0.00172731j -0.00220706-0.00562576j -0.00103575-0.00721569j 0.00552612+0.00038325j 0.00846898-0.00125321j -0.012665-0.0043932j 0.00363977-0.0012953j -3.73694e-05-0.0114893j -0.00159361+0.00486044j 0.00110042-0.00700175j 0.00587444-0.00418987j 0.00507798-0.0221607j -0.000598735+0.00194701j -0.0069549-0.00814664j 0.00798035+0.00122425j 0.00952198+0.000829681j 0.0137837+0.00302293j -0.00453684+0.00453112j 0.00215056+0.00347989j -0.00359298-0.00372633j 0.00449756-0.00402162j -0.00302867+0.00769379j 0.0034905-0.000405527j -0.00445854-0.00263517j 0.000164681-0.00942769j -0.0035173+0.00626564j 0.00208035+0.00901941j 0.00154124+0.00337946j 0.00287546-0.0072376j 0.00759733+0.00157623j -0.00386558-0.0065323j -0.010117+0.00928959j -0.0123023+0.00750845j 0.00171419-0.00188554j 0.00205935-0.0233254j -0.00789911-0.00381271j -0.0104267+0.0101483j 0.0128304+0.0070956j -0.00535276+0.0211985j 0.00511709+0.00582819j 0.0238404+0.0131027j 0.0024623-0.00170182j 0.00113645+0.00306685j -0.00794316-0.00826418j 0.0076787-0.0103322j -0.0104051-0.00227607j 0.00444155+0.00705147j 0.0245494+0.00117412j 0.01844-0.0023276j 
-0.00876815+0.00271727j 8.98733e-05-0.00494607j -0.0270451-0.000638605j 0.00547923+0.00407377j 0.00509128+0.002355j -0.000648313+0.00929937j -0.00244088+0.00592579j -0.00386727+0.00362693j -0.00920487+0.00623185j 0.00188144-0.0090693j 0.00585633-0.00822521j -0.00310979+0.00162159j -0.0127178-0.0166778j -0.000389177+0.0102454j 0.00117471+0.00581987j -0.0319117+0.00161218j -0.00997461-0.0102114j 0.00451973-0.00569221j 0.0127347+4.48214e-05j -0.0212672-0.00402187j 8.28129e-06-0.0154806j -0.00407828+0.00401282j -0.000336527-0.0222103j 0.0123311-0.0157538j -0.00452185+0.000623998j -0.00192514+0.00696986j -0.00795837-0.000897434j 0.00379606-0.00517218j -0.0129723+0.0025771j -0.00352574+0.00357526j -0.00517469+0.0238786j 0.00736869-0.000604999j -0.00103618+0.00327087j -1.92093e-05-0.00417808j 0.00306885-0.0184508j 0.00179407-0.00719887j 6.83666e-05+0.00804377j 0.00384466-0.00369802j -0.0050737-0.0115004j 0.00539263+0.000135177j -0.00510962+0.00305215j 0.00108546+0.0115503j 0.00190583-0.00710421j -0.00328472+0.000307715j 0.00181056+0.00403885j 0.00563629-0.00288585j 0.00613494+0.0100085j 0.0038258+0.00369441j 0.0102902+0.00775091j -0.00809286+0.0151339j 0.00601341+0.00495627j -0.0128941-0.0171087j 0.000544992+0.00930398j 0.00237966-0.00728244j -0.0155209+0.0159617j 0.00575272+0.00969626j 0.00966497+0.00593587j 0.0118176-0.0404401j 0.00111239+0.00384365j -0.0190554-0.000133031j 0.0229376+0.00259828j 0.0186731+0.00112984j 0.00807017+0.00587718j -4.96738e-05+0.00308597j 0.00332543+0.00523396j -0.000897819-0.00552716j -0.00262059+0.0021239j 1.66102e-05+0.0055047j 0.00618301+0.00456137j -0.0131835-0.00801859j -0.00442097-0.00148799j -0.00888796+0.0105519j -0.000402946+0.00040164j 0.0048042-0.00559695j -0.00201528-0.0151138j 0.00291579+0.0194611j -0.0149569+0.0107838j -0.00558265-7.59613e-05j -0.014414+0.0146354j 0.0114734+0.0120832j 0.00909482-0.0145535j 0.00857155+0.0236569j -0.0157076+4.86199e-05j -0.0164737-0.00119112j 0.0170039-0.00148249j -0.00421415-0.00981773j 0.031367-0.00289125j 0.00288722+0.0065024j 0.0121464+0.00138404j 0.00366471-0.00851098j 0.00354807+0.00421632j 0.00456058+0.000194198j -0.00501855+0.0028466j -0.000263576+0.00345428j -0.0085844+0.00184218j 
0.00184949+0.00170859j 0.00179181+0.0073426j 0.00774545+0.00892405j -0.0199904-0.00172673j -0.00201144+0.00510874j 0.00224385+0.0137559j 0.00306232+0.00674694j 0.00750354-0.000228359j 0.00781153+0.0102049j -0.00942644-0.00840695j -0.00635244-0.00567343j 0.00435685+0.0060976j 0.0100157-0.00894517j -0.00260396+0.0119086j -0.0132363-0.00140489j 0.00773565-0.004134j -0.00633171-0.000452866j 0.00410621-0.00243676j -0.00459423-0.00256175j 0.00502626-0.000856768j 0.00282311-0.0139568j -0.000992164+0.0087869j -0.00114295-0.00591113j -0.000759134+0.00518616j -0.0062694-0.0091897j 0.00932861+0.000204784j -0.00171244+0.00690589j 0.00134652-0.00252857j 6.56764e-05+0.00596827j 0.00263813-0.0019175j 0.00659139+0.00328617j 0.000228406-0.0236696j 0.00234591+0.00171887j 0.00284993+0.0135655j 0.00907279-0.0355531j 0.0045619-0.0178712j 0.00460989-0.0072378j -0.0034189-0.0270729j 0.00714194-0.00135833j -0.00630199+0.0128307j -0.0103005-0.00093984j 0.00525937-0.00488868j 0.000227471+0.00477066j 0.0100816+0.00660567j -0.00776031+0.0131349j -0.00634135-0.00742852j -0.00239652+0.0033802j -0.00232422-0.012775j 0.0046749-0.00743597j 0.008247-0.00339354j 0.000253519-0.00347404j -0.00335711+0.00580936j 0.00142676+0.01191j 0.000480468-0.00665189j 0.00432512-0.00769337j -0.0136416-0.00712466j 0.00601526-0.00870469j 0.00330374+0.0253376j -0.00438528-0.0105458j 0.00808669+0.000916612j -0.00816719-0.00161975j -0.0115097+0.00171069j -0.000164626+0.0104042j -0.0104436-0.000452699j -0.00190237-0.0031541j 0.00326804-0.00428618j -0.000795122+0.000460432j -0.00499893+0.00708488j -0.0039237-0.00778589j 0.0132496+0.00106763j -0.00164489-0.00753026j 0.00725859-0.00635426j 0.00149656-2.70017e-05j 0.0100066+0.00363251j 0.00133203+0.00871328j 0.00428015-0.0116639j 0.00490069-0.00760406j 0.00466012+0.0087149j 0.0080214-0.0143299j -0.00958231-0.00861416j 0.00437969-0.00646179j -0.0124554+0.00178868j 0.00964858+0.0117662j 0.0251585-0.00499349j -0.0136144+0.00677262j -0.00194438+0.00192587j 0.000612175+0.00208329j -0.00427158+0.000154099j -0.00249887+0.000977787j -0.000383168+0.00680768j -0.0101306+0.00435386j -0.00510682+0.0163285j 0.00872262+0.00537976j 0.00539613+0.00251026j -0.0144878-0.0116341j 
2.89022e-05-0.00489484j -0.00373838-0.00241972j -0.00129383+0.000548452j -0.00267806-0.00264946j -0.0100463+0.0102952j -0.0133556-0.0112279j 0.000983182+0.0012008j 0.00181001+0.000502306j 0.00980497-0.00361273j -0.00702439+0.00229145j 0.00284518+0.008119j -0.000746864-0.000371665j -0.0107242+0.0116663j 0.0110275-0.00885383j 0.0149733-0.00121251j 0.0011991+0.00154546j 0.000563407-0.0022875j -0.0139263-0.0110765j -0.0148861+0.000735897j 0.00917022+0.00503012j -0.00298845-0.0156049j 0.0107239-0.00246366j -0.00107667-0.01489j 0.00269032+0.0188289j -0.00280796-0.00310892j -0.000775832-0.00948645j 2.73471e-05-0.00800464j 0.000557486+0.00167538j 0.00547765+0.00330072j 0.000103955+0.0159723j 0.00185331-0.0063975j 0.00738055+0.0157488j -0.00549894+0.0191686j 0.00766028-0.00196815j 0.0114922-0.0112439j -0.00425248+0.0134983j -0.0064058+0.00617853j -0.0100464+0.00924274j -0.00251975-0.0113756j -0.00376194+0.00285003j -0.0171261-0.00623557j -0.00371181-0.00161674j -5.53003e-05+0.00431032j -0.00930424-0.00637032j 0.00253134+0.0317934j -0.00113502+0.024709j -0.0147159-0.00353248j -0.00624312+0.0288168j 0.00902043+0.0066177j -0.0108243+1.46432e-05j -0.0254391+0.0105173j 0.00783369+0.0104845j -0.0139673-0.017086j -0.00970976+0.0101886j 0.00300509+0.00910817j 0.0260636+0.0119712j -0.0217412+0.0220872j 0.0150701+0.0205768j -0.00795609-0.0141271j 0.00119324+0.0161665j -0.0112673+0.018783j -0.00357238+0.00469655j -0.00751998+0.00332968j -0.0111853+0.00134174j -0.00673015-0.00181714j 0.0121724-0.00496034j -0.0172581-0.00302961j -0.0019986+0.0154162j 0.00151231-0.00695819j -5.81214e-05-0.0110708j -0.0195989-0.00270517j -0.00478642+0.00851145j -0.0138865-0.015141j 0.0206667-0.0184854j 0.00267921+0.00766363j -0.00649861-0.00170687j 0.00915375-0.00190886j 0.00310217+0.00378784j 0.00346627-0.0202379j -0.00712096+0.00412686j 0.0183596-0.0234605j 0.0144804+0.0189655j 0.0105021+0.00388047j 0.0148508+0.00674041j -0.00491091+0.0053942j -0.0196442+5.91154e-05j 0.024288-0.00239822j 0.00237455+0.00727501j 0.00832936+0.00149779j 0.0133645-0.0104201j 0.00695866+0.00291722j 0.00614274-0.0138875j -0.00419618-0.00540695j 0.00343678+0.00554389j 0.00669272-0.00830465j 
-0.000662159+0.00558168j 0.00487649+0.000393492j -0.00366566-0.000427422j 0.0116085+0.00467253j 0.00616261+0.00673992j -0.0118564+0.000200502j 0.0126716-0.0107387j 0.000620494-0.0173935j -0.00321013+0.0212117j -0.00414332+0.00286002j -0.00834717-0.00427147j -0.0107446-0.00464199j -0.00612828+0.0245595j -0.0149903-0.0129373j 0.0053532-0.00269674j 0.0095025+0.0114482j -0.00084572+0.00595286j 0.0297405+0.0182872j 0.0199372+0.00567973j 0.00769901-0.0175306j 0.00257527-0.0148136j 0.00220984+0.00755448j 0.000431305+0.00149071j 0.00217541+0.00756978j -0.00638493-0.013867j -0.000197804+0.00309779j -0.00256122+0.0194379j -0.00134459+0.00113321j -0.00736608+0.0290319j -0.000694718+0.00535325j -0.00107843+0.0152334j 0.00192153-0.00762231j 0.00182919-0.0158279j -0.00396952-0.0116582j 0.00207644+0.0310141j 0.000308017+0.00108285j 0.00370418+0.00960639j 0.00520533+0.00901212j -0.000175798-0.0032352j -0.00476621+0.00137373j -0.000446418-0.00709621j -0.000728947+0.000526625j 0.00438173+0.00467018j -0.00359851+0.00611934j -0.00688205+0.00270043j 0.00357847-0.00122936j -0.0145943-0.00977411j 0.00131453+0.0042639j -0.00379495+0.000129781j 0.0124377-0.00897477j -0.00471534+0.00845582j 0.00573141+0.00121374j -0.00255484-0.00132541j 0.00207913-0.00564506j -0.00391475-0.0040113j -0.00317207+0.00269545j -0.00107995-0.00193582j 0.00835523+0.0176891j -0.00117957-0.0110405j 0.00168482-0.000715392j -0.0100715+0.0126637j -0.00896618+0.00790048j 0.000482855+0.0128489j -0.0075685+0.0042456j -0.00129065-0.000573484j 0.00402482-0.00634971j -0.00467749-0.000824763j -0.00655248+0.0078104j 0.000821161-0.00198037j 0.00329216-0.0103089j -0.0143558-0.00125697j 0.00269927+0.00283564j 0.00267338+0.0153989j 0.00456161-0.00282759j 0.00673695-0.0102523j 0.0132394+0.00412971j -0.00433714-0.00393001j 0.00507494+0.0138221j -0.00603041-0.0055615j 0.0161585-0.00818878j 0.00046069-0.00680002j -0.00656314+0.0137127j 0.00562675+0.0014729j 0.0162295-0.00370148j 0.00658321-0.0120799j -0.011741+0.0038042j 0.00957182-0.000371965j -0.00644673-0.00397702j -0.00825407-0.000480103j 0.0107176+0.015945j -0.013612+0.00979257j 0.00753021+0.00259487j 0.0168488+0.00300531j -0.0136233+0.00211302j 0.000550104-0.00146056j 
