0.0270606-0.0250906j 0.0343902+0.0223085j 0.00745024-0.0242001j -0.030175+0.0151578j 0.0201444+0.0468871j -0.00384316-0.0118753j -0.0397127+0.017396j 0.0116855+0.0200135j 
0.00636807-0.0511789j 0.0564458+0.0109581j 0.0108523-0.0285811j 0.0032-0.00526605j 0.00670406+0.00010281j -0.00186565-0.00228903j 0.00033373+0.00984297j 0.00699823-0.00121964j 
0.0145943+0.0123392j -0.0294082+0.00131587j -0.0112445+0.0265377j -0.0142752+0.0440167j 0.0543961+0.0273347j -0.00726883-0.00699266j -0.0274844+0.0462733j 0.0289379+0.0179244j 
-0.00865791+0.00927131j 0.00573379+0.00680786j 0.00955846-0.0200475j 0.0158225-0.00262429j 0.00329667-0.00530123j 0.020126+0.00675656j -0.0305893+0.0152566j 0.0129892+0.0356013j 
-0.00854539+0.0377978j 0.00550639+0.00684369j 0.00543704-0.0470185j 0.00972731+0.00710243j 0.00197284-0.0119026j 0.0112321+0.00118265j -0.0101411+0.0156573j 0.0131995+0.00861257j 
-0.00784379+0.00713314j -0.00151875-0.00123285j -0.000815513-0.00194146j 0.0215253-0.026164j -0.0145474-0.0169095j 0.0254002-0.00019985j -0.0107555+0.015787j 0.0220099+0.0247434j 
-0.00654213-0.0364172j -0.00530681-0.00520797j 0.00589679+0.0452064j 0.00435746-0.0266891j -0.00514855+0.00245668j 0.0131143-0.00309136j -0.00909634+0.00876498j 0.0162714+0.0212293j 
0.00822371-0.00061728j 0.00354396+0.000329308j -0.0052779-0.00765211j -0.00282625+0.0256553j 0.00856726+0.00312747j -0.0194166+0.0116304j 0.00696111-0.0249996j -0.0344569-0.015073j 
