-1.70485e-07-6.78339e-08j 
-5.58082e-07-2.53776e-07j 
-1.61993e-06-8.59397e-07j 
-3.95202e-06-2.51593e-06j 
-8.88309e-06-7.06894e-06j 
-1.68477e-05-1.7876e-05j 
-2.56674e-05-4.08509e-05j 
-2.43978e-05-7.76608e-05j 
0-0.000115747j 
2.43978e-05-7.76608e-05j 
2.56674e-05-4.08509e-05j 
1.68477e-05-1.7876e-05j 
8.88309e-06-7.06894e-06j 
3.95202e-06-2.51593e-06j 
1.61993e-06-8.59397e-07j 
5.58082e-07-2.53776e-07j 
1.70485e-07-6.78339e-08j 
