-0.0508361-0j -0.00517216-0j -0.00522576-0j -0.00297678-0j -0.000429662-0j -0.00368358-0j -0.000531679-0j -0.00214876-0j -0.000310146-0j -0.0020983-0j -0.000370931-0j -0.00244802-0j -3.09109e-05-0j -0.0014991-0j -0.000432752-0j -0.00214202-0j -0.000265006-0j -3.60627e-05-0j -0.000883536-0j -2.20838e-05-0j -0.000378658-0j -0.000156189-0j -3.15549e-05-0j -1.30157e-05-0j -0.00162024-0j -0.00027004-0j -0.00183025-0j -0.000165365-0j -3.3755e-05-0j -0.0014944-0j -1.98903e-06-0j -0.000305042-0j -0.00150988-0j -0.0001868-0j -0.0013076-0j -0.000249066-0j -3.81303e-05-0j -0.00107871-0j -0.000152521-0j -0.000251647-0j -2.24685e-06-0j -0.000344654-0j -3.11333e-05-0j -0.000217933-0j -0.000154102-0j -0.000133456-0j -3.14559e-05-0j -0.000179785-0j -1.83454e-06-0j -2.72416e-05-0j -0.000110096-0j -5.74423e-05-0j -1.85356e-06-0j -3.51761e-05-0j -1.60523e-06-0j -2.24732e-05-0j -7.18029e-06-0j -1.32424e-06-0j -4.23102e-07-0j 
0.00784418-0j -0.0376304-0j -0.0380204-0j 0.000459328-0j -0.00631836-0j 0.000568389-0j -0.00781857-0j 0.00033156-0j -0.00456083-0j 0.000323775-0j -0.00269873-0j 0.000377737-0j -0.000684222-0j 0.000231316-0j -0.00314852-0j 0.00033052-0j -0.00192807-0j -0.000798259-0j 0.000136333-0j -0.000488832-0j -0.00275495-0j -0.00113636-0j -0.000698476-0j -0.000288107-0j 0.000250008-0j -0.00196469-0j 0.000282414-0j 2.55164e-05-0j -0.000496381-0j 0.00023059-0j -5.8806e-05-0j -0.00221935-0j 0.00023298-0j 2.88238e-05-0j 0.000201767-0j -0.0018121-0j -0.000560722-0j 0.000166449-0j 2.35345e-05-0j -0.00183087-0j -6.64285e-05-0j 5.31812e-05-0j -0.000457828-0j -0.00158558-0j 2.37784e-05-0j 2.05927e-05-0j -0.000462572-0j -0.00130804-0j -5.42386e-05-0j -0.000400599-0j 1.69881e-05-0j -0.000417925-0j -5.48007e-05-0j 5.42779e-06-0j -4.74588e-05-0j -0.000330478-0j -0.000105589-0j -3.91515e-05-0j -1.25091e-05-0j 
0.00599109-0j 0.000609545-0j 0.000615862-0j -0.0335399-0j 5.06361e-05-0j -0.0415035-0j 6.2659e-05-0j -0.0242104-0j 3.65511e-05-0j 0.000247287-0j -0.00417934-0j 0.000288502-0j 3.64288e-06-0j 0.00017667-0j -0.00487589-0j 0.000252439-0j -0.00298586-0j 4.25003e-06-0j 0.000104126-0j 2.6026e-06-0j -0.00426641-0j -0.0017598-0j 3.71878e-06-0j 1.53392e-06-0j 0.000190947-0j 3.18245e-05-0j 0.000215698-0j -0.00374588-0j -0.000380323-0j 0.000176116-0j 2.3441e-07-0j 3.59496e-05-0j 0.000177941-0j -0.00423142-0j 0.000154102-0j 2.93527e-05-0j -0.00042962-0j 0.000127127-0j -0.00345494-0j 2.96569e-05-0j 2.64794e-07-0j 4.06178e-05-0j -0.000350784-0j 2.56836e-05-0j -0.00349074-0j -0.00302307-0j -0.000354419-0j 2.11879e-05-0j 2.16203e-07-0j -0.000306936-0j -0.00249391-0j 6.76964e-06-0j 2.18444e-07-0j -0.000796815-0j 1.89178e-07-0j -0.000253209-0j -8.09015e-05-0j 1.56064e-07-0j 4.98631e-08-0j 
-0.000864739-0j 0.0083847-0j 0.00847159-0j -5.06361e-05-0j -0.0324903-0j -6.2659e-05-0j -0.0402048-0j -3.65511e-05-0j -0.0234528-0j -3.56928e-05-0j 0.000601324-0j -4.16416e-05-0j -0.00716316-0j -2.55002e-05-0j 0.000701544-0j -3.64364e-05-0j 0.000429606-0j -0.00835702-0j -1.50293e-05-0j -0.00511761-0j 0.000613851-0j 0.000253201-0j -0.00731239-0j -0.00301621-0j -2.75608e-05-0j 0.000437767-0j -3.11333e-05-0j -2.81291e-06-0j -0.0025525-0j -2.54202e-05-0j -0.000928342-0j 0.000494511-0j -2.56836e-05-0j -3.17752e-06-0j -2.22427e-05-0j 0.000403766-0j -0.00288335-0j -1.83493e-05-0j -2.59444e-06-0j 0.00040795-0j -0.00104867-0j -5.86268e-06-0j -0.00235425-0j 0.000353295-0j -2.62132e-06-0j -2.27013e-06-0j -0.00237865-0j 0.000291454-0j -0.000856239-0j -0.00205997-0j -1.87276e-06-0j 9.31209e-05-0j -0.000865112-0j -5.98357e-07-0j -0.000749209-0j -0.00169939-0j -0.000542962-0j -0.000618066-0j -0.000197475-0j 
0.00535859-0j 0.000545194-0j 0.000550844-0j 0.00031378-0j 4.52903e-05-0j 0.000388283-0j 5.60439e-05-0j 0.000226499-0j 3.26923e-05-0j -0.0319304-0j 3.90995e-05-0j -0.0372521-0j 3.25829e-06-0j -0.0228122-0j 4.56161e-05-0j -0.0325956-0j 2.79341e-05-0j 3.80134e-06-0j -0.013445-0j 2.32784e-06-0j 3.99141e-05-0j 1.64637e-05-0j 3.32618e-06-0j 1.37198e-06-0j 0.000170788-0j -0.00410926-0j 0.000192926-0j 1.7431e-05-0j 3.55809e-06-0j 0.000157523-0j 2.09662e-07-0j -0.00464191-0j 0.000159156-0j 1.96904e-05-0j 0.000137833-0j -0.0037901-0j 4.01929e-06-0j 0.000113706-0j 1.60771e-05-0j -0.00382938-0j 2.36839e-07-0j 3.63297e-05-0j 3.28173e-06-0j -0.00331634-0j 1.62438e-05-0j 1.40675e-05-0j 3.31574e-06-0j -0.00273584-0j 1.93378e-07-0j 2.87152e-06-0j 1.16051e-05-0j -0.000874114-0j 1.95382e-07-0j 3.70788e-06-0j 1.69206e-07-0j 2.36888e-06-0j 7.56869e-07-0j 1.39588e-07-0j 4.45989e-08-0j 
0.00366878-0j 0.000373269-0j 0.000377137-0j 0.000214831-0j 3.10082e-05-0j 0.00026584-0j 3.83706e-05-0j 0.000155073-0j 2.23829e-05-0j 0.000151432-0j 2.67696e-05-0j 0.00017667-0j 2.2308e-06-0j 0.000108188-0j 3.12312e-05-0j 0.000154587-0j 1.91251e-05-0j 2.6026e-06-0j 6.37637e-05-0j 1.59376e-06-0j 2.73273e-05-0j 1.12719e-05-0j 2.27728e-06-0j 9.39329e-07-0j -0.0453522-0j 1.94884e-05-0j -0.0512308-0j 1.19342e-05-0j 2.43606e-06-0j -0.0418298-0j 1.43546e-07-0j 2.20145e-05-0j -0.0422633-0j 1.34811e-05-0j -0.0366011-0j 1.79748e-05-0j 2.75182e-06-0j -0.0301943-0j 1.10073e-05-0j 1.81611e-05-0j 1.62152e-07-0j -0.00964724-0j 2.24685e-06-0j 1.57279e-05-0j 1.11213e-05-0j 9.63136e-06-0j 2.27013e-06-0j 1.29749e-05-0j 1.32397e-07-0j 1.96599e-06-0j 7.94547e-06-0j 4.14554e-06-0j 1.33769e-07-0j 2.53861e-06-0j 1.15847e-07-0j 1.62186e-06-0j 5.18193e-07-0j 9.55691e-08-0j 3.05348e-08-0j 
-0.000947275-0j 0.0045443-0j 0.00459139-0j 0.00530313-0j 0.000763014-0j 0.00656228-0j 0.000944182-0j 0.003828-0j 0.000550773-0j -3.90995e-05-0j -0.0311579-0j -4.56161e-05-0j 8.26276e-05-0j -2.79341e-05-0j -0.0363509-0j -3.99141e-05-0j -0.0222603-0j 9.63989e-05-0j -1.64637e-05-0j 5.9032e-05-0j -0.0318071-0j -0.0131197-0j 8.4349e-05-0j 3.47922e-05-0j -3.01914e-05-0j 0.000237259-0j -3.41048e-05-0j 0.000592275-0j -0.00573093-0j -2.78464e-05-0j 7.1015e-06-0j 0.000268013-0j -2.8135e-05-0j 0.000669046-0j -2.43656e-05-0j 0.000218831-0j -0.00647377-0j -2.01006e-05-0j 0.000546274-0j 0.000221099-0j 8.022e-06-0j -6.42224e-06-0j -0.00528581-0j 0.000191477-0j 0.000551935-0j 0.000477989-0j -0.00534059-0j 0.000157961-0j 6.54993e-06-0j -0.00462508-0j 0.000394321-0j 5.04692e-05-0j 6.61781e-06-0j 0.000125988-0j 5.73119e-06-0j -0.0038155-0j -0.00121907-0j 4.72799e-06-0j 1.51062e-06-0j 
7.89395e-05-0j -0.00115214-0j -0.00116408-0j 4.62242e-06-0j 0.00908927-0j 5.71996e-06-0j 0.0112474-0j 3.33664e-06-0j 0.00656098-0j 3.25829e-06-0j -8.26276e-05-0j 3.80134e-06-0j -0.0301691-0j 2.32784e-06-0j -9.63989e-05-0j 3.32618e-06-0j -5.9032e-05-0j -0.0351973-0j 1.37198e-06-0j -0.0215539-0j -8.4349e-05-0j -3.47922e-05-0j -0.0307977-0j -0.0127034-0j 2.51595e-06-0j -6.01534e-05-0j 2.84206e-06-0j 2.56783e-07-0j 0.000714069-0j 2.32054e-06-0j -0.00801944-0j -6.79505e-05-0j 2.34458e-06-0j 2.90067e-07-0j 2.03047e-06-0j -5.54813e-05-0j 0.000806627-0j 1.67505e-06-0j 2.36839e-07-0j -5.60563e-05-0j -0.00905893-0j 5.35187e-07-0j 0.000658608-0j -4.85462e-05-0j 2.39293e-07-0j 2.07234e-07-0j 0.000665433-0j -4.00486e-05-0j -0.00739658-0j 0.000576282-0j 1.70959e-07-0j -1.27957e-05-0j -0.00747323-0j 5.46223e-08-0j -0.00647201-0j 0.000475408-0j 0.000151895-0j -0.00533913-0j -0.00170588-0j 
-0.000864739-0j 0.00414836-0j 0.00419135-0j -5.06361e-05-0j 0.000696533-0j -6.2659e-05-0j 0.000861916-0j -3.65511e-05-0j 0.000502784-0j 0.00515274-0j 0.000297507-0j 0.00601153-0j 7.54283e-05-0j 0.0036813-0j 0.000347091-0j 0.00526009-0j 0.000212549-0j 8.79997e-05-0j 0.00216968-0j 5.38886e-05-0j 0.000303705-0j 0.000125272-0j 7.69998e-05-0j 3.17608e-05-0j 0.00533103-0j -0.0312673-0j 0.00602204-0j -2.81291e-06-0j 5.47209e-05-0j 0.00491698-0j 6.48275e-06-0j -0.0353201-0j 0.00496793-0j -3.17752e-06-0j 0.00430236-0j -0.0288388-0j 6.18138e-05-0j 0.00354926-0j -2.59444e-06-0j -0.0291376-0j 7.32305e-06-0j 0.00113401-0j 5.04708e-05-0j -0.0252339-0j -2.62132e-06-0j -2.27013e-06-0j 5.09938e-05-0j -0.0208169-0j 5.97924e-06-0j 4.41619e-05-0j -1.87276e-06-0j -0.00665111-0j 6.04121e-06-0j -5.98357e-07-0j 5.23184e-06-0j 3.64317e-05-0j 1.16401e-05-0j 4.31605e-06-0j 1.379e-06-0j 
-0.000529543-0j -5.38767e-05-0j -5.4435e-05-0j 0.00596008-0j -4.47564e-06-0j 0.00737523-0j -5.53832e-06-0j 0.00430221-0j -3.23069e-06-0j -2.18573e-05-0j 0.000742673-0j -2.55002e-05-0j -3.21988e-07-0j -1.56156e-05-0j 0.000866452-0j -2.23127e-05-0j 0.000530592-0j -3.75653e-07-0j -9.2035e-06-0j -2.3004e-07-0j 0.000758146-0j 0.000312719-0j -3.28697e-07-0j -1.3558e-07-0j 0.00326458-0j -2.81291e-06-0j 0.00368773-0j -0.0314877-0j 6.75838e-05-0j 0.00301102-0j -2.07191e-08-0j -3.17752e-06-0j 0.00304222-0j -0.0355691-0j 0.00263464-0j -2.59444e-06-0j 7.63441e-05-0j 0.00217347-0j -0.029042-0j -2.62132e-06-0j -2.34047e-08-0j 0.000694434-0j 6.23347e-05-0j -2.27013e-06-0j -0.029343-0j -0.0254118-0j 6.29806e-05-0j -1.87276e-06-0j -1.91098e-08-0j 5.45428e-05-0j -0.0209637-0j -5.98357e-07-0j -1.93079e-08-0j -0.00669799-0j -1.67211e-08-0j 4.49955e-05-0j 1.43763e-05-0j -1.37942e-08-0j -4.40732e-09-0j 
-0.000499258-0j -5.07954e-05-0j -5.13218e-05-0j 0.00279499-0j -4.21968e-06-0j 0.00345863-0j -5.22158e-06-0j 0.00201753-0j -3.04592e-06-0j 0.00597048-0j 0.000348278-0j 0.00696556-0j -3.03574e-07-0j 0.00426552-0j 0.000406325-0j 0.00609487-0j 0.000248822-0j -3.54169e-07-0j 0.002514-0j -2.16883e-07-0j 0.000355534-0j 0.00014665-0j -3.09898e-07-0j -1.27826e-07-0j -1.59122e-05-0j 0.000768368-0j -1.79748e-05-0j 0.000312156-0j 3.16936e-05-0j -1.46764e-05-0j -1.95341e-08-0j 0.000867964-0j -1.48284e-05-0j 0.000352618-0j -1.28418e-05-0j 0.00070869-0j 3.58017e-05-0j -1.0594e-05-0j 0.000287912-0j 0.000716034-0j -2.20661e-08-0j -3.38482e-06-0j 2.9232e-05-0j 0.000620104-0j 0.000290895-0j 0.000251923-0j 2.95349e-05-0j 0.000511559-0j -1.80169e-08-0j 2.5578e-05-0j 0.000207826-0j 0.000163446-0j -1.82036e-08-0j 6.64013e-05-0j -1.57648e-08-0j 2.11008e-05-0j 6.74179e-06-0j -1.30053e-08-0j -4.15526e-09-0j 
0.000108092-0j -0.00104809-0j -0.00105895-0j -0.000605134-0j 0.00406129-0j -0.000748815-0j 0.00502559-0j -0.000436809-0j 0.0029316-0j 4.4616e-06-0j 0.0071862-0j 5.2052e-06-0j 0.000895395-0j 3.18752e-06-0j 0.0083839-0j 4.55455e-06-0j 0.00513407-0j 0.00104463-0j 1.87866e-06-0j 0.000639701-0j 0.00733591-0j 0.00302591-0j 0.000914049-0j 0.000377026-0j -0.000666379-0j -5.47209e-05-0j -0.000752755-0j -6.75838e-05-0j -0.030504-0j -0.000614622-0j 0.000116043-0j -6.18138e-05-0j -0.000620991-0j -7.63441e-05-0j -0.000537794-0j -5.04708e-05-0j -0.0344579-0j -0.000443658-0j -6.23347e-05-0j -5.09938e-05-0j 0.000131084-0j -0.000141751-0j -0.0281348-0j -4.41619e-05-0j -6.29806e-05-0j -5.45428e-05-0j -0.0284263-0j -3.64317e-05-0j 0.00010703-0j -0.0246179-0j -4.49955e-05-0j -1.16401e-05-0j 0.000108139-0j -1.43763e-05-0j 9.36511e-05-0j -0.0203088-0j -0.00648874-0j 7.72582e-05-0j 2.46844e-05-0j 
