-0.3599-0j -0.00769406-0j -0.296902-0j 0.288105-0j -0.265558-0j -0.181815-0j -0.00650402-0j 0.371997-0j -0.00593733-0j -0.183699-0j -0.173193-0j 0.252091-0j 0.168061-0j 0.316233-0j -0.00424183-0j -0.0535789-0j 0.343105-0j 0.103982-0j 0.220365-0j 0.225928-0j 0.139297-0j 0.0372795-0j -0.0489454-0j -0.00103816-0j -0.0396503-0j 0.0384754-0j -0.0349683-0j -0.0331738-0j -0.000856442-0j 0.0489841-0j -0.000766025-0j -0.000524461-0j -0.0237005-0j 0.0325244-0j -0.0305973-0j 0.0407999-0j -0.0117769-0j 0.0296906-0j -0.000529896-0j -0.000499591-0j 0.0428611-0j -0.0126207-0j 0.0285741-0j 0.0275283-0j 0.021212-0j -0.000154553-0j 0.037631-0j 0.0176793-0j 0.016406-0j 0.0196672-0j 0.00921405-0j 0.00207053-0j -0.032813-0j -0.00473614-0j -0.000691675-0j -9.98346e-05-0j -0.0262098-0j -0.00378305-0j 0.0254331-0j 0.00367095-0j -0.0228778-0j -0.00330212-0j -0.00056032-0j -0.0214002-0j -8.08753e-05-0j 0.0320475-0j -0.0148265-0j -0.00308885-0j 0.00462566-0j -0.00214002-0j -0.000494156-0j -0.015289-0j -7.13253e-05-0j -0.000468798-0j -0.00220678-0j 0.0209812-0j -6.76651e-05-0j 0.00302838-0j 0.0263197-0j -0.0193393-0j 0.00379892-0j -0.0132407-0j -0.00279138-0j 0.0187662-0j -0.0124834-0j -0.00191113-0j 0.0128483-0j -0.000334925-0j 0.00270867-0j -0.00180183-0j 0.0018545-0j -4.83423e-05-0j 0.0270907-0j -0.000432387-0j 0.00391021-0j 0.0173995-0j -0.000166426-0j -0.00772373-0j -6.24096e-05-0j 0.0247303-0j 0.0025114-0j -0.0089186-0j -2.40215e-05-0j -0.00111482-0j 0.0129815-0j 0.00356952-0j -0.00128729-0j 0.0122391-0j 0.00187372-0j 0.0230297-0j -0.00017835-0j 0.00176656-0j 0.0153531-0j 0.00332405-0j 0.0100402-0j -0.00174498-0j 0.0176682-0j -2.57427e-05-0j 0.00221603-0j 0.00144918-0j 0.00378626-0j -0.000251866-0j 0.00255019-0j 0.0160481-0j 0.0005465-0j 0.00949927-0j 0.00231635-0j 0.00531639-0j 0.0013711-0j 0.0071731-0j 0.000767355-0j 0.00103535-0j 0.00271488-0j 0.00039186-0j 0.000526073-0j 7.59321e-05-0j 
0.0367091-0j 0.0396503-0j -0.029122-0j 0.0305973-0j 0.0270863-0j 0.0185447-0j -0.0322321-0j 0.0195519-0j 0.0305973-0j -0.0547735-0j -0.0169878-0j -0.0257458-0j 0.0178484-0j 0.0110431-0j -0.0639025-0j -0.0374162-0j -0.0173417-0j -0.0539451-0j 0.00576175-0j -0.0230636-0j -0.00279909-0j 0.000555776-0j -0.23479-0j -0.251613-0j 0.182907-0j -0.192173-0j -0.167742-0j -0.159134-0j 0.19961-0j -0.121083-0j -0.185657-0j -0.12711-0j 0.332352-0j 0.156219-0j 0.141145-0j -0.0670071-0j -0.0564935-0j -0.148296-0j 0.375432-0j 0.116439-0j 0.101884-0j 0.295741-0j -0.0706316-0j -0.0338507-0j 0.309716-0j 0.25646-0j 0.0594324-0j 0.213477-0j -0.0161227-0j 0.0706973-0j 0.00725152-0j -0.00126981-0j 0.00334686-0j -0.0459215-0j 0.00356446-0j -0.0489071-0j -0.00257081-0j 0.0352735-0j 0.00270105-0j -0.0370604-0j 0.00233348-0j -0.0320172-0j -0.00277679-0j 0.00218277-0j 0.0380998-0j 0.0016844-0j 0.00151227-0j -0.0299494-0j -0.0231112-0j -0.0207495-0j 0.00254657-0j -0.00455873-0j -0.0349409-0j 0.00241589-0j 0.0625493-0j -0.00214279-0j -0.0331479-0j 0.0294007-0j 0.000919106-0j -0.00189691-0j -0.0126108-0j -0.00129873-0j 0.0260271-0j 0.00199301-0j 0.00127329-0j 0.0178195-0j 0.00136452-0j -0.00504559-0j -0.0273456-0j -0.0174705-0j -0.0187223-0j 0.0692294-0j -0.00136926-0j -0.00214279-0j 0.0187874-0j 0.000454934-0j 0.000857653-0j -0.00384838-0j 0.0294007-0j 0.00129981-0j -0.00624205-0j -0.00265926-0j -0.0117677-0j 0.0528028-0j -0.00403023-0j -0.0178344-0j 0.0364871-0j -0.00124996-0j 0.0552978-0j -0.000773374-0j -0.00448978-0j 0.0171504-0j 0.000536145-0j 0.0106113-0j 0.0002098-0j -0.00156773-0j -0.00271466-0j 0.0616032-0j -0.00735633-0j -0.00287862-0j -0.00275307-0j 0.0215104-0j 0.0372472-0j -0.000403507-0j 0.0377743-0j -0.00162045-0j 0.00553643-0j 9.25131e-05-0j 0.0222338-0j -0.000438168-0j -0.00126935-0j 0.006012-0j -3.89222e-05-0j 0.000534042-0j 6.0961e-06-0j -8.36433e-05-0j 
-0.0370895-0j 0.0384754-0j -0.0305973-0j 0.0308901-0j -0.027367-0j -0.0187369-0j 0.0325244-0j -0.017455-0j 0.0296906-0j -0.0189311-0j -0.0178484-0j 0.0270289-0j 0.0180192-0j -0.052307-0j 0.021212-0j -0.00552157-0j -0.0160993-0j 0.0111488-0j -0.060625-0j -0.0373699-0j -0.0531176-0j -0.0219683-0j 0.237223-0j -0.244158-0j 0.192173-0j -0.194012-0j 0.169481-0j 0.160783-0j -0.20142-0j 0.108097-0j -0.180155-0j -0.123344-0j 0.114869-0j -0.164004-0j 0.148296-0j 0.317386-0j 0.057079-0j -0.149715-0j -0.124622-0j -0.117495-0j 0.0945848-0j 0.0611688-0j 0.0630566-0j 0.356177-0j -0.106962-0j -0.0363481-0j 0.292735-0j 0.0390143-0j 0.294222-0j 0.254465-0j 0.210517-0j 0.0674-0j -0.00338154-0j 0.0463974-0j 0.00345883-0j -0.0474579-0j -0.00270105-0j 0.0370604-0j 0.0027269-0j -0.0374152-0j -0.00235767-0j 0.032349-0j 0.00280197-0j -0.00220539-0j -0.0384453-0j -0.00150375-0j -0.00152794-0j 0.0302597-0j 0.0206326-0j 0.0209646-0j 0.00247111-0j -0.00157561-0j -0.0339055-0j 0.0023443-0j 0.0216186-0j 0.00224958-0j -0.0321656-0j -0.0308659-0j -0.00435344-0j -0.00199301-0j 0.0597326-0j -0.00136452-0j 0.0273456-0j 0.00201208-0j -0.00128648-0j 0.0187223-0j 0.00137758-0j 0.00167485-0j -0.0276073-0j 0.0176515-0j -0.0189014-0j -0.0229802-0j -0.00127117-0j 0.00216222-0j 0.0174414-0j -0.00478681-0j 0.000832239-0j -0.000795969-0j -0.0296674-0j -0.00116041-0j 0.0656787-0j -0.000919106-0j -0.011419-0j 0.0109213-0j 0.00139185-0j 0.0159217-0j 0.0126108-0j 0.00131225-0j -0.0190973-0j -0.00380926-0j 0.000891871-0j -0.0180051-0j -0.00253951-0j 0.052266-0j -0.00382862-0j -0.000179829-0j -0.000829037-0j -0.0122372-0j 0.034844-0j 0.0525316-0j 0.000405957-0j 0.00246739-0j 0.011375-0j -0.00441502-0j -0.00557005-0j -0.00157124-0j 0.0605775-0j -0.00258272-0j 0.0215586-0j -0.00273529-0j 0.0354369-0j 0.0375304-0j -0.00159985-0j 0.0219511-0j -0.000418021-0j 0.00573557-0j 
0.0211807-0j 0.0228778-0j 0.0174732-0j 0.0176542-0j -0.0303868-0j 0.0107001-0j 0.0193393-0j 0.0112812-0j -0.0343255-0j 0.010811-0j -0.0498284-0j 0.0154475-0j -0.0503447-0j 0.00637175-0j -0.0245233-0j 0.0031532-0j -0.0202307-0j 0.00637175-0j -0.00646381-0j 0.0045522-0j 0.00167945-0j 0.000320676-0j 0.00288052-0j 0.00308691-0j 0.00233348-0j 0.00235767-0j -0.00400129-0j 0.00195233-0j 0.00254657-0j 0.0014855-0j -0.00442862-0j 0.00155945-0j 0.00139481-0j 0.00199301-0j -0.00350113-0j 0.000822073-0j -0.00542894-0j -0.00353741-0j 0.00157561-0j -0.00726207-0j 0.00129981-0j -0.00144414-0j -0.00423621-0j 0.000415296-0j -0.00252725-0j 0.000459553-0j -0.00147423-0j 0.000536145-0j -0.000384589-0j 0.000296702-0j 9.25131e-05-0j 1.55786e-05-0j -0.183687-0j 0.000278729-0j -0.19563-0j 0.000296851-0j -0.146722-0j 0.000222639-0j -0.148243-0j 0.000224946-0j 0.249009-0j -0.000377849-0j -0.158478-0j -0.119798-0j 0.000240477-0j -0.0924456-0j -0.0829987-0j 0.000181784-0j 0.000140278-0j 0.000125943-0j 0.271747-0j -0.085588-0j -0.000412353-0j -0.132592-0j 0.000129872-0j -0.122294-0j 0.000201198-0j 0.000185571-0j -0.0504437-0j 0.210494-0j 7.6544e-05-0j -0.0741214-0j -0.000319407-0j 0.212676-0j 0.341629-0j 0.000112473-0j -0.0748895-0j -0.0947286-0j -0.000322717-0j -0.000518394-0j 0.000113638-0j 0.000143742-0j -0.0781471-0j 0.237779-0j 0.000118582-0j -0.0249684-0j 0.368705-0j -0.0432375-0j -0.000360809-0j 0.138704-0j 3.78874e-05-0j 0.244072-0j -0.000559479-0j 6.56092e-05-0j -0.0756656-0j -0.000210472-0j -0.000370358-0j 0.348747-0j 0.000114816-0j -0.0441383-0j 0.0980787-0j -0.000529193-0j 0.143851-0j 6.6976e-05-0j -0.0115145-0j -0.00976838-0j 0.0990951-0j -0.000148826-0j -0.000218281-0j 1.74723e-05-0j -0.0220691-0j 1.48227e-05-0j -0.000150368-0j 0.0447759-0j 3.3488e-05-0j -0.0182061-0j -6.79437e-05-0j 0.00987217-0j 2.76262e-05-0j -0.00822639-0j -1.49802e-05-0j 1.24828e-05-0j -0.00222138-0j 3.37075e-06-0j -0.000334575-0j 5.0769e-07-0j 
-0.00305717-0j -0.00330212-0j -0.00252203-0j -0.00254817-0j 0.00438595-0j -0.00154442-0j -0.00279138-0j -0.00162831-0j 0.00495446-0j -0.00156043-0j 0.0071921-0j -0.00222965-0j 0.00726664-0j -0.000919683-0j 0.00353964-0j -0.000455125-0j 0.00292005-0j -0.000919683-0j 0.000932971-0j -0.000657054-0j -0.000242408-0j -4.62856e-05-0j 0.0395229-0j 0.0423548-0j 0.0320172-0j 0.032349-0j -0.0549009-0j 0.0267875-0j 0.0349409-0j 0.0203822-0j -0.0607641-0j 0.0213969-0j 0.0191379-0j 0.0273456-0j -0.0480382-0j 0.0112795-0j -0.0744892-0j -0.0485361-0j 0.0216186-0j -0.0996413-0j 0.0178344-0j -0.0198148-0j -0.0581241-0j 0.00569819-0j -0.0346758-0j 0.00630542-0j -0.0202276-0j 0.00735633-0j -0.00527686-0j 0.00407098-0j 0.00126935-0j 0.000213751-0j -0.000278729-0j -0.177929-0j -0.000296851-0j -0.189497-0j -0.000222639-0j -0.142123-0j -0.000224946-0j -0.143596-0j 0.000377849-0j 0.241203-0j -0.000240477-0j -0.000181784-0j -0.15351-0j -0.000140278-0j -0.000125943-0j -0.116043-0j -0.0895478-0j -0.080397-0j 0.000412353-0j -0.000129872-0j 0.263229-0j -0.000201198-0j -0.0829051-0j -0.000185571-0j -0.128436-0j -0.118461-0j -7.6544e-05-0j 0.000319407-0j -0.0488625-0j -0.000112473-0j 0.203896-0j 0.000322717-0j 0.000518394-0j -0.071798-0j -0.000113638-0j -0.000143742-0j 0.206009-0j 0.330921-0j -0.072542-0j -0.0917592-0j -0.000118582-0j 0.000360809-0j -0.0756974-0j -3.78874e-05-0j 0.000559479-0j -6.56092e-05-0j 0.230325-0j 0.000210472-0j -0.0241857-0j 0.000370358-0j 0.357148-0j -0.0418821-0j -0.000114816-0j 0.134356-0j 0.236421-0j 0.000529193-0j -0.0732937-0j -6.6976e-05-0j 0.000148826-0j 0.337815-0j 0.000218281-0j -0.0427547-0j -1.74723e-05-0j -1.48227e-05-0j 0.000150368-0j 0.0950043-0j 0.139342-0j -0.0111536-0j -3.3488e-05-0j -0.00946218-0j 0.0959889-0j 6.79437e-05-0j -0.0213773-0j -2.76262e-05-0j 0.0433724-0j 1.49802e-05-0j -0.0176354-0j -1.24828e-05-0j 0.00956271-0j -0.00796852-0j -3.37075e-06-0j -0.00215175-0j -5.0769e-07-0j -0.000324088-0j 
-0.0262098-0j -0.00056032-0j 0.0207927-0j 0.0209812-0j -0.0193393-0j -0.0132407-0j 0.00045549-0j 0.0270907-0j -0.000432387-0j 0.0391075-0j 0.0121291-0j -0.0176545-0j 0.0122391-0j 0.0230297-0j 0.000903041-0j 0.0267146-0j -0.0240283-0j -0.0369914-0j 0.0160481-0j -0.0480976-0j -0.00975523-0j 0.00271488-0j -0.00356446-0j -7.56044e-05-0j 0.00277679-0j 0.00280197-0j -0.00254657-0j -0.00241589-0j 5.99784e-05-0j 0.00356727-0j -5.57858e-05-0j -3.81939e-05-0j 0.00504559-0j -0.00227775-0j 0.00214279-0j 0.00297125-0j -0.000857653-0j 0.00216222-0j 0.000112809-0j 3.49874e-05-0j -0.00300165-0j 0.00448978-0j 0.00208091-0j 0.00200475-0j -0.0045158-0j 7.70607e-05-0j -0.00263537-0j -0.00628935-0j 0.00119477-0j -0.00418693-0j -0.000645278-0j 0.000150787-0j 0.227301-0j -0.00034491-0j 0.00479135-0j -7.27047e-06-0j -0.174596-0j 0.000264935-0j -0.17618-0j 0.000267337-0j 0.158478-0j -0.000240477-0j -0.00373257-0j 0.148243-0j 5.66386e-06-0j -0.221999-0j 0.102706-0j -0.000224946-0j 0.000336864-0j -0.000155847-0j 0.00342311-0j -0.309605-0j -5.19427e-06-0j 0.00324744-0j 0.0004698-0j 0.139766-0j -4.92772e-06-0j -0.000212084-0j -0.182321-0j -0.128828-0j 0.000276656-0j -0.0882028-0j 0.000195486-0j -0.129997-0j 0.0864749-0j 0.00013384-0j -0.0890026-0j -0.00678229-0j 0.000197259-0j -0.000131218-0j 0.000135054-0j 1.02916e-05-0j 0.180465-0j -0.00288034-0j -0.00027384-0j -0.120529-0j 0.00115286-0j -0.261362-0j 4.37067e-06-0j -0.171311-0j 0.000182893-0j -0.180603-0j -1.74937e-06-0j 0.000396595-0j 0.262877-0j 0.00025995-0j 0.00027405-0j 0.0815305-0j -0.000398894-0j 0.153412-0j -0.00603517-0j -0.000123716-0j -0.106354-0j -0.00023279-0j -0.0695506-0j -0.106472-0j 0.357784-0j 9.15786e-06-0j 0.000161383-0j 0.000105537-0j 0.179573-0j 0.000161562-0j -0.000542907-0j 0.106904-0j -0.000272487-0j 0.321444-0j -0.000162218-0j -0.0368276-0j -0.000487764-0j 0.145256-0j 5.58827e-05-0j -0.000220414-0j 0.0180852-0j -2.74427e-05-0j -0.0036442-0j 5.52976e-06-0j 
0.00378305-0j 8.08753e-05-0j -0.00300117-0j -0.00302838-0j 0.00279138-0j 0.00191113-0j -6.57443e-05-0j -0.00391021-0j 6.24096e-05-0j -0.00564469-0j -0.00175068-0j 0.0025482-0j -0.00176656-0j -0.00332405-0j -0.000130343-0j -0.00385592-0j 0.00346819-0j 0.00533924-0j -0.00231635-0j 0.00694229-0j 0.00140805-0j -0.00039186-0j -0.0489071-0j -0.00103735-0j 0.0380998-0j 0.0384453-0j -0.0349409-0j -0.0331479-0j 0.00082295-0j 0.0489458-0j -0.000765425-0j -0.000524051-0j 0.0692294-0j -0.0312525-0j 0.0294007-0j 0.0407679-0j -0.0117677-0j 0.0296674-0j 0.00154783-0j 0.000480054-0j -0.041185-0j 0.0616032-0j 0.0285517-0j 0.0275068-0j -0.0619603-0j 0.00105733-0j -0.0361594-0j -0.0862948-0j 0.0163931-0j -0.057448-0j -0.00885372-0j 0.00206891-0j 0.00034491-0j 0.220176-0j 7.27047e-06-0j 0.00464116-0j -0.000264935-0j -0.169123-0j -0.000267337-0j -0.170657-0j 0.000240477-0j 0.15351-0j -5.66386e-06-0j 0.000224946-0j -0.00361557-0j -0.000336864-0j 0.000155847-0j 0.143596-0j -0.21504-0j 0.0994862-0j 5.19427e-06-0j -0.0004698-0j 0.0033158-0j 4.92772e-06-0j -0.2999-0j 0.000212084-0j 0.00314565-0j 0.135385-0j -0.000276656-0j -0.000195486-0j -0.176606-0j -0.00013384-0j -0.12479-0j -0.000197259-0j 0.000131218-0j -0.085438-0j -0.000135054-0j -1.02916e-05-0j -0.125922-0j 0.0837643-0j -0.0862127-0j -0.00656969-0j 0.00027384-0j -4.37067e-06-0j 0.174808-0j -0.000182893-0j 1.74937e-06-0j -0.000396595-0j -0.00279005-0j -0.00025995-0j -0.116751-0j -0.00027405-0j 0.00111672-0j -0.253169-0j 0.000398894-0j -0.165941-0j -0.174942-0j 0.000123716-0j 0.254637-0j 0.00023279-0j -9.15786e-06-0j 0.0789748-0j -0.000161383-0j 0.148603-0j -0.000105537-0j -0.000161562-0j 0.000542907-0j -0.00584599-0j -0.10302-0j -0.0673704-0j 0.000272487-0j -0.103134-0j 0.346569-0j 0.000162218-0j 0.173944-0j 0.000487764-0j 0.103553-0j -5.58827e-05-0j 0.311368-0j 0.000220414-0j -0.0356732-0j 0.140703-0j 2.74427e-05-0j 0.0175183-0j -5.52976e-06-0j -0.00352997-0j 
0.015289-0j -0.0320475-0j 0.0126128-0j 0.0112601-0j 0.0112812-0j 0.00772373-0j -0.0270907-0j 0.0311227-0j -0.0247303-0j 0.00780377-0j 0.00735747-0j 0.00985259-0j 0.0065684-0j 0.00562776-0j -0.0176682-0j 0.0022761-0j 0.0287054-0j 0.00406399-0j -0.0301455-0j 0.00402067-0j -0.0523541-0j -0.0410988-0j 0.00207927-0j -0.00432419-0j 0.0016844-0j 0.00150375-0j 0.0014855-0j 0.00140927-0j -0.00356727-0j 0.0040982-0j -0.00319067-0j -0.0021845-0j 0.00100683-0j 0.00127117-0j 0.00129981-0j 0.000726085-0j 0.000500298-0j 0.00116041-0j -0.00220714-0j -0.00208091-0j 0.00358593-0j 0.000536145-0j 0.00239062-0j -0.00376583-0j 0.000829037-0j -0.000643749-0j 0.00066969-0j 0.00147912-0j -0.00616611-0j -0.00269044-0j -0.00643077-0j -0.00329029-0j -0.132592-0j 0.000201198-0j 0.274041-0j -0.000415834-0j -0.10591-0j 0.000160709-0j -0.0945512-0j 0.000143473-0j -0.0924456-0j 0.000140278-0j 0.221999-0j -0.0864749-0j -0.000336864-0j -0.255039-0j -0.0599116-0j 0.000131218-0j 0.000387-0j 9.09107e-05-0j 0.195784-0j -0.0617807-0j -0.000297086-0j 0.185737-0j 9.37469e-05-0j -0.0780007-0j -0.000281841-0j 0.000118359-0j -0.0445537-0j -0.0781471-0j 6.76065e-05-0j -0.0535036-0j 0.000118582-0j -0.069766-0j -0.0504437-0j 8.11872e-05-0j -0.0477655-0j 0.132697-0j 0.000105864-0j 7.6544e-05-0j 7.24801e-05-0j -0.000201357-0j -0.215592-0j 0.171311-0j 0.000327143-0j 0.226408-0j 0.0659378-0j -0.0312105-0j -0.00025995-0j -0.196808-0j -0.000343555-0j -0.0360387-0j -0.000100055-0j 4.73592e-05-0j -0.0482605-0j 0.000298639-0j 5.46857e-05-0j -0.0455004-0j 7.32312e-05-0j -0.0389845-0j 0.0706623-0j 6.9043e-05-0j -0.0259897-0j 5.91557e-05-0j 0.358946-0j -0.00705119-0j -0.140606-0j -0.000107224-0j 3.94371e-05-0j -0.00054467-0j -0.014076-0j 1.06996e-05-0j 0.000213358-0j 0.208823-0j 2.13591e-05-0j -0.0160803-0j -0.000316872-0j 0.352943-0j 2.44005e-05-0j 0.256443-0j -0.000535561-0j -0.000389131-0j 0.284699-0j -0.000432006-0j 0.107973-0j -0.00016384-0j 
-0.00220678-0j 0.00462566-0j -0.0018205-0j -0.00162526-0j -0.00162831-0j -0.00111482-0j 0.00391021-0j -0.00449218-0j 0.00356952-0j -0.00112638-0j -0.00106196-0j -0.0014221-0j -0.000948066-0j -0.000812298-0j 0.00255019-0j -0.000328527-0j -0.00414327-0j -0.000586586-0j 0.00435113-0j -0.000580333-0j 0.00755666-0j 0.0059321-0j 0.0285291-0j -0.0593313-0j 0.0231112-0j 0.0206326-0j 0.0203822-0j 0.0193363-0j -0.0489458-0j 0.0562305-0j -0.0437784-0j -0.029973-0j 0.0138145-0j 0.0174414-0j 0.0178344-0j 0.00996245-0j 0.00686448-0j 0.0159217-0j -0.0302837-0j -0.0285517-0j 0.0492017-0j 0.00735633-0j 0.0328011-0j -0.0516701-0j 0.011375-0j -0.00883273-0j 0.00918867-0j 0.0202947-0j -0.0846038-0j -0.0369149-0j -0.0882352-0j -0.0451453-0j -0.000201198-0j -0.128436-0j 0.000415834-0j 0.265451-0j -0.000160709-0j -0.10259-0j -0.000143473-0j -0.0915873-0j -0.000140278-0j -0.0895478-0j 0.000336864-0j -0.000131218-0j 0.21504-0j -0.000387-0j -9.09107e-05-0j -0.0837643-0j -0.247045-0j -0.0580336-0j 0.000297086-0j -9.37469e-05-0j 0.189647-0j 0.000281841-0j -0.0598441-0j -0.000118359-0j 0.179915-0j -0.0755557-0j -6.76065e-05-0j -0.000118582-0j -0.0431571-0j -8.11872e-05-0j -0.0756974-0j -0.000105864-0j -7.6544e-05-0j -0.0518265-0j -7.24801e-05-0j 0.000201357-0j -0.0675791-0j -0.0488625-0j -0.0462682-0j 0.128538-0j -0.000327143-0j 0.00025995-0j -0.208834-0j 0.000343555-0j 0.000100055-0j -4.73592e-05-0j 0.165941-0j -0.000298639-0j 0.219311-0j -5.46857e-05-0j 0.0638709-0j -0.0302321-0j -7.32312e-05-0j -0.190639-0j -0.0349091-0j -6.9043e-05-0j -0.0467477-0j -5.91557e-05-0j 0.000107224-0j -0.0440742-0j -3.94371e-05-0j -0.0377625-0j 0.00054467-0j -1.06996e-05-0j -0.000213358-0j 0.0684473-0j -0.025175-0j 0.347694-0j -2.13591e-05-0j -0.00683016-0j -0.136199-0j 0.000316872-0j -0.0136347-0j -2.44005e-05-0j 0.202278-0j 0.000535561-0j -0.0155762-0j 0.000389131-0j 0.34188-0j 0.248405-0j 0.000432006-0j 0.275774-0j 0.00016384-0j 0.104589-0j 
0.0149676-0j 0.0161669-0j 0.0123476-0j 0.0124756-0j 0.0110441-0j -0.0518441-0j 0.0136663-0j 0.00797203-0j -0.0365314-0j -0.0223708-0j 0.00720279-0j -0.031965-0j 0.00727743-0j -0.0131849-0j 0.008913-0j 0.00222825-0j 0.00735285-0j 0.00450268-0j 0.00234927-0j 0.00321687-0j 0.00118681-0j 0.00022661-0j 0.00203555-0j 0.0021814-0j 0.00164899-0j 0.00166607-0j 0.00145427-0j -0.0040399-0j 0.00179957-0j 0.00104975-0j 0.00160958-0j -0.00755585-0j 0.000985663-0j 0.00140838-0j -0.00372613-0j 0.000580928-0j 0.00048978-0j -0.00376474-0j -0.00326036-0j 0.00104975-0j -0.00268966-0j 0.000524873-0j 0.000612352-0j -0.000859359-0j 0.000918528-0j 0.000324749-0j 0.000535808-0j 0.000378874-0j 0.000139779-0j 0.000209668-0j 6.53755e-05-0j 1.10088e-05-0j 0.00136463-0j 0.000196968-0j 0.00145336-0j 0.000209774-0j 0.00109002-0j 0.00015733-0j 0.00110131-0j 0.000158961-0j 0.000951444-0j 0.000137329-0j 0.00117735-0j -0.00260611-0j 0.000169936-0j 0.000686789-0j 0.000616606-0j -0.000376159-0j 9.91294e-05-0j 8.89995e-05-0j 0.00103833-0j 0.000635843-0j 0.00014987-0j -0.00288443-0j 9.1776e-05-0j 0.000908536-0j -0.000416332-0j 0.000131136-0j 0.000374752-0j 0.000804285-0j 5.40908e-05-0j -0.00377555-0j 0.000116089-0j 0.00081262-0j -0.00152023-0j -0.000544954-0j -0.00381468-0j 0.000703749-0j 0.000117292-0j -0.000219426-0j -0.000550601-0j 0.000101577-0j 0.000580564-0j -0.0026604-0j 8.37971e-05-0j 0.000185493-0j 0.000349696-0j -0.000940594-0j -0.000383996-0j -0.0015519-0j 2.67736e-05-0j 0.000370908-0j 5.04742e-05-0j -0.000135763-0j -0.00164604-0j -0.000223998-0j 5.3536e-05-0j 0.00052998-0j -0.000237585-0j -0.00096019-0j 0.000374752-0j 7.6496e-05-0j 0.000218605-0j -0.000138591-0j -0.000250489-0j 7.25704e-05-0j 0.000378636-0j 5.40908e-05-0j 3.1553e-05-0j -3.6155e-05-0j 0.000163954-0j 1.04746e-05-0j 5.46514e-05-0j 0.000171086-0j 2.36647e-05-0j 0.000135255-0j 2.46941e-05-0j 3.77209e-05-0j 1.95224e-05-0j 6.11148e-05-0j 5.44454e-06-0j 8.82116e-06-0j 1.65029e-05-0j 2.38199e-06-0j 2.4856e-06-0j 3.58765e-07-0j 
-0.00264592-0j -0.00285792-0j -0.00218277-0j -0.00220539-0j -0.00195233-0j 0.00916482-0j -0.00241589-0j -0.00140927-0j 0.0064579-0j 0.00395464-0j -0.00127329-0j 0.00565066-0j -0.00128648-0j 0.00233078-0j -0.00157561-0j -0.000393902-0j -0.00129981-0j -0.000795969-0j -0.000415296-0j -0.000568668-0j -0.0002098-0j -4.00593e-05-0j 0.0169233-0j 0.0181358-0j 0.0137094-0j 0.0138515-0j 0.0120906-0j -0.0335871-0j 0.0149613-0j 0.00872742-0j 0.0133818-0j -0.0628181-0j 0.00819464-0j 0.0117091-0j -0.0309784-0j 0.00482974-0j 0.00407195-0j -0.0312994-0j -0.0271061-0j 0.00872742-0j -0.0223614-0j 0.00436371-0j 0.005091-0j -0.00714458-0j 0.0076365-0j 0.00269991-0j 0.00445462-0j 0.00314989-0j 0.0011621-0j 0.00174315-0j 0.000543522-0j 9.15257e-05-0j 0.0229465-0j 0.00330993-0j 0.0244384-0j 0.00352513-0j 0.0183288-0j 0.00264385-0j 0.0185187-0j 0.00267125-0j 0.0159987-0j 0.00230774-0j 0.0197973-0j -0.043822-0j 0.00285568-0j 0.0115484-0j 0.0103683-0j -0.00632115-0j 0.00166582-0j 0.00149559-0j 0.0174596-0j 0.0106918-0j 0.00251848-0j -0.0485021-0j 0.00154225-0j 0.0152772-0j -0.00699623-0j 0.00220367-0j 0.0063015-0j 0.0135242-0j 0.000908966-0j -0.0634863-0j 0.0019508-0j 0.0136643-0j -0.0255628-0j -0.00915765-0j -0.0641442-0j 0.0118336-0j 0.00197102-0j -0.00368734-0j -0.00925255-0j 0.00170695-0j 0.00976225-0j -0.044735-0j 0.00140816-0j 0.00311909-0j 0.00588018-0j -0.0158162-0j -0.00645284-0j -0.0260954-0j 0.000449915-0j 0.00623687-0j 0.000848192-0j -0.00228142-0j -0.0276784-0j -0.00376416-0j 0.000899643-0j 0.00891167-0j -0.00399249-0j -0.0161457-0j 0.0063015-0j 0.00128547-0j 0.00367588-0j -0.00232895-0j -0.00421201-0j 0.00122028-0j 0.00636681-0j 0.000908966-0j 0.00053023-0j -0.000607565-0j 0.00275691-0j 0.000176021-0j 0.000918386-0j 0.00287683-0j 0.000397673-0j 0.00227433-0j 0.000414971-0j 0.000634281-0j 0.000328063-0j 0.00102765-0j 9.14925e-05-0j 0.000148235-0j 0.000277498-0j 4.0028e-05-0j 4.17956e-05-0j 6.02885e-06-0j 
