0.115222+0.193019j 0.0766969-0.481475j 0.403788-0.169506j -0.402304-0.190437j 0.0114386+0.289689j 0.0524311+0.00733019j 0.0266363-0.0490138j -0.0120352-0.016605j 0.0284266+0.0307641j -0.00319573-0.0424667j 0.0447022-0.00324417j -0.0191618+0.056553j 0.0186893+0.0120327j -0.00094408+0.032845j -0.0183493-0.00489327j 0.0245771-0.00400739j -0.0217779+0.0226593j -0.0559571+0.00301617j 0.0162577+0.0280996j -0.0145573-0.088863j -0.0725087-0.0697976j -0.0163164+0.0237429j 0.00750584-0.0302975j -0.0175465-0.0184707j -0.0138097+0.015613j -0.0137029+0.0147055j -0.00168219+0.00597698j -0.0230964-0.0201193j 0.0159721+0.00335148j 0.0108966+0.00168296j 0.0323442+0.0327944j 0.0152485+0.0284496j 0.00466723+0.0223662j -0.0352519+0.0173208j -0.0052725+0.0130926j -0.00747894-0.00995631j 0.0351809+0.00616407j -0.0179168+0.0178651j 0.0302104-0.00913173j 0.00970456-0.0040649j -0.0216878-0.0234411j -0.00893442+0.00640962j 0.00953984-0.038597j 0.041859+0.00481682j 0.00441613-0.0219701j 0.00625008-0.0236473j 0.0243051+0.0274866j -0.0197684+0.0147773j 0.00204213+0.0180252j 0.0059926+0.0222836j 0.0323702+0.0107545j -0.0213339-0.026528j 0.0369202-0.0215319j 0.0142496+0.0205808j 0.0118542-0.0200751j 0.0305303-0.0197948j -0.0151878+0.0191822j -0.00226712-0.0559608j 0.019575+0.0362397j 0.0144268+0.0102448j -0.0247757-0.0086356j 0.00400172+0.00329703j 0.0138982+0.00512675j 0.00552622+0.00315543j -0.014985-0.00237336j 0.00302423-0.00168235j 0.0128602-0.000732146j 0.0129702-0.0134893j 0.0133395+0.00598321j -0.00491843-0.0083227j 0.0190815+0.0127065j 0.00547088-0.000419296j -0.0023696-0.00190331j -0.00058329-0.000884762j 0.00724428-0.0161092j 0.0379305+0.0194295j -0.0110011+0.00998428j -0.000162534-0.00520777j -0.00250651+0.00221843j 0.00300879-0.0217556j -0.00454661+0.00391222j 0.0263578+0.0355059j 0.0057194+0.00291128j 0.00727338+0.019258j -0.000150545+0.00694985j -0.013232+0.00350316j 0.00588437+0.00146759j 0.0116119+0.00620482j -0.00475883+0.00358535j 0.0212048+0.00772572j -0.00484918-0.0190178j 0.0136154+0.00609356j 
0.0870985+0.0176383j 0.107018+0.0641182j -0.257686+0.0490024j -0.00203351+0.0698378j 0.00937748-0.205414j 0.113048-0.133746j 0.00455605+0.0414308j -0.00393501+0.0160552j 0.0233596+0.00146193j 0.0344877-0.0486476j 0.00663407+0.0327875j -0.0139083+0.0784225j 0.019795+0.0351459j 0.0164223+0.0751346j -0.00421957-0.00271175j 0.0590305+0.0821642j -0.0225415+0.0484687j -0.0420632-0.0188842j -0.0235652-0.0351744j -0.0158252-0.163786j 0.000781623-0.134647j 0.0101506-0.084442j -0.00918761-0.0455254j 0.0365656-0.0119166j 0.0334433+0.0281949j -0.042463+0.0194745j 0.00398252-0.0424319j 0.0425881-0.0181126j -0.0584453-0.0409882j -0.0234112-0.0271343j 0.0618224-0.0187511j 0.0239513+0.0289854j 0.011811-0.0134173j -0.0270132-0.00425538j 0.0185243-0.0588863j -0.0326315+0.00547438j -0.00515518-0.0368971j -0.100166+0.0470833j 0.00544414-0.0461809j -0.0541165-0.00683185j -0.0493707-0.0350405j -0.0453245+0.0233673j 0.0165075+0.0134326j 0.0909106-0.0192464j -0.0168818-0.00271709j 0.105199-0.00566423j 0.0608405+0.0161694j -0.117894-0.0066248j -0.0153108+0.0535464j 0.0144046+0.0230609j 0.110219-0.0783221j -0.0609804+0.00414139j 0.159961-0.0241217j -0.105233+0.0123466j 0.00801813-0.0595904j -0.00577396-0.0213187j 0.0336285+0.105125j -0.0659067-0.0802969j -0.0790915+0.0916824j 0.0133687+0.0247951j -0.0738066-0.0190501j -0.0193441-0.0244242j 0.0393539+0.0130323j -0.0308909-0.0226013j -0.0300883+0.0281875j 0.0178638+0.0181309j 0.00419192-0.000115779j 0.0345316-0.047773j 0.0132564-0.0206209j -0.0117134-0.0278371j 0.0349117-0.0256999j 0.00562333-0.0062663j -0.0384686-0.0302601j 0.0217747-0.0114438j 0.0117274-0.0899026j 0.123995+0.0393899j -0.0779228+0.0663534j 0.0333186+0.00850042j -0.0617778-0.00714214j -0.0488185-0.0323499j 0.00166933+0.0274203j 0.088082+0.0602111j 0.017161+0.0019223j 0.0794781+0.0583215j 0.0146976+0.0341095j -0.0425407+0.0120069j 0.0424782+0.00662189j 0.0463818+0.0226094j -0.0204619+0.0334806j 0.102537+0.0177905j -0.0381757-0.0759515j 0.0743722+0.0174899j 
0.101856-0.0760678j 0.0658042-0.125323j 0.0557191+0.109226j 0.0504736+0.0700917j 0.0517765-0.103774j 0.00365765-0.0474392j 0.0711849-0.0316405j -0.0317335-0.0313934j -0.121248+0.0109129j 0.0545937-0.0700967j 0.0919536-0.0143291j 0.114708+0.00267646j -0.0195062+0.059832j 0.0389488+0.0130201j 0.00800943-0.0053632j -0.0949355-0.111388j 0.191841-0.00608935j -0.00309153+0.142019j 0.00474264+0.107661j 0.025652+0.100802j 0.0262143+0.109495j -0.123992-0.0141509j 0.0535131-0.00883117j 0.0550997+0.0336947j 0.0665252+0.022835j 0.0376525-0.0458757j 0.00128996-0.040516j 0.0877437+0.0305389j -0.0819916-0.046367j -0.0284288-0.019513j 0.0736641-0.0141993j -0.020524-0.0596969j -0.0463981-0.0523038j 0.045324-0.00597817j -0.058611+0.0280341j -0.0556493+0.0297751j -0.0404632-0.0158561j -0.0966529-0.0131338j 0.0223906+0.0173717j -0.091366-0.00371523j 0.0513394+0.00210895j -0.0253314-0.035015j -0.0821213+0.0581477j -0.0685958+0.0627369j -0.0270429-0.0584608j -0.0339503+0.0257037j 0.0831533-0.0110505j 0.0431343-0.0234218j 0.0128008+0.0651577j 0.0683871+0.0451359j 0.063582+0.0125149j 0.0736746-0.0332552j 0.0926493+0.0427212j 0.167478+0.0335229j -0.0590838-0.0290721j 0.0969595+0.00465667j -0.0745723-0.08163j 0.0635892+0.094367j 0.0197809+0.109143j 0.0627524-7.85001e-05j -0.103078-0.0354705j 0.00124327+0.00436686j 0.000411459+0.0262946j -0.001567-0.0297646j -0.0663782-0.014187j 0.0449428+0.0208641j -0.0170613+0.0326429j 0.00987987+0.00466099j 0.0246521+0.00164076j 0.0356278+0.0223086j 0.000551514+0.0175219j -0.0543846+0.0113676j -0.0171468-0.0147899j -0.000971776+0.0567941j 0.039111-0.0157106j -0.000845523+0.0502332j -0.0214739+0.000695746j 0.0308594-0.0250562j 0.114949+0.0234888j 0.0032867-0.0347591j 0.0031722+0.0206979j 0.0673632+0.0207384j 0.00472559+0.0433785j -0.0293411-0.0202842j -0.0326401-0.0110498j -0.0623422-0.022871j -0.0369135+0.00518661j -0.0428291-0.00967096j -0.0115203+0.0239162j 0.097081+0.061079j 0.0623564+0.000509889j 0.0390498+0.0229074j 
-0.127095-0.00416419j -0.128747-0.0819348j 0.0956936+0.114054j 0.0101372+0.0905801j 0.0122131+0.109569j -0.153433-0.0464311j -0.0125306-0.0251408j -0.0274889-0.00147371j 0.00203623+0.111632j -0.0226149+0.00383312j -0.0423522-0.00411066j -0.000670015-0.0661333j 0.0131897-0.0420959j 0.0893181-0.102802j -0.0264712+0.205145j 0.0698853-0.0491755j 0.0409998-0.059159j -0.0200138-0.12501j 0.00268326+0.110163j -0.0881979-0.0360491j -0.0152739-0.024486j -0.0292208+0.0150116j -0.0365987+0.0190174j 0.0389621-0.00964535j 0.110588+0.00691801j -0.01453-0.0271965j 0.0575207+0.0357657j 0.0664796-0.0387256j -0.0757114-0.0142161j 0.00302773-0.008481j 0.0596674-0.00703458j -0.054211-0.029555j 0.00851892+0.0144646j -0.107434+0.0782323j 0.0560037+0.00262783j -0.0228257+0.0495307j -0.0532216-0.0610798j -0.131645+0.0328779j -0.0249851-0.025637j -0.0671987+0.0228077j -0.0962412+0.0254078j -0.0884945-0.00812957j 0.0733786+0.0272168j 0.198874-0.0489645j 0.043804+0.019624j 0.105494+0.0322277j 0.105684-0.00941157j -0.183413-0.0502473j 0.00307743+0.0253586j 0.0929839+0.0394372j 0.100237-0.011113j -0.0587104-0.0604229j 0.126207+0.0597677j -0.0682895+0.10559j 0.0129413-0.0234062j -0.085787+0.00281277j 0.0636063+0.0678685j -0.0811564-0.0417234j -0.0534684-0.0193239j 0.0103843-0.000290041j -0.0318162+0.00428644j -0.0186297-0.0313511j 0.00740148-0.0261947j -0.0100814+0.0105098j -0.020226+0.0122949j -0.0414761+0.00553662j 0.0197305-0.0203091j 0.0195353-0.0345438j -0.0292146+0.0437085j -0.0122498+0.0245324j -0.0075936-0.00937047j 0.00983633-0.0179313j -0.0318987+0.0220133j 0.0118328-0.0113179j 0.00752809+0.028767j 0.0800816-0.0396567j -0.0213036+0.00895284j -0.035143+0.00445138j -0.00261008+0.0177397j -0.0280368+0.0355841j 0.0358048+0.0643345j 0.0424764+0.0339773j -0.00752249-0.0213223j 0.0606622-0.0194676j 0.0254218+0.00450943j 0.0188972-0.0194237j 0.0314224-0.0214391j 0.00617563+0.0139855j 0.0358594+0.0154693j 0.0122497+0.0271101j -0.0473617+0.0496412j 0.00337077-0.014679j 
-0.0411591-0.091981j 0.0254604-0.0570334j -0.0927197+0.0286808j -0.155916+0.0181554j -0.0772837+0.00929603j -0.0671876-0.0641274j -0.0210196-0.0310942j -0.036074+0.00372209j -0.0191277-0.0602199j -0.0414697+0.0969018j -0.167415-0.0223518j 0.0474715+0.01512j 0.00919182-0.046627j 0.149365+0.153211j -0.0603446+0.0452266j 0.00847015-0.0282147j -0.0341867+0.113044j 0.0532763-0.0932032j -0.0662775-0.0327272j 0.0689651+0.113402j -0.0138202+0.0201906j -0.0355651-0.0039443j -0.0355017-0.0359591j -0.121424-0.0107471j 0.0132624+0.0294365j 0.0148082+0.0382803j -0.0387278-0.0343543j 0.0837954-0.0112774j -0.000467481+0.0459963j -0.0672606+0.01827j 0.0478046+0.0185411j -0.0685291-0.0581937j 0.00356625-0.0455625j -0.0964509+0.0505042j -0.0185343+0.0296193j -0.0399229+0.00654073j -0.0601088+0.0207394j -0.0247344-0.0148136j -0.0223696+0.0679656j 0.0953703+0.077581j -0.0377176-0.0226893j -0.0159159-0.0582176j -0.0277603+0.0753616j -0.0964645+0.032809j -0.103458-0.00178859j -0.0752843-0.0176429j 0.0717381-0.0379868j -0.0732552-0.0189071j 0.0347846-0.0131896j 0.0103099-0.00664449j 0.0825198+0.064889j 0.0438675+0.00356393j -0.0487607+0.0147993j -0.0272162-0.0130251j -0.150024-0.016776j 0.0077335+0.00544988j -0.0649887-0.0550739j 0.0878214+0.0155964j 0.0658852+0.0392387j -0.00590936-0.0201324j 0.0122728-0.0128267j 0.00729519-0.0214226j 0.00997311-0.0416287j -0.00027242-0.00598726j 0.01051+0.0174729j -0.0121547-0.0118332j -0.00341356+0.00112745j -0.0250297+0.0256487j -0.00312024-0.0113586j 0.0206243+0.0289365j -0.00432986+0.0150455j -0.0157129+0.0087394j 0.0254068-0.00365741j 0.0204169-0.017304j 0.0187892+0.00655145j -0.0205903-0.0519502j -0.0133258+0.0132992j -0.0254737+0.0190331j 0.000190292-0.0194809j -0.0646432-0.0126287j 0.000639271-0.0156057j 0.00416518-0.0163597j 0.0308682+0.00557737j 0.00303023-0.0072601j 0.00311704+0.00436078j 0.00766372+0.00878645j -0.028443-0.00916044j -0.0267614-0.0154618j 0.0181532+0.0111405j 0.0217643-0.000393683j -0.00793721+0.00363103j 0.00805329-0.00745293j 
0.0230545+0.0989143j 0.0462303+0.134073j 0.0558216-0.164316j 0.092796-0.238976j 0.094893-0.12843j -0.000131098+0.0775824j -0.0434436-0.0280317j 0.0302782-0.0684393j 0.0366429+0.0282093j -0.0481467-0.0458859j -0.065459+0.0570123j -0.0197301-0.0457526j -0.0546483+0.0136624j -0.0674717+0.0574008j -0.0600962+0.132937j -0.21152-0.175517j -0.151838-0.0688984j 0.0883385-0.048096j 0.0364973-0.0150115j 0.110814+0.0882526j 0.0849265+0.0565854j 0.0019213-0.0486283j 0.0713412+0.021067j 0.00475172+0.00423138j 0.00363213-0.00637228j -0.0473398+0.0281316j -0.0174259-0.0314741j 0.0522621+0.000982686j -0.0341279+0.0065486j 0.0415548+0.0057365j 0.0611564+0.0298256j -0.0508212-0.0265262j -0.0232083-0.036064j -0.06489+0.0712806j 0.0292527+0.0515413j -0.0224287+0.0429222j -0.0797669-0.0106178j -0.0534887+0.0199068j -0.0335894-0.0285786j -0.032352+0.108767j -0.0105284-0.0303774j -0.0473182-0.0370214j 0.00608314+0.0460883j 0.110566-0.0563458j 0.0160635+0.0182832j 0.0412948+0.0115195j 0.0540112-0.0335067j -0.125515-0.015207j 0.0356788+0.0658556j 0.0228825-0.0310467j 0.0262339+0.0127433j -0.0545232-0.0612392j 0.11487+0.00817223j -0.00930912+0.00968689j -0.0139636+0.000940767j -0.0411224+0.0680402j -0.0248117-0.0585521j 0.0196195+0.00265131j -0.0686092+0.0201334j 0.00635568+0.0178748j -0.0204822-0.0435252j -0.00741179-0.0267774j 0.017316+0.0125076j 0.0123137-0.00494833j 0.000964277+0.017953j -0.00478335+0.00759937j 0.0170535-0.0372241j 0.0187658-0.025025j 9.83779e-05+0.0124359j 0.0150623+0.0208863j 0.00196655+0.00304263j 0.0424567-0.0147143j -0.00754478-0.00332332j 0.0220251+0.00409579j 0.0289108-0.00728113j 0.0833946-0.0091211j -0.0535847+0.0179816j 0.0190004+0.00161644j -0.0312473-0.0336282j 0.00691649+0.0213353j 0.0269198-0.00265717j 0.0138226+0.0251443j -0.00764301-0.000612554j 0.0306328+0.000112466j 0.0185743-0.00364355j -0.000673837-0.0154171j 0.0357633+0.0151698j 0.0231157+0.0279004j 0.000169135-0.00270713j 0.0152357+0.023193j -0.0254024-0.00445555j 0.0167363+0.0126179j 
0.0918573+0.190222j 0.0615522-0.0066269j 0.0464653+0.156063j 0.0583495+0.156974j 0.0573242+0.083358j 0.0139142+0.0908788j 0.0011604+0.0945662j 0.0300831-0.0149347j -0.0501498-0.190413j 0.0825361-0.0908098j -0.201834+0.082357j 0.0802858-0.0526037j -0.0903479+0.0488447j 0.0245008+0.0694498j 0.0407306+0.0199089j -0.0121748-0.059277j 0.142224-0.0781548j -0.0146576+0.0155792j 0.0299117+0.0105795j 0.0793176+0.00990985j -0.136823+0.0284679j -0.0312731-0.0106813j 0.00677172+0.0190224j -0.078629+0.0282341j -0.0996356-0.043019j -0.0156553+0.0621393j -0.100279-0.0432874j -0.161173+0.0111809j 0.0573695+0.0421888j 0.105933+0.0357106j 0.0549833+0.0569612j -0.0142107+0.0149902j 0.0398078+0.0122393j -0.171319+0.00330465j -0.00367041+0.0836634j 0.0604042+0.0384652j -0.12667-0.0173368j 0.0526618+0.0314779j 0.0474645+0.0138798j 0.0662066+0.0592233j 0.00760732-0.0869539j -0.021552-0.0579118j -0.0152309-0.0360001j 0.103564-0.0277235j 0.0466434+0.0664033j -0.00744154+0.0691292j -0.0293521-0.0128072j -0.0692401-0.012869j 0.0447973-0.0273939j -0.00721527-0.052845j -0.0242775+0.0340257j 0.000247061+0.000238888j -0.0274582+0.0756534j 0.005049+0.0114066j -0.0418244-0.00581802j -0.0141569+0.0548573j -0.0224368-0.0358777j -0.0107879+0.00590268j 0.0149671+0.0162304j -0.0436548+0.0116363j 0.0736631-0.0350998j 0.0357691+0.0406467j 0.00714049+0.00392361j 0.0390338-0.00104906j -0.00316967+0.0171072j -0.00105636-0.0159804j -0.0279729-0.0153814j -0.013989+0.0136328j 0.000650899-0.0110722j 0.00546624-0.00125134j 0.000200952+0.021777j -0.0147826-0.0320521j 0.0126768-0.0260461j -0.00327772+0.0236032j 0.000702101+0.0148518j -0.00845033+0.0193572j 0.010577-0.0232871j -0.0259761+0.00465411j -0.00481557-0.016073j -0.00575424-0.000757902j 0.00414404-0.0230424j -0.0203299+0.00222306j -0.000537047+0.0101575j -0.0254976+0.0125387j -0.00572294-0.0137675j 0.00196363+0.00261874j -0.00242246+0.0143986j 0.0144934-0.0017295j -0.0149276-0.0219811j -0.029063-0.0103109j 0.00948334-0.0210249j -0.013173+0.0154757j 
-0.0982618+0.061667j 0.0452837-0.014174j -0.0768226+0.031374j -0.1741+0.0497244j -0.0391918+0.0340406j -0.0932602-0.0148039j -0.000859987-0.00416293j -0.00881759-0.0964212j -0.060233-0.0551205j 0.0291898+0.117875j -0.0176805-0.0891316j 0.142344-0.135332j -0.0129789-0.0571735j -0.0700323+0.040075j -0.035939+0.073193j -0.178309-0.0575367j 0.0510322+0.139094j 0.0798023+0.0058207j 0.121562-0.0757907j 0.106014+0.0485166j 0.00987167-0.0512512j -0.0435259-0.0224926j 0.0360404-0.0464223j 0.123666-0.0444512j -0.0217671-0.0298618j -0.000115499+0.029311j 0.0402103+0.00900214j -0.0126483+0.0176978j 0.00199558+0.0109683j 0.0872758-0.00871328j -0.00982179-0.0245064j -0.000179598-0.0560728j -0.0265572+0.0370439j 0.0853643+0.00222385j -0.0157491-0.00958577j -0.0596332+0.0208542j 0.0793486+0.0356947j -0.0246322-0.0393105j -0.0167994+0.0311896j -0.0842718+0.124158j 0.0686824+0.00207922j 0.0703488+0.020539j -0.0465013+0.0639636j 0.0236665-0.0112973j 0.0818808+0.0822171j 0.0116674-0.00480106j -0.0642586+0.0340713j 0.0280196+0.0168751j -0.0125862+0.0342423j -0.00782036-0.0560946j -0.0561287+0.00439346j 0.0266078-0.0581797j 0.0311805-0.0360068j 0.0428986+0.00340148j 0.133695+0.011161j -0.0108418+0.0273987j -0.0168882-0.013038j -0.0514117-0.00606122j -0.0596351-0.00100482j 0.00324317-0.00613696j -0.055025+0.0469867j 0.00433617+0.0157505j 0.00472101+0.024588j 0.0324985+0.0122115j -0.0294174-0.00247265j 0.0245205-0.00819737j -0.00242114+0.0168526j 0.00987392-0.0207335j 0.0330871-0.0125722j -0.00233223-0.0156274j 0.032472-0.018387j -0.0133698-0.00391275j 0.00339864+0.014329j -0.0106725+0.000330629j -0.00253253+0.0179627j 0.00787935+0.0514638j -0.00372834-0.0052279j 0.0307885-0.0565489j 0.0411586+0.0124788j 0.0226989-0.012369j -0.0394478+0.0369209j 0.0251983+0.0157841j 0.00280185-0.00208357j -0.0105951-0.00916468j -0.00270173-0.00567838j -0.000739952+0.000347323j 0.0120198+0.00140837j -3.88142e-05+0.000878682j -0.0156585+0.00859069j 0.00270045-0.0055744j 0.00160103+0.0120719j 0.00529229-0.0132404j 
0.0819254-0.328301j -0.0730606-0.0624723j -0.0549927-0.00377841j 0.0239119-0.108057j -0.101247-0.00500868j 0.0558278-0.102962j 0.0237894+0.0473846j -0.0184095-0.0386734j -0.0244067-0.116269j -0.156869-0.114036j 0.0982548+0.0316499j 0.0978965-0.0256363j 0.0489954-0.00749134j 0.0561791+0.0224036j -0.102992+0.0472682j -0.0774236-0.0101656j -0.074014-0.0387235j 0.103761-0.0475582j -0.000291227+0.00289273j -0.0318715-0.017024j 0.0216887-0.017087j -0.113651-0.00917412j -0.0495105-0.0361841j 0.0251323+0.0534959j -0.0320452+0.0661764j -0.00560398+0.0334621j -0.0902746+0.0273476j -0.151903+0.0509604j 0.0571381-0.0137948j 0.114688+0.0126311j 0.0405742+0.0193237j 0.0358594+0.00803849j 0.055498+0.0501308j -0.115687+0.0314635j 0.0132941+0.0739564j 0.109999+0.00474259j -0.0765728-0.0136602j 0.111483+0.00997448j 0.0540803-0.0318013j 0.0291681+0.0643849j -0.0589586-0.0303007j 0.0221894+0.0254644j 0.0217955-0.0655699j 0.188274-0.0796493j 0.099186+0.0475755j 0.068639+0.0568425j -0.105376+0.0201336j -0.0679774+0.00764923j -0.00940845-0.0177566j -0.0135073-0.0646614j -0.088223-0.00699728j -0.000716564+0.0156925j -0.064672-0.00654949j -0.0436333-0.00683204j 0.0217233+0.0144274j -0.0522765-0.0227125j 0.0328815-0.00481116j -0.0809425-0.00170573j -0.00464588-0.0233297j -0.0333123-0.00998395j 0.0509137-0.00256773j 0.0404758+0.0256963j 0.00132131-0.0426301j 0.0410769-0.0235844j 0.0800575-0.00768154j 0.0101695-0.0194221j -0.00510743-0.0354348j -0.0350639+0.00701031j -0.00339446-0.00805822j -0.00378695-0.019889j -0.0241415+0.00305089j 0.0450384-0.0174101j 0.0189559-0.00454058j 0.00116722+0.0163757j -0.0298454+0.0297668j -0.0374308+0.000965766j 0.038268-0.0356596j -0.0306675+0.0182438j 0.00281111+0.0171154j -0.0169604-0.00826683j -0.0211223+0.00376301j -0.0271447-0.0128051j 0.0067009+0.00781709j -0.035136+0.00266698j -0.0269124-0.00352173j 0.00573942+0.0130355j -0.0304393-0.0134502j -0.0311095-0.0314077j -0.00621397-0.00299274j -0.0215528-0.0129661j 0.0326427-0.00283414j -0.0177959+0.000319037j 
0.161461-0.0422448j 0.052435-0.146109j 0.075991+0.0192237j 0.12913+0.0211676j 0.0127426-0.0472797j -0.104036+0.152231j 0.0388779-0.040842j 0.00250943-0.0577706j 0.0412664+0.0139654j -0.133939+0.0722012j -0.143433+0.232148j 0.0339217-0.0731845j -0.0139856-0.0366424j 0.127098+0.0312945j -0.113629+0.0240832j 0.0357977-0.0217172j -0.159137-0.0281124j 0.0809951+0.0100573j 0.00464784-0.100093j 0.0049861+0.00667591j -0.0411826+0.194939j 0.0258067-0.0760985j -0.00973418-0.0104255j 0.0421098-0.038812j 0.015971+0.0328055j -0.0199544+0.0650694j 0.0476028-0.00721877j 0.0964585-0.0523519j -0.0265291-0.0123439j -0.148434-0.00905372j -0.134459-0.00901485j 0.0115648-0.0119893j 0.000123036+0.00908777j 0.168744+0.0176464j 0.0222552-0.0198603j -0.0984188-0.0533772j 0.169601+0.0764045j 0.00702786-0.0605901j -0.0983288+0.000460142j 0.0561382+0.0696871j -0.0228717+0.0291487j 0.087192+0.00797198j 0.12252+0.0342213j -0.131631+0.0370757j -0.0120403+0.0235559j -0.034376-0.0578755j -0.0734879+0.035651j -0.00138321-0.00282908j -0.106074+0.0278252j -0.027195-0.0397416j -0.0399649-0.00634022j 0.00768399-0.0139136j 0.00813283+0.0212044j -0.0780004+0.0541324j 0.0155459-0.0216635j -0.0163377-0.022027j 0.128886-0.0373844j 0.0330149+0.0334549j -0.0599849+0.0151694j 0.00260945+0.0689825j 0.00481171-0.0260017j -0.0471807-0.0116792j -0.0292348-0.00665881j -0.0781387-0.0179762j -0.0173926-0.0025231j -0.0370194+0.0088692j 0.0200117+0.00845123j 0.00825224-0.0130399j 0.00136668+0.010928j -0.00287188-0.0151349j -0.0136175+0.0061014j 0.0100774+0.0227155j -0.043534+0.00463882j -0.0184891-0.0211972j -0.0111924-0.0221809j -0.0216795-0.0204231j 0.0286052+0.0215058j -0.0225246+0.0330285j -0.0156036+0.013083j 0.0294204+0.0142517j 0.00887737-0.0262886j -0.0329808+0.00523559j 0.00545797+0.00818301j 0.0147027-0.00135313j 0.00687608+0.00816306j -0.0123753-0.00769455j -0.0073761-0.0128593j 0.00176936+0.00119597j 0.00225497-0.00177326j 0.0109616+0.0158728j 0.00672528-0.012923j 0.00658852+0.0143564j 
-0.00696505-0.0753335j -0.097897-0.00578715j 0.124742+0.0386771j 0.0993769+0.0232704j -0.0100048+0.0528357j 0.0209653-0.0232253j 0.102243-0.0271578j -0.0106414+0.0477073j -0.0977891+0.0192873j 0.060618-6.20985e-05j 0.0239143+0.0147j 0.0585368-0.0723849j -0.0122982+0.0268276j -0.0349405-0.0762905j -0.0412129-0.0322874j -0.057093-0.189432j 0.0548015-0.0507414j -1.26501e-05+0.0876705j -0.0102926-0.164884j 0.0194161-0.0129346j -0.0102493+0.0845059j -0.0393296-0.0280929j -0.00322387-0.00750785j -0.0198634+0.00608237j -0.0448947+0.0297382j 0.0149959+0.0203616j -0.0462949+0.00238432j 0.0343965+0.0400681j 0.00176241+0.0234554j -0.0358674-0.0236483j 0.000665429+0.00767342j 0.0107538+0.0143788j 0.0183205-0.00988225j -0.00414035-0.0150285j -0.0507151-0.0543877j -0.0630076+0.0459746j 0.00756197-0.00392531j 0.0206091+0.0347226j 0.00899798+0.02846j -0.0316701+0.000793012j 0.0470869-0.0107936j 0.0117011-0.0111307j -0.0828263+0.0547911j -0.0782433-0.00617044j -0.0571317+0.0478303j -0.0755786-0.0521414j 0.0408675-0.039396j 0.0309716+0.00824419j 0.0913195+0.00148053j -0.147391+0.00282301j 0.018927-0.0430133j 0.00231459+0.0701807j 0.030356-0.101263j -0.044657-0.0281548j 0.106444+0.047718j 0.00261634+0.0447464j -0.0696177+0.0116362j 0.0418591-0.0634055j 0.0822298+0.0268522j 0.0567998+0.0503792j -0.0456481-0.00487204j 0.0436195+0.0143418j 0.0405182-0.0131401j -0.0380924+0.0565382j 0.0164721+0.00269064j 0.0499512-0.015219j -0.0182461+0.0149834j 0.0128809-0.0214752j -0.0957518-0.0363553j -0.0538365-0.0393208j -0.0026908-0.0462448j -0.0355806-0.0278555j -0.0137641+0.0220184j 0.0158402-0.0805035j -0.110548-0.0350167j 0.0870099+0.00406225j -0.00816341+0.0972745j 0.048563-0.0698572j -0.0823585+0.0810698j -0.0461267+0.0714855j -0.0317802+0.0519153j -0.0338582+0.0323297j 0.0458449-0.0737194j 0.0774353+0.0085616j 0.0506512+0.0180462j 0.0781752+0.0396799j 0.0557533-0.0341635j 0.0549067-0.020964j 0.0615034+0.0452999j -0.0254456-0.0819219j -0.164181-0.0148408j 0.0142039-0.0616541j 
