0.137302-0.0901711j 0.0259561+0.178813j 0.0374961-0.0103277j 0.020624-0.0958933j 0.0320163+0.0350487j 0.0243808-0.00535751j -0.0949765-0.00768463j 0.000215354-0.0205694j 0.0285926+0.0110282j -0.00328996+0.0284875j -0.0561697+0.00262672j 0.112204-0.048898j -0.0437181-0.00393727j 0.076028-0.00490705j 0.0351822+0.0567045j -0.0276272-0.0120409j -0.209618-0.0130512j 0.0784511+0.0142018j -0.00221429-0.0166439j 0.00938578+0.0238605j 0.101311+0.0624108j 0.0510571-0.00350338j 0.0208607+0.059193j 0.087947-0.031812j 0.0173103+0.00278266j -0.0721777+0.00343026j -0.0148643+0.0912335j -0.0452658+0.00825408j -0.0286209-0.010855j 0.0124557+0.0177728j 0.052439+0.0137182j 0.0744418+0.037042j -0.0349826+0.00616346j -0.0436246-0.0366302j 0.0135486-0.00881241j 0.0361742-0.00434712j 0.03173-0.00716613j -0.0222052-0.0380746j 0.0249112-0.0191334j -0.0241574+0.0256208j -0.0341654+0.00108275j -0.00787259-0.0130987j -0.0453695-0.0188192j -0.0515525-0.0105105j -0.0117107+0.0185103j -0.017771-0.0210525j 0.0058034-0.0057746j -0.0442847+0.00637313j -0.0588428+0.01183j 0.0720651+0.0445855j 0.00671872-0.0307367j -0.0211072-0.00415034j 
-0.298126-0.0430269j 0.0829769-0.221632j -0.0444606-0.0603239j 0.00827669+0.0472566j 0.0201182-0.157723j 0.00302947-0.149422j -0.0143919+0.0147507j -0.000906996+0.0353697j 0.00901592-0.0436941j 0.0120711-0.0275823j 0.0346523-0.0199546j -0.0434058+0.0199419j 0.0151778+0.0182052j 0.0157836+0.029413j -0.00241102+0.0064303j 0.00428703+0.000382388j 0.0659186-0.000636535j -0.0503253-0.00051812j 0.00403311+0.0142411j 0.0214438-0.0338327j -0.0490092+0.0164344j -0.0556887+0.00697405j 0.0131071-0.00528171j -0.0846885+0.00520679j 0.0532199+0.00572896j 0.0216608+0.0539045j 0.0150049-0.106948j 0.00317281-0.00356474j 0.0233382+0.0260448j -0.0237285+0.00289862j -0.0105193+0.00705065j -0.0866084-0.0427539j 0.0254465-0.00682755j 0.033252+0.0142855j 0.00867132+0.0458321j -0.0371758+0.0187319j -0.0251368+0.0253381j 0.0490005+0.0411737j -0.000297926+0.0149606j 0.0246471-0.00733995j -0.0452779-0.00767084j -0.0185904-0.0194056j 0.0257934+0.0452546j -0.00559835-0.0423688j -0.0194395-0.0292627j 0.0167147+0.00588584j 0.0306167+0.00132994j -0.0155475-0.0128259j 0.043234-0.0157636j -0.0419124-0.0012516j 0.0304808+0.0568279j 0.0154819+0.0106892j 
-0.112349-0.340422j 0.131816+0.0524203j 0.0489723-0.0748948j -0.0796293-0.0936846j 0.199012-0.154459j 0.10079-0.100338j -0.131273-0.0178929j 0.00227763-0.00920788j 0.0700719-0.0279003j -0.0333414+0.0163143j -0.0470984-0.019895j 0.142806-0.0406347j -0.0488113-0.0249415j 0.128745+0.0587195j 0.0407538+0.0517695j -0.0220594-0.0478928j -0.248048-0.0154328j 0.0592377+0.033831j -0.0290865-0.00176572j 0.0482003+0.0381089j 0.0727191+0.0799205j 0.042914+0.00955611j 0.0141075+0.0693j 0.0757744-0.0579718j -0.00543064-0.00637543j -0.0309448+0.000697473j 0.0195826+0.0414906j 0.01334+0.00244364j -0.0381499-0.00367854j 0.00522093+0.0147262j 0.0190645+0.031487j 0.0593677-0.0307428j 0.00348718+0.00641289j -0.0206208-0.0173376j -0.00414566+0.00161115j -0.00159077-0.0276573j 0.00969726-0.0134203j -0.0148497+0.0166307j -0.00869475-0.00393517j 0.000955086+0.0157156j -0.0289383-0.0104038j 0.00387016-0.0634599j -0.0104988-0.0268768j 0.0124002-0.0163103j 0.0115394-0.015102j 0.00262053-0.00982466j -0.0155439+0.0310283j -0.0229709-0.00587499j 0.0158421+0.0147271j 0.0263858+0.0239379j -0.0189585+0.0181418j -0.00223053+0.00582388j 
-0.138086+0.333482j -0.16194+0.0597101j -0.107258-0.0646657j 0.0362512-0.117097j -0.168336-0.212564j -0.0826154-0.0488304j -0.0740993+0.0256037j 0.0881865+0.00839312j -0.00352773-0.0495486j -0.0549356-0.0240633j -0.0557785+0.0143823j 0.159719-0.106001j -0.0426563+0.000533632j 0.137665-0.0163688j 0.0749518+0.00654424j -0.00754719-0.0323735j -0.317943+0.0300394j 0.0319692-0.00294658j -0.0369159-0.032956j 0.00883638+0.0824678j 0.150451+0.071842j 0.0782195+0.0167882j 0.0519306+0.0704864j 0.120778-0.0366993j -0.0763224-0.0390229j -0.0149634-0.053034j -0.0389381+0.0138585j 0.0532184+0.0150838j -0.0511646-0.00223054j 0.0346293+0.0676943j 0.0419218-0.00411946j 0.0618845-0.0197697j -0.0406282+0.028778j -0.0384868-0.0150569j 0.00684257-0.00388676j 0.0792622-0.0535205j 0.0419586-0.0196522j -0.0359477+0.00782181j 0.01638-0.0103053j -0.0626617+0.0214252j 0.0331506+0.037997j -0.0157925-0.0223612j -0.0355-0.0460136j 0.0523013-0.00295809j 0.0213732-0.0116596j -0.013453-0.0195283j -0.0511166-0.0120265j 0.00687286+0.0296171j 0.00894978+0.0011814j 0.0245424+0.0137056j -0.0361572+0.0101587j -0.00469835+0.00574797j 
0.237251+0.0152482j -0.0238026+0.212999j -0.0121795+0.0927338j -0.0157925-0.0590941j -0.00455046+0.096383j 0.00686262+0.0116896j -0.0584084+0.0024149j 0.0434173-0.0242307j 0.00598919-0.00342371j -0.0601982+0.00113803j -0.0070646-0.0177878j 0.0461856-0.0250524j -0.00802368+0.000962154j 0.0875085+0.00233436j 0.00506116+0.0211357j -0.00361755-0.0114977j -0.123087-0.0163726j 0.0523099+0.0225476j -0.00617405-0.00445188j 0.0279405+0.028527j 0.0583118+0.061044j -0.00226593+0.040512j 0.00656349+0.00673162j 0.0386627+0.0215646j 0.00338281+0.0433488j -0.030347+0.0127469j 0.000641476-0.0486915j -0.0211173-0.0552891j -2.33364e-05+0.0130858j 0.00741923+0.0139903j 0.00641658+0.0369337j -0.0431868+0.0359216j 0.0198665-0.018887j 0.00809702-0.00491041j 0.0175195+0.033867j -0.0157911-0.0031543j -0.0142593+0.038277j 0.050782+0.0150666j 0.0307434+0.0234159j -0.0161194+0.00578779j -0.0232946-0.0165718j -0.00688826-0.0205033j -0.0304958-0.0486569j -0.0169008-0.0484151j -0.0367532-0.0294353j 0.0181531-0.000318348j 0.011773+0.00849725j -0.00902669-0.0091015j 0.0461432-0.0817063j -0.000786973+0.0667572j 0.0483479+0.0447242j 0.0150047-0.0120607j 
-0.028007-0.0666079j 0.047798+0.00259034j 0.0613801-0.0633158j 0.0630298+0.0285523j 0.0291695-0.0784721j 0.0383987+0.159168j 0.0142771-0.0232635j 0.00387371-0.0206653j 0.00733042+0.00713463j -0.0324575+0.0114319j -0.0169595+0.00522268j 0.0098882-0.0286182j 0.0326345-0.0287064j 0.00997873+0.0453906j -0.0171645-0.0546955j 0.0239993-0.023591j -0.0014225+0.0526j 0.0104362+0.0131546j -0.0306516-0.0189794j -0.0224349+0.099807j -0.00611978-0.0608363j 0.0533568-0.0326419j -0.0804171-0.0406455j 0.0874569-0.00251355j -0.142924+0.0167149j 0.0277522-0.0709121j 0.0505114+0.0176292j 0.0717412-0.00264742j -0.0348033-0.0171313j -0.0389582+0.00174377j -0.0381985+0.0143736j 0.0974373-0.0785059j 0.0161601+0.0243681j 0.0268337+0.022747j -0.0537294-0.0456539j 0.0201577-0.0523393j -0.0623194-0.0531016j -0.0271907+0.0738895j -0.0491029+0.0218587j -0.0146039-0.0155358j 0.0521585-0.0194068j 0.0404298-0.0472944j 0.0449675-0.0547706j 0.090779+0.0684344j 0.0740413-0.0361428j 0.0190469-0.00350815j -0.0246604+0.0253842j 0.0347964-0.0156406j 0.102654+0.0616671j -0.0120909-0.0392437j -0.0772012+0.0256473j 0.0100565+0.0224146j 
0.0168916-0.00333733j -0.00759993+0.00521224j 0.00496087-0.0624906j 0.0266935-0.015136j 0.0414794-0.0439403j 0.00327487+0.0190991j -0.0415264+0.0401191j 0.0691215-0.0212436j -0.0356117-0.0242254j -0.0675288-0.018672j 0.00939406+0.0506599j 0.0616812-0.0507822j -0.0412822+0.0105371j 0.0920004+0.0165137j -0.0632848-0.0123508j 0.00274178-0.0120371j -0.063766-0.027138j -0.0977558-0.00815695j -0.0414131-0.0262167j 0.0197051+0.0387229j -0.000855414-0.0135351j -0.030107+0.00499535j 0.0646004-0.00746857j -0.0204727+0.0515414j 0.0811214-0.0209833j -0.00696692+0.0108713j -0.133393-0.131113j -0.040685+0.0419518j 0.100024-0.0229939j 0.0164044+0.0215005j -0.0164806-0.00237457j -0.0867434-0.0220098j 0.0880832-0.00570467j 0.0998821+0.0109642j 0.000182346-0.014612j -0.0992495+0.0433195j -0.00543571+0.00958503j 0.0509819+0.0711591j -0.0178186-0.00514002j 0.0218798+0.0125066j -0.0731633-0.027123j -0.028573+0.0149691j 0.0267658+0.0988656j -0.0398159-0.00729008j -0.0608274+0.0188959j 0.0206298-0.038004j 0.00553293-0.0262952j -0.092002-0.0139123j -0.0988004+0.0347191j -0.0412343+0.0073152j 0.1083-0.00381793j -0.0129177+0.00199058j 
0.0016111-0.00383924j 0.013968+0.00181318j -0.0627288-0.00230597j 0.0141218-0.0147441j 0.0694107+0.00419597j 0.0256898+0.00494188j -0.0654574+0.00106732j -0.0315835-0.0159548j -0.0364586+0.00390159j -0.0392534-0.0189866j -0.00810653-0.0207887j -0.0182759-0.0430108j 0.0488718+0.0185104j 0.0264485+0.0301671j 0.0429694-0.0422788j 0.000125079-0.00833015j -0.105404+3.49056e-05j 0.0661143+0.0298029j -0.0220621+0.0659656j 0.0121593+0.0526945j -0.114053-0.0205819j 0.00761252+0.0742843j 0.0137601+0.00687719j -0.0135833+0.0441326j 0.00762785+0.017261j 0.00617676+0.0432912j -0.0791087-0.153392j -0.00289996+0.0147671j -0.0576658+0.0177652j 0.02547-0.00851522j -0.0554728+0.0531778j 0.0365334+0.0162874j 0.034944-0.0851806j -0.109899+0.0844418j 0.0137694+0.116747j -0.0874158-0.0203718j 0.00849036+0.0215661j 0.0877269+0.00506133j 0.0318164+0.00416436j 0.135257+0.0521922j -0.101646-0.0107884j -0.0506875+0.0134398j 0.242687+0.132292j -0.135182-0.1101j -0.0220181+0.00111713j -0.00690148+0.0331569j 0.0732408-0.0290372j -0.0527011-0.0224254j 0.0179299+0.0266812j 0.0487087-0.026778j -0.0199022-0.021233j -0.0137382-0.0053146j 
0.0158579+0.0223351j 0.0422197-0.0308994j -0.0241155+0.00716426j -0.0132892+0.0398437j 0.0799131-0.00502739j -0.0328501+0.0471264j 0.0372567-0.0277171j -0.013812-0.0521727j -0.098231+0.0350563j 0.00683064+0.0586881j 0.0151657-0.018399j -0.0121749+0.0514645j 0.0720519+0.0283544j -0.0964732+0.0813019j 0.0106319-0.0362856j 0.0230332-0.02245j -0.00313642+0.0995104j -0.0562895+0.0146622j -0.0965989+0.11846j 0.0376928+0.0944343j 0.0109305+0.00325241j 0.0203285+0.0958198j 0.0100389-0.0062667j 0.105746-0.0237988j 0.00289524+0.0210272j 0.038273-0.0304692j -0.104682-0.159244j -0.0296072-0.0367062j 0.0901654+0.023953j -0.0184092-0.00962111j -0.00774439+0.00786638j 0.066372-0.0649342j 0.0882325-0.0315774j -0.071297+0.0326324j 0.0160251+0.0422979j 0.0789177-0.0241695j 0.0412633+0.0870377j 0.0314482+0.0877313j -0.0141078+0.0600123j 0.0228948+0.0133734j 0.0279155+0.0287128j -0.00563718-0.000115435j 0.117743+0.0131349j 0.075594-0.063311j 0.0235093-0.0335692j -0.0223496+0.0130896j -0.0172959+0.00600392j 0.0169203+0.0754535j 0.0252539-0.0512456j 0.0326805+0.0505148j -0.04432+0.0426616j -0.00857262+0.00287125j 
-0.0256363+0.0081535j 0.0356519+0.00977758j -0.0171507+0.18422j -0.0580875-0.0206559j -0.0435236-0.0317579j 0.00401307-0.110639j -0.0533175-0.0610543j -0.0341152+0.139568j -0.0154933-0.00493267j 0.111975-0.0284565j -0.0449752-0.105011j -0.0822363-0.0204132j -0.0753758-0.0490184j 0.0020091-0.0787366j 0.129777+0.158935j -0.0288177+0.0411062j 0.104816-0.0687034j 0.0454837-0.00987165j 0.103662-0.0627603j 0.0124527-0.0708534j 0.026943-0.135057j 0.0585965-0.0350595j 0.101321+0.0365954j 0.132634+0.0431615j -0.193706-0.0294722j -0.063328-0.0910718j 0.0346145+0.085658j -0.0506976-0.0534j 0.0308202-0.0243807j -0.00514058-0.015086j -0.0221688+0.00204677j 0.1366+0.0827496j -0.00280936-0.00587177j 0.0562575+0.0038959j -0.0560231-0.0168447j -0.0873325-0.0143034j -0.000282588+0.0277114j -0.0621179-0.0243538j -0.00926053-0.0650144j 0.0764366+0.0200509j 0.033891-0.0213894j -0.0121947-0.0337972j 0.0533235-0.0255034j 0.0276879+0.0558677j 0.0550687+0.0298466j 0.00374305+0.0225479j -0.00662369-0.0388398j 0.0221767-0.00846658j 0.0672486-0.0172755j 0.00566669+0.00571463j -0.019223-0.0357078j 0.0171405-0.0123746j 
0.0248397-0.00551991j -0.02274-0.00783242j 0.0318077-0.143942j 0.103255+0.0307831j 0.0217437-0.0843639j 0.059018+0.356979j -0.00781197+0.0117609j 0.104441-0.0208157j -0.0673649-0.0504659j -0.118733-0.00536378j 0.0946092-0.0644327j 0.0722752-0.0405811j -0.00843433-0.0450741j 0.100807-0.00368303j 0.040747-0.0605846j 0.0347515-0.0383j 0.038818+0.0840107j -0.122932-0.0511474j 0.103761-0.0359029j 0.0146749+0.0985354j -0.113547-0.157269j 0.0347525+0.00648583j -0.0262303+0.017367j 0.205591+0.0634592j -0.0677528-0.0179557j 0.0336034-0.0474893j -0.128304-0.126121j 0.00168416+0.016223j -0.0230344+0.0148635j -0.00953149+0.0168876j -0.0332805-0.0152198j 0.052609+0.0318262j 0.0147159-0.000930358j 0.0886416+0.0686342j -0.0377109+0.044003j -0.152183-0.0884776j 0.00583957-0.015395j -0.0242662+0.0374064j 0.0360695-0.0114362j 0.0176676+0.061997j -0.0231093-0.0348821j -0.0313407-0.0196273j 0.0634705+0.0444095j -0.0260781+0.0142694j 0.0138492+0.00906412j 0.0238331+0.0277012j -0.0134886-0.0378091j -0.0175519-0.055492j 0.0322579+0.0360957j -0.0168981-0.000557912j -0.00237174-0.00478569j 0.00773969+0.00328631j 
