-0.17795-0.0128158j -0.2107-0.0281821j -0.117687+0.124644j 0.223497+0.0131143j 0.0701459+0.106811j -0.104034-0.10557j -0.157416-0.21042j 0.153354-0.0667197j -0.0732155+0.393076j -0.255428+0.0699056j 0.00684034+0.0708461j 0.171619+0.0178979j 0.0563272-0.000514881j -0.00550343-0.036059j 0.00866505+0.0707158j 0.0334182-0.00410166j -0.00973484+0.0270162j 0.0102393+0.0666878j 0.0414361+0.00710312j 0.0221853+0.00689952j -0.063361-0.00520896j 0.034175+0.0470164j 0.0187461-0.00682954j -0.00907666+0.0626429j -0.00494468-0.0293525j 0.00783581+0.06124j 0.0071185+0.0124293j -0.0272514+0.0261816j -0.0337369-0.0480265j 0.0216977-0.0215286j 0.00481451+0.0567535j 0.00730789-0.0638497j -0.098493+0.0754672j 0.144902-0.0102112j 0.0281083-0.0203566j -0.0248263+0.0147626j 0.0287211-0.0470626j 0.016875+0.033317j 0.0148773-0.00464282j -0.00582042+0.0627184j -0.0145452-0.00237899j 0.0371316+0.0451112j -0.0155311-0.0161982j 0.0368681+0.00404459j -0.0441812-0.0141444j -0.0154053-0.00461497j 0.00615083-0.00698413j 0.0554987+0.03012j -0.0193085-0.00521847j 0.0329151-0.0475965j -0.0152936-0.0650496j 0.0112605-0.030563j 0.0544252+0.0295411j 0.000192388+0.0171799j 0.0406125+0.0349568j -0.00370493-0.0397327j 0.0289438-0.0521752j 0.0852394-0.0895587j 0.011682+0.0139232j 0.0515511-0.0297533j -0.0122032-0.0115514j 0.00351359+0.0179086j -0.00248925+0.0531059j 0.0192204-0.0402351j -0.010073-0.00681239j 0.0256253+0.0073673j -0.00478396+0.0692341j -0.0684241+0.0425139j 0.00839809-0.0380825j 
0.0100347+0.0265311j 0.221298+0.0274756j 0.0583502-0.0966928j -0.161027-0.149511j 0.0921785-0.079858j -0.0959883+0.264102j 0.011333-0.0962233j 0.251634-0.0538473j 0.00795656-0.0230607j -0.201442-0.0309585j -0.03085-0.0222159j -0.0738731+0.110786j 0.04006-0.0255988j 0.0318362-0.0353515j 0.0714192+0.0514826j -0.00240602-0.150447j -0.0183654+0.0325255j -0.0386321+0.0504814j -0.00299348-0.11536j 0.0699318+0.0348106j -0.0397298-0.018266j 0.0749861+0.224446j -0.0625391-0.159473j -0.109223+0.209248j -0.0489184-0.155687j 0.0601235+0.174685j -0.0285099+0.00437818j -0.0126187+0.0740687j -0.00872633+0.0715972j 0.0515953-0.13514j 0.00653878+0.0561004j -0.000468762+0.00764835j -0.135498+0.13253j -0.10751+0.0241648j 0.0120221+0.0205998j 0.0227031-0.0546137j -0.00659298+0.0332666j -0.0453463-0.00745531j 0.0162103+0.0120224j 0.0347622-0.010456j -0.0167614+0.0282592j -0.0243253-0.0602414j -0.0292766+0.0535699j -0.00704016+0.0385275j -0.0376228-0.0181074j 0.0137815+0.00704265j -0.0325452-0.0543947j -0.0173883+0.0175107j 0.0300022+0.0141969j -0.0487763+0.00430155j -0.0494805-0.0066299j 0.0197498+0.0505417j -0.00439455-0.0172577j -0.0477606-0.00182066j -0.0462147+0.0669675j 0.022544-0.0100479j -0.0386794-0.0281598j -0.00743321+0.0254827j 0.0439835-0.0395562j 0.0115642-0.046566j -0.0157445+0.0268011j 0.00969655+0.0114274j 0.0175914-0.0366154j -0.00374802-0.0270193j 0.011285+0.0285249j -0.0131028-0.00418451j 0.0291234-0.0655377j 0.0215645+0.026282j -0.0143434+0.0219649j 
-0.821829-0.0153728j 0.284823-0.0450864j 0.00159528-0.0263192j -0.0984815-0.0536472j 0.0419788-0.000262181j -0.0559075+0.0803723j 0.062492-0.0338806j -0.0392054+0.005109j 0.0149868-0.0226618j -0.024335+0.0527824j -0.0611835+0.0345244j -0.0566943-0.0281315j 0.0142106+0.00724043j 0.0185167+0.0137456j -0.00186361-0.0374638j 0.0128405+0.0342108j -0.0128309+0.018509j -0.0277698-0.0136863j -0.000427169+0.0326047j 0.045772-0.036369j -0.00140845+0.00849774j -0.0183039-0.0846192j 0.0225505+0.0488055j 0.0125796-0.070678j -0.0502056+0.0636989j -0.010805-0.0319974j -0.012135-0.0350383j -0.0115999-0.00845997j 0.00491669-0.00721914j -0.0366808+0.0748131j 0.0122375-0.0301811j -0.0166019+0.00888364j -0.00435302-0.0652403j 0.00352806-0.0243872j 0.022543-0.0231448j 0.0162251+0.010802j -0.0175054-0.00241259j 0.0128283-0.0137816j -0.0076996+0.00355816j 8.69637e-05-0.0101872j 0.013508-0.0180946j -0.0103217+0.0222019j -0.00286218-3.41195e-05j -0.00402385-0.0122823j 0.00888961+0.0122081j 0.00243038+0.00747704j -0.0101226+0.0330967j -0.00912161+0.00366263j -0.00269115-9.425e-05j 0.00709927+0.00160133j 0.0214555+0.00258614j 0.00204883-0.00539962j -0.0111729+0.00438262j 0.0248603-0.00691878j 0.00805556-0.0237063j -0.00021011+0.0146843j 0.0139706+0.0116867j 0.00142597-0.00138276j -0.00366157+0.0071214j -0.00605112+0.00811036j 0.00105991+0.00129325j -0.00359904-0.00216797j 0.00264053-0.00526827j -0.00195865+0.00591677j -0.000664981-0.00649295j -0.00188769+0.000228676j 0.00180186-0.00451598j 0.00841411-0.00376716j -0.00281085+0.00336693j 
-0.249752+0.00932306j -0.141884+0.0264917j 0.273496+0.150611j 0.0260302+0.159082j -0.305524+0.00245327j 0.0999532-0.274312j 0.15566+0.268017j -0.135609+0.055471j -0.0164708-0.144463j 0.0412732+0.0821017j 0.196169+0.0175775j 0.0867495+0.0266511j -0.0519127-0.0258804j -0.00627499-0.0641123j 0.00917037+0.08883j -0.0205858-0.0069809j -0.0374704-0.0144592j -0.0297926+0.029759j 0.0184588-0.111667j 0.0174455-0.0361113j -0.0276783+0.0732208j 0.0426698+0.172517j -0.0573198-0.158582j -0.110435+0.168586j -0.00616689-0.114503j -0.00484601+0.0997282j -0.0800471+0.0408955j 0.00146389+0.029028j -0.0121404-0.0196454j 0.0395968-0.108211j -0.0199201+0.0430063j 0.0178357-0.00322262j 0.0451542+0.0663207j 0.0176655+0.00523881j 0.0206087+0.0695337j -0.0578629-0.00875003j 0.0255382+0.00645587j -0.019435+0.0442072j 0.037795-0.0168308j 0.00812493+0.0238114j -0.00906481+0.00610848j 0.0147697-0.0255947j -0.00387395+0.0186452j 0.0128833+0.0270551j -0.0397654+0.00759162j 0.0248855+0.00343877j -0.0297422-0.0483346j 0.00631992+0.000161781j 0.0272617-0.0197983j -0.000754061-0.0112928j -0.0425411-0.000465756j 0.0174191+0.0148092j 0.0134175+0.00497045j -0.0604261-0.00536157j -0.00818359+0.0238788j 0.00628697-0.0378942j -0.0281248-0.00383308j 0.00633438+0.0131858j -0.00178482-0.0128338j 0.00529581-0.0159271j -0.00425594-0.00135209j 0.00760064-0.00141449j -0.0086727+0.00967868j 0.00589862-0.00705985j 0.00359931+0.00498278j -0.000561402-0.00494935j -0.00942272+0.00237729j -0.0131468+0.00364954j 0.00756884-0.00231636j 
0.0804264+0.0187804j 0.109748+0.0436946j 0.0643683-0.138391j -0.0817222-0.0636144j 0.00593395-0.0588262j 0.0390913-0.0247326j 0.0616794+0.193573j -0.17796+0.0291476j 0.0043375-0.0888815j 0.080971-0.0501531j 0.1056+0.00475525j 0.0161275+0.0187805j -0.0176071+0.0168491j 0.0116413-0.00106154j -0.027+0.0261816j -0.042211-0.00491247j 0.0499818+0.0408238j 0.00876245-0.027815j 0.0301166-0.00495295j -0.0198132-0.0393009j 0.00700553-0.0468414j -0.00347141-0.0837798j 0.0669036+0.123217j 0.0548208-0.101813j -0.0202538+0.0102202j -0.0206791-0.00926646j 0.0352659-0.00657482j -0.02356+0.0377801j -0.0509498-0.0342568j 0.0457003-0.081658j 0.0689658-0.0377443j 0.0930382-0.0402201j -0.143742-0.0560088j 0.0637007-0.0126572j 0.0816473-0.0907649j -0.0502097+0.0165582j -0.00478703-0.0392566j 0.0433879-0.0135702j -0.0590184+0.019081j 0.0265829+0.0829208j 0.0156419+0.00325856j -0.00315711-0.00546134j -0.0532044-0.00188523j -0.0124762+0.00270718j -0.0231107+0.0553373j -0.00807699+0.0282964j 0.0129731-0.0716477j 0.0653436+0.0110767j -0.0915784+0.0528134j -0.0137619-0.0633532j -0.0168604-0.076007j 0.0121863-0.0113307j 0.0474293+0.011612j 0.105807+0.0840207j 0.0173439+0.120575j -0.00520704-0.0376523j -0.0453014-0.0913775j 0.0333614-0.00558438j 0.0799069-0.0440595j 0.0514724-0.122099j -0.0342183+0.0487244j 0.0103484+0.0382503j 0.0695747-0.0125039j -0.00931534-0.106161j -0.0170374+0.0215275j 0.0254399-0.00686412j 0.10801-0.0465878j -0.0393943+0.155442j -0.0447502-0.0159596j 
0.106075-0.0481697j 0.156397-0.00741852j 0.00394275-0.157143j -0.172835-0.0710764j -0.0150388-0.0542884j -0.0632259+0.0737002j 0.0756739-0.0295713j -0.0561375-0.00609848j 0.00253857-0.14259j -0.0505748-0.0454526j 0.0237322+0.0150445j -0.128401+0.0427493j 0.0128579-0.0647613j 0.0243939+0.00184353j -0.00316417-0.0304551j 0.0255624+0.000610736j -0.0292331+0.0117581j 0.0141468+0.0533278j 0.0400973-0.0379308j 0.0349623+0.0117243j -0.00701227+0.0100721j 0.026782-0.0080167j -0.0148204-0.150875j -0.0561443+0.104154j 0.0273723+0.0379886j -0.0443278-0.0107063j 0.0438264+0.0355453j -0.0347323-0.0636155j -0.0292917-0.129612j 0.0517689+0.0349661j 0.0334332+0.0467975j -0.0568469-0.0442158j 0.117718-0.0328177j 0.117431+0.0289814j 0.0272121+0.0288809j 0.0357507-0.0278448j -0.0130353-0.00685575j -0.0128751+0.0247041j -0.0211651-0.00792684j -0.0276473-0.00732791j -0.0032138-0.0442592j 0.0441043-0.00279923j -0.0496846-0.0292312j -0.00517692-0.0756648j -0.0133146-0.0551438j -0.0110778-0.040262j -0.0303666+0.123716j 0.00125487+0.00550627j -0.0203427-0.0632311j 0.0794152-0.0435196j 0.0218897+0.00944415j 0.0181416-0.0761777j 0.0403838+0.106099j -0.0696189+0.0142651j -0.0209009-0.040231j -0.002224-0.0156018j 0.129203-0.0600874j -0.0395945-0.0850489j -0.054499+0.0514506j 0.0323393+0.0288946j -0.0579006-0.0397839j -0.0365587-0.0370498j -0.0125966+0.10016j 0.0389855+0.0467816j -0.0395821-0.0511842j 0.0320351+0.062271j 0.0261437+0.134622j -0.0861709-0.0258129j 0.00217716-0.0671733j 
-0.00969934+0.0167837j 0.0320737+0.0356902j -0.0525435+0.00675744j 0.013918+0.0306719j -0.00306246+0.0500863j -0.0348453+0.0692056j 0.00069979-0.0638971j -0.0397232+0.00776994j 0.036126-0.130311j -0.0733839+0.0858349j -0.00618325+0.00247607j -0.0179445-0.0690237j 0.018696-0.0190697j 0.0406742+0.0200153j -0.0169915-0.0327101j 0.0059374+0.0889351j 0.00181085-0.0738688j -0.0788678+0.0547289j -0.0454274+0.0890029j -0.033014+0.0515651j -0.0509605+0.0122361j -0.0401612+0.00720724j -0.0914175+0.0929076j -0.00112421+0.00375301j 0.0860709-0.0362918j 0.0347345-0.0203938j -0.0561413+0.0840587j -0.112807+0.0493768j 0.0171891-0.0404501j 0.0799859-0.0448941j 0.0543288-0.0476033j -0.0754559+0.0792065j -0.104371+0.11527j 0.0934962+0.00946182j 0.0404136-0.0383344j 0.00209007+0.0950385j 0.0373872+0.0654491j 0.0263221+0.0233949j -0.0407604-0.0765222j -0.0122998-0.0194342j -0.0125861-0.022307j 0.0404053+0.052161j -0.0162087-0.0266578j 0.0340891+0.060794j -0.0045107-0.0146195j 0.0252924-0.0265123j -0.0389451-0.0108498j 0.11097-0.0403868j -0.0574499+0.167592j -0.0378715-0.0316044j -0.0237244-0.0757525j 0.0385468+0.107742j -0.0156747-0.0257651j 0.0769731-0.00966946j 0.00455802+0.20112j 0.0367843-0.0537532j -0.103036+0.214148j 0.068877-0.0792166j 0.0730744-0.112612j 0.037775-0.0710277j -0.0336259+0.00291073j 0.0261032+0.0274287j -0.0253705-0.0406086j 0.0235832-0.0603291j 0.0346624+0.0186255j -0.0201034+0.0448494j -0.0121984-0.0554224j -0.0046781-0.0234171j 0.0128079+0.0200712j 
0.0155396+0.0381092j -0.10344-0.0131186j -0.118936+0.0519665j -0.0957174-0.0139375j 0.0124371-0.0387718j 0.036708+0.0939807j 0.192765-0.00210237j 0.0366401+0.0060922j 0.168611+0.054391j -0.00472738-0.0883187j 0.000954485+0.0164595j 0.0837559-0.0147085j 0.0286508-0.000788729j 0.0494454+0.0886774j 0.0572374+0.0442649j -0.044605-0.0311713j 0.0216979-0.0127616j 0.0195624-0.0475289j -0.0353143+0.0363353j 0.0455492-0.0429233j -0.0915473+0.0129556j -0.0386696-0.0241251j 0.00743309-0.141442j 0.0118105-0.00263116j -0.0255599+0.120001j -0.0601637+0.135236j 0.0485584-0.032995j 0.0468621-0.0687752j 0.078734+0.0507012j -0.0506163+0.0698999j -0.0477511+0.0241377j -0.0507732-0.0892625j 0.039508+0.0856991j 0.0615831-0.0623033j -0.0120404+0.0165608j -0.0351988+0.0726556j 0.00598544-0.0453749j -0.0237139+0.0596748j 0.0531877+0.00119982j 0.00525951+0.13409j 0.0725442-0.133206j 0.030319+0.0624231j 0.0104496+0.0263587j -0.0249114+0.0502161j 0.0417369+0.125407j 0.0571172-0.040887j 0.021577+0.0101899j -0.0364999+0.0226656j 0.0142275-0.110414j 0.0265602-0.0417343j -0.0309421-0.202366j 0.0357887-0.106395j -0.0223995+0.0976249j 0.0783906-0.0512456j 0.0273581-0.0267549j 0.112849-0.0708566j -0.0690852-0.0946815j 0.0635135-0.0778384j -0.00820601-0.021197j -0.0228658-0.0962078j 0.0467818+0.0144347j 0.0134356+0.00266051j -0.0348353-0.00693367j 0.0204246-0.0163927j 0.0334872-0.0408384j 0.030563-0.083113j -0.058089+0.0224037j 0.029221+0.0908974j 0.0106049-0.00276118j 
-0.0165072-0.0376525j 0.0270245+0.0436784j -0.00559761-0.0117727j 0.0422414-0.0110508j 0.0172069-0.0431455j -0.030343-0.0196033j -0.0360835-0.147729j -0.0175936+0.0873414j -0.0794272-0.105546j 0.017243+0.0716312j -0.0400343+0.0346198j -0.0577416-0.0174269j 0.00389692-0.0586288j -0.0317175-0.033434j -0.00385942+0.0820645j -0.0577598-0.0367656j 0.0267018+0.0885615j 0.0596459-0.0230011j -0.0343091-0.0460531j -0.187521-0.162362j -0.0288025+0.0140264j -0.0150555+0.00892771j -0.0726783+0.0232447j 0.0240834-0.0675973j 0.0766833-0.00150739j 0.011438+0.0501175j 0.0524608-0.139077j -0.0152317-0.102944j 0.164906-0.0292165j 0.054452+0.0422056j -0.0827061+0.0189836j 0.12577-0.0636736j 0.190372-0.115479j 0.0583036-0.186988j -0.0314251-0.0309007j 0.0440044+0.0401954j 0.0115056-0.0688016j 0.00838304+0.00129829j -0.0343511-0.0186382j 0.0225894+0.0738381j 0.0378052-0.0535448j -0.0464479-0.0626824j -0.00531837+0.0230267j 0.13091+0.014841j 0.00833612+0.0283749j -0.181704-0.0199324j -0.125938-0.0698068j -0.112414+0.0705605j -0.0634832+0.022308j 0.140337-0.0118588j -0.0359406-0.0833253j -0.0139616-0.030956j -0.0155391-0.00404865j -0.0902772-0.0152477j 0.0214853+0.0589362j -0.0745929-0.0707481j 0.062554-0.0228733j 0.098344+0.0467843j 0.0295779-0.0268469j 0.0132296-0.0389627j 0.0290842+0.0530368j 0.0251166+0.0280602j 0.0272411-0.0549668j -0.00136634-0.0740802j 0.0213801+0.0209881j -0.0668717-0.0669298j -0.022679-0.090682j -0.0246042+0.0427524j 0.0346097+0.049272j 
0.0278945+0.0434316j 0.0535048+0.00874485j -0.0368164-0.0584496j 0.0684628+0.0636021j -0.0570177+0.0287514j -0.0889568-0.00393254j 0.0122509-0.00270823j -0.266242+0.0612264j 0.0134533+0.00887725j -0.330709+0.153188j -0.054035-0.0816991j -0.0206389+0.0371773j -0.040519-0.0189997j -0.0163219+0.0782405j 0.0386453-0.0622416j 0.0308143-0.0620075j 0.0631584+0.0672375j -0.0461396+0.0237905j 0.0682833-0.0455059j 0.00785843-0.0987718j 0.0858434-0.0882906j -0.130911+0.0202297j 0.0425235+0.0545509j -0.042552-0.0515047j -0.0776752+0.106942j -0.0135921-0.0211087j -0.106564+0.192357j -0.0636896-0.0839019j 0.0143661-0.0490033j -0.0527994-0.00911494j 0.0432625-0.0693868j -0.00747235-0.0132877j -0.0589049+0.142227j -0.0875025+0.0537932j -0.0232181-0.0211337j 0.0241777-0.056632j -0.0486588-0.0653551j 0.00364445+0.0431864j -0.0237606+0.00286017j -0.00142811+0.0354969j 0.00762802-0.0173957j 0.0409774-0.0600844j 0.0356434-0.0468868j 0.0255262+0.022799j 0.177279-0.059654j -0.0387249-0.252187j 0.0738576-0.094382j -0.0337256-0.0381343j -0.102833-0.0342203j 0.043677+0.0656045j 0.00644439+0.02905j -0.0221812-0.0741222j 0.0106098+0.00616257j 0.00729527-0.0147302j -0.0477582+0.00757951j -0.00869871+0.0210621j 0.0713294-0.0656026j -0.0129518+0.024242j -0.0274628+0.0148396j -0.0170254+0.0251117j 0.0257677+0.0160436j -0.00591078-0.00524361j 0.0104658+0.0174973j 0.00186207-0.00342858j 0.00146238-0.000515647j -0.0152375-0.0184466j -0.0113927+0.000876618j 0.00648414+4.86612e-05j 0.00691879+0.00309386j 
0.0444369+0.0339376j -0.0056101+0.0295847j 0.0756961-0.0590332j 0.0146716+0.00963481j 0.0514269-0.0855081j 0.0282108+0.00317615j 0.0473805+0.0659903j -0.0560271+0.0555464j 0.00612768+0.110479j -0.0384893-0.0713778j 0.0396821+0.0459702j -0.00575606+0.0358443j 0.0215515-0.0423713j -0.0454984-0.0460232j -0.090602-0.0400357j -0.00184707+0.0817988j -0.0805055-0.0250595j 0.0248931+0.0344461j -0.0311117+0.0492367j -0.000230677-0.0723265j 0.0167315-0.0352211j 0.0871662+0.0294442j 0.121389-0.0647311j 0.0835437-0.0224292j -0.0225743-0.0621093j -0.056013+0.134078j -0.0461059+0.0502276j 0.0112308-0.0295684j -0.0483516-0.134378j 0.0127695+0.0532971j 0.0959567-0.00928836j -0.0148709-0.13304j 0.0126534-0.0156267j 0.00914451-0.0951544j 0.0162928-0.0643549j -0.0259862-0.0994207j 0.00613651+0.116784j -0.0212895-0.06866j -0.100389-0.0453266j 0.0142049-0.204554j -0.0594247+0.084903j -0.0428493+0.0908728j -0.0612697+0.0160479j 0.00873206+0.0585225j 0.0218551+0.061555j -0.103915-0.0609432j -0.0886099+0.0380698j 0.0543662-0.0724309j -0.0477082+0.00947628j 0.00970103+0.0532296j 0.073804+0.0844352j -0.0609163+0.0161993j 0.0423476-0.0103177j -0.0214599-0.00559508j 0.0536258-0.0689252j -0.0994752+0.0189074j 0.0184662-0.0913016j -0.0090971-0.0811531j 0.0394969-0.0201089j 0.0188028+0.0255061j 0.000748636-0.0849453j -0.0292296-0.0259657j -0.0354944+0.011431j -0.0221878+0.0530164j -0.0543869-0.0229727j 0.0593415+0.00169836j 0.00982733+0.0191781j 0.0147046-0.022837j -0.0179963-0.00665189j 
