-0.00540464-0j -1.42474e-06-0j 2.8082e-08-0j 3.5089e-05-0j 2.50785e-09-0j 0.0560569-0j -1.17535e-06-0j 2.45718e-08-0j 
0.0285485-0j -0.002417-0j -7.5352e-07-0j 0.0355788-0j 1.28529e-05-0j -0.0946601-0j 2.09887e-05-0j -6.5933e-07-0j 
0.00180319-0j 0.029004-0j 9.04225e-06-0j -0.139061-0j 0.0145748-0j 0.000264821-0j -0.000125273-0j 7.91196e-06-0j 
-5.32819e-07-0j 0.00183503-0j -3.6169e-05-0j 0.000189228-0j -0.176751-0j -3.88514e-08-0j -5.27464e-06-0j -3.16479e-05-0j 
-0.0781791-0j -0.000215507-0j -0.00121909-0j 0.00210373-0j 7.61329e-07-0j -0.0235513-0j 0.0254231-0j 7.45947e-06-0j 
0.000215507-0j -0.0807473-0j 0.0146291-0j -0.0168304-0j 0.00174497-0j 2.09887e-05-0j -0.10027-0j -8.95137e-05-0j 
6.02816e-06-0j 7.2338e-05-0j -0.117442-0j 7.45947e-06-0j 3.65438e-05-0j 4.39554e-07-0j -0.0171269-0j 0.000358055-0j 
-0.0176676-0j 0.00148785-0j -8.85955e-05-0j -0.00713356-0j -7.91196e-06-0j -0.0025947-0j 0.00122742-0j 0.0148065-0j 
9.04225e-06-0j -0.0103082-0j 0.000613808-0j -0.00106297-0j -0.0104698-0j 6.5933e-07-0j 8.95137e-05-0j -0.102583-0j 
-0.00163558-0j -0.00645083-0j 0.000776412-0j -0.00134457-0j 6.9337e-05-0j -0.000159293-0j -0.00532166-0j 0.000679361-0j 
-7.2338e-05-0j -0.000868056-0j -0.00491046-0j -8.95137e-05-0j -0.000438526-0j -5.27464e-06-0j -0.000716109-0j -0.00429666-0j 
