-0.00384171-0j -5.83674e-07-0j 0.046092-0j 2.03435e-05-0j -4.81507e-07-0j -0.223366-0j -0.000280125-0j -0.000283028-0j -3.00942e-08-0j -3.0406e-08-0j -0.221075-0j 1.17453e-05-0j 1.1867e-05-0j -2.94862e-07-0j -2.97917e-07-0j 
0.0249858-0j -0.00121483-0j -0.0967417-0j 0.0253342-0j 1.05493e-05-0j -0.0206074-0j -0.173079-0j -0.174872-0j -0.000125932-0j -0.000127237-0j -0.020396-0j -0.000153966-0j -0.000155561-0j 6.46009e-06-0j 6.52704e-06-0j 
0.00148785-0j 0.0207248-0j 0.000188568-0j -0.142051-0j -8.95137e-05-0j 1.29861e-05-0j -0.0207215-0j -0.0209362-0j -0.100977-0j -0.102023-0j 1.28529e-05-0j 0.00042939-0j 0.000433839-0j -5.48157e-05-0j -5.53838e-05-0j 
-0.0798792-0j -0.000125293-0j -0.0206122-0j 0.00173583-0j 0.0147807-0j -0.00214052-0j -0.00582452-0j -0.00588488-0j -6.46009e-06-0j -6.52704e-06-0j -0.00211857-0j -0.143312-0j -0.144797-0j -6.32957e-05-0j -6.39516e-05-0j 
0.000125293-0j -0.0824653-0j 1.05493e-05-0j -0.0120262-0j -0.102404-0j 5.4392e-07-0j -0.000867915-0j -0.000876909-0j -0.00854855-0j -0.00863714-0j 5.38341e-07-0j -0.0104515-0j -0.0105598-0j 0.000438526-0j 0.00044307-0j 
-0.0145779-0j 0.00106315-0j -0.00184759-0j -0.00728698-0j 0.000877051-0j -0.000127237-0j -0.00106297-0j -0.00107399-0j 5.48157e-05-0j 5.53838e-05-0j -0.000125932-0j -0.00420714-0j -0.00425074-0j -0.102583-0j -0.103646-0j 
-0.000950907-0j -0.00658808-0j -8.00635e-05-0j -0.000960761-0j -0.00543489-0j -4.12806e-06-0j -6.9337e-05-0j -7.00555e-05-0j -0.00033968-0j -0.000343201-0j -4.08572e-06-0j -0.000554696-0j -0.000560444-0j -0.00332818-0j -0.00336267-0j 
