0.0104279-0.000954342j 0.0108478-0.00992075j -0.000505041-0.00571811j 0.0069435-0.0136546j 0.00285298-0.00694215j -0.0100994+0.0139023j -0.00427831+0.0180009j -0.0110476+0.0289736j 0.00101264+0.00182763j -0.00595134+0.000320904j 0.00144194-0.00324565j -0.00383462+0.0230963j 0.00794585+0.00228015j -0.0008714+0.0150876j 0.00203846-0.00486941j -0.00787234-0.0221918j -9.16605e-05+0.00257183j -8.79299e-05-0.00449267j 0.00504134+0.00816923j -0.00223253-0.000631759j 0.00192175+0.000219926j 0.00618422+0.0134234j 0.00469713-0.00493066j 0.010306+0.00654077j -0.00303246-0.00779768j -0.0133438-0.0102811j 0.0017083+0.00505558j 0.0097948+0.00578313j -0.00823224+0.0032189j 0.00421925+0.00153086j 0.0190387-0.000666588j 0.00366527+0.0126482j -0.000178207+0.00853449j -0.00628114+0.00725358j -0.00530341-0.00200723j 0.00501737-0.0039325j -0.0167524-0.0159322j 0.00374266+0.00242509j 0.0143168+0.00639628j -0.00347261-0.00508709j -0.00069411-0.00736602j 0.00530226+0.00269637j -0.0140364-0.00117207j -0.012126-0.00232782j 0.00751341-0.00133015j -0.00688372-0.00462297j -0.00384212+0.00103023j -0.0163664-0.00271074j 0.00179269+0.00109822j 0.00698237-0.00116514j 0.000411385+0.0033885j 0.0092653-0.000606915j 0.0009286+0.00257558j -0.00109569+0.00209037j 0.00381274+0.0014494j -0.00961147+0.00392231j -0.014763+0.00275712j -0.00387038+0.0018455j -0.000343115-0.00186757j 0.000167125-0.00200374j 0.00822509-0.000538465j -0.00372768-0.000169475j -0.00882038+0.00273563j 0.00429435-0.00308641j 0.00095952-0.0056863j -0.00903755+0.002724j -0.00903457+0.00180907j 0.00544946-0.00393789j -0.000222361-0.000640379j 0.00894091-0.00364292j 0.00651999-0.00857622j 0.0183551+0.00069481j 
-0.00762257+0.00309372j -0.00122771+0.00382682j 0.00958919-0.0139315j 0.00148318+0.00166758j -0.00541624+0.00809678j 0.00415277-0.0042111j -0.00627444+0.0310519j 0.00416075-0.011685j -0.00327163-0.0108123j 0.00332022+0.00820767j 0.00209158-0.0357701j 0.000899934-0.00184076j -0.00206632-0.00643892j 0.000933909+0.00673199j -0.00177157+0.0113401j -0.00031741+0.000132044j -0.00560682-0.00984676j -0.00314035+0.000671047j -0.00351897+0.00155517j 0.00732458+0.0165607j -0.00197247+0.00480789j -0.000837023+0.00863738j 0.00350249+0.00470046j -0.00763281-0.0119993j 0.00686517+0.00370361j -0.0106197-0.0111845j -0.0124676-0.000214022j 0.00165381-0.00595887j -0.00131065+0.00169286j -0.00474617+0.00393865j -0.00197987-0.00301148j 0.00773027+0.00151306j -0.0131575-0.0147931j 0.00832321-0.00521012j 0.00814495+0.00544984j 0.0115883+0.00397317j -0.00991475-0.00511658j -0.0194996-0.000599187j 0.0119772-0.000122726j -0.00499+0.000751367j 0.0022188+0.00627601j -0.0180844-0.00272635j -0.00935958-0.00157166j -0.0134086+0.00241624j -0.0147971-0.00224211j 0.0077162-0.00171378j -0.00798082+0.000261469j 0.0072363+0.00078581j 0.00267166-0.00212513j 0.00863817+0.000452026j 0.0116994-0.00431472j 0.00996257-0.00060531j -0.00413491-0.000479731j -0.0102835+0.0024685j 0.00107764-0.00100203j 0.00610769-0.00210952j -0.00307108+0.000511478j -0.00967653+0.00331296j -0.00412124+0.00284829j -0.0034702+0.00287057j -0.00429691+0.000253258j 0.0052305-0.000501519j 0.00488673-0.00505468j 0.00700381-0.00174436j 0.0156943-0.00380933j -0.000965486-0.0029009j 0.00136259-0.00209165j 0.00151024-0.00252418j -0.0112011+0.00187772j -0.00142389-0.0026133j -0.00682911+0.00259304j -0.00453876-0.00235715j 
0.0116828+0.015976j -0.0150954-0.00114317j -0.0115412+0.00353379j 0.00953766+0.00635405j -0.0030158-0.00156173j 0.00406066+0.00444394j -0.00903774-0.00546475j 0.0142289+0.0124138j 0.00335286-0.00437155j 0.00311161+0.00793879j -0.002072-0.00765318j 0.00463224+0.00660874j -0.00794633-0.00793894j 0.00825619+0.00551924j -0.00486647-0.00675653j 0.0108256-0.00211825j -0.00601249+0.00704539j 0.0011443-0.00204208j -0.0121871+0.00320494j 0.00202448-0.00124834j -0.00677641+8.15315e-05j 0.00252883+1.40292e-06j -0.005691+0.000607456j -0.00152277+0.00880295j -0.00236318-0.00510249j 0.0121522-0.00451964j 0.00437572-0.00451385j 0.00530539+0.00500005j -0.00451102-0.00970702j -0.000971578-0.00188463j 0.00586649+0.0258368j -0.0191229+0.00976652j -0.0213962+0.00193292j 0.00384322-0.0206979j -0.00195282-0.00858796j 0.00292958+0.00129088j 0.0014549+0.0107065j 0.0176783-0.000221945j 0.00308265-0.00191457j 0.00215551-0.00439224j 0.00748213-0.00408027j 0.00580862-0.00272458j -0.00530572+0.00228919j -0.000624079-0.00292895j 0.00339287-0.00541786j 0.00263896+0.00615078j -0.000402233-0.000180293j -0.00268174+0.00753721j 0.000881794-0.000673484j 0.00577199-0.000498428j 0.00117405+0.00448022j 0.0018522-0.00161094j 0.00419317+0.00239456j -0.00743173+0.00135348j 0.000205837+0.00334258j -0.00236779+0.000726814j 0.00230157-0.00218632j 0.00532254-0.00191951j -0.000471848+0.00083812j -0.00419748+0.00168641j 0.00444019+0.000365169j 0.0029548-0.00220059j 0.000973129+0.00173031j 0.00331306-0.00465479j 0.00323163-0.000236502j -0.00225319-0.00660604j 0.00176683+0.00372819j -0.00354224+0.00207061j 0.00716285+0.00886096j -0.00512779+0.0052733j -0.0193699+0.0236555j -0.0157538-0.023491j 
0.00745261-0.00291727j 0.00879652+0.010953j -0.0068398+0.00407885j 0.0189912+0.00884284j -0.0067791+0.00359964j -0.00373235+0.0078251j 0.00761404+0.00749141j -0.00115461-0.0106927j 0.019609+0.00339321j 0.00250452+0.000342668j 0.00600241-0.00859685j 0.0121592-0.00196116j -0.0120206-0.00443969j -0.000777242+0.00637455j 0.0179682+0.0043812j 0.000666811+0.00757537j 0.00424831-0.0018403j 0.0110743+5.13114e-05j 0.00541141-0.00263498j -0.00487872+0.00422944j -0.0106471+0.00331205j 0.00588233+0.00237794j -0.00178026+0.000716503j 0.00110813-0.00230014j 0.000593589-0.00519167j 0.011836-0.0103313j 0.00453173-0.0143567j 0.00684476+0.00657358j 0.00602122-0.00854907j -0.00716372-0.00759097j 0.0178637-0.0102847j 0.00361689+0.0168141j 0.00386834+0.0159219j -0.0161396+0.00167559j -0.00288602-0.00091525j 0.00720145+0.00297405j 0.0100537-0.00444589j 0.0005532-0.00709984j 0.00736213-0.00216773j -0.000294193-0.00332678j 0.00271173-0.00889242j -0.00488907+0.00235027j -0.000828225+0.00534429j 0.000663743+0.00416596j -0.00370172-0.00433768j -0.00198164-0.00453079j -2.0653e-06-0.00258819j 0.00010255+0.00267686j 0.00298002+0.00029785j -0.0036266-0.000131843j 0.00770925+0.00392858j -0.00231388-0.00113616j -0.00242272+0.00368028j 0.000162958-0.00207532j -0.00116991+0.00106249j 0.00575226-0.000889928j 0.00202577+0.00312889j 0.00169685+0.00438244j 0.00201369+0.00173577j -0.0019964-0.00106832j -0.00333942+0.00402016j 0.00273733-0.00345355j 0.00604926-0.0008403j 0.00176702-0.00386025j -0.00384336+0.0071514j -0.00525321+0.00321244j -0.0026314-0.00815671j 0.00446266+0.000479987j 0.00753674+0.00824014j -0.00802463+0.0134205j 0.0166713+0.0144645j -0.0136683+0.0206373j 
-0.00322177+0.000216234j -0.00308543-0.00352894j 0.0141109+0.00478575j 0.000506105-0.00385308j -0.0111752-0.00738867j -0.00898484+0.000259663j -0.000604154-0.000280579j -0.00774501+9.53342e-06j 0.0246949+0.00622556j 0.0373886+0.00487292j -0.0187116+0.000973356j 0.0180289-0.00322205j 0.0151939-0.00107959j -0.0121155+0.00197623j 0.00703253-0.000886067j -0.00387245+2.06703e-05j -0.00973893+0.00369271j -0.00738749+0.003824j 0.0050474-0.000427848j 0.00453466-0.00565933j -0.024142+0.00713483j -0.0152256+0.00576256j 0.00206919-0.00194309j 0.00888945-0.0106158j 0.0020134-0.00361397j -0.00117678-0.00316581j 0.00199102+0.00293382j -0.0030485+0.0033951j -0.00450485-0.00220869j -0.00280269+0.00423056j -0.0049994+0.00496348j -0.00415181-0.00333647j 0.00205371-0.00418462j 0.00544906+0.00189234j -0.00278542+9.23353e-05j -0.000350492-0.00239257j -0.00254789+0.000410762j -0.000647434+0.000416947j -0.00216955-0.0014985j -0.00109922-0.000381503j 0.000133672+0.00189233j 0.000301618-0.000559416j -0.00180595-0.00124185j 0.000340031-9.84745e-05j -0.000605763-0.000535601j 0.000647951-0.000271983j 0.000670534+0.000998609j -0.00122038-0.000349177j -0.00107429-0.000388702j 0.000750544+8.62867e-05j -0.000488234+0.000133934j 0.001174-0.00069263j 0.000394921-0.000171323j 0.000778233+0.00155196j 0.000141449-0.00040903j 0.000849631-0.000786203j -0.000381747-0.000393879j -0.000179252-8.98493e-05j 7.47017e-05-0.000924503j -0.000742378+0.00120677j 0.00155656-0.00249281j -0.000687751+0.00066176j -0.000501895-0.000734345j -0.000866674+0.00155651j -0.00114945+0.00136151j 0.000218446+0.000246727j 0.00128027-0.000136248j 3.05487e-05+0.00145783j 0.000496245-0.00280409j 0.00157783-0.000786128j -0.00349492-0.00246125j 0.00243596-0.00453512j 
0.000710671+0.00339888j -0.00573824+0.00637714j 0.00265391+0.00883505j -0.00582704+0.00268954j -0.00202867+0.000858278j -0.0105849+0.00441669j -0.00585201-0.00158898j -0.0108037-0.0128721j -0.0185337-0.00562248j 0.00646425+0.00365822j -0.00192345+0.00395139j -0.0142075-0.00335052j 0.0172006-0.00353733j -0.00909785-0.00150857j -0.00978911-0.00206327j -0.0114852+0.00284723j -0.0151994+0.00267179j -0.0140922-0.000537842j -0.00316609-0.00135166j 0.00457888-0.00406644j 0.00911526-0.00548107j -0.0053654+0.00152571j 0.00315369-0.000715375j 0.00996525-0.000743936j -0.00301079-0.00316282j -0.0130643-0.00142726j -0.00771972-0.0049567j 0.0103495-0.00113456j -0.0156968+0.00936422j -0.00289388+0.00779368j 0.0282199-0.0100319j 0.0121578+0.0182147j 0.000867808+0.00728588j -0.00745197-0.000658898j -0.00114025-0.00356793j 0.00398066+0.0054015j 0.00760649+0.00457377j 0.00455557-0.00571835j 0.00493244-0.00194538j 0.000192359-0.00345308j 0.00311325-0.00815569j -0.000621909+5.62482e-05j -0.000806718+0.00463278j 0.00372308+0.00338751j -0.000978075-0.00437587j 0.000156342+0.00106343j 0.000231715-0.00226519j 0.000474009+0.00555884j 0.00248511-0.00120388j -0.00110505-0.000197868j 0.00719575+0.00569919j -0.00186582-0.00144445j -4.23419e-05+0.00311237j -0.00285227-0.00346303j -0.00109125+0.00124867j 0.00584146-0.00272264j 0.00582804-0.000700669j 0.00450546+0.00414483j 0.000513056+0.00299302j -0.00492178+0.000303425j 0.000428823+0.0035951j 0.000457324-0.00238562j 0.00473619-0.000651625j 0.00281485-0.00417311j -0.000102639+0.00810596j -0.00521124-0.00178404j -0.000507064-0.00764778j 0.00533991-0.00388864j 0.0128481+0.00501187j -0.00525155+0.0134325j 0.010158+0.0205494j -0.0204336+0.00991445j 
0.0132396-0.00483238j -0.00148514+0.00262626j 0.00542711+0.0044123j 0.000953276-0.00739612j 0.00021229-0.00136103j 0.00421409+0.00683693j -0.010563-0.000423475j 0.0113163+0.00520895j -0.0147748+0.00240779j 0.0189582+0.00157828j -0.00739303+0.00319874j -0.000657226+0.00427971j -0.0205433-0.00249482j 0.00101533+0.0027433j -0.0156604-0.000168435j 0.0158543+0.000571136j -0.00383132+0.00743529j -0.00212855-0.00598957j -0.0172955+0.0043193j 0.00997889-0.000904053j -0.00688963+0.00209006j -0.008147+0.00615562j -0.0111629-0.00183234j -0.00687915+0.000556176j -0.00428774-0.00106139j -0.00581203-0.0063691j -0.0170319+0.00123475j 0.0103992-0.0115903j 0.0023529+0.00434494j -0.00615557-0.00339507j -0.0162283-0.00440837j 0.0139702-0.0032094j 0.00895703+0.00829121j 0.000464014+0.00803256j 0.0021524+0.00316653j -0.0022316+0.000679802j 0.00504433-0.00431874j -0.0017696-0.0034525j 0.00436709+0.00128657j -0.00450857-0.00229757j -0.00055661-0.00563439j -0.00468279+0.000511682j 0.00107976+0.00277202j -0.00151781+0.00348771j -0.000690352-5.47432e-05j -0.00495286-0.00757677j 0.00330854-0.000316678j 0.00133794-0.00202476j 0.00256525+0.000894003j -0.00269101-0.00147976j 0.00300325+0.00189116j -0.00321799-0.000124316j -0.00320817+0.000214258j 0.00540441-0.00328189j -0.000721879-0.0018967j 0.00555469+0.000392763j -5.10491e-05+0.00389588j -0.000478883+0.00423085j 0.00228456-0.000430182j 0.000654827-0.00280439j -0.00385035+0.00184321j 0.00267368-0.00259653j 0.00148482-0.000572023j -0.000511937+0.0023341j -0.00660041+0.00647527j 0.000370031+0.00407395j -0.00787294-0.00477088j 0.00874038-0.00296749j -0.00224774-0.000618366j 0.00047367-0.000334201j 0.0229247-0.00487972j 0.00805315+0.0245275j 
-0.00665605-0.0071947j -5.556e-05-0.0020907j 0.00259656+0.00127158j 0.00296483-0.00957196j 9.20039e-05+0.0031892j 0.00536843+0.00844822j 0.00898897-0.0031401j -0.00429766-0.00245183j -0.000100909+0.00918731j -0.0101084+0.00508843j 0.00719623+0.0108658j 0.000713046-0.00394917j 0.000390835+0.00948708j -0.00388262+0.0141379j 0.00313885+0.0182218j 0.00109025+0.00902969j -0.00532609+0.00828245j 0.00259696-0.00667207j -0.00320813+0.00425288j 0.004733+0.00423141j 0.00405632-0.00244984j 0.0106842+0.0114559j -0.00834184-0.00408684j -0.00902261-0.0103011j 0.0029389-0.00225009j -0.0112062-0.00608792j 0.00067334-0.00423708j 0.00848526-0.00552367j -0.0133022-0.0101672j -0.0140186+0.0149542j -0.0146254+0.000365147j 0.00334121-0.00853001j -0.00317971-0.0128221j 0.00597431-0.00352563j -0.00265088+0.000861084j 0.00580283-0.00361034j -0.00448437+0.00146471j 0.002231+0.00439462j 0.00524918+0.00281259j 0.0126761-0.000494558j 0.00668829-0.00123338j -7.80686e-05+0.00239413j -0.00652994+0.000737569j 0.00532534+0.00295255j -0.00713616-0.00626642j 0.00456536-0.00935582j 0.0111653+0.00684135j -0.0129763-0.00124849j -0.00655195+0.00214087j 0.000123976-0.000493231j 0.00315482+0.0067664j 0.00867024-0.00293998j 0.0108515-0.00481234j 0.0116445+0.00216338j -0.00384733-0.00607323j 0.00699927-0.0039967j -0.00311742-0.00370602j 0.00084502-0.00170433j 0.00166708+0.00853529j -0.005599+0.00652915j -0.00205743-0.00662818j -0.00237483-0.00019477j -0.00535279-0.000384934j 0.00233442+0.00273691j -0.00886181+0.0112753j -0.00412285+0.00526154j 0.00349053-0.00166053j 0.00905212+0.00840255j 0.0167853-0.0137244j 0.00504544+0.0152345j -0.00303079+0.000392013j -0.0023985-0.0129346j 
-0.000588978+0.013698j -0.000634379+0.000210288j 0.00559874+0.00708214j 0.0104615+0.00334962j 0.0022702+0.00605459j 0.0106924+0.00647458j -0.0053842-0.00469126j -0.00587369-0.00146164j 0.00149822-0.00126199j 0.000551413+0.0089574j -0.0125267+0.00178833j -0.00115971-0.000724915j -0.0107437-0.0024062j 0.00909027+0.0051099j -0.00199269+0.0074031j 0.0167664+0.0049499j 0.012684+0.0150479j -0.000327523+0.0066949j 0.000792568+0.00735072j -0.000568537+0.000789896j -0.000898073-0.00151673j 0.00603763-0.00537216j 0.00739375+0.00591837j 0.00136429-0.00185743j -0.00541034+0.00659465j -0.000674931-0.00687591j -0.00934132+0.00616474j -0.00911846+0.00410632j -0.0225534+0.00798526j 0.00637308+0.018482j 0.0152267-0.0106054j 0.00392707+0.0215401j 0.00673319-0.00241783j -0.0106992+0.00649247j -0.00454339+0.00389473j -0.0038883+0.000771694j -0.00577627+0.00292647j -0.00287055+0.00226565j -0.00342187+0.0025004j 0.00094879+0.0022324j -0.000870011+0.0020666j -0.00282235+0.00390971j -0.00420342+0.00500038j -0.00477261+0.0124659j -0.0120681+0.000663369j -0.00565897+0.00405555j 0.00857582-0.00450669j 0.00249836-0.00383793j -0.00347653+0.00122553j -0.00261616-0.00499102j -0.00443478+0.0129912j -0.00502104+0.00898476j 0.00216324+0.00520765j -0.00215166+0.00659021j -0.000680628+0.00255936j 0.006072-0.00530479j 0.00265106+0.00057665j 0.00192932+0.00545303j -0.00123486+0.00669199j -0.000885341-0.00204672j -0.00478353-0.00362408j -0.00235694+0.00844697j 0.00268737+0.00904784j -0.00315528+0.0131898j -0.00549862-0.00341487j 0.00201887-0.00509578j 0.00273476-0.00671456j -0.00748577+0.00239578j -0.00253924-0.00867096j 0.000937102-0.00819243j -0.00721838-0.0114015j 0.0055601+0.00414946j 
0.000593067+0.00761467j -0.000352337-0.00732464j -0.00182146-0.000423369j 0.00364789-0.00280048j -0.00226978+0.00188356j -0.00810448-0.00432592j -0.00116833-0.00152698j 0.00624053+0.00267857j -0.00788432-0.00773591j -0.00877306+0.00736057j -0.00996734+0.00457983j 0.00923451-0.00304118j -0.0107133+0.000171952j -0.0165503-0.00159588j -0.0169779+0.00646928j -0.0188333+0.00622259j 0.000327188+0.00652611j 0.00461199+0.00606526j 0.00286008+0.00170463j 0.00145329+0.00876859j 0.00746432-0.000474092j -0.0111322+0.000995398j 0.00323408-0.00508668j -0.00204421-0.00923199j 0.0135979+0.00544799j 0.00184643-0.00583342j 0.00647863+0.00841581j -0.0102972+0.0153831j 0.00389475-0.0086563j 0.0048909-0.00887353j 0.00146201+0.0094423j -0.0102773+0.00318045j -0.00270084+0.00265019j -0.00861776-0.00117091j -0.00627128+0.000839542j 0.00574209-0.00669461j 0.00617759-0.00860193j 0.00243717-0.00852537j 0.00691418-0.0116673j 0.00544205-0.00607408j -0.00481612-0.00241626j -0.00592017+0.00619302j -0.00400665+0.00526197j 0.00110035-0.0018772j -0.00878607+0.00359962j -0.00357876+0.00689864j 0.0121562-0.0101021j -0.00277778+0.0121807j -0.00379661+0.000567709j 0.00567104-0.00985778j 0.0029192-0.00744036j 0.00131757-0.00820472j 0.00496445-0.00656239j 0.00277654-0.011313j -0.00282148+0.0104008j 0.00482948-0.00381684j 0.00164841+0.00152865j 0.000342304+0.00194116j -0.000286091-0.00896027j 0.000357131+0.00694368j -0.00285969-0.00105251j 0.0072248+0.00565543j 0.000107637-0.00291362j 0.000610862+0.00251694j 0.00110606+0.0111098j 0.00525999+0.0058458j -0.00535849-0.00549415j 0.00436758+0.00416493j 0.00281146+0.00130414j 0.00358952+0.00678891j 0.000232131-0.00106494j 0.00629962+0.00730162j 
-0.00255912-0.00716336j 0.00302311+0.00866444j 0.00363191-0.000528521j 0.00676276+0.0064533j -0.00562061-0.0066328j -0.000826268+0.00507484j 0.00511519+0.00618032j -0.00496141-0.00563486j 0.00328265+0.00435582j -0.0138561-0.0149098j -0.0140197-0.0064963j -0.00111531+0.00688635j -0.0146715-0.00952727j -0.00586073-0.00665279j -0.014601-0.00521533j -0.00462218-0.00648497j -0.0186442-0.00214128j -0.010904+0.000979758j -0.00981097-0.000119088j -0.0124794-0.00185012j -0.000839846-0.00131794j -0.000273895+0.000522938j 0.00512084-0.00436494j 0.0172445+0.00157425j -0.011126+0.00284732j 0.0114606-0.00733264j -0.00163156-0.00595905j -0.00169536-0.000670788j -0.00285387-0.00653084j -0.0138425+0.00543595j -0.00498916-0.000348623j 0.00322514-0.00605823j 0.00529527-0.00429877j 0.00166112+0.00833964j 0.000232537+0.00829349j 0.000330348-0.00476376j -0.00891326-0.000159318j -0.0054665+0.0071338j 0.00139892+0.00304778j 0.00112241-0.0110586j 0.00283902+0.000120119j 0.00705394+0.0130391j 0.00597583+0.0128511j 0.00395179-0.000764652j 0.00114731+0.0107959j -0.00104198-0.00167396j -0.00633184-0.0141195j 0.000183676+0.00195388j 0.00785372+0.0165007j -0.00724095-0.00228835j -7.72699e-05+0.00113344j -0.00116802-0.00356358j -0.00166992-0.00521183j -0.00198433-0.00140873j 0.00742178+0.005983j -0.011136-0.00797855j -0.00139635+0.00297837j -0.0024536-0.00254473j 0.00240139+0.00552268j 0.00834798+0.00457232j -0.00304971-0.000792949j 0.00098183+0.0013169j 0.00384931+0.00875872j 0.00220322-0.000326266j 0.00311975+0.00668638j -0.000971775+0.00204991j 0.00180245-0.000326216j -0.000437206+0.003959j -0.00183139-0.00860889j -0.000405177+0.000960732j -0.00369298-0.00386196j -0.00249974-0.00785403j 
