-0.0116946-0.00760558j 0.00116308+0.0148672j 0.00185329+0.0172079j 0.010921+0.0053731j 0.00508276-0.00114081j -0.00403598-0.00739438j 0.00136089-0.00739993j 0.00689696-0.00303272j 0.000259357-0.00625452j -0.0001755+0.00128236j -0.000125348+0.00401142j -0.00378356+0.00077589j 0.00189241+0.00261674j 0.00233163+0.000889088j -0.00365758-0.012435j -0.000501042-0.000987043j 0.00376618+0.00458874j 0.00495188+0.00504784j -0.000225894+0.00460869j -0.00717939+0.00414175j -0.00266653-0.00300732j -0.0011625-0.00495572j 0.000623674-0.00201837j 0.00259728+0.0111913j 0.00610588+0.00169065j -0.00399744+0.00034026j 7.3331e-05+0.00651973j -0.00973392-0.00853149j -0.0079581-0.0172336j -0.00125682+0.00116593j 0.00213802+0.00483671j 0.00282242-0.00185131j -0.00348046+0.00129387j -0.0015708-0.0083981j 0.000791423-0.00474513j 0.00218956-0.00385502j -0.000614211+0.00410873j -0.00253937-0.00200446j 0.00844066+0.00133737j 0.00208311+0.0121875j -0.0044127-0.00270024j 0.00647014-0.0100131j -0.00143186-0.00433288j 0.00477497+0.00308041j 0.0038783+6.23247e-06j -0.00245067-0.00171787j 0.0014345+0.00336622j -0.00534346+0.000921082j 0.00157211-0.00402428j -0.00415941-0.00323735j -0.00113432+0.00606042j 0.00216418-0.00721082j 0.00273441-0.00622288j 0.00117277-0.00205787j -0.00202974-0.003556j -0.0011894-0.0035695j -0.0102879+0.00180624j 0.00644258-0.00669675j 0.00105985-0.00562326j 0.000182502-0.00263149j -0.00299122+0.00335302j -0.00190637+0.00253219j -0.00754857+0.00580466j -0.00268708+0.00581283j 0.00180802-0.0087689j -0.0106789-0.00330531j 0.00280196+0.00370959j 0.00602343+0.00365397j -0.00679406+0.00520927j -0.00326099+0.00175399j -6.72354e-05+0.00379555j 0.00471953+0.0017752j 0.00490513-0.00445127j 0.00429649-0.0136131j -0.0139259-0.000979382j -0.0173195-0.00169599j 0.00968831-0.0174661j 
0.0015661-0.0103642j -0.0109521-0.00960844j -0.00360275+0.00117968j 0.000985891+0.00865384j 0.00712096+0.00160437j -0.00168802-0.0152641j 0.00411092-0.00214741j 0.00426472+0.00530667j -0.00612057-0.0086315j -0.00519551-0.00852355j -0.00414329-0.0118812j 0.00147761-0.00742865j -0.00759895-0.000638886j 0.00641759-0.00516831j 0.00245416+0.009612j -0.00217584+0.00243702j -0.00522597+4.72979e-05j -0.000120793+0.000516971j 0.00060607+0.000870613j 0.00669453+0.00545431j 0.00801849+0.00296056j -0.000894838+0.00272118j -0.00371192-0.00924113j 0.00450979+0.0063479j -0.00200464-0.00933875j 0.00362988-0.00531955j -0.000302724+0.00159479j -0.000109147+0.00225858j -0.00101016+0.00191188j -0.00481587-0.00044406j 0.000698182-0.00519408j -0.00206384+0.00336205j -0.00116607+0.00534397j -0.00159951+0.00268359j 0.00311378+0.000331007j 0.0117638+0.00974363j 0.00166929+0.0174879j 0.00239846+0.00510889j -0.00147366+0.0103392j 0.00424582+0.00227109j -0.000689038-0.0100102j 1.98074e-05+0.00976389j -0.00525256-0.00159924j 0.000982364-0.00446529j 0.00027522+0.000814275j -0.00404606+0.00429345j 0.000682582-0.01116j -0.000178032+0.00516864j 0.00110233-0.00386785j 0.00387165+0.000454555j 0.00708502+0.00183902j -0.00223143+0.00417531j -0.00442997-0.000226212j 0.00184162+0.00537346j -0.00707233-0.00038694j 0.000714451-0.00300484j -0.00316925+0.00851089j -0.00718715+0.00447325j 0.00156127-0.00283375j 0.0045528-0.00934142j 0.0013504+0.00364109j -0.00258166+0.00212799j 0.000439016+0.00156277j 0.0087185-0.00263633j -0.00010482+0.00499661j -0.00130211-0.00739103j -0.0113785+0.00229622j -0.00036177-0.00922145j -0.00206862+0.00335469j 0.0122406+0.000913085j -0.00675807-0.00201543j 0.00220332+0.011239j -0.0111002+0.00757405j 0.0095193-0.00756559j -0.00670653-0.00226466j 0.0102203-0.0152722j 0.0133104+0.0049138j 
0.00484684-1.38934e-05j -0.00457023-0.0104604j 0.000126249-0.00555043j -0.00439735-0.00287363j -0.00130591-0.00479773j -0.00268054-0.00436957j -0.0023748-0.000931512j -0.00315105-0.00299799j 0.00120019+0.0136461j -0.00279105+0.00302567j -0.00211675+0.00214181j -0.000965424-0.00128262j 0.000846825+0.00362698j -3.331e-05-0.00135413j 0.00187825+0.00394737j -0.00274802-0.00795303j 0.00156541+0.0068433j -0.00187927-0.00409682j 0.00444297+0.0163489j -0.000328097+0.00721881j 0.00583357+0.0151596j 0.00023233-0.00920826j -5.11124e-05-0.00984391j 0.0013053+0.015158j 0.00622963+0.0186223j 0.00443696-0.00501736j 0.00585425+0.0140547j 0.002444+0.00229253j 0.00344704-0.0178944j 6.85992e-05-0.00440093j 0.000242457-0.00374166j -0.0020774-0.00100881j -0.00131857+0.0115171j 0.000682579-0.000913943j 0.00144052-0.00645772j 0.00067657-0.0174744j -0.0025797+0.00379394j -0.000375942-0.00201987j -0.00231439-0.0141206j -0.000379553+0.00696832j 0.00298432-0.00288979j 0.00101957-0.00760914j -0.00123433+0.0036996j 0.00365489-0.0100082j -0.0026549+0.00211656j 0.00267583-0.0014824j -0.00118813+0.00108653j 0.00367377-0.00130489j -0.00387637+0.00685901j 0.0052099-0.00987133j -0.00213411-0.0012096j 0.00107184-0.00262132j -0.00597729+0.00168796j -0.0039895+0.00110144j -0.00855149+0.00543914j 0.00138704+0.00491809j -0.00123365+0.00483742j 0.00130478-0.000693271j -0.00263635+0.000676222j 0.00322267+0.0016493j -0.00290578+0.00048548j 0.00367706-0.00584069j 0.00130472-0.000244626j -0.00630701+0.00850797j 0.00400845-0.00106158j -0.00167654+0.00286357j 0.00087384-0.0012419j 0.000340078-0.000773947j 0.00814735-0.000337619j -0.000554935-0.00202735j -0.00280394+0.00327445j -0.000904815-0.00268916j 0.000434713-0.00126509j -0.00533529+0.00504054j 0.00274342+0.00595814j 0.00843739-0.00436776j -0.000568423+0.006664j 
0.00126271+0.000825159j 8.35413e-05-0.00120964j -0.00258288-0.00161123j 0.00161713+0.0057408j 0.00188474+0.00733267j 0.00391929+0.00246934j -0.00340806-0.00407442j -0.00291249-0.0100047j -0.00485683-0.0108849j 0.00237053+0.00362384j 0.00470445+0.0119444j -0.000441414+0.00257231j 0.00458396+0.00147757j -0.00302173-0.00640977j 0.0021766+0.00888678j -0.00429695-0.0091643j -0.000470589+0.00909029j 0.00349622+0.00172608j 0.00368417+0.012673j -0.00450074-0.00841358j 0.00378149+0.0110742j -0.00206433-0.00895634j 0.00139741-0.00150728j -0.000621533+0.00962687j -0.00506712-0.0117247j -0.000264996-0.00014961j 0.000506799-0.0200403j 0.00173371+0.00119184j -0.000289231-0.00854347j 0.00559886+0.0143732j -0.000755948-0.0141942j 0.00144572-0.00657112j -0.00230939-0.00374862j -0.00411855+0.0110808j 0.00172576+0.00186224j 0.00481518-0.00149335j 0.00324502-0.0117827j -0.000237012+0.00939843j 0.00207409+0.00516366j 0.000973052-0.000815661j 0.00087487-0.00764644j -0.00157927-0.00889167j 0.00111575+0.00500059j -5.57142e-05+0.0032211j -0.000646384-0.000550041j 0.00332989-0.00574678j 0.000122937-9.76371e-05j 0.000891585-0.00690043j 0.00427165-0.00422692j -0.00388021+0.0109527j -0.00564759+0.0128599j 0.00387347-0.00281143j 0.00033383+0.007635j 0.000279477-0.00129094j -0.00584335+0.00630015j 0.00140478-0.000186413j 0.00256674-0.00360052j -0.000637386+0.000971035j -0.000951977-0.00340146j -0.00739822+0.00769985j 0.000945079+0.00282921j -0.003426+0.0063324j 0.00135903+0.001537j -0.000630186+0.00011998j -0.00767756+0.00746795j -0.00109343+0.00831865j 0.0029115+0.00279478j -0.001619+0.00105134j -0.00303486+0.00373827j 0.00611415-0.00213823j 0.00545894-0.01101j -0.00266234-0.0035096j 0.00123744-0.000760229j 0.00379974-0.00196043j 0.000944544-0.00390053j 0.00108196+0.00074075j -0.000852304+0.00121075j 
0.000256703-0.00811746j -0.00881201-0.00996381j 0.00388725+0.00131425j -0.00492705-0.00750633j -0.00276984-0.0131824j -0.00356067-0.0040798j -3.48128e-05-0.000118289j 0.00420415+0.00489503j -0.00375197-0.00685148j 0.00252177+0.00361285j 0.00114504+0.00495342j 0.00300885+0.00864266j -7.21993e-05+0.000158394j 0.00685957+0.0115358j -0.000556729-0.00511121j -0.000367743-0.00387333j 0.00283739+0.000570803j 0.00156944+0.00306641j 0.00014747-0.00330067j -0.00337467-0.0199113j 0.00719652-0.0030358j 0.0054522+0.0095977j -0.00161013+0.00377282j -0.00240483+0.00493632j -0.00217376-0.00988811j -0.000267822+0.0254647j 0.00273691+0.00143434j 0.000973877+0.00146094j 0.000549797+0.00239374j -0.00464223-0.00122036j -0.00538217-0.00162754j 0.00298512-0.0174528j -0.000109077-0.00715467j 0.00304974-0.0104521j 0.00256991-0.00596878j -0.00215093-0.00644721j -0.00234719-0.00131j 6.43667e-05-0.000208541j -0.00340524-0.00369329j 0.00385278-0.000781928j -0.000439495+0.005263j -0.00159171+0.00450233j -0.00616939+0.0117811j 0.00201332-0.00245669j 0.00668408-0.0105044j -0.00122712+0.00110556j 0.00240803-0.00611252j 0.000464053-0.00058092j 0.00205674-0.00452159j 0.00314658-0.00329322j -0.000987746+0.00123283j -0.00136779-0.00266268j -0.00269829-0.00258733j -0.00242865+0.000406784j -0.00355479-0.00322396j 0.00128242-0.00064206j 0.0053408-0.0103446j 0.00140923-0.00656481j 0.0036121-0.00105745j -0.0039252+0.00759545j -0.00400792+0.00481017j 0.00138882-0.000241704j 0.00114415+0.00207589j -0.00325892+0.000339805j 0.000603206+0.000165756j -0.00213724+0.00646332j 0.000748188-0.00230623j 0.00303317-0.00245177j 0.00238949+0.00259064j -0.00194346+0.00694653j -0.00385596+0.00477277j -0.000539021+0.00237862j -0.00293819-0.00192717j -0.00526298+0.00501333j -0.000423884+0.00849879j 0.0067776-0.00909981j 0.00528802+0.00260109j 
-0.00135939-0.00554795j -0.00441016-0.00369113j 0.00262203+0.00576721j 0.0007294-0.00100298j 0.00287155+0.00576696j 0.00542715+0.00521135j -0.00103269+0.00702932j -0.00647731-0.0156549j -0.00167968-0.00356435j 0.00043566+0.00445764j -0.0045901-0.00248702j -0.000818151-0.00741265j 0.00620962+0.011766j 0.00603451+0.0140946j 0.00602524+0.00849451j 0.00237294+0.000795286j -0.0035164-0.0100818j 0.00318927+0.00587622j 0.00297609-0.0044393j 0.00431785-1.99957e-05j -0.000443895-0.00639421j 0.00311025+0.0143974j 0.00199117-0.00661554j -0.00068608-0.00112175j 0.00168136+0.014064j 0.003078+0.0100856j 0.00195174-0.00188821j -0.00117386+0.00801441j -0.00471696-0.00295046j 0.00294807+0.0156319j -0.00458978+0.0189624j 0.00322273-0.000222493j 0.00268812-0.00469953j 0.000781749+0.00309853j -0.00257505+0.0115065j 0.00419165-0.00238943j -0.00452526+0.00852944j -0.00164077-0.00200869j 0.00135312-0.00463926j 0.00176374-0.00173982j 0.00139954-0.011031j -3.81304e-05-0.00796531j 0.00298219-0.00361148j -0.00332678+0.0136653j -0.00141745+0.00248718j -0.00296639+0.00858936j 0.00363369-0.00282529j -0.00255035+0.00102123j -0.000947007+0.00430808j -8.00633e-05-0.000680262j -0.00287164-0.00349311j 0.00190463+0.00252984j 7.75032e-05+0.00433504j 0.0011382+0.00385284j -0.0019186-0.00437998j -0.00252183+0.00843617j -0.000356718+0.00516341j -0.00501758+0.00406325j -0.00385653+0.00424672j 0.00110977+0.00346923j -0.00144733+0.00254976j -0.00210843+0.00212808j -0.000332951+0.00107986j -0.00675593+0.0121429j -0.00177756+0.0064375j -0.00421051+0.000271422j -0.00218381+0.00506687j -0.00446403+0.00102471j 0.00550657-0.00541402j 0.00486791-0.00331808j 0.00289281-0.0108444j -0.00445993-0.0029978j 0.00352891-0.00616673j 0.000135012-0.000830207j -0.00195861+0.00269551j 0.0025585-0.00481204j 0.00330483+0.000157608j 
0.0050779+0.00816325j 0.00321762+0.00013999j -0.00356398+0.000463934j 0.00887798+0.0155255j -0.00839883-0.0106617j -0.000301996+0.0036336j 0.00490443+0.00276114j -0.00552566-0.00536817j -0.00326663-0.00153925j 0.00519161-0.00516862j -0.00684091-0.00792682j 0.00206654+0.00791304j -0.00182091-0.00267968j -0.00136674-0.00108196j -0.00499659-0.00538922j -0.00578917-0.0133043j -0.000709913-0.00367965j -0.00224712-0.0111836j -0.000902963-0.00575144j -0.000395029-0.0101375j -0.000283371-0.0105584j -0.000888475+0.000192535j 0.0014032-0.00986477j -0.00153615+0.0115585j 0.000283536-0.00323607j -0.00615231+0.0063125j -0.00149859+0.00996045j 0.000900856+0.0164787j -0.000888172-0.010137j 0.00164499-0.00199669j -0.000197699+0.0069442j -0.00808298+0.0150752j 0.00304983-0.0133887j -0.00523466+0.00842505j 0.0022968+0.00905635j -0.000124592+0.00104158j 0.000201994+0.000327273j 0.00138501-0.00672211j 0.00290226+0.00185735j -0.00106152-0.00194369j 0.000220369-0.000542545j -5.95141e-05+0.0039926j -0.00235482+0.0135957j -0.000524081-0.00339893j -0.000175563-0.00124697j 0.00685211-0.00504976j 0.00234634+0.0016113j 0.00256211+0.00441783j -0.00419266+0.000852055j -0.00228687+0.0054764j -0.00118822+0.00274557j 0.00435464-0.00628611j 0.000538736-0.00211303j 0.00636667-0.00649677j 0.00184752-0.00335592j -0.00121427-0.000560413j -0.000797622+0.00200201j -0.000906+0.00042572j 0.000575008+0.00321203j 0.00275485-0.00503136j 0.000718832+0.00599062j 0.00321636-0.0058296j -0.000558644+0.00246249j 0.00279027+0.00508193j -0.000412217-0.00412154j 0.00236564+0.00529121j 0.00551862-0.0090887j 0.00272169-0.00414192j 0.00103553+0.000316435j 0.00176311-0.00949999j 0.000655307+0.00433906j 0.00466024-0.00675309j 0.00135728+0.00423675j 0.00564136-0.0070043j 0.000758478-0.00775935j -0.000391518+0.00515855j -0.00446804+0.00337865j 
-0.00127724+0.00228933j -0.00777554+0.00701096j -0.00849938-0.000705429j 0.00743035-0.000239609j 0.00683718-0.00666122j -0.000237762+0.000364867j 0.00479264-0.00448666j 0.00854183-0.000470022j -0.00302073+0.00410761j -0.000815987-0.000274092j -0.0028669-0.00173554j -0.00257007-0.00462836j -0.00086875+0.00935139j 0.00296071-0.00865074j 0.000483389+0.00258058j -0.00431921-0.00059635j -0.00433517+0.00472143j -0.000882867-0.00426715j 0.00407149+0.000111364j 0.00196299-0.0028456j 0.00556473-0.00385209j -0.00271199+0.00191115j 0.00299633+0.00278714j -0.00730925-0.012692j 0.00290643+0.00429008j 0.00659915-0.00638469j -0.000331405-0.00745973j 0.00286808+0.0034656j -0.00379361+0.00636045j -0.00449623-0.00349472j 0.0059459-0.000203995j -0.00290782+0.000785965j -0.001735-0.00334678j -0.00594904+0.00376888j -0.00184682+0.00231688j 0.00396419-0.00174266j -0.00120906-0.0110976j 0.000723545+0.000363011j -0.000377438-0.0105712j 0.00456882-0.00195125j -0.00270552+0.0119283j 0.00233682-0.0126j -0.00115861-9.80602e-05j 0.00498959-0.00644837j -0.000863735-0.000112448j -0.00204867-0.00158857j 0.00502182+0.00580046j -0.00211853+0.00225705j 0.00175882-0.000466776j -0.00463334+0.0056519j 0.0114229-0.00781803j -0.0020557-0.00326887j -0.00164738-0.00194198j 0.00342523-0.00792388j 0.000187254-0.00593469j -0.000665499+0.00799805j -0.00204175-0.00636188j 0.00288314+0.00718381j -0.00713147-0.00256193j -0.00290594+0.00479974j -0.00294795+0.00225169j 0.00252754-0.00737771j -0.00562595-2.48329e-05j 0.00289874+0.0065321j -0.000562863+0.0017343j -0.00354516-0.0144818j -0.00837371+0.00753852j -0.00369603+0.0127887j 0.00443238-0.00158549j -0.000654694+0.00441803j -0.00426017+0.00295631j 0.0014702+0.00646089j -0.00759405+0.00237861j 0.00722621-0.001077j -0.00267486-0.0200039j 0.00231965-0.018245j 0.0126704+0.0115625j 
-0.00891996+0.00835418j -0.000184515-0.0054819j 0.00444001-0.000159926j 0.00728774-0.00786795j -0.00363586-0.0056946j -0.00432219-0.00110229j -0.00643801-0.0037232j 0.00389073-0.00522825j 0.000812693-0.00243443j 0.000193681+0.000183815j -0.00294544+0.000349942j -0.00127373+0.00388704j 0.00944764+0.00108344j -0.00248211-0.00179229j 0.00380884+0.00307153j 0.0038206-0.00264649j 0.00593783-0.00169488j -0.00303928-0.00496271j 0.000277821+0.000762002j -0.00581176+0.00798301j 0.00169279+0.00288481j 0.00354538+0.0029368j 0.00197534-0.00770511j 0.000545122+0.0066639j 0.00916459-0.00464759j -0.0044733+3.04662e-05j -0.00342261+0.00512893j -0.00474799+0.00707795j 0.0021341+0.0121326j -0.00445787+0.00305591j 6.62115e-06-0.0111727j 0.00145469-0.00121553j -0.00410549+0.00168347j 0.00137831+0.00224254j 0.00267642+0.0117164j 0.00239392+0.00925686j -0.00698231+6.35388e-05j -0.00131579-0.00427125j 0.00157908-0.00394532j 0.000735929-0.00602586j 0.000163748-8.03503e-05j 0.00383077+0.00459316j -0.000237357-0.00038648j 0.00775099-0.0100942j 0.000871288+0.00501353j 0.0037535-0.00540383j 0.00605256-0.00859245j -0.00101571-0.00367139j -0.00267348+0.00501398j -0.00426883+0.00324672j -0.00881365+0.000895686j -0.000890507+0.00175072j 0.00101754+0.00838579j -0.00493303+0.00585837j 0.00846636+0.00827321j 0.000328262+0.000538914j 0.00263933-0.000183587j -0.000349228+0.00919531j 0.00319324-0.00627979j -0.0021659-0.00212863j -0.00841623-0.00614243j 0.00312155-0.00617725j -0.00181879-0.00825601j -0.010195+0.00537294j -0.00244368+0.000812336j -0.00341157+0.00760636j 0.0020973+0.0109553j -0.00247635+0.00800249j -0.00904547+0.0103819j -0.00686711-0.00753874j -0.00471536+0.0133636j 0.00333347-0.00855718j 0.010538+0.00337042j -0.00192794-0.00800662j -0.00354711+0.00392801j -0.0121407-0.0157655j 0.00153573-0.0170398j 
-0.00861178+0.00500809j 0.00374608-0.000633251j -0.003594+0.0057425j 0.00549956-0.00201916j -0.00109204+0.000441811j 0.00793567-0.00298124j -0.000203566-0.00331398j 0.00728629-0.001004j 0.00489207-0.00825765j 0.00545987-0.00326947j 0.0103253-0.00450893j 0.00673488+0.000423128j 0.00414885-0.000250796j 0.00968916-0.000760052j -0.0079525+0.0017186j -0.00611565-0.000463786j -0.00504465-0.00100993j -0.00287843-0.00171589j 0.00185547-0.000324657j 0.01241+0.00238154j -0.000480443+0.00567753j 0.00588627-0.00165194j 0.0003044-0.00142844j 0.000622438+0.00103458j -0.0103524+0.00312765j -0.00485152+0.00701372j -0.00728358+0.0064023j -0.00726528+0.0033232j 0.00106441-0.00107147j -0.0013291-0.000575675j 0.00521836-0.00154879j 0.0118697-0.00052927j -0.00586871+0.00281531j 0.00832873+0.00498913j -0.00572932-0.00202201j -0.0065412-0.00887532j 0.0151087-0.00378914j 0.00789439-0.0020036j 0.0139595-0.00681052j -0.00847041-0.00106022j 0.0147452-0.000128078j -0.0169457+0.00491745j 0.00272378+0.00150145j -0.0111874+0.00314584j -0.00275476-0.000459132j 0.000517064+0.00342457j -0.0137519-0.00418024j -0.000269664+0.000895282j 0.00752941-0.00203434j 0.00569807-0.000663546j 0.0106701-0.00678444j 0.0165438+0.0026114j 0.0076262+0.00470913j 0.00353002+0.00512558j 0.00834798+0.00911594j -0.0129136-0.00691433j 0.0064535+0.000549927j -0.0021921-0.000432236j 0.00677681+0.00471072j -0.00350337+0.00176891j 0.00345857+0.00947599j -0.00319807-0.00734544j 0.00205842-0.00145274j 0.00468627+0.00687638j -0.00716507-0.00230701j 0.00373829+0.011277j -0.00540554-0.00229643j -0.000896119-0.00158595j -0.00806622-0.0160281j -0.00366745+0.015491j 0.00302266+0.00365451j -0.00571602+0.000952127j -0.00654717-0.00382769j 0.013516+0.00909496j 0.00289956-0.0091904j -0.0060222-0.00531334j -0.00242708-0.00853748j 
0.00217793-0.00470652j -0.00915368+0.00431295j 0.00651073-0.00636464j -0.00251276+0.00281065j 0.00159261-0.00536694j -0.0152418+0.00396275j 0.00203583-6.19463e-05j -0.00450231+0.000359612j 0.00588256+0.00174757j 0.000104462+0.00299925j -0.00160006+0.001165j -0.00294851-0.00118158j -0.00307095+0.00384344j 0.00221167-0.00333955j -0.00284799+0.00194163j -0.00737975-0.0001073j -0.00670247-0.00371879j -0.00265357-0.000848226j 0.00970141+0.00020551j 0.00775169+0.00292539j 0.00215899-0.00204046j 0.0295422-0.0078269j 0.0154935-0.00594701j 0.013445-0.0050379j -0.00343078-0.00551525j -0.0026414-0.00461672j -0.00128267-0.00331656j -0.0276272-0.00093431j 0.0122357-0.00439678j -0.00529887+0.00309323j -0.00403954+0.00121515j 0.0155685+0.00291465j -0.0114505-0.000113617j 0.02278+0.00301331j -0.00836899-0.00106912j -0.020719-0.000413817j 0.0100912-0.00387983j 0.00773665-0.0011566j 0.00503333+0.00705232j -0.0122095-0.000788979j 0.0244465+0.00167325j -0.00505616-0.00301884j -0.00412541-0.000845393j 0.0108137-0.00153962j 0.00289972+0.00110958j -0.00404874-0.00453389j 0.00148992+0.00503015j -0.0104504-0.00279023j 0.00471049+0.00431443j 0.00632757+0.00585167j -0.00706273+0.00601874j 0.00498212+0.00302681j -0.0031805+0.000261999j -0.00923631-0.007535j 0.0167709+0.00696223j 0.000553533+0.0006351j 0.00154303+0.00859967j 0.00462632-4.22554e-05j 0.00263888+0.00260909j 0.00111797-0.00145977j 0.00556393+0.0055279j -0.000184282+0.00197496j -0.000759927+0.00771461j -0.00189563+0.00434177j -0.00267539-0.0044998j 0.00298227-0.00262708j -0.00256755-0.00321884j 0.000467375-0.00234974j 0.00171382+0.000274459j -0.00429076-0.00797144j -0.000473384-9.32549e-05j 0.0014216+0.00432284j -0.00665832-0.00388072j -0.0148427-0.00645968j 0.00244735+0.00969547j 0.00314063-0.00323911j 0.00658639+0.00735336j 
