-0.033415-0j -0.00590699-0j -0.000492249-0j -0.029055-0j -0.0048425-0j -0.00296541-0j -0.000605312-0j -3.56683e-05-0j -0.0182609-0j -0.0184501-0j -0.00294684-0j -0.00297737-0j -0.00240608-0j -0.00243102-0j -0.000347288-0j -0.00030076-0j -0.000350887-0j -0.000303877-0j -3.54449e-05-0j -3.58123e-05-0j -1.61783e-06-0j -1.6346e-06-0j -0.0135256-0j -0.0167371-0j -0.0097633-0j -0.00213859-0j -0.00264637-0j -0.0016907-0j -0.00154371-0j -0.00112713-0j -0.000244032-0j -0.00209214-0j -0.00139476-0j -0.000281783-0j -0.00122041-0j -0.000301974-0j -9.96255e-05-0j -0.000813608-0j -2.3482e-05-0j -0.000176151-0j -2.49064e-05-0j -0.000348689-0j -0.00012328-0j -0.000203402-0j -2.90574e-05-0j -2.07553e-06-0j -7.19135e-05-0j -3.08201e-05-0j -1.69502e-05-0j -7.73505e-08-0j -2.56834e-06-0j -1.79784e-05-0j -9.57163e-08-0j -1.4982e-06-0j -5.58345e-08-0j 
0.0044373-0j -0.0371046-0j -0.00940689-0j 0.00385832-0j -0.030418-0j 0.000393788-0j -0.00768489-0j -0.000910409-0j 0.00242493-0j 0.00245006-0j -0.0185105-0j -0.0187023-0j 0.000319512-0j 0.000322823-0j -0.00440908-0j -0.00188922-0j -0.00445477-0j -0.0019088-0j -0.000677353-0j -0.000684373-0j -5.16712e-05-0j -5.22067e-05-0j 0.00179611-0j 0.00222258-0j 0.0012965-0j -0.0134335-0j -0.0166231-0j 0.000224514-0j -0.0096968-0j 0.000149676-0j -0.00309816-0j 0.000277822-0j 0.000185215-0j -0.00177002-0j 0.000162063-0j -0.00383378-0j 1.32296e-05-0j 0.000108042-0j -0.00044874-0j -0.00223637-0j -0.000316205-0j -0.00219028-0j 1.63708e-05-0j -0.00127767-0j -0.000555288-0j -5.29764e-05-0j 9.54965e-06-0j -0.000391284-0j -0.000323918-0j -2.96661e-06-0j -6.5555e-05-0j -0.000228249-0j -3.67099e-06-0j -3.82404e-05-0j -2.14141e-06-0j 
-0.0048425-0j 0.0404929-0j 0.0102659-0j -5.99336e-05-0j 0.000472502-0j -6.11695e-06-0j 0.000119374-0j 1.41419e-05-0j -0.00264637-0j 0.00259767-0j 0.0202008-0j -0.0198291-0j -0.000348689-0j 0.000342273-0j 0.0048117-0j 0.00206174-0j -0.00472317-0j -0.0020238-0j 0.000739207-0j -0.000725606-0j 5.63897e-05-0j -5.53521e-05-0j -0.00196013-0j -3.45247e-05-0j 0.00276937-0j 0.0146602-0j 0.000258217-0j -0.000245016-0j -0.0207127-0j -0.000163344-0j 0.00338108-0j -4.31558e-06-0j -2.87706e-06-0j 0.00193165-0j 0.000346172-0j 5.95525e-05-0j -1.44377e-05-0j 0.000230781-0j 0.000489718-0j -0.00477696-0j 0.00034508-0j 3.4023e-05-0j -2.54298e-07-0j -0.00272913-0j 8.62563e-06-0j 5.78141e-05-0j 2.03984e-05-0j 6.07805e-06-0j -0.000691899-0j 3.23751e-06-0j 1.01831e-06-0j -0.000487547-0j 5.70238e-08-0j -8.16828e-05-0j -4.57413e-06-0j 
-0.00375098-0j 0.0313657-0j 0.00795193-0j -0.00326155-0j 0.0257133-0j -0.000332881-0j 0.00649627-0j 0.000769596-0j 0.00201698-0j -0.00207111-0j -0.0153965-0j 0.0158096-0j 0.000265761-0j -0.000272892-0j -0.00366734-0j -0.0015714-0j 0.00376575-0j 0.00161356-0j -0.000563402-0j 0.000578521-0j -4.29786e-05-0j 4.41319e-05-0j -0.00151831-0j 0.00184867-0j -0.00109597-0j 0.0113557-0j -0.0138266-0j -0.000189789-0j 0.008197-0j -0.000126526-0j 0.00261897-0j 0.000231084-0j 0.000154056-0j 0.00149625-0j -0.000136997-0j -0.00318883-0j -1.11834e-05-0j -9.13312e-05-0j 0.000379334-0j 0.00189047-0j 0.000267298-0j -0.00182181-0j 1.36168e-05-0j 0.00108005-0j -0.000461872-0j 4.47826e-05-0j -8.07261e-06-0j -0.000325458-0j 0.000273818-0j 2.50776e-06-0j -5.45267e-05-0j 0.000192946-0j -3.05342e-06-0j 3.23258e-05-0j 1.8102e-06-0j 
0.00378985-0j -0.0316907-0j -0.00803433-0j -0.00320154-0j 0.0252402-0j -0.000326756-0j 0.00637674-0j 0.000755436-0j 0.00207111-0j -0.00209172-0j -0.0158096-0j 0.015967-0j 0.000272892-0j -0.000275609-0j -0.00376575-0j -0.00161356-0j 0.00380324-0j 0.00162962-0j -0.000578521-0j 0.000584279-0j -4.41319e-05-0j 4.45712e-05-0j 0.00153404-0j -0.00184424-0j 0.00101411-0j -0.0114734-0j 0.0137934-0j 0.000191755-0j -0.00758471-0j 0.000127837-0j -0.00264611-0j -0.00023053-0j -0.000153687-0j -0.00151175-0j 0.000126764-0j 0.00318118-0j 1.12993e-05-0j 8.4509e-05-0j -0.000383265-0j -0.00174926-0j -0.000270068-0j 0.00181745-0j -1.35841e-05-0j -0.000999373-0j 0.000460765-0j -4.52467e-05-0j 7.46961e-06-0j 0.000324678-0j -0.000253364-0j -2.53375e-06-0j 5.4396e-05-0j -0.000178533-0j 3.0461e-06-0j -2.99112e-05-0j -1.67498e-06-0j 
-0.00342416-0j 0.0286328-0j 0.00725908-0j -0.00297737-0j 0.0234729-0j -0.000303877-0j 0.00593025-0j 0.000702542-0j -0.00187126-0j -0.00189065-0j 0.0142841-0j 0.0144322-0j -0.000246561-0j -0.000249116-0j 0.00340239-0j 0.00145787-0j 0.00343765-0j 0.00147298-0j 0.000522698-0j 0.000528115-0j 3.98735e-05-0j 4.02867e-05-0j 0.00276469-0j -0.00171511-0j -0.00100048-0j -0.0206776-0j 0.0128277-0j 0.000345586-0j 0.0074828-0j 0.000230391-0j -0.00476888-0j -0.000214389-0j -0.000142926-0j -0.00272452-0j -0.00012506-0j 0.00295844-0j 2.03639e-05-0j -8.33736e-05-0j -0.000690729-0j 0.00172576-0j -0.000486722-0j 0.00169019-0j -1.2633e-05-0j 0.000985945-0j 0.000428503-0j -8.15446e-05-0j -7.36925e-06-0j 0.000301945-0j 0.00024996-0j -4.56639e-06-0j 5.05873e-05-0j 0.000176134-0j 2.83282e-06-0j 2.95093e-05-0j 1.65248e-06-0j 
0.00423718-0j -0.0354313-0j -0.00898266-0j 5.24419e-05-0j -0.000413439-0j 5.35233e-06-0j -0.000104452-0j -1.23742e-05-0j -0.00227843-0j -0.00227296-0j 0.0173922-0j 0.0173505-0j -0.000300209-0j -0.000299489-0j 0.0041427-0j 0.00177508-0j 0.00413277-0j 0.00177083-0j 0.000636431-0j 0.000634905-0j 4.85495e-05-0j 4.84331e-05-0j 0.00171511-0j -2.97245e-05-0j -0.0024232-0j -0.0128277-0j 0.000222315-0j 0.000214389-0j 0.0181236-0j 0.000142926-0j -0.00295844-0j -3.71556e-06-0j -2.47704e-06-0j -0.00169019-0j -0.0003029-0j 5.12726e-05-0j 1.2633e-05-0j -0.000201934-0j -0.000428503-0j 0.00417984-0j -0.000301945-0j 2.92926e-05-0j -2.18942e-07-0j 0.00238799-0j 7.42636e-06-0j -5.05873e-05-0j -1.78486e-05-0j 5.23298e-06-0j 0.000605412-0j -2.83282e-06-0j 8.76725e-07-0j 0.000426604-0j 4.90954e-08-0j 7.14724e-05-0j 4.00236e-06-0j 
0.00282479-0j -0.0236208-0j -0.00598844-0j 3.49613e-05-0j -0.000275626-0j 3.56822e-06-0j -6.96349e-05-0j -8.24947e-06-0j 0.00154371-0j -0.00151531-0j -0.0117838-0j 0.011567-0j 0.000203402-0j -0.00019966-0j -0.00280683-0j -0.00120268-0j 0.00275518-0j 0.00118055-0j -0.000431204-0j 0.00042327-0j -3.2894e-05-0j 3.22887e-05-0j -0.00570491-0j 2.01394e-05-0j -0.00161547-0j 0.0426681-0j -0.000150626-0j -0.000713114-0j 0.0120824-0j -0.000475409-0j 0.00984055-0j 2.51742e-06-0j 1.67828e-06-0j 0.00562202-0j -0.000201934-0j -3.4739e-05-0j -4.20207e-05-0j -0.000134622-0j 0.00142531-0j 0.00278656-0j 0.00100435-0j -1.98468e-05-0j 1.48341e-07-0j 0.001592-0j -5.03162e-06-0j 0.000168267-0j -1.1899e-05-0j -3.54553e-06-0j 0.000403608-0j 9.4227e-06-0j -5.94012e-07-0j 0.000284402-0j -3.32639e-08-0j 4.76483e-05-0j 2.66824e-06-0j 
-0.00247169-0j 0.0206682-0j 0.00523988-0j 0.00420659-0j -0.0331638-0j 0.000429334-0j -0.00837858-0j -0.000992589-0j -0.00135075-0j -0.00124985-0j 0.0103108-0j 0.00954064-0j -0.000177977-0j -0.000164682-0j 0.00245597-0j 0.00105234-0j 0.00227252-0j 0.000973738-0j 0.000377304-0j 0.00034912-0j 2.87822e-05-0j 2.66323e-05-0j -0.00100048-0j 0.0024232-0j -0.00279624-0j 0.0074828-0j -0.0181236-0j -0.00012506-0j 0.0209136-0j -8.33736e-05-0j 0.00172576-0j 0.0003029-0j 0.000201934-0j 0.000985945-0j -0.00034953-0j -0.00417984-0j -7.36925e-06-0j -0.00023302-0j 0.00024996-0j 0.00482331-0j 0.000176134-0j -0.00238799-0j 1.78486e-05-0j 0.00275561-0j -0.000605412-0j 2.95093e-05-0j -2.05963e-05-0j -0.000426604-0j 0.000698612-0j 1.65248e-06-0j -7.14724e-05-0j 0.000492277-0j -4.00236e-06-0j 8.24753e-05-0j 4.61851e-06-0j 
0.00244634-0j -0.0204563-0j -0.00518614-0j 0.00212714-0j -0.0167698-0j 0.0002171-0j -0.00423678-0j -0.00050192-0j -0.00396779-0j 0.00135075-0j 0.0302878-0j -0.0103108-0j -0.000522803-0j 0.000177977-0j 0.00721437-0j 0.00309124-0j -0.00245597-0j -0.00105234-0j 0.00110832-0j -0.000377304-0j 8.45472e-05-0j -2.87822e-05-0j -0.00197519-0j -0.0036367-0j 0.000714779-0j 0.0147728-0j 0.0271995-0j -0.000246899-0j -0.00534597-0j -0.000164599-0j 0.00340706-0j -0.000454587-0j -0.000303058-0j 0.00194649-0j 8.93474e-05-0j 0.00627303-0j -1.45486e-05-0j 5.95649e-05-0j 0.000493481-0j -0.00123294-0j 0.000347731-0j 0.00358385-0j -2.67868e-05-0j -0.000704393-0j 0.000908591-0j 5.82583e-05-0j 5.26485e-06-0j 0.000640239-0j -0.00017858-0j 3.26238e-06-0j 0.000107264-0j -0.000125837-0j 6.00667e-06-0j -2.10824e-05-0j -1.18059e-06-0j 
-0.0034955-0j 0.0292293-0j 0.00741031-0j 0.00295288-0j -0.0232798-0j 0.000301377-0j -0.00588146-0j -0.000696762-0j 0.0018796-0j 0.00192926-0j -0.0143478-0j -0.0147269-0j 0.00024766-0j 0.000254202-0j -0.00341756-0j -0.00146437-0j -0.00350784-0j -0.00150305-0j -0.000525028-0j -0.000538899-0j -4.00513e-05-0j -4.11094e-05-0j 0.00282229-0j -0.00167372-0j -0.000935343-0j -0.0211084-0j 0.012518-0j 0.000352786-0j 0.00699561-0j 0.000235191-0j -0.00486824-0j -0.000209215-0j -0.000139476-0j -0.00278128-0j -0.000116918-0j 0.00288704-0j 2.07881e-05-0j -7.79453e-05-0j -0.000705119-0j 0.0016134-0j -0.000496862-0j 0.0016494-0j -1.23281e-05-0j 0.000921752-0j 0.000418161-0j -8.32435e-05-0j -6.88945e-06-0j 0.000294657-0j 0.000233686-0j -4.66152e-06-0j 4.93663e-05-0j 0.000164667-0j 2.76445e-06-0j 2.7588e-05-0j 1.54489e-06-0j 
